# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871933. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Age [ka BP],Δδ18O [‰]
191.5,2.3644
192,2.4156
192.5,2.6262
193,3.3069
193.5,4.842
194,4.5635
194.5,2.8381
195,2.0431
195.5,1.5859
196,1.5764
196.5,1.4207
197,1.4055
197.5,1.359
198,1.3229
198.5,1.4066
199,1.3809
199.5,1.3874
200,1.3656
200.5,1.2556
201,1.4066
201.5,1.7169
202,1.57
202.5,1.6143
203,1.423
203.5,1.4181
204,1.464
204.5,1.5446
205,1.357
205.5,1.4177
206,1.2795
206.5,1.3
207,1.287
207.5,1.2658
208,1.4142
208.5,1.2759
209,1.1078
209.5,1.2484
210,1.1132
210.5,0.9487
211,1.0229
211.5,1.1965
212,1.0643
212.5,1.164
213,1.2636
213.5,1.1885
214,1.3146
214.5,1.3468
215,1.4481
215.5,1.6508
216,1.7593
216.5,1.5219
217,1.7097
217.5,2.1169
218,2.1395
218.5,2.4909
219,3.0064
219.5,3.8931
220,4.6329
220.5,4.1753
221,4.0526
221.5,3.9416
222,3.8919
222.5,3.0457
223,2.6678
223.5,1.7878
224,2.2192
224.5,2.0944
225,2.3855
225.5,2.3168
226,2.4689
226.5,2.2284
227,2.0672
227.5,2.197
228,1.6844
228.5,1.806
229,1.8568
229.5,1.6654
230,1.6646
230.5,1.5753
231,1.6283
231.5,1.686
232,1.5902
232.5,1.7872
233,1.5911
233.5,1.6333
234,1.6276
234.5,1.6714
235,1.9153
235.5,1.6599
236,1.647
236.5,1.7569
237,1.7148
237.5,2.13
238,1.9941
238.5,1.8873
239,2.1823
239.5,2.4343
240,2.6003
240.5,4.6997
241,5.8552
241.5,7.2283
242,7.8199
242.5,7.8117
243,6.0296
243.5,5.531
244,4.9965
244.5,3.7971
245,2.4981
245.5,2.31
246,2.4589
246.5,2.7027
247,3.592
247.5,4.5701
248,7.2379
248.5,8.6389
249,3.8675
249.5,2.3592
250,2.2155
250.5,2.1209
251,2.0991
251.5,2.1759
252,2.1488
252.5,2.3835
253,2.0401
253.5,1.8539
254,2.0304
254.5,1.9193
255,2.1677
255.5,2.449
256,2.4643
256.5,2.6254
257,2.8093
257.5,3.3018
258,3.5412
258.5,4.3738
259,5.7551
259.5,8.4169
260,9.1818
260.5,9.4602
261,9.5625
261.5,9.6127
262,9.5651
262.5,9.3894
263,6.3773
263.5,2.5039
264,2.1811
264.5,1.941
265,1.7635
265.5,1.9505
266,1.6453
266.5,1.7708
267,1.7493
267.5,2.21
268,2.4392
268.5,3.0863
269,3.963
269.5,4.6879
270,5.1278
270.5,5.2236
271,5.323
271.5,4.8157
272,5.0729
272.5,5.5717
273,5.8954
273.5,4.615
274,4.777
274.5,4.2522
275,4.6132
275.5,3.7522
276,2.7678
276.5,1.6988
277,1.5552
277.5,1.4995
278,1.4531
278.5,1.7401
279,1.3866
279.5,1.1981
280,1.1147
280.5,1.1554
281,1.139
281.5,0.9364
282,0.9072
282.5,0.9198
283,0.9744
283.5,1.2158
284,1.1167
284.5,1.1346
285,1.2197
285.5,1.1021
286,1.2453
286.5,1.4991
287,1.3871
287.5,1.3439
288,1.153
288.5,1.2171
289,1.3685
289.5,1.431
290,1.5889
290.5,1.8541
291,1.9868
291.5,2.7593
292,2.1218
292.5,2.4778
293,2.4616
293.5,2.6762
294,2.493
294.5,1.9949
295,1.7106
295.5,1.7863
296,1.7595
296.5,1.8606
297,2.4581
297.5,1.7053
298,1.8322
298.5,1.6463
299,1.722
299.5,1.4927
300,1.4076
300.5,1.639
301,1.5589
301.5,1.5842
302,1.8444
302.5,1.7184
303,1.9909
303.5,1.6806
304,1.476
304.5,1.4594
305,1.4862
305.5,1.2386
306,1.0834
306.5,1.1769
307,1.3232
307.5,1.4342
308,1.2876
308.5,1.4988
309,2.1697
309.5,1.6897
310,1.5342
310.5,1.5432
311,1.8126
311.5,1.2694
312,1.6617
312.5,1.3959
313,1.2913
313.5,1.3638
314,1.5174
314.5,1.2476
315,1.3332
315.5,1.425
316,1.4806
316.5,1.8234
317,1.5408
317.5,1.44
318,1.4252
318.5,1.4078
319,1.3507
319.5,1.2513
320,1.2467
320.5,1.3273
321,1.292
321.5,1.2561
322,1.3277
322.5,1.5235
323,1.4106
323.5,1.2996
324,1.2644
324.5,1.476
325,1.6721
325.5,1.4531
326,1.2728
326.5,1.3802
327,1.4544
327.5,1.6441
328,2.2079
328.5,4.022
329,5.4328
329.5,6.3282
330,6.9427
330.5,6.7947
331,7.3608
331.5,7.9753
332,7.9107
332.5,7.6867
333,7.3411
333.5,6.5698
334,4.5355
334.5,4.7142
335,5.3168
335.5,5.7212
336,6.0154
336.5,6.0973
337,5.8229
337.5,5.5429
338,5.6617
338.5,6.2121
339,6.7182
339.5,7.0764
340,7.4007
340.5,7.4268
341,7.4737
341.5,7.2363
342,6.796
342.5,4.9002
343,3.0126
343.5,2.3745
344,2.3459
344.5,2.1957
345,1.7268
345.5,1.7054
346,1.6805
346.5,1.5461
347,1.5504
347.5,1.6738
348,1.7773
348.5,1.8473
349,2.0076
349.5,2.7082
350,3.0341
350.5,3.0735
351,3.3858
351.5,3.6201
352,4.1333
352.5,6.5167
353,6.6149
353.5,5.7511
354,5.5319
354.5,5.4958
355,5.1161
355.5,4.9661
356,5.7094
356.5,6.2143
357,6.7334
357.5,7.0998
358,5.5982
358.5,4.1771
359,3.3235
359.5,2.8016
360,2.4834
360.5,2.1353
361,1.9021
361.5,1.8344
362,1.7913
362.5,1.6753
363,1.624
363.5,1.1367
364,1.6627
364.5,1.8917
365,1.6777
365.5,1.6436
366,1.7147
366.5,1.5652
367,1.4875
367.5,1.4896
368,1.5808
368.5,1.5294
369,1.5194
369.5,1.489
370,1.3832
370.5,1.4303
371,1.4614
371.5,1.5084
372,1.4325
372.5,1.6323
373,1.5544
373.5,1.5083
374,1.6129
374.5,1.6428
375,1.3988
375.5,1.2378
376,1.1631
376.5,1.1581
377,1.172
377.5,1.2329
378,1.1987
378.5,1.2193
379,1.2058
379.5,1.2094
380,1.0358
380.5,1.0534
381,1.148
381.5,1.06
382,1.1667
382.5,1.2349
383,1.2881
383.5,1.3298
384,1.5007
384.5,1.4967
385,1.2898
385.5,1.2287
386,1.26
386.5,1.3769
387,1.294
387.5,1.2028
388,1.2753
388.5,1.3255
389,1.3512
389.5,1.5819
390,1.7075
390.5,1.5811
391,1.5893
391.5,1.3184
392,1.1168
392.5,1.1585
393,0.9174
393.5,0.9015
394,0.8308
394.5,0.8337
395,0.9713
395.5,0.9261
396,0.9687
396.5,1.0669
397,1.0729
397.5,1.1584
398,1.1487
398.5,1.1253
399,1.2715
399.5,1.27
400,1.219
400.5,1.1916
401,0.9753
401.5,0.9168
402,0.8328
402.5,0.8582
403,0.9494
403.5,0.991
404,0.8626
404.5,0.8221
405,0.9067
405.5,0.8742
406,0.8298
406.5,0.7947
407,0.8476
407.5,0.9716
408,0.722
408.5,0.64
409,0.6848
409.5,0.7767
410,0.7738
410.5,0.693
411,0.822
411.5,0.8758
412,0.7805
412.5,0.7959
413,0.8242
413.5,0.7451
414,0.9064
414.5,0.8355
415,0.8295
415.5,0.8564
