# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871933. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Age [ka BP],Δδ18O [‰]
838.5,1.5366
839,1.3892
839.5,1.444
840,1.4145
840.5,1.179
841,0.9011
841.5,1.1097
842,0.7946
842.5,0.7063
843,0.5184
843.5,0.7525
844,0.9606
844.5,1.0394
845,1.1214
845.5,1.359
846,2.0154
846.5,2.0635
847,2.0555
847.5,1.6052
848,1.4844
848.5,1.427
849,1.3589
849.5,1.3445
850,1.4074
850.5,1.5353
851,1.4154
851.5,1.3509
852,1.4332
852.5,1.3815
853,1.165
853.5,1.0801
854,1.2277
854.5,1.5076
855,1.4641
855.5,1.1244
856,1.1101
856.5,1.0394
857,0.9855
857.5,1.2148
858,1.3573
858.5,1.3253
859,1.2059
859.5,1.2792
860,1.1983
860.5,1.1747
861,1.4862
861.5,1.4573
862,1.5807
862.5,1.7073
863,1.8711
863.5,2.0612
864,1.9182
864.5,1.6936
865,1.8481
865.5,2.2206
866,3.4126
866.5,4.4304
867,4.3369
867.5,4.2587
868,5.099
868.5,4.8805
869,4.735
869.5,5.0853
870,4.9798
870.5,3.829
871,3.0862
871.5,3.1647
872,3.4544
872.5,3.5447
873,3.1906
873.5,2.5993
874,3.253
874.5,3.5357
875,3.3285
875.5,3.254
876,3.5299
876.5,3.5252
877,3.0196
877.5,2.7033
878,2.6883
878.5,2.8142
879,3.1314
879.5,4.3154
880,4.5397
880.5,4.3888
881,5.4744
881.5,5.8766
882,5.8553
882.5,5.8461
883,6.2703
883.5,6.5708
884,6.6442
884.5,6.6102
885,6.371
885.5,6.1606
886,6.0785
886.5,6.0204
887,5.946
887.5,5.9301
888,6.0087
888.5,5.9432
889,5.893
889.5,5.858
890,5.8318
890.5,5.6622
891,5.596
891.5,5.6169
892,5.4981
892.5,5.2662
893,4.7654
893.5,3.7404
894,2.2365
894.5,1.9397
895,1.937
895.5,1.9058
896,1.9317
896.5,2.0794
897,2.0459
897.5,1.9997
898,2.1035
898.5,2.0744
899,2.0743
899.5,1.9629
900,1.9913
900.5,2.179
901,2.2409
901.5,2.1197
902,2.0221
902.5,1.8825
903,2.0115
903.5,1.9948
904,1.9095
904.5,1.7035
905,1.6983
905.5,1.9191
906,1.7476
906.5,1.7229
907,1.7831
907.5,1.8354
908,1.8819
908.5,1.9152
909,1.7739
909.5,2.0451
910,2.0029
910.5,1.8951
911,1.7396
911.5,1.878
912,1.889
912.5,1.9493
913,1.9728
913.5,1.8957
914,1.8882
914.5,2.062
915,2.1659
915.5,2.0506
916,2.1928
916.5,2.1676
917,2.0536
917.5,2.1666
918,2.1981
918.5,2.95
919,3.4532
919.5,4.0114
920,4.8646
920.5,4.8019
921,4.9878
921.5,4.1161
922,2.519
922.5,1.3635
923,1.9175
923.5,2.4228
924,2.2154
924.5,1.0462
925,1.4529
925.5,2.5248
926,2.3469
926.5,1.8277
927,1.7939
927.5,1.8588
928,2.8051
928.5,4.1595
929,5.3941
929.5,4.0204
930,3.4563
930.5,3.7428
931,5.5487
931.5,5.87
932,3.6074
932.5,2.4309
933,2.206
933.5,2.2054
934,2.2656
934.5,2.1528
935,2.3307
935.5,2.469
936,2.2976
936.5,1.8859
937,2.0493
937.5,2.2111
938,2.0222
938.5,1.9652
939,1.9927
939.5,1.6932
940,1.5506
940.5,1.3609
941,1.3902
941.5,1.5002
942,1.6458
942.5,1.7289
943,1.5723
943.5,1.5642
944,1.5184
944.5,1.4167
945,1.443
945.5,1.4223
946,1.4522
946.5,1.4909
947,1.4828
947.5,1.3848
948,1.3021
948.5,1.3675
949,1.3713
949.5,1.3763
950,1.3407
950.5,1.2584
951,1.4184
951.5,1.1302
952,1.3026
952.5,1.3137
953,1.4213
953.5,1.428
954,1.5114
954.5,1.5307
955,1.4942
955.5,1.581
956,1.6101
956.5,1.9686
957,2.2747
957.5,2.7083
958,3.2066
958.5,3.9849
959,4.0073
959.5,5.1997
960,5.9062
960.5,4.4599
961,3.23
961.5,2.9088
962,2.4494
962.5,2.4343
963,2.6306
963.5,2.4788
964,2.212
964.5,2.2179
965,2.1581
965.5,2.1419
966,2.1224
966.5,2.1258
967,2.2165
967.5,2.1264
968,2.0281
968.5,1.7467
969,2.1402
969.5,2.1162
970,2.0029
970.5,1.8549
971,1.8242
971.5,1.8782
972,1.7684
972.5,1.7212
973,1.7081
973.5,1.8153
974,2.1842
974.5,2.4476
975,1.8601
975.5,1.5252
976,1.4818
976.5,1.4892
977,1.4783
977.5,1.4813
978,1.6819
978.5,1.7008
979,1.8876
979.5,2.1207
980,2.3777
980.5,2.7828
981,3.2308
981.5,4.0565
982,4.9623
982.5,4.5896
983,3.7284
983.5,2.9619
984,2.2816
984.5,2.1448
985,2.0671
985.5,1.8917
986,2.5738
986.5,2.7393
987,1.8838
987.5,1.9061
988,1.8181
988.5,1.6919
989,1.6056
989.5,1.5455
990,1.4033
990.5,1.3918
991,1.4249
991.5,1.3871
992,1.4155
992.5,1.308
993,1.5128
993.5,1.5063
994,1.3793
994.5,1.4555
995,1.3842
995.5,1.2668
996,1.3202
996.5,1.5399
997,1.5612
997.5,1.4199
998,1.4247
998.5,1.5054
999,1.6982
999.5,1.7506
1000,1.827
1000.5,1.9644
1001,1.9683
1001.5,2.0219
1002,2.0256
1002.5,2.0946
1003,2.1329
1003.5,2.0795
1004,2.1104
1004.5,1.947
1005,1.9288
1005.5,1.8896
1006,2.0048
1006.5,2.0672
1007,1.9486
1007.5,2.0528
1008,2.5231
1008.5,2.5898
1009,2.0357
1009.5,2.1541
1010,2.3861
1010.5,2.2698
1011,2.1719
1011.5,1.8094
1012,1.8673
1012.5,1.6274
1013,1.3859
1013.5,1.3278
1014,1.4789
1014.5,1.4332
1015,1.2739
1015.5,1.3884
1016,2.5515
1016.5,4.1023
1017,4.5858
1017.5,3.1295
1018,1.7298
1018.5,1.5135
1019,1.465
1019.5,1.5485
1020,1.4372
1020.5,1.4764
1021,1.4375
1021.5,1.4324
1022,1.4341
1022.5,1.3733
1023,1.3051
1023.5,1.4129
1024,1.4097
1024.5,1.5271
1025,1.6902
1025.5,1.8106
1026,1.7047
1026.5,1.387
1027,1.301
1027.5,1.4089
1028,1.5115
1028.5,1.4726
1029,1.4802
1029.5,1.6108
1030,1.6138
1030.5,1.515
1031,1.7302
1031.5,1.5979
1032,1.813
1032.5,1.8396
1033,1.7717
1033.5,1.8604
1034,1.9195
1034.5,1.9786
1035,1.9176
1035.5,1.7325
1036,1.6735
1036.5,1.6592
1037,1.5944
1037.5,1.47
1038,1.7565
1038.5,1.7793
1039,1.6895
1039.5,1.5762
1040,1.71
1040.5,1.7818
1041,1.7811
1041.5,1.6625
1042,1.7697
1042.5,1.6517
1043,1.8463
1043.5,1.9806
1044,1.9029
1044.5,1.9032
1045,2.035
1045.5,2
1046,2.0129
1046.5,1.94
1047,1.8166
1047.5,1.8155
1048,1.9308
1048.5,2.0016
1049,2.0122
1049.5,2.0216
1050,2.1453
1050.5,2.0654
1051,2.4621
1051.5,3.2335
1052,3.0111
1052.5,3.1336
1053,2.9921
1053.5,3.3142
1054,3.8667
1054.5,4.4182
1055,5.0045
1055.5,4.6121
1056,3.6618
1056.5,3.2322
1057,2.6834
1057.5,2.7305
1058,2.3526
1058.5,1.9516
1059,1.7415
1059.5,1.5385
1060,1.4913
1060.5,1.3155
1061,1.2353
1061.5,1.2089
1062,1.0705
1062.5,1.232
1063,1.2173
1063.5,1.1101
1064,0.9817
1064.5,1.0834
1065,1.0062
1065.5,1.0343
1066,1.0452
1066.5,1.0059
1067,1.0544
1067.5,0.7604
1068,0.5887
1068.5,0.9011
1069,0.9153
1069.5,0.8909
1070,0.7767
1070.5,0.9831
1071,1.2258
1071.5,1.1183
1072,0.7769
1072.5,0.6772
1073,0.7885
1073.5,0.9869
1074,0.833
1074.5,0.7649
1075,0.6825
1075.5,0.6351
1076,0.6261
1076.5,0.5688
1077,0.8208
1077.5,0.681
1078,0.5359
1078.5,0.647
1079,0.6863
1079.5,0.6872
1080,0.8127
1080.5,0.8922
1081,0.9175
1081.5,0.8958
1082,0.9653
1082.5,0.9185
1083,1.0034
1083.5,1.0092
1084,1.0592
1084.5,1.1424
1085,1.1775
1085.5,1.0723
1086,1.1524
1086.5,1.1647
1087,1.1793
1087.5,1.0667
1088,1.132
1088.5,1.0373
1089,0.9628
1089.5,0.9955
1090,1.0231
1090.5,0.9574
1091,0.9421
1091.5,1.0638
1092,0.9496
1092.5,1.0169
1093,1.138
1093.5,1.1724
1094,1.2687
1094.5,1.2433
1095,1.3255
1095.5,1.2975
1096,3.0998
1096.5,6.2078
1097,6.2089
1097.5,3.7713
1098,3.2768
1098.5,2.3512
1099,1.775
1099.5,1.6412
1100,1.8427
1100.5,1.9821
1101,1.8344
1101.5,1.5007
1102,1.5435
1102.5,1.7113
1103,1.3594
1103.5,1.2621
1104,1.3741
1104.5,1.257
1105,0.9252
1105.5,0.566
1106,0.9625
1106.5,1.2092
1107,0.2626
1107.5,0.815
1108,1.5033
1108.5,1.4492
1109,1.6044
1109.5,1.3313
1110,0.7591
1110.5,0.9647
1111,1.0201
1111.5,1.1007
1112,1.2525
1112.5,1.2597
1113,1.1635
1113.5,1.2279
1114,1.2856
1114.5,1.3116
1115,1.2404
1115.5,1.3577
1116,1.5303
1116.5,1.4925
1117,1.5287
1117.5,1.6402
1118,1.6084
1118.5,1.4283
1119,1.5217
1119.5,1.8139
1120,2.9398
1120.5,3.9554
1121,3.6337
1121.5,4.3798
1122,3.6724
1122.5,2.2165
1123,2.2008
1123.5,1.6639
1124,1.6688
1124.5,2.0938
1125,3.2579
1125.5,2.7265
1126,2.2715
1126.5,2.1624
1127,1.3429
1127.5,1.9115
1128,2.1477
1128.5,2.3279
1129,2.9622
1129.5,2.5834
1130,2.2065
1130.5,2.0635
1131,2.5525
1131.5,3.7845
1132,6.7916
1132.5,7.2127
1133,7.112
1133.5,6.9708
1134,5.9626
1134.5,4.3246
1135,2.3915
1135.5,2.0082
1136,2.2793
1136.5,2.1169
1137,2.2141
1137.5,3.63
1138,4.1481
1138.5,2.6625
1139,1.8023
1139.5,1.5534
1140,1.6386
1140.5,1.837
1141,1.5841
1141.5,1.6185
1142,1.7345
1142.5,1.6047
1143,1.4123
1143.5,1.0493
1144,1.3742
1144.5,1.3902
1145,1.3062
1145.5,1.4302
1146,1.2273
1146.5,1.3024
1147,1.3596
1147.5,1.3401
1148,1.2581
1148.5,1.2542
1149,1.2946
1149.5,1.2516
1150,1.1035
1150.5,1.1742
1151,1.3091
1151.5,1.2017
1152,1.1523
1152.5,1.1731
1153,1.2464
1153.5,1.2331
1154,1.2069
1154.5,1.1574
1155,1.1852
1155.5,1.2819
1156,1.3716
1156.5,1.4321
1157,1.4089
1157.5,1.4633
1158,1.418
1158.5,1.5824
1159,1.4435
1159.5,1.2911
1160,1.2543
1160.5,1.2956
1161,1.0497
1161.5,1.1699
1162,1.325
1162.5,1.2432
1163,1.1149
1163.5,1.2016
1164,1.2528
1164.5,1.1936
1165,1.1317
1165.5,1.2561
1166,1.2239
1166.5,1.2939
1167,1.1889
1167.5,1.1298
1168,1.3218
1168.5,1.261
1169,1.402
1169.5,1.4052
1170,1.1953
1170.5,1.3137
1171,1.2825
1171.5,1.2499
1172,1.2529
1172.5,1.1957
1173,1.1797
1173.5,1.1473
1174,1.3065
1174.5,1.406
1175,1.4783
1175.5,1.4411
1176,1.5187
1176.5,1.6519
1177,1.5147
1177.5,1.9646
1178,1.5206
1178.5,1.3875
1179,1.4027
1179.5,1.4051
1180,1.185
1180.5,1.2033
1181,1.4137
1181.5,1.3838
1182,1.4162
1182.5,1.2899
1183,1.3958
1183.5,0.8418
1184,1.1941
1184.5,1.2846
1185,1.2468
1185.5,1.3023
1186,1.2504
1186.5,1.2515
1187,1.2586
1187.5,1.2061
1188,1.3177
1188.5,1.4294
1189,1.1952
1189.5,1.3117
1190,1.3534
1190.5,1.3586
1191,1.4072
1191.5,1.4592
1192,1.543
1192.5,1.675
1193,1.9041
1193.5,1.7998
1194,2.1261
1194.5,2.1086
1195,1.8199
1195.5,1.8029
1196,1.8587
1196.5,1.934
1197,1.9966
1197.5,1.8886
1198,2.0774
1198.5,2.0421
1199,1.9748
1199.5,1.889
1200,1.8722
1200.5,1.8017
1201,1.7446
1201.5,1.7727
1202,1.7044
1202.5,1.7574
1203,1.7701
1203.5,1.7288
1204,1.7966
1204.5,1.8304
1205,1.769
1205.5,1.7587
1206,1.8091
1206.5,1.7255
1207,1.6073
1207.5,1.6639
1208,1.8314
1208.5,1.8723
1209,1.8222
1209.5,1.7477
1210,1.8637
1210.5,2.0331
1211,2.0726
1211.5,2.0961
1212,2.3398
1212.5,2.5267
1213,2.598
1213.5,2.2826
1214,2.4358
1214.5,2.2932
1215,2.2316
1215.5,2.2528
1216,2.2133
1216.5,2.7127
1217,3.3924
1217.5,4.0165
1218,5.1339
1218.5,5.4816
1219,4.8815
1219.5,4.2763
1220,3.2676
1220.5,2.9749
1221,3.961
1221.5,5.0564
1222,6.1309
1222.5,4.1357
1223,2.9296
1223.5,2.3069
1224,2.2355
1224.5,1.5389
1225,0.7962
1225.5,1.0324
1226,1.2164
1226.5,1.0685
1227,1.2765
1227.5,1.2893
1228,1.2818
1228.5,1.274
1229,1.1969
1229.5,1.246
1230,0.9833
1230.5,1.0562
1231,0.7152
1231.5,1.0773
1232,0.9843
1232.5,1.0582
1233,1.1717
1233.5,1.0898
1234,1.0504
1234.5,1.0417
1235,1.0505
1235.5,1.0216
1236,1.1459
1236.5,1.1728
1237,1.1363
1237.5,1.0932
1238,0.9946
1238.5,1.0235
1239,1.2357
1239.5,1.6552
1240,1.2478
1240.5,0.9364
1241,0.7738
1241.5,0.7131
1242,0.54
1242.5,0.7051
1243,1.0816
1243.5,1.318
1244,1.6011
1244.5,2.4917
1245,4.3175
1245.5,3.1961
1246,1.907
1246.5,1.8007
1247,1.7874
1247.5,1.7668
1248,1.8699
1248.5,2.17
1249,3.315
1249.5,3.2926
1250,2.3386
1250.5,1.9261
1251,1.8003
1251.5,1.7267
1252,1.7089
1252.5,1.955
1253,2.255
1253.5,2.3112
1254,2.1866
1254.5,1.9908
1255,1.8926
1255.5,1.9408
1256,2.0213
1256.5,2.0299
1257,1.9441
1257.5,2.0435
1258,2.4604
1258.5,3.7887
1259,4.4387
1259.5,4.0476
1260,3.6613
1260.5,3.2373
1261,2.4541
1261.5,2.1177
1262,1.8955
1262.5,1.7285
1263,1.6032
1263.5,1.599
1264,1.5044
1264.5,1.5902
1265,1.6756
1265.5,1.6254
1266,1.8743
1266.5,1.7994
1267,1.5428
1267.5,1.4913
1268,1.4122
1268.5,1.0312
1269,0.9528
1269.5,0.9887
1270,0.9612
1270.5,1.0615
1271,1.0534
1271.5,0.9166
1272,0.8626
1272.5,0.7915
1273,0.8603
1273.5,0.8891
1274,0.8399
1274.5,0.8843
1275,0.8565
1275.5,0.8806
1276,0.9832
1276.5,0.9946
1277,0.957
1277.5,0.944
1278,0.9447
1278.5,0.9497
1279,0.9791
1279.5,0.9542
1280,0.9324
1280.5,0.8918
1281,0.9154
1281.5,0.8866
1282,0.9281
1282.5,1.0069
1283,0.977
1283.5,1.0199
1284,1.0561
1284.5,1.1008
1285,1.1011
1285.5,0.9446
1286,1.0164
1286.5,1.1103
1287,1.2922
1287.5,1.1847
1288,1.2695
1288.5,1.0769
1289,1.5157
1289.5,1.8407
1290,1.8075
1290.5,1.63
1291,1.7328
1291.5,1.6277
1292,2.0615
1292.5,2.2936
1293,2.5304
1293.5,3.2315
1294,3.0804
1294.5,5.2828
1295,7.6001
1295.5,8.5835
1296,8.3118
1296.5,5.263
1297,3.3269
1297.5,6.7024
1298,7.4643
1298.5,5.8247
1299,2.8268
1299.5,2.2067
1300,1.1897
1300.5,1.4655
1301,1.4584
1301.5,1.5727
1302,1.6511
1302.5,1.6992
1303,1.8539
1303.5,1.532
1304,1.4388
1304.5,1.852
1305,1.687
1305.5,1.3717
1306,1.1204
1306.5,1.0994
1307,1.131
1307.5,0.9056
1308,0.9989
1308.5,0.9086
1309,1.1194
1309.5,0.8672
1310,0.8899
1310.5,0.8061
1311,1.0616
1311.5,0.9881
1312,0.7586
1312.5,0.7482
1313,0.9638
1313.5,0.9428
1314,0.7634
1314.5,0.6992
1315,0.7391
1315.5,0.7721
1316,0.7478
1316.5,0.7842
1317,0.8913
1317.5,0.9596
1318,0.8236
1318.5,0.9743
1319,1.0814
1319.5,0.9521
1320,1.0982
1320.5,1.1734
1321,1.3264
1321.5,1.1885
1322,1.2198
1322.5,1.2789
1323,1.2624
1323.5,1.0887
1324,1.2027
1324.5,1.1851
1325,1.2664
1325.5,1.3688
1326,1.3266
1326.5,1.4214
1327,1.3893
1327.5,1.4293
1328,1.4559
1328.5,1.4433
1329,1.4487
1329.5,1.5316
1330,1.5062
1330.5,1.4076
1331,1.395
1331.5,1.3939
1332,1.4804
1332.5,1.6105
1333,1.6789
1333.5,1.8477
1334,2.4634
1334.5,2.5487
1335,2.2537
1335.5,2.5017
1336,3.7321
1336.5,4.2873
1337,3.6849
1337.5,2.4838
1338,2.0107
1338.5,2.2589
1339,3.018
1339.5,3.1172
1340,2.9325
1340.5,1.6485
1341,1.1126
1341.5,0.8971
1342,0.8511
1342.5,0.9551
1343,0.7936
1343.5,0.796
1344,0.7531
1344.5,0.6022
1345,0.6103
1345.5,0.6162
1346,0.4727
1346.5,0.484
1347,0.6253
1347.5,0.5341
1348,0.5641
1348.5,0.7342
1349,0.9026
1349.5,0.8847
1350,0.8298
1350.5,0.8324
1351,0.8117
1351.5,0.6392
1352,0.687
1352.5,0.6577
1353,0.61
1353.5,0.7118
1354,0.8968
1354.5,0.988
1355,0.8259
1355.5,0.7764
1356,0.7282
1356.5,0.6771
1357,0.7686
1357.5,0.8481
1358,0.9637
1358.5,1.1109
1359,1.142
1359.5,1.3
1360,1.2873
1360.5,1.229
1361,1.2975
1361.5,1.3119
1362,1.2589
1362.5,1.3371
1363,1.3165
1363.5,1.248
1364,1.1722
1364.5,1.298
1365,1.1189
1365.5,1.3616
1366,1.1823
1366.5,1.1935
1367,1.2894
1367.5,1.1626
1368,1.1866
1368.5,1.1938
1369,0.9831
1369.5,1.2622
1370,1.9274
1370.5,2.3065
1371,2.2595
1371.5,1.9839
1372,1.7895
1372.5,1.7308
1373,1.4804
1373.5,1.319
1374,1.1854
1374.5,1.1307
1375,1.0853
1375.5,1.1422
1376,1.14
1376.5,1.142
1377,1.256
1377.5,1.4958
1378,1.6517
1378.5,1.9577
1379,1.7192
1379.5,2.1402
1380,4.0503
1380.5,1.7166
1381,1.0126
1381.5,0.8089
1382,0.7741
1382.5,0.7336
1383,0.7754
1383.5,0.6082
1384,0.7547
1384.5,0.6703
1385,0.7622
1385.5,0.7323
1386,0.6327
1386.5,0.6863
1387,0.5955
1387.5,0.6492
1388,0.7779
1388.5,0.8791
1389,0.8255
1389.5,0.7726
1390,0.7855
1390.5,0.7242
1391,0.6599
1391.5,0.6184
1392,0.5871
1392.5,0.7427
1393,0.8695
1393.5,0.7924
1394,0.6803
1394.5,0.6636
1395,0.7031
1395.5,0.7835
1396,0.8422
1396.5,0.7346
1397,0.6721
1397.5,0.6334
1398,0.754
1398.5,0.8172
1399,0.7174
1399.5,0.9403
1400,0.9296
1400.5,0.8894
1401,0.9447
1401.5,1.0093
1402,0.9064
1402.5,1.0022
1403,1.1173
1403.5,1.1818
1404,1.2504
1404.5,1.2137
1405,1.2359
1405.5,1.1727
1406,1.1996
1406.5,1.2979
1407,1.2487
1407.5,1.428
1408,1.2995
1408.5,1.373
1409,1.501
1409.5,1.5544
1410,2.0872
1410.5,1.7221
1411,1.7697
1411.5,1.9633
1412,2.4419
1412.5,5.1985
1413,3.3422
1413.5,2.1025
1414,1.9233
1414.5,1.8366
1415,1.9252
1415.5,1.994
1416,2.0827
1416.5,2.1499
1417,1.8797
1417.5,2.1081
1418,2.4543
1418.5,3.7133
1419,4.5123
1419.5,4.7231
1420,5.0659
1420.5,4.4424
1421,2.058
1421.5,1.2613
1422,1.1252
1422.5,1.3491
1423,1.632
1423.5,2.1947
1424,3.0594
1424.5,1.9491
1425,1.0828
1425.5,0.728
1426,0.6499
1426.5,0.5345
1427,0.6939
1427.5,0.6838
1428,0.63
1428.5,0.6215
1429,0.6912
1429.5,0.7478
1430,0.7588
1430.5,0.7198
1431,0.7146
1431.5,0.7419
1432,0.729
1432.5,0.7456
1433,0.6564
1433.5,0.7164
1434,0.7074
1434.5,0.9762
1435,0.7217
1435.5,1.9087
1436,0.6378
1436.5,0.6145
1437,0.7223
1437.5,0.6991
1438,0.6501
1438.5,0.6436
1439,0.6661
1439.5,0.712
1440,0.7254
1440.5,0.7531
1441,0.7097
1441.5,0.7177
1442,0.6981
1442.5,0.6498
1443,0.7689
1443.5,0.759
1444,0.6823
1444.5,0.6951
1445,0.6291
1445.5,0.8272
1446,0.6158
1446.5,0.5751
1447,0.635
1447.5,0.6967
1448,0.9717
1448.5,1.2868
1449,1.5283
1449.5,1.7699
1450,2.0149
1450.5,2.3138
1451,2.6314
1451.5,2.9489
1452,3.2665
1452.5,4.0155
1453,4.6585
1453.5,4.2365
1454,3.8054
1454.5,3.3597
1455,3.0031
1455.5,3.0242
1456,3.045
1456.5,2.9508
1457,2.603
1457.5,2.3473
1458,2.1628
1458.5,1.6097
1459,1.5868
1459.5,1.6348
1460,1.6486
1460.5,1.6327
1461,1.4011
1461.5,1.2805
1462,1.1315
1462.5,0.8728
1463,1.0241
1463.5,1.0416
1464,1.1242
1464.5,1.1554
1465,1.1422
1465.5,1.1289
1466,1.1318
1466.5,1.0232
1467,0.8297
1467.5,0.9341
1468,0.9754
1468.5,1.0623
1469,1.0827
1469.5,1.0725
1470,1.0084
1470.5,0.9377
1471,0.935
1471.5,0.9664
1472,0.9714
1472.5,0.9345
1473,0.913
1473.5,0.8225
1474,0.9264
1474.5,0.9183
1475,0.9032
1475.5,0.931
1476,0.9653
1476.5,0.8381
1477,0.9284
1477.5,0.8855
1478,0.7626
1478.5,0.792
1479,0.7065
1479.5,0.755
1480,0.7848
1480.5,0.8316
1481,0.9136
1481.5,0.8614
1482,0.8042
1482.5,0.7944
1483,0.8255
1483.5,0.9391
1484,0.9376
1484.5,0.9273
1485,0.9319
1485.5,0.9182
1486,0.8539
1486.5,0.8484
1487,0.8416
1487.5,0.8345
1488,0.8845
1488.5,1.2915
1489,1.9747
1489.5,2.2568
1490,2.0835
1490.5,2.1104
1491,2.354
1491.5,2.08
1492,1.979
1492.5,2.1639
1493,3.0062
1493.5,3.5165
1494,3.2118
1494.5,2.7759
1495,2.3545
1495.5,2.02
1496,1.7196
1496.5,1.5596
1497,1.7326
1497.5,1.8566
1498,2.1321
1498.5,2.6492
1499,3.3405
1499.5,4.2916
1500,3.6332
1500.5,3.3212
1501,3.3275
1501.5,2.9914
1502,2.4589
1502.5,1.771
1503,1.74
1503.5,1.94
1504,1.951
1504.5,1.7711
1505,1.8333
1505.5,1.8897
1506,2.2252
1506.5,2.0245
1507,1.7724
1507.5,1.8702
1508,1.8749
1508.5,1.7307
1509,1.458
1509.5,1.2158
1510,1.0992
1510.5,0.8732
1511,0.9938
1511.5,0.9563
1512,0.8971
1512.5,0.9002
1513,1.0237
1513.5,0.997
1514,0.9172
1514.5,0.9212
1515,0.8962
1515.5,0.9724
1516,1.0123
1516.5,0.9996
1517,0.9604
1517.5,1.0771
1518,0.8572
1518.5,0.9152
1519,0.9065
1519.5,0.9644
1520,1.0482
1520.5,0.8788
1521,0.7592
1521.5,0.938
1522,0.9736
1522.5,0.947
1523,0.8259
1523.5,0.7156
1524,0.8008
1524.5,0.9134
1525,0.8304
1525.5,0.4504
1526,0.7829
1526.5,0.9012
1527,0.8184
1527.5,0.8135
1528,0.8059
1528.5,0.9018
1529,1.1582
1529.5,1.1354
1530,0.9901
1530.5,1.0369
1531,0.8914
1531.5,0.923
1532,0.8656
1532.5,0.8974
1533,0.9904
1533.5,1.437
1534,1.6173
1534.5,1.0533
1535,1.2603
1535.5,1.3072
1536,1.1891
1536.5,1.0941
1537,1.1672
1537.5,1.1954
1538,1.1797
1538.5,2.3725
1539,2.5429
1539.5,1.2867
1540,1.3537
1540.5,1.3981
1541,1.2542
1541.5,1.1596
1542,1.1764
1542.5,1.2243
1543,1.209
1543.5,1.4837
1544,1.3476
1544.5,1.1375
1545,1.0116
1545.5,1.1712
1546,1.1832
1546.5,0.8255
1547,0.9697
1547.5,1.0725
1548,1.0675
1548.5,1.0336
1549,1.0053
1549.5,1.0596
1550,1.1291
1550.5,1.2952
1551,1.3709
1551.5,1.4994
1552,1.4503
1552.5,1.3489
1553,1.3096
1553.5,1.4134
1554,1.2929
1554.5,0.9686
1555,0.8396
1555.5,0.6634
1556,0.6865
1556.5,0.6204
1557,0.6425
1557.5,0.7265
1558,0.642
1558.5,0.5771
1559,0.542
1559.5,0.6383
1560,0.5595
1560.5,0.5119
1561,0.5785
1561.5,0.5783
1562,0.5887
1562.5,0.6212
1563,0.675
1563.5,0.5992
1564,0.6375
1564.5,0.7215
1565,0.697
1565.5,0.6315
1566,0.6471
1566.5,0.6657
1567,0.6089
1567.5,0.5579
1568,0.5472
1568.5,0.6975
1569,0.6142
1569.5,0.7208
1570,0.8215
1570.5,0.9426
1571,1.0258
1571.5,0.7756
1572,0.8396
1572.5,0.9528
1573,0.8548
1573.5,0.9968
1574,0.9369
1574.5,0.9967
1575,1.0111
1575.5,1.1968
1576,1.4067
1576.5,1.2589
1577,1.4705
1577.5,1.3275
1578,1.4187
1578.5,1.1129
1579,1.1132
1579.5,1.021
1580,1.0467
1580.5,1.0431
1581,0.6921
1581.5,0.6203
1582,0.7979
1582.5,0.9724
1583,1.0079
1583.5,1.1137
1584,1.2265
1584.5,1.1838
1585,1.0541
1585.5,0.9194
1586,0.9388
1586.5,0.9644
1587,1.0017
1587.5,0.9984
1588,1.0407
1588.5,1.0251
1589,1.0356
1589.5,0.986
1590,1.0783
1590.5,1.0364
1591,1.3664
1591.5,1.468
1592,1.5982
1592.5,1.9706
1593,2.2799
1593.5,1.6937
1594,1.5595
1594.5,0.9376
1595,0.7042
1595.5,0.774
1596,0.988
1596.5,0.897
1597,0.8975
1597.5,0.9933
1598,0.9055
1598.5,1.0495
1599,1.141
1599.5,1.014
1600,1.0037
1600.5,1.1033
1601,1.0845
1601.5,1.0013
1602,1.0494
1602.5,1.0058
1603,1.0814
1603.5,1.0295
1604,1.0447
1604.5,1.0595
1605,0.9861
1605.5,1.0737
1606,1.0822
1606.5,1.0911
1607,1.1407
1607.5,1.219
1608,1.0298
1608.5,1.0067
1609,1.1396
1609.5,1.0732
1610,1.1449
1610.5,1.2315
1611,1.3041
1611.5,1.4625
1612,1.5571
1612.5,1.4605
1613,1.1299
1613.5,0.9029
1614,0.9591
1614.5,1.0081
1615,1.0729
1615.5,1.0765
1616,1.15
1616.5,1.1665
1617,1.1587
1617.5,1.0818
1618,0.8643
1618.5,0.8592
1619,0.8219
1619.5,0.9048
1620,1.0073
1620.5,1.0102
1621,0.9453
1621.5,0.8295
1622,0.8372
1622.5,0.9147
1623,1.0697
1623.5,1.1029
1624,0.9868
1624.5,1.0259
1625,1
1625.5,1.0238
1626,0.8253
1626.5,0.8733
1627,0.8781
1627.5,0.7265
1628,0.6487
1628.5,0.7045
1629,0.6777
1629.5,0.5118
1630,0.6011
1630.5,0.5791
1631,0.5318
