/* DESCRIPTION:
Reference:	Fleitmann, D., H. Cheng, S. Badertscher, R.L. Edwards, M. Mudelsee, O.M. Göktürk, A. Fankhauser, R. Pickering, C.C. Raible, A. Matter, J. Kramers, and O. Tüysüz.  2009. Timing and climatic impact of Greenland interstadials recorded in stalagmites from northern Turkey. Geophys. Res. Lett., 36, L19707, doi:10.1029/2009GL040050
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/8637. Accessed 22 Nov 2022.
Comment:	Years were converted to ka.
*/
Age [ka BP]	  del13C	    del18O
0.36264	-9.69	-8.21
0.36586	-9.93	-8.2
0.36908	-9.76	-8.12
0.3723	-9.77	-8.12
0.37552	-9.82	-8.27
0.37874	-9.77	-8.34
0.38195	-9.69	-8.28
0.38517	-9.7	-8.34
0.38839	-9.59	-8.28
0.39161	-9.83	-8.23
0.39483	-9.75	-8.19
0.39805	-9.57	-8.12
0.40126	-10.04	-8.15
0.40448	-9.99	-8.26
0.4077	-9.96	-8.21
0.41092	-9.69	-8.02
0.41414	-9.79	-8.17
0.41736	-9.74	-8.25
0.42057	-9.6	-8.45
0.42379	-9.58	-8.35
0.42701	-9.81	-8.28
0.43023	-9.62	-8.28
0.43345	-9.66	-8.19
0.43667	-9.83	-8.23
0.43989	-10.07	-8.22
0.4431	-10.08	-8.3
0.44632	-10.08	-8.32
0.44954	-9.88	-8.35
0.45276	-9.73	-8.29
0.45598	-9.83	-8.17
0.4592	-10.03	-8.18
0.46241	-9.96	-8.22
0.46563	-9.94	-8.28
0.46885	-9.86	-8.23
0.47207	-9.93	-8.17
0.47529	-10.14	-8.22
0.47851	-10.13	-8.3
0.48172	-10.18	-8.39
0.48494	-10.02	-8.32
0.48816	-9.68	-8.21
0.49138	-9.95	-8.25
0.4946	-10.1	-8.36
0.49782	-10.02	-8.42
0.50103	-10.08	-8.37
0.50425	-10.13	-8.44
0.50747	-10.09	-8.35
0.51069	-10.12	-8.38
0.51391	-10.02	-8.37
0.51713	-10.08	-8.23
0.52034	-10.12	-8.17
0.52356	-10	-8.08
0.52678	-10.05	-8.17
0.53	-9.94	-8.25
0.53733	-10.37	-8.32
0.54466	-10.37	-8.36
0.55199	-10.15	-8.26
0.55931	-10	-8.22
0.56664	-9.93	-8.28
0.57397	-9.94	-8.37
0.5813	-9.93	-8.43
0.58863	-10.03	-8.41
0.59596	-10.08	-8.31
0.60328	-10.1	-8.21
0.61061	-10.14	-8.15
0.61794	-10.17	-8.15
0.62527	-10.02	-8.44
0.6326	-9.83	-8.31
0.63993	-10.13	-8.14
0.64725	-10.28	-8.05
0.65458	-10.02	-8.11
0.66191	-9.98	-8.07
0.66924	-10.08	-8.06
0.67657	-10.15	-8.26
0.6839	-9.96	-8.1
0.69122	-9.68	-8.27
0.69855	-9.53	-8.35
0.70588	-9.73	-8.34
0.71321	-9.69	-8.17
0.72054	-9.64	-8.37
0.72787	-9.66	-8.32
0.73519	-9.72	-8.21
0.74252	-9.74	-8.17
0.74985	-9.92	-7.97
0.75718	-10.1	-8.02
0.76451	-10.28	-8.14
0.77184	-10.25	-8.25
0.77916	-10.21	-8.15
0.78649	-10.26	-8.14
0.79382	-10.15	-8.23
0.80115	-10.13	-8.21
