/* DESCRIPTION:
Reference:	Fleitmann, D., H. Cheng, S. Badertscher, R.L. Edwards, M. Mudelsee, O.M. Göktürk, A. Fankhauser, R. Pickering, C.C. Raible, A. Matter, J. Kramers, and O. Tüysüz.  2009. Timing and climatic impact of Greenland interstadials recorded in stalagmites from northern Turkey. Geophys. Res. Lett., 36, L19707, doi:10.1029/2009GL040050
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/8637. Accessed 22 Nov 2022.
Comment:	Years were converted to ka.
*/
Age [ka BP]	  del13C	    del18O
3.9279	-10.79	-8.3
3.93082	-10.88	-8.22
3.93374	-10.75	-8.23
3.93666	-10.76	-8.24
3.93958	-10.76	-8.21
3.94251	-10.68	-8.19
3.94543	-10.67	-8.25
3.94835	-10.58	-8.23
3.95127	-10.78	-8.24
3.95419	-10.83	-8.24
3.95712	-11.17	-8.35
3.96004	-10.89	-8.19
3.96296	-10.95	-8.25
3.96588	-10.89	-8.27
3.96881	-10.97	-8.24
3.97173	-10.86	-8.19
3.97465	-10.95	-8.16
3.97757	-10.88	-8.09
3.98049	-10.91	-8.19
3.98342	-10.95	-8.23
3.98634	-10.99	-8.28
3.98926	-11.17	-8.34
3.99218	-11.31	-8.41
3.9951	-11.18	-8.42
3.99803	-10.69	-8.21
4.00095	-10.5	-8.21
4.00387	-10.8	-8.19
4.00679	-10.9	-8.2
4.00971	-10.8	-8.07
4.01264	-10.65	-8.12
4.01556	-10.79	-8.07
4.01848	-10.96	-8.17
4.0214	-10.78	-8.08
4.02432	-10.9	-8.14
4.02725	-10.69	-8.23
4.03017	-10.66	-8.26
4.03309	-10.66	-8.25
4.03601	-10.68	-8.26
4.03894	-10.84	-8.19
4.04186	-10.86	-8.26
4.04478	-10.67	-8.27
4.0477	-10.61	-8.22
4.05062	-10.65	-8.13
4.05355	-10.55	-7.96
4.05647	-10.57	-8.06
4.05939	-10.7	-8.02
4.06231	-10.92	-8.17
4.06523	-10.78	-8.35
4.06816	-11.04	-8.11
4.07108	-10.75	-7.99
4.074	-10.71	-7.98
4.08475	-10.76	-8.12
4.0955	-10.63	-8
4.10625	-10.45	-7.98
4.117	-10.51	-7.96
4.12775	-10.46	-8.02
4.1385	-10.33	-8.08
4.14925	-10.53	-8.12
4.16	-10.77	-8.05
4.17075	-10.8	-8.11
4.1815	-10.45	-8.09
4.19225	-10.46	-8.13
4.203	-10.52	-8.22
4.21375	-10.48	-8.16
4.2245	-10.4	-8.19
4.23525	-10.36	-8.18
4.246	-10.22	-8.21
4.25675	-10.4	-8.23
4.2675	-10.46	-8.27
4.27825	-10.29	-8.29
4.289	-10.48	-8.22
4.29975	-10.42	-8.24
4.3105	-10.29	-8.13
4.32125	-10.43	-8.11
4.332	-10.5	-8.15
4.34275	-10.44	-8.06
4.3535	-10.37	-8.14
4.36425	-10.3	-8.14
4.375	-10.24	-8.09
4.38575	-10.37	-8.18
4.3965	-10.4	-8.1
4.40725	-10.43	-8.18
4.418	-10.45	-8.25
4.42875	-10.32	-8.13
4.4395	-10.13	-8.13
4.45025	-10.14	-8.11
4.461	-10.02	-8.06
4.47175	-10.1	-8.11
4.4825	-10.12	-8.13
4.49325	-10.34	-8.23
4.504	-10.15	-8.19
4.51073	-10.46	-8.15
4.51747	-10.53	-8.1
4.5242	-10.31	-8.03
4.53093	-10.43	-7.99
4.53767	-10.5	-8.05
4.5444	-10.66	-8.14
4.55113	-10.46	-8.2
4.55787	-10.36	-8.08
4.5646	-10.51	-8.21
4.57133	-10.33	-8.23
4.57807	-10.41	-8.14
4.5848	-10.21	-8.22
4.59153	-10.36	-8.17
4.59827	-10.29	-8.29
4.605	-10.5	-8.36
4.61173	-10.45	-8.33
4.61847	-10.29	-8.35
4.6252	-10.35	-8.12
4.63193	-10.27	-8.21
4.63867	-10.35	-8.18
4.6454	-10.56	-8.2
4.65213	-10.57	-8.22
4.65887	-10.74	-8.35
4.6656	-10.75	-8.27
4.67233	-10.5	-8.27
4.67907	-10.24	-8.24
4.6858	-10.18	-8.25
4.69253	-10.27	-8.2
4.69927	-10.48	-8.31
4.706	-10.3	-8.3
4.72419	-10.5	-8.32
4.74239	-10.55	-8.21
4.76058	-10.59	-8.26
4.77878	-10.37	-8.22
4.79697	-10.44	-8.11
4.81517	-10.24	-7.88
4.83336	-10.44	-8.27
4.85156	-10.21	-8.28
4.86975	-10.2	-8.31
4.88794	-10.31	-8.17
4.90614	-10.59	-8.12
4.92433	-10.64	-8.11
4.94253	-10.79	-8.21
4.96072	-10.76	-8.16
4.97892	-10.54	-8.31
4.99711	-10.33	-8.25
5.01531	-10.7	-8.31
5.0335	-10.69	-8.41
5.05169	-10.63	-8.4
5.06989	-10.68	-8.3
5.08808	-10.7	-8.33
5.10628	-10.57	-8.39
5.12447	-10.24	-8.25
5.14267	-10.39	-8.36
5.16086	-10.15	-8.23
5.17906	-10.32	-8.25
5.19725	-10.45	-8.35
5.21544	-10.82	-8.35
5.23364	-10.68	-8.59
5.25183	-10.75	-8.45
5.27003	-10.87	-8.38
5.28822	-10.69	-8.47
5.30642	-10.7	-8.48
5.32461	-10.31	-8.35
5.34281	-10.17	-8.08
5.361	-9.95	-7.95
5.3648	-10.04	-7.99
5.3686	-10.53	-8.05
5.37239	-10.51	-8.04
5.37619	-10.5	-8.14
5.37999	-10.49	-8.13
5.38379	-10.75	-8.03
5.38758	-10.95	-8.12
5.39138	-10.74	-8.22
5.39518	-10.8	-8.17
5.39898	-10.68	-8.08
5.40277	-10.52	-8.12
5.40657	-10.49	-8.07
5.41037	-10.59	-8.08
5.41417	-10.4	-7.96
5.41796	-10.6	-8.11
5.42176	-10.69	-8.18
5.42556	-10.6	-8.15
5.42936	-10.42	-8.26
5.43315	-10.43	-8.28
5.43695	-10.47	-8.32
5.44075	-10.51	-8.35
5.44455	-10.71	-8.42
5.44835	-10.68	-8.6
5.45214	-10.81	-8.51
5.45594	-10.8	-8.43
5.45974	-10.61	-8.35
5.46354	-10.68	-8.15
5.46733	-10.68	-8.1
5.47113	-10.83	-8.21
5.47493	-10.89	-8.37
5.47873	-10.6	-8.33
5.48252	-10.85	-8.32
5.48632	-10.72	-8.48
5.49012	-10.75	-8.56
5.49392	-10.78	-8.68
5.49771	-10.79	-8.53
5.50151	-10.9	-8.64
5.50531	-10.8	-8.69
5.50911	-10.72	-8.65
5.5129	-10.75	-8.39
5.5167	-10.54	-8.2
5.5205	-10.37	-8.24
5.5243	-10.65	-8.39
5.5281	-10.72	-8.36
5.53189	-10.39	-8.08
5.53569	-10.61	-8.25
5.53949	-10.95	-8.39
5.54329	-10.96	-8.25
5.54708	-11	-8.27
5.55088	-10.99	-8.53
5.55468	-10.92	-8.55
5.55848	-10.72	-8.49
5.56227	-10.72	-8.21
5.56607	-10.63	-8.01
5.56987	-10.71	-8.12
5.57367	-10.96	-8.2
5.57746	-10.75	-8.23
5.58126	-10.67	-8.25
5.58506	-10.86	-8.27
5.58886	-10.86	-8.42
5.59265	-10.83	-8.4
5.59645	-10.93	-8.47
5.60025	-11.11	-8.44
5.60405	-11.12	-8.25
5.60785	-10.88	-8.31
5.61164	-10.97	-8.3
5.61544	-11.25	-8.42
5.61924	-10.91	-8.42
5.62304	-11.19	-8.51
5.62683	-11.02	-8.54
5.63063	-10.75	-8.42
5.63443	-10.88	-8.26
5.63823	-10.97	-8.21
5.64202	-10.82	-8.17
5.64582	-10.87	-8.14
5.64962	-10.86	-8.11
5.65342	-10.62	-8.05
5.65721	-10.75	-7.98
5.66101	-10.67	-8.19
5.66481	-10.82	-8.3
5.66861	-10.97	-8.34
5.6724	-10.76	-8.43
5.6762	-10.96	-8.45
5.68	-11.1	-8.61
5.69109	-11.07	-8.54
5.70218	-10.85	-8.68
5.71327	-10.94	-8.43
5.72436	-11.3	-8.48
5.73545	-11.11	-8.55
5.74654	-11.19	-8.5
5.75763	-11.46	-8.59
5.76871	-11.29	-8.48
5.7798	-11.25	-8.45
5.79089	-11.1	-8.26
5.80198	-11.2	-8.36
5.81307	-11.09	-8.35
5.82416	-11	-8.48
5.83525	-10.81	-8.48
5.84634	-10.83	-8.52
5.85743	-10.34	-8.21
5.86852	-10.49	-8.5
5.87961	-10.33	-8.59
5.8907	-10.02	-8.47
5.90179	-10.15	-8.26
5.91288	-9.98	-8.29
5.92396	-9.96	-8.06
5.93505	-9.9	-7.85
5.94614	-9.67	-7.97
5.95723	-9.89	-7.99
5.96832	-10.09	-8.01
5.97941	-10.1	-8.08
5.9905	-9.98	-7.93
6.00159	-9.85	-7.92
6.01268	-10.06	-7.95
6.02377	-10.06	-7.97
6.03486	-10.19	-7.95
6.04595	-9.99	-7.87
6.05704	-10.15	-8
6.06813	-10.04	-7.98
6.07921	-10	-8.04
6.0903	-9.98	-7.99
6.10139	-9.98	-7.97
6.11248	-9.94	-7.87
6.12357	-10.07	-8
6.13466	-10.26	-8.04
6.14575	-10.36	-7.99
6.15684	-10.12	-8.3
6.16793	-10.02	-8.35
6.17902	-10.28	-8.28
6.19011	-10.24	-8.3
6.2012	-10.41	-8.28
6.21229	-10.27	-8.29
6.22338	-10.37	-8.45
6.23446	-10.48	-8.31
6.24555	-10.67	-8.3
6.25664	-10.65	-8.36
6.26773	-10.6	-8.62
6.27882	-10.5	-8.56
6.28991	-10.17	-8.56
6.301	-10.3	-8.61
6.30564	-10.38	-8.63
6.31029	-10.38	-8.77
6.31493	-10.28	-8.76
6.31957	-10.5	-8.72
6.32422	-10.46	-8.9
6.32886	-10.56	-8.9
6.3335	-10.5	-8.85
6.33815	-10.45	-8.67
6.34279	-9.95	-8.17
6.34743	-9.45	-7.67
6.35208	-10.76	-8.57
6.35672	-10.42	-8.52
6.36137	-10.43	-8.5
6.36601	-10.32	-8.47
6.37065	-10.44	-8.37
6.3753	-10.2	-8.34
6.37994	-10.45	-8.35
6.38458	-10.3	-8.36
6.38923	-10.6	-8.46
6.39387	-10.11	-8.15
6.39851	-10.28	-8.34
6.40316	-10.24	-8.38
6.4078	-10.09	-8.48
6.41244	-10.05	-8.35
6.41709	-10.03	-8.18
6.42173	-9.97	-8.35
6.42637	-10.02	-8.32
6.43102	-10.22	-8.41
6.43566	-10.33	-8.31
6.4403	-10.31	-8.33
6.44495	-10.23	-8.33
6.44959	-10.39	-8.46
6.45423	-10.36	-8.49
6.45888	-10.41	-8.57
6.46352	-10.48	-8.54
6.46817	-10.48	-8.55
6.47281	-10.44	-8.65
6.47745	-10.29	-8.49
6.4821	-10.08	-8.42
6.48674	-10.13	-8.43
6.49138	-10.13	-8.58
6.49603	-10.26	-8.73
6.50067	-10.31	-8.73
6.50531	-10.57	-8.44
6.50996	-10.6	-8.49
6.5146	-10.4	-8.5
6.51924	-10.6	-8.59
6.52389	-10.15	-8.63
6.52853	-10.29	-8.72
6.53317	-10.27	-8.54
6.53782	-10.03	-8.35
6.54246	-10	-8.27
6.5471	-10.22	-8.33
6.55175	-10.1	-8.34
6.55639	-9.66	-8.22
6.56103	-9.98	-8.31
6.56568	-9.84	-8.29
6.57032	-9.79	-8.27
6.57497	-10.01	-8.35
6.57961	-9.8	-8.32
6.58425	-9.77	-8.34
6.5889	-9.66	-8.42
6.59354	-9.78	-8.47
6.59818	-9.73	-8.32
6.60283	-9.89	-8.44
6.60747	-9.92	-8.5
6.61211	-9.61	-8.47
6.61676	-9.47	-8.47
6.6214	-9.49	-8.28
6.62604	-9.83	-8.45
6.63069	-9.89	-8.49
6.63533	-10.08	-8.45
6.63997	-10.28	-8.51
6.64462	-10.13	-8.7
6.64926	-10.11	-8.47
6.6539	-10.12	-8.38
6.65855	-10.01	-8.22
6.66319	-10.22	-8.36
6.66783	-9.85	-8.23
6.67248	-9.98	-8.21
6.67712	-9.83	-8.33
6.68177	-10.16	-8.43
6.68641	-10.35	-8.62
6.69105	-9.88	-8.43
6.6957	-9.94	-8.52
6.70034	-9.9	-8.53
6.70498	-9.89	-8.56
6.70963	-9.91	-8.55
6.71427	-9.91	-8.4
6.71891	-10.25	-8.55
6.72356	-9.75	-8.53
6.7282	-9.94	-8.53
6.73284	-9.62	-8.53
6.73749	-9.51	-8.48
6.74213	-10.12	-8.45
6.74677	-9.73	-8.4
6.75142	-9.75	-8.39
6.75606	-9.78	-8.43
6.7607	-9.64	-8.42
6.76535	-9.64	-8.36
6.76999	-9.63	-8.4
6.77463	-9.65	-8.36
6.77928	-9.88	-8.26
6.78392	-9.89	-8.37
6.78857	-9.75	-8.27
6.79321	-10.06	-8.26
6.79785	-10.07	-8.22
6.8025	-9.99	-8.16
6.80714	-10.01	-8.2
6.81178	-9.86	-8.03
6.81643	-9.86	-7.93
6.82107	-9.99	-8.07
6.82571	-10.22	-8.11
6.83036	-10.2	-8.28
6.835	-9.99	-8.32
6.83728	-10.16	-8.38
6.83955	-10.41	-8.42
6.84183	-10.29	-8.43
6.8441	-10.22	-8.54
6.84638	-10.03	-8.48
6.84865	-9.92	-8.49
6.85093	-10.12	-8.65
6.8532	-9.98	-8.61
6.85548	-10.07	-8.7
6.85776	-10.13	-8.64
6.86003	-10.06	-8.6
6.86231	-9.97	-8.57
6.86458	-10.27	-8.47
6.86686	-10.32	-8.38
6.86913	-10.45	-8.28
6.87141	-10.48	-8.21
6.87368	-10.31	-8.2
6.87596	-10	-8.03
6.87823	-9.68	-7.94
6.88051	-9.68	-7.85
6.88279	-9.55	-7.86
6.88506	-9.35	-7.72
6.88734	-9.65	-7.78
6.88961	-9.83	-8.02
6.89189	-9.67	-8.01
6.89416	-9.77	-7.92
6.89644	-10	-7.86
6.89871	-9.95	-8
6.90099	-10.04	-8.09
6.90327	-10.05	-8.09
6.90554	-10.09	-8.28
6.90782	-10.12	-8.27
6.91009	-10.01	-8.46
6.91237	-10.1	-8.17
6.91464	-10.21	-8.09
6.91692	-10.26	-8.1
6.91919	-10.26	-8.08
6.92147	-10.38	-8.12
6.92374	-10.34	-8.21
6.92602	-10.38	-8.18
6.9283	-10.39	-8.12
6.93057	-10.49	-8.18
6.93285	-10.28	-8.1
6.93512	-10.25	-8.08
6.9374	-10.23	-8.05
6.93967	-10.51	-8.15
6.94195	-10.35	-8.12
6.94422	-10.12	-8.02
6.9465	-9.89	-7.9
6.94878	-9.78	-7.8
6.95105	-9.93	-7.93
6.95333	-10.07	-8.02
6.9556	-10.13	-7.97
6.95788	-10.14	-8.07
6.96015	-10.09	-8.31
6.96243	-10.05	-8.37
6.9647	-10.27	-8.42
6.96698	-10.2	-8.24
6.96926	-10.47	-8.45
6.97153	-10.19	-8.36
6.97381	-10.08	-8.31
6.97608	-10.1	-8.46
6.97836	-10.38	-8.42
6.98063	-10.33	-8.3
6.98291	-10.28	-8.3
6.98518	-10.28	-8.31
6.98746	-10.37	-8.38
6.98973	-10.35	-8.31
6.99201	-10.04	-8.2
6.99429	-10.01	-8.18
6.99656	-9.77	-8.2
6.99884	-9.99	-8.31
7.00111	-10.25	-8.38
7.00339	-10.1	-8.46
7.00566	-9.82	-8.37
7.00794	-10	-8.46
7.01021	-10.36	-8.54
7.01249	-10.4	-8.47
7.01477	-10.47	-8.5
7.01704	-10.41	-8.31
7.01932	-10.59	-8.35
7.02159	-10.28	-8.55
7.02387	-10.13	-8.48
7.02614	-10.1	-8.51
7.02842	-10.21	-8.43
7.03069	-10.15	-8.59
7.03297	-10.15	-8.55
7.03524	-9.95	-8.52
7.03752	-10.03	-8.41
7.0398	-9.93	-8.33
7.04207	-9.86	-8.33
7.04435	-10.17	-8.39
7.04662	-10.28	-8.38
7.0489	-10.42	-8.36
7.05117	-10.24	-8.34
7.05345	-9.92	-8.53
7.05572	-9.91	-8.45
7.058	-9.83	-8.39
7.06028	-9.74	-8.43
7.06255	-10.11	-8.4
7.06483	-10.17	-8.28
7.0671	-10.14	-8.29
7.06938	-10.02	-8.32
7.07165	-9.9	-8.37
7.07393	-9.83	-8.27
7.0762	-10.06	-8.17
7.07848	-10.14	-8.32
7.08076	-10.16	-8.3
7.08303	-9.97	-8.29
7.08531	-10.09	-8.38
7.08758	-10.02	-8.37
7.08986	-10.15	-8.48
7.09213	-10.11	-8.75
7.09441	-10.26	-8.84
7.09668	-10.19	-8.79
7.09896	-9.92	-8.81
7.10123	-10.07	-8.61
7.10351	-10.25	-8.45
7.10579	-10.45	-8.45
7.10806	-10.59	-8.63
7.11034	-10.83	-8.59
7.11261	-10.55	-8.63
7.11489	-10.3	-8.57
7.11716	-10.57	-8.49
7.11944	-10.47	-8.46
7.12171	-10.13	-8.59
7.12399	-10.38	-8.72
7.12627	-10.45	-8.67
7.12854	-10.52	-8.56
7.13082	-10.41	-8.62
7.13309	-10.37	-8.64
7.13537	-10.48	-8.57
7.13764	-10.33	-8.53
7.13992	-10.15	-8.42
7.14219	-10.02	-8.47
7.14447	-10.07	-8.48
7.14674	-9.88	-8.34
7.14902	-10	-8.2
7.1513	-10.21	-8.43
7.15357	-10.08	-8.46
7.15585	-10.3	-8.41
7.15812	-10.46	-8.47
7.1604	-10.54	-8.6
7.16267	-10.26	-8.52
7.16495	-10.34	-8.44
7.16722	-10.43	-8.42
7.1695	-10.27	-8.29
7.17178	-10.28	-8.23
7.17405	-10.48	-8.26
7.17633	-10.83	-8.4
7.1786	-10.5	-8.37
7.18088	-10.43	-8.4
7.18315	-10.7	-8.27
7.18543	-10.47	-8.19
7.1877	-10.6	-8.29
7.18998	-10.33	-8.34
7.19226	-10.45	-8.38
7.19453	-10.26	-8.3
7.19681	-10	-8.26
7.19908	-9.99	-8.18
7.20136	-9.82	-8.21
7.20363	-9.55	-8.25
7.20591	-10	-8.31
7.20818	-10.29	-8.31
7.21046	-10.62	-8.6
7.21273	-10.29	-8.68
7.21501	-10.62	-8.76
7.21729	-10.41	-8.86
7.21956	-10.29	-8.87
7.22184	-10.59	-9
7.22411	-10.69	-8.9
7.22639	-10.66	-8.82
7.22866	-10.75	-8.78
7.23094	-10.49	-8.61
7.23321	-10.54	-8.4
7.23549	-10.54	-8.46
7.23777	-10.64	-8.51
7.24004	-10.47	-8.38
7.24232	-10.34	-8.61
7.24459	-10.59	-8.65
7.24687	-10.55	-8.57
7.24914	-10.59	-8.35
7.25142	-10.18	-8.33
7.25369	-10.21	-8.32
7.25597	-10.39	-8.51
7.25824	-10.35	-8.48
7.26052	-10.25	-8.43
7.2628	-9.98	-8.5
7.26507	-9.81	-8.54
7.26735	-10.15	-8.65
7.26962	-10.37	-8.57
7.2719	-10.39	-8.59
7.27417	-10.55	-8.64
7.27645	-10.3	-8.44
7.27872	-10.59	-8.5
7.281	-10.72	-8.56
7.28405	-10.72	-8.73
7.28711	-10.52	-8.63
7.29016	-10.71	-8.69
7.29321	-10.49	-8.78
7.29627	-10.48	-8.7
7.29932	-10.38	-8.51
7.30238	-10.47	-8.5
7.30543	-10.7	-8.51
7.30848	-10.67	-8.4
7.31154	-10.64	-8.35
7.31459	-10.55	-8.39
7.31764	-10.8	-8.55
7.3207	-10.71	-8.66
7.32375	-10.32	-8.62
7.32681	-10.3	-8.63
7.32986	-10.13	-8.53
7.33291	-10.53	-8.6
7.33597	-10.57	-8.52
7.33902	-10.17	-8.59
7.34207	-10.43	-8.53
7.34513	-10.38	-8.47
7.34818	-10.08	-8.43
7.35123	-10.32	-8.53
7.35429	-10.19	-8.52
7.35734	-10.17	-8.78
7.3604	-10.22	-8.65
7.36345	-10.15	-8.66
7.3665	-10.12	-8.59
7.36956	-10.54	-8.63
7.37261	-10.58	-8.53
7.37566	-9.94	-8.54
7.37872	-10.27	-8.63
7.38177	-10.23	-8.59
7.38483	-10.2	-8.45
7.38788	-10.21	-8.46
7.39093	-10.69	-8.84
7.39399	-10.73	-8.7
7.39704	-10.93	-8.68
7.40009	-10.92	-8.68
7.40315	-10.58	-8.67
7.4062	-10.55	-8.59
7.40926	-10.55	-8.67
7.41231	-10.7	-8.55
7.41536	-10.79	-8.64
7.41842	-11.06	-8.53
7.42147	-11.09	-8.51
7.42452	-11.16	-8.63
7.42758	-10.97	-8.71
7.43063	-10.75	-8.64
7.43368	-10.59	-8.65
7.43674	-10.61	-8.92
7.43979	-10.32	-8.94
7.44285	-10.33	-8.96
7.4459	-10.5	-8.98
7.44895	-10.44	-8.89
7.45201	-10.46	-8.98
7.45506	-10.71	-9.22
7.45811	-10.8	-9.11
7.46117	-10.89	-9.16
7.46422	-10.98	-9.18
7.46728	-11	-9.33
7.47033	-11.17	-9.27
7.47338	-10.98	-9.34
7.47644	-10.95	-9.41
7.47949	-10.87	-9.11
7.48254	-11.08	-8.98
7.4856	-11.19	-8.88
7.48865	-11.16	-8.84
7.4917	-11.04	-8.87
7.49476	-11.02	-9.01
7.49781	-11.27	-9.16
7.50087	-11.21	-9.34
7.50392	-11.26	-9.15
7.50697	-11.16	-9.14
7.51003	-10.8	-9.03
7.51308	-10.92	-9.19
7.51613	-10.86	-9.29
7.51919	-10.68	-9.17
7.52224	-10.54	-9.29
7.5253	-10.3	-9.11
7.52835	-10.49	-8.78
7.5314	-10.58	-8.73
7.53446	-10.69	-8.92
7.53751	-10.46	-9
7.54056	-10.54	-9.02
7.54362	-10.93	-9.02
7.54667	-10.46	-9.09
7.54972	-10.36	-9.18
7.55278	-10.49	-8.85
7.55583	-10.82	-8.65
7.55889	-10.91	-8.7
7.56194	-10.83	-8.65
7.56499	-10.99	-8.67
7.56805	-11.2	-8.35
7.5711	-10.96	-8.62
7.57415	-11	-8.98
7.57721	-10.97	-8.78
7.58026	-10.84	-8.67
7.58332	-10.57	-8.97
7.58637	-10.56	-9.05
7.58942	-10.59	-8.95
7.59248	-10.66	-8.99
7.59553	-10.71	-9
7.59858	-10.63	-8.9
7.60164	-10.7	-8.67
7.60469	-10.27	-8.61
7.60774	-9.58	-8.39
7.6108	-10.07	-8.48
7.61385	-10.43	-8.66
7.61691	-10.4	-8.66
7.61996	-10.34	-8.61
7.62301	-10.14	-8.61
7.62607	-9.86	-8.46
7.62912	-9.77	-8.28
7.63217	-10.08	-8.43
7.63523	-10.23	-8.67
7.63828	-10.36	-8.74
7.64134	-10.29	-8.67
7.64439	-10.36	-8.86
7.64744	-10.11	-8.73
7.6505	-10.1	-8.73
7.65355	-10.13	-8.66
7.6566	-10.07	-8.72
7.65966	-10.24	-8.72
7.66271	-10.21	-8.76
7.66577	-10.3	-8.8
7.66882	-10.2	-8.72
7.67187	-9.88	-8.67
7.67493	-10.09	-8.71
7.67798	-10.02	-8.66
7.68103	-10.8	-8.97
7.68409	-10.85	-8.79
7.68714	-10.71	-8.85
7.69019	-10.73	-8.83
7.69325	-10.25	-8.8
7.6963	-10.04	-8.9
7.69936	-9.79	-8.82
7.70241	-9.52	-8.82
7.70546	-10.06	-9.01
7.70852	-10.1	-9.02
7.71157	-9.91	-8.98
7.71462	-10.07	-9.03
7.71768	-10.1	-8.99
7.72073	-9.97	-9.12
7.72379	-10.14	-9.1
7.72684	-10.18	-9.12
7.72989	-10.4	-9.12
7.73295	-10.37	-9.25
7.736	-10.64	-9.22
7.74293	-10.36	-9.11
7.74986	-10.31	-9.08
7.75679	-10.47	-9.16
7.76372	-10.04	-8.97
7.77065	-10.19	-8.71
7.77758	-9.94	-8.81
7.78451	-10.08	-8.77
7.79144	-10.12	-8.79
7.79837	-10.19	-8.86
7.8053	-10.3	-8.92
7.81223	-10.04	-8.65
7.81915	-9.71	-8.48
7.82608	-10.07	-8.75
7.83301	-9.89	-8.66
7.83994	-10.13	-8.71
7.84687	-10.06	-8.74
7.8538	-10.04	-8.85
7.86073	-10.15	-8.8
7.86766	-10.23	-9.01
7.87459	-10.2	-9.07
7.88152	-10.09	-9.13
7.88845	-10.06	-9.08
7.89538	-10.12	-9.01
7.90231	-9.99	-9.01
7.90924	-9.77	-9.09
7.91617	-9.48	-8.97
7.9231	-9.27	-9.13
7.93003	-9.27	-9.04
7.93696	-9.68	-9.19
7.94389	-9.63	-9.22
7.95082	-9.58	-9.17
7.95775	-9.75	-9.32
7.96468	-9.58	-9.25
7.97161	-9.67	-8.99
7.97854	-10	-9.1
7.98546	-10.26	-8.54
7.99239	-10.11	-8.36
7.99932	-10.02	-8.39
8.00625	-9.85	-8.49
8.01318	-9.6	-8.3
8.02011	-10.56	-8.63
8.02704	-10.72	-8.76
8.03397	-10.08	-8.57
8.0409	-9.91	-8.49
8.04783	-10.17	-8.57
8.05476	-10.04	-8.63
8.06169	-10.04	-8.67
8.06862	-9.91	-8.64
8.07555	-9.89	-8.76
8.08248	-10.02	-8.91
8.08941	-10.24	-8.88
8.09634	-10.16	-8.95
8.10327	-9.94	-8.82
8.1102	-10.05	-8.86
8.11713	-9.87	-8.95
8.12406	-9.78	-9.05
8.13099	-9.79	-8.97
8.13792	-10.11	-8.97
8.14485	-9.86	-8.9
8.15177	-10.32	-8.97
8.1587	-10.26	-8.99
8.16563	-9.97	-9.01
8.17256	-9.9	-8.97
8.17949	-9.77	-8.91
8.18642	-9.56	-8.89
8.19335	-9.71	-8.79
8.20028	-9.97	-8.75
8.20721	-10.24	-8.74
8.21414	-10.09	-8.68
8.22107	-9.51	-8.4
8.228	-9.35	-8.44
8.23348	-9.5	-8.53
8.23895	-9.7	-8.65
8.24443	-9.42	-8.61
8.2499	-9.51	-8.6
8.25538	-9.78	-8.87
8.26086	-10	-8.92
8.26633	-10.07	-8.94
8.27181	-10.06	-8.78
8.27729	-9.91	-8.81
8.28276	-10.27	-8.8
8.28824	-10.63	-8.83
8.29371	-10.19	-8.67
8.29919	-9.52	-8.5
8.30467	-9.82	-9.07
8.31014	-9.73	-9.04
8.31562	-9.91	-9.16
8.3211	-9.82	-9.02
8.32657	-10.04	-8.96
8.33205	-10.26	-9.01
8.33752	-10.18	-8.99
8.343	-10.23	-9.15
8.34848	-9.98	-9.04
8.35395	-9.84	-9.02
8.35943	-10.1	-9.12
8.3649	-10.12	-9.16
8.37038	-9.95	-9.33
8.37586	-10.19	-9.19
8.38133	-10.14	-9.13
8.38681	-10.08	-9.23
8.39229	-10.02	-9.16
8.39776	-9.75	-8.95
8.40324	-9.87	-8.99
8.40871	-9.74	-8.99
8.41419	-9.83	-9.03
8.41967	-9.79	-9.02
8.42514	-9.64	-8.95
8.43062	-9.64	-9.04
8.4361	-9.85	-9.06
8.44157	-9.73	-9.01
8.44705	-9.84	-9.04
8.45252	-9.66	-9.09
8.458	-9.68	-9.3
8.46334	-9.82	-9.29
8.46868	-9.57	-9.11
8.47401	-9.6	-9.06
8.47935	-9.81	-9.2
8.48469	-9.87	-9.15
8.49003	-9.6	-9.37
8.49537	-9.57	-9.12
8.50071	-9.44	-9.22
8.50604	-9.96	-9.35
8.51138	-10.25	-9.36
8.51672	-10.06	-9.38
8.52206	-9.77	-9.25
8.5274	-10	-9.17
8.53274	-9.81	-9.24
8.53807	-9.64	-9.28
8.54341	-10.08	-9.33
8.54875	-9.72	-9.3
8.55409	-9.38	-9.22
8.55943	-9.81	-9.26
8.56476	-9.87	-9.12
8.5701	-10.18	-9.25
8.57544	-10.18	-9.31
8.58078	-9.89	-9.06
8.58612	-9.9	-9.11
8.59146	-10.01	-9.21
8.59679	-10.06	-9.22
8.60213	-10.12	-9.3
8.60747	-10.18	-9.28
8.61281	-9.96	-9.2
8.61815	-10.11	-9.28
8.62349	-10.05	-9.27
8.62882	-10.05	-9.25
8.63416	-10.25	-9.36
8.6395	-9.92	-9.38
8.64484	-9.83	-9.27
8.65018	-10.2	-9.14
8.65551	-10.31	-9.19
8.66085	-10.05	-9.27
8.66619	-10.14	-9.3
8.67153	-10.41	-9.03
8.67687	-10.42	-9.15
8.68221	-10.15	-9.07
8.68754	-10.17	-9.08
8.69288	-10.33	-9.15
8.69822	-10.32	-9.33
8.70356	-10.25	-9.33
8.7089	-10.37	-9.32
8.71424	-10.5	-9.44
8.71957	-10.52	-9.45
