# DESCRIPTION:
# Reference: Schulz, H., von Rad, U. and H. Erlenkeuser, 1998. Correlation between Arabian Sea and Greenland climate oscillations for the past 110,000 years. Nature, 393: 54-57, https://doi.org/10.1038/31750
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5937
# Comment: Data was not modified in any way.

Depth [cm],Age [kyr BP],TOC [%]
722.5,31.02,2.09
725,31.13,2.2
727.5,31.24,2.25
730,31.35,2.27
732.5,31.45,2.25
735,31.56,2.43
737.5,31.67,2.51
740,31.78,3.09
742.5,31.88,2.9
745,31.99,3.65
747.5,32.1,3.84
750,32.19,3.35
752.5,32.29,2.31
755,32.38,1.22
757.5,32.47,1.17
760,32.57,1.21
762.5,32.66,1.34
765,32.75,1.5
767.5,32.85,1.46
770,32.94,1.48
772.5,33.03,2.01
775,33.13,1.79
777.5,33.22,1.84
780,33.31,2.31
782.5,33.41,3.1
785,33.5,3.32
787.5,33.58,2.46
790,33.65,2.47
792.5,33.73,2.2
795,33.8,1.32
797.5,33.88,1.47
800,33.96,1.3
802.5,34.03,1.49
805,34.11,1.4
807.5,34.19,1.86
810,34.26,1.84
812.5,34.34,1.96
815,34.41,1.9
817.5,34.49,1.89
820,34.57,1.96
822.5,34.64,2.23
825,34.72,2.34
827.5,34.8,2.38
830,34.87,2.75
832.5,34.95,3.25
835,35.02,3.29
837.5,35.1,3.11
840,35.17,3.11
842.5,35.23,3.18
845,35.3,2.55
847.5,35.37,2.28
850,35.44,1.31
852.5,35.5,1.13
855,35.57,1.03
857.5,35.64,1.05
860,35.71,1.11
862.5,35.77,1.23
865,35.84,1.27
867.5,35.91,1.47
870,35.98,0.97
872.5,36.04,1.36
875,36.11,1.5
877.5,36.18,1.55
880,36.25,1.33
882.5,36.31,1.71
885,36.38,2.01
887.5,36.45,2.2
890,36.52,2.23
892.5,36.58,2.2
895,36.65,2.36
897.5,36.72,2.78
900,36.78,2.47
902.5,36.85,2.29
905,36.92,2.9
907.5,36.99,2.25
910,37.05,2.15
912.5,37.12,2.66
915,37.19,2.61
917.5,37.26,2.43
920,37.32,2.86
922.5,37.39,2.5
925,37.46,2.69
927.5,37.53,2.71
930,37.59,2.62
932.5,37.66,2.49
935,37.73,2.81
937.5,37.8,2.78
940,37.86,2.9
942.5,37.93,2.89
945,38,2.58
947.5,38.07,2.54
950,38.13,2.72
952.5,38.2,3.03
955,38.25,2.54
957.5,38.3,2.82
960,38.35,2.62
962.5,38.4,1.07
965,38.45,0.88
967.5,38.5,0.72
970,38.55,0.72
972.5,38.6,0.7
975,38.65,0.63
977.5,38.7,0.64
980,38.75,0.59
982.5,38.8,0.64
985,38.85,0.64
987.5,38.9,0.64
990,38.95,0.65
992.5,39,0.66
995,39.05,0.6
997.5,39.1,0.66
1000,39.15,0.64
1002.5,39.2,0.59
1005,39.25,0.62
1007.5,39.3,0.58
1010,39.34,0.88
1012.5,39.38,0.62
1015,39.41,0.59
1017.5,39.45,0.59
1020,39.49,0.62
1022.5,39.53,0.7
1025,39.57,0.66
1027.5,39.6,0.76
1030,39.64,0.79
1032.5,39.68,1.16
1035,39.72,1.05
1037.5,39.76,1.38
1040,39.8,1.41
1042.5,39.83,1.45
1045,39.87,1.72
1047.5,39.91,1.85
1050,39.95,1.92
1052.5,39.99,1.87
1055,40.02,2.24
1057.5,40.06,2.23
1060,40.1,3.71
1062.5,40.17,3.48
1065,40.24,2.45
1067.5,40.31,2.54
1070,40.39,2.49
1072.5,40.46,2.33
1075,40.53,2.31
1077.5,40.6,2.52
1080,40.67,2.89
1082.5,40.74,2.63
1085,40.81,2.63
1087.5,40.89,3.46
1090,40.96,3.82
1092.5,41.03,4.29
1095,41.1,4.67
1097.5,41.18,4.33
1100,41.26,2.88
1102.5,41.35,2.27
1105,41.43,1.88
1107.5,41.51,1.7
1110,41.59,1.84
1112.5,41.68,1.79
1115,41.76,2.07
1117.5,41.84,2.3
1120,41.92,2.17
1122.5,42.01,2.18
1125,42.09,2.83
1127.5,42.17,3.27
1130,42.25,3.76
1132.5,42.34,3.61
1135,42.42,4.07
1137.5,42.5,3.88
1140,42.55,4.17
1142.5,42.6,3.87
1145,42.65,3.54
1147.5,42.7,1.78
1150,42.75,1.8
1152.5,42.8,1.56
1155,42.85,1.95
1157.5,42.9,1.97
1160,42.95,1.83
1162.5,43,2.4
1165,43.05,2.25
1167.5,43.1,2.32
1170,43.15,2.48
1172.5,43.2,2.94
1175,43.25,3.66
1177.5,43.3,4.39
1180,43.48,3.11
1182.5,43.66,3.43
1185,43.85,4.04
1187.5,44.03,4.25
1190,44.21,4.14
1192.5,44.39,4.08
1195,44.57,4.23
1197.5,44.75,4.1
1200,44.94,4.37
1202.5,45.12,4.12
1205,45.3,4.7
1207.5,45.37,4.75
1210,45.43,4.07
1212.5,45.5,3.83
1215,45.57,2.89
1217.5,45.63,1.53
1220,45.7,1.34
1222.5,45.77,1.38
1225,45.83,1.25
1227.5,45.9,1.08
1230,45.98,1.45
1232.5,46.07,1.44
1235,46.15,1.45
1237.5,46.23,1.65
1240,46.32,1.67
1242.5,46.4,1.94
1245,46.48,1.84
1247.5,46.57,2.91
1250,46.65,2.63
1252.5,46.73,3.49
1255,46.82,3.24
1257.5,46.9,4.43
1260,47.09,3.95
1262.5,47.28,3.39
1265,47.46,2.49
1267.5,47.65,2.8
1270,47.84,2.81
1272.5,48.03,4.24
1275,48.22,4.17
1277.5,48.4,3.7
1280,48.59,4.29
1282.5,48.78,4.24
1285,48.97,4.54
1287.5,49.16,4.24
1290,49.34,4.18
1292.5,49.53,3.74
1295,49.72,3.86
1297.5,49.91,3.94
1300,50.1,3.67
1302.5,50.28,3.61
1305,50.47,4.15
1307.5,50.66,4.21
1310,50.85,3.86
1312.5,51.04,4.22
1315,51.22,4.62
1317.5,51.41,3.98
1320,51.6,3.7
1322.5,51.65,3.8
1325,51.69,3.37
1327.5,51.74,3.02
1330,51.78,3.01
1332.5,51.83,3.26
1335,51.87,2.82
1337.5,51.92,2.97
1340,51.96,2.78
1342.5,52.01,2.68
1345,52.05,2.65
1347.5,52.1,2.45
1350,52.14,2
1352.5,52.19,3.02
1355,52.23,2.49
1357.5,52.28,1.36
1360,52.32,1.25
1362.5,52.37,1.11
1365,52.41,1.28
1367.5,52.46,1.13
1370,52.5,1.12
1372.5,52.55,1.18
1375,52.6,1.32
1377.5,52.64,1.09
1380,52.69,1.3
1382.5,52.73,1.38
1385,52.78,1.71
1387.5,52.82,1.81
1390,52.87,1.59
1392.5,52.91,1.7
1395,52.96,1.54
1397.5,53,1.34
1400,53.05,1.4
1402.5,53.09,1.34
1405,53.14,1.68
1407.5,53.18,1.77
1410,53.23,1.79
1412.5,53.27,2.16
1415,53.32,2.21
1417.5,53.36,2.2
1420,53.41,2.72
1422.5,53.45,2.69
1425,53.5,2.9
1427.5,53.62,2.37
1430,53.75,1.42
1432.5,53.87,1.6
1435,53.99,1.37
1437.5,54.11,1.33
1440,54.24,1.43
1442.5,54.36,1.58
1445,54.48,1.95
1447.5,54.6,1.94
1450,54.73,2.13
1452.5,54.85,2.42
1455,54.97,2.59
1457.5,55.1,2.76
1460,55.22,2.71
1462.5,55.34,2.82
1465,55.46,3.05
1467.5,55.59,2.99
1470,55.71,3.08
1472.5,55.83,3.11
1475,55.95,3.19
1477.5,56.08,3.01
1480,56.2,2.94
1482.5,56.29,2.97
1485,56.37,2.67
1487.5,56.46,1.54
1490,56.55,1.9
1492.5,56.63,1.72
1495,56.72,1.21
1497.5,56.81,1.07
1500,56.89,1.01
1502.5,56.98,1.15
1505,57.07,1.14
1507.5,57.15,1.23
1510,57.24,1.99
1512.5,57.33,2.34
1515,57.41,2
1517.5,57.5,2.18
1520,57.97,1.96
1522.5,58.44,0.89
1525,58.91,0.71
1527.5,59.39,0.7
1530,59.86,0.82
1532.5,60.33,0.91
1535,60.8,0.62
1537.5,60.85,0.68
1540,60.9,0.66
1542.5,60.96,0.76
1545,61.01,0.65
1547.5,61.06,1.01
1550,61.11,1.03
1552.5,61.17,1.77
1555,61.22,1.36
1557.5,61.27,1.56
1560,61.32,1.62
1562.5,61.38,1.83
1565,61.43,1.83
1567.5,61.48,1.66
1570,61.53,1.72
1572.5,61.59,1.77
1575,61.64,1.7
1577.5,61.69,1.74
1580,61.74,1.63
1582.5,61.8,2.07
1585,61.85,2.28
1587.5,61.9,2.68
1590,62.04,1.94
1592.5,62.18,1.39
1595,62.32,1.31
1597.5,62.46,1.13
1600,62.6,1.04
1602.5,62.74,1.09
1605,62.89,1.23
1607.5,63.03,1.09
1610,63.17,1.15
1612.5,63.31,1.07
1615,63.45,1.17
1617.5,63.59,1.2
1620,63.73,1.08
1622.5,63.87,1.26
1625,64.01,1.08
1627.5,64.15,1.23
1630,64.29,1.21
1632.5,64.43,1.26
1635,64.57,1.02
1637.5,64.71,1.05
1640,64.86,1.24
1642.5,65,1.14
1645,65.14,1.39
1647.5,65.28,1.49
1650,65.42,1.54
1652.5,65.56,2.08
1655,65.7,1.87
