# DESCRIPTION:
# Reference: Zarriess, M; Mackensen, A (2010): The tropical rainbelt and productivity changes off northwest Africa: a 31,000-year high-resolution record. Marine Micropaleontology, 76(3-4), 76-91, https://doi.org/10.1016/j.marmicro.2010.06.001
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070
# Data from: https://doi.org/10.1594/PANGAEA.756401. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756437. Accessed 07 Jan 2023.
# Comment: The two time series combined in this file are out of sync by ~120 y at 31.1 ka BP.

Depth [m],Depth comp [mcd],Age [ka BP],Fe [cps],K [cps],Ti [cps]
6.41,6.56,47.93,40561,5893,
6.42,6.57,47.99,41041,5818,
6.43,6.58,48.06,38817,5885,
6.44,6.59,48.12,40563,6191,
6.45,6.6,48.18,36855,5340,
6.46,6.61,48.24,39502,5996,
6.47,6.62,48.3,43410,6133,
6.48,6.63,48.36,41721,6134,
6.49,6.64,48.42,43641,6279,
6.5,6.65,48.48,43280,6158,
6.51,6.66,48.54,42302,6154,
6.52,6.67,48.6,45033,5281,
6.53,6.68,48.66,39983,5344,
6.54,6.69,48.72,40944,5977,
6.55,6.7,48.78,42492,5563,
6.56,6.71,48.84,45779,5290,
6.57,6.72,48.9,40569,5215,
6.58,6.73,48.96,45249,4842,
6.59,6.74,49.02,45807,4876,
6.6,6.75,49.08,46509,5048,
6.61,6.76,49.15,47292,4824,
6.62,6.77,49.21,47949,4887,
6.63,6.78,49.27,44717,4761,
6.64,6.79,49.33,45876,4890,
6.65,6.8,49.39,46402,4813,
6.66,6.81,49.45,46718,4855,
6.67,6.82,49.51,43735,4707,
6.68,6.83,49.57,45278,4794,
6.69,6.84,49.63,47325,4416,
6.7,6.85,49.69,46061,4481,
6.71,6.86,49.75,45731,4848,
6.72,6.87,49.81,50014,4729,
6.73,6.88,49.87,44768,4872,
6.74,6.89,49.93,47585,4760,
6.75,6.9,49.99,44689,5227,
6.76,6.91,50.05,46189,5094,
6.77,6.92,50.11,47740,5125,
6.78,6.93,50.17,47157,5161,
6.79,6.94,50.24,49052,5052,
6.8,6.95,50.3,51475,4837,
6.81,6.96,50.36,46731,5053,
6.82,6.97,50.42,48178,5042,
6.83,6.98,50.48,46276,4751,
6.84,6.99,50.54,47361,4849,
6.85,7,50.6,48924,4706,
6.86,7.01,50.66,48972,4800,
6.87,7.02,50.72,47320,4704,
6.88,7.03,50.78,50998,4972,
6.89,7.04,50.84,46147,4549,
6.9,7.05,50.9,47133,4557,
6.91,7.06,50.96,46581,4713,
6.92,7.07,51.02,44819,4831,
6.93,7.08,51.08,47423,4743,
6.94,7.09,51.14,45025,4607,
6.95,7.1,51.2,48673,4863,
6.96,7.11,51.26,44636,4651,
6.97,7.12,51.33,45063,4812,
6.98,7.13,51.39,43781,4562,
6.99,7.14,51.45,46732,4693,
7,7.15,51.51,48912,4586,
7.06,7.21,51.87,48512,4677,
7.07,7.22,51.93,45855,4680,
7.08,7.23,51.99,44431,4530,
7.09,7.24,52.05,48044,4301,
7.1,7.25,52.11,49675,4398,
7.11,7.26,52.17,47838,4233,
7.12,7.27,52.23,47738,4443,
7.13,7.28,52.29,48690,4611,
7.14,7.29,52.35,47014,4548,
7.15,7.3,52.42,46106,3989,
7.16,7.31,52.48,45852,4478,
7.17,7.32,52.54,47634,4583,
7.18,7.33,52.6,49400,4434,
7.19,7.34,52.66,48632,4436,
7.21,7.36,52.78,47141,4494,
7.22,7.37,52.84,44106,4108,
7.23,7.38,52.9,44344,4489,
7.24,7.39,52.96,47047,4619,
7.25,7.4,53.02,43565,4427,
7.26,7.41,53.08,46820,4477,
7.27,7.42,53.14,49091,4714,
7.28,7.43,53.2,47930,4663,
7.29,7.44,53.26,47735,4724,
7.3,7.45,53.32,47930,5016,
7.31,7.46,53.38,46191,4946,
7.32,7.47,53.44,43257,4740,
7.33,7.48,53.51,42778,4826,
7.34,7.49,53.57,43108,4417,
7.36,7.51,53.69,47545,4857,
7.37,7.52,53.75,47613,4717,
7.38,7.53,53.81,47284,4678,
7.39,7.54,53.87,45071,4907,
7.4,7.55,53.93,43624,4738,
7.41,7.56,53.97,44486,4818,
7.42,7.57,54.02,43269,5278,
7.43,7.58,54.06,46406,4855,
7.44,7.59,54.1,43172,5010,
7.45,7.6,54.14,44871,4988,
7.46,7.61,54.18,45075,5064,
7.47,7.62,54.23,44151,5172,
7.48,7.63,54.27,42395,5197,
7.49,7.64,54.31,42790,5274,
7.5,7.65,54.35,42244,5076,
7.51,7.66,54.39,42813,4809,
7.53,7.68,54.48,45722,5023,
7.54,7.69,54.52,44055,5367,
7.56,7.71,54.6,43766,5120,
7.57,7.72,54.65,43925,4768,
7.58,7.73,54.69,44871,4769,
7.59,7.74,54.73,46177,5088,
7.6,7.75,54.77,46229,5314,
7.61,7.76,54.82,46337,5044,
7.63,7.78,54.9,46355,5305,
7.64,7.79,54.94,46593,5396,
7.66,7.81,55.03,46812,5307,
7.67,7.82,55.07,46645,5511,
7.68,7.83,55.11,47871,5586,
7.69,7.84,55.15,50540,5336,
7.7,7.85,55.19,49481,5269,
7.71,7.86,55.24,49992,5391,
7.72,7.87,55.28,49322,5487,
7.73,7.88,55.32,48376,4975,
7.74,7.89,55.36,52870,5431,
7.75,7.9,55.41,48076,5674,
7.76,7.91,55.45,48383,5408,
7.77,7.92,55.49,48236,5707,
7.79,7.94,55.57,48261,5523,
7.8,7.95,55.62,48324,5697,
7.81,7.96,55.66,49085,5466,
7.82,7.97,55.7,53795,5513,
7.83,7.98,55.74,50804,5413,
7.84,7.99,55.78,51336,5316,
7.85,8,55.83,50348,5343,
7.86,8.01,55.87,52439,5245,
7.87,8.02,55.91,51570,5260,
7.88,8.03,55.95,51911,5078,
7.89,8.04,55.99,50057,4958,
7.9,8.05,56.04,51617,5200,
7.91,8.06,56.08,53248,5219,
7.93,8.08,56.16,52865,5389,
7.94,8.09,56.21,53528,5527,
7.95,8.1,56.25,51728,5316,
7.96,8.11,56.34,52429,5166,
7.97,8.12,56.42,49764,5229,
7.98,8.13,56.51,49556,5274,
7.99,8.14,56.6,50593,5079,
8,8.15,56.68,51874,5601,
8.02,8.17,56.86,53354,5957,
8.03,8.18,56.94,53067,5601,
8.04,8.19,57.03,50929,5333,
8.06,8.21,57.2,51186,5174,
8.07,8.22,57.29,49833,5218,
8.08,8.23,57.38,50719,5194,
8.09,8.24,57.46,50186,5231,
8.1,8.25,57.55,50152,4937,
8.11,8.26,57.64,48719,5148,
8.12,8.27,57.72,48573,5324,
8.13,8.28,57.81,48844,5519,
8.14,8.29,57.9,47354,4953,
8.15,8.3,57.98,49900,4944,
8.17,8.32,58.16,48169,5241,
8.18,8.33,58.24,48069,5315,
8.19,8.34,58.33,46171,5062,
8.2,8.35,58.42,47698,4717,
8.21,8.36,58.5,47266,5092,
8.22,8.37,58.59,46850,5207,
8.23,8.38,58.68,46878,4884,
8.24,8.39,58.76,43600,5028,
8.25,8.4,58.85,45131,5029,
8.26,8.41,58.9,46901,5051,
8.27,8.42,58.95,43677,4918,
8.29,8.44,59.05,42129,5292,
8.3,8.45,59.1,44323,4890,
8.32,8.47,59.2,49952,5145,
8.33,8.48,59.25,43724,4963,
8.34,8.49,59.29,40786,4935,
8.35,8.5,59.34,41102,4869,
8.36,8.51,59.39,42954,5110,
8.37,8.52,59.44,41096,4943,
8.38,8.53,59.49,39691,5351,
8.39,8.54,59.54,39047,5578,
8.4,8.55,59.59,39818,5403,
8.41,8.56,59.64,41313,5177,
8.42,8.57,59.69,39162,5387,
8.43,8.58,59.74,40289,5571,
8.44,8.59,59.79,41537,5392,
8.45,8.6,59.84,40674,5433,
8.46,8.61,59.89,38379,5220,
8.47,8.62,59.93,40414,5083,
8.48,8.63,59.98,37904,5299,
8.49,8.64,60.03,40008,5298,
8.5,8.65,60.08,38482,5364,
8.51,8.66,60.13,37731,5091,
8.52,8.67,60.18,37624,5485,
8.53,8.68,60.23,40537,5391,
8.54,8.69,60.28,41052,5365,
8.55,8.7,60.33,39628,5781,
8.56,8.71,60.38,38993,5230,
8.57,8.72,60.43,40219,5095,
8.58,8.73,60.48,41308,5575,
8.59,8.74,60.53,41521,5353,
8.6,8.75,60.58,42694,5456,
8.61,8.76,60.62,41977,5696,
8.62,8.77,60.67,44451,5723,
8.63,8.78,60.72,45305,5684,
8.64,8.79,60.77,43604,5540,
8.65,8.8,60.82,42166,5375,
8.66,8.81,60.87,44030,5513,
8.67,8.82,60.92,43060,5505,
8.68,8.83,60.97,43487,5638,
8.69,8.84,61.02,42588,5759,
8.7,8.85,61.07,41589,5564,
8.71,8.86,61.12,43647,5189,
8.72,8.87,61.17,44714,5544,
8.73,8.88,61.22,42452,5375,
8.74,8.89,61.27,46414,5789,
8.75,8.9,61.31,45190,5674,
8.76,8.91,61.41,41075,5180,
8.77,8.92,61.52,41425,5616,
8.78,8.93,61.62,45888,5845,
8.79,8.94,61.73,44905,5886,
8.8,8.95,61.83,47551,5567,
8.81,8.96,61.94,46693,5586,
8.82,8.97,62.04,43574,5780,
8.83,8.98,62.15,44991,5638,
8.84,8.99,62.25,43820,5719,
8.85,9,62.36,44747,5661,
8.86,9.01,62.46,46137,5611,
8.87,9.02,62.56,45844,5465,
8.88,9.03,62.67,44095,5228,
8.89,9.04,62.77,43905,5515,
8.9,9.05,62.88,45777,5347,
8.91,9.06,62.98,43295,5425,
8.92,9.07,63.09,44117,5560,
8.93,9.08,63.19,44039,5582,
8.94,9.09,63.3,43968,5217,
8.95,9.1,63.4,45037,5516,
8.96,9.11,63.51,46469,5431,
8.97,9.12,63.61,44321,5552,
8.98,9.13,63.71,42364,5707,
8.99,9.14,63.82,41003,5598,
9,9.15,63.92,42739,5572,
9.02,9.17,64.13,45302,5771,
9.03,9.18,64.24,42614,5908,
9.04,9.19,64.34,42485,5261,
9.05,9.2,64.45,41068,5814,
9.06,9.21,64.55,42862,5967,
9.07,9.22,64.66,43539,5771,
9.08,9.23,64.76,44200,5441,
9.09,9.24,64.86,39253,5390,
9.1,9.25,64.97,44602,5600,
9.11,9.26,65.07,46178,5722,
9.12,9.27,65.18,49809,5962,
9.13,9.28,65.28,47719,5626,
9.14,9.29,65.39,44107,5445,
9.15,9.3,65.49,41003,5298,
9.16,9.31,65.6,40775,5361,
9.17,9.32,65.7,41348,5263,
9.18,9.33,65.8,46313,5388,
9.19,9.34,65.91,42932,5413,
9.2,9.35,66.01,40734,5215,
9.21,9.36,66.12,39956,5240,
9.22,9.37,66.22,41968,5332,
9.23,9.38,66.33,40060,5245,
9.24,9.39,66.43,40998,5020,
9.25,9.4,66.54,42442,5060,
9.26,9.41,66.64,44788,4902,
9.27,9.42,66.75,39333,5167,
9.28,9.43,66.85,41885,5454,
9.29,9.44,66.95,39994,5131,
9.3,9.45,67.06,42305,5457,
9.31,9.46,67.16,43596,5260,
9.32,9.47,67.27,44313,5551,
9.35,9.5,67.58,44509,5197,
9.36,9.51,67.69,45430,5056,
9.37,9.52,67.79,40820,5503,
9.38,9.53,67.9,42113,5255,
9.39,9.54,68,40434,5672,
9.4,9.55,68.1,39210,5236,
9.41,9.56,68.21,42099,5285,
9.42,9.57,68.31,41143,5635,
9.43,9.58,68.42,41588,5436,
9.44,9.59,68.52,42148,5960,
9.45,9.6,68.63,41399,5485,
9.46,9.61,68.73,42776,5265,
9.47,9.62,68.84,42455,5957,
9.48,9.63,68.94,44436,5877,
9.49,9.64,69.05,43562,5425,
9.5,9.65,69.15,43298,5851,
9.51,9.66,69.24,42515,5744,
9.52,9.67,69.33,42061,5864,
9.53,9.68,69.41,43362,5680,
9.54,9.69,69.5,42831,6045,
9.55,9.7,69.59,44901,5875,
9.56,9.71,69.67,47840,5429,
9.57,9.72,69.76,42104,5596,
9.58,9.73,69.85,46801,5783,
9.59,9.74,69.94,45513,5638,
9.6,9.75,70.02,47660,6051,
9.61,9.76,70.11,48061,5862,
9.62,9.77,70.2,44914,6122,
9.63,9.78,70.29,47890,5672,
9.64,9.79,70.37,49329,5606,
9.65,9.8,70.46,46101,5611,
9.66,9.81,70.55,45626,5829,
9.67,9.82,70.63,45104,5766,
9.68,9.83,70.72,44480,5632,
9.69,9.84,70.81,42219,5407,
9.7,9.85,70.9,41394,5988,
9.71,9.86,70.98,45167,5825,
9.72,9.87,71.07,41936,5993,
9.73,9.88,71.16,41052,6160,
9.74,9.89,71.25,42782,5806,
9.75,9.9,71.33,36944,6045,
9.76,9.91,71.42,38973,6422,
9.77,9.92,71.51,38049,6385,
9.78,9.93,71.59,39008,6572,
9.79,9.94,71.68,35779,6311,
9.8,9.95,71.77,35647,6681,
