# DESCRIPTION:
# Reference: Zarriess, M; Mackensen, A (2010): The tropical rainbelt and productivity changes off northwest Africa: a 31,000-year high-resolution record. Marine Micropaleontology, 76(3-4), 76-91, https://doi.org/10.1016/j.marmicro.2010.06.001
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070
# Data from: https://doi.org/10.1594/PANGAEA.756401. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756437. Accessed 07 Jan 2023.
# Comment: The two time series combined in this file are out of sync by ~120 y at 31.1 ka BP.

Depth [m],Depth comp [mcd],Age [ka BP],Fe [cps],K [cps],Ti [cps]
1.48,1.63,15.68,30484,5747,6192
1.49,1.64,15.72,31245,5515,5950
1.5,1.65,15.75,31584,5694,5475
1.51,1.66,15.79,31201,5255,6745
1.52,1.67,15.83,33817,5928,5000
1.53,1.68,15.86,31480,4782,4563
1.54,1.69,15.9,32071,5239,4833
1.55,1.7,15.94,34866,5891,4984
1.56,1.71,15.97,35640,5395,4952
1.57,1.72,16.01,36029,5699,4920
1.58,1.73,16.05,36265,5592,4902
1.59,1.74,16.08,35039,5406,4675
1.6,1.75,16.12,34965,5476,4627
1.61,1.76,16.16,31983,5087,4125
1.62,1.77,16.19,33217,5307,4747
1.63,1.78,16.23,36137,5831,4496
1.64,1.79,16.26,35379,5737,4637
1.66,1.81,16.34,34562,6081,4537
1.67,1.82,16.37,35537,5603,4796
1.68,1.83,16.41,35865,5580,5058
1.69,1.84,16.45,37710,5838,4509
1.7,1.85,16.48,34893,5504,4645
1.71,1.86,16.53,35774,5376,4528
1.72,1.87,16.58,35219,5363,4410
1.73,1.88,16.62,36142,5610,4431
1.74,1.89,16.67,37673,5253,4339
1.75,1.9,16.72,33369,4741,3882
1.76,1.91,16.76,35925,5404,4394
1.77,1.92,16.81,32588,4920,4577
1.78,1.93,16.86,31395,4991,4173
1.79,1.94,16.91,35686,4817,4346
1.8,1.95,16.95,37111,5348,4574
1.81,1.96,17,35751,5283,4394
1.82,1.97,17.05,36481,5108,4407
1.83,1.98,17.09,36027,4771,4366
1.84,1.99,17.14,37855,4540,4043
1.85,2,17.19,36099,5025,4372
1.86,2.01,17.23,36631,4397,4257
1.87,2.02,17.28,36285,4761,4371
1.88,2.03,17.33,34904,4438,4238
1.89,2.04,17.37,37303,4428,4307
1.9,2.05,17.42,38898,5011,4070
1.91,2.06,17.47,39623,4452,4221
1.92,2.07,17.51,38139,4421,4362
1.93,2.08,17.56,36070,4647,4142
1.94,2.09,17.61,38328,5090,4878
