# DESCRIPTION:
# Reference: Genty, D et al. (2010): Isotopic characterization of rapid climatic events during OIS3 and OIS4 in Villars Cave stalagmites (SW-France) and correlation with Atlantic and Mediterranean pollen records. Quaternary Science Reviews, 29(19-20), 2799-2820, https://doi.org/10.1016/j.quascirev.2010.06.035
# Data from: https://doi.org/10.1594/PANGAEA.817539. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

Age dated [ka],δ18O carb [‰ PDB],δ13C carb [‰ PDB]
60.801,-3.74,-5.3
61.067,-3.46,-4.98
61.145,-3.46,-4.98
67.408,-2.94,-7.2
67.443,-2.94,-7.2
67.547,-2.67,-6.77
67.617,-2.97,-6.67
67.756,-2.7,-6.52
67.895,-3.06,-7.25
67.992,-3.43,-7.98
68.221,-3.46,-7.76
68.45,-3.26,-9.11
68.686,-3.44,-9.22
68.916,-3.12,-9.48
69.145,-3.67,-9.51
69.381,-3.77,-9.59
69.84,-3.8,-10.02
70.076,-4.02,-9.93
70.305,-3.79,-9.82
70.534,-4.01,-9.8
70.77,-4.18,-10.43
70.882,-4.07,-10.35
70.901,-3.96,-10.26
70.938,-3.92,-9.97
70.976,-3.71,-9.71
71.012,-3.46,-9.04
71.049,-3.35,-8.58
71.087,-4.12,-9.45
71.123,-4.26,-9.86
71.16,-4.13,-9.67
71.198,-4.42,-9.88
71.204,-4.33,-10.1
71.315,-4.24,-10.33
71.451,-4.26,-10.07
71.863,-4.43,-10.1
72.275,-4.3,-10.36
72.687,-4.36,-10.2
73.099,-4.28,-10.29
73.511,-4.3,-10.19
73.924,-4.13,-10.11
74.336,-4.37,-9.92
74.476,-4.22,-10.28
74.542,-4.38,-10.28
74.547,-4.54,-10.28
74.558,-4.21,-9.45
74.569,-3.97,-8.2
74.58,-4.3,-7.37
74.591,-3.95,-6.79
74.602,-4,-7.54
74.607,-4.36,-7.81
74.612,-4.71,-8.08
74.623,-4.89,-9.05
74.63,-4.89,-9.3
74.638,-4.68,-8.89
74.643,-4.11,-8.09
74.649,-4.54,-9.24
74.656,-4.7,-9.52
74.688,-4.62,-9.62
74.721,-4.53,-9.53
74.755,-4.66,-9.78
74.756,-4.79,-10.04
74.763,-4.2,-9.6
74.769,-4.54,-10.02
74.776,-4.54,-10.02
78.808,-4.55,-9.84
78.826,-4.55,-9.84
78.863,-4.61,-9.79
78.9,-4.87,-9.05
78.928,-4.97,-9.4
78.937,-5.07,-9.75
78.975,-4.33,-8.61
79.012,-4.74,-9.82
79.049,-4.74,-9.74
79.234,-4.55,-9.22
79.42,-4.59,-9.43
79.605,-4.63,-9.86
79.791,-4.7,-10.22
79.977,-4.52,-9.84
80.162,-4.31,-9.76
80.348,-4.48,-9.09
80.533,-4.31,-9.07
80.793,-4.31,-9.07
80.793,-4.21,-8.97
80.867,-4.11,-8.86
81.403,-3.91,-8.65
81.849,-4.19,-9.24
82.296,-4.47,-9.27
82.497,-4.47,-8.99
82.905,-4.46,-8.71
