# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
246.95,1.059,873.9,0.26
247.87,1.064,879.11,0.26
248.88,1.069,884.26,0.26
249.88,1.074,889.51,0.25
250.8,1.079,894.87,0.26
251.9,1.084,899.95,0.28
253,1.089,905,0.29
253.92,1.094,910.24,0.28
254.83,1.099,915.5,0.27
255.93,1.104,920.76,0.26
256.85,1.109,926.03,0.27
257.95,1.114,931.29,0.26
258.87,1.119,936.6,0.27
259.97,1.124,941.89,0.27
260.88,1.129,947.13,0.27
261.98,1.134,952.5,0.27
262.9,1.139,957.83,0.27
263.82,1.144,962.95,0.26
264.73,1.149,967.84,0.26
265.65,1.154,972.63,0.26
266.57,1.159,977.32,0.26
267.58,1.164,982.07,0.26
268.58,1.169,986.86,0.26
269.5,1.174,991.74,0.27
270.6,1.179,996.63,0.28
271.7,1.184,1001.4,0.28
272.53,1.189,1006.07,0.27
273.35,1.194,1010.78,0.26
274.27,1.199,1015.42,0.26
275.28,1.204,1020.13,0.26
276.28,1.209,1024.89,0.27
277.2,1.214,1029.85,0.28
278.3,1.219,1035.01,0.28
279.4,1.224,1040.13,0.28
280.5,1.229,1045.21,0.28
281.42,1.234,1050.35,0.28
282.33,1.239,1055.43,0.27
283.25,1.244,1060.4,0.27
284.35,1.249,1065.28,0.26
285.27,1.254,1070.05,0.27
286.18,1.259,1074.83,0.28
287.1,1.264,1079.72,0.28
288.02,1.269,1084.63,0.28
289.12,1.274,1089.56,0.28
290.03,1.279,1094.53,0.29
290.95,1.284,1099.48,0.29
291.87,1.289,1104.31,0.28
292.78,1.294,1109.12,0.28
293.7,1.299,1114.06,0.27
294.8,1.304,1119.09,0.26
295.53,1.309,1124.21,0.25
296.45,1.314,1129.21,0.26
297.55,1.319,1134.2,0.28
298.47,1.324,1139.25,0.28
299.57,1.329,1144.39,0.28
300.58,1.334,1149.42,0.27
301.58,1.339,1154.6,0.26
302.5,1.344,1159.79,0.26
303.6,1.349,1164.81,0.27
304.52,1.354,1169.87,0.28
305.43,1.359,1174.86,0.28
306.35,1.364,1179.89,0.28
307.45,1.369,1184.88,0.27
308.37,1.374,1189.85,0.26
309.28,1.379,1194.69,0.26
310.2,1.384,1199.5,0.25
311.3,1.389,1204.34,0.27
312.4,1.394,1209.38,0.28
313.32,1.399,1214.5,0.29
314.33,1.404,1219.58,0.29
315.33,1.409,1224.73,0.29
316.25,1.414,1229.71,0.29
317.35,1.419,1234.55,0.28
318.27,1.424,1239.32,0.28
319.18,1.429,1244.05,0.28
320.1,1.434,1248.82,0.29
321.02,1.439,1253.8,0.29
321.93,1.444,1258.68,0.29
323.03,1.449,1263.41,0.28
323.95,1.454,1268.25,0.29
324.87,1.459,1273.28,0.29
325.78,1.464,1278.21,0.29
326.56,1.469,1283.2,0.28
327.43,1.474,1288.22,0.27
328.35,1.479,1293.19,0.27
329.27,1.484,1297.82,0.27
330.18,1.489,1302.42,0.28
331.1,1.494,1307.05,0.28
332.02,1.499,1311.83,0.28
332.93,1.504,1316.69,0.27
333.85,1.509,1321.55,0.26
334.95,1.514,1326.33,0.26
335.87,1.519,1331.07,0.27
336.78,1.524,1335.89,0.29
337.7,1.529,1340.81,0.28
338.62,1.534,1345.78,0.28
339.72,1.539,1350.86,0.28
340.63,1.544,1356.08,0.29
341.55,1.549,1361.17,0.29
342.65,1.554,1366.08,0.28
343.38,1.559,1370.97,0.28
344.3,1.564,1375.92,0.27
345.22,1.569,1380.83,0.27
346.23,1.574,1385.77,0.27
347.23,1.579,1390.75,0.27
348.15,1.584,1395.74,0.28
349.07,1.589,1400.75,0.28
349.98,1.594,1405.78,0.29
350.9,1.599,1410.85,0.28
351.82,1.604,1416,0.27
352.73,1.609,1421.17,0.26
353.65,1.614,1426.25,0.26
354.75,1.619,1431.4,0.27
355.58,1.624,1436.69,0.28
356.4,1.629,1441.9,0.29
357.5,1.634,1447.14,0.29
358.42,1.639,1452.33,0.28
359.52,1.644,1457.34,0.27
360.39,1.649,1462.26,0.27
361.17,1.654,1467.32,0.27
362.08,1.659,1472.45,0.27
363,1.664,1477.58,0.27
363.92,1.669,1482.73,0.27
364.83,1.674,1487.76,0.27
365.75,1.679,1492.67,0.27
366.67,1.684,1497.59,0.27
367.77,1.689,1502.61,0.27
368.68,1.694,1507.87,0.27
369.6,1.699,1513.18,0.27
370.52,1.704,1518.49,0.27
371.43,1.709,1523.82,0.28
372.35,1.714,1529.05,0.28
373.27,1.719,1534.08,0.29
374.18,1.724,1539.14,0.28
375.1,1.729,1544.1,0.27
376.02,1.734,1548.82,0.26
376.93,1.739,1553.61,0.27
377.71,1.744,1558.4,0.27
378.77,1.749,1563.07,0.27
379.68,1.754,1567.81,0.26
380.46,1.759,1572.57,0.26
381.33,1.764,1577.37,0.26
382.25,1.769,1582.32,0.26
383.17,1.774,1587.5,0.26
384.08,1.779,1592.74,0.26
385,1.784,1598.01,0.27
385.92,1.789,1603.32,0.28
386.83,1.794,1608.51,0.28
387.75,1.799,1613.59,0.29
388.67,1.804,1618.63,0.29
389.58,1.809,1623.73,0.29
390.5,1.814,1629,0.29
391.42,1.819,1634.3,0.27
392.33,1.824,1639.47,0.26
393.25,1.829,1644.57,0.25
393.8,1.834,1649.68,0.25
394.72,1.839,1654.61,0.26
395.63,1.844,1659.58,0.26
396.55,1.849,1664.75,0.27
397.47,1.854,1670.18,0.28
398.38,1.859,1675.61,0.27
399.3,1.864,1680.99,0.25
400.4,1.869,1686.32,0.25
401.32,1.874,1691.57,0.26
402.23,1.879,1696.66,0.26
403.15,1.884,1701.85,0.27
404.25,1.889,1706.91,0.27
405.17,1.894,1712.1,0.27
406.08,1.899,1717.37,0.27
407,1.904,1722.74,0.28
408.1,1.909,1728.02,0.28
408.93,1.914,1733.26,0.28
409.93,1.919,1738.16,0.27
410.85,1.924,1742.88,0.27
411.58,1.929,1747.4,0.27
412.36,1.934,1751.95,0.27
413.05,1.939,1756.53,0.27
413.97,1.944,1761.25,0.26
414.88,1.949,1766.02,0.26
415.94,1.954,1771.13,0.26
416.72,1.959,1776.33,0.27
417.73,1.964,1781.56,0.28
418.73,1.969,1786.85,0.28
419.65,1.974,1792.26,0.29
420.57,1.979,1797.87,0.29
421.48,1.984,1803.6,0.28
422.58,1.989,1809.22,0.27
423.68,1.994,1814.63,0.27
424.6,1.999,1819.91,0.27
425.29,2.004,1824.76,0.27
426.07,2.009,1829.43,0.26
426.8,2.014,1834.17,0.26
427.72,2.019,1839.22,0.25
428.63,2.024,1844.6,0.26
429.73,2.029,1850.09,0.27
430.83,2.034,1855.53,0.28
431.75,2.039,1860.86,0.27
432.67,2.044,1865.74,0.27
433.4,2.049,1870.34,0.26
434.23,2.054,1875,0.26
435.05,2.059,1879.8,0.26
435.97,2.064,1884.68,0.27
437.07,2.069,1889.76,0.28
437.98,2.074,1894.94,0.28
438.9,2.079,1899.95,0.27
439.82,2.084,1904.57,0.26
440.69,2.089,1909.22,0.26
441.38,2.094,1913.89,0.26
442.2,2.099,1918.38,0.26
443.3,2.104,1922.74,0.27
443.99,2.109,1927.37,0.27
