# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
1565.72,20.529,19285.3,0.4
1565.79,20.534,19289.62,0.4
1565.85,20.539,19293.92,0.4
1565.92,20.544,19298.36,0.4
1565.98,20.549,19302.93,0.4
1566.05,20.554,19307.22,0.4
1566.12,20.559,19311.49,0.4
1566.19,20.564,19315.71,0.4
1566.25,20.569,19319.93,0.4
1566.32,20.574,19324.04,0.4
1566.39,20.579,19328.05,0.4
1566.45,20.584,19332.29,0.4
1566.52,20.589,19336.64,0.4
1566.59,20.594,19340.95,0.4
1566.66,20.599,19345.28,0.4
1566.72,20.604,19349.48,0.4
1566.79,20.609,19353.61,0.4
1566.86,20.614,19357.96,0.4
1566.92,20.619,19362.37,0.4
1566.99,20.624,19366.83,0.4
1567.05,20.629,19371.31,0.4
1567.12,20.634,19375.85,0.4
1567.18,20.639,19380.42,0.4
1567.24,20.644,19385.2,0.4
1567.31,20.649,19390,0.4
1567.37,20.654,19394.63,0.4
1567.44,20.659,19399.24,0.4
1567.5,20.664,19403.86,0.4
1567.56,20.669,19408.49,0.4
1567.62,20.674,19413.34,0.4
1567.68,20.679,19418.21,0.4
1567.74,20.684,19422.9,0.4
1567.8,20.689,19427.55,0.4
1567.86,20.694,19432.21,0.4
1567.92,20.699,19436.88,0.4
1567.98,20.704,19441.36,0.4
1568.04,20.709,19445.8,0.41
1568.1,20.714,19450.38,0.41
1568.16,20.719,19455.03,0.41
1568.23,20.724,19459.51,0.41
1568.29,20.729,19463.91,0.41
1568.35,20.734,19468.17,0.41
1568.41,20.739,19472.4,0.41
1568.48,20.744,19476.78,0.41
1568.54,20.749,19481.24,0.41
1568.6,20.754,19485.68,0.4
1568.67,20.759,19490.1,0.4
1568.73,20.764,19494.34,0.4
1568.8,20.769,19498.52,0.4
1568.86,20.774,19502.9,0.4
1568.93,20.779,19507.32,0.4
1568.99,20.784,19511.52,0.4
1569.06,20.789,19515.66,0.4
1569.12,20.794,19520.01,0.4
1569.19,20.799,19524.36,0.4
1569.24,20.804,19528.52,0.4
1569.3,20.809,19532.67,0.4
1569.36,20.814,19536.96,0.4
1569.42,20.819,19541.27,0.4
1569.48,20.824,19545.37,0.4
1569.54,20.829,19549.39,0.4
1569.6,20.834,19553.57,0.4
1569.65,20.839,19557.78,0.41
1569.71,20.844,19561.99,0.41
1569.77,20.849,19566.18,0.41
1569.83,20.854,19570.16,0.41
1569.89,20.859,19574.08,0.41
1569.95,20.864,19578.19,0.41
1570,20.869,19582.32,0.41
1570.06,20.874,19586.45,0.41
1570.12,20.879,19590.57,0.41
1570.18,20.884,19594.7,0.41
1570.24,20.889,19598.83,0.41
1570.3,20.894,19602.92,0.41
1570.35,20.899,19606.98,0.41
1570.41,20.904,19611.1,0.41
1570.47,20.909,19615.21,0.41
1570.53,20.914,19619.27,0.41
1570.58,20.919,19623.32,0.41
1570.64,20.924,19627.42,0.41
1570.7,20.929,19631.52,0.41
1570.75,20.934,19635.39,0.41
1570.81,20.939,19639.22,0.41
1570.87,20.944,19643.24,0.41
1570.93,20.949,19647.31,0.41
1570.98,20.954,19651.18,0.41
1571.04,20.959,19654.97,0.41
1571.1,20.964,19658.81,0.41
1571.16,20.969,19662.69,0.41
1571.21,20.974,19666.7,0.41
1571.27,20.979,19670.76,0.41
1571.33,20.984,19674.63,0.41
1571.38,20.989,19678.45,0.41
1571.44,20.994,19682.31,0.41
1571.5,20.999,19686.18,0.41
1571.55,21.004,19690.04,0.41
1571.61,21.009,19693.88,0.41
1571.66,21.014,19697.72,0.41
1571.72,21.019,19701.57,0.41
1571.78,21.024,19705.65,0.41
1571.83,21.029,19709.76,0.41
1571.89,21.034,19713.66,0.41
1571.94,21.039,19717.55,0.41
1572,21.044,19721.27,0.41
1572.05,21.049,19724.97,0.41
1572.1,21.054,19729.04,0.41
1572.15,21.059,19733.22,0.41
1572.21,21.064,19737,0.41
1572.26,21.069,19740.73,0.41
1572.31,21.074,19744.85,0.41
1572.37,21.079,19749.07,0.41
1572.42,21.084,19753.11,0.41
1572.47,21.089,19757.09,0.41
1572.53,21.094,19761.05,0.41
1572.58,21.099,19765.01,0.41
1572.64,21.104,19768.94,0.41
1572.69,21.109,19772.86,0.41
1572.75,21.114,19776.82,0.41
1572.8,21.119,19780.8,0.41
1572.86,21.124,19784.98,0.41
1572.91,21.129,19789.19,0.41
1572.97,21.134,19793.23,0.41
1573.02,21.139,19797.22,0.41
1573.08,21.144,19801.36,0.41
1573.14,21.149,19805.56,0.41
1573.19,21.154,19809.73,0.41
1573.25,21.159,19813.92,0.41
1573.3,21.164,19817.88,0.41
1573.36,21.169,19821.78,0.41
1573.42,21.174,19825.92,0.41
1573.47,21.179,19830.12,0.41
1573.53,21.184,19834.3,0.41
1573.59,21.189,19838.46,0.41
1573.64,21.194,19842.47,0.41
1573.7,21.199,19846.42,0.41
1573.76,21.204,19850.51,0.41
1573.82,21.209,19854.66,0.41
1573.88,21.214,19858.85,0.41
1573.94,21.219,19863.06,0.41
1574,21.224,19867.03,0.41
1574.05,21.229,19870.95,0.41
1574.11,21.234,19874.86,0.41
1574.17,21.239,19878.77,0.41
1574.23,21.244,19882.85,0.41
1574.29,21.249,19887.03,0.41
1574.35,21.254,19890.99,0.41
1574.41,21.259,19894.93,0.41
1574.47,21.264,19899.07,0.41
1574.53,21.269,19903.25,0.41
1574.59,21.274,19907.22,0.41
1574.65,21.279,19911.2,0.41
1574.7,21.284,19915.44,0.41
1574.76,21.289,19919.69,0.41
1574.81,21.294,19923.73,0.41
1574.87,21.299,19927.78,0.41
1574.92,21.304,19932.06,0.41
1574.97,21.309,19936.37,0.41
1575.03,21.314,19940.68,0.41
1575.08,21.319,19945,0.41
1575.14,21.324,19949.33,0.41
1575.19,21.329,19953.66,0.41
1575.25,21.334,19958.15,0.41
1575.3,21.339,19962.76,0.41
1575.36,21.344,19967.18,0.41
1575.42,21.349,19971.53,0.41
1575.48,21.354,19975.92,0.41
1575.53,21.359,19980.33,0.41
1575.59,21.364,19984.73,0.41
1575.65,21.369,19989.13,0.41
1575.7,21.374,19993.57,0.41
1575.76,21.379,19998.02,0.41
1575.82,21.384,20002.74,0.41
1575.87,21.389,20007.48,0.41
1575.92,21.394,20012.01,0.41
1575.98,21.399,20016.56,0.41
1576.03,21.404,20020.9,0.41
1576.08,21.409,20025.17,0.41
1576.14,21.414,20029.65,0.41
1576.19,21.419,20034.21,0.41
1576.25,21.424,20038.61,0.41
1576.3,21.429,20042.93,0.41
1576.36,21.434,20047.39,0.41
1576.42,21.439,20051.95,0.41
1576.48,21.444,20056.34,0.41
1576.53,21.449,20060.69,0.41
1576.59,21.454,20065.01,0.41
1576.65,21.459,20069.33,0.41
1576.71,21.464,20073.87,0.41
1576.77,21.469,20078.46,0.41
1576.83,21.474,20082.79,0.41
1576.88,21.479,20087.15,0.41
1576.94,21.484,20091.53,0.41
1576.99,21.489,20095.92,0.41
1577.04,21.494,20100.35,0.41
1577.09,21.499,20104.78,0.41
1577.15,21.504,20108.97,0.41
1577.2,21.509,20113.13,0.41
1577.25,21.514,20117.49,0.4
1577.31,21.519,20121.9,0.4
1577.36,21.524,20126.25,0.4
1577.41,21.529,20130.58,0.4
1577.47,21.534,20134.95,0.41
1577.52,21.539,20139.3,0.41
1577.57,21.544,20143.68,0.41
1577.63,21.549,20148.07,0.41
1577.68,21.554,20152.43,0.41
1577.73,21.559,20156.78,0.41
1577.79,21.564,20161.16,0.41
1577.84,21.569,20165.54,0.41
1577.9,21.574,20169.9,0.41
1577.95,21.579,20174.26,0.41
1578.01,21.584,20178.59,0.41
1578.07,21.589,20182.92,0.41
1578.12,21.594,20187.45,0.41
1578.18,21.599,20192.07,0.41
1578.24,21.604,20196.45,0.41
1578.29,21.609,20200.78,0.41
1578.35,21.614,20205.11,0.41
1578.41,21.619,20209.43,0.41
1578.47,21.624,20213.76,0.41
1578.52,21.629,20218.09,0.41
1578.57,21.634,20222.69,0.41
1578.63,21.639,20227.29,0.41
1578.68,21.644,20231.66,0.41
1578.73,21.649,20236.02,0.41
1578.78,21.654,20240.55,0.41
1578.83,21.659,20245.13,0.41
1578.88,21.664,20249.72,0.42
1578.94,21.669,20254.32,0.42
1578.99,21.674,20258.73,0.42
1579.04,21.679,20263.1,0.42
1579.1,21.684,20267.57,0.42
1579.15,21.689,20272.1,0.42
1579.21,21.694,20276.67,0.42
1579.27,21.699,20281.26,0.42
1579.33,21.704,20285.82,0.42
1579.38,21.709,20290.41,0.42
1579.44,21.714,20295,0.42
1579.5,21.719,20299.57,0.42
1579.55,21.724,20304.14,0.42
1579.61,21.729,20308.72,0.42
1579.67,21.734,20313.34,0.42
1579.72,21.739,20317.96,0.42
1579.77,21.744,20322.62,0.41
1579.83,21.749,20327.29,0.41
1579.88,21.754,20332.13,0.41
1579.93,21.759,20337.04,0.41
1579.99,21.764,20341.78,0.41
1580.04,21.769,20346.46,0.41
1580.1,21.774,20351.2,0.41
1580.15,21.779,20355.96,0.41
1580.2,21.784,20360.73,0.41
1580.26,21.789,20365.54,0.41
1580.31,21.794,20370.56,0.41
1580.37,21.799,20375.66,0.41
1580.42,21.804,20380.79,0.41
1580.47,21.809,20385.93,0.41
1580.53,21.814,20390.91,0.41
1580.58,21.819,20395.85,0.41
1580.64,21.824,20400.99,0.41
1580.69,21.829,20406.21,0.4
1580.75,21.834,20411.48,0.4
1580.8,21.839,20416.75,0.4
1580.86,21.844,20421.89,0.4
1580.91,21.849,20426.93,0.4
1580.97,21.854,20432.16,0.4
1581.03,21.859,20437.48,0.4
1581.08,21.864,20442.79,0.4
1581.14,21.869,20448.1,0.4
1581.19,21.874,20453.22,0.4
1581.25,21.879,20458.29,0.4
1581.31,21.884,20463.54,0.4
1581.37,21.889,20468.88,0.4
1581.43,21.894,20474.01,0.4
1581.48,21.899,20479.08,0.4
1581.54,21.904,20484.16,0.39
1581.6,21.909,20489.24,0.39
1581.66,21.914,20494.54,0.39
1581.72,21.919,20499.9,0.39
1581.78,21.924,20504.99,0.39
1581.83,21.929,20510.09,0.39
1581.89,21.934,20514.98,0.39
1581.94,21.939,20519.87,0.39
1581.99,21.944,20524.94,0.39
1582.05,21.949,20530.04,0.39
1582.1,21.954,20535.15,0.39
1582.16,21.959,20540.24,0.39
1582.21,21.964,20545.32,0.39
1582.26,21.969,20550.39,0.39
1582.32,21.974,20555.47,0.39
1582.37,21.979,20560.52,0.39
1582.42,21.984,20565.36,0.39
1582.48,21.989,20570.17,0.39
1582.53,21.994,20575.14,0.39
1582.58,21.999,20580.17,0.39
1582.64,22.004,20585.18,0.39
1582.69,22.009,20590.19,0.39
1582.74,22.014,20595.17,0.4
1582.79,22.019,20600.14,0.4
1582.85,22.024,20605.13,0.4
1582.9,22.029,20610.12,0.4
1582.95,22.034,20615.11,0.4
1583,22.039,20620.1,0.4
1583.06,22.044,20625.13,0.4
1583.11,22.049,20630.17,0.4
1583.16,22.054,20635.38,0.4
1583.21,22.059,20640.66,0.4
1583.26,22.064,20645.68,0.4
1583.32,22.069,20650.64,0.4
1583.37,22.074,20655.67,0.4
1583.42,22.079,20660.67,0.41
1583.47,22.084,20665.68,0.41
1583.52,22.089,20670.66,0.41
1583.57,22.094,20675.66,0.41
1583.62,22.099,20680.64,0.41
1583.67,22.104,20685.65,0.41
1583.73,22.109,20690.64,0.41
1583.78,22.114,20695.62,0.41
1583.83,22.119,20700.62,0.41
1583.88,22.124,20705.6,0.41
1583.93,22.129,20710.62,0.41
1583.98,22.134,20715.48,0.41
1584.03,22.139,20720.27,0.41
1584.09,22.144,20725.12,0.41
1584.15,22.149,20730.11,0.41
1584.2,22.154,20735.08,0.41
1584.26,22.159,20740.12,0.41
1584.31,22.164,20745.12,0.41
1584.37,22.169,20750.16,0.41
1584.43,22.174,20755.01,0.41
1584.48,22.179,20759.78,0.41
1584.54,22.184,20765.04,0.4
1584.59,22.189,20770.34,0.4
1584.64,22.194,20775.45,0.4
1584.7,22.199,20780.56,0.4
1584.75,22.204,20785.65,0.4
1584.8,22.209,20790.79,0.4
1584.85,22.214,20795.92,0.4
1584.9,22.219,20801.06,0.4
1584.96,22.224,20806.33,0.4
1585.01,22.229,20811.71,0.4
1585.06,22.234,20817.11,0.4
1585.11,22.239,20822.51,0.39
1585.17,22.244,20827.88,0.39
1585.22,22.249,20833.27,0.39
1585.28,22.254,20838.64,0.39
1585.33,22.259,20843.97,0.39
1585.39,22.264,20849.33,0.39
1585.44,22.269,20854.69,0.39
1585.5,22.274,20860.23,0.39
1585.55,22.279,20865.82,0.39
1585.61,22.284,20871.16,0.39
1585.66,22.289,20876.43,0.39
1585.71,22.294,20881.94,0.39
1585.77,22.299,20887.47,0.39
1585.82,22.304,20892.76,0.39
1585.87,22.309,20898,0.39
1585.93,22.314,20903.42,0.39
1585.98,22.319,20908.85,0.39
1586.03,22.324,20914.09,0.39
1586.08,22.329,20919.28,0.39
1586.14,22.334,20924.61,0.39
1586.19,22.339,20930,0.39
1586.25,22.344,20935.22,0.39
1586.3,22.349,20940.35,0.39
1586.36,22.354,20945.62,0.39
1586.42,22.359,20950.94,0.39
1586.48,22.364,20956.28,0.39
1586.53,22.369,20961.6,0.39
1586.59,22.374,20966.69,0.39
1586.65,22.379,20971.73,0.39
1586.7,22.384,20976.96,0.39
1586.76,22.389,20982.24,0.39
1586.82,22.394,20987.49,0.39
1586.87,22.399,20992.72,0.39
1586.93,22.404,20997.95,0.39
1586.99,22.409,21003.17,0.39
1587.04,22.414,21008.57,0.39
1587.1,22.419,21014.03,0.39
1587.15,22.424,21019.29,0.39
1587.21,22.429,21024.48,0.39
1587.27,22.434,21029.67,0.39
1587.32,22.439,21034.86,0.39
1587.38,22.444,21040.25,0.39
1587.44,22.449,21045.71,0.39
1587.5,22.454,21050.94,0.39
1587.56,22.459,21056.14,0.39
1587.62,22.464,21061.51,0.39
1587.67,22.469,21066.93,0.39
1587.73,22.474,21072.35,0.39
1587.79,22.479,21077.78,0.39
1587.85,22.484,21083.06,0.39
1587.91,22.489,21088.29,0.39
1587.97,22.494,21093.68,0.39
1588.03,22.499,21099.15,0.39
1588.09,22.504,21104.61,0.39
1588.16,22.509,21110.08,0.39
1588.22,22.514,21115.37,0.39
1588.28,22.519,21120.62,0.39
1588.34,22.524,21125.86,0.39
1588.4,22.529,21131.11,0.39
1588.46,22.534,21136.58,0.39
1588.51,22.539,21142.06,0.39
1588.57,22.544,21147.38,0.39
1588.62,22.549,21152.68,0.39
1588.68,22.554,21158.15,0.38
1588.74,22.559,21163.64,0.38
1588.79,22.564,21168.98,0.38
1588.85,22.569,21174.26,0.38
1588.91,22.574,21179.52,0.38
1588.96,22.579,21184.77,0.38
1589.02,22.584,21190.21,0.38
1589.08,22.589,21195.78,0.38
1589.13,22.594,21201.13,0.38
1589.19,22.599,21206.41,0.38
1589.25,22.604,21211.92,0.38
1589.31,22.609,21217.47,0.38
1589.36,22.614,21222.76,0.38
1589.42,22.619,21228.02,0.38
1589.48,22.624,21233.48,0.38
1589.53,22.629,21238.97,0.38
1589.59,22.634,21244.5,0.38
1589.64,22.639,21249.98,0.38
1589.7,22.644,21255.23,0.38
1589.75,22.649,21260.44,0.38
1589.81,22.654,21265.81,0.39
1589.86,22.659,21271.18,0.39
1589.92,22.664,21276.59,0.39
1589.97,22.669,21282.02,0.39
1590.03,22.674,21287.46,0.39
1590.09,22.679,21292.87,0.39
1590.14,22.684,21298.24,0.39
1590.2,22.689,21303.6,0.39
1590.26,22.694,21308.84,0.39
1590.32,22.699,21313.96,0.39
1590.38,22.704,21319.25,0.39
1590.44,22.709,21324.57,0.39
1590.5,22.714,21329.75,0.39
1590.55,22.719,21334.82,0.39
1590.61,22.724,21339.88,0.39
1590.67,22.729,21344.99,0.39
1590.73,22.734,21350.06,0.39
1590.79,22.739,21355.15,0.39
1590.85,22.744,21360.25,0.39
1590.91,22.749,21365.3,0.39
1590.97,22.754,21370.4,0.39
1591.03,22.759,21375.45,0.39
1591.09,22.764,21380.5,0.39
1591.15,22.769,21385.58,0.39
1591.21,22.774,21390.6,0.39
1591.27,22.779,21395.61,0.4
1591.33,22.784,21400.47,0.4
1591.39,22.789,21405.24,0.4
1591.45,22.794,21410.25,0.4
1591.51,22.799,21415.26,0.4
1591.57,22.804,21420.32,0.4
1591.63,22.809,21425.33,0.4
1591.69,22.814,21430.08,0.4
1591.74,22.819,21434.88,0.4
1591.8,22.824,21439.9,0.4
1591.85,22.829,21444.98,0.4
1591.9,22.834,21450,0.4
1591.95,22.839,21455.03,0.4
1592.01,22.844,21460.18,0.4
1592.06,22.849,21465.31,0.4
1592.11,22.854,21470.48,0.4
1592.17,22.859,21475.73,0.4
1592.22,22.864,21480.94,0.4
1592.27,22.869,21486.18,0.4
1592.33,22.874,21491.66,0.4
1592.39,22.879,21497.24,0.4
1592.45,22.884,21502.63,0.4
1592.5,22.889,21507.99,0.4
1592.56,22.894,21513.57,0.4
1592.62,22.899,21519.21,0.4
1592.67,22.904,21525,0.4
1592.73,22.909,21531.01,0.4
1592.79,22.914,21536.88,0.4
1592.86,22.919,21542.78,0.4
1592.92,22.924,21548.7,0.4
1592.99,22.929,21554.68,0.4
1593.06,22.934,21560.43,0.4
1593.13,22.939,21566.06,0.4
1593.2,22.944,21571.72,0.4
1593.27,22.949,21577.41,0.4
1593.34,22.954,21583.34,0.4
1593.4,22.959,21589.26,0.4
1593.47,22.964,21594.96,0.4
1593.53,22.969,21600.61,0.4
1593.59,22.974,21606.26,0.4
1593.66,22.979,21611.87,0.4
1593.72,22.984,21617.46,0.4
1593.79,22.989,21623.01,0.4
1593.85,22.994,21628.28,0.4
1593.91,22.999,21633.51,0.4
1593.97,23.004,21638.91,0.4
1594.03,23.009,21644.3,0.4
1594.08,23.014,21649.88,0.4
1594.14,23.019,21655.44,0.4
1594.2,23.024,21660.75,0.4
1594.26,23.029,21665.96,0.4
1594.31,23.034,21671.16,0.4
1594.37,23.039,21676.34,0.4
1594.43,23.044,21681.58,0.4
1594.49,23.049,21686.93,0.4
1594.56,23.054,21692.19,0.4
1594.62,23.059,21697.35,0.4
1594.69,23.064,21702.5,0.4
1594.75,23.069,21707.65,0.4
1594.82,23.074,21712.96,0.4
1594.88,23.079,21718.3,0.4
1594.95,23.084,21723.49,0.4
1595.01,23.089,21728.64,0.4
1595.08,23.094,21733.74,0.4
1595.14,23.099,21738.82,0.4
1595.21,23.104,21743.92,0.4
1595.28,23.109,21749.02,0.4
1595.34,23.114,21754.13,0.4
1595.41,23.119,21759.13,0.4
1595.47,23.124,21764.09,0.4
1595.54,23.129,21769,0.4
1595.6,23.134,21773.9,0.4
1595.66,23.139,21778.77,0.4
1595.71,23.144,21783.61,0.4
1595.77,23.149,21788.41,0.4
1595.83,23.154,21793.2,0.4
1595.89,23.159,21797.98,0.4
1595.95,23.164,21802.77,0.4
1596.01,23.169,21807.6,0.4
1596.07,23.174,21812.46,0.4
1596.12,23.179,21817.36,0.4
1596.17,23.184,21822.31,0.41
1596.21,23.189,21827.31,0.41
1596.26,23.194,21832.35,0.41
1596.31,23.199,21837.42,0.41
1596.36,23.204,21842.53,0.41
1596.4,23.209,21847.68,0.41
1596.45,23.214,21852.88,0.41
1596.5,23.219,21858.15,0.41
1596.55,23.224,21863.48,0.41
1596.59,23.229,21868.88,0.41
1596.64,23.234,21874.54,0.41
1596.7,23.239,21880.46,0.41
1596.77,23.244,21886.64,0.41
1596.83,23.249,21893.09,0.41
1596.9,23.254,21899.81,0.41
1596.96,23.259,21906.79,0.41
1597.03,23.264,21914.04,0.41
1597.1,23.269,21921.23,0.41
1597.16,23.274,21928.35,0.41
1597.23,23.279,21935.42,0.41
1597.29,23.284,21942.42,0.41
1597.36,23.289,21949.35,0.41
1597.42,23.294,21956.22,0.41
1597.49,23.299,21963.01,0.41
1597.55,23.304,21969.86,0.41
1597.62,23.309,21976.77,0.41
1597.69,23.314,21983.71,0.41
1597.75,23.319,21990.65,0.41
1597.82,23.324,21997.59,0.41
1597.9,23.329,22004.49,0.41
1597.97,23.334,22011.33,0.41
1598.04,23.339,22018.11,0.41
1598.11,23.344,22024.82,0.41
1598.18,23.349,22031.44,0.41
1598.26,23.354,22037.96,0.41
1598.32,23.359,22044.39,0.41
1598.38,23.364,22050.71,0.41
1598.43,23.369,22056.93,0.41
1598.49,23.374,22063.05,0.41
1598.54,23.379,22069.07,0.41
1598.6,23.384,22074.98,0.41
1598.65,23.389,22080.8,0.41
1598.71,23.394,22086.54,0.41
1598.76,23.399,22092.2,0.41
1598.82,23.404,22097.78,0.41
1598.87,23.409,22103.28,0.41
1598.92,23.414,22108.71,0.41
1598.97,23.419,22114.09,0.41
1599.02,23.424,22119.4,0.41
1599.07,23.429,22124.66,0.41
1599.12,23.434,22129.88,0.41
1599.17,23.439,22135.05,0.4
1599.22,23.444,22140.19,0.4
1599.27,23.449,22145.33,0.4
1599.32,23.454,22150.43,0.4
1599.37,23.459,22155.47,0.4
1599.42,23.464,22160.45,0.4
1599.47,23.469,22165.41,0.4
1599.51,23.474,22170.35,0.4
1599.56,23.479,22175.25,0.4
1599.61,23.484,22179.94,0.4
1599.66,23.489,22184.81,0.4
1599.7,23.494,22189.67,0.4
1599.75,23.499,22194.5,0.4
1599.8,23.504,22199.31,0.4
1599.85,23.509,22203.94,0.4
1599.89,23.514,22208.71,0.4
1599.94,23.519,22213.46,0.4
1599.98,23.524,22218.19,0.4
1600.02,23.529,22222.74,0.4
1600.07,23.534,22227.4,0.4
1600.11,23.539,22231.9,0.4
1600.15,23.544,22236.52,0.4
1600.19,23.549,22241.12,0.4
1600.23,23.554,22245.55,0.4
1600.27,23.559,22250.09,0.4
1600.31,23.564,22254.48,0.4
1600.35,23.569,22258.85,0.4
1600.39,23.574,22263.3,0.4
1600.43,23.579,22267.62,0.4
1600.48,23.584,22271.92,0.4
1600.52,23.589,22276.3,0.4
1600.56,23.594,22280.57,0.4
1600.61,23.599,22284.83,0.4
1600.65,23.604,22289.16,0.4
1600.7,23.609,22293.39,0.4
1600.74,23.614,22297.61,0.4
1600.79,23.619,22301.81,0.4
1600.83,23.624,22306.05,0.39
1600.88,23.629,22310.21,0.39
1600.92,23.634,22314.36,0.39
1600.97,23.639,22318.49,0.39
1601.01,23.644,22322.61,0.39
1601.06,23.649,22326.71,0.39
1601.1,23.654,22330.81,0.39
1601.14,23.659,22334.88,0.39
1601.18,23.664,22338.94,0.39
1601.23,23.669,22343.01,0.39
1601.27,23.674,22347.04,0.39
1601.31,23.679,22351.06,0.39
1601.35,23.684,22355.06,0.39
1601.39,23.689,22359.06,0.39
1601.43,23.694,22363.05,0.39
1601.48,23.699,22367.03,0.39
1601.52,23.704,22371,0.39
1601.56,23.709,22374.96,0.39
1601.6,23.714,22378.91,0.39
1601.64,23.719,22382.85,0.39
1601.69,23.724,22386.79,0.39
1601.73,23.729,22390.72,0.39
1601.77,23.734,22394.64,0.39
1601.81,23.739,22398.55,0.39
1601.85,23.744,22402.45,0.39
1601.9,23.749,22406.34,0.39
1601.94,23.754,22410.22,0.39
1601.98,23.759,22414.09,0.39
1602.02,23.764,22417.96,0.39
1602.07,23.769,22421.82,0.39
1602.11,23.774,22425.66,0.39
1602.15,23.779,22429.49,0.39
1602.2,23.784,22433.31,0.39
1602.24,23.789,22437.14,0.39
1602.29,23.794,22440.98,0.39
1602.34,23.799,22444.8,0.39
1602.38,23.804,22448.62,0.39
1602.43,23.809,22452.43,0.39
1602.48,23.814,22456.25,0.39
1602.52,23.819,22460.07,0.38
1602.57,23.824,22463.92,0.38
1602.62,23.829,22467.75,0.38
1602.66,23.834,22471.57,0.38
1602.71,23.839,22475.4,0.38
1602.76,23.844,22479.22,0.38
1602.8,23.849,22483.08,0.38
1602.85,23.854,22486.9,0.38
1602.9,23.859,22490.68,0.38
1602.94,23.864,22494.46,0.38
1602.99,23.869,22498.24,0.38
1603.04,23.874,22502.08,0.38
1603.08,23.879,22505.84,0.38
1603.13,23.884,22509.59,0.38
1603.18,23.889,22513.34,0.38
1603.22,23.894,22517.08,0.38
1603.27,23.899,22520.89,0.38
1603.31,23.904,22524.61,0.38
1603.36,23.909,22528.34,0.39
1603.4,23.914,22532.12,0.39
1603.45,23.919,22535.84,0.39
1603.49,23.924,22539.55,0.39
1603.53,23.929,22543.26,0.39
1603.58,23.934,22547.03,0.39
1603.62,23.939,22550.74,0.39
1603.67,23.944,22554.44,0.39
1603.71,23.949,22558.13,0.39
1603.76,23.954,22561.88,0.39
1603.8,23.959,22565.57,0.39
1603.84,23.964,22569.24,0.39
1603.89,23.969,22572.98,0.39
1603.93,23.974,22576.65,0.39
1603.97,23.979,22580.31,0.39
1604.02,23.984,22584.02,0.39
1604.06,23.989,22587.67,0.39
1604.1,23.994,22591.3,0.39
1604.14,23.999,22595,0.39
1604.19,24.004,22598.61,0.39
1604.23,24.009,22602.2,0.39
1604.27,24.014,22605.86,0.39
1604.32,24.019,22609.42,0.39
1604.36,24.024,22613.05,0.39
1604.4,24.029,22616.57,0.39
1604.45,24.034,22620.16,0.39
1604.49,24.039,22623.63,0.39
1604.54,24.044,22627.18,0.39
1604.58,24.049,22630.6,0.39
1604.63,24.054,22634.1,0.39
1604.67,24.059,22637.46,0.39
1604.71,24.064,22640.91,0.39
1604.76,24.069,22644.2,0.39
1604.8,24.074,22647.6,0.39
1604.85,24.079,22650.99,0.39
1604.89,24.084,22654.34,0.39
1604.94,24.089,22657.5,0.39
1604.98,24.094,22660.81,0.39
1605.03,24.099,22664.1,0.39
1605.07,24.104,22667.36,0.39
1605.12,24.109,22670.4,0.39
1605.17,24.114,22673.62,0.39
1605.21,24.119,22676.81,0.39
1605.26,24.124,22679.98,0.39
1605.3,24.129,22683.13,0.39
1605.35,24.134,22686.26,0.39
1605.4,24.139,22689.41,0.39
1605.44,24.144,22692.5,0.39
1605.49,24.149,22695.57,0.39
1605.53,24.154,22698.64,0.39
1605.57,24.159,22701.39,0.39
1605.62,24.164,22704.44,0.39
1605.66,24.169,22707.48,0.39
1605.71,24.174,22710.51,0.39
1605.75,24.179,22713.54,0.39
1605.8,24.184,22716.56,0.39
1605.84,24.189,22719.58,0.39
1605.89,24.194,22722.62,0.39
1605.93,24.199,22725.67,0.39
1605.97,24.204,22728.75,0.39
1606.02,24.209,22731.85,0.39
1606.07,24.214,22734.98,0.39
1606.12,24.219,22738.14,0.39
1606.17,24.224,22741.34,0.39
1606.22,24.229,22744.59,0.39
1606.27,24.234,22747.87,0.39
1606.31,24.239,22750.91,0.39
1606.36,24.244,22754.32,0.39
1606.41,24.249,22757.8,0.39
1606.46,24.254,22761.04,0.39
1606.51,24.259,22764.63,0.39
1606.56,24.264,22768,0.39
1606.61,24.269,22771.7,0.39
1606.66,24.274,22775.21,0.39
1606.71,24.279,22778.77,0.39
1606.76,24.284,22782.64,0.39
1606.81,24.289,22786.32,0.39
1606.85,24.294,22790.06,0.39
1606.9,24.299,22793.84,0.39
