# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871936. Accessed 11 Nov 2022.
# Comment: Cibicidoides sp. δ18O and Cibicidoides sp. δ13C include C. kullenbergi and C. wuellerstorfi, which are listed as separate variables in the original dataset.

Depth cr mean [rmcd],Age [ka BP],Cibicidoides sp. δ18O [‰ PDB],Cibicidoides sp. δ13C [‰ PDB]
3.93,52.71,3.84,0.66
3.95,52.91,3.95,0.71
3.97,53.11,3.79,1.02
3.99,53.31,3.85,1.05
4.01,53.51,3.56,0.65
4.03,53.71,3.85,0.52
4.05,53.91,3.74,0.82
4.07,54.11,3.76,0.41
4.09,54.31,3.86,0.36
4.11,54.58,4,0.75
4.13,54.9,3.96,0.58
4.15,55.23,4.15,0.58
4.17,55.56,3.95,0.83
4.19,55.88,3.97,0.9
4.21,56.21,3.8,0.33
4.23,56.53,3.93,0.52
4.25,56.86,3.99,0.65
4.27,57.18,3.87,-0.27
4.29,57.51,3.74,0.76
4.31,57.85,3.7,0.4
4.35,58.81,3.77,0.34
4.37,59.35,3.79,0.16
4.39,59.94,3.79,0.05
4.41,60.53,3.81,-0.04
4.43,61.12,3.73,0.71
4.45,61.71,3.59,0.65
4.51,63.48,4.16,0.11
4.53,64.06,4.1,-0.07
4.59,65.69,3.75,-0.14
4.65,67.32,3.97,-0.08
4.69,68.4,4.1,-0.04
4.71,68.95,4.02,-0.39
4.73,69.49,4.11,0.15
4.75,69.88,4.06,0.33
4.77,70.23,4.04,0.89
4.79,70.58,4.1,0.49
4.81,70.93,3.99,0.6
4.83,71.28,4.11,0.13
4.85,71.64,4,0.47
4.87,71.99,4.07,0.58
4.89,72.33,3.78,0.39
4.91,72.63,4.1,0.46
4.93,72.94,3.85,0.69
4.95,73.24,3.82,0.62
4.97,73.55,3.62,0.34
4.99,73.86,3.76,0.62
5.01,74.16,3.91,0.84
5.03,74.47,3.63,0.76
5.05,74.77,3.87,0.56
5.07,75.08,3.72,0.83
5.09,75.38,3.67,0.63
5.11,75.69,3.68,0.97
5.13,76,3.79,0.8
5.15,76.3,3.75,0.96
5.17,76.6,3.74,0.87
5.19,76.88,3.61,0.75
5.21,77.16,3.56,0.64
5.23,77.44,3.56,0.74
5.25,77.72,3.53,0.49
5.27,78.01,3.81,0.8
5.29,78.29,3.72,0.64
5.31,78.57,3.69,0.62
5.33,78.85,3.65,0.71
5.35,79.13,3.67,0.62
5.37,79.41,3.6,0.62
5.39,79.69,3.66,0.17
5.41,79.98,3.54,0.35
5.43,80.26,3.56,0.73
5.45,80.54,3.56,0.87
5.47,80.82,3.49,0.85
5.49,81.1,3.53,0.5
5.51,81.38,3.51,0.75
5.53,81.66,3.43,0.64
5.55,81.95,3.43,0.96
5.57,82.23,3.45,0.61
5.59,82.51,3.47,0.55
5.61,82.79,3.33,0.87
5.63,83.07,3.31,0.56
5.65,83.35,3.37,0.67
