# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871936. Accessed 11 Nov 2022.
# Comment: Cibicidoides sp. δ18O and Cibicidoides sp. δ13C include C. kullenbergi and C. wuellerstorfi, which are listed as separate variables in the original dataset.

Depth cr mean [rmcd],Age [ka BP],Cibicidoides sp. δ18O [‰ PDB],Cibicidoides sp. δ13C [‰ PDB]
12.83,207.38,3.11,0.74
12.85,207.69,3.12,0.56
12.87,208,3.14,0.97
12.89,208.31,3.42,0.76
12.91,208.62,3.08,0.54
12.93,208.92,3.11,0.92
12.95,209.23,2.97,0.71
12.97,209.54,2.95,0.95
12.99,209.85,3.24,0.83
13.01,210.15,2.94,0.91
13.03,210.46,3.03,0.78
13.05,210.77,2.93,0.86
13.09,211.38,2.92,0.75
13.11,211.69,3.04,1.02
13.13,212,2.93,0.67
13.15,212.31,2.8,0.62
13.17,212.62,2.81,0.22
13.19,212.92,2.93,0.85
13.21,213.23,2.85,0.51
13.23,213.54,2.95,0.79
13.25,213.85,2.95,0.59
13.27,214.15,2.88,0.86
13.29,214.46,2.87,0.77
13.31,214.77,2.81,0.8
13.33,215.08,2.77,0.7
13.35,215.38,2.93,0.87
13.39,216,3.03,0.86
13.41,216.31,3.21,0.61
13.43,216.62,2.97,0.62
13.45,216.92,2.94,0.64
13.47,217.23,2.94,0.73
13.49,217.54,3.02,0.43
13.51,217.85,3.46,0.18
13.53,218.15,3.37,0.12
13.55,218.46,3.13,0.08
13.57,218.77,3.3,-0.16
13.59,219.08,3.21,0.23
13.61,219.38,3.28,0.02
13.63,219.69,3.4,-0.41
13.65,220,3.11,0.06
13.67,220.27,3.99,-0.03
13.69,220.55,3.78,-0.02
13.71,220.82,3.72,-0.08
13.73,221.1,4.11,-0.05
13.75,221.37,3.91,-0.02
13.77,221.64,3.9,0
13.79,221.92,4.05,0.27
13.81,222.19,4,0.31
13.83,222.46,4.12,0.2
13.85,222.74,3.97,0.69
13.87,223.01,3.91,0.61
13.89,223.29,3.9,0.47
13.91,223.56,3.93,0.05
13.95,224.11,4.01,0.42
13.97,224.38,3.99,0.72
13.99,224.65,3.46,0.63
14.01,224.93,3.97,0.55
14.03,225.2,3.74,0.41
14.05,225.48,3.94,0.22
14.07,225.75,3.73,0.42
14.09,226.02,3.6,0.47
14.11,226.3,3.96,0.51
14.13,226.57,3.94,0.5
14.15,226.85,3.93,0.49
14.17,227.12,3.19,-0.28
14.19,227.39,3.92,0.41
14.21,227.67,4.07,0.12
14.23,227.94,3.72,0.27
14.25,228.21,3.31,0.67
14.29,228.76,3.45,0.86
14.31,229.04,3.76,0.56
14.33,229.31,3.53,0.66
14.35,229.58,3.5,0.68
14.37,229.86,3.42,0.62
14.39,230.13,3.45,0.59
14.41,230.4,3.28,0.35
14.43,230.68,3.43,0.68
14.45,230.95,3.3,0.68
14.47,231.23,3.38,0.03
14.49,231.5,3.39,0.6
14.51,231.77,3.47,0.17
14.53,232.05,3.17,0.52
14.55,232.32,3.12,0.49
14.57,232.6,3.2,0.46
14.59,232.87,3.3,0.56
14.61,233.14,3.23,0.59
14.63,233.42,3.07,1.02
14.65,233.69,3.15,0.65
14.67,233.96,3.18,0.76
14.69,234.24,2.99,0.51
14.71,234.51,3.01,0.75
14.73,234.79,2.9,0.69
14.75,235.06,3.1,0.78
14.77,235.33,3.19,-0.2
14.79,235.61,3.03,0.89
14.81,235.88,2.91,0.65
14.83,236.15,2.98,0.77
14.85,236.43,2.79,0.58
14.87,236.7,2.78,0.33
14.89,236.98,3.18,0.93
14.91,237.25,2.78,0.65
14.93,237.52,2.96,0.79
14.95,237.8,3.05,0.84
14.97,238.07,2.86,0.66
14.99,238.35,2.66,0.56
15.01,238.62,2.41,0.28
15.03,238.89,2.83,0.58
15.05,239.17,2.64,0.69
15.07,239.44,2.75,0.79
15.09,239.71,2.9,0.89
15.11,239.99,2.41,0.2
15.13,240.26,2.67,0.65
15.15,240.54,2.53,0.46
15.17,240.81,2.68,0.04
15.19,241.08,2.84,0.37
15.21,241.36,2.63,-0.11
15.23,241.63,2.79,0.16
15.25,241.9,2.85,-0.38
15.27,242.18,2.6,0.02
15.29,242.45,2.86,0.06
15.31,242.73,3.21,0.17
15.33,243,3.02,0
15.35,243.28,3.29,0.26
15.41,244.11,3.91,0.13
15.45,244.66,3.97,0.27
15.47,244.94,4.05,0.66
15.49,245.22,3.79,0.31
15.51,245.5,3.85,0.48
15.53,245.77,4,0.45
15.55,246.05,3.87,0.62
15.57,246.33,3.99,0.59
15.59,246.61,4.06,0.45
15.61,246.88,3.79,0.34
15.63,247.16,4.07,0.22
15.65,247.44,3.91,0.33
15.67,247.72,3.75,0.41
15.69,247.99,4.12,0.15
15.71,248.27,3.98,0.51
15.73,248.55,3.94,0.51
15.75,248.82,4.2,0.6
15.77,249.1,4.02,0.36
15.79,249.38,4.1,0.27
15.81,249.66,4.34,0.35
15.83,249.93,4.37,0.4
15.85,250.21,4.29,-0.15
15.87,250.49,4.21,0.24
15.89,250.77,4.17,0.13
15.91,251.04,4.28,0.42
15.93,251.32,4.13,-0.24
15.95,251.6,4.23,0.21
15.97,251.88,4.46,0.39
15.99,252.15,4.28,0.47
16.01,252.43,4.21,0.58
16.03,252.71,4.41,0.53
16.05,252.99,4.36,0.56
16.07,253.26,4.35,0.44
16.09,253.54,4.24,0.39
16.11,253.82,4.12,0.32
16.13,254.09,4.59,0.17
16.15,254.37,4.22,0.46
16.17,254.65,4.24,0.41
16.19,254.93,4.26,0.35
16.21,255.2,4.22,0.09
16.23,255.48,4.34,0.46
16.25,255.76,4.1,0.35
16.27,256.04,4.02,0.41
16.29,256.31,4.04,0.53
16.31,256.59,4.22,0.49
16.33,256.87,4,0.56
16.35,257.15,3.93,0.37
16.37,257.42,4.05,0.54
16.39,257.7,3.99,0.58
16.41,257.98,3.97,0.25
16.43,258.26,3.63,0.44
16.45,258.53,3.9,0.19
16.47,258.81,3.84,0.22
16.49,259.09,3.83,-0.02
16.51,259.36,3.85,0.01
16.77,262.97,4.1,0.16
16.79,263.25,4.23,0.46
16.81,263.53,4.2,0.58
16.83,263.8,4.17,0.34
16.85,264.08,4.14,0.29
16.87,264.36,4.11,0.21
16.89,264.64,4.21,0.28
16.91,264.91,3.87,1.28
16.93,265.19,4.05,0.38
16.95,265.47,4,0.27
16.97,265.74,4.21,0.31
16.99,266.02,4.17,-0.33
17.01,266.3,4.22,0.51
17.03,266.58,4.09,0.17
17.05,266.85,4.02,-0.03
17.07,267.13,4.05,-0.04
17.09,267.41,3.77,-0.12
17.11,267.69,3.96,-0.07
17.13,267.96,4.01,0.07
17.15,268.24,4.01,-0.19
17.21,269.07,4.01,-0.22
17.23,269.35,3.97,-0.12
17.25,269.63,4.03,-0.61
17.27,269.91,4.1,-0.42
17.29,270.18,4.1,-0.28
17.31,270.46,4.09,-0.44
17.33,270.74,4.14,-0.61
17.35,271.01,4.06,-0.4
17.37,271.29,4.02,0.44
17.41,271.85,3.73,0.23
17.45,272.4,4.07,-0.14
17.49,272.96,3.99,-0.16
17.51,273.23,4.22,-0.15
17.53,273.51,4.01,-0.2
17.55,273.79,3.85,-0.19
17.57,274.07,4.07,-0.37
17.59,274.34,4.11,-0.12
17.61,274.62,4.05,-0.27
17.65,275.18,4,-0.44
17.67,275.45,4.08,-0.34
17.69,275.73,4.03,0
17.71,276.01,4.07,-0.38
17.73,276.28,4.07,-0.01
17.75,276.56,3.97,0.48
17.77,276.84,3.84,0.02
17.79,277.12,4.04,-0.23
17.83,277.67,3.79,0.38
17.85,277.95,3.89,0.2
17.87,278.23,3.8,0.48
17.89,278.5,3.86,0.4
17.91,278.78,3.78,-0.02
17.95,279.34,3.83,0.43
17.97,279.61,3.77,0.61
17.99,279.89,3.83,0.47
18.01,280.17,3.82,0.93
18.03,280.45,3.65,0.77
18.05,280.72,3.72,0.85
18.07,281,3.93,0.23
18.09,281.32,3.87,1.05
18.11,281.65,3.53,0.42
18.15,282.29,3.58,0.54
18.17,282.62,3.5,0.45
18.19,282.94,3.62,0.34
18.21,283.26,3.47,0.55
18.25,283.91,3.43,0.31
18.27,284.24,3.48,0.81
18.29,284.56,3.36,0.36
18.31,284.88,3.4,0.5
18.33,285.21,3.55,0.56
18.35,285.53,3.32,0.52
18.37,285.85,3.31,0.62
18.39,286.18,3.53,0.55
18.41,286.5,3.25,0.72
18.43,286.82,3.8,0.05
18.45,287.15,3.29,0.61
18.47,287.47,3.47,0.6
18.49,287.79,3.46,0.32
18.51,288.12,3.27,0.28
18.53,288.44,3.35,0.31
18.55,288.76,3.26,0.61
18.57,289.09,3.52,0.45
18.59,289.41,3.5,-0.01
18.61,289.74,3.55,0.06
18.63,290.06,3.47,0.25
18.65,290.38,3.55,0.41
18.67,290.71,3.41,0.45
18.69,291.03,3.71,0.06
18.71,291.35,3.99,-0.06
18.73,291.68,4.17,-0.33
18.75,292,4.21,0.04
18.77,292.28,4,-0.02
18.79,292.55,4.07,0.09
18.81,292.83,4.09,-0.23
18.83,293.11,4.02,-0.3
18.85,293.39,4,-0.18
18.87,293.66,4.08,-0.61
18.89,293.94,4.07,-0.15
18.91,294.22,4.14,-0.21
18.93,294.49,4.02,-0.39
18.95,294.77,4.22,-0.5
18.97,295.05,3.97,-0.34
18.99,295.32,3.97,-0.65
19.01,295.6,3.91,-0.33
19.03,295.88,3.93,0.35
19.05,296.16,3.66,0.24
19.07,296.43,3.73,0.35
19.09,296.71,3.81,0.4
19.11,296.99,3.83,0.62
19.13,297.26,4.01,0.24
19.15,297.54,3.89,-0.3
19.17,297.82,3.56,0.48
19.19,298.09,3.53,0.49
19.21,298.37,3.87,0.56
19.23,298.65,3.42,0.67
19.25,298.93,3.68,0.71
19.27,299.2,3.62,0.63
19.29,299.48,3.45,0.52
19.31,299.76,3.52,0.76
19.33,300.03,3.42,0.63
19.35,300.31,3.9,0.45
19.37,300.59,3.36,0.59
19.39,300.87,3.47,0.83
19.41,301.14,3.42,0.66
19.43,301.42,3.43,0.4
19.45,301.7,3.42,0.65
19.47,301.97,3.62,0.61
19.49,302.25,3.24,0.85
19.51,302.53,3.52,0.67
19.53,302.8,3.71,0.66
19.55,303.08,3.55,0.59
19.57,303.36,3.61,0.45
19.59,303.64,3.67,0.53
19.61,303.91,3.57,0.69
19.63,304.19,3.38,0.39
19.65,304.47,3.51,0.24
19.67,304.74,3.56,0.57
19.69,305.02,3.48,0.62
19.71,305.3,3.49,0.71
19.73,305.57,3.37,0.42
19.75,305.85,3.34,0.62
19.77,306.13,3.48,0.09
19.79,306.41,3.26,0.43
19.81,306.68,3.44,0.17
19.83,306.96,3.36,0.62
19.87,307.51,3.29,0.49
19.89,307.79,3.24,0.57
19.91,308.07,3.19,0.47
19.93,308.35,3.13,0.37
19.95,308.62,3.96,-0.41
19.97,308.9,3.46,0.38
19.99,309.18,3.18,0.31
20.01,309.45,3.09,0.38
20.03,309.73,3.13,0.2
20.05,310.01,2.92,-0.09
20.07,310.28,3.11,0.27
20.09,310.56,3.28,0.26
20.11,310.84,3.33,0.28
20.13,311.12,2.79,0.64
20.15,311.39,3.18,0.64
20.17,311.67,3.31,0.47
20.19,311.95,2.97,0.33
20.21,312.22,3.22,0.64
20.23,312.5,3.08,0.56
20.25,312.78,3.01,0.12
20.27,313.05,3.03,0.04
20.29,313.33,3.32,0.43
20.31,313.61,3.12,0.26
20.33,313.89,3.05,0.47
20.35,314.16,2.86,0.42
20.37,314.44,2.93,0.53
20.39,314.72,3.1,0.44
20.41,314.99,2.99,0.5
20.43,315.27,3.02,0.45
20.45,315.55,2.93,0.43
20.47,315.83,3.78,-0.18
20.53,316.66,2.94,0.99
20.55,316.93,2.84,0.38
20.57,317.21,2.77,0.49
20.59,317.49,2.9,0.9
20.61,317.76,2.88,1.07
20.63,318.04,2.85,1.02
20.65,318.32,2.8,0.65
20.67,318.6,2.8,0.82
20.69,318.87,2.7,0.39
20.71,319.15,2.76,0.98
20.73,319.43,2.67,0.8
20.75,319.7,2.83,0.82
20.77,319.98,2.76,0.55
20.79,320.26,2.76,0.87
20.81,320.53,2.79,0.14
20.83,320.81,2.7,0.76
20.85,321.09,2.75,0.63
20.87,321.37,2.88,0.85
20.89,321.64,2.7,0.71
20.91,321.92,2.86,0.6
20.93,322.2,2.74,0.81
20.95,322.47,2.74,0.84
20.97,322.75,2.62,0.56
20.99,323.03,2.58,0.61
21.01,323.31,2.6,0.8
21.03,323.58,2.66,0.66
21.05,323.86,2.63,0.71
21.07,324.14,2.99,0.66
21.09,324.41,2.89,0.63
21.11,324.69,2.79,0.32
21.13,324.97,2.56,0.71
21.15,325.24,2.51,0.57
21.17,325.52,2.56,0.67
21.19,325.8,2.56,0.46
21.21,326.08,2.64,0.56
21.23,326.35,2.53,0.53
21.25,326.63,2.51,0.6
21.27,326.91,2.46,0.82
21.31,327.46,2.45,0.19
21.33,327.74,2.1,-0.13
21.35,328.01,2.5,-0.13
21.37,328.29,2.3,-0.16
21.39,328.57,2.34,-0.49
21.41,328.85,2.29,-0.42
21.43,329.12,2.01,-0.41
21.45,329.4,2.18,-0.37
21.47,330,2.04,-0.6
21.84,341.2,3.98,0.12
21.86,341.8,4.49,-0.4
21.88,342.15,4.43,-0.31
21.9,342.5,4.57,-0.14
21.92,342.85,4.5,-0.18
21.94,343.19,4.54,-0.16
21.96,343.54,4.47,-0.76
21.98,343.89,4.54,-0.48
22,344.24,4.57,-0.55
22.02,344.59,4.5,-0.73
22.04,344.94,4.4,-0.06
22.06,345.29,4.48,-0.09
22.08,345.63,4.53,-0.11
22.1,345.98,4.48,-0.24
22.12,346.33,4.41,-0.05
22.14,346.68,4.51,0.47
22.16,347.03,4.5,0.22
22.18,347.38,4.41,0.43
22.2,347.73,4.24,0.3
22.22,348.08,4.19,0.26
22.24,348.42,4.2,0.59
22.28,349.12,4.26,0.54
22.3,349.47,4.28,0.17
22.32,349.82,4.24,0.22
22.34,350.17,4.24,0.25
22.36,350.52,4.14,0.18
22.38,350.86,4.19,0.08
22.4,351.21,3.86,0.01
22.44,351.91,4.08,-0.17
22.46,352.26,4,-0.21
22.48,352.61,4.06,-0.17
22.52,353.3,4.05,-0.79
22.54,353.65,3.67,0.39
22.56,354,4.18,-0.48
22.58,354.35,4.05,-0.6
22.6,354.7,4.03,-0.22
22.64,355.4,3.9,-0.23
22.66,355.74,4.1,-0.52
22.68,356.09,4.02,-0.43
22.7,356.44,4.15,-0.42
22.72,356.79,4.2,-0.36
22.74,357.14,4.03,-0.52
22.76,357.49,4.23,-0.44
22.78,357.84,4.19,-0.22
22.8,358.18,4.26,-0.26
22.82,358.53,4.18,-0.23
22.84,358.88,4.29,-0.21
22.86,359.23,4.23,-0.32
22.88,359.58,4.17,-0.03
22.9,359.93,4.2,-0.08
22.92,360.28,4.03,0.03
22.94,360.63,3.65,0.65
22.96,360.97,4.26,-0.15
22.98,361.32,4.17,-0.16
23,361.67,4.12,-0.24
23.02,362.02,4.13,-0.41
23.04,362.37,4.1,-0.03
23.06,362.72,4.1,-0.22
23.08,363.07,4.09,0.11
23.1,363.41,4.01,0.06
23.12,363.76,3.94,-0.18
23.14,364.11,4.16,-0.24
23.18,364.81,3.92,0
23.2,365.16,3.97,-0.26
23.22,365.51,4.06,-0.28
23.24,365.85,4.04,-0.48
23.26,366.2,4.02,0.22
23.28,366.55,4.03,0.01
23.3,366.9,4.08,-0.15
23.32,367.25,4.01,0.1
23.34,367.6,4.06,-0.56
23.36,367.95,4.07,-0.31
23.38,368.29,4.03,-0.41
23.4,368.64,4,-0.01
23.42,368.99,4.01,0.43
23.44,369.34,4.06,0.08
23.46,369.69,4.03,-0.01
23.48,370.04,3.9,-0.01
23.5,370.39,3.94,0.36
23.52,370.73,3.83,0.02
23.54,371.08,3.87,0.47
23.56,371.43,3.82,0.54
23.62,372.48,3.76,0.39
23.64,372.83,3.72,0.24
23.66,373.18,3.92,0.19
23.68,373.52,3.73,0.43
23.7,373.87,3.68,0.21
23.72,374.22,3.78,0.06
23.74,374.57,3.63,-0.3
23.76,374.92,3.9,0.08
23.78,375.27,3.9,0.49
23.82,375.96,4,0.46
23.84,376.31,3.82,0.42
23.86,376.66,3.83,0.62
23.88,377.01,3.81,0.28
23.9,377.36,3.83,0.19
23.92,377.71,3.75,0.31
23.94,378.06,3.75,0.07
23.96,378.4,3.73,0.52
23.98,378.75,3.53,0.79
24,379.1,3.64,0.4
24.02,379.45,3.52,0.38
24.04,379.8,3.73,0.26
24.06,380.15,3.58,0.53
24.08,380.5,3.49,0.91
24.1,380.84,3.37,0.73
24.12,381.19,3.63,0.73
24.14,381.54,3.54,0.4
24.16,381.89,3.33,0.6
24.18,382.24,3.36,0.59
24.22,382.94,3.41,0.61
24.24,383.28,3.42,0.47
24.26,383.63,3.48,0.41
24.28,383.98,3.4,0.48
24.3,384.33,3.57,0.58
24.32,384.68,3.5,0.45
24.34,385.03,3.58,0.68
24.36,385.38,3.41,0.84
24.38,385.73,3.4,0.69
24.4,386.07,3.48,0.71
24.42,386.42,3.41,0.76
24.44,386.77,3.7,0.52
24.46,387.12,3.41,0.71
24.48,387.47,3.46,0.2
24.5,387.82,3.35,0.63
24.52,388.17,3.29,0.66
24.54,388.51,3.39,0.59
24.56,388.86,3.37,0.41
24.58,389.21,3.27,0.71
24.6,389.56,3.32,0.38
24.62,389.91,3.43,0.51
24.64,390.26,3.56,0.56
24.66,390.61,3.36,0.07
24.68,390.95,3.34,0.58
24.7,391.3,3.51,0.28
24.74,392,3.55,0.1
24.76,392.29,3.4,0.64
24.78,392.58,3.4,0.37
24.8,392.87,3.66,0.65
24.82,393.16,3.34,-0.17
24.84,393.46,3.4,0.48
24.86,393.75,3.43,0.33
24.88,394.04,3.09,0.49
24.9,394.33,3.31,0.24
24.92,394.62,3.26,0.53
24.94,394.91,2.99,0.45
24.96,395.2,3.22,0.45
24.98,395.49,3.09,0.37
25,395.78,3.05,0.74
25.02,396.07,3.06,0.78
25.04,396.37,3.12,0.83
25.06,396.66,3.06,0.45
25.08,396.95,3.21,0.26
25.1,397.24,2.97,0.92
25.12,397.53,3.05,0.71
25.14,397.82,3.1,0.98
25.18,398.4,3.03,0.8
25.2,398.69,2.84,0.89
25.22,398.99,3,1.17
25.24,399.28,2.92,0.9
25.26,399.57,2.83,0.98
25.28,399.86,2.84,1.09
25.3,400.15,2.87,0.95
25.32,400.44,2.84,0.66
25.34,400.73,2.79,0.78
25.36,401.02,2.79,0.87
25.38,401.31,2.7,0.9
25.4,401.6,2.72,0.87
25.42,401.9,2.75,0.86
25.44,402.19,2.66,0.85
25.46,402.48,2.77,0.81
25.48,402.77,2.77,0.24
25.5,403.06,2.76,1.17
25.52,403.35,2.86,1.22
25.54,403.64,2.82,0.92
25.56,403.93,2.75,0.85
25.58,404.22,2.72,0.43
25.6,404.51,2.67,1.2
25.62,404.81,2.64,1.08
25.64,405.1,2.73,1.04
25.66,405.39,2.67,0.74
25.68,405.68,2.69,1.02
25.7,405.97,2.76,1.33
25.72,406.26,2.72,0.9
25.74,406.55,2.66,1.04
25.76,406.84,2.7,1.28
25.78,407.13,2.76,1.05
25.8,407.43,2.7,1.1
25.82,407.72,3.02,0.83
25.84,408.01,2.71,1.12
25.86,408.3,2.67,0.9
25.88,408.59,2.65,1.03
25.9,408.88,2.59,0.94
25.92,409.17,2.63,0.89
25.94,409.46,2.6,0.86
25.96,409.75,2.71,0.93
25.98,410.04,2.79,0.8
26,410.34,2.71,0.84
26.02,410.63,2.7,1.02
26.04,410.92,2.63,0.51
26.06,411.21,2.74,0.76
26.08,411.5,2.75,0.69
26.1,411.79,2.82,0.7
26.12,412.08,2.87,1.09
26.14,412.37,2.63,0.96
26.16,412.66,2.83,0.77
26.18,412.96,2.79,1.15
26.22,413.54,2.88,0.99
26.24,413.83,2.75,0.87
26.26,414.12,3.06,0.94
26.28,414.41,2.85,1.02
26.3,414.7,2.91,1.17
26.32,414.99,2.91,1.07
26.34,415.28,2.93,1.16
26.36,415.57,2.93,0.86
26.38,415.87,3.01,0.85
26.4,416.16,2.91,1.09
26.42,416.45,3.02,0.32
26.46,417.03,3.11,1
26.48,417.32,3.11,0.94
26.5,417.61,3.06,0.97
26.52,417.9,3.02,0.89
26.54,418.19,2.91,0.93
26.56,418.49,3.03,0.72
26.58,418.78,3.18,0.39
26.6,419.07,3.06,0.99
26.62,419.36,3.25,0.93
26.64,419.65,3.28,0.76
26.66,419.94,3.32,0.99
26.68,420.23,3.18,0.88
26.7,420.52,3.3,0.62
26.72,420.81,3.13,0.5
26.74,421.1,3.21,0.57
26.76,421.4,3.2,0.73
26.78,421.69,3.33,0.69
26.8,421.98,3.21,0.36
26.82,422.27,3.24,-0.24
26.84,422.56,3.37,0.6
26.86,422.85,3.18,0.44
26.88,423.14,3.24,0.55
26.9,423.43,3.26,0.39
26.92,423.72,3.28,0.1
26.94,424.01,3.33,0.36
26.96,424.31,3.28,0.5
26.98,424.6,3.39,0.08
27,424.89,3.49,0.14
27.02,425.18,3.7,0.04
27.04,425.47,3.4,0.06
27.06,425.76,3.25,0.01
27.08,426.05,3.64,-0.25
27.1,426.34,3.53,-0.43
27.12,426.63,3.57,-0.16
27.14,426.93,3.89,-0.46
27.16,427.22,3.64,-0.17
27.2,427.8,4,-0.39
27.22,428.09,4.09,-0.48
27.28,428.96,4.29,-0.4
27.3,429.25,4.32,-0.16
27.32,429.54,4.37,-0.41
27.36,430.13,4.47,-0.46
27.38,430.42,4.43,-0.56
27.4,430.71,4.45,-0.29
27.42,431,4.82,-0.23
27.44,431.53,4.75,-0.39
27.46,432.06,4.7,-0.2
27.48,432.59,4.16,-0.16
27.5,433.12,4.7,-0.18
27.52,433.65,4.63,-0.33
27.54,434.18,4.65,-0.32
27.56,434.71,4.53,-0.3
27.6,435.77,4.85,-0.33
27.62,436.3,4.66,-0.21
27.64,436.83,4.29,-0.16
27.72,438.95,3.9,0.57
27.76,440.01,4.31,0.01
27.78,440.54,4.5,-0.42
27.8,441.07,4.4,-0.03
27.82,441.6,4.44,-0.09
27.84,442.13,4.43,-0.15
27.88,443.19,4.34,-0.16
27.9,443.72,4.25,0.21
27.92,444.25,4.37,0.29
27.94,444.78,4.38,-0.08
27.96,445.31,4.29,0.05
27.98,445.84,4.2,-0.35
28,446.37,4.23,-0.12
28.02,446.9,4.32,-0.27
28.04,447.43,4.24,-0.67
28.06,447.96,4.18,-0.05
28.08,448.49,4.22,-0.24
28.1,449.02,4.21,0.1
28.12,449.55,4.33,-0.04
28.14,450.08,4.36,0
28.16,450.61,4.28,-0.3
28.18,451.14,4.23,-0.06
28.2,451.67,4.2,-0.56
28.22,452.2,4.27,-0.37
28.3,454.33,3.97,-0.14
28.36,455.92,4.13,-0.46
28.38,456.45,4.26,-0.16
28.4,456.98,4.34,0.06
28.42,457.51,4.33,-0.03
28.44,458.04,4.29,0.04
28.46,458.57,4.28,0.04
28.48,459.1,4.28,-0.58
28.5,459.63,4.33,-0.53
28.52,460.16,4.23,0.43
28.54,460.69,4.21,-0.18
28.56,461.22,4.23,-0.38
28.58,461.75,4.19,0.23
28.6,462.28,4.15,0.05
28.62,462.81,3.96,0.21
28.64,463.34,4.07,0.3
28.66,463.87,3.99,-0.24
28.68,464.4,3.94,-0.27
28.7,464.93,4.03,-0.43
28.72,465.46,4.2,-0.22
28.74,465.99,3.61,0.12
28.78,467.05,4.08,-0.32
28.82,468.11,4.09,-0.24
28.84,468.64,4.12,0.09
28.86,469.17,3.98,0.01
28.88,469.7,4.19,0.18
28.9,470.23,4.12,0
28.92,470.76,4.13,0.12
28.94,471.29,4.12,0.36
28.96,471.82,4.03,-0.04
28.98,472.35,3.97,-0.31
29.02,473.41,4.04,-0.17
29.04,473.94,3.91,-0.31
29.08,475,4.06,0.1
29.12,475.42,3.83,-0.06
29.14,475.63,3.98,0.06
29.16,475.84,4.07,0.19
29.18,476.05,3.99,0.34
29.2,476.26,3.89,0.18
29.22,476.47,3.85,0.51
29.24,476.68,3.8,0.19
29.26,476.89,3.82,0.56
29.28,477.1,3.93,0.5
29.3,477.31,3.72,1.04
29.32,477.52,3.65,0.78
29.4,478.36,3.51,0.64
29.42,478.57,3.64,1.05
29.44,478.78,3.92,0.94
29.46,478.99,3.56,1.1
29.48,479.2,3.58,0.39
29.5,479.41,3.64,0.89
29.52,479.62,3.52,0.33
29.54,479.83,3.42,1.11
29.56,480.04,3.39,0.48
29.58,480.25,3.36,-0.13
29.66,481.09,3.65,0.3
29.7,481.51,3.9,0.28
29.72,481.72,3.89,0.07
29.74,481.93,3.85,0.4
29.76,482.14,3.73,0.11
29.78,482.35,3.69,0.84
29.8,482.56,3.75,0.47
29.82,482.77,3.47,0.74
29.84,482.98,3.46,0.91
29.86,483.19,3.55,0.94
29.88,483.4,3.49,0.69
29.9,483.61,3.48,0.96
29.92,483.82,3.45,0.68
29.94,484.03,3.3,0.93
29.96,484.24,3.24,0.56
29.98,484.45,3.36,1.12
30,484.66,3.36,0.67
30.02,484.87,3.4,0.37
30.04,485.08,3.29,0.93
30.06,485.29,3.37,0.42
30.08,485.5,3.42,0.81
30.08,485.5,3.52,1.1
30.1,485.71,3.37,0.94
30.12,485.92,3.48,0.92
30.14,486.13,3.48,0.99
30.16,486.34,3.36,1.05
30.2,486.76,3.42,0.78
30.22,486.97,3.35,0.97
30.24,487.18,3.39,1.13
30.26,487.39,3.25,1.09
30.28,487.6,3.3,0.96
30.3,487.81,3.27,1.05
30.32,488.02,3.4,0.82
30.34,488.23,3.28,1.06
30.36,488.44,3.32,1.03
30.38,488.65,3.31,1.17
30.4,488.86,3.27,1.09
30.42,489.07,3.25,1.08
30.44,489.28,3.45,1.1
30.46,489.49,3.27,0.76
30.48,489.7,3.35,1
30.5,489.91,3.23,1.01
30.52,490.12,3.31,1.12
30.54,490.33,3.3,1.12
30.56,490.54,3.26,1.14
30.58,490.75,3.33,0.91
30.62,491.17,3.2,1.23
30.64,491.38,3.21,1.02
30.66,491.59,3.28,0.87
30.7,492.01,3.7,1.37
30.72,492.22,3.28,0.79
30.74,492.43,3.25,1.07
30.76,492.64,3.19,1.06
30.78,492.85,3.2,1.07
30.8,493.06,3.35,1.32
30.82,493.27,3.36,1.34
30.84,493.48,3.3,1.36
30.86,493.69,3.23,1.28
30.88,493.9,3.27,1.39
30.9,494.1,3.28,1.4
30.92,494.31,3.19,1.18
30.94,494.52,3.43,1.49
30.96,494.73,3.32,1.21
30.98,494.94,3.63,1.29
31.02,495.36,3.34,1.43
31.04,495.57,3.43,1.31
31.06,495.78,3.37,1
31.08,495.99,3.48,0.99
31.1,496.2,3.34,1.04
31.12,496.41,3.34,1.36
31.14,496.62,3.24,0.99
31.16,496.83,3.3,1.35
31.18,497.04,3.23,0.98
31.2,497.25,3.79,0.98
31.22,497.46,3.33,1.45
31.24,497.67,3.4,1.47
31.26,497.88,3.39,1.41
31.28,498.09,3.37,1.39
31.3,498.3,3.3,1.36
31.32,498.51,3.26,1.33
31.34,498.72,3.25,1.05
31.36,498.93,3.46,1.26
31.38,499.14,3.41,1.04
31.4,499.35,3.34,1.33
31.42,499.56,3.29,1.04
31.44,499.77,3.3,1.39
31.46,499.98,3.24,0.91
31.48,500.19,3.25,1.28
31.5,500.4,3.28,1.2
31.52,500.61,3.28,1.38
31.54,500.82,3.28,1.44
31.56,501.03,3.33,1.36
31.58,501.24,3.35,1.34
31.6,501.45,3.33,1.18
31.62,501.66,3.25,1.36
31.64,501.87,3.26,0.88
31.66,502.08,3.5,1.16
