/* DESCRIPTION:
Reference:	Cheng, H., P.Z. Zhang, C. Spötl, R.L. Edwards, Y.J. Cai, D.Z. Zhang, W.C. Sang, M. Tan, and Z.S. An. 2012. The climatic cyclicity in semiarid-arid central Asia over the past 500,000 years. Geophys. Res. Lett., 39, L01705, doi:10.1029/2011GL050202.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/12403. Accessed 22 Nov 2022.
Comment:	Only the composite is included here.
*/
Age (Ka BP)	Composite d18O
94.64	-7.65
94.71	-7.46
94.78	-7.43
94.85	-7.43
94.92	-7.3
94.99	-7.16
95.05	-7.12
95.12	-7.11
95.19	-7.03
95.26	-7.01
95.33	-7.45
95.4	-7.67
95.47	-7.98
95.53	-7.76
95.6	-7.78
95.67	-8.14
95.74	-8.58
95.81	-8.21
95.88	-8.29
95.95	-7.99
96.01	-7.96
96.08	-7.87
96.15	-7.77
96.22	-7.81
96.29	-7.87
96.36	-8.03
96.42	-8.04
96.49	-8.14
96.56	-8.1
96.63	-8.07
96.7	-7.93
96.77	-8.06
96.84	-8.19
96.9	-8.33
96.97	-8.42
97.04	-8.51
97.11	-8.57
97.18	-8.5
97.21	-8.6
97.24	-8.5
97.28	-8.28
97.31	-8.76
97.34	-9
97.37	-8.79
97.41	-8.73
97.44	-8.37
97.47	-8.36
97.5	-8.52
97.53	-8.72
97.57	-8.6
97.6	-8.89
97.63	-9.13
97.66	-8.97
97.7	-9.29
97.73	-8.77
97.76	-8.51
97.79	-8.6
97.83	-10.26
97.86	-10.29
97.89	-8.83
97.92	-9.13
97.96	-9.29
97.99	-9.37
98.02	-9.32
98.05	-8.66
98.08	-8.79
	
98.15	-8.36
98.18	-8.23
98.21	-8.75
98.25	-8.89
98.28	-8.4
98.31	-8.53
98.34	-8.68
98.38	-8.68
98.41	-8.7
98.44	-8.94
98.47	-9.07
98.51	-9.41
98.54	-9.58
98.57	-9.71
98.6	-9.34
98.64	-9.64
98.67	-10.16
98.7	-12.2
98.73	-12.15
98.76	-12.09
98.8	-12.19
98.83	-12.43
98.86	-12.45
98.89	-9.57
98.93	-9.5
98.96	-9.38
98.99	-9.48
99.02	-9.61
99.06	-11.77
99.1	-10.73
99.14	-9.66
99.18	-9.55
	
99.27	-9.6
99.31	-9.85
99.35	-10.21
99.39	-10.27
99.44	-10.37
99.48	-10.42
99.52	-11.09
99.56	-11.76
99.6	-11.32
99.65	-11.01
99.69	-10.93
99.73	-12.27
99.77	-11.09
99.82	-10.49
99.86	-10.99
99.9	-11.18
99.94	-11.02
100	-11.14
100	-11.3
100.1	-11.13
100.1	-10.8
100.2	-11.66
100.2	-11.13
100.2	-11.5
100.3	-11.67
100.3	-11.07
100.4	-11.03
100.4	-11
100.4	-11.37
100.5	-11.17
100.5	-10.65
100.6	-10.44
	
	
100.7	-11.32
100.7	-11.02
100.8	-11.25
100.8	-11.46
100.9	-11.3
100.9	-11.49
101	-11.77
101	-11.89
101	-11.65
101.1	-11.89
	
101.2	-12.33
101.2	-12.38
	
	
101.3	-12.13
101.4	-12
101.4	-11.92
101.4	-12.05
101.4	-11.95
101.4	-11.82
101.4	-12.21
101.5	-12.24
101.5	-11.86
101.5	-11.64
101.5	-11.35
101.5	-11.66
101.5	-11.79
101.5	-12.21
101.6	-12.6
101.6	-12.61
101.6	-12.26
101.6	-11.74
101.6	-12.03
101.6	-12.67
101.6	-11.8
101.6	-11.79
101.7	-11.87
101.7	-11.83
101.7	-11.64
101.7	-12.22
101.7	-12.42
101.7	-12.25
101.7	-12.69
101.8	-12.54
101.8	-12.94
101.8	-13.04
101.8	-13.04
101.8	-12.85
101.8	-13.04
101.8	-13.48
101.8	-13.16
101.9	-13.03
101.9	-12.97
101.9	-12.56
101.9	-11.73
101.9	-12.9
101.9	-12.8
101.9	-12.57
102	-13.02
102	-13.42
102	-12.91
102	-12.75
102	-12.34
102	-12.35
102	-12.24
102.1	-12.45
102.1	-11.97
102.1	-11.94
102.1	-11.44
102.1	-11.23
102.1	-11.37
102.1	-12.03
102.1	-11.75
102.2	-12
102.2	-12.17
102.2	-12.88
102.2	-13.27
102.2	-13.43
102.2	-12.9
102.2	-12.89
102.3	-12.31
102.3	-12.39
102.3	-12.2
102.3	-12.55
102.3	-12.62
102.3	-12.71
102.4	-12.92
102.4	-12.89
102.5	-12.67
102.5	-12.25
102.5	-12.51
102.6	-12.72
102.6	-12.83
102.7	-12.74
102.7	-12.22
102.8	-12.03
102.8	-11.9
102.9	-12.07
102.9	-12.81
103	-12.98
103	-12.93
103	-12.43
103.1	-12.86
103.1	-12.83
103.2	-13.26
103.2	-13.52
103.3	-13.09
103.3	-13.31
103.4	-13.56
103.4	-12.96
103.5	-12.71
103.5	-12.74
103.6	-12.76
103.7	-12.47
103.7	-12.53
103.8	-12.62
103.8	-12.35
103.9	-12.27
103.9	-11.87
104.7	-11.75
105.5	-12.11
106.3	-12
107.1	-12.16
107.9	-12.27
108.7	-12.31
109.5	-11.69
110.4	-10.29
111.2	-9.55
112	-9.39
120.2	-10.13
120.3	-10.45
120.4	-10.76
120.5	-11.41
120.6	-11.73
120.8	-11.57
120.9	-11.55
121	-11.64
121.1	-11.51
121.2	-11.07
121.4	-12.23
121.5	-12.66
121.6	-12.76
121.7	-12.51
121.8	-11.89
122	-11.47
122.1	-11.54
122.3	-11.65
122.5	-11.65
122.6	-11.74
122.8	-11.73
123	-11.71
123.2	-11.75
123.4	-11.88
123.6	-11.74
123.7	-11.75
123.9	-11.85
124.1	-11.95
124.3	-12.08
124.5	-12.06
124.7	-11.67
124.9	-10.85
125	-8.56
	
	
	
131.9	-8.05
134.8	-8.53
137.8	-8.94
140.8	-9.27
143.8	-9.18
146.7	-8.79
149.7	-8.93
152.7	-8.92
155.7	-9
158.6	-9.13
161.6	-8.87
166.1	-8.88
170.6	-8.77
175.1	-8.75
179.7	-8.56
184.2	-7.84
185.2	-8.46
	
	
186.2	-8.04
186.3	-8.12
186.4	-8.38
186.6	-8.12
186.7	-8.01
186.8	-7.97
186.9	-8.2
187	-8.38
187.1	-8.56
187.2	-8.4
187.3	-8.33
187.4	-8.57
187.5	-8.48
187.6	-8.5
187.7	-8.35
187.8	-8.52
187.9	-8.23
188	-7.93
188.1	-8.13
188.2	-8.01
188.3	-8.09
188.4	-8.17
188.5	-8.09
188.6	-8.27
188.7	-8.27
188.8	-8.57
188.9	-8.66
189	-8.86
189.1	-8.54
189.2	-8.91
189.3	-8.94
189.4	-9.23
189.5	-9.43
189.6	-9.59
189.8	-9.31
189.9	-9.3
190	-9.05
190.1	-9.12
190.2	-9.34
190.3	-9.58
190.4	-9.4
190.5	-9.51
190.6	-9.83
190.7	-9.66
190.8	-9.57
190.9	-9.29
191	-9.2
191.1	-9.28
191.2	-9.08
191.3	-8.67
191.4	-8.39
191.5	-8.13
191.6	-8.8
191.7	-9.23
191.8	-9.46
191.9	-9.45
192	-9.47
192.1	-10.13
192.2	-10.76
192.3	-10.78
192.4	-10.91
192.5	-10.84
192.6	-10.51
192.7	-9.95
192.8	-10.2
193	-10.52
193.1	-10.54
193.2	-10.45
193.3	-10.28
193.4	-10.03
193.5	-10.7
193.6	-10.49
193.7	-10.18
193.8	-10.35
193.9	-10.13
194	-10.01
194.1	-10.28
194.2	-10.42
194.3	-10.57
194.4	-10.47
194.5	-10.64
194.6	-10.81
194.7	-11.18
194.8	-11.06
194.9	-10.8
195	-10.63
195.1	-10.67
195.2	-10.86
195.3	-11.32
195.4	-11.23
195.5	-11.19
195.6	-11.07
195.7	-10.92
195.8	-10.59
195.9	-10.87
196.3	-10.76
196.7	-10.79
197	-11.19
