/* DESCRIPTION:
Reference:	Cheng, H., P.Z. Zhang, C. Spötl, R.L. Edwards, Y.J. Cai, D.Z. Zhang, W.C. Sang, M. Tan, and Z.S. An. 2012. The climatic cyclicity in semiarid-arid central Asia over the past 500,000 years. Geophys. Res. Lett., 39, L01705, doi:10.1029/2011GL050202.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/12403. Accessed 22 Nov 2022.
Comment:	Only the composite is included here.
*/
Age (Ka BP)	Composite d18O
322.8	-6.32
323	-6.33
323.3	-6.51
323.5	-7.03
323.7	-7.15
323.9	-7.06
324.2	-7.03
324.4	-7.01
	
	
	
324.6	-7.75
324.7	-8.47
324.7	-8.51
324.8	-7.85
324.8	-7.81
324.9	-8.46
324.9	-7.81
325	-7.28
325	-7.55
325.1	-8.88
325.1	-9.82
325.2	-9.89
325.2	-9.83
325.3	-9.77
325.3	-9.5
325.4	-9.34
325.4	-9.35
325.5	-9.28
325.5	-9.17
325.6	-8.6
325.6	-7.83
325.7	-7.6
325.7	-8.12
325.8	-8.12
325.8	-8.19
325.9	-8.51
325.9	-8.51
326	-8.69
326	-8.66
326.1	-9.01
326.1	-9.02
326.2	-9.19
326.2	-9.53
326.3	-10.23
326.3	-9.65
326.4	-9.75
326.4	-9.44
326.5	-8.91
326.5	-8.71
326.6	-8.86
326.6	-8.98
326.7	-9.46
326.7	-9.54
326.8	-9.92
326.8	-9.29
326.9	-8.53
326.9	-8.45
327	-8.51
327	-8.66
327	-8.8
327.1	-8.98
327.1	-8.83
327.6	-9.02
328	-9.46
328.4	-9.49
328.9	-10.04
329.3	-9.95
329.7	-9.79
330.2	-9.74
330.6	-9.94
331	-9.89
331.5	-9.9
331.9	-9.43
332.3	-9.84
332.8	-9.41
333	-9.32
333.2	-9.52
333.4	-9.18
333.7	-9.61
333.9	-9.91
334.1	-10.12
334.3	-10.28
334.6	-10.3
334.8	-10.39
335	-10.57
335.2	-10.86
335.4	-10.92
335.7	-11.19
335.9	-12.03
336.1	-12.14
336.3	-11.01
	
	
358.1	-8.22
358.6	-7.86
359.1	-7.41
359.6	-7.35
360.1	-6.99
360.6	-6.89
361.1	-6.97
361.6	-7.02
362.1	-6.71
362.5	-6.9
363	-6.85
363.5	-6.89
364	-6.98
364.5	-7.24
365	-7.38
365.5	-7.11
366	-6.85
366.5	-6.81
366.9	-6.56
367.4	-6.73
367.9	-6.87
368.4	-7.15
368.9	-7.36
369.4	-7.42
369.9	-7.39
370.4	-7.33
370.8	-7.57
371.3	-8.03
371.8	-7.9
372.3	-8.6
372.8	-8.87
373.3	-8.74
373.8	-9.19
374.3	-9.01
374.8	-9.21
375.2	-9.04
375.7	-8.76
376.2	-8.6
376.7	-8.41
377.2	-8.34
377.5	-7.79
377.9	-7.78
378.2	-7.97
378.6	-8.09
378.9	-8.04
379.3	-8.12
379.6	-8
379.9	-7.7
380.3	-7.71
380.6	-7.73
381	-7.42
381.3	-7.54
381.7	-7.78
382	-8.28
382.4	-8.65
382.7	-8.71
383	-8.49
383.4	-8.52
383.7	-8.5
384.1	-8.57
384.4	-8.7
384.9	-8.54
385.3	-8.36
385.8	-7.88
386.2	-7.89
386.6	-8.26
387.1	-8.63
387.5	-8.73
388	-8.89
388.4	-8.82
388.9	-8.61
389.3	-8.48
389.8	-8.39
390.2	-8.22
390.7	-8.33
391.1	-8.76
391.6	-9.17
392	-9.29
392.5	-8.76
393.2	-8.65
394	-8.78
394.8	-9.12
395.6	-8.84
396.4	-9.3
397.2	-9.56
398	-9.73
398.8	-9.92
399.6	-10.35
400.4	-10.57
401.2	-10.5
402	-10.98
402.8	-11.13
403.6	-11.39
404.4	-11.51
405.2	-11.62
406	-11.61
	
	
406.3	-11.71
407.2	-11.35
408	-11.4
	
409.7	-11.57
410.5	-11.2
411.4	-10.75
412.2	-10.81
413.1	-10.28
413.9	-10.34
414.8	-10.03
415.6	-9.66
416.5	-9.7
417.3	-10.02
418.1	-10.21
419	-9.8
419.8	-9.74
420.7	-9.72
421.5	-9.39
422.4	-9.09
423.2	-9.1
423.5	-8.93
423.7	-8.97
423.9	-9.16
424.2	-9.48
424.4	-9.59
424.7	-9.42
424.9	-9.11
425.1	-8.85
425.4	-8.93
425.6	-8.88
425.9	-8.89
426.1	-8.9
426.4	-8.79
426.6	-8.79
426.8	-8.89
427.1	-8.98
427.3	-8.67
427.6	-9.04
427.8	-8.57
428	-8.49
428.3	-8.5
428.5	-7.81
428.8	-8.85
429	-9.19
429.2	-8.83
429.5	-9.07
429.7	-9.27
430	-9.2
430.2	-9.45
430.5	-9.45
430.7	-9.63
430.9	-9.11
431.2	-8.06
431.4	-7.85
431.7	-7.76
431.9	-7.63
432.1	-7.66
432.4	-7.79
432.6	-8.05
432.9	-7.63
433.1	-7.97
433.4	-7.67
433.6	-7.76
433.8	-8.27
434.1	-7.97
434.3	-8.05
434.6	-8.35
434.8	-8.54
435	-8.73
435.3	
435.5	-8.53
435.8	-8.15
436	-8.13
436.3	-8.2
436.5	-7.8
436.7	-8.32
437	-7.89
437.2	-8.1
437.5	-8.02
437.7	-8.18
437.9	-8
438.2	-8.1
438.4	-8.29
438.7	-8.4
438.9	-8.44
439.1	-7.93
439.4	-8.12
439.6	-8
439.9	-8.05
440.1	-8.02
440.4	-8.23
440.6	-8.34
440.8	-8.8
441.1	-8.35
441.3	-8.54
441.6	-8.34
441.8	-8.28
442	-8.11
442.3	-8.13
442.5	-7.99
442.8	-8.13
443	-8.12
443.3	-8.01
443.5	-7.92
443.7	-8.02
444	-7.98
444.2	-8.13
444.5	-8.21
444.7	-8.21
444.9	-8.3
445.2	-8.19
445.4	-8.3
445.7	-8.22
445.9	-8.28
446.2	-8.36
446.4	-8.33
446.6	-8.57
446.9	-8.14
447.1	-7.99
447.4	-8.03
447.6	-7.81
447.8	-7.83
448.1	-7.77
448.3	-7.94
448.6	-7.83
448.8	-7.95
449	-7.96
449.3	-7.92
449.5	-7.92
449.8	-8.16
450	-8.15
450.3	-8.13
450.5	-8.1
450.7	-8.23
451	-8.25
451.2	-8.17
451.5	-8.87
451.7	-8.76
451.9	-8.28
452.2	-8.5
452.4	-8.31
452.7	-8.31
452.9	-8.5
453.2	-8.45
453.4	-8.61
453.6	-8.48
453.9	-8.72
454.1	-8.56
454.4	-8.82
454.6	-8.79
454.8	-8.6
455.1	-8.43
455.3	-8.62
455.6	-8.57
455.8	-8.77
456.1	-8.76
456.3	-8.89
456.5	-8.69
456.8	-8.53
457	-8.71
457.3	-8.73
457.5	-8.6
457.7	-8.79
458	-8.75
458.2	-8.82
458.5	-8.81
458.7	-8.79
459	-8.89
459.2	-9.08
459.5	-8.68
459.8	-8.69
460	-8.71
460.3	-8.75
460.6	-8.75
460.8	-8.75
461.1	-8.68
461.4	-8.89
461.6	-8.85
461.9	-8.78
462.2	-8.84
462.4	-8.84
462.7	-8.76
463	-8.81
463.2	-8.82
463.5	-8.99
463.8	-8.77
464	-8.93
464.3	-8.91
464.6	-8.81
464.8	-8.92
465.1	-9.17
465.3	-8.97
465.6	-9.3
465.9	-9.38
466.1	-9.33
466.4	-9.69
466.7	-9.86
466.9	-9.73
467.2	-9.61
467.5	-9.29
467.7	-8.82
468	-8.92
468.3	-9.11
468.5	-8.78
468.8	-9.62
469.1	-8.55
469.3	-8.51
469.6	-8.6
469.9	-9.08
470.1	-9.34
470.4	-9.82
470.7	-9.99
470.9	-10.54
471.2	-10.91
471.5	-11.07
471.7	-11.27
472	-11.08
472.2	-11.1
472.4	-10.81
472.6	-10.12
472.8	-9.42
473	-8.83
473.3	-8.34
473.5	-8.11
473.7	-8.18
473.9	-8.25
474.1	-8.01
474.3	-7.86
474.5	-7.68
474.7	-7.93
475	-8.25
475.2	-8.15
475.4	-9.04
475.6	-8.93
475.8	-9.09
476	-9.56
476.2	-9.35
476.4	-9.33
476.6	-9.8
476.9	-9.93
477.1	-10.18
477.3	-9.65
477.5	-9.94
477.7	-9.77
477.9	-9.69
478.1	-10.07
478.3	-10.04
478.7	-10.3
479.2	-10.1
479.6	-10.41
480	-10.89
480.4	-10.83
480.8	-11.57
481.2	-11.75
481.6	-11.81
482	-11.86
482.4	-11.79
482.8	-11.82
483.2	-11.68
483.6	-11.93
484	-12.17
484.4	-11.91
484.8	-11.88
485.2	-11.73
485.6	-11.75
486	-11.56
486.4	-11.63
486.9	-11.86
487.3	-11.82
487.7	-12.01
488.1	-11.8
488.5	-11.04
488.9	-10.98
489.3	-10.98
489.7	-11.49
490.1	-11.26
490.5	-11.15
490.9	-10.95
491.3	-9.98
491.7	-9.37
492.1	-9.06
492.5	-8.43
492.9	-8.31
493.3	-7.68
493.7	-7.3
494.1	-7.71
494.5	-8.43
495	-9.9
495.4	-10.54
495.8	-10.79
496.2	-10.89
496.6	-10.1
497	-10.06
497.4	-9.62
497.8	-9.63
498.2	-9.6
498.6	-9.68
499.5	-9.98
