/* DESCRIPTION:
Reference:	De Pol-Holz, R., O. Ulloa, F. Lamy, L. Dezileau, P. Sabatier, and D. Hebbeln. 2007. Late Quaternary variability of sedimentary nitrogen isotopes in the eastern South Pacific Ocean. Paleoceanography, 22, PA2207, doi:10.1029/2006PA001308 
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/10494. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [cm]	Age [ka BP]	d15N [‰vsAir]	Ntot (wt %) 
209.5	17.86	8.8	0.106
210.5	17.93	8.7	0.105
211.5	17.99	8.4	0.087
212.5	18.05	8.3	0.085
213.5	18.11	8.3	0.099
214.5	18.17	8.8	0.102
215.5	18.23	8.5	0.103
216.5	18.29	8.7	0.1
217.5	18.36	8.6	0.097
218.5	18.42	8.4	0.093
219.5	18.48	8.1	0.075
220.5	18.54	8.6	0.094
221.5	18.6	8.2	0.097
222.5	18.66	8.1	0.101
223.5	18.72	8.4	0.096
224.5	18.78	8.9	0.094
225.5	18.85	8.2	0.098
226.5	18.91	8.2	0.098
227.5	18.97	8.1	0.102
228.5	19.03	8.2	0.104
229.5	19.08	8.2	0.103
230.5	19.14	8	0.086
231.5	19.19	7.9	0.084
232.5	19.24	8.3	0.082
233.5	19.3	8.4	0.076
234.5	19.35	8.5	0.085
235.5	19.4	8.3	0.07
236.5	19.46	8.5	0.069
237.5	19.51	9.1	0.087
238.5	19.56	9.3	0.083
239.5	19.62	9	0.087
240.5	19.67	8.4	0.085
241.5	19.72	8.9	0.08
242.5	19.78	8.5	0.073
243.5	19.83	8.2	0.074
244.5	19.88	8.7	0.073
245.5	19.94	8.5	0.077
246.5	19.99	8.4	0.084
247.5	20.04	8.1	0.079
248.5	20.1	8.3	0.078
250	20.18	8.7	0.079
251	20.23	8.8	0.081
252	20.28	8.3	0.081
253	20.34	8.3	0.088
254	20.39	8.5	0.093
255	20.44	8.4	0.087
256	20.5	8.2	0.092
257	20.55	8.3	0.095
258	20.6	8	0.103
259	20.66	7.8	0.1
260	20.71	8.6	0.096
261	20.76	10.5	0.086
262	20.82	11.6	0.091
263	20.87	11.5	0.091
264	20.92	9	0.095
265	20.98	8.2	0.095
266	21.03	7.8	0.095
267	21.08	7.9	0.077
268	21.14	8	0.079
269	21.19	7.4	0.075
270	21.24	7.9	0.086
271	21.3	8.2	0.089
272	21.35	8.5	0.091
273	21.4	8.6	0.09
274	21.46	8.5	0.094
275	21.51	8.3	0.09
276	21.56	8.4	0.091
277	21.62	8.1	0.084
278	21.67	8.9	0.084
279	21.72	8.4	0.091
280	21.78	8.6	0.095
281	21.83	8.6	0.089
282	21.88	8.1	0.09
283	21.94	8.6	0.086
284	21.99	8.9	0.067
285	22.04	7.9	0.06
286	22.1	9.3	0.092
287	22.15	8.7	0.09
288	22.2	8.8	0.095
289	22.26	8.4	0.096
290	22.31	8.9	0.097
291	22.36	8.9	0.095
292	22.42	9	0.085
293	22.47	8.7	0.086
294	22.52	8.6	0.074
295	22.58	8.7	0.064
297	22.68	8.5	0.067
298	22.74	8.6	0.07
299	22.79	8.4	0.079
300	22.84	8.2	0.082
301	22.9	8.9	0.082
302	22.95	8.7	0.08
303	23	8.8	0.09
304	23.06	8.9	0.1
305	23.11	8.7	0.098
306	23.16	8.5	0.101
307	23.22	8.6	0.105
308	23.27	8.8	0.111
309	23.32	8.4	0.102
310	23.38	8.5	0.11
311	23.43	8.3	0.112
312	23.48	7.9	0.093
313	23.54	8.6	0.099
314	23.59	8.2	0.114
315	23.64	8.2	0.116
316	23.7	7.5	0.111
317	23.75	8.4	0.122
318	23.8	8.3	0.12
319	23.86	7.8	0.114
320	23.91	7.8	0.113
321	23.96	7.7	0.105
322	24.02	8	0.103
323	24.07	7.9	0.11
324	24.12	8.6	0.112
