# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),%lithics,%forams,%volcanics
940,44.714,2.8634,96.035,0.22026
942.5,44.961,2.5445,96.183,0
945,45.208,2.5714,96.286,0
947.5,45.455,6.9444,92.824,2.3148
950,45.702,2.7197,96.444,0.83682
952.5,45.948,3.7773,95.427,0.99404
955,46.195,6.25,93.125,0.41667
957.5,46.442,0.25189,96.977,0
960,46.689,0.25974,96.623,0
962.5,46.936,0.1992,97.41,0
965,46.964,0,98.364,0
967.5,46.992,0.19881,96.819,0
970,47.019,0.22173,91.353,0
972.5,47.047,0.60606,94.545,0.30303
975,47.075,0.57803,93.064,0
977.5,47.103,0.49261,90.394,0
980,47.13,0.24691,93.58,0
982.5,47.158,0.40486,96.761,0
989.5,47.236,0,96.206,0
990.5,47.247,0,94.017,0
993,47.275,0,95.137,0
995.5,47.303,0.22936,96.101,0
998,47.331,0.44053,94.493,0.22026
1000.5,47.358,1.2887,94.33,0.51546
1003,47.386,2.5316,94.146,0.15823
1005.5,47.414,13.725,85.131,2.9412
1008,47.442,24.214,75.157,4.4025
1010.5,47.469,22.704,77.296,3.8128
1013,47.497,21.495,78.505,4.2991
1015.5,47.525,23.785,75.448,5.3708
1018,47.937,14.198,85.802,3.3951
1020.5,48.349,9.3995,89.817,0.52219
1023,48.761,5.4409,93.809,0.75047
1025.5,49.173,8.1232,91.877,0.84034
1028,49.585,3.876,96.124,0.46512
1030.5,49.997,7.1575,92.638,0.409
1033,50.114,3.5294,95.966,0.16807
1035.5,50.23,2.2222,97.778,0.20202
1038,50.347,2.4621,96.402,0
1040.5,50.463,2.9173,96.434,0.16207
1043,50.58,2.6923,96.154,0
1045.5,50.696,2.6639,95.082,0.40984
1048,50.813,1.2891,97.606,0.18416
1053,51.046,1.3378,94.649,0
1055.5,51.162,2.2857,97.333,0
1058,51.279,2.4242,96.818,0
1060.5,51.395,2.2989,96.36,0.76628
1063,51.512,0.38412,93.214,0.12804
1065.5,51.629,0.79618,96.815,0
1068,51.745,0.5137,95.034,0.17123
1070.5,51.862,0.2004,96.192,0.2004
1073,51.978,0,93.869,0
1075.5,52.095,0,95.494,0
1078,52.211,0.45977,97.701,0.45977
1080.5,52.328,0,98.158,0
1083,52.444,0.40241,97.586,0
1085.5,52.561,0,98.604,0
1088,52.677,1.8692,95.794,1.6355
1090.5,52.794,1.7429,96.732,1.0893
1093,52.911,2.5114,96.119,2.2831
1095.5,53.027,0,98.172,0
1098,53.144,0.28329,98.017,0
1100.5,53.26,1.4344,97.131,1.2295
1103,53.377,0.7326,97.802,0.7326
1105.5,53.493,1.5152,97.306,1.1785
1108,53.61,0,99.172,0
1110.5,53.726,2.407,95.842,2.407
1113,53.843,0.34188,98.462,0.34188
1115.5,53.959,1.0582,96.561,1.0582
1118,54.076,4.4444,94.259,2.4074
1120.5,54.192,8.5502,90.892,6.8773
1123,54.309,6.4655,91.81,2.8017
1125.5,54.426,2.7719,94.243,0.42644
1128,54.542,3,94.5,3
1130.5,54.659,2.3451,95.812,2.1776
1133,54.775,5.8824,93.176,4.9412
1135.5,54.892,6.4736,91.482,5.4514
1141,55.148,12.5,86.83,9.8214
1143.5,55.265,21.391,78.609,15.478
1146,55.381,30.236,69.469,21.534
1148.5,55.498,39.386,59.974,28.261
1151,55.614,36.812,63.188,28.555
1153.5,55.731,39.646,60.101,34.343
1156,55.847,36.66,61.303,30.55
1158.5,55.964,31.417,63.655,26.899
1161,56.08,7.4297,89.96,2.2088
1163.5,56.197,7.7748,91.421,0.2681
1166,56.291,7.4004,91.841,0.56926
1168.5,56.384,4.0609,95.939,0.25381
1171,56.478,4.2991,95.514,0
1173.5,56.572,4.1431,95.669,0.56497
1176,56.665,3.1008,96.641,0.5168
1178.5,56.759,2.3952,97.605,0
1181,56.853,1.6151,98.25,0.13459
1183.5,56.947,1.6279,98.14,0
1186,57.04,3.1579,96.316,0
1188.5,57.134,6.6165,87.519,1.0526
1191,57.228,1.2821,92.735,0
1193.5,57.321,1.4831,97.246,0
1196,57.415,3.055,95.316,1.222
1198.5,57.509,4.7945,94.349,2.0548
1201,57.602,5.3176,93.353,1.034
1203.5,57.696,11.263,87.976,1.2177
1206,57.79,10.526,88.346,1.3158
1208.5,57.883,4.7203,94.406,0.52448
1211,57.977,4.1841,94.561,1.4644
1213.5,58.071,0.5618,96.067,0
1216,58.164,3.1546,94.953,0
1218.5,58.258,1.4354,93.421,0
1221,58.352,0,92.53,0
