# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),δ13C Cibs (benthic),δ18O Cibs (benthic)
1166,56.291,0.48,4.12
1168.5,56.384,0.52,4.13
1171,56.478,0.16,4.06
1173.5,56.572,0.91,4.2
1176,56.665,0.64,4.05
1181,56.853,0.63,4.05
1183.5,56.947,0.6,3.9
1186,57.04,-0.04,3.97
1188.5,57.134,0.3,3.94
1191,57.228,0.14,3.88
1193.5,57.321,0.34,3.76
1196,57.415,0.22,3.94
1198.5,57.509,0.52,3.92
1201,57.602,0.65,3.98
1203.5,57.696,0.14,3.89
1206,57.79,0.71,3.85
1208.5,57.883,0.37,3.87
1212.2,58.024,0.79,3.84
1216,58.164,0.65,3.89
1221,58.352,0.4,3.73
1231,58.727,0.76,3.83
1233.5,58.82,0.57,3.77
1236,58.914,0.38,3.76
1238.5,59.347,0.42,3.84
1241,59.779,0.14,3.89
1243.5,60.212,-0.11,4.05
1246,60.645,0.02,3.88
1248.5,61.078,-0.23,4
1251,61.51,0.06,4.27
1253.5,61.943,0.27,4.34
1256,62.296,0.18,4.16
1261,63.001,0.09,4.12
1263.5,63.354,0,4.25
1266,63.707,-0.15,4.21
1271,64.412,0.23,4.25
1273.5,64.765,0.48,4.25
1276,65.118,0.15,4.34
1278.5,65.471,0.35,4.34
1281,65.823,0.68,4.34
1283.5,66.176,0.19,4.27
1286,66.529,0.25,4.44
1288.5,66.882,0.75,4.17
1295,67.799,0.17,4.3
1300,68.504,0.53,4.06
1302.5,68.857,0.52,4.17
1307.5,69.139,0.65,3.9
1315,69.563,0.55,3.94
1317.5,69.704,0.44,3.98
1330,70.41,0.77,3.87
1332.5,70.551,0.32,3.73
1357.5,71.963,-0.06,3.73
1370,72.669,0.28,3.87
1372.5,72.81,0.6,4.02
1375,72.951,0.84,4.07
1377.5,73.03,0.52,3.92
1380,73.108,0.87,3.93
1383.8,73.226,0.81,3.78
1387.5,73.344,0.65,3.91
1390,73.423,0.48,3.83
1392.5,73.501,0.66,3.88
1400,73.737,0.64,3.77
1405,73.894,1.16,3.68
1415,74.208,1.15,3.54
1427.5,74.601,1.01,3.46
1430,74.68,0.76,3.45
1436.3,75.185,1.01,3.51
1452,76.457,0.53,3.56
1462,77.264,0.83,3.63
1464.5,77.466,0.43,3.54
1467,77.668,0.98,3.7
1469.5,77.87,0.74,3.87
1472,78.072,1.33,3.86
1474.5,78.274,1.3,3.82
1477,78.476,0.95,3.74
1479.5,78.678,1.24,3.66
1482,78.88,1.22,3.78
1484.5,79.082,1,3.48
1487,79.283,1.08,3.53
1489.5,79.485,0.94,3.45
1492,79.687,1.04,3.62
1494.5,79.889,0.48,3.6
1499.5,80.293,1.01,3.42
1502,80.402,1.04,3.33
1504.5,80.511,1.25,3.49
1507,80.62,1.07,3.32
1509.5,80.729,0.32,3.44
1512,80.838,0.69,3.48
1519.5,81.165,1.35,3.51
1524.5,81.383,0.79,3.31
1527,81.492,0.8,3.36
1532,81.71,0.89,3.33
1537,81.928,0.9,3.32
1539.5,82.037,0.91,3.36
1542,82.146,0.35,3.44
1549.5,82.474,0.46,3.25
1552,82.583,0.57,3.44
1555.8,82.746,0.63,3.27
1562,83.019,0.27,3.3
1567,83.237,0.52,3.37
1569.5,83.346,0.85,3.38
