/* DESCRIPTION:
Reference:	Hendy, I.L., J.P. Kennett, E.B. Roark, and B.L. Ingram.  2002. Apparent synchroneity of submillennial scale climate events between Greenland and Santa Barbara Basin, California from 30–10 ka. Quaternary Science Reviews, Vol. 21, Issue 10, pp. 1167-1184, May 2002. doi:10.1016/S0277-3791(01)00138-X.
	Hendy, I.L., and J.P. Kennett. 2003. Tropical forcing of North Pacific intermediate water distribution during Late Quaternary rapid climate change? Quaternary Science Reviews, Vol. 22, Issues 5-7, pp. 673-689. doi:10.1016/S0277-3791(02)00186-5.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/5830. Accessed 11 Nov 2022.
	https://www.ncei.noaa.gov/access/paleo-search/study/5829. Accessed 11 Nov 2022.
Comment:	Several variables from the original datasets are not included here.
*/
Age [ka] vs. 2000AD	N. pachyderma d18O	N. pachyderma d13C	G. bulloides d18O	G. bulloides d13C	benthic d18O
32.746	2.441	0.026	2.543	-0.732	3.55
32.755	2.229	-0.043	2.406	-0.602	3.447
32.794	2.272	0.028	2.67	-0.536	
32.825	2.457	-0.055	2.581	-0.682	3.581
32.851	2.345	0.116	2.315	-0.626	3.42
32.882	2.378	-0.128	2.746	-0.61	
32.912	2.35	-0.089	2.443	-0.564	
32.943	2.385	0.14	2.512	-0.688	3.381
32.978	2.574	0.068	2.592	-0.471	3.412
33	2.296	0.014	2.257	-0.53	3.483
33.053	2.334	0.066	2.297	-0.642	
33.099	2.24	0.165	2.281	-0.844	3.49
33.152	1.973	0.236	1.834	-0.564	3.523
33.266	2.124	0.166	1.775	-0.712	3.482
33.289	1.872	0.36	1.438	-0.382	3.28
33.342	1.965	0.173	1.867	-0.533	3.387
33.395					3.096
33.433					3.407
33.441	1.306	0.178	1.371	-0.965	
33.516	2.199	-0.22	2.249	-0.436	3.347
33.547	2.083	0.131	2.206	-0.596	3.256
33.6	1.993	-0.415	2.076	-0.668	3.546
33.635	2.413	0.087	2.679	-0.508	3.617
33.674	2.356	-0.076	2.452	-0.45	3.649
33.684	2.507	-0.039	2.726	-0.662	3.254
33.709	2.532	0.049	2.486	-0.6	
33.748	2.454	0.206	2.661	-0.438	3.594
33.778	2.501	-0.143	2.37	-0.624	3.654
33.818	2.418	-0.014	2.173	-0.762	3.531
33.842					3.45
33.852	2.215	0.191	2.521	-0.354	
33.877	2.35	0.122	2.276	-0.834	3.523
33.912	2.458	0.053	2.218	-0.616	3.586
33.951	2.343	0.039	1.892	-0.613	3.546
33.986	2.424	0.037	2.429	-0.594	3.606
34.04	2.44	-0.016	1.863	-0.742	
34.075	2.329	-0.013	2.111	-0.56	3.538
34.109	2.4	0.052	1.994	-0.603	3.543
34.139	2.08	0.143	2.166	-0.633	3.508
34.179	2.229	0.287	2.177	-0.485	3.423
34.213	2.09	0.036	2.327	-0.438	3.49
34.248	2.123	0.116	2.494	-0.574	
34.282	2.172	0.072	2.233	-0.881	
34.317	2.196	0.026	2.317	-0.574	3.484
34.337	2.211	0.0915	2.3885	-0.6345	3.556
34.371	2.04	0.005	2.148	-0.712	3.608
34.406	1.935	0.276	2.412	-0.644	3.635
34.441	2.142	-0.142	2.244	-0.685	3.584
34.475	2.146	0.05	2.514	-0.609	3.583
34.541	1.456	0.169	1.432	-0.673	3.161
34.598	1.603	0.028	2.077	-0.69	3.459
34.655	1.896	0.207	1.33	-0.658	3.516
34.713	1.64	0.197	1.416	-0.754	3.492
34.786	1.704	0.173	1.281	-0.606	3.397
34.835	1.41	0.471	1.307	-0.864	3.542
34.885	1.528	0.359	1.346	-0.68	3.39
34.934			1.201	-1.054	3.411
34.999	1.696	0.352	1.48	-1.061	3.553
35.056	1.671	-0.064	1.197	-0.729	3.475
35.114	1.645	0.27	1.144	-0.544	3.365
35.155	1.653	0.036	1.399	-0.553	3.413
35.245	1.681	0.048	1.428	-0.737	3.536
35.294	1.717	-0.062	1.396	-1.205	3.355
35.351	1.418	0.008	0.574	-0.949	3.152
35.4	1.759	0.01	1.541	-0.944	3.355
35.432			1.996	-0.601	
35.447	2.077	0.059	2.093	-0.431	3.31
35.467	2.261	0.112			3.36
35.479	2.207	0.069	2.325	-0.632	3.336
35.499	2.055	-0.189	2.302	-0.714	
35.522	2.144	0.001	2.405	-0.783	3.505
35.554	2.503	0.068	2.716	-0.49	3.528
35.589	2.281	-0.003	2.412	-0.848	3.449
35.617	2.514	0.089	2.377	-0.444	3.576
35.64	2.442	0.077	2.59	-0.382	3.578
35.676	2.371	0.155	2.473	-0.596	3.576
35.707	2.25	0.137	2.031	-0.706	3.538
35.747	2.273	0.069	2.229	-0.722	
35.774	2.236	0.196	2.202	-0.628	3.569
35.806	2.332	0.067	2.096	-0.71	3.544
35.833	2.288	0.085	2.552	-0.789	3.516
35.861	2.336	0.009	2.006	-1.069	
35.865					3.496
35.897	2.212	0.109	2.343	-0.76	3.557
35.928	2.194	0.168	2.379	-0.715	3.499
35.956	2.306	0.161	2.34	-0.493	3.528
35.983	2.285	0.132	2.268	-0.769	
36.003	2.336	0.273	2.392	-0.808	3.439
36.031	2.392	0.037	2.073	-0.783	3.524
36.054	2.268	-0.18			
36.082	2.295	-0.039	2.517	-0.568	3.187
36.105	2.397	-0.007	2.572	-0.594	3.552
36.161	2.242	-0.033	2.577	-0.642	3.537
36.184	2.432	-0.119	2.344	-0.603	3.527
36.278	1.586	0.098			3.101
36.356	1.329	0.262	1.199	-0.551	3.205
36.512	1.358	-0.14	1.387	-1.971	3.333
36.648	1.508	0.303	1.354	-0.569	3.22
36.842	1.633	0.217	1.423	-0.551	
36.94	1.391	0.16	1.296	-1.007	
37.076	1.443	0.26	0.82	-0.957	3.362
37.212	1.837	-0.212	1.135	-0.802	3.344
37.29	1.693	-0.034	1.324	-0.63	3.378
37.349	1.743	-0.061	0.698	-0.858	3.311
37.465	1.857	-0.061	1.441	-0.747	3.305
37.485	1.527	0.119	1.415	-0.559	3.162
37.504	1.713	0.124	1.11	-0.71	3.296
37.524	1.845	-1.484	1.643	-2.2295	3.568
37.563	1.99	-0.87	1.391	-1.958	3.422
37.621			1.609	-0.87	
37.66			1.267	-0.594	3.279
37.699			1.863	-0.916	
37.758			1.777	-1.34	3.377
37.913					3.484
38.342	1.654	0.042	1.442	-0.563	3.21
38.415	2.11	0.077	1.541	-0.631	3.365
38.445	2.088	0.035	1.539	-0.627	3.183
38.485	2.09	0.103	1.806	-0.718	3.452
38.51	2.175	0.02	1.455	-0.804	3.285
38.525	2.097	0.182	1.557	-0.634	3.355
38.565	2.142	0.088	1.901	-0.403	3.457
38.6	2.065	0.224	1.923	-0.567	3.299
38.64	2.228	0.108	2.065	-0.538	3.387
38.665	2.203	0.051	1.888	-0.608	
38.7	2.3	0.073	2.188	-0.591	3.529
38.75	2.251	0.048	2.21	-0.528	3.623
38.775	2.197	0.082	1.988	-0.67	
38.8	2.168	0.027	1.643	-0.597	
38.815	2.213	0.036	1.798	-0.805	3.705
38.85	2.266	0.104	2.217	-0.701	3.619
38.885	2.416	-0.005	1.753	-1.084	3.534
38.915	2.097	0.105	2.109	-0.525	3.54
38.95	2.351	0.035	2.2505	-0.6375	
38.975	2.202	0.023	2.39	-0.686	
39.005	2.377	0.082	2.593	-0.585	3.528
39.075	2.293	0.098	2.428	-0.41	
39.11	2.293	0.162	2.381	-0.666	
39.145	2.212	0.044	2.172	-0.817	
39.18	2.327	0.168	2.015	-0.73	
39.205	2.172	0.058	1.743	-0.668	3.438
39.24	2.327	0.14	1.685	-0.755	3.435
39.265	2.454	0.047	2.054	-0.354	
39.27	2.35	0.111			
39.29					3.571
39.325					3.535
39.355	2.315	-0.071			3.598
39.37	2.574	0.016	2.121	-0.288	3.627
39.375	2.488	0.128	2.016	-0.688	3.591
39.39	2.494	-0.043			
39.425	2.399	0.143			3.487
39.435	2.263	-0.19			
39.47	2.485	-0.099			3.519
39.495	2.23	0.038			3.354
39.535	2.413	-0.394	1.759	-1.142	3.1
39.585	2.445	0.046			3.594
39.605	2.551	-0.038			3.703
39.64	2.414	0.141			3.683
39.7	2.319	0.151	2.518	-0.667	3.584
39.75	2.277	0.115	2.236	-0.634	3.526
39.785	2.268	0.087			3.482
39.815	2.376	0.069	2.037	-0.439	3.511
39.85	2.411	0.062	2.203	-0.485	3.673
39.89	2.409	0.022	2.167	-0.48	3.631
39.925	2.171	0.258	2.126	-0.78	
39.96	2.096	0.432	2.386	-0.452	3.552
39.995	2.383	0.107	1.99	-0.249	3.606
40.03	2.457	0.209	2.465	-0.422	3.567
40.1	1.872	0.358	1.289	-0.548	3.303
40.122	2.101	0.157	1.454	-0.546	3.466
40.144	2.034	0.138	1.783	-0.451	3.377
40.175	1.67	0.463	1.575	-0.253	3.305
40.193	2.071	0.246			3.473
40.215	2.224	0.08	1.814	0.218	3.467
40.237	2.065	0.109			
40.259	2.17	0.067	1.873	-0.622	3.338
40.284	2.311	0.045			
40.305	2.074	0.254			
40.327	2.227	0.075			
40.349	2.258	0.117	2.245	-0.214	
40.364	2.234	0.118	1.961	-0.469	
40.386	2.374	0.047			
40.408	2.055	0.147			
40.43	2.247	0.183			
40.458	2.094	0.079	1.514	-0.392	3.156
40.48	2.219	0.065	2.29	-0.36	
40.501	2.183	0.126			
40.523	2.265	0.068			
40.545	2.222	0.076			3.343
40.573	2.103	0.104	1.959	-0.896	3.427
40.595	2.349	0.207			3.456
40.616	2.37	0.192			
40.638	2.24	0.2			
40.669	2.231	0.05			
40.691	2.233	0.275	2.035	-0.768	3.56
40.713	2.274	0.187			3.553
40.735	2.231	0.295	2.26	-0.339	3.634
40.756	2.186	0.125			3.418
40.778	2.355	0.107			3.417
40.8	1.775	0.476			3.414
40.848	1.953	0.502			3.382
40.897	1.797	0.554	1.508	-0.578	3.505
40.938	1.376	0.657	1.476	-0.599	3.286
40.986	1.645	0.461	1.596	-0.622	3.483
41.034	1.693	0.468	1.388	-0.746	3.435
41.083	1.613	0.616	1.486	-0.676	3.52
41.131	1.6	0.661	1.661	-0.342	3.572
41.179	1.502	0.514	1.617	-0.3555	3.3585
41.228	1.643	0.721	1.76	-0.658	3.547
41.469	2.039	0.322	1.455	-0.274	3.466
41.538	1.872	0.57	1.74	-0.529	3.551
41.614	1.76	0.471	1.785	-0.568	3.651
41.662	1.987	0.443	1.929	-0.346	3.596
41.71	1.854	0.456	1.584	-0.529	3.58
41.745	2.045	0.25	1.863	-0.369	3.581
41.786	2.053	0.313	1.597	-0.449	
41.821					3.469
41.855	1.972	0.335	1.942	-0.244	
41.869					3.587
41.91					3.471
41.945	2.071	0.239	1.276	-0.377	
41.993	1.927	0.003	1.396	-0.429	3.343
42.048	2.013	0.242	1.805	-0.724	3.282
42.103	1.727	0.043	1.474	-0.671	3.42
42.152	2.092	0.139	1.278	-0.669	3.434
42.2	1.646	0.3	1.598	-0.667	3.346
42.248	1.444	0.37	1.303	-0.759	3.463
42.297	1.899	0.271	0.93	-0.906	3.286
42.338	1.851	0.278	1.357	-1.127	3.364
42.414	2.156	-1.098	1.877	-1.971	
42.421					3.535
42.455	2.117	-0.194	1.584	-0.832	
42.462					3.412
42.51	2.056	0.112	1.371	-0.681	
42.517					3.35
42.552	2.1	0.123	1.301	-0.197	
42.559					3.459
42.566	2.367	0.059			
42.6	2.179	0.281	1.574	-0.567	
42.603					3.568
42.609	2.177	0.201	1.843	-0.429	
42.615			1.764	-0.716	
42.618					3.542
42.622	2.594	-1.451	2.281	-1.856	
42.625	2.366	-2.2495	2.334	-3.36	
42.628					3.574
42.631	2.365	-1.338	2.192	-2.499	
42.634					3.608
42.643	2.295	-0.103	2.072	-0.397	
42.646	2.243	0.144			3.391
42.658	2.16	0.035	1.757	-0.55	3.311
42.692	2.148	0.221	2.165	-0.49	3.533
42.714	2.227	0.197	1.401	0.004	
42.729	2.095	0.239	2.385	-0.502	3.358
42.797	2.036	-0.047	2.033	-0.677	
42.815	2.085	-0.056	2.345	-0.442	3.45
42.818	2.146	0.003	2.324	-0.373	3.478
42.862	2.125	0.026	2.294	-0.366	3.399
42.865	2.237	0.183	2.177	-0.464	3.41
42.871	2.296	0.19	2.265	-0.452	3.411
42.895	2.168	-0.11	2.085	-0.537	
42.898					3.41
42.935	2.076	0.184	2.328	-0.422	
42.938					3.571
42.954	2.28	0.139	2.256	-0.51	
42.982	2.106	0.05	2.261	-0.612	
43	2.124	0.159	2.138	-0.489	
43.003					3.507
43.006	2.153	0.18	1.498	-0.403	
43.031					3.45
43.052					3.347
43.071	2.049	0.163	1.87	-0.634	
43.074	2.036	0.259			
43.114	2.124	0.275			
43.135	2.161	0.137			
43.138					3.412
43.16	2.165	0.24			3.46
43.182	2.421	0.075			
43.2	2.075	0.267			
43.207					3.399
43.254	1.801	-0.046	1.374	-0.424	3.151
43.295	2.003	0.125	1.044	-0.854	3.383
43.329	1.605	0.105	0.972	-0.801	
43.335					3.249
43.39	1.554	-0.083	1.268	-1.051	3.246
43.417	1.661	0.203	1.454	-0.685	3.162
43.552	2.215	0.205	2.059	-0.483	3.366
43.633	1.811	-0.02	1.841	-0.554	
43.64					3.354
43.674	1.516	-0.183	1.721	-0.543	
43.681					3.15
43.721	1.753	0.149	1.629	-0.519	
43.728					3.292
43.775	1.817	0.095	1.665	-0.499	3.345
43.823	1.737	0.152	1.554	-0.073	3.329
43.897	1.987	0.188	1.972	-0.411	
43.904					3.202
43.945			1.814	-0.367	
43.951					3.334
43.992	1.992	0.098	2.013	-0.549	
43.999					3.365
44.094					3.153
44.141	1.894	0.154	1.528	-0.788	
44.148					3.403
44.182	1.918	0.046	1.107	-0.573	
44.188					3.366
44.236	1.501	0.477	0.994	-0.558	
44.242					3.401
44.29	1.524	0.512	0.852	-0.075	3.146
44.344	1.657	0.299	1.289	-0.787	3.421
44.391	1.762	0.023			
44.398					3.326
44.439	1.815	-0.085			
44.446					3.272
44.486	1.9	0.131	1.473	-0.526	
44.493					3.331
44.554	1.888	0.006	1.654	-0.503	3.398
44.601	2.034	0.255	1.862	-0.428	3.375
44.649	2.013	0.16	1.902	-0.544	3.317
44.696	1.969	0.115	1.65	-0.748	
44.703					3.453
44.737	1.86	0.174	1.462	-0.786	
44.743					3.228
44.811	1.595	0.334	1.181	-0.672	
44.818					3.389
44.858	1.854	0.337	1.002	-0.938	3.495
44.899			0.826	-0.507	
44.946	1.934	0.056	1.511	-0.834	3.433
45.007	1.724	0.124	1.137	-0.577	
45.014					3.309
45.048	1.238	-0.057	0.736	-0.702	
45.055					3.192
45.095			1.281	-0.937	
45.102					3.276
45.143	1.645	0.215	1.691	-0.605	
45.15					3.22
45.197	1.702	0.047	1.701	-0.53	3.392
45.244	1.729	0.231	1.767	-0.37	3.319
45.292	1.85	0.381	1.81	-0.569	3.194
45.332	2.085	0.256	1.324	-0.474	
45.339					3.309
45.4	1.961	-0.14	1.162	-0.789	
45.404					3.266
45.42	2.264	0.169			
45.424					3.453
45.456	2.211	0.163			
45.488	2.133	0.146			
45.492					3.355
45.527	2.176	0.097	1.92	-0.531	3.194
45.547	2.175	0.032	1.991	-0.931	
45.551					3.57
45.591	2.323	0.136	2.108	-0.435	
45.619	2.353	0.124	2.511	-0.84	
45.647	2.398	0.099	2.368	-0.637	3.593
45.687	2.157	-0.065			
45.691					3.585
45.719	2.239	0.086	1.105	-0.527	3.53
45.743	2.394	0.146			3.538
45.751	2.249	0.051	1.788	-0.45	
45.755					3.502
45.763	2.164	0.041	1.556	-0.924	
45.767					3.47
45.771	2.33	0.059	1.765	-0.788	
45.775					3.519
45.802	2.621	0.121	2.247	-0.75	
45.83	2.373	0.17	1.661	-0.995	
45.862	2.163	0.186	1.628	-0.976	
45.878	2.184	0.075	1.764	-0.934	
45.882					3.432
45.902	2.162	0.111	1.485	-0.715	
45.906					3.404
45.922	2.383	0.138	2.508	-0.687	
45.946	2.463	0.138	2.649	-0.615	
45.95					3.53
45.998	2.435	0.033	2.534	-0.683	
46.033	2.441	0.079	2.176	-0.509	
46.057	2.381	0.025	1.866	-0.707	
46.061					3.529
46.081	2.418	0.042	2.284	-0.524	
46.093					3.502
46.129					3.428
46.141	2.25	0.116	2.189	-0.617	
46.161	2.121	0.188			
46.193	2.183	0.164			
46.217	2.293	0.153	1.845	-0.561	3.512
46.276	2.247	0.051	2.17	-0.376	
46.304	2.204	0.124	2.225	-0.588	
46.308					3.458
46.344	2.1	0.136	1.977	-0.761	
46.356					3.51
46.372	2.097	0.066	2.125	-0.717	
46.376					3.484
46.4	1.634	-0.035			3.221
46.503	1.573	0.303	1.385	-0.588	
46.518					3.287
46.607	1.852	0.143	1.76	-0.502	
46.621					3.238
46.754	1.608	0.036	1.768	-0.648	3.229
46.858	2.088	0.163	2.066	-0.433	
46.872					3.307
46.961	1.794	0.21	1.895	-0.534	
46.976					3.258
47.079	1.64	0.239	1.953	-0.493	3.358
47.182	1.847	0.028	1.768	-0.797	
47.197					3.288
47.285	2.018	0.044	1.677	-0.779	
47.3					3.372
47.359	1.577	0.404	1.412	-0.76	3.277
47.463	1.973	0.033	1.289	-0.844	
47.477					3.188
47.566	1.818	-0.043	1.626	-0.545	
47.581					3.184
47.713	1.983	-0.206	1.555	-0.424	3.165
47.817	1.844	-0.153	1.78	-0.504	
47.832					3.211
47.891	1.803	0.134	1.98	-0.549	
47.905					3.153
48.009	1.739	0.307	1.9	-0.38	3.154
48.068	1.932	0.213	1.521	-0.413	3.159
48.171	1.784	0.256	1.734	-0.449	
48.186					3.265
48.274	1.747	0.175	1.611	-0.571	
48.289					3.294
48.378	1.575	0.406	1.998	-0.42	3.361
48.481	1.607	0.382	1.668	-0.775	
48.496					3.129
48.702	1.955	0.008	1.201	-0.669	3.246
48.806	1.469	0.443	0.919	-1.281	3.393
48.894	1.532	0.399	0.939	-0.973	
48.909					3.318
48.997	1.839	0.133	1.362	-0.757	
49.012					3.207
49.101	1.703	0.143	1.367	-0.743	3.179
49.204	1.646	0.286	0.866	-0.858	3.291
49.307	1.763	0.197	1.573	-0.635	
49.322					3.415
49.411			1.345	-0.469	
49.425					3.316
49.47	1.676	0.177	1.016	-0.788	3.114
49.558	1.656	0.365	1.283	-0.663	3.32
49.691	1.759	0.182	1.279	-0.582	
49.706					3.308
49.765	1.416	0.71	1.192	-0.459	
49.78					3.361
49.853	1.438	0.42	1.213	-0.19	3.176
49.942	1.281	0.464	1.367	-0.604	3.286
50.06	1.462	-0.017	1.238	-0.587	
50.075					3.294
50.163	1.476	0.518	1.173	-0.445	
50.178					3.275
50.326	1.139	0.412	0.863	-0.723	3.11
50.414	1.458	0.233	0.993	-0.554	
50.429					3.267
50.503	1.36	0.141	1.457	-0.812	3.213
50.591	1.569	-0.052	1.504	-0.936	3.17
50.695	1.329	0.452	0.81	-0.705	
50.709					3.229
50.813	1.282	0.599	1.134	-0.748	
50.916	1.388	0.531	0.785	-0.939	
50.931					3.295
51.019	1.446	0.66	1.673	-0.586	3.361
51.123	1.607	-0.003	0.564	-1.182	
51.137					3.195
51.226	1.823	-0.024	0.848	-1.026	3.319
51.315	2.17	-0.02	2.102	-0.63	3.32
51.388	1.657	-0.02	0.975	-0.586	
51.403					3.238
51.492	2.129	-0.117	1.717	-0.466	3.09
51.595	1.511	0.431	1.361	-0.786	
51.61					3.164
51.713	1.626	0.33	1.754	-0.594	3.219
51.772	1.796	0.053	1.314	-0.679	3.15
52.052	1.85	0.143	1.275	-0.993	3.184
52.082	1.735	0.236	1.417	-0.726	
52.097					3.198
52.185	1.72	0.108	1.257	-0.936	3.242
52.234	2.386	0.105	2.475	-0.246	3.313
52.259	2.401	0.148	2.418	-0.544	3.363
52.378	2.35	0.197	2.443	-0.334	
52.386					3.403
52.437	2.143	0.099	2.55	-0.367	3.401
52.496	2.112	0.14	2.437	-0.41	3.401
52.504	2.062	0.208	2.331	-0.515	3.441
52.64	2.076	-0.07	2.495	-0.397	
52.648	1.925	0.109	2.304	-0.391	3.383
52.657					3.424
52.691	2.019	0.069	2.176	-0.532	3.419
52.75	2.059	0.193	2.237	-0.612	3.431
52.91	2.387	-0.025	2.289	-0.605	3.345
52.919	2.094	0.083	2.32	-0.273	3.44
52.978	2.019	0.158	2.35	-0.618	3.352
52.995	1.723	0.12	2.012	-0.562	3.518
53.147	2.323	0.126	2.447	-0.348	3.386
53.198	2.201	-0.009	1.995	-0.446	3.35
53.257	2.138	-0.035	2.246	-0.435	
53.266					3.342
53.316	2.279	0.002	2.398	-0.36	
53.325					3.157
53.393	2.207	-0.475	2.229	-0.688	
53.452	2.253	-0.005	2.386	-0.581	
53.46					3.54
53.511	2.328	-0.067	2.469	-0.5	
53.519					3.486
53.57	2.341	-0.018	2.168	-0.421	
53.579					3.333
53.655	1.48	0.062	1.039	-0.818	
53.663					3.351
53.714	2.035	-0.102	1.976	-0.455	
53.722					3.203
53.782	1.688	0.172	1.093	-0.938	3.325
53.832	1.706	-0.062	1.467	-0.679	
53.841					3.349
53.892	2.299	0.054	1.751	-0.587	
53.9					3.488
53.913	2.283	-0.001	2.107	-0.568	
53.919					3.385
53.926	2.257	0.046	2.04	-0.852	
53.932					3.361
53.971	2.002	0.204	1.894	-0.6	3.26
54.023	2.17	0.063	1.74	-0.641	3.493
54.061	2.16	0.003	1.818	-0.887	
54.106	2.355	0.015	1.685	-0.975	3.47
54.152	2.016	-0.195			3.473
54.197	2.158	-0.068	2.31	-0.429	3.548
54.242	2.316	-0.286	2.423	-0.618	3.518
54.287	2.279	-0.256	1.964	-0.594	3.383
54.358	2.383	-0.07	1.809	-0.874	
54.403	2.091	-0.046	2.138	-0.419	3.473
54.474	2.444	-0.231	2.324	-0.561	3.321
54.5	2.224	-0.494	2.111	-0.819	
54.506					3.477
54.539	2.204	-0.203	2.028	-0.781	
54.545					3.489
54.577					3.559
54.584	2.14	-0.2	1.921	-0.922	
54.623	2.068	-0.141	2.082	-0.727	3.459
54.655	2.194	0.059			3.451
54.694	1.933	-0.053	1.654	-0.929	
54.7					3.345
54.774	1.751	0.006	1.325	-0.776	
54.789					3.488
54.849	1.733	-0.06	1.909	-0.554	
54.864					3.285
54.968	2.069	-0.096	1.716	-0.815	3.352
55.072	1.842	0.029	1.608	-0.578	3.366
55.176	1.944	-0.021	2.136	-0.628	
55.191					3.393
55.31	1.675	0.048	1.651	-0.921	
55.325					3.376
55.414	2.143	0.058	1.854	-0.744	
55.429					3.332
55.518	1.5	0.239	1.694	-0.779	3.348
55.622	1.846	-0.879	1.795	-1.453	3.284
55.697	1.514	0.34	1.817	-0.844	
55.712					3.256
55.756	1.489	-0.086	1.594	-1.31	
55.771					3.263
55.801	1.548	0	1.24	-0.873	
55.816					3.188
55.905	1.4	0.454	1.559	-0.853	
55.92					3.27
56.024	1.801	0.104	1.86	-0.817	3.275
56.128	1.608	0.111	1.646	-1.015	3.187
56.232	1.614	0.191	1.797	-0.797	
56.247					3.172
56.307	1.507	-0.453	0.963	-1.034	
56.321					2.981
56.336	1.446	0.381	0.915	-0.89	
56.351					3.173
56.44	1.659	0.185	1.372	-0.976	
56.455					3.375
56.56	1.838	-0.023	1.755	-0.619	3.345
56.649	1.548	0.05	1.62	-0.936	3.351
56.738	1.629	0.176	1.524	-0.939	3.392
56.842	1.795	-0.205	0.676	-1.098	3.219
56.946	1.696	0.224	0.779	-1.17	3.352
57.05	1.86	0.037	1.445	-0.997	3.383
57.155	1.533	0.267	0.531	-1.305	
57.169					3.366
57.274	1.769	-0.845	1.735	-0.675	
57.288					3.239
57.378	1.598	0.417	1.21	-1.145	
57.393					3.448
57.482	1.645	0.322	1.088	-0.938	
57.497					3.402
57.586	1.947	-0.084	1.636	-1.126	
57.601					3.538
57.764	2.102	-0.041	2.338	-0.426	
57.779					3.159
57.854	1.961	0.202	1.621	-0.89	3.497
57.943	1.5	0.288	1.113	-0.973	
57.958					3.463
58.032	1.696	0.308	1.056	-0.906	3.514
58.107	2.331	0.033	2.441	-0.711	
58.121					3.516
58.196	2.214	0.159	2.598	-0.657	3.539
58.285	1.947	0.159	1.545	-0.878	3.607
58.452	2.085	-0.283	1.869	-0.582	
58.63	2.24	-0.144	2.008	-0.81	3.633
58.808	2.293	-0.132	2.229	-0.818	3.601
58.986	2.336	-0.408	2.238	-0.664	3.535
59.163	2.339	-0.203	2.052	-0.703	3.615
59.29	2.209	-1.075	1.984	-1.423	3.44
59.468	2.449	-0.193	2.317	-0.871	3.622
59.646	2.388	-0.154	2.428	-0.763	3.633
59.824	2.536	-0.145	2.383	-0.798	3.59
60.052	2.23	-0.337	2.073	-0.693	3.442
60.23	2.488	-0.112	2.041	-0.64	3.697
60.408	2.385	-0.141	2.347	-0.665	3.681
60.611	2.424	-0.088	2.154	-0.776	3.628
60.789	2.288	-0.304	2.228	-0.758	3.664
60.966	2.608	-0.207	2.2	-0.561	3.651
61.119	2.527	-0.115	2.009	-0.39	3.64
61.373	2.433	-0.016	2.208	-0.688	3.72
61.551	2.498	-0.128	2.234	-0.724	3.635
62.338	2.423	-0.08	2.499	-0.655	3.577
63.1	2.239	-0.38	2.285	-0.523	3.796
63.861	2.166	-0.159	2.061	-0.687	3.644
64.26	2.29	-0.319	2.192	-0.588	3.63
64.562	2.491	-0.18	2.791	-0.501	3.636
64.778	2.374	-0.032	2.264	-0.572	3.635
65.034	2.361	-0.194			
65.289	2.421	-0.273	2.706	-0.455	3.858
65.506	2.459	-0.289	2.672	-0.593	3.615
65.707					3.588
65.753					3.46367
