/* DESCRIPTION:
Reference:	Yang, S., & Ding, Z. (2014). A 249 kyr stack of eight loess grain size records from northern China documenting millennial‐scale climate variability. Geochemistry, Geophysics, Geosystems, 15(3), 798-814, https://doi.org/10.1002/2013GC005113
Data from:	https://doi.org/10.1002/2013GC005113. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Age [ka]	Grain Size
65.2	-0.1915
65.4	-0.18859
65.6	-0.20267
65.8	-0.21476
66	-0.23034
66.2	-0.23668
66.4	-0.26505
66.6	-0.24505
66.8	-0.21052
67	-0.20564
67.2	-0.21295
67.4	-0.2084
67.6	-0.2207
67.8	-0.21758
68	-0.2074
68.2	-0.1904
68.4	-0.16778
68.6	-0.1746
68.8	-0.15514
69	-0.16398
69.2	-0.1791
69.4	-0.1544
69.6	-0.17203
69.8	-0.13143
70	-0.11317
70.2	-0.0902
70.4	-0.08706
70.6	-0.0553
70.8	-0.09199
71	-0.19998
71.2	-0.30108
71.4	-0.35023
71.6	-0.38593
71.8	-0.35985
72	-0.34634
72.2	-0.5242
72.4	-0.42403
72.6	-0.38127
72.8	-0.36163
73	-0.33768
73.2	-0.35119
73.4	-0.17789
73.6	-0.11788
73.8	0.06116
74	0.25599
74.2	0.3571
74.4	0.31663
74.6	0.29132
74.8	0.27693
75	0.29762
75.2	0.24815
75.4	0.21727
75.6	0.1413
75.8	0.12704
76	0.12478
76.2	0.12515
76.4	0.08991
76.6	0.04442
76.8	0.12472
77	0.16649
77.2	0.22858
77.4	0.24746
77.6	0.2657
77.8	0.30563
78	0.30942
78.2	0.32937
78.4	0.39884
78.6	0.43252
78.8	0.47882
79	0.51711
79.2	0.51453
79.4	0.57874
79.6	0.62736
79.8	0.6701
80	0.68042
80.2	0.71138
80.4	0.75148
80.6	0.78242
80.8	0.77331
81	0.76406
81.2	0.7558
81.4	0.74834
81.6	0.73896
81.8	0.72623
82	0.71526
82.2	0.70838
82.4	0.70257
82.6	0.69617
82.8	0.69598
83	0.69572
83.2	0.69545
83.4	0.68994
83.6	0.69108
83.8	0.69416
84	0.70156
84.2	0.70745
84.4	0.70598
84.6	0.6926
84.8	0.66932
85	0.63818
85.2	0.61398
85.4	0.59212
85.6	0.5707
85.8	0.5496
86	0.52956
86.2	0.50351
86.4	0.50837
86.6	0.53253
86.8	0.5336
87	0.53988
87.2	0.53179
87.4	0.52441
87.6	0.53815
87.8	0.54416
88	0.55665
88.2	0.54742
88.4	0.54813
88.6	0.54522
88.8	0.57314
89	0.52913
89.2	0.53476
89.4	0.51978
89.6	0.50662
89.8	0.47702
90	0.45783
90.2	0.4604
90.4	0.46216
90.6	0.45529
90.8	0.48701
91	0.45628
91.2	0.45118
91.4	0.45037
91.6	0.44823
91.8	0.43225
92	0.42684
92.2	0.42564
92.4	0.42756
92.6	0.42206
92.8	0.40241
93	0.38579
93.2	0.37308
93.4	0.37312
93.6	0.3459
93.8	0.31724
94	0.37887
94.2	0.38878
94.4	0.38569
94.6	0.39666
94.8	0.4066
95	0.42746
95.2	0.44973
95.4	0.45478
95.6	0.4553
95.8	0.45572
96	0.44899
96.2	0.45011
96.4	0.45669
96.6	0.45251
96.8	0.44789
97	0.4548
97.2	0.46699
97.4	0.48126
97.6	0.50394
97.8	0.48911
98	0.50197
98.2	0.5334
98.4	0.55504
98.6	0.55252
98.8	0.55051
99	0.5512
99.2	0.54246
99.4	0.55571
99.6	0.5908
99.8	0.6088
100	0.62474
100.2	0.63031
100.4	0.6264
100.6	0.62671
100.8	0.63401
101	0.66116
101.2	0.68522
101.4	0.69508
101.6	0.69528
101.8	0.73728
102	0.69772
102.2	0.68025
102.4	0.64829
102.6	0.6482
102.8	0.64191
103	0.64015
103.2	0.63554
103.4	0.65899
103.6	0.63877
103.8	0.63529
104	0.65163
104.2	0.64654
104.4	0.64843
104.6	0.64086
104.8	0.63247
105	0.60962
105.2	0.61873
105.4	0.66425
105.6	0.68692
105.8	0.68053
106	0.66006
106.2	0.69394
106.4	0.74144
106.6	0.73691
106.8	0.75256
107	0.77301
107.2	0.78241
107.4	0.81304
107.6	0.85578
107.8	0.82377
108	0.80921
108.2	0.78964
108.4	0.77959
108.6	0.7738
108.8	0.77019
109	0.74817
109.2	0.73769
109.4	0.71332
109.6	0.68462
109.8	0.68315
110	0.69468
110.2	0.68758
110.4	0.6597
110.6	0.64247
110.8	0.64135
111	0.65602
111.2	0.66774
111.4	0.67463
111.6	0.67944
111.8	0.65655
112	0.63956
112.2	0.60577
112.4	0.59008
112.6	0.57659
112.8	0.57965
113	0.56745
113.2	0.5407
113.4	0.55197
113.6	0.55782
113.8	0.5376
114	0.51727
114.2	0.5046
114.4	0.4917
114.6	0.48405
114.8	0.47107
115	0.46266
115.2	0.4441
115.4	0.43309
115.6	0.4448
115.8	0.41176
116	0.30661
116.2	0.33766
116.4	0.35154
116.6	0.36558
116.8	0.38503
117	0.39147
117.2	0.39969
117.4	0.40941
117.6	0.43816
117.8	0.45542
118	0.47487
118.2	0.50045
118.4	0.49544
118.6	0.50582
118.8	0.51424
119	0.51836
119.2	0.52267
119.4	0.53294
119.6	0.50474
119.8	0.49992
120	0.49065
120.2	0.4864
120.4	0.5048
120.6	0.49343
120.8	0.49121
121	0.49282
121.2	0.47505
121.4	0.47429
121.6	0.48308
121.8	0.4976
122	0.49602
122.2	0.49355
122.4	0.51466
122.6	0.51395
122.8	0.51306
123	0.51217
123.2	0.50412
123.4	0.51598
123.6	0.52748
123.8	0.5416
124	0.56094
124.2	0.56903
124.4	0.59578
124.6	0.61339
124.8	0.63743
125	0.64355
125.2	0.6577
125.4	0.70179
125.6	0.65548
125.8	0.61543
126	0.53171
126.2	0.43318
126.4	0.28861
126.6	0.21291
126.8	0.17781
127	0.16195
127.2	0.00244
127.4	-0.10552
127.6	-0.11184
127.8	-0.19565
128	-0.29257
128.2	-0.32057
128.4	-0.33029
128.6	-0.31549
128.8	-0.37414
129	-0.31699
129.2	-0.40157
129.4	-0.43122
129.6	-0.53869
129.8	-0.55194
130	-0.56592
130.2	-0.64442
130.4	-0.70777
130.6	-0.79143
130.8	-0.8768
131	-0.89003
131.2	-0.94987
131.4	-0.91195
131.6	-0.91153
131.8	-0.86661
132	-0.81776
132.2	-0.81593
132.4	-0.74902
132.6	-0.77106
132.8	-0.76494
133	-0.73912
133.2	-0.70876
133.4	-0.68686
133.6	-0.68089
133.8	-0.65897
