# DESCRIPTION:
# Reference: Erhardt, T et al. (2019): Decadal-scale progression of the onset of Dansgaard–Oeschger warming events. Climate of the Past, 15(2), 811-825, https://doi.org/10.5194/cp-15-811-2019.
# Data from: https://doi.org/10.1594/PANGAEA.896736. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],Na+ [ng/g],Ca2+ [ng/g]
12.155,40.50176,107.33671
12.165,28.31888,100.15714
12.175,50.84277,154.43607
12.185,62.12133,145.20721
12.195,38.77515,103.35801
12.205,33.26219,98.36254
12.215,65.85416,133.44648
12.225,46.67881,124.14931
12.235,49.92889,159.0769
12.245,37.19697,92.31786
12.255,45.17608,119.53062
12.265,59.28322,168.16413
12.275,36.23088,114.07602
12.285,39.58954,108.053
12.295,52.58653,118.75085
12.305,58.83819,188.33008
12.315,42.50708,178.04915
12.325,42.85692,124.34825
12.335,52.85672,144.58085
12.345,44.88201,116.3747
12.355,39.8865,88.831
12.365,47.03251,110.43936
12.375,24.55127,90.73259
12.385,32.42817,83.57232
12.395,59.12137,121.55376
12.405,54.68828,144.80703
12.415,32.06272,113.71752
12.425,44.98531,144.72398
12.435,51.67077,137.10865
12.445,30.29475,121.51132
12.455,,121.95291
12.465,,146.66033
12.475,,146.53351
12.485,,146.7754
12.495,,156.07055
12.505,57.86324,180.57674
12.515,66.88886,195.69954
12.525,32.72613,112.37953
12.535,55.36705,163.67787
12.545,59.03354,234.59957
12.555,72.1506,186.03911
12.565,58.56828,178.11122
12.575,49.87805,234.70846
12.585,60.61661,200.77895
12.595,72.24462,239.48463
12.605,48.91856,162.64754
12.615,58.71861,121.11947
12.625,50.19147,143.63633
12.635,47.87596,155.75777
12.645,64.77417,167.419
12.655,62.33452,158.51312
12.665,56.64257,129.05035
12.675,62.83981,147.94381
12.685,60.0525,163.94004
12.695,68.51561,125.91324
12.705,46.05505,150.14897
12.715,48.46329,89.40783
12.725,65.23005,85.54066
12.735,51.15228,89.08248
12.745,49.646,116.77898
12.755,31.30023,74.0788
12.765,42.07803,96.56745
12.775,30.32557,52.67518
12.785,35.37433,70.16726
12.795,32.58216,70.51285
12.805,33.58722,64.32002
12.815,23.58666,41.06844
12.825,19.66051,37.73269
12.835,15.15918,39.4467
12.845,19.42091,30.45472
12.855,16.12089,30.75556
12.865,25.16592,42.87656
12.875,24.58092,32.21637
12.885,12.21081,30.59569
12.895,17.82234,26.40505
12.905,17.34549,24.71635
12.915,15.05837,29.72678
12.925,15.08565,27.56834
12.935,15.21017,30.53293
12.945,16.73931,26.66632
12.955,19.35999,36.10816
12.965,18.05369,32.21013
12.975,32.97161,93.11345
12.985,36.3409,73.27674
12.995,21.87011,38.60447
13.005,30.09928,45.92721
13.015,25.44193,46.89417
13.025,23.72203,57.84497
13.035,20.51715,54.91892
13.045,29.18834,48.15437
13.055,42.25798,61.80511
13.065,22.33656,56.51567
13.075,26.79184,54.93401
13.085,41.40632,79.29951
13.095,36.53435,62.97687
13.105,43.79192,91.7596
13.115,29.23607,74.64287
13.125,22.45291,64.68862
13.135,26.79245,59.67008
13.145,24.46532,41.46104
13.155,28.63334,63.40624
13.165,31.42751,66.37626
13.175,21.37501,49.03487
13.185,29.55322,52.93256
13.195,36.79757,58.37411
13.205,26.34857,55.53467
13.215,18.30988,39.68156
13.225,30.72811,39.40804
13.235,17.99302,29.67734
13.245,19.14977,39.53538
13.255,21.6998,51.50966
13.265,24.56852,43.03722
13.275,18.97541,38.99023
13.285,20.6888,38.90925
13.295,20.09758,33.86157
13.305,17.2423,37.85716
13.315,18.26643,31.38225
13.325,17.72774,23.14837
13.335,14.63748,32.61422
13.345,24.80638,44.20031
13.355,17.89157,29.98101
13.365,29.52267,34.8438
13.375,18.3785,31.94871
13.385,23.1701,49.77438
13.395,17.41911,31.29557
13.405,31.08644,26.63021
13.415,21.05084,36.841
13.425,18.98744,38.09612
13.435,15.68475,39.31306
13.445,31.40802,36.56737
13.455,17.90149,29.34464
13.465,17.44714,36.73572
13.475,26.58627,31.79959
13.485,16.23813,25.05908
13.495,21.33468,28.55846
13.505,16.18382,28.02963
13.515,24.61007,41.23235
13.525,22.54149,47.93583
13.535,17.84224,31.5825
13.545,28.87905,56.60233
13.555,18.53252,49.13862
13.565,28.8538,65.29283
13.575,26.85042,47.35797
13.585,27.12656,44.58401
13.595,28.88198,50.10966
13.605,19.79735,39.88639
13.615,24.96377,42.50366
13.625,21.69211,32.03561
13.635,15.82194,33.05409
13.645,15.32231,26.74414
13.655,17.81733,32.96945
13.665,21.91314,30.25361
13.675,19.9741,32.47749
13.685,20.40031,33.51899
13.695,17.09905,31.02222
13.705,18.6907,42.9833
13.715,17.32753,30.23381
13.725,14.59342,36.22878
13.735,18.91906,33.82163
13.745,21.90345,45.01675
13.755,20.92136,31.37185
13.765,15.51561,43.79411
13.775,17.82337,37.69432
13.785,20.41642,33.62591
13.795,18.77397,26.9261
13.805,18.96118,36.44852
13.815,18.83545,32.73122
13.825,20.98214,34.25446
13.835,18.74495,30.2868
13.845,15.74292,31.44705
13.855,21.36762,27.10981
13.865,19.79204,30.03037
13.875,16.60376,33.51198
13.885,17.84795,31.20909
13.895,18.23405,36.39699
13.905,21.34614,44.92525
13.915,26.69479,34.09794
13.925,20.22278,34.94796
13.935,21.32099,47.99775
13.945,23.63414,47.31926
13.955,22.34722,50.62981
13.965,24.65608,72.46664
13.975,36.6707,70.00935
13.985,23.19533,48.11956
13.995,58.33542,90.96117
14.005,24.82304,58.71643
14.015,22.41826,52.04096
14.025,26.42871,34.06501
14.035,18.8254,30.29113
14.045,26.14224,32.11448
14.055,18.61865,39.7015
14.065,14.61791,29.89902
14.075,19.95288,27.74706
14.085,16.39677,27.61912
14.095,21.93073,26.08506
14.105,16.17893,33.05561
14.115,28.06919,40.79898
14.125,23.12267,43.13696
14.135,16.75191,25.78286
14.145,22.55652,35.9822
14.155,14.53319,28.29148
14.165,23.08229,34.64545
14.175,16.42132,25.57242
14.185,24.80325,26.3791
14.195,13.16721,23.48519
14.205,14.62536,23.75029
14.215,14.82995,27.36981
14.225,24.42583,28.37211
14.235,13.19051,24.3958
14.245,19.68993,26.1507
14.255,13.9827,22.08359
14.265,22.95103,32.26076
14.275,18.2849,27.57844
14.285,20.50803,33.51078
14.295,15.6089,29.81429
14.305,21.63522,27.49457
14.315,18.36031,24.16592
14.325,22.0727,35.79329
14.335,20.75569,26.28138
14.345,26.14524,25.54511
14.355,14.96767,24.63141
14.365,15.14239,32.73908
14.375,20.68397,36.68095
14.385,15.905,25.93119
14.395,21.08804,27.89678
14.405,17.99066,25.51815
14.415,18.23378,29.38113
14.425,13.41971,19.74009
14.435,29.4884,24.715
14.445,15.66654,30.96612
14.455,15.08761,32.23811
14.465,17.41538,35.02527
14.475,16.38981,25.3207
14.485,14.82225,26.70414
14.495,14.87446,23.20818
14.505,17.97015,18.78898
14.515,21.59784,25.11507
14.525,18.14512,26.53294
14.535,12.73726,19.91611
14.545,18.16221,20.54691
14.555,19.67795,24.57132
14.565,19.64095,29.63614
14.575,22.6084,35.61536
14.585,31.75923,48.59323
14.595,24.01316,38.61214
14.605,34.611,32.1911
14.615,20.9821,34.00866
14.625,34.76721,36.97614
14.635,26.27027,37.6579
14.645,44.73896,67.4289
14.655,35.76799,130.08823
14.665,63.44859,127.08847
14.675,40.60391,103.36932
14.685,50.91812,122.99061
14.695,57.08627,118.59444
14.705,37.27069,90.89155
14.715,52.95238,215.04358
14.725,41.32168,128.00166
14.735,67.11719,136.52598
14.745,61.07922,154.20558
14.755,49.39226,112.7459
14.765,76.48487,135.49714
14.775,43.98499,103.31867
14.785,62.72844,129.45229
14.795,59.78099,144.18848
14.805,49.3028,131.11028
14.815,42.57475,136.86866
14.825,75.27369,165.4442
14.835,52.37373,104.7402
14.845,50.5205,128.375
14.855,43.93986,133.24029
14.865,58.12725,183.70199
14.875,89.05921,228.16231
14.885,46.63283,127.9943
14.895,47.64657,130.3127
14.905,56.19425,162.9918
14.915,46.7827,138.52086
14.925,39.79728,125.04322
14.935,34.95125,116.62831
14.945,59.58087,169.20651
14.955,64.43836,190.29812
14.965,66.47252,170.69495
14.975,50.02397,143.35111
14.985,44.31337,137.02503
14.995,35.087,178.54808
15.005,90.7018,188.79471
15.015,41.82727,123.98216
15.025,45.4397,157.77406
15.035,58.01127,196.088
15.045,42.53755,158.13066
15.055,55.30472,202.14321
15.065,60.22889,153.54574
15.075,36.77278,106.8298
15.085,98.58971,282.49909
15.095,51.07059,128.30702
15.105,31.45296,104.04169
15.115,36.79494,124.37272
15.125,38.17053,112.87713
15.135,68.27392,204.10277
15.145,60.65494,190.22565
15.155,47.35769,167.54769
15.165,33.67313,110.8272
15.175,62.36943,175.30971
15.185,52.29537,134.4463
15.195,56.12787,126.05292
15.205,59.26276,146.29068
15.215,57.70167,172.5708
15.225,47.73641,149.35748
15.235,27.02393,105.40629
15.245,67.74659,175.76519
15.255,112.54626,322.40123
15.265,74.67471,140.71226
15.275,49.18256,141.06351
15.285,48.55623,129.71698
15.295,34.00049,108.35996
15.305,79.32219,178.62445
15.315,52.68461,161.97306
15.325,66.52492,158.97255
15.335,58.08835,165.72683
15.345,46.75888,176.23402
15.355,50.99016,110.75364
15.365,70.54043,174.06235
15.375,58.03205,180.55457
15.385,40.32602,164.26899
15.395,60.98862,208.36376
15.405,62.53013,189.02267
15.415,55.80298,165.73842
15.425,60.25704,218.74791
15.435,59.08164,115.59106
15.445,59.74138,124.5632
15.455,57.6312,158.71305
15.465,49.16266,145.77241
15.475,34.45723,127.63721
15.485,47.086,135.31864
15.495,54.04134,142.48466
15.505,64.01186,142.8929
15.515,37.467,108.8149
15.525,51.83807,118.33408
15.535,36.54782,102.55904
15.545,48.69069,141.21845
15.555,61.0027,144.61223
15.565,46.10215,138.73143
15.575,58.98254,162.99315
15.585,52.11238,131.18225
15.595,72.11267,166.16392
15.605,73.86892,190.5872
15.615,54.32987,122.44538
15.625,54.09654,151.11944
15.635,33.2245,143.49408
15.645,30.86166,134.58164
15.655,42.45898,149.17794
15.665,49.98686,181.08849
15.675,47.86304,169.08614
15.685,51.46827,158.69895
15.695,52.84886,173.44923
15.705,49.47694,132.88134
15.715,45.21536,168.53335
15.725,80.0309,227.56741
15.735,120.13545,306.26391
15.745,49.95703,226.3284
15.755,67.44556,225.70863
15.765,49.85236,268.43346
15.775,21.70241,131.6597
15.785,84.43672,253.49613
15.795,74.77065,164.44191
15.805,41.20468,158.79204
15.815,43.46195,211.031
15.825,50.70043,193.62498
15.835,43.82072,170.39333
15.845,55.25595,262.47857
15.855,37.8282,188.63611
15.865,58.76202,186.37244
15.875,61.98568,172.27685
