# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Missing date was added at depth 587 cm.

Depth (cm),Age (kyrs SFCP04),δ13C N.pachy (planktonic),δ18O N. pachy (planktonic),δ13C G. bulloides (planktonic),δ18O G. bulloides (planktonic)
847.5,36.506,0.15,3.89,-0.69,2.79
850,36.864,0.32,3.36,-1.09,2.63
852.5,37.221,0.2,3.3,-0.46,2.7
855,37.578,0.3,3.95,-0.58,2.31
857.5,37.936,0.33,3.07,-0.85,2.53
860,38.293,0.22,3.05,-0.42,2.9
862.5,38.651,0.23,3.22,-1.17,2.46
865,39.008,0.15,3.14,-0.79,2.52
867.5,39.085,0.13,3.32,-1.05,2.59
870,39.162,-0.03,3.21,-0.37,2.96
872.5,39.238,0.31,3.63,-0.43,2.87
875,39.315,0.23,3.64,-0.7,2.83
877.5,39.392,0.63,4.02,-0.15,2.84
880,39.469,0.32,3.98,-0.89,2.97
882.5,39.546,,,-1.18,2.68
885,39.622,0.23,3.89,-0.82,2.98
887.5,39.699,0.45,4.04,-0.95,2.94
890,39.776,0.3,3.62,-1.2,3.18
892.5,40.023,0.27,4.23,-1,2.91
895,40.27,0.32,4.16,-1.25,3.23
897.5,40.517,0.38,3.66,-1.09,3.02
900,40.764,0.27,3.74,-1.27,2.74
902.5,41.01,0.3,4.04,-1.04,2.78
905,41.257,0.31,4.02,-0.88,2.97
907.5,41.504,0.27,3.85,-1.09,2.76
910,41.751,0.34,3.68,-1.25,2.41
912.5,41.998,0.38,3.92,-1.2,2.84
915,42.245,0.17,3.98,-0.92,2.71
917.5,42.492,0.35,3.99,-1.07,2.86
920,42.739,0.4,3.7,-1.1,3
922.5,42.986,0.29,3.74,-1.32,2.67
925,43.233,0.2,3.64,-0.61,3.07
927.5,43.479,0.23,3.95,-0.7,2.72
930,43.726,0.17,4.03,-1.48,3.25
932.5,43.973,0.43,4.15,-1.1,2.73
935,44.22,-0.05,3.83,-1.06,2.68
937.5,44.467,0.28,4.1,-0.77,2.68
940,44.714,0.43,4.22,-0.81,2.53
942.5,44.961,0.49,3.82,-0.83,2.69
945,45.208,0.34,3.57,-0.75,2.24
947.5,45.455,0.21,4.08,-1.25,2.35
950,45.702,0.37,4.21,-0.96,2.38
952.5,45.948,0.19,3.81,-0.74,2.72
955,46.195,0.15,3.4,-1.19,2.64
957.5,46.442,0.27,3.04,-0.78,2.39
960,46.689,0.43,3.18,-1.54,2.39
962.5,46.936,0.22,2.81,-1.31,1.96
965,46.964,0.36,3.2,-1.25,2.27
967.5,46.992,0.36,3.19,-1.07,2.42
970,47.019,0.28,3.01,-0.88,2.48
972.5,47.047,0.08,2.98,-1.19,2.64
975,47.075,0.28,3.02,-1.05,2.14
977.5,47.103,-0.04,2.83,-1.12,2.28
980,47.13,0.12,3.37,-1.34,2.35
982.5,47.158,0.32,3.32,-1.28,2.76
989.5,47.236,0.11,3.24,-0.81,2.45
990.5,47.247,0.45,3.37,-1.58,2.59
993,47.275,0.33,3.26,-1.19,2.16
995.5,47.303,0.17,2.95,-0.91,2.37
998,47.331,0.28,3.15,-0.82,2.28
1000.5,47.358,0.19,3.38,-0.88,2.48
1003,47.386,0.05,3.04,-0.6,2.54
1005.5,47.414,0.13,3.79,-0.65,2.88
1008,47.442,0,3.98,-0.86,2.75
1010.5,47.469,0.08,4.03,-1.03,2.64
1013,47.497,0.3,3.81,-1.19,3.08
1015.5,47.525,0.28,4.08,-0.98,2.83
1018,47.937,0.28,3.73,-1.17,2.94
1020.5,48.349,0.31,4.32,-0.98,2.95
1023,48.761,-0.06,3.78,-1.12,2.84
1025.5,49.173,0.03,3.98,-1.2,2.08
1028,49.585,0,4.22,-0.74,2.36
1030.5,49.997,0.34,4.33,-1.26,2.9
1033,50.114,0.3,4.31,-0.9,2.59
1035.5,50.23,0.17,3.97,-1.43,3.08
1038,50.347,0.03,3.74,-1.26,3.07
1040.5,50.463,0.27,4.03,-0.84,3.05
1043,50.58,-0.73,3.76,-0.59,3.11
1045.5,50.696,-0.3,3.73,-0.82,3.22
1048,50.813,0.15,4.06,-1.03,3.01
1050.5,50.929,0.16,3.85,-0.88,3.13
1053,51.046,0.09,3.97,-0.6,2.79
1055.5,51.162,-0.18,3.68,-0.51,2.75
1058,51.279,,,-0.38,2.96
1060.5,51.395,0.04,3.89,-0.96,2.93
1062.5,51.489,,,-0.88,2.63
1065.5,51.629,0.12,3.85,-0.96,2.86
1068,51.745,0.03,3.47,-0.85,2.89
1070.5,51.862,-0.02,3.44,-0.88,2.76
1073,51.978,-0.01,3.35,-0.9,2.87
1075.5,52.095,0.03,3.81,-0.67,2.9
1078,52.211,-0.26,3.01,-0.9,2.71
1080.5,52.328,-0.29,2.86,-0.9,2.84
1083,52.444,-0.06,2.84,-0.34,2.59
1085.5,52.561,-0.16,3.28,-0.63,2.81
1088,52.677,-0.01,3.26,-0.8,2.63
1090.5,52.794,0.04,3.99,-0.96,2.8
1093,52.911,-0.61,3.55,-0.94,1.99
1095.5,53.027,0.04,3.11,-1.07,2.51
1098,53.144,-0.21,2.91,-0.96,2.78
1100.5,53.26,-0.07,3.26,-0.92,2.75
1103,53.377,-0.37,3.04,-1.23,2.43
1105.5,53.493,-0.28,2.72,-1.16,2.41
1108,53.61,-0.2,3.15,-1.37,1.96
1110.5,53.726,-0.13,2.8,-1.38,1.78
1113,53.843,-0.09,3.1,-1.35,2.67
1115.5,53.959,-0.19,3.36,-0.46,2.57
1118,54.076,-0.53,3.51,-1.03,2.69
1120.5,54.192,-0.3,3.39,-0.95,2.55
1123,54.309,0,2.46,-1.06,2.27
1125.5,54.426,-0.16,3.8,-1.19,2.58
1128,54.542,0.07,3.63,-0.53,2.88
1130.5,54.659,-0.31,3.81,-1.03,2.6
1133,54.775,-0.07,4.03,-1.15,2.38
1135.5,54.892,-0.23,3.91,-0.97,2.29
1141,55.148,0.06,3.65,-0.86,2.58
1143.5,55.265,-0.08,3.64,-1.56,2.68
1146,55.381,-0.04,3.66,-1.42,2.72
1148.5,55.498,0.02,3.59,-0.66,2.87
1151,55.614,-0.1,3.55,-0.8,2.94
1153.5,55.731,0.09,3.88,-0.76,3.07
1156,55.847,0.09,3.76,-1.14,3.19
1158.5,55.964,-0.19,3.86,-0.82,2.86
1161,56.08,0.05,3.72,-0.91,2.86
1163.5,56.197,0.15,4.22,-1.03,2.99
1166,56.291,-0.31,3.78,-0.98,3.08
1168.5,56.384,0.03,4.24,-1.12,2.87
1171,56.478,-0.08,4.05,-1.45,2.83
1173.5,56.572,-0.26,3.96,-1.37,3.04
1176,56.665,-0.03,4.01,-1.1,2.66
1178.5,56.759,-0.65,3.58,-1.7,2.92
1181,56.853,-0.12,3.77,-0.88,2.9
1183.5,56.947,-0.31,3.53,-1.31,2.85
1186,57.04,-0.24,3.66,-1.34,2.88
1188.5,57.134,0.03,3.86,-1.1,2.73
1191,57.228,-0.24,3.46,-1.22,2.83
1193.5,57.321,-0.08,3.56,-1.29,2.9
1196,57.415,-0.26,3.57,-1.3,2.66
1198.5,57.509,-0.1,3.72,-1.28,2.74
1201,57.602,-0.11,3.83,-1.18,2.77
1203.5,57.696,-0.18,3.76,-1.28,2.56
1206,57.79,-0.13,3.81,-1.36,2.4
1208.5,57.883,0.04,3.83,-1.4,2.92
1211,57.977,0.06,3.89,-1.09,2.87
1213.5,58.071,-0.27,3.21,-1.45,2.08
1216,58.164,-0.26,3.14,-1.45,3.04
1218.5,58.258,-0.2,3.3,-1.11,2.85
1221,58.352,-0.31,3.36,-1.19,3.13
1223.5,58.446,-0.22,3.68,-0.84,3
1226,58.539,-0.29,3.69,-1.43,2.97
1228.5,58.633,-0.25,3.6,-1.28,2.56
1231,58.727,-0.19,3.6,-1.22,3
1233.5,58.82,-0.17,3.47,-0.73,2.65
1236,58.914,-0.19,3.52,-1.37,2.71
1238.5,59.347,-0.56,2.53,-0.85,2.8
1241,59.779,-0.24,3.25,-0.97,2.76
1243.5,60.212,-0.34,2.82,-1.37,2.58
1246,60.645,-0.18,3.95,-1.19,1.99
1248.5,61.078,-0.03,3.81,-0.74,3.17
1251,61.51,-0.26,3.6,-0.99,3.36
1253.5,61.943,-0.22,4.2,-1.21,3.22
1256,62.296,-0.08,4.17,-0.93,3.51
1258.5,62.649,0.12,4.18,-0.81,3.17
1261,63.001,0.15,4.45,-0.75,3.13
1263.5,63.354,0,4.2,-0.66,2.86
1266,63.707,-0.12,4.23,-0.68,3.09
1268.5,64.06,0.1,4.37,-1.02,2.73
1271,64.412,-0.26,4.07,-1.18,2.63
1273.5,64.765,0.08,4.11,-0.69,2.92
1276,65.118,0.06,4.41,-0.98,2.82
