# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Missing date was added at depth 587 cm.

Depth (cm),Age (kyrs SFCP04),δ13C N.pachy (planktonic),δ18O N. pachy (planktonic),δ13C G. bulloides (planktonic),δ18O G. bulloides (planktonic)
1895.5,112.01,-0.18,3.1,-0.85,2.11
1898,112.15,-0.19,3.44,-1.1,1.91
1907.5,112.72,-0.34,3.07,-0.98,2.07
1910,112.87,0.21,3.56,-0.66,2.21
1912.5,113.02,0.21,3.61,-1.09,2.52
1915,113.17,0.18,3.45,-1.15,2.58
1917.5,113.32,0.2,3.34,-0.92,2.15
1920,113.47,-0.18,3.27,-1.42,2.23
1922.5,113.62,-0.19,3.2,-1.38,2.32
1925,113.76,-0.02,3.27,-1.46,2.25
1927.5,113.91,-0.21,3.34,-1.29,2.1
1930,114.06,-0.06,3.27,-1.62,2.14
1932.5,114.21,0.11,3.08,-1.43,2.09
1935,114.36,-0.11,3.02,-1.53,2
1937.5,114.51,0.07,3.09,-1.01,2.17
1940,114.66,0.09,2.89,-1.55,1.99
1942.5,114.81,-0.1,2.82,-1.58,1.89
1945,114.96,0.17,2.93,-1.44,2.06
1947.5,115.11,0.15,2.9,-1.13,2.06
1950,115.25,0.02,3.14,-1.36,2.1
1952.5,115.4,-0.05,2.9,-1.25,1.83
1955,115.55,0.01,2.9,-1.45,2.16
1957.5,115.7,0.02,2.86,-1.22,2.13
1960,115.85,0.26,2.94,-1.52,2.02
1962.5,116,-0.08,2.89,-1.18,1.96
1965,116.07,0.13,3.11,-1.3,1.92
1967.5,116.13,-0.03,2.97,-1.27,1.89
1970,116.2,0.04,3.17,-1.59,2
1972.5,116.26,0.14,2.83,-1.29,1.97
1975,116.33,-0.23,2.63,-1.36,1.85
1977.5,116.4,-0.1,2.62,-1.39,1.89
1980,116.46,-0.31,2.68,-1.41,1.89
1982.5,116.53,-0.1,2.78,-1.3,1.9
1985,116.6,-0.04,2.63,-1.41,1.69
1987.5,116.66,0.05,3.26,-1.42,1.7
1990,116.73,0.13,2.63,-1.41,1.79
1992.5,116.79,0.04,2.68,-1.21,2.01
1995,116.86,-0.08,2.9,-1.24,1.31
1997.5,116.93,-0.09,2.42,-1.51,1.46
2000,116.99,-0.07,3.8,-1.4,1.58
2002.5,117.06,-0.23,3.84,-1.31,1.82
2005,117.12,-0.09,2.67,-1.4,1.85
2007.5,117.19,0,2.32,-1.58,1.81
2010,117.26,-0.04,2.64,-1.34,1.58
2012.5,117.32,-0.02,2.54,-1.41,1.29
2015,117.39,-0.22,3.06,-1.46,1.56
2017.5,117.46,-0.31,2.61,-1.37,1.91
2020,117.52,-0.13,2.4,-1.52,1.73
2022.5,117.59,0.03,2.53,-1.41,1.48
2025,117.65,-0.09,2.62,,
2027.5,117.72,-0.15,2.28,-1.23,1.79
2030,117.79,0.05,2.54,,
2032.5,117.85,0.01,2.3,-0.53,1.83
2035,117.92,0.06,2.35,-0.96,1.46
2037.5,117.98,-0.19,2.3,-0.95,1.28
2040,118.05,,,-0.64,1.35
2042.5,118.12,,,-0.82,1.38
2045,118.18,,,-0.97,1.28
2047.5,118.25,,,-0.54,1.03
2050,118.31,,,-1.26,1.11
2052.5,118.38,,,-1.24,1.14
2055,118.45,,,-1.31,1.22
2061,118.61,,,-1.09,0.91
2063.5,118.67,,,-1.5,1.17
2066,118.74,,,-1.14,1.53
2068.5,118.8,,,-1.08,1.15
2071,118.87,,,-0.67,1.74
2073.5,118.94,,,-0.59,1.63
2076,119,,,-0.93,1.28
2078.5,119.07,,,-0.74,1.83
2081,119.13,,,-1.01,1.63
2083.5,119.2,,,-0.78,1.5
2086,119.27,,,-1.31,1.67
2088.5,119.33,,,-0.86,1.77
2091,119.4,,,-0.96,1.66
2093.5,119.47,,,-1,1.7
2096,119.53,,,-0.85,1.77
2098.5,119.6,,,-0.75,1.37
2101,119.66,,,-0.64,1.65
2103.5,119.73,,,-0.86,1.22
2106,119.8,,,-0.65,1.77
2108.5,119.86,,,-0.83,1.65
2111,119.93,,,-0.73,1.79
2113.5,119.99,,,-0.54,1.81
2116,120.06,,,-1.08,1.71
2118.5,120.13,,,-1,1.6
2121,120.19,,,-0.83,1.87
2123.5,120.26,,,-1.17,1.39
2126,120.33,,,-0.76,1.99
2128.5,120.39,,,-0.78,1.74
2131,120.46,,,-0.77,1.82
2133.5,120.52,,,-1.08,1.42
2136,120.59,,,-0.99,1.8
2138.5,120.66,,,-0.95,1.68
2141,120.72,,,-1.4,1.1
2143.5,120.79,,,-0.87,1.55
2146,120.85,,,-0.98,1.84
2148.5,120.92,,,-1.15,1.71
2151,120.99,,,-0.74,1.58
2153.5,121.05,,,-0.89,1.31
2156,121.12,,,-0.59,1.54
2158.5,121.19,,,-1.05,1.52
2161,121.25,,,-0.98,1.47
2163.5,121.32,,,-0.99,1.49
2166,121.38,,,-0.91,1.59
2168.5,121.45,,,-0.85,1.44
2171,121.52,,,-1.11,1.92
2173.5,121.58,,,-1.25,1.47
2176,121.65,,,-1.07,1.71
2178.5,121.71,,,-0.95,1.81
2181,121.78,,,-0.91,1.53
2183.5,121.85,,,-1.35,1.44
2186,121.91,,,-1.48,1.71
2188.5,121.98,,,-0.98,1.63
2191,122.04,,,-1.1,1.54
2193.5,122.11,,,-1.33,1.47
2196,122.18,,,-0.99,1.9
2198.5,122.24,,,-0.93,1.46
2201,122.31,,,-0.99,1.72
2203.5,122.38,,,-0.95,1.44
2206,122.44,,,-0.83,1.77
2208.5,122.51,,,-0.84,1.35
2213,122.63,,,-0.79,1.95
2218,122.76,,,-1.05,1.69
2223,122.89,,,-0.57,1.78
2225.5,122.96,,,-0.7,1.57
2228,123.02,,,-0.94,1.67
2230.5,123.09,,,-0.85,1.59
2233,123.16,,,-0.83,1.42
2235.5,123.22,,,-0.51,1.52
2238,123.29,,,-0.76,1.85
2240.5,123.35,,,-1.05,1.47
2243,123.42,,,-1.07,1.38
2245.5,123.49,,,-1.3,1.67
2248,123.55,,,-1.05,1.68
2250.5,123.62,,,-0.88,1.33
2253,123.69,,,-0.91,1.65
2255.5,123.75,,,-0.93,1.68
2258,123.82,,,-0.98,1.71
2260.5,123.88,,,-0.79,1.46
2263,123.95,,,-0.93,1.51
2265.5,124.02,,,-1.06,1.61
2268,124.08,,,-0.81,1.6
2270.5,124.15,,,-1.14,1.84
2273,124.21,,,-1.08,1.49
2275.5,124.28,,,-0.88,1.65
2278,124.35,,,-0.74,1.7
2280.5,124.41,,,-1,1.49
2283,124.48,,,-1.08,1.93
2285.5,124.54,,,-1.04,1.37
2288,124.61,,,-0.93,1.54
2290.5,124.68,,,-0.92,1.9
2293,124.74,,,-1.06,1.42
2295.5,124.81,,,-0.91,0.99
2298,124.88,,,-1.02,1.03
2300.5,124.94,,,-0.87,1.17
2303,125.01,,,-1.24,1.08
2305.5,125.07,,,-0.98,1.21
2313,125.27,,,-0.77,0.61
2315.5,125.34,,,-1.25,1.27
2318,125.4,,,-1.11,1.23
2320.5,125.47,,,-1.1,0.96
2308,125.14,,,-1.1,1.22
2310.5,125.21,,,-1.74,0.82
2323,125.54,,,-1.26,1.38
2325.5,125.6,,,-1.38,0.93
2328,125.67,,,-1.3,0.85
2330.5,125.74,,,-1.61,0.92
2333,125.8,,,-1.21,0.69
2335.5,125.87,,,-1.5,0.81
2338,125.93,,,-1.2,1.02
2340.5,126,,,-1.51,1.31
2343,126.07,,,-0.51,3.29
2345.5,126.13,,,-1.37,1.35
2348,126.2,,,-1.42,1.71
2350.5,126.26,,,-1.21,1.65
