/* DESCRIPTION:
Reference:	Hodell, DA et al. (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Data from:	https://doi.org/10.1594/PANGAEA.831737. Accessed 11 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Ca/Sr	Si/Sr
1.83	34.038	50.955	16.584
1.84	34.224	44.49	13.944
1.85	34.41	46.189	13.041
1.86	34.596	60.303	15.509
1.87	34.782	51.8	10.682
1.88	34.968	54.546	6.9574
1.89	35.287	54.061	6.5087
1.9	35.34	53.731	8.1846
1.91	35.393	63.705	9.4341
1.92	35.446	44.646	5.8123
1.93	35.499	58.709	8.1164
1.94	35.552	60.796	7.8906
1.95	35.605	61.838	9.8379
1.96	35.658	44.444	12.741
1.97	35.711	67.397	12.846
1.98	35.763	58.978	8.864
1.99	35.816	59.198	11.46
2	35.869	62.311	12.408
2.01	35.922	52.054	9.2444
2.02	35.975	65.332	12.266
2.03	36.028	61.774	10.855
2.04	36.081	53.389	10.078
2.05	36.134	45.172	18.978
2.06	36.187	50.507	12.224
2.07	36.239	55.655	7.6974
2.08	36.292	67.869	9.0192
2.09	36.345	57.835	12.5
2.1	36.398	58.831	11.379
2.11	36.451	53.344	9.8459
2.12	36.504	41.943	8.5947
2.13	36.557	56.083	7.99
2.14	36.61	58.189	6.1442
2.15	36.662	53.557	8.9564
2.16	36.715	61.761	6.6286
2.17	36.768	76.98	5.5908
2.18	36.821	71.32	7.2275
2.19	36.874	72.743	4.3402
2.2	36.927	74.608	3.725
2.21	36.98	75.329	4.3547
2.22	37.033	73.133	3.9315
2.23	37.086	78.356	3.348
2.24	37.138	66.878	4.1752
2.25	37.191	66.973	5.6634
2.26	37.244	63.394	7.7507
2.27	37.297	66.632	6.8537
2.28	37.35	65.181	8.2167
2.29	37.403	64.266	7.7337
2.3	37.456	57.279	9.8339
2.31	37.509	73.315	7.3878
2.32	37.562	69.314	7.3062
2.33	37.614	71.331	7.9355
2.34	37.667	65.812	7.9538
2.35	37.72	67.498	5.4254
2.36	37.773	70	6.8351
2.37	37.826	69.902	9.183
2.38	37.879	73.595	5.369
2.39	37.932	61.363	6.1838
2.4	37.985	68.127	4.634
