/* DESCRIPTION:
Reference:	Hodell, DA et al. (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Data from:	https://doi.org/10.1594/PANGAEA.831737. Accessed 11 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Ca/Sr	Si/Sr
23.51	370.4	81.003	1.0081
23.52	370.57	75.301	0.75
23.53	370.75	79.674	0.90827
23.54	370.93	74.458	0.92521
23.55	371.1	78.379	0.88307
23.56	371.28	77.969	1.0012
23.57	371.46	74.645	0.95781
23.58	371.64	80.626	1.0841
23.59	371.81	75.175	0.91309
23.6	371.99	75.732	1.3733
23.61	372.17	79.255	2.2174
23.62	372.34	70.751	1.7413
23.63	372.52	80.288	1.5076
23.64	372.7	81.431	2.6125
23.65	372.88	81.932	1.8878
23.66	373.05	88.596	3.2059
23.67	373.23	76.859	2.3338
23.68	373.41	80.715	1.1504
23.69	373.58	75.8	2.3245
23.7	373.76	77.799	1.9788
23.71	373.94	86.417	1.5225
23.72	374.11	75.208	2.0833
23.73	374.29	78.224	2.3012
23.74	374.47	82.691	2.0176
23.75	374.65	78.338	0.61093
23.76	374.82	76.008	0.53616
23.77	375	78.635	0.8071
23.78	375.18	76.517	0.38866
23.79	375.35	81.39	0.7322
23.8	375.53	72.969	0.80797
23.81	375.71	76.639	0.48255
23.82	375.89	75.589	0.54545
23.83	376.06	75.397	0.3834
23.84	376.24	77.496	0.40647
23.85	376.42	70.421	0.44917
23.86	376.59	72.505	0.50665
23.87	376.77	73.993	0.51327
23.88	376.95	79.471	0.62094
23.89	377.12	76.185	0.52395
23.9	377.3	77.16	0.58038
23.91	377.48	74.792	0.45
23.92	377.66	74.543	0.53165
23.93	377.83	75.988	0.44848
23.94	378.01	71.497	0.39778
23.95	378.19	74.926	0.409
23.96	378.36	68.969	0.31272
23.97	378.54	67.826	0.25235
23.98	378.72	74.672	0.45315
23.99	378.9	71.811	0.40531
24	379.07	69.077	0.4018
24.01	379.25	75.433	0.39327
24.02	379.43	72.765	0.5188
24.03	379.6	71.079	0.3395
24.04	379.78	75.486	0.39673
24.05	379.96	77.461	0.44706
24.06	380.14	72.133	0.33302
24.07	380.31	71.18	0.42463
24.08	380.49	75.519	0.42943
24.09	380.67	72.098	0.45979
24.1	380.84	76.092	0.3996
24.11	381.02	71.908	0.48588
24.12	381.2	70.916	0.48097
24.13	381.38	73.433	0.5678
24.14	381.55	72.351	0.58739
24.15	381.73	70.965	0.58979
24.16	381.91	73.809	0.53906
24.17	382.08	72.438	0.81237
24.18	382.26	72.325	0.86916
24.19	382.44	73.925	0.68373
24.2	382.61	74.703	0.67347
24.21	382.79	74.321	0.69886
24.22	382.97	78.58	0.81512
24.23	383.15	77.87	1.3709
24.24	383.32	82.581	1.7601
24.25	383.5	82.501	1.9215
24.26	383.68	84.075	1.5442
24.27	383.85	80.448	1.6448
24.28	384.03	76.692	1.4139
24.29	384.21	66.207	1.0832
24.3	384.39	71.517	0.68916
24.31	384.56	78.515	0.61846
24.32	384.74	73.577	0.47032
24.33	384.92	68.725	0.40348
24.34	385.09	73.064	0.38817
24.35	385.27	75.452	0.59591
24.36	385.45	69.981	0.3386
24.37	385.63	75.323	0.39785
24.38	385.8	72.55	0.43293
24.39	385.98	68.872	0.36957
24.4	386.16	73.168	0.5108
24.41	386.33	70.259	0.55078
24.42	386.51	73.014	0.53647
24.43	386.69	78.031	0.64594
24.44	386.86	71.715	0.60261
24.45	387.04	71.788	0.60499
24.46	387.22	74.797	0.57286
24.47	387.4	69.805	0.4894
24.48	387.57	76.134	0.73862
24.49	387.75	75.119	1.0574
24.5	387.93	73.38	0.98387
24.51	388.1	75.491	1.2664
24.52	388.28	85.812	1.8946
24.53	388.46	78.052	2.4438
24.54	388.64	78.823	1.5381
24.55	388.81	73.01	0.98222
24.56	388.99	68.946	0.91906
24.57	389.17	75.593	0.99571
24.58	389.34	77.262	1.6184
24.59	389.52	81.541	1.9799
24.6	389.7	82.635	2.3608
24.61	389.87	73.378	2.5493
24.62	390.05	75.495	2.9469
24.63	390.23	72.377	1.5847
24.64	390.41	76.025	2.0808
24.65	390.58	87.608	2.9043
24.66	390.76	82.172	2.6769
24.67	390.94	61.208	1.6924
24.69	391.29	78.537	2.1952
24.7	391.47	81.192	1.2707
24.71	391.65	80.756	1.367
24.72	391.82	74.998	0.67879
24.73	392	71.683	0.53945
24.74	392.15	84.265	1.1765
24.75	392.29	70.559	0.58525
24.76	392.44	78.712	1.012
24.77	392.58	77.887	0.60603
24.78	392.73	75.74	0.67086
24.79	392.88	75.768	0.61874
24.8	393.02	72.24	0.6262
24.81	393.17	72.879	0.7709
24.82	393.31	73.74	0.78505
24.83	393.46	72.219	0.73216
24.84	393.61	75.197	0.89286
24.85	393.75	70.614	0.85744
24.86	393.9	73.57	0.74628
24.87	394.04	75.243	0.84973
24.88	394.19	76.341	0.90077
24.89	394.34	74.452	0.70601
24.9	394.48	69.869	0.76316
24.91	394.63	72.342	0.68106
24.92	394.78	74.913	0.75698
24.93	394.92	74.569	0.75055
24.94	395.07	74.319	0.70545
24.95	395.21	74.437	0.78317
24.96	395.36	68.479	0.4962
24.97	395.51	73.046	0.55054
24.98	395.65	66.717	0.54089
24.99	395.8	65.512	0.4349
25	395.94	69.112	0.44703
25.01	396.09	68.886	0.47646
25.02	396.24	68.366	0.32267
25.03	396.38	71.462	0.38407
25.04	396.53	65.481	0.40877
25.05	396.67	67.577	0.31418
25.06	396.82	70.553	0.28597
25.07	396.97	72.822	0.65359
25.08	397.11	73.29	0.34158
25.09	397.26	66.285	0.34102
25.1	397.4	69.148	0.42641
25.11	397.55	66.732	0.16533
25.12	397.7	68.121	0.2328
25.13	397.84	67.801	0.24828
25.14	397.99	68.067	0.31132
25.15	398.13	60.758	0.16819
25.16	398.28	66.477	0.15144
25.17	398.43	67.329	0.17698
25.18	398.57	64.913	0.1831
25.19	398.72	64.741	0.14785
25.2	398.87	65.102	0.20636
25.21	399.01	68.94	0.13621
25.22	399.16	63.868	0.19086
25.23	399.3	65.15	0.24267
25.24	399.45	68.111	0.20068
25.25	399.6	66.478	0.20439
25.26	399.74	67.242	0.22855
25.27	399.89	67.416	0.26378
25.28	400.03	72.496	0.25091
25.29	400.18	70.548	0.20951
25.3	400.33	67.005	0.21044
25.31	400.47	63.379	0.20367
25.32	400.62	64.466	0.19433
25.33	400.76	68.175	0.19589
25.34	400.91	64.546	0.19028
25.35	401.06	67.072	0.23495
25.36	401.2	67.921	0.27449
25.37	401.35	65.54	0.20769
25.38	401.49	69.63	0.27652
25.39	401.64	64.663	0.21895
25.4	401.79	65.283	0.2131
25.41	401.93	71.444	0.20235
25.42	402.08	66.924	0.19174
25.43	402.22	66.906	0.25889
25.44	402.37	65.134	0.17913
25.45	402.52	70.181	0.27257
25.46	402.66	68.966	0.21821
25.47	402.81	67.53	0.27296
25.48	402.96	67.925	0.18353
25.49	403.1	65.792	0.19603
25.5	403.25	62.283	0.23824
25.51	403.39	65.618	0.22975
25.52	403.54	63.148	0.21268
25.53	403.69	58.447	0.25691
25.54	403.83	72.149	0.22305
25.55	403.98	70.191	0.22173
25.56	404.12	69.279	0.24266
25.57	404.27	70.889	0.27822
25.58	404.42	66.428	0.32884
25.59	404.56	69.314	0.18668
25.6	404.71	68.259	0.27257
25.61	404.85	67.573	0.17707
25.62	405	68.646	0.18755
25.63	405.15	68.212	0.2329
25.64	405.29	68.735	0.29785
25.65	405.44	71.03	0.28989
25.66	405.58	63.169	0.24006
25.67	405.73	66.69	0.32095
25.68	405.88	67.408	0.23565
25.69	406.02	67.221	0.30334
25.7	406.17	63.672	0.19516
25.71	406.31	64.038	0.22486
25.72	406.46	71.341	0.19712
25.73	406.61	72.035	0.26606
25.74	406.75	72.994	0.26403
25.75	406.9	69.878	0.32353
25.76	407.04	72.069	0.32757
25.77	407.19	66.507	0.19931
25.78	407.34	70.014	0.26685
25.79	407.48	67.248	0.20784
25.8	407.63	67.861	0.29381
25.81	407.78	69.499	0.26679
25.82	407.92	67.133	0.24699
25.83	408.07	66.796	0.28093
25.84	408.21	69.585	0.25815
25.85	408.36	64.63	0.25267
25.86	408.51	67.692	0.29082
25.87	408.65	67.852	0.25726
25.88	408.8	67.386	0.23909
25.89	408.94	65.75	0.21316
25.9	409.09	63.49	0.24157
25.91	409.24	68.777	0.2548
25.92	409.38	70.161	0.20622
25.93	409.53	66.935	0.27932
25.94	409.67	63.128	0.23065
25.95	409.82	67.319	0.27055
25.96	409.97	66.059	0.23658
25.97	410.11	63.711	0.24655
25.98	410.26	67.14	0.27304
25.99	410.4	72.635	0.26468
26	410.55	68.513	0.26018
26.01	410.7	72.794	0.26523
26.02	410.84	70.826	0.24312
26.03	410.99	70.355	0.21448
26.04	411.13	67.576	0.2732
26.05	411.28	67.034	0.21805
26.06	411.43	74.327	0.33837
26.07	411.57	71.504	0.34703
26.08	411.72	71.765	0.33117
26.09	411.87	71.529	0.30769
26.1	412.01	67.745	0.28979
26.11	412.16	66.838	0.19777
26.12	412.3	69.577	0.23619
26.13	412.45	69.641	0.30106
26.14	412.6	69.792	0.19412
26.15	412.74	67.051	0.21594
26.16	412.89	66.363	0.25489
26.17	413.03	71.628	0.18875
26.19	413.33	66.775	0.24294
26.2	413.47	66.053	0.27241
26.21	413.62	67.263	0.27165
26.22	413.76	68.538	0.33067
26.23	413.91	69.077	0.30044
26.24	414.06	73.47	0.34853
26.25	414.2	69.08	0.28345
26.26	414.35	70.468	0.34838
26.27	414.49	68.66	0.33363
26.28	414.64	69.398	0.37309
26.29	414.79	73.598	0.37524
26.3	414.93	74.011	0.40268
26.31	415.08	72.187	0.43815
26.32	415.22	75.87	0.38006
26.33	415.37	72.047	0.37395
26.34	415.52	71.158	0.35782
26.35	415.66	72.71	0.29952
26.36	415.81	68.767	0.39177
26.37	415.96	71.715	0.33425
26.38	416.1	72.528	0.41541
26.39	416.25	71.029	0.42332
26.4	416.39	71.739	0.38113
26.41	416.54	66.476	0.4063
26.42	416.69	67.812	0.39344
26.43	416.83	66.794	0.32244
26.44	416.98	72.882	0.42723
26.45	417.12	67.176	0.31136
26.46	417.27	69.56	0.33274
26.47	417.42	73.261	0.3468
26.48	417.56	70.236	0.30873
26.49	417.71	68.095	0.36847
26.5	417.85	69.673	0.3351
26.51	418	66.26	0.32798
26.52	418.15	72.521	0.29633
26.53	418.29	72.834	0.33829
26.54	418.44	70.899	0.33028
26.55	418.58	73.824	0.37799
26.56	418.73	73.065	0.40619
26.57	418.88	67.643	0.35552
26.58	419.02	72.812	0.35442
26.59	419.17	65.403	0.33667
26.6	419.31	73.349	0.26747
26.61	419.46	73.375	0.37524
26.62	419.61	76.202	0.41369
26.63	419.75	71.592	0.39015
26.64	419.9	75.263	0.4211
26.65	420.04	73.777	0.36942
26.66	420.19	68.224	0.28276
26.67	420.34	69.542	0.26418
26.68	420.48	71.849	0.24568
26.69	420.63	69.685	0.31709
26.7	420.78	71.013	0.42563
26.71	420.92	79.348	0.43719
26.72	421.07	66.994	0.28891
26.73	421.21	72.22	0.36972
26.74	421.36	69.902	0.30346
26.75	421.51	70.081	0.43587
26.76	421.65	75.943	0.46086
26.77	421.8	72.145	0.45906
26.78	421.94	77.49	0.44144
26.79	422.09	74.517	0.51451
26.8	422.24	74.84	0.43738
26.81	422.38	74.5	0.52958
26.82	422.53	74.256	0.60417
26.83	422.67	76.694	0.5929
26.84	422.82	79.769	0.65864
26.85	422.97	74.199	0.48123
26.86	423.11	80.189	0.65675
26.87	423.26	76.433	0.62538
26.88	423.4	76.287	0.65047
26.89	423.55	69.504	0.70992
26.9	423.7	74.275	0.72912
26.91	423.84	78.835	0.84447
26.92	423.99	75.216	0.66249
26.93	424.13	74.077	0.62698
26.94	424.28	73.213	0.71457
26.95	424.43	73.051	0.83795
26.96	424.57	70.747	0.86293
26.97	424.72	79.085	1.1491
26.98	424.87	73.975	1.2048
26.99	425.01	79.558	1.621
27	425.16	80.217	2.1928
27.01	425.3	82.216	1.6934
27.02	425.45	74.331	1.4662
27.03	425.6	80.799	2.5944
27.04	425.74	81.056	3.2186
27.05	425.89	84.506	6.9907
27.06	426.03	89.903	5.4585
27.07	426.18	100.77	4.7539
27.08	426.33	91.893	11.627
27.09	426.47	97.545	9.7296
27.1	426.62	136.68	12.995
27.11	426.76	170.61	11.313
27.12	426.91	224.22	12.679
27.13	427.06	206.66	11.671
27.14	427.2	255.07	11.298
27.15	427.35	233.57	8.3606
27.16	427.49	188.63	8.3904
27.17	427.64	181.46	7.2222
27.18	427.79	90.676	9.48
27.19	427.93	102.36	12.144
27.2	428.08	110.77	13.013
27.21	428.22	86.801	11.292
27.22	428.37	87.558	12.57
27.23	428.52	85.786	16.247
27.24	428.66	79.197	14.042
27.25	428.81	63.125	14.597
27.26	428.96	57.395	10.689
27.27	429.1	63.2	17.511
27.28	429.25	56.691	13.372
27.29	429.39	63.768	15.638
27.3	429.54	69.55	15.526
27.31	429.69	67.688	15.294
27.32	429.83	74.579	14.447
27.33	429.98	72.977	16.203
27.34	430.12	72.433	17.596
27.35	430.27	64.342	14.233
27.36	430.42	64.194	11.17
27.37	430.56	58.751	11.571
27.38	430.71	69.311	12.451
27.39	430.85	90.77	15.836
27.4	431	55.82	10.533
27.41	431.27	65.667	10.333
27.42	431.53	78.164	12.224
27.43	431.8	61.574	10.434
27.44	432.06	72.899	10.904
27.45	432.33	61.123	9.7021
27.46	432.59	40.511	5.6413
27.51	433.92	52.535	10.645
27.52	434.18	59.254	8.9722
27.53	434.45	46.987	10.117
27.54	434.71	60.381	11.113
27.55	434.98	65.596	14.062
27.56	435.24	61.864	12.942
27.57	435.51	72.287	11.969
27.58	435.77	65.271	11.14
27.59	436.04	61.763	10.446
27.6	436.3	64.208	9.7965
27.61	436.57	54.553	10.837
27.62	436.83	59.626	12.854
27.63	437.1	63.6	15.422
27.64	437.36	42.639	16.665
27.65	437.63	30.599	26.031
27.66	437.89	53.923	16.791
27.67	438.16	46.627	9.6568
27.68	438.42	66.712	11.987
27.69	438.69	57.843	10.343
27.7	438.95	58.295	10.795
27.71	439.22	65.425	9.5749
27.72	439.48	57.455	7.3424
27.73	439.75	75.045	9.1078
27.74	440.01	70.337	6.8876
27.75	440.28	70.445	7.7212
27.76	440.54	65.547	6.739
27.77	440.81	67.005	5.6623
27.78	441.07	73.019	8.3484
27.79	441.34	69.099	8.9249
27.8	441.6	67.871	6.6369
27.81	441.87	73.632	4.594
27.82	442.13	66.142	6.8639
27.83	442.4	71.433	6.533
27.84	442.66	75.853	5.7823
27.85	442.93	77.089	6.3296
27.86	443.19	72.456	5.5596
27.87	443.46	73.726	4.8927
27.88	443.72	66.893	5.3265
27.89	443.99	68.942	5.5564
27.9	444.25	68.534	6.2021
27.91	444.52	83.814	6.5604
27.92	444.78	77.519	5.8568
27.93	445.05	92.541	7.3436
27.94	445.31	84.165	8.7983
27.95	445.58	85.135	11.574
27.96	445.84	81.159	7.9512
27.97	446.11	83.391	11.815
27.98	446.37	82.01	14.885
27.99	446.64	77.909	15.165
28	446.9	77.543	4.2901
28.01	447.17	84.942	14.299
28.02	447.43	84.264	13.152
28.03	447.7	82.963	14.38
28.04	447.96	87.743	12.88
28.05	448.23	91.238	13.576
28.06	448.49	94.443	11.459
28.07	448.76	80.58	9.1499
28.08	449.02	97.418	10.811
28.09	449.29	84.014	9.513
28.1	449.55	79.753	5.4928
28.11	449.82	77.333	4.2869
28.12	450.08	77.123	4.0099
28.13	450.35	77.436	4.0949
28.14	450.61	76.827	4.4386
28.15	450.88	73.867	4.6788
28.16	451.14	76.28	4.5052
28.17	451.41	81.181	7.1813
28.18	451.67	75.817	7.2593
28.19	451.94	63.694	7.6727
28.2	452.2	81.322	13.306
28.21	452.47	67.493	9.3501
28.22	452.73	80.649	11.039
28.23	453	65.443	21.184
28.24	453.27	33.669	27.182
28.25	453.53	25.111	44.172
28.26	453.8	10.865	31.946
28.27	454.06	13.103	26.069
28.28	454.33	10.467	30.627
28.29	454.59	72.78	27.031
28.3	454.86	92.905	24.797
28.31	455.12	80.977	24.228
28.32	455.39	83.983	23.96
28.33	455.65	81.883	22.402
28.34	455.92	110.39	27.296
28.35	456.18	72.529	13.475
28.36	456.45	68.408	10.138
28.37	456.71	76.844	7.6389
28.38	456.98	73.836	7.8442
28.39	457.24	69.783	6.5662
28.4	457.51	74.009	5.2527
28.41	457.77	68.446	6.6559
28.42	458.04	80.318	9.1479
28.43	458.3	76.216	9.6317
28.44	458.57	69.815	5.6484
28.45	458.83	69.696	4.8234
28.46	459.1	80.634	4.9806
28.47	459.36	78.833	3.6514
28.48	459.63	76.738	2.8406
28.49	459.89	76.098	2.6519
28.5	460.16	79.162	2.0782
28.51	460.42	75.36	1.7969
28.52	460.69	74.648	1.2785
28.53	460.95	82.734	1.6386
28.54	461.22	79.494	1.5742
28.55	461.48	80.781	1.4753
28.56	461.75	85.266	1.7763
28.57	462.01	77.809	1.8209
28.58	462.28	77.458	1.6752
28.59	462.54	88.819	2.6228
28.6	462.81	77.6	2.0095
28.61	463.07	78.305	3.2752
28.62	463.34	79.696	4.2789
28.63	463.6	84.693	7.0551
28.64	463.87	74.279	8.8062
28.65	464.13	72.073	10.267
28.66	464.4	65.187	11.482
28.67	464.66	61.57	15.157
28.68	464.93	73.709	16.206
28.69	465.19	80.44	23.187
28.7	465.46	60.209	16.325
28.71	465.72	69.456	16.401
28.72	465.99	74.572	20.452
28.73	466.25	56.178	12.748
28.74	466.52	34.272	17.51
28.75	466.78	25.249	21.729
28.76	467.05	71.311	10.529
28.77	467.31	70.405	9.2477
28.78	467.58	73.556	7.4131
28.79	467.84	71.265	9.247
28.8	468.11	75.827	5.3755
28.81	468.37	84.853	5.7005
28.82	468.64	86.812	4.6232
28.83	468.9	77.321	3.656
28.84	469.17	81.858	3.8527
28.85	469.43	85.305	4.4029
28.86	469.7	79.548	2.8846
28.87	469.96	79.881	2.9236
28.88	470.23	92.735	3.4376
28.89	470.49	77.502	3.1058
28.9	470.76	78.924	2.5205
28.91	471.02	77.321	2.4183
28.92	471.29	82.537	2.6954
28.93	471.55	82.82	2.8644
28.94	471.82	83.309	3.2775
28.95	472.08	81.442	3.247
28.96	472.35	75.684	5.026
28.97	472.61	79.557	5.809
28.98	472.88	75.323	8.3368
28.99	473.14	68.034	12.043
29.01	473.67	56.731	3.2059
29.02	473.94	27.104	4.3122
29.03	474.2	27.9	4.4954
29.04	474.47	30.735	4.5475
29.05	474.73	29.098	3.6842
29.06	475	33.72	4.2419
29.07	475.1	34.289	4.2166
29.08	475.21	30.788	4.0884
29.09	475.31	33.631	4.2713
29.1	475.42	35.974	4.2022
29.11	475.52	46.786	4.5154
29.12	475.63	51.931	3.8543
29.13	475.73	66.085	2.527
29.14	475.84	84.429	1.8944
29.15	475.94	90.378	1.7928
29.16	476.05	88.443	1.3802
29.17	476.15	94.585	1.022
29.18	476.26	87.41	0.84748
29.19	476.36	83.046	0.96698
29.2	476.47	77.509	1.0747
29.21	476.57	75.906	1.0558
29.22	476.68	72.247	1.1556
29.23	476.78	70.068	1.3925
29.24	476.89	65.981	1.6467
29.25	476.99	65.465	1.4947
29.26	477.1	41.049	0.74615
29.27	477.2	77.43	0.75517
29.28	477.31	76.169	0.84884
29.29	477.41	81.983	0.54167
29.3	477.52	90.498	0.45402
29.31	477.62	85.067	0.46834
29.32	477.73	89.272	0.33409
29.33	477.83	83.435	0.4797
29.34	477.94	86.565	0.48107
29.35	478.04	90.638	0.48667
29.36	478.15	87.594	0.53136
29.37	478.25	90.404	0.55924
29.38	478.36	86.78	0.70915
29.39	478.46	92.545	0.46699
29.4	478.57	109.96	1.036
29.41	478.67	93.021	0.795
29.42	478.78	90.799	1.0139
29.43	478.88	112.93	1.3875
29.44	478.99	97.947	1.2756
29.45	479.09	129.55	1.6232
29.46	479.2	100.16	1.8271
29.47	479.3	79.845	1.3162
29.48	479.41	96.24	1.4133
29.49	479.51	96.354	1.4965
29.5	479.62	92.261	1.9324
29.51	479.72	88.776	2.1292
29.52	479.83	91.996	2.4718
29.53	479.93	78.526	2.978
29.54	480.04	53.139	2.4503
29.55	480.14	46.561	2.7955
29.56	480.25	30.582	4.1885
29.57	480.35	19.342	3.9221
29.58	480.46	14.924	4.3785
29.59	480.56	10.056	4.8898
29.6	480.67	10.903	4.3739
29.61	480.77	8.2108	4.5095
29.62	480.88	7.1077	4.4071
29.63	480.98	6.3367	4.7917
29.64	481.09	6.4621	4.11
29.65	481.19	9.654	4.3755
29.66	481.3	16.692	4.3333
29.67	481.4	43.72	2.6565
29.68	481.51	62.941	1.5659
29.69	481.61	63.848	1.455
29.7	481.72	76.575	0.50882
29.71	481.82	77.908	0.31256
29.72	481.93	77.223	0.32974
29.73	482.03	72.647	0.35523
29.74	482.14	75.521	0.35441
29.75	482.24	69.758	0.23606
29.76	482.35	68.926	0.20274
29.77	482.45	76.224	0.27055
29.78	482.56	73.159	0.23788
29.79	482.66	71.3	0.17568
29.8	482.77	77.992	0.24135
29.81	482.87	74.141	0.2547
29.82	482.98	73.692	0.23034
29.83	483.08	76.777	0.1902
29.84	483.19	78.14	0.25784
29.85	483.29	74.943	0.26999
29.86	483.4	73.475	0.20956
29.87	483.5	74.797	0.35636
29.88	483.61	74.898	0.18543
29.89	483.71	79.173	0.2967
29.9	483.82	75.318	0.32298
29.91	483.92	73.68	0.2377
29.92	484.03	77.293	0.28195
29.93	484.13	75.855	0.32283
29.94	484.24	76.228	0.25803
29.95	484.34	76.973	0.33789
29.96	484.45	80.21	0.37216
29.97	484.55	80.319	0.41225
29.98	484.66	79.263	0.34289
29.99	484.76	78.745	0.59388
30	484.87	75.967	0.6729
30.01	484.97	84.884	0.62442
30.02	485.08	88.627	0.84848
30.03	485.18	94.671	1.2802
30.04	485.29	94.882	1.5892
30.05	485.39	91.813	1.2117
30.06	485.5	83.505	1.4521
30.06	485.5	73.707	0.74157
30.07	485.6	72.117	0.76186
30.08	485.71	72.339	0.86506
30.09	485.81	75.69	0.90909
30.1	485.92	77.082	0.489
30.11	486.02	71.612	0.40165
30.12	486.13	69.44	0.30809
30.13	486.23	69.232	0.33216
30.14	486.34	75.773	0.45331
30.15	486.44	73.429	0.33303
30.16	486.55	68.287	0.31346
30.17	486.65	72.708	0.3823
30.18	486.76	69.509	0.41046
30.19	486.86	75.609	0.38846
30.2	486.97	67.535	0.3918
30.21	487.07	72.201	0.40871
30.22	487.18	74.711	0.43762
30.23	487.28	76.515	0.38735
30.24	487.39	72.692	0.36877
30.25	487.49	71.23	0.42831
30.26	487.6	74.212	0.37094
30.27	487.7	68.841	0.34987
30.28	487.81	74.024	0.4298
30.29	487.91	70.565	0.37776
30.3	488.02	73.707	0.46595
30.31	488.12	68.163	0.35426
30.32	488.23	74.39	0.35833
30.33	488.33	70.253	0.44404
30.34	488.44	68.018	0.42921
30.35	488.54	68.709	0.38587
30.36	488.65	73.625	0.52555
30.37	488.75	74.91	0.51539
30.38	488.86	78.033	0.61563
30.39	488.96	74.716	0.60966
30.4	489.07	72.651	0.47414
30.41	489.17	72.383	0.54086
30.42	489.28	71.682	0.58784
30.43	489.38	70.669	0.64933
30.44	489.49	72.547	0.52679
30.45	489.59	68.762	0.48822
30.46	489.7	68.856	0.56837
30.47	489.8	71.082	0.58691
30.48	489.91	69.898	0.566
30.49	490.01	75.286	0.61656
30.5	490.12	73.394	0.54965
30.51	490.22	75.422	0.67684
30.52	490.33	67.232	0.58943
30.53	490.43	77.382	0.6536
30.54	490.54	73.144	0.58135
30.55	490.64	73.012	0.64198
30.56	490.75	70.487	0.61891
30.57	490.85	70.526	0.56798
30.58	490.96	68.496	0.61456
30.59	491.06	66.687	0.58647
30.6	491.17	69.99	0.61433
30.61	491.27	69.594	0.60711
30.62	491.38	72.579	0.67702
30.63	491.48	65.181	0.65955
30.64	491.59	68.242	0.591
30.65	491.69	72.927	0.59457
30.66	491.8	76.398	0.76338
30.67	491.9	70.183	0.65922
30.68	492.01	74.554	0.67205
30.69	492.11	81.426	0.70588
30.7	492.22	75.366	0.67442
30.71	492.32	75.789	0.74423
30.72	492.43	75.403	0.62015
30.73	492.53	72.602	0.56392
30.74	492.64	69.724	0.47042
30.75	492.74	67.339	0.40731
30.76	492.85	69.033	0.33886
30.77	492.95	69.562	0.40054
30.78	493.06	68.591	0.40231
30.79	493.16	70.14	0.32605
30.8	493.27	71.093	0.31302
30.81	493.37	66.542	0.37245
30.82	493.48	70.922	0.39658
30.83	493.58	70.561	0.32609
30.84	493.69	74.405	0.3874
30.85	493.79	67.177	0.27526
30.86	493.9	69.403	0.29423
30.87	494	68.045	0.32583
30.88	494.1	67.352	0.37276
30.89	494.21	66.695	0.3311
30.9	494.31	68.042	0.34878
30.91	494.42	71.87	0.38462
30.92	494.52	69.684	0.38197
30.93	494.63	70.947	0.35273
30.94	494.73	72.237	0.39688
30.95	494.84	71.598	0.36705
30.96	494.94	70.813	0.28278
30.97	495.05	73.133	0.45143
30.98	495.15	69.651	0.3729
30.99	495.26	73.605	0.37322
31	495.36	70.603	0.34882
31.01	495.47	73.28	0.41994
31.02	495.57	71.574	0.38517
31.03	495.68	73.319	0.35668
31.04	495.78	70.583	0.35834
31.05	495.89	73.345	0.37277
31.06	495.99	71.714	0.40166
31.07	496.1	69.998	0.28659
31.08	496.2	72.977	0.34161
31.09	496.31	73.401	0.26892
31.1	496.41	67.827	0.34057
31.11	496.52	69.93	0.3973
31.12	496.62	69.327	0.39621
31.13	496.73	69.451	0.40647
31.14	496.83	72.917	0.37453
31.15	496.94	72.824	0.3444
31.16	497.04	67.244	0.33878
31.17	497.15	68.11	0.404
31.18	497.25	69.625	0.38023
31.19	497.36	72.478	0.39139
31.2	497.46	73.805	0.38777
31.21	497.57	69.736	0.33452
31.22	497.67	70.162	0.37714
31.23	497.78	68.882	0.375
31.24	497.88	69.489	0.47308
31.25	497.99	72.477	0.46321
31.26	498.09	69.144	0.41014
31.27	498.2	71.156	0.37156
31.28	498.3	67.058	0.37083
31.29	498.41	68.409	0.38032
31.3	498.51	69.606	0.3823
31.31	498.62	73.228	0.37192
31.32	498.72	74.221	0.35619
31.33	498.83	66.738	0.35367
31.34	498.93	74.164	0.41932
31.35	499.04	69.793	0.29947
31.36	499.14	66.791	0.4114
31.37	499.25	75.77	0.43265
31.38	499.35	71.687	0.37237
31.39	499.46	71.599	0.39684
31.41	499.67	70.197	0.27916
31.42	499.77	73.71	0.40587
31.43	499.88	73.07	0.33151
31.44	499.98	71.045	0.35284
31.45	500.09	70.853	0.43739
31.46	500.19	70.114	0.35102
31.47	500.3	68.145	0.36104
31.48	500.4	70.743	0.33812
31.49	500.51	72.073	0.39507
31.5	500.61	68.64	0.34208
31.51	500.72	74.562	0.39175
31.52	500.82	73.528	0.38812
31.53	500.93	69.775	0.44039
31.54	501.03	72.877	0.3667
31.55	501.14	73.047	0.38069
31.56	501.24	73.827	0.36475
31.57	501.35	74.163	0.44976
31.58	501.45	75.271	0.41342
31.59	501.56	69.934	0.42255
31.6	501.66	73.416	0.44475
31.61	501.77	77.061	0.4512
31.62	501.87	75.596	0.41732
31.63	501.98	73.553	0.42884
31.64	502.08	73.61	0.48844
31.65	502.19	73.373	0.54641
31.66	502.29	72.665	0.44573
31.67	502.4	75.713	0.45728
31.68	502.5	72.273	0.44413
31.69	502.61	69.578	0.46393
31.7	502.71	74.529	0.53035
31.71	502.82	73.679	0.55784
31.72	502.92	73.087	0.52131
31.73	503.03	78.333	0.60493
31.74	503.13	69.273	0.49547
31.75	503.24	74.168	0.54012
31.76	503.34	67.569	0.51241
