/* DESCRIPTION:
Reference:	Pichevin, L et al. (2007): Evidence of ventilation changes in the Arabian Sea during the late Quaternary: Implication for denitrification and nitrous oxide emission. Global Biogeochemical Cycles, 21, GB4008, https://doi.org/10.1029/2006GB002852
Data from:	https://doi.org/10.1594/PANGAEA.727154
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Total N [%]	δ15N [‰ air]	TOC [%]
8.205	16.707	0.068	3.56	0.38
8.305	16.941	0.08	3.83	0.33
8.405	17.175	0.084	4.21	0.5
8.505	17.407	0.085	3.96	0.42
8.605	17.637	0.102	4.33	0.72
8.705	17.867	0.109	4.61	0.64
8.805	18.095	0.116	5	0.7
8.905	18.321	0.114	4.88	0.75
9.015	18.568	0.114	4.67	0.78
9.105	18.77	0.106	4.67	
9.155	18.881	0.108	4.79	
9.255	19.102	0.115	4.89	0.75
9.305	19.212	0.119	4.78	0.78
9.405	19.432	0.111	4.45	0.74
9.505	19.649	0.104	4.52	0.6
9.605	19.866	0.109	4.64	0.73
9.705	20.08	0.104	4.46	0.69
9.755	20.187	0.114	4.73	
9.855	20.4	0.111	4.52	0.69
9.905	20.506	0.11	4.37	0.76
10.005	20.716	0.115	4.9	0.73
10.005	20.716	0.116	4.97	
10.105	20.925	0.121	5.47	0.81
10.205	21.132	0.114	5.02	0.77
10.305	21.338	0.116	4.84	0.74
10.405	21.543	0.114	4.65	0.65
10.505	21.746	0.128	4.72	0.82
10.605	21.947	0.112	4.64	0.67
10.705	22.148	0.122	5	0.89
10.805	22.346	0.122	4.78	0.85
10.905	22.544	0.123	5	0.76
11.005	22.74	0.149	5.6	1.09
11.105	22.935	0.144	5.73	1.05
11.205	23.128	0.131	5.46	0.79
11.305	23.32	0.142	5.99	1.03
11.405	23.511	0.122	4.94	0.88
11.505	23.7	0.112	4.38	0.69
11.605	23.888	0.09	4.15	0.51
11.705	24.075	0.083	4.11	0.55
11.805	24.261	0.088	4.64	0.54
11.905	24.445	0.083	4.32	0.55
12.015	24.647	0.091	4.33	0.56
12.105	24.811	0.115	4.64	0.75
12.205	24.992	0.118	4.69	0.83
12.305	25.172	0.117	4.5	0.76
12.405	25.351	0.113	4.7	0.78
12.505	25.529	0.129	5.01	1
12.605	25.706	0.096	4.15	0.58
12.705	25.882	0.095	4.53	0.59
12.805	26.057	0.097	4.37	0.57
12.905	26.231	0.112	4.87	0.7
13.005	26.405	0.112	4.47	0.72
13.105	26.577	0.122	4.48	0.98
13.205	26.749	0.124	4.46	0.8
13.305	26.92	0.127	4.46	0.93
13.405	27.09	0.115	4.68	0.83
13.505	27.26	0.117	4.68	0.78
13.605	27.429	0.111	5	0.98
13.705	27.597	0.117	4.93	0.87
13.805	27.765	0.11	4.91	0.76
13.905	27.932	0.166	6.32	1.31
14.005	28.099	0.111	4.4	0.74
14.105	28.265	0.089	3.91	0.5
14.205	28.431	0.09	4.17	0.59
14.305	28.596	0.093	4.11	0.64
14.405	28.761	0.108	4.58	0.74
14.505	28.926	0.148	6.11	1.11
14.605	29.09	0.127	4.54	0.94
14.705	29.255	0.082	4.8	0.5
14.805	29.419	0.079	3.7	0.46
14.905	29.583	0.074	3.92	0.43
15.015	29.763	0.069	4.77	0.4
15.095	29.894	0.064		0.39
15.205	30.074	0.066	5.02	0.46
15.305	30.237	0.07	4.9	0.4
15.405	30.401	0.067	5.05	0.42
15.505	30.565	0.071	5.13	0.49
15.605	30.729	0.086	5.19	0.59
15.705	30.893	0.096	4.69	0.63
15.805	31.057	0.099	5.29	0.75
15.905	31.221	0.08	5.28	0.57
16.005	31.386	0.097	4.59	0.59
16.105	31.551	0.094	4.65	0.55
16.205	31.716	0.097	5.26	0.57
16.305	31.882	0.099	4.7	0.61
16.405	32.048	0.102	5.26	0.68
16.505	32.214	0.11	5.49	0.51
16.605	32.381	0.141	6.64	0.91
16.705	32.549	0.145	6.11	0.94
16.805	32.717	0.104	5.17	0.65
16.905	32.886	0.089	4.38	0.53
17.005	33.055	0.096	4.65	0.59
17.105	33.225	0.099	4.95	0.54
17.205	33.395	0.111	5.52	0.71
17.305	33.566	0.147	6.43	1.03
17.405	33.738	0.131	5.38	0.84
17.505	33.911	0.104	4.61	0.69
17.605	34.085	0.088		0.57
17.705	34.259	0.087	4.76	0.57
17.805	34.434	0.093	4.71	0.58
17.905	34.61	0.1	4.73	0.61
18.015	34.805	0.107	4.93	0.7
18.105	34.965	0.14	6.12	1.06
18.205	35.143	0.144	6.27	0.91
18.305	35.323	0.152	6.39	0.96
