/* DESCRIPTION:
Reference:	Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Data from:	https://doi.org/10.1594/PANGAEA.737142. Accessed 11 Nov 2022.
Comment:	Summer SST is SST for months 7-9.
	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	PO4 [%] (Modern analog technique (MAT)...)	summer SST [°C] (Modern analog technique (MAT)...)
5.51	24.932	9.8	17.8
5.54	25.013	11.2	18.3
5.57	25.094	6.6	10.2
5.6	25.175	10.8	18.5
5.63	25.256	7.5	15.2
5.66	25.338	7.3	15
5.69	25.419	5.8	9.8
5.72	25.5	6.5	11.1
5.75	25.7	4.4	8.9
5.78	25.744	4.6	9
5.81	25.787	6.2	9.8
5.84	25.831	6.2	9.8
5.87	25.875	6	9.8
5.9	25.918	6.5	10.2
5.93	25.962	6.5	10
5.96	26.005	6.8	10.5
5.99	26.049	9.5	16
6.02	26.093	8.4	15.4
6.05	26.136	8.5	12.5
6.08	26.18	8.6	12.7
6.11	26.397	8.4	12.2
6.14	26.614	9.5	14.1
6.17	26.831	12.2	18
6.2	27.048	9.5	16.1
6.23	27.265	9.2	15.9
6.26	27.482	9.3	16
6.29	27.698	8.7	17.5
6.32	27.915	11.1	16.9
6.35	28.132	11.3	18.2
6.38	28.349	8.8	15.6
6.41	28.566	10.9	18
6.44	28.783	11.8	18.4
6.47	29	10.5	17.8
6.5	29.045	5.5	9.8
6.53	29.09	4.9	9.2
6.56	29.136	7.1	14.4
6.59	29.181	5.7	9.7
6.62	29.226	6.8	11.2
6.65	29.271	6.5	11.1
6.68	29.316	6.6	11.2
6.71	29.361	5.5	9.6
6.74	29.407	5.8	9.8
6.77	29.452	6.1	9.5
6.8	29.497	7.4	14.3
6.83	29.542	5.8	13.4
6.86	29.587	4.9	8.9
6.89	29.633	4.3	8.2
6.92	29.678	4.5	8.5
6.95	29.723	4.5	8.6
6.98	29.768	3.9	7.7
7.01	29.813	3.9	7.7
7.04	29.859	3.9	8.2
7.07	29.904	3.3	7.6
7.1	29.949	3.3	7.6
7.13	29.994	3.6	7.6
7.16	30.039	4.2	8.3
7.19	30.084	2.4	6.1
7.22	30.13	2.5	6.8
7.25	30.175	3.9	7.9
7.28	30.22	7.7	16.7
7.31	30.39	7.8	16.7
7.34	30.559	10.3	18
7.37	30.729	8.3	16.8
7.4	30.898	9.4	17.8
7.43	31.068	11	17.3
7.46	31.237	9.2	17.9
7.48	31.35	12.1	17.8
7.51	31.52	8.7	17
7.54	31.96	10.7	17.5
7.57	32.4	8.2	15.8
7.6	32.84	8.3	15.8
7.63	33.28	10.4	18
7.66	33.72	6.2	9.6
7.69	33.91	10.7	18.1
7.72	34.1	9.1	16.5
7.75	34.29	12.7	19.2
7.78	34.48	7.5	15.2
7.82	34.582	11.9	18.4
7.85	34.658	14.3	20
7.88	34.734	8	15.7
7.91	34.81	10.6	18.2
7.94	34.887	12.9	18.5
7.97	34.963	9.1	16.4
