# DESCRIPTION:
# Reference: Martrat, B et al. (2007): Four climate cycles of recurring deep and surface water destabilizations on the Iberian Margin. Science, 317(5837), 502-507, https://doi.org/10.1126/science.1139994.
# Data from: https://doi.org/10.1594/PANGAEA.771890.
# Comment: Alkenone, C37:4 from the original dataset is not included here.

Depth [m],Age [ka BP],SST (1-12) [°C]
16.3284,78.85,16.93
16.413,79.34,17.7
16.5069,79.77,17.87
16.6009,80.12,17.86
16.6761,80.38,17.56
16.7888,80.79,17.93
16.8734,81.04,17.47
16.9768,81.45,17.92
17.0707,81.82,18.48
17.1647,82.19,18.27
17.2399,82.48,18.57
17.3244,82.81,18.58
17.4184,83.18,18.59
17.5124,83.55,18.74
17.6063,83.92,18.84
17.7379,84.44,18.19
17.8225,84.77,16.9
17.9164,85.14,19.45
18.0104,85.51,18.86
18.1044,85.89,14.92
18.1889,86.22,12.73
18.2923,86.63,14.91
18.3863,87,12.85
18.4708,87.34,13.7
18.5554,87.67,10.49
18.6682,88.12,10.69
18.7621,88.21,13.57
18.8561,88.29,14.05
18.95,88.38,14.2
19.044,88.47,14.59
19.1474,88.56,14.52
19.3259,88.72,14.57
19.4293,88.82,14.99
19.4951,88.88,12.86
19.6266,89,19.7
19.7018,91.18,19.27
19.7957,93.91,19.59
19.8803,96.37,19.77
19.9837,99.37,19.79
20.087,102.37,20.08
20.1622,104.55,19.08
20.2656,105.06,14.84
20.3689,105.57,15.4
20.4347,105.9,15.7
20.5287,106.36,17.58
20.5569,106.5,18.59
20.6414,107,18.63
20.726,107.5,19.02
20.8294,108.11,19.06
20.9233,108.67,18.13
21.0173,109.22,18.1
21.1113,110.27,12.38
21.2052,111.12,15.39
21.2898,111.7,17.09
21.3932,112.42,17.18
21.4965,113.14,18.32
21.5905,113.8,18.22
21.6751,114.38,18.41
21.769,115.04,18.1
21.863,115.69,17.96
21.957,116.34,18.38
22.004,116.67,18.38
22.0509,117,18.47
22.1167,117.45,19.61
22.1449,117.65,19.8
22.2013,118.04,19.2
22.2389,118.3,20.52
22.2953,118.7,19.6
22.3422,119.02,20.89
22.3986,119.41,20.7
22.4268,119.61,21.3
22.4644,119.87,21.13
