# DESCRIPTION:
# Reference: Wagner, Bernd; Vogel, Hendrik; Francke, Alexander; Friedrich, Tobias; Donders, Timme H; Lacey, Jack H; Leng, Melanie J; Regattieri, Eleonora; Sadori, Laura; Wilke, Thomas; Zanchetta, Giovanni; Albrecht, Christian; Bertini, Adele; Combourieu-Nebout, Nathalie; Cvetkoska, Aleksandra; Giaccio, Biagio; Grazhdani, Andon; Hauffe, Torsten; Holtvoeth, Jens; Joannin, Sébastien; Jovanovska, Elena; Just, Janna; Kouli, Katerina; Kousis, Ilias; Koutsodendris, Andreas; Krastel, Sebastian; Lagos, Markus; Leicher, Niklas; Levkov, Zlatko; Lindhorst, Katja; Masi, Alessia; Melles, Martin; Mercuri, Anna Maria; Nomade, Sébastien; Nowaczyk, Norbert R; Panagiotopoulos, Konstantinos; Peyron, Odile; Reed, Jane M; Sagnotti, Leonardo; Sinopoli, Gaia; Stelbrink, Björn; Sulpizio, Roberto; Timmermann, Axel; Tofilovska, Slavica; Torri, Paola; Wagner-Cremer, Friederike; Wonik, Thomas; Zhang, Xiaosen (2019): Mediterranean winter rainfall in phase with African monsoons during the past 1.36 million years. Nature, https://doi.org/10.1038/s41586-019-1529-0
# Data from: https://doi.org/10.1594/PANGAEA.896847. Accessed 28 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],TIC [%],TOC [%],Qz peak area,δ13C cal [‰ PDB],δ18O cal [‰ PDB],Quercus deci [%],AP-Pinus [%]
15.15,36.9426,0.11,1.47,,,,,
15.31,37.41985,0.06,1.67,0.27852,,,,
15.47,37.89675,0.07,1.6,,,,,
15.63,38.32235,0.04,1.56,0.2808,,,22.5,48.125
15.79,38.5559,0.06,1.51,,,,,
15.95,38.78785,0.19,1.49,0.28273,,,,
16.11,39.0205,0.1,1.43,,,,,
16.27,39.2524,0.96,1.04,0.34417,,,4.54545,20.7792
16.43,39.48615,0.56,0.98,,,,,
16.59,39.71885,0.19,1.13,0.3142,,,,
16.75,39.9504,0.06,0.72,,,,,
17.07,40.21455,0.13,0.98,0.38428,,,13.1274,18.9189
17.23,40.5473,0.32,0.94,,,,,
17.39,40.87665,0.07,1.03,0.35741,,,,
17.55,41.206,0.14,1.14,,,,,
17.71,41.5375,0.79,0.81,0.33554,,,7.40741,13.3903
17.87,41.8661,0.07,1.06,,,,,
18.03,42.19505,0.05,1.19,0.30297,,,,
18.19,42.5277,0.18,0.95,,,,,
18.35,42.8593,0.13,1.03,0.34251,,,12.7168,21.3873
18.51,43.25815,0.09,1.15,,,,,
18.67,43.6548,0.06,1.28,0.33071,,,,
18.83,44.04815,0.06,1.42,,,,,
18.99,44.4464,0.04,1.35,0.30807,,,21.4765,49.6644
19.15,44.84365,0.11,1.54,,,,,
19.31,45.24115,0.07,1.47,0.29279,,,,
19.47,45.64015,0.28,1.03,,,,,
19.63,46.0366,0.54,0.89,0.33641,,,5.1447,20.9003
19.79,46.44085,0.79,1.02,,,,,
19.95,46.83995,0.13,1.18,0.30362,,,,
20.11,47.24805,0.06,1.33,,,,,
20.27,47.649,0.99,0.96,0.28988,,,7.109,21.327
20.43,48.0482,0.14,1.11,,,,,
20.59,48.43885,0.04,1.28,0.30075,,,,
20.75,48.8416,0.06,1.42,,,,,
20.91,49.24135,0.16,1.14,0.35078,,,8.20513,17.9487
21.07,49.73765,0.14,1.34,,,,,
21.23,50.2533,0.1,1.52,0.3385,,,,
21.39,50.77675,0.09,1.38,,,,,
21.55,51.29545,0.11,1.38,0.32712,,,24.9275,44.9275
21.71,51.8217,0.17,1.49,,,,,
21.87,52.35185,0.17,1.6,0.31344,,,,
22.03,52.87105,0.11,1.53,,,,,
22.19,53.38915,0.08,1.56,0.31769,,,22.6804,45.3608
22.35,53.8685,0.05,1.51,,,,,
22.51,54.3248,0.08,1.54,0.27408,,,,
22.67,54.7786,0.08,1.36,,,,,
22.83,55.24255,0.06,1.36,0.29639,,,31.25,46.875
22.99,55.7086,0.08,1.07,,,,,
23.15,56.16105,1.86,0.91,0.30784,,,,
23.31,56.62365,0.08,1.46,,,,,
23.47,57.08635,0.08,1.26,0.3188,,,30.5476,46.3977
23.63,57.56985,0.19,1.09,,,,,
23.79,58.0956,0.28,0.87,0.32227,,,,
23.95,58.60885,0.25,0.95,,,,,
24.11,59.1252,0.09,1.3,0.31969,,,16.2866,30.2932
24.27,59.6509,0.06,1.34,,,,,
24.43,60.1614,0.08,1.38,0.31396,,,,
24.59,60.68425,0.05,1.33,,,,,
24.75,61.20335,0.18,1.11,0.3477,,,29.2453,48.1132
24.91,61.66485,0.17,1.19,,,,,
25.07,62.03465,0.73,0.85,0.31449,,,,
25.23,62.40595,0.07,1.18,,,,,
25.39,62.7759,0.08,1.15,0.3066,,,20.5556,37.7778
25.55,63.15475,0.57,0.75,,,,,
25.71,63.53795,0.11,0.95,0.37423,,,,
25.87,63.9171,0.14,0.99,,,,,
26.03,64.2965,0.22,1.03,0.35446,,,10.3448,21.8391
26.19,64.68625,0.07,0.96,,,,,
26.35,65.12165,0.21,0.92,0.36451,,,,
26.51,65.56355,0.67,0.69,,,,,
26.67,66.0044,0.16,0.85,0.37376,,,4.51977,14.1243
26.83,66.44165,0.09,0.91,,,,,
26.99,66.8845,0.1,0.92,0.40183,,,,
27.15,67.3222,0.06,0.99,,,,,
27.31,67.76515,0.32,0.95,0.30848,,,8.73016,26.1905
27.47,68.1964,0.02,1.02,,,,,
27.63,68.61695,0.13,0.8,0.36953,,,,
27.79,69.047,1.01,0.78,,,,,
27.95,69.46685,0.12,0.98,0.37703,,,4.96454,12.0567
28.11,69.89355,0.18,1.06,,,,,
28.27,70.33185,0.5,0.92,0.34622,,,,
28.43,70.7599,0.69,0.97,,,,,
28.59,71.18815,0.32,1.08,0.37576,,,1.50376,14.5833
28.75,71.6122,0.52,0.96,0.34444,,,,
28.91,72.0408,0.04,1.18,0.36626,,,,
29.07,72.4648,0.04,1.44,0.32083,,,,
29.23,72.88285,0.04,1.79,0.32381,,,13.3949,45.9584
29.39,73.31325,0.03,1.92,0.27919,,,,
29.55,73.73215,0.19,2.04,0.31678,,,,
29.71,74.15855,0.05,2.04,0.28362,,,,
29.87,74.5871,0.08,2,0.30175,,,36.5482,59.3909
30.03,75.0044,0.51,1.43,0.29442,,,,
30.19,75.4045,0.65,1.35,0.30588,,,,
30.35,75.80565,0.48,1.53,0.27607,,,,
30.51,76.20125,0.82,1.43,0.32355,,,5.90406,21.7012
30.67,76.60565,0.08,2.17,0.28302,,,,
30.83,76.996,0.08,2.46,0.29534,,,,
30.99,77.3943,0.12,2.52,0.25425,,,,
31.15,77.79,0.52,2.72,0.2611,,,19.8474,68.4478
31.31,78.18015,0.24,2.62,0.27586,,,,
31.47,78.5292,0.08,2.03,0.30544,,,,
31.63,78.8641,0.12,1.61,0.29376,,,,
31.79,79.196,0.52,1.49,0.32725,,,8.42787,21.0719
31.95,79.5348,1.01,1.61,0.27504,,,,
32.11,79.873,1.15,2.36,0.26083,,,,
32.26,80.19,0.22,2.31,0.26985,,,,
32.43,80.54485,0.63,2.29,0.29211,0.8,-2.28,34.3629,57.1429
32.59,80.87775,2.78,2.49,0.20053,0.99,-4.43,,
32.75,81.2155,3.35,2.47,0.21827,1.21,-4.08,,
32.91,81.56275,4.43,2.64,0.18542,0.65,-4.86,,
33.07,81.8998,3.37,2.55,0.22846,0.53,-4.98,40.2116,68.254
33.23,82.2367,3.64,2.26,0.19792,0.47,-5.44,,
33.39,82.58285,4.31,2.04,0.20792,0.46,-5.79,,
33.55,82.9296,5.32,2,0.16159,0.68,-5.04,,
33.71,83.2674,5.38,1.81,0.16805,0.7,-5.11,54.3259,75.4667
33.87,83.6042,5.81,1.86,0.1467,0.79,-5.2,,
34.03,83.97765,5.46,1.8,0.16175,0.81,-5.08,,
34.19,84.36715,5.26,2,0.15179,0.9,-4.93,,
34.35,84.76815,2.94,2.19,0.21552,0.91,-4.9,48.6842,71.7105
34.51,85.17155,2.05,1.84,0.23172,1.01,-5.04,,
34.67,85.57615,1.34,1.48,0.2779,1.35,-4.71,,
34.83,85.9804,1.16,1.44,0.26125,1.2,-3.93,,
34.99,86.38485,1.68,1.33,0.28963,2,-3.86,21.7391,34.5756
35.15,86.7925,3.11,1.16,0.2265,2.99,-3.69,,
35.31,87.1898,2.2,1.29,0.25867,2.38,-3.61,,
35.47,87.6003,1.28,1.24,0.26242,1.82,-3.27,,
35.63,88.00535,1.15,1.38,0.28985,2,-2.64,9.02475,17.3217
