# DESCRIPTION:
# Reference: Wagner, Bernd; Vogel, Hendrik; Francke, Alexander; Friedrich, Tobias; Donders, Timme H; Lacey, Jack H; Leng, Melanie J; Regattieri, Eleonora; Sadori, Laura; Wilke, Thomas; Zanchetta, Giovanni; Albrecht, Christian; Bertini, Adele; Combourieu-Nebout, Nathalie; Cvetkoska, Aleksandra; Giaccio, Biagio; Grazhdani, Andon; Hauffe, Torsten; Holtvoeth, Jens; Joannin, Sébastien; Jovanovska, Elena; Just, Janna; Kouli, Katerina; Kousis, Ilias; Koutsodendris, Andreas; Krastel, Sebastian; Lagos, Markus; Leicher, Niklas; Levkov, Zlatko; Lindhorst, Katja; Masi, Alessia; Melles, Martin; Mercuri, Anna Maria; Nomade, Sébastien; Nowaczyk, Norbert R; Panagiotopoulos, Konstantinos; Peyron, Odile; Reed, Jane M; Sagnotti, Leonardo; Sinopoli, Gaia; Stelbrink, Björn; Sulpizio, Roberto; Timmermann, Axel; Tofilovska, Slavica; Torri, Paola; Wagner-Cremer, Friederike; Wonik, Thomas; Zhang, Xiaosen (2019): Mediterranean winter rainfall in phase with African monsoons during the past 1.36 million years. Nature, https://doi.org/10.1038/s41586-019-1529-0
# Data from: https://doi.org/10.1594/PANGAEA.896847. Accessed 28 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],TIC [%],TOC [%],Qz peak area,δ13C cal [‰ PDB],δ18O cal [‰ PDB],Quercus deci [%],AP-Pinus [%]
62.03,159.07765,0.08,0.8,,,,,
62.19,159.267,0.05,0.69,0.33747,,,,
62.35,159.4586,0.31,0.55,,,,,
62.51,159.64295,0.06,0.68,0.37316,,,5,13
62.67,159.85735,0.07,0.71,,,,,
62.83,160.0753,0.12,0.79,0.33266,,,,
62.99,160.3015,0.1,0.72,,,,,
63.15,160.51735,0.05,0.79,0.35276,,,2.33645,16.8224
63.31,160.7351,0.11,0.79,,,,,
63.47,160.9512,0.15,0.92,0.35487,,,,
63.63,161.165,0.85,0.66,,,,,
63.79,161.375,0.06,0.83,0.3504,,,4.73933,13.7441
63.95,161.59345,0.15,0.79,,,,,
64.11,161.8146,0.13,0.75,0.35574,,,,
64.27,162.04245,0.07,0.7,,,,,
64.43,162.26125,0.51,0.7,0.33832,,,4.81283,17.6471
64.59,162.48345,0.08,0.81,,,,,
64.75,162.7037,0.05,0.9,0.32901,,,,
64.91,162.97395,0.06,0.8,,,,,
65.07,163.14255,0.09,0.62,0.33584,,,5.7971,16.9082
65.23,163.3721,0.33,0.7,,,,,
65.39,163.62625,0.52,0.53,0.40056,,,,
65.55,163.87355,0.15,0.87,,,,,
65.71,164.12255,0.07,0.86,0.31398,,,3.53535,21.2121
65.87,164.3747,0.32,0.58,,,,,
66.03,164.62605,0.2,0.77,0.3303,,,,
66.19,164.87885,0.08,0.87,,,,,
66.35,165.1314,0.27,0.69,0.31599,,,2.89855,16.9082
66.51,165.3819,0.11,0.87,,,,,
66.67,165.6326,0.12,0.75,0.30716,,,,
66.83,165.88085,0.53,0.48,,,,,
66.99,166.1286,0.67,0.65,0.29284,,,2.98507,16.9154
67.15,166.38655,0.28,0.78,,,,,
67.31,166.6318,0.14,0.66,0.29372,,,,
67.47,166.87785,0.16,0.84,,,,,
67.63,167.1151,0.53,0.61,0.30034,,,15.1961,42.6471
67.79,167.35315,0.11,0.79,,,,,
67.95,167.58645,1.29,0.82,0.29656,,,,
68.11,167.81605,0.5,0.85,,,,,
68.27,168.0568,0.17,0.57,0.3029,,,7.8125,20.3125
68.43,168.28955,0.68,0.47,,,,,
68.59,168.52645,0.3,0.72,0.31887,,,,
68.75,168.76855,0.48,0.8,,,,,
68.91,169.00535,0.21,0.83,0.28545,,,4.9505,15.8416
69.07,169.2405,0.33,0.89,,,,,
69.23,169.4674,0.25,0.98,0.28863,,,,
69.39,169.69375,0.11,1.11,,,,,
69.55,169.9233,0.04,1.44,0.28796,,,6.73575,20.2073
69.71,170.1474,0.02,1.3,,,,,
69.87,170.37495,0.04,1.06,0.31988,,,,
70.03,170.60225,0.07,0.99,,,,,
70.19,170.82795,0.13,0.88,0.34485,,,3.90244,12.1951
70.35,171.06235,0.57,0.77,,,,,
70.51,171.27055,0.64,0.74,0.34228,,,,
70.67,171.48925,0.17,0.83,,,,,
70.84,171.721,0.17,0.82,0.32619,,,3.53535,13.6364
70.99,171.9305,0.17,0.92,,,,,
71.15,172.15965,0.42,0.78,0.3292,,,,
71.31,172.37985,0.55,0.81,,,,,
71.47,172.60685,0.52,0.87,0.34178,,,5.72917,19.2708
71.63,172.8293,0.39,0.91,,,,,
71.79,173.06695,0.04,1.16,0.32016,,,,
71.95,173.3122,0.1,1.23,,,,,
72.11,173.55185,0.09,1.03,0.33121,,,5.47264,17.4129
72.27,173.80005,0.14,1.07,,,,,
72.43,174.04545,0.23,0.98,0.3194,,,,
72.59,174.2874,0.55,0.94,,,,,
72.75,174.53755,0.28,0.99,0.32591,,,7.1066,25.3807
72.91,174.7837,0.55,0.92,,,,,
73.07,175.0121,0.18,1.02,0.32418,,,,
73.23,175.2361,0.22,1.03,,,,,
73.39,175.45855,0.55,0.9,0.3045,,,14.5,32.5
73.55,175.68815,0.29,1.11,,,,,
73.71,175.91625,0.23,1.05,0.30196,,,,
73.87,176.14535,0.27,1.16,,,,,
74.03,176.3753,0.32,1.22,0.3054,,,5.64103,28.2051
74.19,176.6028,0.21,1.23,,,,,
74.35,176.81905,0.31,1.19,0.2871,,,,
74.51,177.01975,0.08,1.14,,,,,
74.67,177.2208,0.2,1.14,0.26492,,,12.234,26.5957
74.83,177.42355,0.08,1.13,,,,,
74.99,177.62975,0.06,0.96,0.26128,,,,
75.15,177.83145,0.07,0.82,,,,,
75.31,178.0325,1.35,0.8,0.25548,,,7.8125,19.7917
75.47,178.23755,0.56,0.69,,,,,
75.63,178.44555,0.17,0.78,0.33723,,,,
75.79,178.65765,0.18,0.91,,,,,
75.95,178.87145,0.6,0.94,0.27235,,,7.34463,16.3842
76.11,179.08555,0.19,0.99,,,,,
76.27,179.29735,0.21,0.89,0.28944,,,,
76.43,179.513,0.75,0.86,,,,,
76.59,179.724,0.17,1.01,0.26288,,,12.6904,30.4569
76.75,179.93555,0.72,1,,,,,
76.91,180.161,0.09,1.15,,,,,
77.07,180.4006,0.06,1.04,,,,,
77.23,180.6387,0.06,1.14,0.28908,,,23.4637,37.4302
77.39,180.8834,0.06,1,,,,,
77.55,181.12455,0.05,1.2,0.32385,,,,
77.71,181.36795,0.2,0.83,,,,,
77.87,181.6072,0.21,0.72,0.33205,,,8.71795,25.641
78.03,181.84395,0.38,0.73,,,,,
78.19,182.08615,0.11,0.81,0.32076,,,,
78.35,182.35795,0.07,0.81,,,,,
78.51,182.6283,0.08,0.84,0.31711,,,10.3139,30.4933
78.67,182.89735,0.66,0.76,,,,,
78.83,183.16725,0.56,0.78,0.35162,,,,
78.99,183.4325,0.07,0.79,,,,,
79.15,183.69415,0.04,0.84,0.32438,,,10.3627,26.943
79.31,183.956,0.03,0.9,,,,,
79.47,184.21135,0.04,0.9,0.30944,,,,
79.63,184.42955,0.29,1.12,,,,,
79.79,184.65405,1.18,0.82,0.32688,,,1.60428,13.369
79.95,184.87935,0.57,0.86,,,,,
80.11,185.09695,0.16,0.78,0.33128,,,,
80.27,185.31855,0.23,0.97,,,,,
80.43,185.53835,0.09,1.36,0.26973,,,17.765,41.2607
80.59,185.76295,0.08,1.43,,,,,
80.75,185.9784,0.13,1.71,0.29562,,,,
80.91,186.242,0.13,1.96,,,,,
81.07,186.5075,0.04,1.58,0.31642,,,44.385,80.4813
81.23,186.776,0.15,1.5,,,,,
81.39,187.0456,1.1,1.36,0.27793,,,,
81.55,187.31515,0.08,1.52,,,,,
81.71,187.577,0.1,1.32,0.31808,,,36.5079,70.4762
81.87,187.84465,0.34,1.21,,,,,
82.03,188.11895,0.26,1.33,0.29845,,,,
82.19,188.3675,0.12,1.15,,,,,
82.34,188.5998,0.88,1.16,0.2907,,,13.3145,32.5779
82.51,188.862,0.19,1.33,,,,,
82.67,189.1071,0.09,1.22,0.30605,,,,
82.83,189.3572,0.5,1.46,,,,,
82.99,189.60765,0.13,1.43,0.29938,,,17.8392,48.995
83.15,189.8421,0.32,1.39,,,,,
83.31,190.0853,0.17,1.42,0.3031,,,,
83.47,190.3264,0.22,1.29,,,,,
83.63,190.5697,0.32,1.53,0.27871,,,14.2466,37.2603
83.79,190.79795,0.47,1.62,,,,,
83.95,191.03475,0.13,1.73,0.30005,,,,
84.11,191.27445,0.25,1.58,,,,,
84.27,191.51695,0.09,1.39,0.30163,,,14.3836,40.411
84.43,191.75385,0.19,1.77,,,,,
84.59,191.99575,1.26,1.43,0.28722,,,,
84.75,192.23485,0.35,1.72,,,,,
84.91,192.4736,0.14,1.65,0.2929,,,16.5414,39.0977
85.07,192.7117,0.18,1.86,,,,,
85.23,192.9428,0.23,1.68,0.30232,,,,
85.39,193.18855,0.14,1.51,,,,,
85.55,193.4274,0.87,1.82,0.2599,,,8.85714,33.7143
85.72,193.6751,0.18,1.89,,,,,
85.87,193.9038,0.2,2.23,0.26834,,,,
86.03,194.15385,0.09,3.08,,,,,
86.19,194.4242,0.07,2.96,0.27923,,,6.07287,95.9514
86.35,194.6879,0.63,3.44,,,,,
86.51,194.9647,1.9,3.34,0.22266,,,,
86.67,195.2341,0.16,1.41,,,,,
86.83,195.50855,0.2,1.21,0.31266,,,12.4669,35.809
86.99,195.77885,0.07,1.12,,,,,
87.15,196.0469,0.24,1.23,0.29912,,,,
87.31,196.3344,0.55,1.17,,,,,
87.47,196.65175,3.84,0.91,0.22397,,,16.9591,33.9181
87.63,196.96905,1.29,1.21,,0.34,-3.36,,
87.79,197.28775,1.92,1.18,0.27037,0.9,-3.88,,
87.95,197.6049,0.74,1.81,,-0.08,-5.72,,
88.11,197.91425,0.87,2.29,0.24502,-0.1,-5.97,28.5714,51.7857
88.27,198.2315,1.44,2.03,,-0.15,-6.01,,
88.43,198.55195,1.21,2.39,0.25264,0.28,-5.82,,
88.59,198.8571,1.04,1.3,,1,-5.3,,
88.75,199.13565,2.68,1.23,0.24257,1.02,-4.4,22.6744,34.8837
88.91,199.4142,2.98,1.13,,1.62,-4.71,,
89.07,199.69495,1.69,1.26,0.28295,0.16,-4.89,,
89.23,199.97505,3.68,1.32,,0.24,-6.11,,
89.39,200.24835,5.87,0.73,0.15699,0.29,-5.77,48.6239,70.6422
89.55,200.53475,6.52,0.83,,0.53,-5.6,,
89.71,200.80775,6.85,1.41,0.15404,1.05,-5.45,,
89.87,201.08675,7.28,1.77,,1.33,-4.76,,
90.03,201.3574,7.25,2.32,0.13449,0.72,-5.73,53.3089,70.2206
90.19,201.6211,6.93,1.67,,0.49,-6.34,,
90.35,201.8892,6.12,2.21,0.15334,0.63,-6.03,,
90.51,202.15925,4.41,2.47,,0.35,-6.36,,
90.67,202.4313,4.94,2.26,0.19913,0.7,-6.3,41.0139,68.6636
90.83,202.70185,3.2,2.27,,0.64,-6.47,,
90.99,202.97095,3.04,1.53,0.27121,1.09,-5.24,,
91.15,203.2414,3.05,2.04,,1.16,-5.28,,
91.31,203.52945,2.51,2.16,0.25623,0.67,-5.98,41.2301,58.7699
91.47,203.82685,2.09,1.72,,0.91,-5.52,,
91.63,204.1151,2.06,1.47,0.26308,1.15,-4.69,,
91.79,204.4038,1.32,1.43,,0.95,-4.34,,
91.95,204.69755,2.45,1.43,0.24753,1.57,-4.4,0.33956,32.7674
92.11,204.992,1.42,1.12,,0.73,-4.61,,
92.27,205.29295,1.15,1.27,0.29485,0.38,-5.01,,
92.43,205.5799,2.63,1.62,,-0.01,-5.49,,
92.59,206.1052,2.94,1.73,0.2384,-0.23,-5.39,0.83333,89.2116
92.75,206.6666,2.23,1.89,,-0.62,-5.27,,
92.91,207.2228,2.39,1.91,0.24108,-0.62,-5.93,,
93.07,207.7762,2.44,1.97,,-0.34,-5.2,,
93.23,208.3335,1.62,1.93,0.24844,-0.64,-5.6,9.41935,86.3226
93.39,208.88755,2.29,2.09,,-0.64,-5.39,,
93.55,209.4367,2.3,2.03,0.24021,-0.37,-5.16,,
93.71,209.98665,3.62,1.65,,-0.72,-5.52,,
93.87,210.4645,3.64,1.73,0.21233,-1.07,-6,22.4756,84.3648
94.03,210.91215,4.2,1.89,,-0.68,-4.88,,
94.19,211.36655,5.19,2,0.19552,-0.65,-4.78,,
94.35,211.80895,5.65,2.23,,-0.83,-5.33,,
94.51,212.25745,6.05,1.57,0.17119,-0.84,-5.16,19.2394,74.4966
94.67,212.707,6.17,1.66,,-0.85,-4.99,,
94.83,213.15215,6,1.66,0.17146,-1.09,-5.48,,
94.99,213.60565,6.36,2.22,,-0.8,-5.12,,
95.15,214.11995,7.1,1.78,0.15947,-1.16,-6.02,23.4375,76.6355
95.31,214.69655,7.5,2.07,,-0.62,-5.11,,
95.47,215.262,6.35,2.48,0.14862,-0.22,-5.24,,
95.63,215.83,6.3,2.72,,-0.05,-5.22,,
95.79,216.40255,5.5,3.65,0.16523,0.08,-5.69,39.4881,75.5027
95.96,217.0072,5.09,3.42,,0.21,-6.24,,
96.11,217.5321,4.66,3.46,0.19153,0.39,-6.22,,
96.27,218.0837,1.41,1.72,,0.27,-6.37,,
96.43,218.6878,0.11,1.28,0.29896,,,26.6941,44.3763
96.59,219.3229,0.09,1.16,,,,,
96.75,219.96755,0.07,1,0.30734,,,,
96.91,220.60025,1.15,0.88,,,,,
97.07,221.25125,0.2,0.84,0.30312,,,11.5993,34.2707
97.23,221.9039,0.1,0.85,,,,,
97.39,222.56495,0.1,0.78,0.31338,,,,
97.55,223.22525,0.49,0.77,,,,,
97.71,223.793,0.16,0.82,0.33833,,,14.8148,45.8333
97.87,224.2072,0.22,0.79,,,,,
98.03,224.6245,0.2,0.62,0.33285,,,,
98.19,225.0413,0.09,0.62,,,,,
98.35,225.4518,0.75,0.77,0.31271,,,9.25926,36.1111
98.51,225.8651,0.22,0.75,,,,,
98.67,226.2721,1.03,0.8,0.30278,,,,
98.83,226.67465,0.21,0.84,,,,,
98.99,227.05845,0.05,0.86,0.31232,,,34.1991,60.6061
99.15,227.38715,0.04,0.83,,,,,
99.31,228.0273,0.37,0.91,0.31812,,,,
99.47,228.04815,0.56,0.93,,,,,
99.63,228.3832,0.27,1.1,0.29851,,,10.3093,20.1031
99.79,228.71405,0.39,1.24,,,,,
99.95,229.04555,0.19,1.25,0.32147,,,,
100.11,229.3789,0.13,1.48,,,,,
100.27,229.711,0.11,1.79,0.2816,,,28.3334,69.5833
100.43,230.04945,0.07,1.74,,,,,
100.59,230.39835,0.27,1.64,0.21105,,,,
100.75,230.7385,0.05,1.87,,,,,
100.91,231.08715,0.24,1.16,0.34475,,,20.7964,38.4956
101.07,231.43975,0.05,1.37,,,,,
101.23,231.78505,0.64,1.06,0.33164,,,,
101.39,232.11785,0.52,1.13,,,,,
101.55,232.4559,0.34,1.37,0.35146,,,6.04396,15.9341
101.71,232.80485,0.09,1.48,,,,,
101.87,233.15105,0.06,1.64,0.28627,,,,
102.03,233.50355,0.04,1.73,,,,,
102.19,233.8522,0.03,1.58,0.33094,,,30.0971,64.0777
102.35,234.19755,1.36,1.29,,,,,
102.51,234.5446,0.08,1.78,0.27865,,,,
102.67,234.8896,0.08,1.75,,,,,
102.83,235.2372,0.05,1.71,0.29537,,,15.4639,73.1959
102.99,235.56605,0.08,1.85,,,,,
103.15,235.8805,0.69,1.6,0.28247,-0.33,-5.21,,
103.31,236.20655,1.4,1.92,,-0.5,-5.16,,
103.47,236.51855,1.79,1.94,0.27621,-0.71,-5.57,32.1544,76.8489
103.63,236.8427,1.47,2.75,,-0.51,-5.54,,
103.79,237.1628,2.93,2.1,0.22774,-0.41,-5.65,,
103.95,237.48195,3.87,2.36,,-0.41,-5.32,,
104.11,237.7998,3.83,2.42,0.17738,-0.57,-5.56,29.0124,64.8148
104.27,238.15725,4.23,2.26,,-0.31,-5.13,,
104.43,238.5312,4.53,2.56,0.15593,-0.53,-5.89,,
104.59,238.89825,5.11,2.67,,-0.58,-5.53,,
104.75,239.26705,5.42,2.49,0.14363,-0.6,-6,45.6522,85.0242
104.9,239.6046,4.98,1.77,,-0.51,-5.81,,
105.07,239.9861,5.56,1.86,0.1384,-0.21,-5.73,,
105.23,240.35005,5.18,2.15,,-0.06,-5.89,,
105.39,240.7127,5.38,2.28,0.13598,0,-6.01,64.1115,84.4367
105.55,241.02585,5.38,2.09,,0.01,-6.18,,
105.71,241.32175,3.21,2.88,0.21225,0.13,-6.23,,
105.87,241.61035,1.56,1.31,,0.51,-6.41,,
106.03,241.91665,0.51,1.1,0.32751,,,21.0084,26.8908
106.19,242.2081,0.14,0.94,,,,,
106.35,242.5091,0.14,0.72,0.36077,,,,
106.51,242.80545,1.46,0.71,,,,,
106.67,243.1036,0.48,0.75,0.3932,,,4.95049,21.4521
106.83,243.408,0.1,0.77,,,,,
106.99,243.72885,0.08,0.84,0.31954,,,,
107.15,244.04245,0.17,0.93,,,,,
107.31,244.37275,0.18,0.93,0.35846,,,3.74707,21.7799
107.47,244.70255,0.23,0.87,,,,,
107.63,245.0279,0.43,0.93,0.31794,,,,
107.79,245.3591,0.15,0.88,,,,,
107.95,245.693,0.1,1.01,0.34458,,,4.13534,16.1654
108.11,246.01505,0.11,1.12,,,,,
108.27,246.31985,0.08,1.1,0.28124,,,,
108.43,246.6271,0.77,1.1,,,,,
108.59,246.9352,0.42,1.25,0.26601,,,9.73154,34.5638
108.75,247.24815,0.17,1.18,,,,,
108.91,247.55365,0.11,1.07,0.29796,,,,
109.07,247.86345,0.15,1.26,,,,,
109.23,248.18005,0.81,0.95,0.30759,,,0,0
109.39,248.5157,0.52,0.96,,,,,
109.55,248.9041,0.2,1.15,0.33974,,,,
109.71,249.2954,0.06,1.5,,,,,
109.87,249.68525,0.05,1.68,0.31104,,,8.33334,35.0694
110.03,250.0693,0.07,1.21,,,,,
110.19,250.43815,0.63,1.18,0.31024,,,,
110.35,250.82265,0.95,1.3,,,,,
110.51,251.1956,0.08,1.09,0.30177,,,4.51128,27.8195
110.67,251.58405,0.14,1.29,,,,,
110.83,251.9927,0.18,1.18,0.30382,,,,
110.99,252.41125,0.11,1.12,,,,,
111.15,252.8258,0.09,1.18,0.3171,,,5.65371,32.5088
111.31,253.24045,0.14,1.19,,,,,
111.47,253.6584,0.3,1.16,0.32023,,,,
111.63,254.07265,0.07,1.22,,,,,
111.79,254.4933,0.2,1.17,0.31435,,,3.19634,21.4612
111.95,254.9009,1,1.24,,,,,
112.11,255.36515,0.19,1.4,0.293,,,,
112.27,255.83075,0.19,1.39,,,,,
112.43,256.29085,0.2,1.41,0.26664,,,4.91803,25
112.59,256.7648,0.11,1.42,,,,,
112.75,257.2241,0.1,1.37,0.30542,,,,
112.91,257.68135,0.07,1.26,,,,,
113.07,258.1437,0.05,1.3,0.28127,,,3.80228,26.616
113.23,258.59705,0.04,1.18,,,,,
113.39,259.09145,0.04,1.21,0.30842,,,,
113.55,259.585,0.3,0.86,,,,,
113.71,260.07335,1.59,0.99,0.30246,,,2.35849,18.8679
113.87,260.56465,0.11,1.05,,,,,
114.03,261.06125,0.06,1.08,0.29936,,,,
114.19,261.5409,0.08,0.87,,,,,
114.35,262.0322,0.09,1.11,0.31735,,,4.32099,16.6667
114.52,262.5441,0.03,0.95,,,,,
114.67,262.942,0.02,0.89,0.33031,,,,
114.83,263.3548,0.23,0.8,,,,,
114.99,263.7639,0.26,1,0.33844,,,0,0
115.15,264.1779,0.1,1.05,,,,,
115.31,264.5836,0.1,0.95,0.30869,,,,
115.47,264.99575,0.05,0.96,,,,,
115.63,265.41485,0.08,1.03,0.32467,,,2.82685,15.5477
115.79,265.83265,0.04,0.94,,,,,
115.95,266.22145,0.11,0.83,0.33806,,,,
116.11,266.6249,0.34,0.77,,,,,
116.27,267.02265,0.94,0.73,0.34203,,,5.51725,24.1379
116.43,267.4253,0.18,0.72,,,,,
116.59,267.8192,0.17,0.69,0.37496,,,,
116.75,268.2159,0.29,0.91,,,,,
116.91,268.6173,0.17,0.67,0.39613,,,0,0
117.07,269.01135,0.07,0.6,,,,,
117.23,269.42335,0.16,0.7,0.3497,,,,
117.39,269.8385,0.47,0.73,,,,,
117.57,270.3201,0.18,0.71,0.33915,,,4.3307,18.5039
117.71,270.6835,0.28,0.7,,,,,
117.87,271.10325,0.3,0.66,0.39865,,,,
118.03,271.5242,0.43,0.63,,,,,
118.19,271.95225,0.09,0.59,0.37455,,,1,21
118.35,272.37625,0.19,0.69,,,,,
118.51,272.78525,0.16,0.63,0.40442,,,,
118.67,273.1653,0.08,0.58,,,,,
118.83,273.55205,1.68,0.7,0.31476,,,4.33071,20.8661
118.99,273.9399,0.21,0.7,,,,,
119.15,274.3203,0.13,0.67,0.38465,,,,
119.31,274.6959,0.42,0.71,,,,,
119.46,275.12945,0.59,0.76,0.36814,,,2.88066,14.8148
119.63,275.45795,0,0.8,,,,,
119.79,275.828,0,0.86,0.37773,,,,
119.95,276.17295,0.08,0.76,,,,,
120.11,276.5199,0.24,0.84,0.34528,,,1.78571,27.6786
120.27,276.86995,0.13,0.78,,,,,
120.43,277.2131,0.1,0.81,0.31839,,,,
120.59,277.556,0.79,0.86,,,,,
120.75,277.89115,0.06,0.84,0.36721,,,1.40845,12.6761
120.91,278.2357,0.08,0.77,,,,,
121.07,278.57965,1.37,0.94,0.32534,,,,
121.23,278.93515,0.24,0.9,,,,,
121.39,279.29375,0,1.09,0.37398,,,1.07527,17.2043
121.55,279.65125,0.07,1.04,,,,,
121.71,280.0096,0.07,0.79,0.3683,,,,
121.87,280.3717,0.34,1.01,,,,,
122.03,280.7247,0.33,1.17,0.35576,,,0.73801,9.9631
122.19,281.08065,0.14,1.1,,,,,
122.35,281.43105,0.19,1.3,0.28186,,,,
122.51,281.76635,0.08,1.72,,,,,
122.67,282.10625,0.1,1.96,0.27971,,,3.62903,31.4516
122.83,282.43835,0.8,2.38,,,,,
122.99,282.77925,1.22,1.8,0.2721,,,,
123.15,283.1134,1.43,1.34,,,,,
123.31,283.4576,1.4,1.56,0.28705,,,1.70068,17.6871
123.47,283.80325,0.08,2.15,,,,,
123.63,284.1448,0.28,2.47,0.27868,,,,
123.79,284.5643,0.13,3.2,,,,,
123.95,284.9992,0.75,3.12,0.28089,,,4.71976,41.0029
124.11,285.43095,1.27,3.36,,,,,
124.27,285.8525,1.07,3.42,0.23247,,,,
124.43,286.28235,1.39,2.89,,-0.22,-6.8,,
124.59,286.71635,2.1,2.7,0.23528,-0.1,-5.69,5.92335,37.9791
124.75,287.14585,3,2.9,,-0.25,-6.02,,
124.91,287.5801,3.65,2.69,0.19077,0.28,-6.26,,
125.07,288.0089,3.7,3.1,,0.04,-6.56,,
125.23,288.4365,4.02,3.1,0.17818,0.12,-6.63,33.8871,77.4086
125.39,288.8618,4.27,3.28,,0.07,-6.52,,
125.55,289.28545,4.9,2.99,0.15865,0.2,-6.76,,
125.71,289.71075,4.83,3.24,,0.17,-6.68,,
125.87,290.13465,4.97,2.97,0.15424,0.28,-6.5,58.1081,83.2432
126.03,290.5524,4.29,2.95,,0.31,-6.71,,
126.19,290.96615,3.87,2.67,0.18314,0.32,-6.86,,
126.35,291.3565,3.41,2.5,,0.24,-6.64,,
126.51,291.7247,3.19,2.23,0.2102,0.75,-6.67,47.4801,77.1883
126.67,292.10125,2.83,2.05,,0.63,-6.99,,
126.83,292.4742,2.4,2.11,0.22124,1.1,-6.64,,
126.99,292.8552,2.08,1.64,,,,,
127.15,293.2335,1.37,1.57,0.25215,,,33.4559,45.5882
127.31,293.612,0.87,1.47,,,,,
127.47,293.9926,0.78,1.31,0.30619,,,,
127.63,294.3704,0.55,1.17,,,,,
127.79,294.7364,1.07,1.24,0.28266,,,17.1014,33.0435
127.95,295.10575,0.69,1.08,,,,,
128.11,295.48955,0.94,1.17,0.3135,,,,
128.27,295.8722,0.48,1.08,,,,,
128.43,296.25155,0.18,0.97,0.31944,,,17.9487,31.0897
128.59,296.63245,1.17,1.14,,,,,
128.75,297.00465,0.41,1.02,0.30979,,,,
128.91,297.3512,0.36,1.29,,,,,
129.06,297.6403,0.36,1.17,0.30105,,,31.1111,54.8148
129.23,297.9625,0.41,1.05,,,,,
129.39,298.26905,0.17,1.42,0.28357,,,,
129.55,298.5718,0.89,1.67,,,,,
129.71,298.88055,0.99,1.77,0.28228,,,52.0548,83.5616
129.87,299.17115,1.08,1.58,,,,,
130.03,299.46765,0.83,1.87,0.27901,,,,
130.19,299.75655,0.63,1.58,,,,,
130.35,300.04145,0.78,1.3,0.31945,,,14.375,43.125
130.51,300.3285,0.36,1.19,,,,,
130.67,300.6178,0.88,1.29,0.30192,,,,
130.83,300.90685,0.33,1.35,,,,,
130.99,301.1976,0.37,1.57,0.29309,,,0,0
131.15,301.49,0.4,1.52,,,,,
131.31,301.77605,0.23,1.66,0.29025,,,,
131.47,302.06125,0.31,1.69,,,,,
131.63,302.36375,0.21,1.8,0.30141,,,11.8919,32.4324
131.79,302.661,0.29,1.99,,,,,
131.95,302.966,0.29,2.2,0.26674,,,,
132.11,303.2657,1.17,2.25,,,,,
132.28,303.58165,0.62,2.19,0.26699,,,29.8611,71.5278
132.43,303.8612,1.08,2.33,,,,,
132.59,304.15405,1.32,2.65,0.23547,,,,
132.75,304.455,1.43,2.13,,,,,
132.91,304.78535,0.28,1.71,0.31114,,,34.4828,62.069
133.07,305.1204,0.57,1.46,,,,,
133.23,305.44965,0.53,1.48,0.30274,,,,
133.39,305.78205,0.13,1.85,,,,,
133.55,306.112,0.65,2.82,0.25849,,,16.312,68.7943
133.71,306.4449,1.15,2.86,,,,,
133.87,306.7705,1.01,3.02,0.22848,,,,
134.03,307.1086,1,2.65,,,,,
134.19,307.43015,1.48,2.78,0.24821,-0.46,-5.75,12.8571,66.4286
134.35,307.76175,1.88,3.18,,-0.54,-6.31,,
134.51,308.0942,2.1,3.11,0.23399,0.12,-6.21,,
134.66,308.4025,3.08,2.9,,0.85,-5.85,,
134.83,308.75555,3.05,3.25,0.21484,0.12,-5.76,27.4854,73.0994
134.99,309.08065,2.03,2.69,,-0.37,-6.39,,
135.15,309.4116,2.74,2.29,0.22969,1.13,-5.28,,
135.31,309.74265,1.26,1.46,,,,,
135.47,310.04175,0.15,1.76,0.29241,,,5.9761,24.7012
135.63,310.331,0.83,2.45,,,,,
135.79,310.62165,2.68,3.12,0.22514,-0.13,-7.35,,
135.95,310.9071,3.14,2.99,,0.2,-6.76,,
136.12,311.21735,3.57,3.14,0.19228,-0.06,-7.28,35.8974,68.5897
136.27,311.4806,3.14,3.41,,0.17,-6.84,,
136.43,311.77455,3.25,1.95,0.25442,0.52,-6.66,,
136.59,312.0641,2.95,2.42,,0.45,-6.46,,
136.75,312.35545,4.2,2.41,0.21855,0.51,-6.46,38.0711,71.5736
136.91,312.6569,4.18,2.51,,0.65,-6.35,,
137.07,312.95835,4.38,2.27,0.19828,0.53,-6.63,,
137.23,313.25785,4.48,2.45,,0.6,-6.65,,
137.39,313.56065,4.39,2.79,0.19234,0.79,-6.47,46.332,81.8533
137.55,313.8567,4.91,2.15,,0.62,-6.58,,
137.71,314.16345,4.63,2.52,0.19631,0.64,-6.65,,
137.87,314.46365,5.06,2.38,,0.75,-6.64,,
138.03,314.76275,4.18,2.39,0.18075,0.6,-6.73,57.9861,83.6806
138.19,315.0649,5.5,2.24,,0.8,-6.22,,
138.35,315.3717,4.82,2.31,0.19421,0.68,-6.47,,
138.51,315.68395,3.43,1.81,,1.1,-5.66,,
138.67,315.9959,4.29,1.89,0.18492,0.89,-5.78,54.1199,79.4007
138.83,316.3031,3.54,1.53,,1.17,-5.39,,
