# DESCRIPTION:
# Reference: Sun, Y., S.C. Clemens, Z. An, and Z. Yu. 2006. Astronomical timescale and palaeoclimatic implication of stacked 3.6-Myr monsoon records from the Chinese Loess Plateau. Quaternary Science Reviews, Vol. 25 pp. 33-48. https://doi.org/10.1016/j.quascirev.2005.07.005.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5602. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [Ka BP],Stacked Mean Grain Size,Stacked magnetic susceptibility
1266,0.255,0.166
1267,0.293,0.187
1268,0.319,0.189
1269,0.292,0.193
1270,0.338,0.219
1271,0.428,0.226
1272,0.418,0.23
1273,0.394,0.236
1274,0.419,0.248
1275,0.403,0.259
1276,0.405,0.254
1277,0.362,0.233
1278,0.35,0.254
1279,0.346,0.25
1280,0.338,0.239
1281,0.307,0.221
1282,0.278,0.197
1283,0.299,0.189
1284,0.334,0.189
1285,0.309,0.189
1286,0.211,0.165
1287,0.132,0.114
1288,0.238,0.103
1289,0.294,0.097
1290,0.294,0.098
1291,0.248,0.052
1292,0.263,0.047
1293,0.274,0.058
1294,0.231,0.046
1295,0.258,0.056
1296,0.233,0.061
1297,0.218,0.068
1298,0.265,0.054
1299,0.257,0.053
1300,0.18,0.06
1301,0.181,0.044
1302,0.262,0.041
1303,0.298,0.053
1304,0.239,0.067
1305,0.243,0.068
1306,0.312,0.075
1307,0.37,0.077
1308,0.328,0.08
1309,0.347,0.089
1310,0.427,0.099
1311,0.49,0.11
1312,0.464,0.121
1313,0.437,0.143
1314,0.506,0.145
1315,0.572,0.145
1316,0.503,0.145
1317,0.444,0.162
1318,0.476,0.231
1319,0.444,0.219
1320,0.458,0.234
1321,0.481,0.264
1322,0.507,0.252
1323,0.497,0.232
1324,0.511,0.205
1325,0.57,0.227
1326,0.571,0.237
1327,0.548,0.245
1328,0.567,0.252
1329,0.517,0.245
1330,0.489,0.221
1331,0.597,0.194
1332,0.565,0.181
1333,0.563,0.18
1334,0.515,0.16
1335,0.548,0.16
1336,0.57,0.143
1337,0.492,0.131
1338,0.489,0.117
1339,0.514,0.131
1340,0.483,0.124
1341,0.443,0.1
1342,0.445,0.111
1343,0.442,0.117
1344,0.454,0.145
1345,0.447,0.155
1346,0.41,0.177
1347,0.447,0.188
1348,0.437,0.203
1349,0.529,0.21
1350,0.611,0.215
1351,0.546,0.224
1352,0.515,0.237
1353,0.51,0.271
1354,0.525,0.282
1355,0.525,0.263
1356,0.508,0.25
1357,0.53,0.24
1358,0.509,0.23
1359,0.53,0.212
1360,0.527,0.157
1361,0.44,0.146
1362,0.46,0.156
1363,0.468,0.149
1364,0.43,0.151
1365,0.393,0.153
1366,0.375,0.154
1367,0.373,0.154
1368,0.372,0.154
1369,0.37,0.153
1370,0.356,0.152
1371,0.339,0.151
1372,0.391,0.148
1373,0.43,0.151
1374,0.417,0.159
1375,0.413,0.164
1376,0.43,0.163
1377,0.448,0.162
1378,0.463,0.161
1379,0.456,0.151
1380,0.451,0.164
1381,0.355,0.166
1382,0.317,0.187
1383,0.232,0.19
1384,0.223,0.182
1385,0.164,0.194
1386,0.304,0.209
1387,0.384,0.227
1388,0.354,0.24
1389,0.348,0.292
1390,0.349,0.291
1391,0.391,0.303
1392,0.489,0.298
1393,0.463,0.279
1394,0.484,0.289
1395,0.483,0.295
1396,0.468,0.301
1397,0.487,0.306
1398,0.498,0.305
1399,0.414,0.293
1400,0.395,0.285
1401,0.411,0.278
1402,0.432,0.279
1403,0.472,0.282
1404,0.472,0.274
1405,0.426,0.262
1406,0.35,0.252
1407,0.38,0.232
1408,0.386,0.215
1409,0.347,0.163
1410,0.346,0.125
1411,0.367,0.125
1412,0.381,0.155
1413,0.276,0.158
1414,0.269,0.149
1415,0.336,0.173
1416,0.311,0.207
1417,0.374,0.167
1418,0.32,0.171
1419,0.346,0.152
1420,0.272,0.152
1421,0.37,0.191
1422,0.428,0.214
1423,0.435,0.211
1424,0.438,0.208
1425,0.448,0.207
1426,0.477,0.223
1427,0.512,0.244
1428,0.529,0.256
1429,0.518,0.254
1430,0.507,0.253
1431,0.504,0.281
1432,0.502,0.307
1433,0.452,0.308
1434,0.402,0.309
1435,0.413,0.296
1436,0.423,0.284
1437,0.434,0.272
1438,0.437,0.29
1439,0.433,0.306
1440,0.428,0.322
1441,0.422,0.325
1442,0.432,0.328
1443,0.442,0.331
1444,0.44,0.318
1445,0.447,0.305
1446,0.458,0.293
1447,0.468,0.292
1448,0.438,0.29
1449,0.328,0.279
1450,0.34,0.257
1451,0.429,0.249
1452,0.413,0.229
1453,0.318,0.175
1454,0.279,0.133
1455,0.326,0.122
1456,0.261,0.138
1457,0.365,0.082
1458,0.341,0.078
1459,0.296,0.077
1460,0.219,0.048
1461,0.365,0.058
1462,0.395,0.035
1463,0.288,0.083
1464,0.377,0.083
1465,0.403,0.101
1466,0.426,0.115
1467,0.497,0.128
1468,0.572,0.143
1469,0.582,0.16
1470,0.592,0.164
1471,0.596,0.168
1472,0.599,0.163
1473,0.595,0.154
1474,0.586,0.16
1475,0.571,0.181
1476,0.517,0.16
1477,0.534,0.158
1478,0.544,0.158
1479,0.508,0.15
1480,0.508,0.172
1481,0.467,0.164
1482,0.443,0.157
1483,0.448,0.16
1484,0.463,0.164
1485,0.49,0.163
1486,0.518,0.162
1487,0.531,0.151
1488,0.539,0.14
1489,0.519,0.142
1490,0.478,0.153
1491,0.438,0.16
1492,0.403,0.152
1493,0.368,0.144
1494,0.354,0.147
1495,0.343,0.154
1496,0.333,0.16
1497,0.324,0.137
1498,0.402,0.123
1499,0.398,0.114
1500,0.404,0.102
1501,0.366,0.108
1502,0.387,0.085
1503,0.423,0.113
1504,0.337,0.098
1505,0.337,0.089
1506,0.458,0.092
1507,0.443,0.092
1508,0.423,0.088
1509,0.345,0.092
1510,0.449,0.107
1511,0.449,0.108
1512,0.453,0.112
1513,0.457,0.117
1514,0.433,0.121
1515,0.371,0.122
1516,0.402,0.127
1517,0.461,0.132
1518,0.444,0.135
1519,0.433,0.138
1520,0.433,0.142
1521,0.457,0.144
1522,0.471,0.144
1523,0.471,0.14
1524,0.472,0.137
1525,0.462,0.134
1526,0.435,0.131
1527,0.413,0.124
1528,0.391,0.116
1529,0.37,0.109
1530,0.371,0.11
1531,0.373,0.111
1532,0.363,0.105
1533,0.351,0.096
1534,0.303,0.091
1535,0.286,0.086
1536,0.298,0.082
1537,0.334,0.081
1538,0.39,0.079
1539,0.435,0.077
1540,0.419,0.078
1541,0.368,0.069
1542,0.344,0.063
1543,0.348,0.06
1544,0.38,0.059
1545,0.444,0.05
1546,0.427,0.075
1547,0.413,0.075
1548,0.43,0.098
1549,0.384,0.083
1550,0.323,0.082
1551,0.292,0.089
1552,0.415,0.093
1553,0.457,0.106
1554,0.439,0.118
1555,0.47,0.116
1556,0.477,0.128
1557,0.495,0.129
1558,0.486,0.13
1559,0.499,0.139
1560,0.535,0.154
1561,0.554,0.176
1562,0.591,0.183
1563,0.594,0.184
1564,0.555,0.187
1565,0.504,0.195
1566,0.449,0.194
1567,0.49,0.183
1568,0.499,0.185
1569,0.459,0.187
1570,0.398,0.189
1571,0.316,0.192
1572,0.287,0.194
1573,0.462,0.199
1574,0.449,0.192
1575,0.427,0.199
1576,0.414,0.212
1577,0.433,0.201
1578,0.403,0.192
1579,0.391,0.197
1580,0.372,0.174
1581,0.369,0.193
1582,0.49,0.187
1583,0.547,0.182
1584,0.594,0.183
1585,0.521,0.186
1586,0.526,0.192
1587,0.509,0.19
1588,0.422,0.181
1589,0.359,0.184
1590,0.362,0.202
1591,0.418,0.206
1592,0.453,0.198
1593,0.423,0.19
1594,0.481,0.19
1595,0.503,0.197
1596,0.445,0.206
1597,0.479,0.208
1598,0.556,0.207
1599,0.496,0.206
1600,0.466,0.203
1601,0.512,0.198
1602,0.6,0.191
1603,0.563,0.187
1604,0.541,0.19
1605,0.546,0.195
1606,0.502,0.199
1607,0.442,0.194
1608,0.425,0.188
1609,0.441,0.193
1610,0.457,0.202
1611,0.415,0.216
1612,0.377,0.198
1613,0.395,0.195
1614,0.417,0.201
1615,0.485,0.2
1616,0.556,0.193
1617,0.53,0.206
1618,0.432,0.199
1619,0.434,0.199
1620,0.488,0.199
1621,0.466,0.193
1622,0.424,0.184
1623,0.414,0.174
1624,0.351,0.166
1625,0.345,0.163
1626,0.366,0.162
1627,0.421,0.155
1628,0.4,0.15
1629,0.383,0.149
1630,0.37,0.153
1631,0.422,0.147
1632,0.49,0.142
1633,0.451,0.152
1634,0.543,0.152
1635,0.511,0.145
1636,0.473,0.145
1637,0.466,0.142
1638,0.455,0.15
1639,0.468,0.15
1640,0.44,0.145
1641,0.494,0.142
1642,0.472,0.151
1643,0.407,0.14
1644,0.399,0.134
1645,0.408,0.12
1646,0.378,0.11
1647,0.314,0.139
1648,0.246,0.115
1649,0.231,0.077
1650,0.335,0.073
1651,0.171,0.044
1652,0.198,0.056
1653,0.11,0.063
1654,0.093,0.041
1655,0.041,0.049
1656,0.302,0.065
1657,0.347,0.075
1658,0.347,0.071
1659,0.362,0.066
1660,0.382,0.063
1661,0.382,0.066
1662,0.393,0.065
1663,0.389,0.071
1664,0.369,0.08
1665,0.385,0.088
1666,0.351,0.082
1667,0.287,0.082
1668,0.237,0.085
1669,0.328,0.105
1670,0.376,0.119
1671,0.347,0.12
1672,0.308,0.126
1673,0.275,0.127
1674,0.336,0.124
1675,0.463,0.111
1676,0.432,0.097
1677,0.338,0.075
1678,0.239,0.069
1679,0.348,0.073
1680,0.229,0.067
1681,0.283,0.058
1682,0.278,0.057
1683,0.317,0.058
1684,0.459,0.058
1685,0.478,0.051
1686,0.47,0.06
1687,0.511,0.057
1688,0.482,0.066
1689,0.472,0.073
1690,0.457,0.073
1691,0.483,0.076
1692,0.536,0.084
1693,0.5,0.08
1694,0.604,0.076
1695,0.563,0.084
1696,0.321,0.075
1697,0.435,0.071
1698,0.295,0.065
1699,0.217,0.05
1700,0.273,0.041
1701,0.324,0.039
1702,0.361,0.042
1703,0.358,0.044
1704,0.331,0.039
1705,0.359,0.032
1706,0.301,0.03
1707,0.246,0.019
1708,0.295,0.021
1709,0.391,0.027
1710,0.364,0.04
1711,0.33,0.068
1712,0.43,0.092
1713,0.536,0.122
1714,0.654,0.141
1715,0.673,0.148
1716,0.56,0.149
1717,0.578,0.142
1718,0.506,0.146
1719,0.398,0.162
1720,0.413,0.165
1721,0.483,0.165
1722,0.514,0.172
1723,0.536,0.164
1724,0.484,0.153
1725,0.414,0.139
1726,0.34,0.11
1727,0.409,0.11
1728,0.52,0.118
1729,0.532,0.107
1730,0.483,0.1
1731,0.484,0.086
1732,0.482,0.108
1733,0.566,0.106
1734,0.634,0.107
1735,0.567,0.093
1736,0.509,0.084
1737,0.508,0.092
1738,0.494,0.082
1739,0.441,0.082
1740,0.45,0.07
1741,0.429,0.068
1742,0.289,0.055
1743,0.22,0.053
1744,0.257,0.065
1745,0.33,0.066
1746,0.395,0.069
1747,0.406,0.076
1748,0.465,0.088
1749,0.45,0.092
1750,0.395,0.09
1751,0.404,0.12
1752,0.428,0.143
1753,0.453,0.157
1754,0.476,0.159
1755,0.533,0.16
1756,0.529,0.17
1757,0.5,0.184
1758,0.467,0.187
1759,0.47,0.182
1760,0.473,0.176
1761,0.478,0.167
1762,0.474,0.16
1763,0.464,0.162
1764,0.441,0.161
1765,0.445,0.155
1766,0.501,0.166
1767,0.523,0.19
1768,0.474,0.195
1769,0.438,0.198
1770,0.419,0.201
1771,0.451,0.201
1772,0.529,0.195
1773,0.551,0.188
1774,0.552,0.182
1775,0.585,0.182
1776,0.616,0.182
1777,0.576,0.173
1778,0.532,0.165
1779,0.537,0.156
1780,0.571,0.155
1781,0.541,0.155
1782,0.514,0.155
1783,0.526,0.158
1784,0.555,0.165
1785,0.576,0.17
1786,0.557,0.169
1787,0.537,0.168
1788,0.529,0.169
1789,0.515,0.164
1790,0.468,0.16
1791,0.435,0.161
1792,0.421,0.164
1793,0.438,0.167
1794,0.487,0.167
1795,0.509,0.154
1796,0.543,0.147
1797,0.515,0.155
1798,0.559,0.175
1799,0.643,0.181
1800,0.675,0.214
1801,0.682,0.234
1802,0.678,0.233
1803,0.674,0.232
1804,0.697,0.243
1805,0.713,0.257
1806,0.728,0.269
1807,0.73,0.279
1808,0.745,0.287
1809,0.787,0.291
1810,0.823,0.295
1811,0.755,0.302
1812,0.678,0.308
1813,0.636,0.303
1814,0.596,0.298
1815,0.574,0.285
1816,0.575,0.269
1817,0.582,0.265
1818,0.594,0.269
1819,0.605,0.272
1820,0.631,0.293
1821,0.649,0.312
1822,0.617,0.305
1823,0.586,0.298
1824,0.595,0.313
1825,0.603,0.33
1826,0.61,0.346
1827,0.606,0.36
1828,0.599,0.373
1829,0.597,0.386
1830,0.611,0.392
1831,0.638,0.392
1832,0.683,0.392
1833,0.71,0.393
1834,0.648,0.405
1835,0.586,0.417
1836,0.552,0.419
1837,0.504,0.411
1838,0.455,0.399
1839,0.407,0.386
1840,0.377,0.38
1841,0.415,0.388
1842,0.46,0.397
1843,0.506,0.406
1844,0.538,0.41
1845,0.565,0.41
1846,0.592,0.411
1847,0.601,0.409
1848,0.581,0.395
1849,0.561,0.38
1850,0.552,0.364
1851,0.559,0.346
1852,0.571,0.34
1853,0.545,0.334
1854,0.519,0.327
1855,0.475,0.307
1856,0.496,0.293
1857,0.517,0.278
1858,0.479,0.267
1859,0.387,0.257
1860,0.441,0.238
1861,0.448,0.234
1862,0.371,0.209
1863,0.418,0.197
1864,0.442,0.173
1865,0.427,0.188
1866,0.466,0.203
1867,0.524,0.171
1868,0.621,0.2
1869,0.512,0.226
1870,0.503,0.257
1871,0.517,0.26
1872,0.536,0.253
1873,0.558,0.236
1874,0.571,0.22
1875,0.574,0.213
1876,0.577,0.212
1877,0.562,0.216
1878,0.55,0.223
1879,0.544,0.23
1880,0.518,0.238
1881,0.502,0.243
1882,0.495,0.247
1883,0.484,0.251
1884,0.469,0.252
1885,0.442,0.245
1886,0.451,0.242
1887,0.537,0.25
1888,0.596,0.255
1889,0.612,0.256
1890,0.628,0.258
1891,0.635,0.257
1892,0.625,0.254
1893,0.614,0.251
1894,0.611,0.246
1895,0.593,0.239
1896,0.575,0.232
1897,0.544,0.234
1898,0.542,0.241
1899,0.537,0.243
1900,0.531,0.241
1901,0.516,0.235
1902,0.464,0.21
1903,0.503,0.183
1904,0.511,0.181
1905,0.498,0.164
1906,0.412,0.168
1907,0.407,0.155
1908,0.409,0.15
1909,0.163,0.151
1910,0.248,0.152
1911,0.357,0.151
1912,0.406,0.19
1913,0.458,0.17
1914,0.42,0.175
1915,0.383,0.228
1916,0.394,0.287
1917,0.499,0.323
1918,0.568,0.33
1919,0.628,0.324
1920,0.657,0.33
1921,0.57,0.337
1922,0.514,0.345
1923,0.607,0.361
1924,0.651,0.376
1925,0.682,0.368
1926,0.661,0.356
1927,0.629,0.348
1928,0.587,0.344
1929,0.55,0.348
1930,0.574,0.347
1931,0.628,0.341
1932,0.638,0.344
1933,0.602,0.341
1934,0.56,0.336
1935,0.503,0.35
1936,0.449,0.361
1937,0.507,0.325
1938,0.579,0.338
1939,0.644,0.344
1940,0.666,0.329
1941,0.636,0.314
1942,0.53,0.326
1943,0.522,0.341
1944,0.565,0.337
1945,0.584,0.334
1946,0.628,0.332
1947,0.634,0.327
1948,0.586,0.321
1949,0.589,0.321
1950,0.538,0.32
1951,0.47,0.318
1952,0.441,0.32
1953,0.483,0.325
1954,0.519,0.329
1955,0.548,0.33
1956,0.6,0.321
1957,0.585,0.322
1958,0.58,0.324
1959,0.662,0.309
1960,0.698,0.296
1961,0.66,0.287
1962,0.569,0.288
1963,0.567,0.294
1964,0.623,0.302
1965,0.616,0.297
1966,0.659,0.291
1967,0.736,0.278
1968,0.694,0.274
1969,0.667,0.279
1970,0.693,0.273
1971,0.578,0.25
1972,0.507,0.245
1973,0.527,0.252
1974,0.554,0.25
1975,0.597,0.23
1976,0.594,0.243
1977,0.606,0.252
1978,0.625,0.22
1979,0.536,0.252
1980,0.602,0.243
1981,0.659,0.144
1982,0.598,0.135
1983,0.595,0.154
1984,0.564,0.133
1985,0.508,0.108
1986,0.477,0.111
1987,0.463,0.107
1988,0.344,0.102
1989,0.253,0.083
1990,0.346,0.055
1991,0.448,0.078
1992,0.426,0.117
1993,0.443,0.102
1994,0.453,0.095
1995,0.438,0.105
1996,0.436,0.081
1997,0.361,0.066
1998,0.379,0.074
1999,0.431,0.082
2000,0.529,0.091
2001,0.518,0.093
2002,0.473,0.113
2003,0.454,0.124
2004,0.456,0.126
2005,0.458,0.129
2006,0.477,0.128
2007,0.479,0.129
2008,0.484,0.129
2009,0.503,0.126
2010,0.513,0.128
2011,0.506,0.138
2012,0.52,0.146
2013,0.545,0.152
2014,0.592,0.155
2015,0.652,0.157
2016,0.693,0.157
2017,0.697,0.158
2018,0.681,0.162
2019,0.654,0.165
2020,0.621,0.172
2021,0.582,0.179
2022,0.542,0.186
2023,0.519,0.189
2024,0.542,0.182
2025,0.552,0.177
2026,0.553,0.178
2027,0.567,0.181
2028,0.58,0.184
2029,0.555,0.18
2030,0.51,0.168
2031,0.495,0.163
2032,0.493,0.16
2033,0.506,0.16
2034,0.544,0.163
2035,0.566,0.168
2036,0.517,0.172
2037,0.536,0.185
2038,0.565,0.201
2039,0.58,0.207
2040,0.592,0.211
2041,0.61,0.218
2042,0.61,0.22
2043,0.588,0.213
2044,0.557,0.205
2045,0.522,0.196
2046,0.525,0.188
2047,0.531,0.181
2048,0.516,0.173
2049,0.479,0.168
2050,0.502,0.164
2051,0.541,0.159
2052,0.566,0.158
2053,0.583,0.159
2054,0.601,0.159
2055,0.589,0.157
2056,0.577,0.155
2057,0.58,0.155
2058,0.586,0.156
2059,0.574,0.155
2060,0.559,0.152
2061,0.548,0.15
2062,0.549,0.153
2063,0.537,0.156
2064,0.485,0.16
2065,0.442,0.165
2066,0.442,0.172
2067,0.443,0.179
2068,0.424,0.183
2069,0.41,0.183
2070,0.446,0.169
2071,0.475,0.151
2072,0.453,0.146
2073,0.429,0.162
2074,0.478,0.165
2075,0.465,0.141
2076,0.306,0.135
2077,0.223,0.079
2078,0.147,0.061
2079,0.465,0.049
2080,0.32,0.044
2081,0.309,0.041
2082,0.218,0.039
2083,0.36,0.042
2084,0.336,0.08
2085,0.432,0.064
2086,0.464,0.083
2087,0.424,0.084
2088,0.501,0.123
2089,0.412,0.149
2090,0.449,0.14
2091,0.483,0.163
2092,0.474,0.171
2093,0.511,0.178
2094,0.575,0.189
2095,0.588,0.178
2096,0.549,0.144
2097,0.519,0.184
2098,0.564,0.198
2099,0.575,0.203
2100,0.547,0.21
2101,0.515,0.215
2102,0.508,0.22
2103,0.513,0.226
2104,0.488,0.238
2105,0.512,0.243
2106,0.537,0.247
2107,0.513,0.253
2108,0.521,0.262
2109,0.515,0.272
2110,0.512,0.28
2111,0.546,0.278
2112,0.58,0.271
2113,0.606,0.265
2114,0.613,0.262
2115,0.623,0.258
2116,0.609,0.259
2117,0.612,0.264
2118,0.602,0.256
2119,0.55,0.235
2120,0.489,0.224
2121,0.443,0.218
2122,0.466,0.216
2123,0.488,0.214
2124,0.489,0.217
2125,0.499,0.208
2126,0.509,0.193
2127,0.501,0.194
2128,0.502,0.199
2129,0.507,0.203
2130,0.518,0.199
2131,0.547,0.22
2132,0.57,0.233
2133,0.574,0.226
2134,0.553,0.224
2135,0.496,0.227
2136,0.474,0.228
2137,0.489,0.224
2138,0.458,0.229
2139,0.438,0.237
2140,0.438,0.239
2141,0.434,0.231
2142,0.426,0.214
2143,0.41,0.196
2144,0.498,0.192
2145,0.496,0.187
2146,0.479,0.185
2147,0.463,0.201
2148,0.438,0.164
2149,0.444,0.153
2150,0.359,0.157
2151,0.297,0.125
2152,0.343,0.116
2153,0.333,0.105
2154,0.302,0.134
2155,0.307,0.117
2156,0.364,0.153
2157,0.415,0.124
2158,0.401,0.084
2159,0.315,0.049
2160,0.198,0.051
2161,0.152,0.057
2162,0.223,0.083
2163,0.167,0.072
2164,0.276,0.074
2165,0.438,0.103
2166,0.537,0.13
2167,0.55,0.182
2168,0.572,0.211
2169,0.593,0.226
2170,0.614,0.241
2171,0.623,0.258
2172,0.617,0.278
2173,0.612,0.298
2174,0.604,0.31
2175,0.603,0.311
2176,0.603,0.312
2177,0.591,0.311
2178,0.579,0.307
2179,0.584,0.301
2180,0.611,0.293
2181,0.647,0.283
2182,0.663,0.274
2183,0.662,0.266
2184,0.644,0.266
2185,0.625,0.269
2186,0.617,0.272
2187,0.61,0.275
2188,0.605,0.268
2189,0.601,0.261
2190,0.584,0.266
2191,0.561,0.272
2192,0.525,0.272
2193,0.485,0.263
2194,0.454,0.258
2195,0.438,0.258
2196,0.435,0.261
2197,0.433,0.264
2198,0.43,0.267
2199,0.429,0.271
2200,0.438,0.274
2201,0.447,0.277
2202,0.463,0.277
2203,0.495,0.285
2204,0.527,0.293
2205,0.558,0.301
2206,0.571,0.305
2207,0.564,0.305
2208,0.557,0.305
2209,0.539,0.304
2210,0.52,0.305
2211,0.501,0.305
2212,0.508,0.305
2213,0.531,0.296
2214,0.554,0.285
2215,0.572,0.273
2216,0.578,0.26
2217,0.591,0.251
2218,0.615,0.249
2219,0.627,0.24
2220,0.639,0.232
2221,0.606,0.232
2222,0.568,0.233
2223,0.598,0.23
2224,0.628,0.227
2225,0.61,0.235
2226,0.588,0.245
2227,0.573,0.252
2228,0.575,0.255
2229,0.585,0.258
2230,0.596,0.258
2231,0.607,0.259
2232,0.52,0.222
2233,0.506,0.212
2234,0.527,0.216
2235,0.494,0.205
2236,0.531,0.243
2237,0.519,0.275
2238,0.501,0.29
2239,0.493,0.3
2240,0.517,0.312
2241,0.502,0.317
2242,0.507,0.322
2243,0.525,0.334
2244,0.538,0.35
2245,0.559,0.373
2246,0.578,0.402
2247,0.593,0.43
2248,0.574,0.436
2249,0.572,0.436
2250,0.602,0.432
2251,0.649,0.426
2252,0.696,0.421
2253,0.694,0.416
2254,0.686,0.412
2255,0.678,0.408
2256,0.666,0.404
2257,0.627,0.405
2258,0.587,0.406
2259,0.557,0.41
2260,0.546,0.414
2261,0.548,0.416
2262,0.534,0.42
2263,0.516,0.425
2264,0.523,0.427
2265,0.52,0.425
2266,0.517,0.424
2267,0.517,0.423
2268,0.534,0.423
2269,0.547,0.419
2270,0.552,0.404
2271,0.547,0.387
2272,0.531,0.383
2273,0.509,0.383
2274,0.511,0.387
2275,0.541,0.387
2276,0.579,0.382
2277,0.614,0.378
2278,0.618,0.379
2279,0.623,0.38
2280,0.6,0.379
2281,0.575,0.378
2282,0.541,0.375
2283,0.512,0.369
2284,0.483,0.364
2285,0.453,0.359
2286,0.423,0.357
2287,0.421,0.357
2288,0.443,0.357
2289,0.472,0.361
2290,0.501,0.365
2291,0.56,0.359
2292,0.618,0.352
2293,0.609,0.355
2294,0.565,0.364
2295,0.561,0.363
2296,0.558,0.364
2297,0.577,0.36
2298,0.595,0.357
2299,0.604,0.351
2300,0.615,0.346
2301,0.603,0.349
2302,0.587,0.354
2303,0.57,0.361
2304,0.553,0.367
2305,0.551,0.353
2306,0.551,0.339
2307,0.59,0.324
2308,0.616,0.322
2309,0.556,0.322
2310,0.497,0.329
2311,0.44,0.341
2312,0.458,0.347
2313,0.445,0.34
2314,0.426,0.336
2315,0.424,0.34
2316,0.436,0.331
2317,0.455,0.32
2318,0.47,0.321
2319,0.477,0.323
2320,0.486,0.33
2321,0.498,0.343
2322,0.489,0.357
2323,0.503,0.368
2324,0.547,0.374
2325,0.537,0.401
2326,0.517,0.401
2327,0.526,0.452
2328,0.498,0.414
2329,0.52,0.461
2330,0.588,0.467
2331,0.514,0.479
2332,0.491,0.478
2333,0.533,0.478
2334,0.58,0.484
2335,0.581,0.478
2336,0.598,0.471
2337,0.616,0.471
2338,0.579,0.472
2339,0.532,0.437
2340,0.528,0.425
2341,0.584,0.461
2342,0.629,0.453
2343,0.633,0.436
2344,0.622,0.429
2345,0.581,0.425
2346,0.538,0.418
2347,0.522,0.4
2348,0.531,0.375
2349,0.527,0.346
2350,0.506,0.305
2351,0.495,0.28
2352,0.462,0.268
2353,0.403,0.267
2354,0.385,0.253
2355,0.395,0.228
2356,0.386,0.216
2357,0.377,0.201
2358,0.397,0.171
2359,0.428,0.169
2360,0.467,0.157
2361,0.491,0.137
2362,0.479,0.126
2363,0.528,0.119
2364,0.518,0.127
2365,0.513,0.133
2366,0.509,0.14
2367,0.437,0.166
2368,0.402,0.152
2369,0.383,0.143
2370,0.381,0.146
2371,0.38,0.149
2372,0.383,0.149
2373,0.41,0.149
2374,0.437,0.15
2375,0.437,0.149
2376,0.429,0.146
2377,0.41,0.142
2378,0.4,0.137
2379,0.407,0.135
2380,0.425,0.137
2381,0.441,0.138
2382,0.458,0.139
2383,0.474,0.14
2384,0.443,0.138
2385,0.386,0.137
2386,0.34,0.136
2387,0.327,0.135
2388,0.321,0.141
2389,0.324,0.157
2390,0.327,0.173
2391,0.334,0.184
2392,0.366,0.191
2393,0.414,0.204
2394,0.458,0.211
2395,0.463,0.194
2396,0.458,0.172
2397,0.449,0.155
2398,0.432,0.153
2399,0.422,0.154
2400,0.411,0.155
2401,0.4,0.156
2402,0.383,0.156
2403,0.376,0.161
2404,0.369,0.166
2405,0.362,0.171
2406,0.348,0.176
2407,0.345,0.178
2408,0.328,0.182
2409,0.286,0.191
2410,0.299,0.224
2411,0.316,0.256
2412,0.309,0.231
2413,0.303,0.212
2414,0.313,0.232
2415,0.357,0.26
2416,0.41,0.284
2417,0.439,0.288
2418,0.459,0.296
2419,0.46,0.321
2420,0.409,0.335
2421,0.3,0.312
2422,0.213,0.272
2423,0.238,0.271
2424,0.318,0.268
2425,0.296,0.251
2426,0.272,0.235
2427,0.224,0.233
2428,0.206,0.226
2429,0.19,0.217
2430,0.18,0.207
2431,0.224,0.19
2432,0.267,0.176
2433,0.31,0.174
2434,0.131,0.158
2435,0.075,0.152
2436,0.07,0.137
2437,-0.052,0.113
2438,0.038,0.093
2439,0.012,0.112
2440,-0.045,0.101
2441,0.057,0.08
2442,-0.021,0.073
2443,0.055,0.055
2444,-0.079,0.062
2445,-0.018,0.052
2446,-0.069,0.037
2447,-0.017,0.068
2448,-0.046,0.08
2449,0,0.056
2450,0.206,0.087
2451,0.258,0.088
2452,0.307,0.102
2453,0.319,0.127
2454,0.372,0.132
2455,0.37,0.141
2456,0.352,0.152
2457,0.344,0.165
2458,0.382,0.155
2459,0.314,0.133
2460,0.345,0.114
2461,0.399,0.111
2462,0.36,0.129
2463,0.349,0.146
2464,0.338,0.159
2465,0.371,0.165
2466,0.452,0.171
2467,0.481,0.192
2468,0.497,0.203
2469,0.508,0.203
2470,0.52,0.196
2471,0.529,0.194
2472,0.475,0.189
2473,0.394,0.181
2474,0.31,0.171
2475,0.278,0.164
2476,0.2,0.158
2477,0.255,0.147
2478,0.325,0.136
2479,0.202,0.13
2480,0.245,0.134
2481,0.153,0.113
2482,0.167,0.104
2483,0.162,0.098
2484,0.164,0.088
2485,0.133,0.086
2486,0.142,0.093
2487,0.229,0.105
2488,0.237,0.09
2489,0.298,0.082
2490,0.317,0.078
2491,0.318,0.081
2492,0.424,0.083
2493,0.4,0.071
2494,0.348,0.071
2495,0.387,0.08
2496,0.411,0.088
2497,0.434,0.049
2498,0.473,0.052
2499,0.477,0.064
2500,0.443,0.065
2501,0.38,0.058
2502,0.388,0.05
2503,0.463,0.047
2504,0.431,0.049
2505,0.423,0.043
2506,0.433,0.039
2507,0.385,0.041
2508,0.323,0.044
2509,0.302,0.047
2510,0.339,0.05
2511,0.367,0.053
2512,0.342,0.054
2513,0.379,0.058
2514,0.377,0.063
