# DESCRIPTION:
# Reference: Sun, Y., S.C. Clemens, Z. An, and Z. Yu. 2006. Astronomical timescale and palaeoclimatic implication of stacked 3.6-Myr monsoon records from the Chinese Loess Plateau. Quaternary Science Reviews, Vol. 25 pp. 33-48. https://doi.org/10.1016/j.quascirev.2005.07.005.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5602. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [Ka BP],Stacked Mean Grain Size,Stacked magnetic susceptibility
293,0.377,0.671
294,0.407,0.691
295,0.472,0.774
296,0.467,0.8
297,0.427,0.79
298,0.375,0.753
299,0.359,0.735
300,0.385,0.742
301,0.39,0.714
302,0.39,0.704
303,0.392,0.717
304,0.389,0.702
305,0.45,0.682
306,0.517,0.674
307,0.467,0.657
308,0.446,0.641
309,0.433,0.621
310,0.447,0.604
311,0.467,0.59
312,0.449,0.581
313,0.432,0.569
314,0.415,0.555
315,0.375,0.549
316,0.338,0.545
317,0.315,0.544
318,0.312,0.55
319,0.373,0.545
320,0.361,0.563
321,0.324,0.575
322,0.318,0.575
323,0.32,0.635
324,0.342,0.695
325,0.353,0.703
326,0.363,0.71
327,0.384,0.69
328,0.413,0.667
329,0.355,0.661
330,0.29,0.67
331,0.282,0.669
332,0.253,0.651
333,0.254,0.637
334,0.284,0.625
335,0.306,0.606
336,0.122,0.436
337,0.002,0.417
338,-0.086,0.343
339,-0.103,0.276
340,-0.16,0.235
341,-0.044,0.127
342,-0.023,0.11
343,-0.049,0.097
344,0.019,0.088
345,0.195,0.124
346,0.086,0.109
347,0.1,0.096
348,0.134,0.098
349,0.147,0.1
350,0.183,0.088
351,0.203,0.074
352,0.245,0.065
353,0.224,0.059
354,0.26,0.048
355,0.171,0.04
356,0.297,0.039
357,0.287,0.036
358,0.269,0.035
359,0.347,0.031
360,0.419,0.03
361,0.351,0.031
362,0.341,0.033
363,0.407,0.041
364,0.399,0.053
365,0.395,0.056
366,0.375,0.057
367,0.376,0.059
368,0.429,0.061
369,0.452,0.062
370,0.435,0.064
371,0.416,0.067
372,0.403,0.071
373,0.404,0.079
374,0.437,0.096
375,0.469,0.113
376,0.473,0.115
377,0.447,0.112
378,0.422,0.111
379,0.449,0.116
380,0.475,0.121
381,0.501,0.129
382,0.51,0.139
383,0.518,0.145
384,0.543,0.153
385,0.574,0.164
386,0.58,0.175
387,0.576,0.186
388,0.587,0.197
389,0.6,0.206
390,0.591,0.208
391,0.561,0.208
392,0.524,0.209
393,0.508,0.227
394,0.5,0.251
395,0.529,0.273
396,0.56,0.292
397,0.545,0.299
398,0.555,0.317
399,0.548,0.341
400,0.587,0.362
401,0.596,0.373
402,0.579,0.386
403,0.569,0.393
404,0.554,0.394
405,0.562,0.407
406,0.572,0.415
407,0.564,0.425
408,0.528,0.438
409,0.456,0.444
410,0.451,0.45
411,0.492,0.457
412,0.517,0.456
413,0.474,0.458
414,0.443,0.487
415,0.421,0.507
416,0.386,0.519
417,0.425,0.563
418,0.47,0.593
419,0.417,0.612
420,0.364,0.63
421,0.378,0.628
422,0.426,0.65
423,0.38,0.609
424,0.359,0.58
425,0.208,0.54
426,0.231,0.55
427,0.154,0.444
428,-0.008,0.236
429,-0.01,0.334
430,-0.031,0.24
431,-0.035,0.152
432,0.061,0.152
433,0.144,0.15
434,0.013,0.139
435,0.015,0.138
436,-0.108,0.121
437,-0.041,0.101
438,0.045,0.088
439,0.036,0.099
440,0.145,0.108
441,0.212,0.132
442,0.22,0.148
