/* DESCRIPTION:
Reference:	Harada, N., N. Ahagon, T. Sakamoto, M. Uchida, M. Ikehara, and Y. Shibata. 2006. Rapid fluctuation of alkenone temperature in the southwestern Okhotsk Sea during the past 120 ky. Global and Planetary Change, 53, 29-46, https://doi.org/10.1016/j.gloplacha.2006.01.010
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/9096. Accessed 11 Nov 2022.
Comment:	Alkenone saturation index from the original dataset is not included here.
*/
Depth [m]	Age [kyr BP]	  Uk'37 SST [C]
18.2	28.97	8.2
18.276	29.08	8.6
18.351	29.19	10.8
18.427	29.31	11.3
18.499	29.42	9.7
18.575	29.53	9.7
18.649	29.64	13.7
18.725	29.76	10.1
18.795	29.86	10.1
18.812	29.89	10.8
18.962	30.11	10.3
19.037	30.23	12.4
19.111	30.34	11
19.185	30.45	11.5
19.258	30.56	10.9
19.331	30.67	9.8
19.331	30.67	10.7
19.331	30.67	11.3
19.407	30.78	10.5
19.48	30.89	6.8
19.555	31.01	9.1
19.629	31.12	8
19.703	31.23	7.3
19.777	31.34	8.3
19.85	31.45	8.9
19.923	31.56	7.5
19.998	31.67	8.2
20.071	31.78	7.3
20.147	31.9	9.4
20.221	32.01	11.6
20.248	32.05	13.3
20.323	32.16	10.4
20.546	32.5	11.2
20.62	32.7	12.2
20.769	33.1	12.8
20.844	33.3	14.2
20.919	33.5	7.9
20.945	33.57	15
21.097	33.97	12.3
21.172	34.17	10.3
21.247	34.38	12.3
21.322	34.58	11.4
21.397	34.78	9.7
21.469	34.97	10.7
21.542	35.16	9.1
21.616	35.36	10.1
21.689	35.56	13
21.763	35.75	11.5
21.835	35.95	10.8
21.909	36.14	9.8
21.982	36.34	8.8
22.059	36.55	9.3
22.136	36.75	10.3
22.209	36.95	10
22.228	37	12.8
22.377	37.4	13.8
22.377	37.4	14.7
22.453	37.61	14.1
22.527	37.82	13.9
22.603	38.02	11.8
22.678	38.23	8.1
22.752	38.43	10.6
22.827	38.64	8.5
22.901	38.84	10.1
22.974	39.04	8.2
23.049	39.25	8
23.124	39.46	7.8
23.197	39.66	7.3
23.273	39.86	9.4
23.348	40.07	6.6
23.425	40.28	7.6
23.498	40.48	7.1
23.574	40.69	7.5
23.632	40.85	13.4
23.787	41.22	11.7
23.86	41.39	7
