# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
44.2,13.872,1.63,-6.83,0.00127,0.00044
44.3,13.883,1.49,-6.91,NaN,NaN
44.4,13.894,1.49,-6.88,0.00122,0.00037
44.5,13.904,1.47,-6.85,NaN,NaN
44.6,13.915,1.6,-6.8,0.00128,0.00045
44.7,13.926,1.65,-6.82,NaN,NaN
44.8,13.937,1.8,-6.8,0.00129,0.00037
44.9,13.948,1.67,-6.67,NaN,NaN
45,13.958,1.71,-6.66,0.00125,0.00047
45.1,13.969,1.73,-6.61,NaN,NaN
45.2,13.98,1.67,-6.72,0.00128,0.00055
45.3,13.991,1.81,-6.54,NaN,NaN
45.4,14.001,1.66,-6.72,0.00128,0.00051
45.5,14.012,1.89,-6.58,NaN,NaN
45.6,14.023,1.81,-6.65,0.00128,0.00047
45.7,14.034,1.86,-6.5,NaN,NaN
45.8,14.045,1.96,-6.47,0.00121,0.00045
45.9,14.055,1.98,-6.3,NaN,NaN
46,14.066,1.9,-6.48,0.0013,0.00051
46.1,14.077,2.01,-6.34,NaN,NaN
46.2,14.088,1.94,-6.34,0.00135,0.00045
46.3,14.098,1.96,-6.27,NaN,NaN
46.4,14.109,1.89,-6.26,0.00137,0.00047
46.5,14.12,1.86,-6.27,NaN,NaN
46.6,14.131,1.92,-6.3,0.00143,0.00049
46.7,14.142,1.82,-6.21,NaN,NaN
46.8,14.152,1.83,-6.57,0.00134,0.00051
46.9,14.163,1.9,-6.33,NaN,NaN
47,14.174,1.99,-6.39,0.00131,0.00044
47.1,14.185,2.11,-6.24,NaN,NaN
47.2,14.195,2.2,-5.98,0.00134,0.00044
47.3,14.206,2.1,-6.14,NaN,NaN
47.4,14.217,2.19,-6.06,0.00144,0.00051
47.5,14.228,2.09,-6.14,NaN,NaN
47.6,14.239,2.13,-6.12,0.00133,0.00054
47.7,14.249,2.29,-6.1,NaN,NaN
47.8,14.26,2.18,-6.3,0.00129,0.00047
47.9,14.271,2.09,-6.36,NaN,NaN
48,14.282,2,-6.39,0.00136,0.00052
48.1,14.292,2.12,-6.3,NaN,NaN
48.2,14.303,2.07,-6.3,0.00133,0.0006
48.3,14.314,2.04,-6.51,NaN,NaN
48.4,14.325,2.24,-6.35,0.00137,0.0006
48.5,14.336,2.32,-6.22,NaN,NaN
48.6,14.346,2.43,-6.16,0.00156,0.00061
48.7,14.357,2.51,-6.09,NaN,NaN
48.8,14.368,2.21,-6.07,0.00147,0.00056
48.9,14.379,2.18,-6.11,NaN,NaN
49,14.389,2.56,-5.84,0.00142,0.00058
49.1,14.4,2.73,-5.78,NaN,NaN
49.2,14.411,2.55,-6.05,0.00139,0.00072
49.3,14.422,2.49,-6.1,NaN,NaN
49.4,14.433,2.69,-6.11,0.00143,0.00069
49.5,36.948,2.81,-5.82,NaN,NaN
49.6,36.956,2.84,-5.9,0.00152,0.00075
49.7,36.963,2.83,-5.88,NaN,NaN
49.8,36.97,2.68,-5.98,0.00148,0.00071
49.9,36.978,2.78,-5.87,NaN,NaN
50,36.985,3.05,-5.69,0.00153,0.00072
50.1,36.992,3.01,-5.63,NaN,NaN
50.2,37,2.9,-5.7,0.0016,0.00083
50.3,37.007,2.97,-5.74,NaN,NaN
50.4,37.015,2.83,-5.71,0.00158,0.00077
50.5,37.022,2.82,-5.8,NaN,NaN
50.6,37.029,2.97,-5.67,0.00157,0.00086
50.7,37.037,3.15,-5.77,NaN,NaN
50.8,37.044,3.28,-5.58,0.00166,0.00067
50.9,37.051,3.11,-5.73,NaN,NaN
51,37.059,3.33,-5.69,0.00168,0.00083
51.1,37.066,3.34,-5.71,NaN,NaN
51.2,37.074,3.24,-5.64,0.00159,0.00071
51.3,37.081,3.07,-5.69,NaN,NaN
51.4,37.088,2.92,-5.75,0.00158,0.00071
51.5,37.096,2.82,-5.77,NaN,NaN
51.6,37.103,2.82,-5.69,0.00174,0.00075
51.7,37.11,2.66,-5.79,NaN,NaN
51.8,37.118,2.67,-5.85,0.00164,0.00075
51.9,37.125,2.79,-5.78,NaN,NaN
52,37.133,2.85,-5.67,0.00167,0.00081
52.1,37.14,2.91,-5.73,NaN,NaN
52.2,37.147,3.07,-5.57,0.00172,0.00085
52.3,37.155,3.21,-5.53,NaN,NaN
52.4,37.162,3.17,-5.55,0.00172,0.00078
52.5,37.169,3.28,-5.58,NaN,NaN
52.6,37.177,2.93,-5.69,0.0017,0.00089
52.7,37.184,2.92,-5.68,NaN,NaN
52.8,37.192,2.51,-5.81,0.00163,0.00067
52.9,37.199,2.53,-5.75,NaN,NaN
53,37.206,2.39,-5.84,0.00174,0.00086
53.1,37.214,2.48,-5.7,NaN,NaN
53.2,37.221,2.55,-5.76,0.00169,0.00067
53.3,37.228,2.62,-5.63,NaN,NaN
53.4,37.236,2.79,-5.71,0.00181,0.0008
53.5,37.243,2.84,-5.66,NaN,NaN
53.6,37.251,2.82,-5.65,0.00181,0.00068
53.7,37.258,2.78,-5.65,NaN,NaN
53.8,37.265,2.75,-5.68,0.00183,0.00076
53.9,37.273,2.57,-5.69,NaN,NaN
54,37.28,2.33,-5.88,0.00167,0.00067
54.1,37.287,2.31,-5.78,NaN,NaN
54.2,37.295,2.34,-5.86,0.00165,0.00079
54.3,37.302,2.49,-5.75,NaN,NaN
54.4,37.31,2.47,-5.66,0.00179,0.00069
54.5,37.317,2.57,-5.69,NaN,NaN
54.6,37.324,2.61,-5.69,0.0018,0.00073
54.7,37.332,2.49,-5.66,NaN,NaN
54.8,37.339,2.48,-5.72,0.00184,0.00075
54.9,37.346,2.41,-5.7,NaN,NaN
55,37.354,2.11,-5.86,0.0017,0.00072
55.1,37.361,2.05,-5.87,NaN,NaN
55.2,37.369,2.08,-5.84,0.00161,0.00076
55.3,37.376,1.8,-6.09,NaN,NaN
55.4,37.383,1.77,-5.94,0.00163,0.00064
55.5,37.391,1.97,-5.96,NaN,NaN
55.6,37.398,2.06,-5.89,0.00153,0.00066
55.7,37.405,1.98,-5.89,NaN,NaN
55.8,37.413,2.29,-5.8,0.00151,0.00061
55.9,37.42,2.21,-5.76,NaN,NaN
56,37.428,2.18,-5.8,0.00162,0.00067
56.1,37.435,2.27,-5.74,NaN,NaN
56.2,37.442,2.6,-5.76,0.00168,0.00061
56.3,37.45,2.68,-5.59,NaN,NaN
56.4,37.457,3.1,-5.48,0.00148,0.00079
56.5,37.464,3.21,-5.35,NaN,NaN
56.6,37.472,3.26,-5.21,0.0016,0.0007
56.7,37.479,3.26,-5.28,NaN,NaN
56.8,37.487,3.67,-5.09,0.00172,0.00072
56.9,37.494,3.91,-5.06,NaN,NaN
57,37.501,4,-5.1,0.0016,0.0008
57.1,37.509,4.04,-5.15,NaN,NaN
57.2,37.516,4.16,-5.09,0.00159,0.00077
57.3,37.523,3.88,-5.1,NaN,NaN
57.4,37.531,3.9,-5,0.00173,0.00065
57.5,37.538,3.7,-5.03,NaN,NaN
57.6,37.546,3.6,-5.12,0.00177,0.0009
57.7,37.553,3.34,-5.17,NaN,NaN
57.8,37.56,3.09,-5.11,0.00186,0.00083
57.9,37.568,2.87,-5.16,NaN,NaN
58,37.575,3.49,-4.66,0.00173,0.00081
58.1,37.582,4.35,-4.1,NaN,NaN
58.2,37.59,5.16,-3.33,0.00164,0.00076
58.3,37.597,4.66,-3.38,NaN,NaN
58.4,37.605,4.68,-3.39,0.00154,0.00074
58.5,45.277,5,-3.39,NaN,NaN
58.6,45.281,4.9,-3.49,0.00157,0.00074
58.7,45.286,4.95,-3.47,NaN,NaN
58.8,45.29,5.14,-3.43,0.00157,0.00099
58.9,45.294,4.82,-3.63,NaN,NaN
59,45.299,4.32,-3.68,0.00168,0.00105
59.1,45.303,4.15,-3.71,NaN,NaN
59.2,45.307,4.3,-3.77,0.00188,0.00102
59.3,45.312,4.32,-3.72,NaN,NaN
59.4,45.316,4.23,-3.59,0.00198,0.00108
59.5,45.32,4.13,-3.73,NaN,NaN
59.6,45.325,4.23,-3.83,0.00203,0.00105
59.7,45.329,4.05,-3.81,NaN,NaN
59.8,45.333,3.89,-3.91,0.00194,0.00104
59.9,45.338,3.7,-3.92,NaN,NaN
60,45.342,3.65,-4.08,0.00199,0.00106
60.1,45.346,3.6,-4.15,NaN,NaN
60.2,45.351,3.65,-3.94,0.002,0.00093
60.3,45.355,3.69,-4.06,NaN,NaN
60.4,45.36,3.72,-3.89,0.00191,0.00109
60.5,45.364,3.5,-4.04,NaN,NaN
60.6,45.368,3.59,-4.05,0.00193,0.00093
60.7,45.373,3.47,-4.21,NaN,NaN
60.8,45.377,3.45,-3.99,0.00193,0.00108
60.9,45.381,3.29,-4.14,NaN,NaN
61,45.386,3.14,-4.23,0.00193,0.00086
61.1,45.39,3.23,-4.05,NaN,NaN
61.2,45.394,3.28,-4.21,0.00186,0.001
61.3,45.399,3.25,-4.24,NaN,NaN
61.4,45.403,3.2,-4.27,0.00191,0.00107
61.5,45.407,3.2,-4.2,NaN,NaN
61.6,45.412,3.17,-4.22,0.00191,0.00099
61.7,45.416,3.12,-4.15,NaN,NaN
61.8,45.42,3.19,-4.17,0.00196,0.00087
61.9,45.425,3.11,-4.09,NaN,NaN
62,45.429,2.93,-4.28,0.00204,0.00105
62.1,45.433,2.94,-4.25,NaN,NaN
62.2,45.438,3.02,-4.21,0.00189,0.00103
62.3,45.442,3.05,-4.17,NaN,NaN
62.4,45.447,3.14,-4.2,0.00201,0.00099
62.5,45.451,3.16,-4.08,NaN,NaN
62.6,45.455,2.83,-4.3,0.00181,0.00104
62.7,45.46,3.07,-4.2,NaN,NaN
62.8,45.464,3.18,-4.29,0.00181,0.00106
62.9,45.468,3.26,-4.2,NaN,NaN
63,45.473,3.56,-4.02,0.00181,0.00111
63.1,45.477,3.66,-4.07,NaN,NaN
63.2,45.481,3.51,-4.17,0.00165,0.00104
63.3,45.486,3.56,-4.02,NaN,NaN
63.4,45.49,3.6,-4.04,0.00169,0.00099
63.5,45.494,3.55,-4.05,0.00184,0.00138
63.6,45.499,3.63,-4.02,0.00165,0.00082
63.7,45.503,3.52,-4.16,0.00168,0.00123
63.8,45.507,3.46,-4.19,0.00171,0.00092
63.9,45.512,3.38,-4.28,0.00176,0.00151
64,45.516,3.47,-4.12,0.00171,0.00087
64.1,45.521,3.07,-4.34,0.00164,0.00152
64.2,45.525,2.92,-4.23,0.0016,0.00088
64.3,45.529,2.86,-4.26,0.0016,0.00142
64.4,45.534,2.76,-4.29,0.00159,0.00082
64.5,45.538,2.8,-4.22,0.00171,0.00161
64.6,45.542,2.96,-4.22,0.00167,0.00093
64.7,45.547,2.95,-4.27,0.00166,0.00133
64.8,45.551,2.9,-4.23,0.00156,0.0008
64.9,45.555,2.71,-4.27,0.00159,0.00142
65,45.56,2.75,-4.32,0.00142,0.00093
65.1,45.564,2.62,-4.48,0.00161,0.00163
65.2,45.568,2.67,-4.39,0.00151,0.00082
65.3,45.573,2.64,-4.46,0.00155,0.00167
65.4,45.577,2.56,-4.51,0.0016,0.00088
65.5,45.581,2.61,-4.44,0.00152,0.00172
65.6,45.586,2.82,-4.34,0.00167,0.0009
65.7,45.59,2.79,-4.4,0.0016,0.00177
65.8,45.594,2.78,-4.49,0.00178,0.0008
65.9,45.599,2.79,-4.43,0.00151,0.00152
66,45.603,2.73,-4.54,0.00166,0.00083
66.1,45.608,2.57,-4.47,0.00147,0.00127
66.2,45.612,2.64,-4.63,0.00156,0.0008
66.3,45.616,2.64,-4.52,0.00149,0.00103
66.4,45.621,2.8,-4.59,0.00165,0.00068
66.5,45.625,2.61,-4.71,0.00139,0.00099
66.6,45.629,2.68,-4.59,0.00156,0.00076
66.7,45.634,2.61,-4.66,0.00154,0.00095
66.8,45.638,2.64,-4.69,0.00156,0.00071
66.9,45.642,2.68,-4.55,0.0016,0.00079
67,45.647,2.71,-4.5,0.00142,0.00074
67.1,45.651,2.67,-4.57,0.00158,0.00086
67.2,45.655,2.6,-4.41,0.00147,0.00072
67.3,45.66,2.52,-4.64,0.00157,0.00092
67.4,45.664,2.92,-4.24,0.0015,0.00069
67.5,45.668,2.74,-4.45,0.0016,0.00084
67.6,45.673,2.73,-4.42,0.00133,0.00068
67.7,45.677,2.72,-4.35,0.00153,0.00083
67.8,45.682,2.61,-4.46,0.00136,0.00067
67.9,45.686,2.64,-4.37,0.00148,0.00084
68,45.69,2.93,-4.31,0.00147,0.00073
68.1,45.695,2.63,-4.39,0.00156,0.0008
68.2,45.699,2.6,-4.44,0.00152,0.00073
68.3,45.703,2.53,-4.5,0.00149,0.0008
68.4,45.708,2.62,-4.48,0.0015,0.00065
68.5,45.712,2.49,-4.55,0.00164,0.00074
68.6,45.716,2.53,-4.5,0.00142,0.0007
68.7,45.721,2.58,-4.57,0.0015,0.00076
68.8,45.725,2.21,-4.73,0.00146,0.00061
68.9,45.729,2.29,-4.45,0.00139,0.00073
69,45.734,2.25,-4.55,0.0014,0.00059
69.1,45.738,2.35,-4.51,0.00144,0.00065
69.2,45.742,2.27,-4.66,0.00144,0.00059
69.3,45.747,2.14,-4.59,0.00132,0.00075
69.4,45.751,2.09,-4.72,0.00141,0.00061
69.5,45.755,2.08,-4.64,0.00135,0.0006
69.6,45.76,2.32,-4.65,0.00133,0.0006
69.7,45.764,2.51,-4.52,0.00132,0.00058
69.8,45.769,2.76,-4.42,0.00125,0.00046
69.9,45.773,2.48,-4.56,0.00131,0.00065
70,45.777,2.27,-4.89,0.00141,0.00053
70.1,45.782,2.37,-4.7,0.00133,0.00068
70.2,45.786,2.48,-4.54,0.00137,0.00063
70.3,45.79,2.25,-4.72,0.00126,0.00061
70.4,45.795,2.21,-4.71,0.00151,0.00061
70.5,45.799,2.17,-4.86,0.00124,0.00063
70.6,45.803,2.1,-4.85,0.00147,0.00053
70.7,45.808,1.99,-4.97,0.00128,0.00069
70.8,45.812,2,-5,0.00139,0.00063
70.9,45.816,2,-4.87,0.00126,0.00062
71,45.821,2.02,-4.88,0.00142,0.00055
71.1,45.825,1.95,-4.9,0.00136,0.00044
71.2,45.829,2.03,-4.91,0.0014,0.00052
71.3,45.834,2.03,-4.88,0.00134,0.00056
71.4,45.838,2.02,-4.85,0.00138,0.00047
71.5,45.843,1.98,-4.91,0.00128,0.00071
71.6,45.847,2.02,-4.9,NaN,NaN
71.7,45.851,2.12,-4.83,0.0014,0.00066
71.8,45.856,2.18,-4.77,NaN,NaN
71.9,45.86,2.12,-4.76,0.0013,0.00062
72,45.864,1.9,-4.9,NaN,NaN
72.1,45.869,1.92,-4.9,0.00136,0.0006
72.2,45.873,1.88,-4.96,NaN,NaN
72.3,45.877,1.82,-4.91,0.00135,0.00055
72.4,45.882,1.84,-4.97,NaN,NaN
72.5,45.886,1.94,-4.82,0.0014,0.00064
72.6,45.89,1.9,-4.94,NaN,NaN
72.7,45.895,1.74,-5.01,0.0014,0.00067
72.8,45.899,1.72,-5,NaN,NaN
72.9,45.903,1.7,-4.99,0.00141,0.00055
73,45.908,1.95,-4.6,NaN,NaN
73.1,45.912,1.85,-4.7,0.00144,0.0007
73.2,45.916,1.73,-4.79,NaN,NaN
73.3,45.921,1.77,-4.76,0.00135,0.00063
73.4,45.925,1.88,-4.76,NaN,NaN
73.5,45.93,1.91,-4.71,0.0013,0.00058
73.6,45.934,1.95,-4.78,NaN,NaN
73.7,45.938,1.97,-4.75,0.00146,0.00051
73.9,45.947,1.93,-4.8,0.00141,0.00052
74,45.951,1.51,-4.95,NaN,NaN
74.1,45.956,2.09,-4.55,0.00138,0.00058
74.2,45.96,1.91,-4.68,NaN,NaN
74.3,45.964,1.66,-4.82,0.0015,0.00061
74.4,45.969,1.68,-4.61,NaN,NaN
74.5,45.973,1.7,-4.59,0.00148,0.00054
74.6,45.977,1.7,-4.66,NaN,NaN
74.7,45.982,1.61,-4.65,0.00151,0.00045
74.8,45.986,1.85,-4.6,NaN,NaN
74.9,45.99,1.73,-4.77,0.00147,0.00051
75,45.995,1.95,-4.73,NaN,NaN
75.1,45.999,1.99,-4.72,0.00147,0.00057
75.2,46.004,1.89,-4.6,NaN,NaN
75.3,46.008,1.78,-4.65,0.00167,0.00056
75.4,46.012,1.91,-4.65,NaN,NaN
75.5,46.017,1.87,-4.54,0.00177,0.00048
75.6,46.021,1.87,-4.44,NaN,NaN
75.7,46.025,2.01,-4.48,0.00192,0.00054
75.8,46.03,1.92,-4.66,NaN,NaN
75.9,46.034,1.84,-4.71,0.00209,0.00062
76,46.038,1.89,-4.69,NaN,NaN
76.1,46.043,1.83,-4.47,0.00166,0.00054
76.2,46.047,1.86,-4.59,NaN,NaN
76.3,46.051,2.04,-4.5,0.0017,0.00055
76.4,46.056,2.27,-4.41,NaN,NaN
76.5,46.06,2.42,-4.4,0.00175,0.00045
76.6,46.064,2.47,-4.13,NaN,NaN
76.7,46.069,2.32,-4.41,0.00207,0.00059
76.8,46.073,2.37,-4.42,NaN,NaN
76.9,46.078,2.4,-4.25,0.00186,0.00046
77,46.082,2.27,-4.45,NaN,NaN
77.1,46.086,2.24,-4.41,0.00154,0.00062
77.2,46.091,2.31,-4.44,NaN,NaN
77.3,46.095,2.11,-4.54,0.00152,0.00052
77.4,46.099,2.25,-4.34,NaN,NaN
77.5,46.104,2.35,-4.36,0.00138,0.00072
77.6,46.108,2.42,-4.34,NaN,NaN
77.7,46.112,2.45,-4.36,0.00139,0.00062
77.8,46.117,2.47,-4.39,NaN,NaN
77.9,46.121,2.26,-4.42,0.00122,0.00061
78,46.125,2.21,-4.5,NaN,NaN
78.1,46.13,2.15,-4.54,0.00132,0.00062
78.2,46.134,2.14,-4.49,NaN,NaN
78.3,46.138,2.3,-4.57,0.00126,0.00056
78.4,46.143,2.44,-4.34,NaN,NaN
78.5,46.147,2.75,-4.31,0.00145,0.00067
78.6,46.151,2.85,-4.16,NaN,NaN
78.7,46.156,3.02,-4.2,0.00133,0.00064
78.8,46.16,3,-4.18,NaN,NaN
78.9,46.165,2.82,-4.23,0.00128,0.00058
79,46.169,2.77,-4.33,NaN,NaN
79.1,46.173,2.97,-4.16,0.00122,0.00057
79.2,46.178,3,-4.23,NaN,NaN
79.3,46.182,3.18,-4.09,0.00129,0.00064
79.4,46.186,3.39,-4.07,NaN,NaN
79.5,46.191,3.77,-3.9,0.00137,0.00063
79.6,46.195,3.76,-3.89,NaN,NaN
79.7,46.199,3.88,-3.86,0.00139,0.00065
79.8,46.204,3.82,-3.99,NaN,NaN
79.9,46.208,3.87,-4.02,0.00146,0.00053
80,46.212,4.21,-3.85,NaN,NaN
80.1,46.217,4.86,-3.67,0.0015,0.00057
80.2,49.723,4.9,-3.65,NaN,NaN
80.3,49.729,4.65,-3.72,0.00148,0.00058
80.4,49.734,3.97,-4.02,NaN,NaN
80.5,49.74,3.24,-4.14,0.00152,0.00067
80.6,49.745,1.99,-4.6,NaN,NaN
80.7,49.751,1.83,-4.71,0.00151,0.00069
80.8,49.756,1.79,-4.79,NaN,NaN
80.9,49.761,2.08,-4.73,0.00155,0.00067
81,49.767,2.39,-4.8,NaN,NaN
81.1,49.772,2.78,-4.9,0.00146,0.00063
81.2,49.778,3.05,-4.87,NaN,NaN
81.3,49.783,3.43,-4.67,0.00157,0.00067
81.4,49.789,3.83,-4.56,NaN,NaN
81.5,49.794,4.11,-4.43,0.00141,0.00065
81.6,49.799,4.11,-4.61,NaN,NaN
81.7,49.805,4.18,-4.37,0.00158,0.00075
81.8,49.81,3.8,-4.52,NaN,NaN
81.9,49.816,3.91,-4.46,0.00164,0.00082
82,49.821,3.74,-4.46,NaN,NaN
82.1,49.826,3.68,-4.51,0.00176,0.00077
82.2,49.832,3.62,-4.48,NaN,NaN
82.3,49.837,3.5,-4.51,0.00169,0.00088
82.4,49.843,3.47,-4.58,NaN,NaN
82.5,49.848,3.5,-4.51,0.00156,0.00078
82.6,49.854,3.18,-4.75,NaN,NaN
82.7,49.859,3.31,-4.6,0.00165,0.00082
82.8,49.864,3.2,-4.64,NaN,NaN
82.9,49.87,3.21,-4.78,0.00157,0.0008
83,49.875,3.04,-4.84,NaN,NaN
83.1,49.881,3.25,-4.75,0.00164,0.00086
83.2,49.886,3.39,-4.58,NaN,NaN
83.3,49.892,3.34,-4.75,0.00151,0.00076
83.4,49.897,3.31,-4.64,NaN,NaN
83.5,49.902,3.42,-4.57,0.00178,0.00096
83.6,49.908,3.67,-4.59,NaN,NaN
83.7,49.913,3.85,-4.52,0.00187,0.0013
83.8,49.919,3.87,-4.43,NaN,NaN
83.9,49.924,4.05,-4.33,0.00201,0.0013
84,49.93,4.25,-4.53,NaN,NaN
84.1,49.935,4.53,-4.29,0.00204,0.00124
84.2,49.94,4.62,-4.29,NaN,NaN
84.3,49.946,4.65,-4.19,0.00204,0.00118
84.4,49.951,4.47,-4.36,NaN,NaN
84.5,49.957,4.27,-4.36,0.00194,0.00113
84.6,49.962,4.25,-4.32,NaN,NaN
84.7,49.968,3.93,-4.53,0.002,0.0011
84.8,49.973,3.83,-4.56,NaN,NaN
84.9,49.978,3.84,-4.61,0.00188,0.00108
85,49.984,3.44,-4.68,NaN,NaN
85.1,49.989,3.23,-4.86,0.00175,0.00108
85.2,49.995,3.21,-4.83,NaN,NaN
85.3,50,2.95,-4.81,0.00184,0.00114
85.4,50.006,2.78,-4.79,NaN,NaN
85.5,50.011,2.6,-4.86,0.00185,0.00102
85.6,50.016,2.49,-4.99,NaN,NaN
85.7,50.022,2.41,-5.01,0.00192,0.00115
85.8,50.027,2.44,-5,NaN,NaN
85.9,50.033,2.49,-4.95,0.00167,0.00108
86,50.038,2.47,-5,NaN,NaN
86.1,50.044,2.5,-5,0.0017,0.00106
86.2,50.049,2.46,-5.01,NaN,NaN
86.3,50.054,2.56,-5.02,0.00178,0.00119
86.4,50.06,2.57,-4.95,NaN,NaN
86.5,50.065,2.54,-5.02,0.00187,0.00116
86.6,50.071,2.59,-5.04,NaN,NaN
86.7,50.076,2.42,-5.07,0.00202,0.00126
86.8,50.082,2.56,-4.98,NaN,NaN
86.9,50.087,2.57,-4.97,0.00197,0.00123
87,50.092,2.74,-4.87,NaN,NaN
87.1,50.098,2.66,-5.06,0.00179,0.00113
87.2,50.103,2.58,-4.96,NaN,NaN
87.3,50.109,2.52,-4.93,0.00187,0.00123
87.4,50.114,2.76,-4.89,NaN,NaN
87.5,50.119,2.77,-4.81,0.00195,0.00119
87.6,50.125,2.71,-4.86,NaN,NaN
87.7,50.13,2.79,-4.87,0.00181,0.00116
87.9,50.141,2.8,-4.95,0.0019,0.00125
88,50.147,2.9,-4.79,NaN,NaN
88.1,50.152,3.17,-4.68,0.00193,0.00124
88.2,50.157,3.21,-4.84,NaN,NaN
88.3,50.163,3.31,-4.77,0.00197,0.00124
88.4,50.168,3.23,-4.59,NaN,NaN
88.5,50.174,3.36,-4.6,0.00204,0.00132
88.6,50.179,3.1,-4.75,NaN,NaN
88.7,50.185,3.35,-4.76,0.00205,0.00136
88.8,50.19,3.35,-4.72,NaN,NaN
88.9,50.195,3.3,-4.6,0.00203,0.00141
89,50.201,3.36,-4.78,NaN,NaN
89.1,50.206,3.35,-4.64,0.00196,0.00137
89.2,50.212,3.37,-4.77,NaN,NaN
89.3,50.217,3.31,-4.66,0.002,0.0013
89.5,50.228,NaN,NaN,0.00193,0.00141
89.6,50.233,3.21,-4.85,NaN,NaN
89.7,50.239,3.07,-4.89,0.00206,0.00125
89.8,50.244,3.08,-4.7,NaN,NaN
89.9,50.25,3.02,-4.79,0.002,0.00143
90,50.255,2.88,-4.67,NaN,NaN
90.1,50.261,3.14,-4.66,0.00211,0.0014
90.2,50.266,2.99,-4.95,NaN,NaN
90.3,50.271,3.01,-4.8,0.00201,0.00122
90.4,50.277,2.9,-4.94,NaN,NaN
90.5,50.282,2.83,-4.93,0.00197,0.00114
90.6,50.288,2.6,-4.87,NaN,NaN
90.7,50.293,2.52,-4.93,0.00204,0.00136
90.8,50.299,2.26,-5.04,NaN,NaN
90.9,50.304,2.29,-5.06,0.0021,0.00132
91,50.309,2.3,-4.78,NaN,NaN
91.1,50.315,2.16,-4.86,0.00199,0.00123
91.2,50.32,2.08,-4.92,NaN,NaN
91.3,50.326,2.01,-4.76,0.00189,0.00111
91.4,50.331,2.05,-4.84,NaN,NaN
91.5,50.337,2,-4.74,0.00193,0.00121
91.7,50.347,2.02,-4.92,0.00183,0.0011
91.8,50.353,2,-4.82,NaN,NaN
91.9,50.358,2.1,-4.81,0.00191,0.00115
92,50.364,2.2,-4.96,NaN,NaN
92.1,50.369,2.23,-4.87,0.0019,0.00128
92.2,50.374,2.33,-4.91,NaN,NaN
92.3,50.38,2.27,-5.03,0.00194,0.00118
92.4,50.385,2.27,-5.07,NaN,NaN
92.5,50.391,2.36,-5.17,0.00192,0.00105
92.6,50.396,2.39,-5.03,NaN,NaN
92.7,50.402,2.28,-5.21,0.00181,0.00098
92.8,50.407,2.19,-5.28,NaN,NaN
92.9,50.412,2.24,-5.11,0.00178,0.00105
93,50.418,2.14,-5.15,NaN,NaN
93.1,50.423,2.25,-5.04,0.00191,0.00098
93.2,50.429,2.26,-5.02,NaN,NaN
93.3,50.434,2.28,-5.2,0.00183,0.00108
93.4,50.44,2.47,-5.01,NaN,NaN
93.5,50.445,2.4,-5.23,0.00194,0.00105
93.6,50.45,2.38,-5.27,NaN,NaN
93.7,50.456,2.39,-5.25,0.00196,0.00105
93.8,50.461,2.46,-5.18,NaN,NaN
93.9,50.467,2.41,-5.32,0.00194,0.00107
94,50.472,2.44,-5.18,NaN,NaN
94.1,50.478,2.35,-5.28,0.00181,0.00091
94.2,50.483,2.46,-5.24,NaN,NaN
94.3,50.488,2.43,-5.28,0.00175,0.00096
94.4,50.494,2.41,-5.2,NaN,NaN
94.5,50.499,2.4,-5.34,0.00182,0.001
94.6,50.505,2.42,-5.44,NaN,NaN
94.7,50.51,2.51,-5.3,0.00181,0.00104
94.8,50.516,2.52,-5.25,NaN,NaN
94.9,50.521,2.49,-5.24,0.00177,0.00099
95,50.526,2.49,-5.39,NaN,NaN
95.1,50.532,2.31,-5.47,0.00181,0.00107
95.2,50.537,2.31,-5.42,NaN,NaN
95.3,50.543,2.37,-5.35,0.00172,0.00094
95.4,50.548,2.45,-5.35,NaN,NaN
95.5,50.554,2.38,-5.34,0.00182,0.00099
95.6,50.559,2.39,-5.38,NaN,NaN
95.7,50.564,2.42,-5.23,0.00171,0.00104
95.8,50.57,2.31,-5.35,NaN,NaN
95.9,50.575,2.38,-5.29,0.00171,0.00095
96,50.581,2.29,-5.28,NaN,NaN
96.1,50.586,2.31,-5.28,0.00177,0.00101
96.2,50.592,2.31,-5.3,NaN,NaN
96.3,50.597,2.33,-5.28,0.00165,0.00106
96.4,50.602,2.28,-5.23,NaN,NaN
96.5,50.608,2.16,-5.5,0.00177,0.001
96.6,50.613,2.22,-5.36,NaN,NaN
96.7,50.619,2.22,-5.37,0.00176,0.00101
96.8,50.624,2.18,-5.47,NaN,NaN
96.9,50.629,2.23,-5.36,0.00173,0.00105
97,50.635,2.32,-5.37,NaN,NaN
97.1,50.64,2.39,-5.47,0.00171,0.00103
