# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
11,9.638,2.26,-7.82,0.00109,0.00032
11.1,9.662,2.21,-7.72,NaN,NaN
11.2,9.686,2.07,-7.65,0.00096,0.00029
11.3,9.71,2.06,-7.76,NaN,NaN
11.4,9.734,1.51,-8.01,0.00091,0.00034
11.5,9.758,1.38,-8.22,NaN,NaN
11.6,9.782,1.35,-8.29,0.00087,0.00022
11.7,9.806,1.73,-8,NaN,NaN
11.8,9.83,1.75,-7.89,0.00078,0.00033
11.9,9.854,1.6,-7.97,NaN,NaN
12,9.878,1.66,-8.07,0.00083,0.00022
12.1,9.902,1.69,-7.93,NaN,NaN
12.2,9.926,1.73,-7.96,0.00105,0.00034
12.3,9.95,1.72,-8.06,NaN,NaN
12.4,9.974,1.88,-7.93,0.00096,0.00032
12.5,9.997,1.95,-7.94,NaN,NaN
12.6,10.008,1.96,-7.95,0.00096,0.0003
12.7,10.018,1.68,-8,NaN,NaN
12.8,10.028,1.62,-8.07,0.00104,0.00029
12.9,10.039,1.63,-8.08,NaN,NaN
13,10.049,1.76,-7.92,0.00102,0.00032
13.1,10.059,1.73,-7.93,NaN,NaN
13.2,10.07,1.77,-7.84,0.00113,0.00036
13.3,10.08,1.79,-7.75,NaN,NaN
13.4,10.09,2.01,-7.73,0.00126,0.00035
13.5,10.101,2.33,-7.55,NaN,NaN
13.6,10.111,2.34,-7.51,0.00108,0.00032
13.7,10.121,2,-7.58,NaN,NaN
13.8,10.132,2.07,-7.51,0.00103,0.00037
13.9,10.142,2.23,-7.51,NaN,NaN
14,10.152,2.2,-7.62,0.00103,0.00034
