# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
56.4,129.954,-2.75,-15.84
56.3,130.155,-2.42,-15.58
56.2,130.356,-2.44,-15.8
56.1,130.557,-2.47,-15.92
56,130.758,-2.4,-15.88
55.9,130.957,-2.37,-15.87
55.8,131.156,-2.41,-15.89
55.7,131.355,-2.38,-15.97
55.6,131.554,-2.26,-15.94
55.5,131.754,-2.44,-15.81
55.4,131.953,-2.39,-16.07
55.3,132.152,-2.34,-15.76
55.2,132.351,-2.33,-15.88
55.1,132.55,-2.4,-16
55,132.75,-2.49,-16.03
54.9,132.951,-2.39,-15.91
54.8,133.153,-2.35,-15.94
54.7,133.354,-2.42,-16.01
54.6,133.556,-2.37,-15.95
54.5,133.757,-2.38,-16.04
54.4,133.959,-2.52,-16.29
54.3,134.16,-2.34,-16.19
54.2,134.362,-2.17,-16.17
54.1,134.563,-2.26,-16.1
54,134.765,-2.31,-16.23
53.9,135.01,-2.2,-16.21
53.8,135.256,-2.36,-16.33
53.7,135.501,-2.3,-16.33
53.6,135.747,-2.24,-16.36
53.5,135.992,-2.41,-16.24
53.4,136.238,-2.34,-16.33
53.3,136.483,-2.33,-16.44
53.2,136.729,-2.41,-16.45
53.1,136.974,-2.26,-16.33
53,137.22,-2.3,-16.44
52.9,137.468,-2.32,-16.44
52.8,137.716,-2.37,-16.41
52.7,137.964,-2.35,-16.49
52.6,138.212,-2.37,-16.46
52.5,138.46,-2.4,-16.46
52.4,138.546,-2.4,-16.43
52.3,138.632,-2.39,-16.5
52.2,138.718,-2.39,-16.46
52.1,138.804,-2.31,-16.47
52,138.89,-2.35,-16.52
51.9,138.976,-2.36,-16.64
51.8,139.062,-2.38,-16.53
51.7,139.148,-2.33,-16.55
51.6,139.234,-2.44,-16.47
51.5,139.32,-2.5,-16.39
51.4,139.406,,
51.3,139.492,-2.38,-16.56
51.2,139.578,-2.41,-16.55
51.1,139.664,-2.26,-16.56
51,139.75,-2.41,-16.58
50.9,139.967,-2.47,-16.56
50.8,140.185,-2.53,-16.62
50.7,140.402,-2.45,-16.62
50.6,140.62,-2.39,-16.69
50.5,140.837,-2.43,-16.61
50.4,141.055,-2.52,-16.57
50.3,141.272,-2.51,-16.56
50.2,141.49,-2.51,-16.61
50.1,141.707,-2.46,-16.66
50,141.925,-2.35,-16.71
49.9,142.146,-2.37,-16.67
49.8,142.367,-2.38,-16.59
49.7,142.588,-2.42,-16.69
49.6,142.809,-2.38,-16.62
49.5,143.03,-2.47,-16.6
49.4,143.265,-2.37,-16.77
49.3,143.5,-2.45,-16.68
49.2,143.735,-2.42,-16.62
49.1,143.97,-2.51,-16.62
49,144.206,-2.54,-16.64
48.9,144.441,-2.44,-16.64
48.8,144.676,-2.33,-16.72
48.7,144.911,-2.4,-16.7
48.6,145.146,-2.44,-16.75
48.5,145.381,-2.44,-16.59
48.4,145.542,-2.52,-16.58
48.3,145.704,-2.47,-16.74
48.2,145.866,-2.36,-16.72
48.1,146.028,-2.36,-16.76
48,146.19,-2.4,-16.77
47.9,146.349,-2.48,-16.67
47.8,146.509,-2.43,-16.69
47.7,146.669,-2.45,-16.57
47.6,146.829,-2.37,-16.62
47.5,146.989,-2.4,-16.77
47.4,147.148,-2.35,-16.74
47.3,147.308,-2.35,-16.73
47.2,147.468,-2.35,-16.77
47.1,147.628,-2.47,-16.63
47,147.788,-2.45,-16.79
46.9,147.947,-2.37,-16.79
46.8,148.107,-2.29,-16.82
46.7,148.267,-2.35,-16.82
46.6,148.427,-2.37,-16.83
46.5,148.587,-2.43,-16.82
46.4,148.747,-2.33,-16.83
46.3,148.907,-2.16,-16.87
46.2,149.067,-2.21,-16.88
46.1,149.227,-2.23,-16.9
46,149.387,-2.35,-16.63
45.8,149.705,-2.26,-16.64
45.6,150.023,-2.28,-16.64
45.4,150.342,-2.29,-16.49
45.2,150.66,-2.34,-16.68
45,150.979,-2.33,-16.77
44.8,151.302,-2.28,-16.76
44.6,151.625,-2.3,-16.76
44.4,151.949,-2.19,-16.64
44.2,152.272,-2.22,-16.61
44,152.596,-2.19,-16.57
43.8,152.697,-2.23,-16.68
43.6,152.798,-2.16,-16.74
43.4,152.9,-2.15,-16.65
43.2,153.001,-2.16,-16.65
43,153.103,-2.11,-16.66
42.8,153.204,-2.05,-16.42
42.6,153.305,-2.06,-16.41
42.4,153.406,-2.09,-16.35
42.2,153.507,-1.99,-16.34
42,153.608,-2.1,-16.41
41.8,153.71,-2,-16.52
41.6,153.812,-2.02,-16.75
41.4,153.915,-2.12,-16.52
41.2,154.017,-2.06,-16.42
41,154.12,-2.1,-16.71
40.8,154.483,-2.08,-16.64
40.6,154.847,-2.07,-16.72
40.4,155.211,-2.13,-16.98
40.2,155.575,-2.05,-16.62
40,155.939,-2.08,-16.57
39.8,156.303,-2.11,-16.75
39.6,156.668,-2.07,-16.8
39.4,157.033,-2.08,-16.7
39.2,157.398,-2.05,-16.48
39,157.763,-2.18,-16.78
38.8,157.957,-2.1,-16.66
38.6,158.152,-2.19,-16.67
38.4,158.346,-2.13,-16.64
38.2,158.541,-2.13,-16.61
38,158.736,-2.15,-16.57
37.8,158.929,-2.06,-16.65
37.6,159.123,-2.02,-16.84
37.4,159.316,-2.05,-16.72
37.2,159.51,-2.06,-16.82
37,159.704,-2.05,-16.86
36.8,159.898,-1.99,-16.71
36.6,160.093,-2.06,-16.73
36.4,160.287,-2.06,-16.59
36.2,160.482,-2.1,-16.65
36,160.677,-2.14,-16.7
35.8,160.87,-2.13,-16.61
35.6,161.063,-2.05,-16.63
35.4,161.257,-2.17,-16.7
35.2,161.45,-2.14,-16.64
35,161.644,-2.2,-16.72
34.8,161.84,-2.13,-16.54
34.6,162.037,-2.21,-16.74
34.4,162.234,-2.14,-16.57
34.2,162.431,-2.22,-16.61
34,162.628,-2.2,-16.46
33.8,162.912,-2.26,-16.77
33.6,163.196,-2.21,-16.51
33.4,163.48,-2.3,-16.49
33.2,163.764,-2.24,-16.49
33,164.048,-2.33,-16.85
32.8,164.33,-2.21,-16.61
32.6,164.613,-2.27,-16.48
32.4,164.895,-2.27,-16.72
32.2,165.178,-2.34,-16.58
32,165.461,-2.33,-16.5
31.8,165.743,-2.29,-16.72
31.6,166.025,-2.31,-16.66
31.4,166.307,-2.35,-16.57
31.2,166.589,-2.29,-16.61
31,166.871,-2.33,-16.72
30.8,167.157,-2.33,-16.78
30.6,167.443,-2.31,-16.7
30.4,167.73,-2.34,-16.79
30.2,168.016,-2.29,-16.67
30,168.303,-2.34,-16.79
29.8,168.53,-2.33,-16.7
29.6,168.757,-2.3,-16.66
29.4,168.984,-2.24,-16.77
29.2,169.211,-2.25,-16.88
29,169.438,-2.24,-16.99
28.8,169.663,-2.14,-16.76
28.6,169.888,-2.19,-16.86
28.4,170.113,-2.21,-16.93
28.2,170.338,-2.15,-16.85
28,170.564,-2.13,-16.82
27.8,170.789,-2.07,-16.78
27.6,171.014,-2.08,-16.7
27.4,171.24,-2.03,-16.95
27.2,171.465,-2.09,-16.63
27,171.691,-2.09,-16.91
26.8,171.918,-2.02,-16.79
26.6,172.145,-2.01,-16.81
26.4,172.373,-1.95,-16.91
26.2,172.6,-2.07,-16.67
26,172.828,-2.11,-16.58
25.8,173.056,-2.11,-16.67
25.6,173.285,-2,-16.61
25.4,173.514,-1.97,-16.51
25.2,173.743,-1.85,-16.57
25,173.972,-1.99,-16.65
24.8,174.198,-1.92,-16.6
24.6,174.424,-1.92,-16.6
24.4,174.65,-1.96,-16.62
24.2,174.876,-1.87,-16.53
24,175.102,-1.93,-16.58
23.8,175.329,-2,-16.6
23.6,175.556,-1.92,-16.64
23.4,175.783,-1.93,-16.56
23.2,176.01,-2.25,-16.68
23,176.238,-2.03,-16.62
22.8,176.464,-1.81,-16.5
22.6,176.691,-1.98,-16.7
22.4,176.917,-1.99,-16.7
22.2,177.144,-1.89,-16.54
22,177.371,-1.86,-16.49
21.8,177.597,-1.84,-16.54
21.6,177.824,-1.84,-16.54
21.4,178.051,-1.89,-16.59
21.2,178.278,-1.82,-16.5
21,178.505,-2,-16.62
20.8,178.735,-1.96,-16.64
20.6,178.966,-1.8,-16.52
20.4,179.272,-1.87,-16.58
20.2,179.579,-1.78,-16.51
20,179.886,-1.83,-16.49
19.8,180.189,-1.88,-16.47
19.6,180.492,-1.88,-16.6
19.4,180.795,-1.83,-16.65
19.2,181.098,-1.79,-16.55
19,181.402,-1.89,-16.7
18.8,181.705,-1.85,-16.53
18.6,182.008,-1.9,-16.46
18.4,182.311,-1.79,-16.49
18.2,182.614,-1.82,-16.6
18,182.918,-1.83,-16.63
17.8,183.222,-1.8,-16.62
17.6,183.527,-1.84,-16.51
17.4,183.831,-1.93,-16.5
17.2,184.136,-1.89,-16.7
17,184.441,-1.93,-16.81
16.8,184.746,-1.9,-16.69
16.6,185.051,-1.9,-16.58
16.4,185.308,-1.93,-16.53
16.2,185.566,-1.91,-16.64
16,185.824,-2.01,-16.54
15.8,186.076,-1.81,-16.55
15.6,186.329,-1.98,-16.57
15.4,186.581,-1.88,-16.49
15.2,186.834,-1.81,-16.58
15,187.087,-1.88,-16.6
14.8,187.339,-1.89,-16.55
14.6,187.592,-1.82,-16.45
14.4,187.844,-1.94,-16.52
14.2,188.097,-1.89,-16.47
14,188.35,-1.79,-16.49
13.8,188.603,-1.74,-16.53
13.6,188.856,-1.77,-16.3
13.4,189.109,-1.85,-16.38
13.2,189.362,-1.83,-16.36
13,189.616,-1.98,-16.55
12.8,189.878,-1.83,-16.46
12.6,190.141,-1.81,-16.48
12.4,190.306,-1.83,-16.39
12.2,190.471,-1.81,-16.46
12,190.637,-1.76,-16.37
11.8,190.802,-1.73,-16.42
11.6,190.968,-1.91,-16.35
11.4,191.134,-1.83,-16.32
11.2,191.3,-1.81,-16.32
11,191.466,-1.82,-16.29
10.8,191.632,-1.86,-16.31
10.6,191.798,-1.89,-16.37
10.4,191.964,-1.84,-16.46
10.2,192.13,-1.8,-16.44
10,192.296,-1.83,-16.49
9.8,192.461,-1.78,-16.48
9.6,192.627,-1.77,-16.37
9.4,192.793,-1.82,-16.42
9.2,192.959,-1.72,-16.41
9,193.125,-1.78,-16.33
8.8,193.293,-1.79,-16.28
8.6,193.461,-1.9,-16.23
8.4,193.63,-1.84,-16.16
8.2,193.798,-1.84,-16.13
8,193.967,-1.8,-16.18
7.8,194.207,-1.86,-16.28
7.6,194.448,-1.84,-16.07
7.4,194.689,-1.93,-16.03
7.2,194.93,-1.87,-15.99
7,195.171,-1.94,-16.11
6.8,195.409,-1.9,-16.22
6.6,195.648,-1.81,-16.18
6.4,195.887,-1.82,-16.18
6.2,196.126,-1.94,-16.02
6,196.365,-1.96,-16.04
5.8,196.608,-1.93,-15.99
5.6,196.851,-1.92,-16.11
5.4,197.095,-1.89,-16.06
5.2,197.22,-1.87,-15.97
5,197.346,-2,-16.03
4.8,197.467,-1.86,-16.02
4.6,197.589,-2.01,-16.22
4.4,197.711,-2,-16.01
4.2,197.833,-2.03,-15.98
4,197.955,-1.98,-15.98
3.8,198.078,-2.05,-16.03
3.6,198.201,-1.9,-15.99
3.4,198.324,-2.07,-16
3.2,198.447,-2.07,-16.09
3,198.571,-2.03,-16.19
2.8,198.954,-1.94,-15.99
2.6,199.337,-2.04,-16.09
2.4,199.72,-2.03,-16.01
2.2,200.103,-1.95,-16.15
2,200.486,-1.92,-16.11
1.8,200.864,-1.95,-16.12
1.6,201.242,-1.91,-16.15
1.4,201.621,-1.94,-16.2
1.2,201.999,-1.98,-16.2
1,202.378,-1.95,-16.18
0.8,202.761,-2.02,-16.22
0.6,203.144,-2.01,-16.21
0.4,203.528,-1.94,-16.2
0.2,203.911,-1.95,-16.22
0,204.226,-1.96,-16.22
