# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
136,54.761,-1.89,-16.77
135.9,54.907,-1.75,-16.73
135.8,55.053,-1.82,-16.69
135.7,55.2,-1.86,-16.69
135.6,55.346,-1.84,-16.62
135.5,55.491,-1.81,-16.72
135.4,55.636,-1.82,-16.68
135.3,55.781,-1.81,-16.61
135.2,55.926,-1.84,-16.67
135.1,56.071,-1.82,-16.62
135,56.216,-1.83,-16.61
134.9,56.361,-1.91,-16.69
134.8,56.506,-1.83,-16.6
134.7,56.651,-1.93,-16.83
134.6,56.796,-1.71,-16.54
134.5,56.94,-1.9,-16.63
134.4,57.084,-1.88,-16.68
134.3,57.228,-1.92,-16.77
134.2,57.372,-1.78,-16.66
134.1,57.516,-1.84,-16.59
134,57.66,-1.83,-16.63
133.9,57.805,-1.89,-16.6
133.8,57.949,-1.82,-16.6
133.7,58.093,-1.74,-16.62
133.6,58.237,-1.89,-16.56
133.5,58.375,-1.79,-16.7
133.4,58.513,-1.94,-16.85
133.3,58.651,-1.81,-16.66
133.2,58.789,-1.81,-16.74
133.1,58.927,-1.78,-16.73
133,59.065,-1.85,-16.77
132.9,59.203,-1.79,-16.72
132.8,59.341,-1.83,-16.78
132.7,59.479,-1.83,-16.85
132.6,59.617,-1.84,-16.8
132.5,59.841,-1.72,-16.82
132.4,59.922,-1.83,-16.87
132.3,60.003,-1.82,-16.73
132.2,60.084,-1.9,-16.86
132.1,60.165,-1.8,-16.81
132,60.246,-1.74,-16.81
131.9,60.327,-1.83,-16.83
131.8,60.408,-1.81,-16.89
131.7,60.489,-1.76,-16.92
131.6,60.57,-1.73,-16.84
131.5,60.651,-1.81,-16.96
