# DESCRIPTION:
# Reference: Prokopenko, A.A.,Hinnov, L.A.,Williams, D.F.,Kuzmin, M.I. 2006. Orbital forcing of continental climate during the Pleistocene: a complete astronomically tuned climatic record from Lake Baikal, SE Siberia. Quaternary Science Reviews, 25, 3431-3457. https://doi.org/10.1016/j.quascirev.2006.10.002.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6068. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Composite Depth [m],SP-tuned age [ka BP],Biogenic silica [%]
5.29,123.9,34.3
5.3,124.1,33.6
5.31,124.3,42.4
5.32,124.6,32.8
5.33,124.8,36.4
5.34,125,32.2
5.35,125.3,35.6
5.36,125.5,33.5
5.37,125.7,36.8
5.38,126,30.8
5.39,126.2,38.7
5.42,126.9,32
5.43,127.1,32.5
5.44,127.4,28.3
5.45,127.6,28.7
5.46,127.8,28
5.47,128,30.5
5.48,128.3,10.7
5.49,128.5,6.6
5.5,128.7,7.7
5.53,129.4,7
5.55,129.9,5.4
5.57,130.4,6.6
5.59,130.8,7.9
5.61,131.3,6.5
5.63,131.7,7
5.65,132.2,6.4
5.67,132.7,4.5
5.69,133.1,4.3
5.71,133.6,4.3
5.73,134.1,3.9
5.75,134.5,3.8
5.77,135,3.6
5.81,135.9,3.3
5.83,136.4,3.4
5.85,136.8,2.9
5.87,137.3,3.2
5.89,137.8,1.8
5.91,138.2,3.1
5.93,138.7,3.2
5.95,139.2,3.3
5.97,139.6,3.5
5.99,140.1,3.6
6.01,140.5,3.7
6.03,141,4.3
6.05,141.5,3.8
6.11,142.9,7
6.15,143.8,7
6.17,144.3,7.3
6.19,144.7,7.9
6.21,145,6.3
6.23,145.3,6.3
6.25,145.6,7.6
6.27,145.9,6.5
6.29,146.2,6.2
6.31,146.5,5.6
6.33,146.8,5.2
6.35,147.1,5.7
6.39,147.7,5.7
6.41,148,5.6
6.43,148.3,4.7
6.45,148.6,5
6.47,148.9,4.7
6.49,149.1,4.5
6.53,149.7,4.7
6.55,150,3.9
6.57,150.3,5.6
6.59,150.6,6
6.61,150.9,5
6.63,151.2,4.9
6.65,151.5,5.6
6.69,152.1,5
6.71,152.4,6.1
6.73,152.7,5
6.75,153,5.9
6.77,153.3,4.5
6.79,153.6,4.2
6.81,153.9,3.7
6.83,154.2,3.7
6.85,154.5,3.6
6.87,154.8,4.3
6.89,155.1,3.9
6.91,155.3,3.8
6.93,155.6,4.3
6.95,155.9,5.1
6.97,156.2,3.2
6.99,156.5,3.2
7.01,156.8,3
7.03,157.1,3.8
7.05,157.4,4.3
7.07,157.7,4.4
7.09,158,4.3
7.1,158.2,3.7
7.12,158.4,2.9
7.14,158.7,3.1
7.16,159,2.9
7.18,159.3,3.8
7.2,159.6,2.8
7.22,159.9,3.4
7.24,160.2,3.9
7.26,160.5,3.3
7.28,160.8,3.4
7.3,161.1,3.5
7.32,161.4,3
7.34,161.7,3.1
7.36,162,3.1
7.4,162.6,3.1
7.42,162.9,3
7.44,163.2,4
7.46,163.5,3.1
7.48,163.8,3.2
7.5,164.1,3.1
7.52,164.4,2.9
7.54,164.6,3.9
7.56,164.9,3.2
7.58,165.2,4
7.6,165.5,3.7
7.62,165.8,3.7
7.64,166.1,4.4
7.66,166.4,4.7
7.68,166.7,4.1
7.7,167,4.1
7.72,167.3,4.7
7.74,167.6,3.7
7.76,167.9,4.7
7.8,168.5,3.8
7.82,168.8,4.9
7.84,169.1,6.3
7.86,169.4,6.7
7.88,170.1,6.5
7.9,170.8,5.5
7.92,171.5,5.6
7.94,172.2,6
7.96,172.8,5.8
7.98,173.5,7.5
8,174.2,7.2
8.02,174.9,7
8.04,175.6,5.7
8.06,176.3,6.4
8.07,176.7,8
8.08,177,2.9
8.1,177.7,3.1
8.12,178.4,3.7
8.14,179.1,3.7
8.16,179.8,3.2
8.2,181.2,3.3
8.22,181.9,3.1
8.24,182.6,3.3
8.26,183.3,3.5
8.28,184,5.4
8.3,184.7,12.3
8.32,185.4,12.7
8.34,186,15
8.36,186.7,12.4
8.38,187.4,10
8.4,188.1,11
8.42,188.8,13.6
8.44,189.5,13.9
8.46,190.2,16
8.5,191.6,26.4
8.52,192.3,32
8.54,192.7,29.9
8.56,193.2,29.9
8.58,193.6,31.9
8.6,194,23.7
8.62,194.5,31.8
8.64,194.9,30.7
8.66,195.3,33.9
8.68,195.8,30.2
8.7,196.2,30.7
8.72,196.6,35
8.74,197,33.8
8.76,197.5,36.1
8.78,197.9,35.9
8.8,198.3,33
8.82,198.8,33.6
8.84,199.2,32.9
8.86,199.6,29.1
8.9,200.5,22.2
8.92,200.9,12.4
8.94,201.4,13.6
8.96,201.8,12
8.98,202.2,14.5
9,202.7,10.4
9.02,203.1,10.5
9.04,203.5,11.7
9.06,204,13.2
9.08,204.4,15.8
9.1,204.8,12.6
9.12,205.2,16
9.14,205.7,12.8
9.16,206.1,10.5
9.18,206.5,10.8
9.2,207,12
9.24,207.8,7.8
9.26,208.3,8.1
9.28,208.7,15
9.3,209.1,17.9
9.32,209.6,16.2
9.36,210.4,26
9.38,210.9,27.6
9.4,211.3,28.6
9.42,211.7,29.6
9.44,212.2,31.6
9.46,212.6,33.6
9.48,213,33
9.5,213.4,33
9.52,213.9,38.5
9.54,214.3,37.7
9.56,214.7,40.1
9.58,215.1,35.9
9.6,215.5,37
9.62,215.8,32.1
9.64,216.2,31.2
9.66,216.5,25.9
9.68,216.9,31.9
9.7,217.2,28
9.72,217.6,28.8
9.74,218,25.5
9.76,218.3,25.8
9.78,218.7,25.5
9.8,219,22.9
9.82,219.4,6.5
9.86,220.1,5.4
9.88,220.4,4.9
9.9,220.8,4.8
9.92,221.2,4.1
9.94,221.5,4.2
9.96,221.9,4.4
9.98,222.2,4.3
10,222.6,4.4
10.02,222.9,3.6
10.04,223.3,3
10.06,223.7,2.9
10.08,224,3.1
10.1,224.4,3
10.12,224.7,2.9
10.14,225.1,3
10.16,225.4,3
10.18,225.8,2.7
10.2,226.2,2.8
10.22,226.5,2.8
10.24,226.9,2.6
10.26,227.2,2.7
10.3,227.9,2.6
10.32,228.3,2.7
10.34,228.6,2.6
10.36,229,2.9
10.38,229.4,2.9
10.4,229.7,2.8
10.42,230.1,2.8
10.44,230.4,3.6
10.46,230.8,3.9
10.48,231.1,2.5
10.5,231.5,2.1
10.52,231.9,5
10.54,232.2,5.5
10.56,232.6,8.6
