# DESCRIPTION:
# Reference: Prokopenko, A.A.,Hinnov, L.A.,Williams, D.F.,Kuzmin, M.I. 2006. Orbital forcing of continental climate during the Pleistocene: a complete astronomically tuned climatic record from Lake Baikal, SE Siberia. Quaternary Science Reviews, 25, 3431-3457. https://doi.org/10.1016/j.quascirev.2006.10.002.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6068. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Composite Depth [m],SP-tuned age [ka BP],Biogenic silica [%]
23.14,493.7,29.4
23.16,494.2,34.6
23.18,494.6,27.6
23.2,495,27.9
23.22,495.4,28.9
23.24,495.9,26.6
23.26,496.3,26.5
23.28,496.7,29.1
23.3,497.1,26.8
23.32,497.5,25.3
23.34,498,26.6
23.36,498.4,26.8
23.38,498.8,22.3
23.4,499.2,18.3
23.42,499.7,16.3
23.44,500.1,21.1
23.46,500.5,27.8
23.48,500.9,28.6
23.5,501.5,23.7
23.52,502,20
23.54,502.6,18.8
23.56,503.2,16
23.58,503.7,12
23.6,504.3,13.9
23.62,504.8,17.2
23.64,505.4,18.6
23.66,506,20.4
23.68,506.5,21
23.7,507.1,18
23.72,507.6,19.6
23.74,508.2,21.5
23.76,508.7,21
23.78,509.3,23.8
23.8,509.9,20.8
23.82,510.4,19.3
23.84,511,16.5
23.86,511.5,17
23.88,512.1,15.8
23.9,512.7,16.3
23.92,513.2,17.8
23.94,513.8,16.4
23.96,514.3,17.2
23.98,514.9,18.7
24,515.4,19.2
24.02,516,18
24.04,516.6,20
24.06,517.1,21.4
24.08,517.7,21.8
24.1,518.2,21.5
24.12,518.8,20.8
24.14,519.4,22.7
24.16,519.9,23.1
24.18,520.5,24.6
24.2,521,24.1
24.22,521.6,24.7
24.24,522.2,24
24.26,522.7,25.1
24.28,523.2,23.9
24.3,523.6,21.5
24.32,524,18.5
24.34,524.5,12.5
24.36,524.9,16.1
24.38,525.4,21.3
24.4,525.8,26.2
24.41,526.1,16.5
24.43,526.5,18
24.45,526.9,16.4
24.47,527.4,17.3
24.49,527.8,17.8
24.51,528.3,14.7
24.53,528.7,11.7
24.55,529.2,11.2
24.57,529.6,9.7
24.59,530.1,10.5
24.7,532.5,8.9
24.72,533,8.9
24.74,533.4,8.8
24.76,533.8,9.3
24.78,534.3,9.6
24.8,534.7,9.4
24.82,535.2,10.1
24.84,535.6,10.6
24.86,536.1,9.1
24.88,536.5,7.7
24.9,537,6
24.92,537.4,5.2
24.94,537.9,7.6
24.96,538.3,8.1
24.98,538.7,7.8
25,539.2,8.2
25.02,539.6,9.5
25.04,540.1,10.4
25.06,540.5,9.8
25.08,541,9.9
25.1,541.4,10.6
25.12,541.9,9.8
25.14,542.3,11.6
25.16,542.8,9.3
25.18,543.2,9.4
25.2,543.6,9.2
25.22,544.1,10
25.24,544.5,10.8
25.26,545,12.6
25.28,545.4,14.1
25.3,545.9,8.9
25.32,546.3,9.2
25.34,546.8,11.2
25.36,547.2,18.1
25.38,547.7,17.4
25.4,548.1,11.8
25.42,548.5,9.7
25.44,549,10.2
25.46,549.4,15
25.48,549.9,21.3
25.5,550.3,22.4
25.52,550.9,20.5
25.54,551.4,12.6
25.56,552,8
25.58,552.5,6.7
25.6,553.1,7.9
25.62,553.7,5.3
25.64,554.2,11
25.66,554.8,17.1
25.68,555.3,17.9
25.7,555.9,17.9
25.72,556.4,11.2
25.74,557,10.8
25.76,557.5,12.8
25.78,558.1,10.3
25.8,558.7,12.1
25.82,559.2,17.4
25.84,559.8,18.6
25.87,560.6,27.5
25.88,560.9,28.3
25.9,561.4,33.4
25.92,562,31.8
25.94,562.5,32
25.96,563.1,31.5
25.98,563.7,34.5
26,564.2,39.9
26.02,564.8,42.4
26.04,565.3,47.4
26.06,565.9,45.3
26.08,566.4,43.9
26.1,567,45.5
26.12,567.5,41.9
26.14,568.1,33.8
26.16,568.7,34.7
26.18,569.2,44.1
26.2,569.8,41.2
26.22,570.3,41.2
26.24,570.9,41.9
26.26,571.4,40.2
26.28,572,42.8
26.3,572.5,46.1
26.32,573.4,42.7
26.34,574.2,43.3
26.36,575.1,42.7
26.38,575.9,40.2
26.4,576.8,42.5
26.42,577.6,44.1
26.44,578.4,45.5
26.46,579.3,41.1
26.48,580.1,38.9
26.5,581,38.4
26.52,581.8,41
26.54,582.7,23.2
26.56,583.5,37.8
26.58,584.4,32.7
26.6,585.2,30.7
26.62,586,30.1
26.64,586.9,25.6
26.66,587.7,21.8
26.68,588.6,24.8
26.7,589.4,16.1
26.72,590.3,10.1
26.74,591.1,9.6
26.76,592,9.8
26.82,594.5,11.7
26.84,594.8,9.4
26.86,595.1,7.4
26.88,595.4,5.4
26.9,595.8,4.4
26.92,596.1,4.1
26.94,596.4,3.8
26.96,596.7,3.8
26.97,596.9,3.9
27,597.4,3.8
27.02,597.7,3.9
27.04,598,3.8
27.06,598.3,3.2
27.08,598.6,3.8
27.1,599,3.8
27.12,599.3,4
27.14,599.6,3.8
27.16,599.9,4.1
27.18,600.2,4.1
27.2,600.5,4.4
27.22,600.9,4.1
27.24,601.2,4.3
27.26,601.5,4.3
27.28,601.8,4.2
27.3,602.1,3.9
27.32,602.5,4.1
27.34,602.8,3.7
27.36,603.1,3.9
27.38,603.4,4.1
27.4,603.7,4
27.42,604.1,3.9
27.44,604.4,3.9
27.46,604.7,4
27.48,605,4
27.5,605.3,3.8
27.52,605.7,3.7
27.54,606,3.8
27.56,606.3,3.9
27.58,606.6,3.6
27.6,606.9,4.3
27.62,607.2,4
27.64,607.6,4
27.66,607.9,3.9
27.68,608.2,4.1
27.7,608.5,4
27.72,608.8,4
27.74,609.2,4
27.76,609.5,3.9
27.78,609.8,4.3
27.8,610.1,4
27.82,610.4,4.8
27.84,610.8,6.6
27.86,611.1,12
27.88,611.4,12.7
27.9,611.7,19.4
27.92,612,22.4
27.94,612.3,25.1
27.96,612.7,25.8
27.98,613,30.6
28,613.3,28.8
28.02,613.6,20.1
28.04,613.9,32
28.06,614.3,24.7
28.08,614.6,19.5
28.1,614.9,17.3
28.11,615.1,43.8
28.14,615.5,40.4
28.16,615.9,44
28.18,616.3,37.9
28.2,616.8,29.4
28.22,617.2,35.8
28.24,617.7,38.3
28.26,618.2,39.4
28.28,618.6,33
28.3,619.1,17.8
28.32,619.6,13.2
28.34,620,14.6
28.36,620.5,13.7
28.38,620.9,10.2
28.4,621.4,10.1
28.42,621.9,7.8
28.44,622.3,6.2
28.46,622.8,7.7
28.48,623.2,5.5
28.5,623.7,5.6
28.52,624.2,5.6
28.54,624.6,5.4
28.56,625.1,7.7
28.58,625.6,5.6
28.6,626,7.7
28.62,626.5,5.5
28.64,626.9,3.9
28.66,627.4,4
28.68,627.9,3.8
28.7,628.3,4
28.72,628.8,3.8
28.74,629.3,3.7
28.76,629.7,3.6
28.78,630.2,3
28.8,630.6,3.8
28.82,631.1,4
28.84,631.6,4.2
28.86,632,3.8
28.88,632.5,3.7
28.9,633,3.2
28.92,633.4,3.6
28.94,633.9,3.8
29,635.3,6
29.02,635.7,5.5
29.04,636.2,5.6
29.06,636.7,6.9
29.08,637.1,6.5
29.1,637.6,5.8
29.12,638,6
29.14,638.5,6.7
29.16,639,6.4
29.18,639.4,6.8
29.2,640,6.2
29.22,640.5,6.4
29.24,641.1,4.7
29.26,641.7,5.6
29.28,642.2,5.8
29.3,642.8,5.3
29.32,643.4,3.8
29.34,643.9,4.1
29.36,644.5,4
29.38,645,5.7
29.4,645.6,5.5
29.42,646.2,5.5
29.44,646.7,5.8
29.46,647.3,5.9
29.48,647.8,4.5
29.5,648.4,4.9
29.52,649,4.3
29.54,649.5,5.4
29.56,650.1,5.6
29.58,650.6,5.2
29.6,651.2,5.8
29.62,651.8,4.5
29.64,652.3,6.8
29.66,652.9,8.3
29.68,653.4,6.6
29.7,654,8.1
29.72,654.6,11.4
29.74,655.1,8.9
29.76,655.7,6.6
29.78,656.2,5.2
29.8,656.8,4.9
29.82,657.4,5.8
29.84,657.9,6
29.86,658.5,6.8
29.88,659,7.9
29.9,659.6,11.2
29.92,660.2,8.9
29.94,660.7,8.3
29.96,661.3,6.7
29.98,661.8,7.8
30,662.4,9.7
30.02,663,9.5
30.04,663.5,7.6
30.06,664.1,6
30.08,664.7,8.1
30.1,665.2,9
30.12,665.8,8.8
30.14,666.4,6
30.16,667,5.7
30.18,667.6,5.7
30.2,668.2,5.5
30.22,668.9,5.1
30.24,669.5,5.2
30.26,670.1,4.2
30.28,670.7,6
30.3,671.3,5.4
30.32,671.9,4.7
30.34,672.6,4
30.36,673.2,4.2
30.38,673.8,4
30.4,674.4,5.4
30.42,675,6
30.44,675.6,5.5
30.46,676.3,5.4
30.48,676.9,4.9
30.5,677.5,5.6
30.52,678.1,5.5
30.54,678.7,4.4
30.56,679.4,6.4
30.58,680,9.1
30.6,680.6,13
30.62,681.2,11.4
30.64,681.8,9.8
30.66,682.4,12
30.68,683.1,16.3
30.7,683.7,20.4
30.72,684.3,19.5
30.74,684.9,28.5
30.76,685.5,28.5
30.78,686.1,15.4
30.8,686.8,32.7
30.82,687.4,39.7
30.84,687.8,31
30.86,688.1,35
30.88,688.5,33.8
30.92,689.3,29.8
30.96,690.1,29.9
31,690.8,33.2
31.04,691.6,32.5
31.08,692.4,27.2
31.12,693.2,32.5
31.16,693.9,30.2
31.22,695.1,28.5
31.24,695.5,25
31.26,695.9,28.6
31.28,696.2,28.6
31.3,696.6,27.7
31.32,697,29.8
31.34,697.4,26.6
31.36,697.8,26.9
31.38,698.2,25.1
31.4,698.6,25.8
31.42,698.9,35.5
31.44,699.3,42.1
31.46,699.7,39.3
31.48,700.1,39.2
31.5,700.5,37
31.52,700.9,40.3
31.54,701.2,40.5
31.56,701.6,33.6
31.58,702,32.8
31.6,702.4,31.4
31.62,702.8,27.7
31.64,703.2,28.6
31.66,703.6,28.2
31.68,703.9,28.5
31.7,704.3,25.9
31.72,704.7,27.2
31.74,705.1,28.8
31.76,705.5,30.6
31.78,705.9,31.9
31.8,706.3,30.9
31.82,706.6,32.5
31.84,707,31.2
31.86,707.4,29.9
31.88,707.8,26
31.9,708.2,33.5
31.92,708.6,32.7
31.94,709,34.5
31.96,709.3,32.6
31.98,709.6,29
32,709.9,33.1
32.02,710.2,31.5
32.04,710.5,28.7
32.06,710.8,27.3
32.08,711.1,25.2
32.1,711.4,27.6
32.12,711.7,23.7
32.14,712,24.8
32.16,712.3,25.6
32.18,712.6,27.6
32.2,712.9,26.7
32.22,713.2,24.9
32.24,713.5,21.6
32.26,713.8,18.4
32.28,714.1,9.1
32.3,714.4,7.9
32.32,714.7,7.3
32.34,715,6.3
32.36,715.3,6.4
32.38,715.6,5.5
32.4,715.9,6.1
32.42,716.2,5.8
32.44,716.5,5.9
32.46,716.8,5.4
32.48,717.1,5.6
32.5,717.4,5.8
32.52,717.7,3.5
32.54,718,4
32.56,718.3,3.5
32.58,718.6,3.3
32.6,718.9,3.9
32.62,719.2,3.8
32.64,719.5,3.8
32.66,719.8,3.8
32.68,720.1,3.6
32.7,720.4,3.6
32.72,720.7,3.4
32.74,721,3.6
32.76,721.3,3.8
32.78,721.6,3.6
32.8,722,4
32.82,722.3,4
32.84,722.6,3.9
32.86,722.9,3.9
32.88,723.2,3.8
32.89,723.3,3.9
32.93,723.9,3.9
32.97,724.5,4
33.01,725.1,4.2
33.05,725.7,5.3
33.09,726.3,5.4
33.13,726.9,7.7
33.17,727.5,9.4
33.21,728.1,10
33.25,728.8,12.8
33.29,729.4,13.8
33.33,730.5,12.8
33.37,731.6,12.2
33.39,732.2,10.3
33.41,732.7,8
33.43,733.3,10
33.45,733.9,13.9
33.47,734.4,14.3
33.49,735,12.5
33.51,735.5,13.4
33.53,736.1,12.9
33.55,736.7,9.7
33.57,737.2,9.7
33.59,737.8,6.9
33.61,738.3,6.2
33.63,738.9,3.9
33.65,739.5,3.9
33.67,740,3.7
33.69,740.6,3.9
33.71,741.2,3.7
33.73,741.7,3.9
33.75,742.3,3.7
33.77,742.8,3.7
33.79,743.4,3.6
33.81,744,3.6
33.83,744.5,4.1
33.85,745.1,4
33.87,745.7,4.2
33.89,746.2,4.1
33.91,746.8,3.9
33.93,747.3,3.9
33.95,747.9,3.8
33.97,748.5,3.9
33.99,749,4
34.01,749.6,4.1
34.03,750.1,4.1
34.05,750.7,4.1
34.07,751.3,4.3
34.09,751.8,3.9
34.11,752.4,4.3
34.13,753,4.5
34.15,753.5,5.3
34.17,754.1,8.5
34.19,754.6,6.4
34.21,755.2,5.5
34.23,755.8,4.4
34.25,756.3,4.3
34.27,756.9,4.3
34.29,757.5,4.2
34.31,758,4.2
34.33,758.6,4.1
34.35,759.1,4.7
34.37,759.7,5
34.39,760.3,6.5
34.41,760.8,11
34.43,761.4,13.1
34.45,761.9,16.2
34.47,762.5,16.1
34.49,763.1,17.6
34.51,763.6,14.4
34.53,764.1,6.8
34.55,764.6,6.2
34.57,765.1,3.5
34.59,765.6,5.8
34.61,766.1,5.3
34.63,766.6,6.7
34.65,767.1,10.4
34.67,767.7,14.6
34.69,768.2,18.1
34.71,768.7,23.2
34.73,769.2,23.9
34.75,769.7,23.1
34.77,770.2,26.2
34.79,770.7,25.2
34.81,771.2,25.1
34.83,771.7,22.4
34.85,772.2,7.9
34.87,772.8,7.9
34.89,773.3,10.2
34.91,773.8,11.4
34.92,774,11.9
34.94,774.5,11.3
34.96,775,5.9
34.98,775.6,14.1
35.02,776.6,15.8
35.06,777.6,24.3
35.1,778.6,20.2
35.14,779.6,32.5
35.18,780.7,36.4
35.22,781.7,28.4
35.26,782.7,37.2
35.3,784.1,33.4
35.34,785.5,31.7
35.38,786.9,22.7
35.42,788.3,19.4
35.44,789,18.8
35.46,789.7,13.2
35.48,790.4,10.8
35.5,791.1,9.7
35.52,791.8,15.9
35.54,792.5,12.1
35.56,793.2,11.3
35.58,793.9,6.8
35.6,794.6,4.9
35.62,795.3,4.2
35.64,796,4.6
35.66,796.8,5
35.68,797.5,4.8
35.7,798.2,5.2
35.72,798.9,4.5
35.74,799.6,4.6
35.76,800.3,4.4
35.78,801,4.6
35.8,801.7,4.5
35.82,802.4,4.4
35.84,802.9,3.3
35.86,803.5,3.6
35.88,804.1,3.6
35.9,804.6,3.6
35.92,805.2,3.5
35.94,805.8,3.6
35.96,806.3,3.7
35.98,806.9,3.3
36,807.5,3.3
36.02,808,3.5
36.04,808.6,3.5
36.06,809.2,3.2
36.08,809.7,3.5
36.1,810.3,3.6
36.12,810.9,3.6
36.14,811.4,3.5
36.16,812,3.9
36.18,812.6,3
36.2,813.1,4.2
36.22,813.7,4.8
36.24,814.3,4.2
36.26,814.8,4.2
36.28,815.4,4.4
36.3,816,4.8
36.32,816.5,4.4
36.34,817.1,4.2
36.36,817.7,4.1
36.38,818.2,5
36.4,818.8,4.9
36.42,819.4,5
36.44,819.9,5.7
36.46,820.6,5.3
36.48,821.2,4.1
36.5,821.9,3.5
36.52,822.6,4.9
36.54,823.2,4
36.56,823.9,3.7
36.58,824.5,3.4
36.6,825.2,4.4
36.62,825.8,4.3
36.64,826.5,4.2
36.66,827.1,4.4
36.68,827.8,4.9
36.7,828.5,6.8
36.72,829.1,7.3
36.74,829.8,6.2
36.76,830.4,5.6
36.78,831.1,4.4
36.8,831.7,4.4
36.82,832.4,3.7
36.84,833,3.9
36.86,833.7,3.7
36.88,834.3,3.9
36.9,835,4.2
36.92,835.7,3.4
36.94,836.3,7.2
36.96,837,9.3
36.98,837.6,7.8
37,838.3,11
37.02,838.9,13.2
37.04,839.5,8.8
37.06,840.1,6.1
37.08,840.8,6.8
37.09,841.1,3.3
37.11,841.7,3.6
37.15,842.9,3.5
37.19,844.1,3.6
37.23,845.3,4
37.27,846.5,4.1
37.31,847.7,4.6
37.315,847.9,6.4
37.35,848.9,7.5
37.39,850.2,6.9
37.43,851.4,5.4
37.47,852.6,6.5
37.51,853.8,10
37.55,855,20.9
37.59,856.2,26.3
37.605,856.7,30.4
37.625,857.3,40.1
37.645,857.9,39.7
37.665,858.5,42.6
37.685,859.1,47
37.7,859.6,36
37.72,860.2,25.5
37.74,860.8,35.7
37.76,861.4,18.6
37.78,862.1,20.3
37.8,862.7,20.3
37.82,863.3,18.1
37.84,863.9,18.3
37.86,864.6,21.6
37.88,865.2,18
37.9,865.8,11.2
37.92,866.5,12.8
37.94,867.1,11.5
37.96,867.7,7.3
37.98,868.3,4.6
38,869,5.2
38.02,869.6,6.5
38.04,870.2,9.3
38.06,870.8,9.8
38.08,871.5,8.7
38.1,872.1,9.7
38.12,872.7,10.5
38.14,873.3,10.3
38.16,874,12.2
38.18,874.6,17.6
38.2,875.2,16.1
38.22,875.8,14
38.24,876.5,12.2
38.26,877.1,11
38.28,877.7,11
38.3,878.3,14.1
38.32,879,13.7
38.34,879.6,11.2
38.36,880.2,13.1
38.38,880.4,12.1
38.4,880.7,7
38.42,880.9,5.2
38.44,881.1,5.5
38.46,881.3,4.1
38.48,881.6,4.2
38.5,881.8,5.1
38.52,882,4.9
38.54,882.3,6
38.56,882.5,5.8
38.58,882.7,5.9
38.6,882.9,7
38.62,883.2,5.9
38.64,883.4,5.6
38.66,883.6,4.8
38.68,883.8,5.7
38.7,884.1,4.9
38.72,884.3,5.2
38.74,884.5,5
38.76,884.7,4.8
38.78,885,5.1
38.8,885.2,4.4
38.82,885.4,4.8
38.84,885.6,4.6
38.86,885.9,4.9
38.88,886.1,3.3
38.9,886.3,3.2
38.92,886.5,3.1
38.94,886.8,3
38.96,887,3.2
38.98,887.2,3.2
39,887.4,3.1
39.02,887.7,3.2
39.04,887.9,3.3
39.06,888.1,3.2
39.08,888.3,3.2
39.1,888.6,3.3
39.12,888.8,3.3
39.14,889,3.4
39.16,889.2,4
39.18,889.5,3.7
39.2,889.7,3.8
39.22,889.9,4.4
39.24,890.1,4
39.26,890.4,3.9
39.28,890.6,4.4
39.3,890.8,5.3
39.34,891.3,4.5
39.38,891.7,4.2
39.42,892.2,4.2
39.46,892.6,4.1
39.5,893.1,4.1
39.54,893.5,3.8
39.58,894,4.1
39.62,894.4,4.4
39.66,894.9,4.4
39.7,895.3,3.6
39.74,895.8,4
39.78,896.2,3.7
39.82,896.7,3.9
39.86,897.1,3.9
39.9,897.6,3.9
39.94,898,3.7
39.98,898.5,3.8
40.02,898.9,3.9
40.06,899.4,3.6
40.1,899.8,3.4
40.12,900.1,5
40.14,900.3,4.7
40.16,900.5,5
40.18,900.8,4.4
40.2,901,4.7
40.22,901.2,5.6
40.24,901.4,6.4
40.26,901.7,6.1
40.28,901.9,8.4
40.3,902.1,8.2
40.32,902.3,9.2
40.34,902.7,7.8
40.36,903,7
40.38,903.3,5.8
40.4,903.7,5.2
40.42,904,3.8
40.44,904.3,4.7
40.46,904.7,5.1
40.48,905,5.6
40.5,905.3,6.1
40.52,905.7,6
40.54,906,7.5
40.56,906.3,7.1
40.58,906.7,9.4
40.6,907,9.8
40.62,907.3,11.3
40.64,907.7,10
40.66,908,9.1
40.68,908.3,8.9
40.7,908.7,8.8
40.72,909,9.1
40.74,909.4,7.7
40.76,909.7,4.6
40.78,910,3.8
40.8,910.4,4.2
40.82,910.7,3.7
40.84,911,4.3
40.86,911.4,4
40.88,911.7,4.2
40.9,912,4.1
40.92,912.4,4
40.94,912.7,3.9
40.96,913,3.6
40.98,913.4,3.9
41,913.7,4
41.02,914,4
41.04,914.4,3.9
41.06,914.7,3.8
41.08,915,4.2
41.1,915.4,3.8
41.12,915.7,4
41.14,916,3.9
41.16,916.4,3.8
41.18,916.7,3.5
41.2,917,3.9
41.22,917.4,3.9
41.24,917.7,3.7
41.26,918,3.9
41.28,918.4,3.4
41.3,918.7,3.9
41.32,919,3.9
41.34,919.4,3.7
41.36,919.7,3.5
41.38,920,3.3
41.4,920.4,3.3
41.42,920.7,3.3
41.44,921,3
41.46,921.4,3.1
41.48,921.7,3.2
41.5,922.1,3.4
41.52,922.4,3.6
41.54,922.7,3.5
41.56,923.1,3.6
41.58,923.4,3.6
41.6,923.7,3.3
41.62,924.1,3.4
41.64,924.4,3.6
41.66,924.7,3.5
41.68,925.1,3.7
41.7,925.4,3.6
41.72,925.7,3.7
41.74,926.1,4.5
41.78,926.7,7.5
41.82,927.4,10.2
41.86,928.1,5.2
41.9,928.7,10.1
41.94,929.4,9.6
41.98,930.1,15
42.02,930.7,16.6
42.06,931.8,18.7
42.08,932.3,14.3
42.1,932.9,13
42.12,933.4,11.5
42.14,933.9,16
42.16,934.5,17.6
42.18,935,18
42.2,935.5,17.8
42.22,936.1,19.5
42.24,936.6,17.7
42.26,937.1,16.7
42.28,937.7,17.9
42.3,938.2,15.4
42.32,938.7,16.8
42.34,939.2,16.5
42.36,939.8,15.5
42.38,940.3,18.1
42.4,940.8,18.8
42.42,941.4,17.4
42.44,941.9,22.1
42.46,942.4,29.5
42.48,943,26.4
42.5,943.5,21.5
42.52,944,27.5
42.54,944.6,28.5
42.56,945.1,33.2
42.58,945.6,42.3
42.6,946.2,37.7
42.62,946.7,37.8
42.64,947.2,38.1
42.66,947.8,40.8
42.68,948.3,39.9
42.7,948.8,39.4
42.72,949.4,43.9
42.74,949.9,39.5
42.76,950.4,30.1
42.78,950.9,41.5
42.8,951.5,37.9
42.82,952,43
42.84,952.5,44.3
42.86,953,41.4
42.88,953.4,37.3
42.9,953.9,33.2
42.92,954.3,37.6
42.94,954.7,35.5
42.96,955.2,38.6
42.98,955.6,34.9
43,956.1,31.1
43.02,956.5,33
43.04,956.9,35.8
43.06,957.4,31.2
43.08,957.8,30.9
43.1,958.2,27.1
43.12,958.7,29
43.14,959.1,23.1
43.16,959.6,17.7
43.18,960,13.8
43.2,960.4,10.2
43.22,960.9,8.8
43.24,961.3,8.5
43.26,961.8,5.2
43.28,962.2,5.2
43.3,962.6,4.8
43.32,963.1,3.9
43.34,963.5,3.7
43.36,964,4
43.38,964.4,3.8
43.4,964.8,3.6
43.42,965.3,3.5
43.44,965.7,3.7
43.46,966.1,3.8
43.48,966.6,3.5
43.5,967,3.4
43.52,967.5,3.4
43.54,967.9,3.5
43.56,968.3,3.6
43.58,968.8,4.3
43.6,969.2,9.8
43.62,969.7,10.3
43.64,970.1,9.4
43.66,970.5,5.6
43.68,971,5
43.7,971.4,5
43.72,971.9,5.8
43.74,972.3,6.5
43.76,972.7,9.5
43.78,973.2,11.6
43.8,973.6,14.1
43.82,974,16.8
43.84,974.4,16
43.86,974.8,16.1
43.88,975.2,14.7
43.9,975.6,14.3
43.92,975.9,12.8
43.94,976.3,13.1
43.96,976.7,11.9
43.98,977.1,8.9
44,977.5,11.3
44.02,977.8,15.1
44.04,978.2,10
44.06,978.6,8.4
44.08,979,7.7
44.1,979.3,7.8
44.12,979.7,7.3
44.14,980.1,6.4
44.16,980.5,6.4
44.18,980.9,6.7
44.2,981.2,6.6
44.22,981.6,6.4
44.24,982,7.2
44.26,982.4,8.4
44.28,982.7,9.4
44.3,983.1,9.2
44.32,983.5,7.3
44.34,983.9,7.8
44.36,984.3,5.8
44.38,984.6,5.4
44.4,985,3.6
44.42,985.4,3.5
44.44,985.8,3.6
44.46,986.1,4.4
44.48,986.5,3.1
44.5,986.9,5.3
44.52,987.3,5.2
44.54,987.7,4.8
44.56,988,4.5
44.58,988.4,5
44.6,988.8,5.1
44.62,989.2,5.5
44.64,989.5,5.3
44.66,989.9,4.5
44.68,990.3,4.8
44.7,990.7,5
44.72,991.1,4
44.74,991.4,4.3
44.76,991.8,4.5
44.78,992.2,6
44.8,992.6,5.5
44.82,992.9,6.5
44.84,993.3,8.4
44.86,993.7,9.7
44.88,994.1,11.5
44.9,994.5,15.6
44.92,994.8,21.3
44.94,995.2,18.8
44.96,995.6,20
44.98,996,19.5
45,996.4,15.4
45.02,996.8,14
45.04,997.2,15.3
45.06,997.7,12
45.08,998.1,11.3
45.11,998.7,9.8
45.13,999.1,8
45.15,999.5,7.3
45.17,999.9,7.4
45.19,1000.4,7.2
45.21,1000.8,7.5
45.23,1001.2,5.6
45.24,1001.4,6
45.26,1001.8,6.5
45.29,1002.4,9.6
45.31,1002.8,8.4
45.33,1003.3,9.2
45.35,1003.7,8
45.37,1004.1,8.4
45.39,1004.5,6.5
45.41,1004.9,5.2
45.43,1005.3,4.8
45.46,1005.9,3.6
45.48,1006.4,5.3
45.49,1006.6,5.4
45.51,1007,5.8
45.53,1007.4,5.2
45.55,1007.8,4.8
45.57,1008.2,5.3
45.59,1008.6,5
45.61,1009.1,5.3
45.63,1009.5,5
45.66,1010.1,6.9
45.69,1010.7,6
45.71,1011.1,8.6
45.73,1011.5,8.8
45.75,1012,7.3
45.77,1012.4,5.5
45.79,1012.8,4.3
45.81,1013.2,5.2
45.83,1013.6,4.8
45.84,1013.8,4.5
45.86,1014.2,5.3
45.88,1014.6,5.6
45.89,1014.8,5.2
45.91,1015.3,5
45.93,1015.7,5.3
45.95,1016.1,5.5
45.97,1016.5,7
45.99,1016.9,7.7
46,1017.1,7.2
46.02,1017.5,9
46.04,1018,10.1
46.06,1018.4,12.1
46.08,1018.8,12.4
46.1,1019.2,15.4
46.12,1019.6,17
46.14,1020,21.1
46.16,1020.4,19.1
46.18,1020.9,18.1
46.2,1021.3,20.2
46.22,1021.7,26.4
46.24,1022.2,22.1
46.26,1022.8,24.7
46.28,1023.4,22.3
46.3,1023.9,24.7
46.32,1024.5,23.8
46.34,1025,23.5
46.36,1025.6,20.6
46.38,1026.2,20.3
46.4,1026.7,21.5
46.42,1027.3,23
46.44,1027.9,14.8
46.46,1028.4,11.1
46.48,1029,6.8
46.5,1029.5,6.1
46.54,1030.7,13.3
46.56,1031.2,12.8
46.58,1031.8,18.1
46.6,1032.3,18.2
46.62,1032.9,17.7
46.64,1033.5,19.9
46.66,1034,20.3
46.68,1034.6,14.5
46.7,1035.1,13.3
46.72,1035.7,12.6
46.74,1036.3,12.2
46.76,1036.8,12.7
46.78,1037.4,10.2
46.8,1037.9,9.6
46.82,1038.5,9.7
46.86,1039.6,10.1
46.88,1040.2,11.4
46.9,1040.8,7.9
46.92,1041.3,5.8
46.94,1041.9,5.5
46.96,1042.4,5.3
46.98,1043,7.3
47,1043.6,9.8
47.02,1044.1,11
47.04,1044.7,11
47.06,1045.2,8.7
47.08,1045.8,14.4
47.1,1046,10.6
47.12,1046.2,12.3
47.14,1046.5,7.3
47.16,1046.7,7.2
47.18,1046.9,6.6
47.2,1047.1,6.7
47.22,1047.4,10.2
47.24,1047.6,4.3
47.26,1047.8,4.3
47.28,1048,3.6
47.3,1048.3,3.2
47.32,1048.5,3.4
47.34,1048.7,3.7
47.36,1048.9,3.2
47.38,1049.2,3.2
47.4,1049.4,3.4
47.42,1049.6,3.4
47.44,1049.8,4
47.46,1050.1,3.8
47.48,1050.3,3.8
47.5,1050.5,3.6
47.52,1050.7,3.6
47.54,1051,3.3
47.56,1051.2,3
47.58,1051.4,2.8
47.6,1051.6,3
47.62,1051.9,2.9
47.64,1052.1,2.8
47.66,1052.3,3
47.68,1052.5,2.8
47.7,1052.8,2.8
47.72,1053,2.9
47.74,1053.2,3.2
47.76,1053.4,2.4
47.78,1053.7,3.2
47.8,1053.9,2.8
47.82,1054.1,3.2
47.84,1054.3,2.6
47.86,1054.6,2.8
47.88,1054.8,2.8
47.9,1055,3.1
47.92,1055.2,2.8
47.94,1055.4,3.2
47.96,1055.7,3.3
47.98,1055.9,2.8
48,1056.1,3.5
48.02,1056.3,2.9
48.04,1056.6,3.3
48.09,1057.1,3.5
48.11,1057.4,3.6
48.13,1057.6,3.4
48.15,1057.8,3.2
48.17,1058,3.6
48.19,1058.3,3.8
48.21,1058.5,3.7
48.23,1058.7,3.6
48.25,1058.9,3.7
48.27,1059.2,3.5
48.29,1059.4,3.9
48.33,1059.8,4.8
