# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Depth and Age are averages of their 'Top' and 'Bottom' values.

Depth (average) [m],WD2014 Age (average) [ka BP],ss Na [ng/b]
1605.95,8.21074,27.972
1606.05,8.21165,19.226
1606.15,8.21256,45.458
1606.25,8.21353,29.889
1606.35,8.21454,15.117
1606.45,8.21539,40.175
1606.55,8.21609,16.262
1606.65,8.21681,9.323
1606.75,8.21759,14.569
1606.85,8.21856,16.89
1606.95,8.21957,23.159
1607.05,8.22053,40.347
1607.15,8.22138,39.941
1607.25,8.22213,14.337
1607.35,8.22298,14.596
1607.45,8.22394,20.925
1607.55,8.22488,14.541
1607.65,8.22567,20.839
1607.75,8.22641,25.554
1607.85,8.22722,31.633
1607.95,8.22809,41.527
1608.05,8.22888,11.886
1608.15,8.22953,33.117
1608.25,8.23016,27.583
1608.35,8.23091,13.524
1608.45,8.23171,45.792
1608.55,8.23246,35.677
1608.65,8.23319,35.846
1608.75,8.23396,18.241
1608.85,8.23477,25.744
1608.95,8.23565,18.128
1609.05,8.23657,23.751
1609.15,8.23735,18.953
1609.25,8.23806,22.529
1609.35,8.23888,13.805
1609.45,8.23971,25.369
1609.55,8.24069,11.231
1609.65,8.24173,26.233
1609.75,8.24262,12.749
1609.85,8.24334,20.103
1609.95,8.24397,12.699
1610.05,8.24471,14.855
1610.15,8.24545,29.483
1610.25,8.24615,22.873
1610.35,8.24699,24.576
1610.45,8.24787,20.605
1610.55,8.24859,35.243
1610.65,8.24929,14.341
1610.75,8.25012,22.206
1610.85,8.25095,9.724
1610.95,8.25167,46.774
1611.05,8.25241,33.237
1611.15,8.25327,29.758
1611.25,8.25413,16.58
1611.35,8.25496,26.922
1611.45,8.25582,26.375
1611.55,8.25658,20.239
1611.65,8.25732,18.444
1611.75,8.25814,9.212
1611.85,8.25897,12.443
1611.95,8.2598,16.89
1612.05,8.26062,18.663
1612.15,8.26136,35.408
1612.25,8.2621,21.382
1612.35,8.26295,14.134
1612.45,8.26374,19.367
1612.55,8.26461,16.186
1612.65,8.26557,39.237
1612.75,8.26649,14.944
1612.85,8.2674,31.139
1612.95,8.26828,28.996
1613.05,8.26914,23.966
1613.15,8.26997,16.665
1613.25,8.27068,24.508
1613.35,8.27139,23.37
1613.45,8.27218,10.014
1613.55,8.27308,21.335
1613.65,8.2741,35.28
1613.75,8.27502,21.262
1613.85,8.27575,15.2
1613.95,8.2765,45.503
1614.05,8.27747,32.529
1614.15,8.27853,29.405
1614.25,8.27938,23.722
1614.35,8.28018,10.848
1614.45,8.28114,18.399
1614.55,8.28215,22.518
1614.65,8.28314,10.31
1614.75,8.28405,25.113
1614.85,8.28495,23.566
1614.95,8.28599,28.599
1615.05,8.28702,21.013
1615.15,8.28784,9.613
1615.25,8.28857,30.429
1615.35,8.28941,14.806
1615.45,8.29024,16.85
1615.55,8.29092,18.522
1615.65,8.29161,25.023
1615.75,8.29231,45.977
1615.85,8.29307,48.907
1615.95,8.29395,19.08
1616.05,8.2949,16.315
1616.15,8.29579,14.454
1616.25,8.29661,21.181
1616.35,8.29731,14.283
1616.45,8.2979,14.246
1616.55,8.2986,46.064
1616.65,8.29944,19.794
1616.75,8.30035,33.867
1616.85,8.30116,20.732
1616.95,8.30188,18.05
1617.05,8.30278,15.193
1617.15,8.3038,11.128
1617.25,8.3047,24.572
1617.35,8.30568,17.002
1617.45,8.3067,19.381
1617.55,8.30764,16.815
1617.65,8.30848,43.078
1617.75,8.30913,28.627
1617.85,8.3098,21.697
1617.95,8.31056,18.963
1618.05,8.31143,30.179
1618.15,8.31234,25.034
1618.25,8.31322,21.287
1618.35,8.31404,15.19
1618.45,8.31481,19.278
1618.55,8.31554,23.237
1618.65,8.31624,20.285
1618.75,8.31699,15.029
1618.85,8.31778,15.988
1618.95,8.31847,30.343
1619.05,8.3191,21.985
1619.15,8.31982,22.589
1619.25,8.32058,19.633
1619.35,8.32138,25.473
1619.45,8.32224,19.511
1619.55,8.32303,21.683
1619.65,8.32366,28.596
1619.75,8.32427,29.568
1619.85,8.32495,27.761
1619.95,8.32571,16.553
1620.05,8.32643,15.698
1620.15,8.3272,22.841
1620.25,8.32805,27.101
1620.35,8.32882,26.56
1620.45,8.3296,24.112
1620.55,8.33053,34.007
1620.65,8.33138,43.709
1620.75,8.33218,16.125
1620.85,8.3331,18.2
1620.95,8.33407,19.372
1621.05,8.33501,23.432
1621.15,8.33591,29.248
1621.25,8.33683,22.657
1621.35,8.33771,19.79
1621.45,8.3385,35.239
1621.55,8.33937,18.253
1621.65,8.34029,36.322
1621.75,8.34116,22.748
1621.85,8.34209,31.749
1621.95,8.34308,15.43
1622.05,8.34404,19.086
1622.15,8.34492,23.183
1622.25,8.34583,25.663
1622.35,8.34674,19.172
1622.45,8.34764,16.838
1622.55,8.34856,19.666
1622.65,8.34943,20.399
1622.75,8.35026,17.104
1622.85,8.35109,32.951
1622.95,8.35191,18.076
1623.05,8.35271,24.469
1623.15,8.35363,21.679
1623.25,8.35454,38.564
1623.35,8.35538,22.531
1623.45,8.35629,17.914
1623.55,8.35717,17.687
1623.65,8.35806,13.42
1623.75,8.35896,10.702
1623.85,8.35982,19.469
1623.95,8.36075,32.455
1624.05,8.36164,37.24
1624.15,8.36244,35.02
1624.25,8.3633,24.085
1624.35,8.36412,17.812
1624.45,8.3648,13.877
1624.55,8.36543,14.823
1624.65,8.3661,24.622
1624.75,8.36687,15.23
1624.85,8.36765,11.126
1624.95,8.36838,22.184
1625.05,8.36922,11.99
1625.15,8.37016,14.529
1625.25,8.37106,21.095
1625.35,8.37197,19.291
1625.45,8.37288,16.111
1625.55,8.37363,30.093
1625.65,8.3744,23.107
1625.75,8.37527,31.994
1625.85,8.37611,9.009
1625.95,8.37696,13.829
1626.05,8.37789,22.044
1626.15,8.37887,15.892
1626.25,8.37974,19.61
1626.35,8.3806,13.477
1626.45,8.38161,21.76
1626.55,8.38262,30.858
1626.65,8.38349,22.684
1626.75,8.3844,16.481
1626.85,8.38536,19.825
1626.95,8.38628,29.104
1627.05,8.38722,13.929
1627.15,8.38816,12.6
1627.25,8.389,21.632
1627.35,8.38981,42.315
1627.45,8.39068,22.446
1627.55,8.39163,16.235
1627.65,8.39252,28.136
1627.75,8.39339,12.69
1627.85,8.39439,21.788
1627.95,8.39531,22.606
1628.05,8.39608,15.376
1628.15,8.39694,18.811
1628.25,8.39785,25.15
1628.35,8.3988,24.63
1628.45,8.39981,27.864
1628.55,8.40079,19.953
1628.65,8.40164,14.126
1628.75,8.4024,14.73
1628.85,8.40318,17.266
1628.95,8.40403,33.863
1629.05,8.40488,20.074
1629.15,8.40572,8.065
1629.25,8.40664,20.021
1629.35,8.40755,51.647
1629.45,8.40848,29.168
1629.55,8.40934,24.638
1629.65,8.41008,16.183
1629.75,8.41088,17.006
1629.85,8.4117,16.415
1629.95,8.41249,14.923
1630.05,8.41336,14.242
1630.15,8.41423,15.423
1630.25,8.41502,11.895
1630.35,8.41594,24.487
1630.45,8.41688,21.106
1630.55,8.41763,16.508
1630.65,8.41845,13.491
1630.75,8.4194,20.915
1630.85,8.42028,20.914
1630.95,8.42127,14.558
1631.05,8.42226,12.872
1631.15,8.42307,12.713
1631.25,8.42387,8.855
1631.35,8.42466,10.761
1631.45,8.42542,16.85
1631.55,8.42618,11.082
1631.65,8.42696,12.984
1631.75,8.42777,9.882
1631.85,8.4286,15.364
1631.95,8.42958,18.427
1632.05,8.43059,17.321
1632.15,8.43146,24.892
1632.25,8.43219,8.162
1632.35,8.43284,11.449
1632.45,8.43359,15.014
1632.55,8.43435,14.327
1632.65,8.43504,19.72
1632.75,8.43571,11.866
1632.85,8.43658,20.157
1632.95,8.43741,11.642
1633.05,8.4381,11.833
1633.15,8.43889,16.797
1633.25,8.43966,25.881
1633.35,8.44056,17.353
1633.45,8.44145,18.276
1633.55,8.44231,7.005
1633.65,8.44333,20.204
1633.75,8.44427,24.033
1633.85,8.44517,16.465
1633.95,8.44605,10.573
1634.05,8.4468,17.912
1634.15,8.44775,13.455
1634.25,8.44886,18.649
1634.35,8.44976,10.414
1634.45,8.45057,24.317
1634.55,8.4514,18.189
1634.65,8.45241,12.221
1634.75,8.45339,17.267
1634.85,8.45424,14.656
1634.95,8.4551,34.242
1635.05,8.45588,36.295
1635.15,8.45671,8.233
1635.25,8.45758,14.479
1635.35,8.45835,15.085
1635.45,8.45918,12.628
1635.55,8.46009,13.042
1635.65,8.46094,17.356
1635.75,8.46178,17.732
1635.85,8.46255,33.645
1635.95,8.46335,39.511
1636.05,8.46429,28.125
1636.15,8.46529,40.759
1636.25,8.46636,19.923
1636.35,8.46724,21.37
1636.45,8.46788,11.651
1636.55,8.46855,15.256
1636.65,8.46935,8.64
1636.75,8.47019,14.34
1636.85,8.47094,23.97
1636.95,8.47162,17.012
1637.05,8.47245,9.048
1637.15,8.47336,14.214
1637.25,8.47426,26.752
1637.35,8.47525,28.945
1637.45,8.4762,25.622
1637.55,8.47705,15.932
1637.65,8.47787,21.115
1637.75,8.47865,26.713
1637.85,8.47941,24.399
1637.95,8.48027,18.931
1638.05,8.48125,31.386
1638.15,8.48223,22.409
1638.25,8.4832,32.98
1638.35,8.48416,15.08
1638.45,8.48512,19.99
1638.55,8.4862,36.599
1638.65,8.48732,12.657
1638.75,8.48832,23.297
1638.85,8.48921,10.377
1638.95,8.49001,19.308
1639.05,8.49076,22.092
1639.15,8.49163,15.447
1639.25,8.49255,14.057
1639.35,8.49338,7.818
1639.45,8.49416,17.553
1639.55,8.49491,9.988
1639.65,8.49576,9.205
1639.75,8.49676,11.274
1639.85,8.49776,15.788
1639.95,8.49857,21.645
1640.05,8.49937,20.124
1640.15,8.50028,9.012
1640.25,8.50119,11.289
1640.35,8.50222,14.186
1640.45,8.50321,9.141
1640.55,8.50409,22.2
1640.65,8.50501,13.498
1640.75,8.50596,17.145
1640.85,8.50688,12.903
1640.95,8.50789,20.191
1641.05,8.5089,14.974
1641.15,8.5098,14.341
1641.25,8.51069,9.907
1641.35,8.51167,8.996
1641.45,8.5125,24.043
1641.55,8.51333,24.802
1641.65,8.51432,27.853
1641.75,8.51529,13.394
1641.85,8.51617,10.943
1641.95,8.51696,23.463
1642.05,8.51784,11.591
1642.15,8.51876,6.737
1642.25,8.51974,19.405
1642.35,8.52077,17.952
1642.45,8.52183,15.75
1642.55,8.52284,12.709
1642.65,8.5237,17.531
1642.75,8.52454,10.826
1642.85,8.5255,18.343
1642.95,8.52647,24.416
1643.05,8.52738,20.672
1643.15,8.52834,14.602
1643.25,8.52935,18.901
1643.35,8.53029,15.028
1643.45,8.53112,17.555
1643.55,8.53192,12.604
1643.65,8.53261,20.213
1643.75,8.53328,17.748
1643.85,8.53408,24.768
1643.95,8.53498,16.932
1644.05,8.53592,22.295
1644.15,8.53682,21.062
1644.25,8.53776,10.233
1644.35,8.53872,17.442
1644.45,8.53969,12.06
1644.55,8.54071,23.187
1644.65,8.54168,16.169
1644.75,8.54248,20.591
1644.85,8.54319,16.48
1644.95,8.54404,20.625
1645.05,8.54492,23.637
1645.15,8.54566,19.822
1645.25,8.5464,10.825
1645.35,8.54735,13.567
1645.45,8.54826,11.103
1645.55,8.54898,7.303
1645.65,8.54969,12.817
1645.75,8.55055,25.058
1645.85,8.5514,65.803
1645.95,8.55209,19.618
1646.05,8.55277,24.055
1646.15,8.55362,28.478
1646.25,8.55458,17.115
1646.35,8.55561,13.118
1646.45,8.5565,8.892
1646.55,8.55726,15.669
1646.65,8.55813,25.138
1646.75,8.55901,12.627
1646.85,8.55992,16.109
1646.95,8.56081,17.042
1647.05,8.56168,34.998
1647.15,8.56255,21.278
1647.25,8.56347,18.088
1647.35,8.56448,11.429
1647.45,8.56539,23.654
1647.55,8.56615,22.778
1647.65,8.56684,8.612
1647.75,8.56754,5.64
1647.85,8.56836,17.352
1647.95,8.5693,31.652
1648.05,8.57018,9.541
1648.15,8.57101,10.093
1648.25,8.57193,12.143
1648.35,8.57287,17.358
1648.45,8.57375,22.187
1648.55,8.57454,57.268
1648.65,8.5752,13.911
1648.75,8.57587,21.189
1648.85,8.57678,13.128
1648.95,8.57782,16.635
1649.05,8.57877,17.463
1649.15,8.57967,16.313
1649.25,8.58046,15.017
1649.35,8.58121,23.111
1649.45,8.58199,14.604
1649.55,8.58273,24.586
1649.65,8.5835,11
1649.75,8.58437,13.053
1649.85,8.58532,14.453
1649.95,8.58623,15.305
1650.05,8.58708,21.122
1650.15,8.588,23.486
1650.25,8.58889,20.27
1650.35,8.58966,29.522
1650.45,8.59051,17.888
1650.55,8.59137,27.93
1650.65,8.59211,24.293
1650.75,8.59301,13.259
1650.85,8.59398,9.236
1650.95,8.59479,15.057
1651.05,8.5955,17.548
1651.15,8.59638,21.826
1651.25,8.59746,27.511
1651.35,8.59835,21.826
1651.45,8.59905,17.245
1651.55,8.59984,24.649
1651.65,8.60067,12.955
1651.75,8.60146,19.069
1651.85,8.60232,21.766
1651.95,8.60327,12.46
1652.05,8.60411,16.793
1652.15,8.60488,38.566
1652.25,8.60573,17.176
1652.35,8.60669,17.781
1652.45,8.60764,26.767
1652.55,8.60856,10.318
1652.65,8.60947,13.935
1652.75,8.61043,26.485
1652.85,8.61133,34.667
1652.95,8.61219,14.037
1653.05,8.6131,23.734
1653.15,8.61397,25.299
1653.25,8.61487,23.477
1653.35,8.61582,12.626
1653.45,8.61671,16.97
1653.55,8.61754,13.219
1653.65,8.61832,10.301
1653.75,8.61906,17.352
1653.85,8.61991,19.676
1653.95,8.62087,15.791
1654.05,8.62177,16.137
1654.15,8.62252,17.859
1654.25,8.62331,15.16
1654.35,8.62428,14.852
1654.45,8.62539,12.912
1654.55,8.62636,11.689
1654.65,8.62712,16.269
1654.75,8.62788,14.056
1654.85,8.6286,15.639
1654.95,8.62954,15.404
1655.05,8.63055,33.548
1655.15,8.63155,14.211
1655.25,8.63245,23.04
1655.35,8.63333,15.068
1655.45,8.63428,19.755
1655.55,8.63511,18.578
1655.65,8.63597,17.916
1655.75,8.63682,25.66
1655.85,8.63767,8.299
1655.95,8.63844,14.128
1656.05,8.63917,9.09
1656.15,8.63994,13.578
1656.25,8.64068,20.201
1656.35,8.64145,19.265
1656.45,8.64225,11.308
1656.55,8.64303,12.418
1656.65,8.6439,23.72
1656.75,8.64486,13.568
1656.85,8.6458,16.783
1656.95,8.64673,19.511
1657.05,8.64768,22.495
1657.15,8.6485,36.244
1657.25,8.64933,15.021
1657.35,8.65027,15.564
1657.45,8.65127,13.633
1657.55,8.65229,12.15
1657.65,8.6532,16.109
1657.75,8.65402,16.509
1657.85,8.65492,18.199
1657.95,8.65593,21.331
1658.05,8.65703,16.019
1658.15,8.65803,16.947
1658.25,8.65888,15.403
1658.35,8.65983,15.065
1658.45,8.66075,20.146
1658.55,8.66166,16.867
1658.65,8.66269,13.5
1658.75,8.66375,17.1
1658.85,8.66475,21.666
1658.95,8.6657,14.53
1659.05,8.66661,20.904
1659.15,8.66748,15.245
1659.25,8.66845,35.001
1659.35,8.66937,23.513
1659.45,8.67032,24.895
1659.55,8.67119,27.662
1659.65,8.67187,12.296
1659.75,8.67266,19.7
1659.85,8.67358,13.491
1659.95,8.67441,21.531
1660.05,8.67523,23.466
1660.15,8.67612,18.896
1660.25,8.6771,22.601
1660.35,8.67806,20.264
1660.45,8.67891,10.67
1660.55,8.67976,6.82
1660.65,8.68057,15.881
1660.75,8.68137,18.925
1660.85,8.68218,16.838
1660.95,8.68309,10.944
1661.05,8.68415,7.94
1661.15,8.68521,13.918
1661.25,8.68612,12.265
1661.35,8.68688,12.207
1661.45,8.68754,16.952
1661.55,8.68834,10.461
1661.65,8.68928,31.26
1661.75,8.69016,15.966
1661.85,8.69105,16.804
1661.95,8.6919,21.29
1662.05,8.69267,16.511
1662.15,8.69346,17.744
1662.25,8.69442,22.78
1662.35,8.69533,22.322
1662.45,8.69609,17.215
1662.55,8.69696,19.088
1662.65,8.69787,14.128
1662.75,8.69879,14.481
1662.85,8.69972,16.932
1662.95,8.70076,14.204
1663.05,8.70184,20.254
1663.15,8.70279,23.251
1663.25,8.70374,23.116
1663.35,8.70477,9.105
1663.45,8.70565,30.574
1663.55,8.70638,29.147
1663.65,8.70718,8.779
1663.75,8.70806,16.339
1663.85,8.70888,12.044
1663.95,8.70969,24.54
1664.05,8.71057,14.854
1664.15,8.71158,9.533
1664.25,8.71255,10.532
1664.35,8.71341,27.844
1664.45,8.71437,28.832
1664.55,8.7153,22.899
1664.65,8.71614,9.708
1664.75,8.71695,19.127
1664.85,8.71774,15.445
1664.95,8.71854,10.337
1665.05,8.71946,8.487
1665.15,8.72035,18.52
1665.25,8.7212,11.189
1665.35,8.72214,14.476
1665.45,8.72301,26.207
1665.55,8.72376,14.7
1665.65,8.72454,15.635
1665.75,8.72526,17.652
1665.85,8.72588,15.261
1665.95,8.72649,13.091
1666.05,8.7272,10.513
1666.15,8.72799,14.997
1666.25,8.7287,25.462
1666.35,8.72954,17.886
1666.45,8.73046,20.376
1666.55,8.73137,18.086
1666.65,8.73226,42.414
1666.75,8.73315,17.399
1666.85,8.7342,31.796
1666.95,8.73519,21.826
1667.05,8.73603,8.989
1667.15,8.7369,12.666
1667.25,8.73781,12.884
1667.35,8.73871,13.2
1667.45,8.73954,29.301
1667.55,8.74037,19.295
1667.65,8.74127,14.747
1667.75,8.74215,18.075
1667.85,8.74308,16.498
1667.95,8.74407,15.123
1668.05,8.74499,15.598
1668.15,8.74579,14.073
1668.25,8.74659,9.801
1668.35,8.74747,15.256
1668.45,8.74854,11.983
1668.55,8.74965,22.516
1668.65,8.75056,23.559
1668.75,8.75148,20.995
1668.85,8.75234,14.194
1668.95,8.7531,9.747
1669.05,8.75392,15.995
1669.15,8.75468,21.796
1669.25,8.75554,10.685
1669.35,8.75639,9.799
1669.45,8.75716,14.732
1669.55,8.75804,23.572
1669.65,8.75895,25.342
1669.75,8.75983,24.329
1669.85,8.7606,31.858
1669.95,8.76154,27.111
1670.05,8.76251,18.09
1670.15,8.76333,10.918
1670.25,8.76423,17.207
1670.35,8.76523,14.906
1670.45,8.76624,10.466
1670.55,8.76715,29.186
1670.65,8.76804,21.806
1670.75,8.76892,22.544
1670.85,8.76972,15.637
1670.95,8.77065,19.586
1671.05,8.77168,16.32
1671.15,8.77251,21.316
1671.25,8.77324,14.079
1671.35,8.77399,11.869
1671.45,8.77474,25.937
1671.55,8.77544,11.64
1671.65,8.77615,10.283
1671.75,8.77702,14.891
1671.85,8.77812,28.147
1671.95,8.77928,11.573
1672.05,8.78024,15.693
1672.15,8.78123,20.759
1672.25,8.78228,18.381
1672.35,8.78317,13.051
1672.45,8.78397,7.265
1672.55,8.78479,11.277
1672.65,8.78566,10.911
1672.75,8.78645,20.407
1672.85,8.7872,20.275
1672.95,8.788,12.984
1673.05,8.78878,11.774
1673.15,8.78959,18.42
1673.25,8.79042,37.596
1673.35,8.79132,21.38
1673.45,8.79237,10.604
1673.55,8.79344,12.362
1673.65,8.79437,24.798
1673.75,8.79528,16.817
1673.85,8.7962,13.066
1673.95,8.79705,8.839
1674.05,8.79791,8.685
1674.15,8.7988,17.924
1674.25,8.79954,30.54
1674.35,8.80025,17.147
1674.45,8.80107,14.259
1674.55,8.80186,8.827
1674.65,8.80263,10.234
1674.75,8.80336,7.341
1674.85,8.80406,14.351
1674.95,8.80479,18.63
1675.05,8.8057,22.042
1675.15,8.80677,16.616
1675.25,8.80771,20.601
1675.35,8.8086,12.594
1675.45,8.80951,13.485
1675.55,8.81034,11.904
1675.65,8.81115,24.006
1675.75,8.8119,14.322
1675.85,8.81259,11.733
1675.95,8.81345,12.515
1676.05,8.81445,15.387
1676.15,8.81529,28.31
1676.25,8.81606,20.213
1676.35,8.81688,35.995
1676.45,8.81782,23.07
1676.55,8.81875,11.01
1676.65,8.81964,8.215
1676.75,8.82068,12.178
1676.85,8.8218,11.08
1676.95,8.82279,13.663
1677.05,8.82353,27.462
1677.15,8.82433,16.905
1677.25,8.8254,12.182
1677.35,8.82657,21.475
1677.45,8.82759,49.92
1677.55,8.82846,20.53
1677.65,8.82948,18.076
1677.75,8.83063,15.994
1677.85,8.83165,12.065
1677.95,8.83265,11.495
1678.05,8.83371,21.892
1678.15,8.83468,24.164
1678.25,8.8355,14.575
1678.35,8.83629,14.279
1678.45,8.83722,22.746
1678.55,8.83813,14.688
1678.65,8.83894,15.851
1678.75,8.83973,21.524
1678.85,8.84046,25.282
1678.95,8.84127,20.055
1679.05,8.84221,17.551
1679.15,8.84308,14.107
1679.25,8.84388,13.937
1679.35,8.84462,18.047
1679.45,8.84564,10.194
1679.55,8.84696,12.581
1679.65,8.84808,24.493
1679.75,8.84901,13.025
1679.85,8.8499,18.569
1679.95,8.85069,18.8
1680.05,8.85151,15.155
1680.15,8.85242,23.918
1680.25,8.85333,28.172
1680.35,8.85429,10.374
1680.45,8.85526,16.98
1680.55,8.85618,32.678
1680.65,8.85712,19.574
1680.75,8.85821,21.047
1680.85,8.85922,26.348
1680.95,8.86009,13.338
1681.05,8.86102,13.291
1681.15,8.86194,15.827
1681.25,8.86282,9.22
1681.35,8.86376,10.112
1681.45,8.86469,21.4
1681.55,8.86551,14.979
1681.65,8.86631,11.424
1681.75,8.86711,17.547
1681.85,8.86789,15.356
1681.95,8.86884,20.831
1682.05,8.86988,10.417
1682.15,8.87077,19.092
1682.25,8.87161,7.729
1682.35,8.87238,13.829
1682.45,8.87304,13.155
1682.55,8.87369,19.214
1682.65,8.87443,12.498
1682.75,8.87517,8.424
1682.85,8.87581,10.46
1682.95,8.87647,27.319
1683.05,8.87734,13.36
1683.15,8.87826,23.245
1683.25,8.87909,17.409
1683.35,8.87992,16.091
1683.45,8.88068,18.346
1683.55,8.88145,22.385
1683.65,8.88241,11.455
1683.75,8.88332,18.611
1683.85,8.88409,22.067
1683.95,8.88498,14.852
1684.05,8.88599,12.659
1684.15,8.88715,9.511
1684.25,8.88831,11.261
1684.35,8.8894,15.704
1684.45,8.89047,27.953
1684.55,8.89149,26.83
1684.65,8.89257,34.758
1684.75,8.89368,17.941
1684.85,8.89469,8.592
1684.95,8.89565,22.648
1685.05,8.89662,27.93
1685.15,8.89761,9.837
1685.25,8.89849,34.588
1685.35,8.89937,21.382
1685.45,8.90045,13.742
1685.55,8.90137,22.014
1685.65,8.90217,16.346
1685.75,8.90309,19.249
1685.85,8.90412,11.531
1685.95,8.90516,22.861
1686.05,8.9061,20.061
1686.15,8.90707,12.859
1686.25,8.90803,13.586
1686.35,8.90896,19.529
1686.45,8.91,15.776
1686.55,8.9111,12.342
1686.65,8.91214,14.188
1686.75,8.91308,18.265
1686.85,8.91395,12.961
1686.95,8.91486,21.492
1687.05,8.91569,31.321
1687.15,8.91655,18.801
1687.25,8.91743,28.369
1687.35,8.91829,32.092
1687.45,8.9192,36.129
1687.55,8.92005,19.099
1687.65,8.92085,13.648
1687.75,8.92156,10.815
1687.85,8.92232,10.659
1687.95,8.92318,16.065
1688.05,8.92405,8.818
1688.15,8.92496,13.193
1688.25,8.92593,20.36
1688.35,8.92683,12.879
1688.45,8.9276,9.61
1688.55,8.92837,17.295
1688.65,8.9292,26.417
1688.75,8.93008,24.672
1688.85,8.93105,12.603
1688.95,8.9322,11.846
1689.05,8.93344,18.244
1689.15,8.9344,11.301
1689.25,8.93525,9.828
1689.35,8.93623,10.838
1689.45,8.93711,9.334
1689.55,8.93783,13.487
1689.65,8.9386,17.234
1689.75,8.93942,19.613
1689.85,8.94033,13.178
1689.95,8.94129,20.702
1690.05,8.94215,21.861
1690.15,8.94295,16.059
1690.25,8.94376,12.48
1690.35,8.94459,8.421
1690.45,8.94558,10.815
1690.55,8.94667,13.081
1690.65,8.94757,19.984
1690.75,8.94864,20.667
1690.85,8.94985,25.213
1690.95,8.95085,16.385
1691.05,8.95181,9.193
1691.15,8.95275,12.806
1691.25,8.95362,8.085
1691.35,8.95453,18.752
1691.45,8.95545,14.8
1691.55,8.95629,12.421
1691.65,8.95722,15.407
1691.75,8.95826,18.778
1691.85,8.95934,16.228
1691.95,8.96037,13.503
1692.05,8.96125,13.307
1692.15,8.9621,11.429
1692.25,8.96294,8.725
1692.35,8.96381,10.724
1692.45,8.96462,10.283
1692.55,8.96538,9.428
1692.65,8.96619,7.86
1692.75,8.96701,8.19
1692.85,8.96773,19.992
1692.95,8.96866,13.072
1693.05,8.96994,23.136
1693.15,8.97121,14.958
1693.25,8.97229,11.084
1693.35,8.97323,13.501
1693.45,8.97404,11.212
1693.55,8.97477,10.459
1693.65,8.97544,4.639
1693.75,8.97609,6.972
1693.85,8.97675,19.337
1693.95,8.9775,16.185
1694.05,8.97828,8.294
1694.15,8.97913,10.512
1694.25,8.98014,23.396
1694.35,8.98108,15.414
1694.45,8.98191,23.298
1694.55,8.98271,20.165
1694.65,8.98358,16.763
1694.75,8.98465,5.674
1694.85,8.98569,7.154
1694.95,8.98641,14.474
1695.05,8.98702,9.39
1695.15,8.98785,15.102
1695.25,8.98885,11.487
1695.35,8.98978,20.372
1695.45,8.99066,8.833
1695.55,8.99153,12.231
1695.65,8.99253,9.547
1695.75,8.99346,14.946
1695.85,8.99432,13.82
1695.95,8.99528,21.075
1696.05,8.99629,9.525
1696.15,8.99739,31.511
1696.25,8.99852,14.446
1696.35,8.9996,15.609
1696.45,9.00065,13.949
1696.55,9.00166,13.609
1696.65,9.00265,17.373
1696.75,9.00371,19.195
1696.85,9.00472,12.394
1696.95,9.00568,13.075
1697.05,9.00664,7.95
1697.15,9.00759,11.074
1697.25,9.00868,8.389
1697.35,9.00971,22.131
1697.45,9.01065,7.166
1697.55,9.01166,10.485
1697.65,9.01257,13.967
1697.75,9.01344,10.915
1697.85,9.0143,19.249
1697.95,9.01518,6.921
1698.05,9.01611,12.731
1698.15,9.0173,18.33
1698.25,9.01846,11.5
1698.35,9.01937,12.917
1698.45,9.02025,15.137
1698.55,9.02111,8.361
1698.65,9.02199,16.485
1698.75,9.02285,17.86
1698.85,9.02369,13.643
1698.95,9.02467,10.192
1699.05,9.02573,14.576
1699.15,9.0267,10.903
1699.25,9.02774,11.869
1699.35,9.02878,13.711
1699.45,9.02983,22.704
1699.55,9.03086,17.282
1699.65,9.03171,22.732
1699.75,9.03251,10.307
1699.85,9.03334,10.442
1699.95,9.03424,16.051
1700.05,9.03523,12.561
1700.15,9.03621,8.377
1700.25,9.03714,7.097
1700.35,9.03805,11.086
1700.45,9.03905,12.462
1700.55,9.0402,12.632
1700.65,9.04121,13.829
1700.75,9.04202,19.903
1700.85,9.04291,13.644
1700.95,9.04394,9.55
1701.05,9.04493,8.209
1701.15,9.04584,11.093
1701.25,9.0469,13.261
1701.35,9.04794,17.813
1701.45,9.04882,12.995
1701.55,9.04965,24.039
1701.65,9.05053,13.421
1701.75,9.0515,10.968
1701.85,9.05258,19.255
1701.95,9.05375,15.298
1702.05,9.05479,8.457
1702.15,9.05574,13.798
1702.25,9.05688,16.545
1702.35,9.05803,32.517
1702.45,9.05897,23.899
1702.55,9.05986,22.364
1702.65,9.06076,14.083
1702.75,9.06162,15.09
1702.85,9.06245,18.337
1702.95,9.06329,23.477
1703.05,9.06422,8.261
1703.15,9.06512,7.839
1703.25,9.06586,10.653
1703.35,9.0667,13.884
1703.45,9.06781,14.106
1703.55,9.06892,14.626
1703.65,9.0698,6.603
1703.75,9.07052,12.319
1703.85,9.07117,5.944
1703.95,9.07187,7.634
1704.05,9.07273,15.107
1704.15,9.07368,21.519
1704.25,9.07461,13.548
