/* DESCRIPTION:
Reference:	Barbante, Carlo; Barnola, Jean-Marc; Becagli, Silvia; Beer, Jürg; Bigler, Matthias; Boutron, Claude F; Blunier, Thomas; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Debret, Maxime; Delmonte, Barbara; Dick, Dorothee; Falourd, Sonia; Faria, Sérgio H; Federer, Urs; Fischer, Hubertus; Freitag, Johannes; Frenzel, Andreas; Fritzsche, Diedrich; Fundel, Felix; Gabrielli, Paolo; Gaspari, Vania; Gersonde, Rainer; Graf, Wolfgang; Grigoriev, Dimitri; Hamann, Ilka; Hansson, Margareta E; Hoffmann, Georg; Hutterli, Manuel A; Huybrechts, Philippe; Isaksson, Elisabeth; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaczmarska, Marzena; Karlin, Torbjörn; Kaufmann, Patrik R; Kipfstuhl, Sepp; Kohno, Mika; Lambert, Fabrice; Lambrecht, Anja; Lambrecht, Astrid; Landais, Amaelle; Lawer, Gunther; Leuenberger, Markus Christian; Littot, Geneviève C; Loulergue, Laetitia; Lüthi, Dieter; Maggi, Valter; Marino, Federica; Masson-Delmotte, Valerie; Meyer, Hanno; Miller, Heinz; Mulvaney, Robert; Narcisi, Biancamaria; Oerlemans, Johannes; Oerter, Hans; Parrenin, Frédéric; Petit, Jean-Robert; Raisbeck, Grant M; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Rybak, Oleg; Severi, Mirko; Schmitt, Jochen; Schwander, Jakob; Siegenthaler, Urs; Siggaard-Andersen, Marie-Louise; Spahni, Renato; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Traversi, Rita; Udisti, Roberto; Valero Delgado, Fernando; van den Broeke, Michiel R; van de Wal, Roderik S W; Wagenbach, Dietmar; Wegner, Anna; Weiler, Karin; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric W (2006): One-to-one coupling of glacial climate variability in Greenland and Antarctica. Nature, 444, 195-198, https://doi.org/10.1038/nature05301
Data from:	https://doi.org/10.1594/PANGAEA.754444. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	δ18O H2O [‰ SMOW]	Altitude cor [m] (Altitude difference for EDML ...)
3.4745	-45.53	-36.81
3.482	-45.29	-36.9
3.49	-44.77	-37
3.498	-47.03	-37.09
3.5065	-43.81	-37.19
3.515	-44.94	-37.28
3.523	-43.32	-37.37
3.531	-44.62	-37.47
3.539	-43.6	-37.56
3.5465	-45.33	-37.65
3.5545	-44.67	-37.74
3.563	-44.7	-37.84
3.571	-44.52	-37.93
3.579	-45.07	-38.02
3.5875	-45.15	-38.11
3.596	-44.65	-38.21
3.604	-45.05	-38.29
3.612	-44.89	-38.35
3.6195	-43.79	-38.42
3.6265	-44.21	-38.48
3.6335	-44.17	-38.55
3.641	-43.98	-38.61
3.6485	-43.95	-38.68
3.6555	-44.5	-38.74
3.6625	-44.74	-38.81
3.67	-45.42	-38.87
3.678	-44.81	-38.94
3.686	-44.91	-39
3.6935	-42.08	-39.07
3.701	-44.3	-39.13
3.709	-44.38	-39.2
3.717	-43.67	-39.28
3.725	-45.01	-39.35
3.733	-44.64	-39.42
3.7405	-43.57	-39.5
3.748	-43.43	-39.57
3.756	-44.17	-39.64
3.764	-45.44	-39.72
3.7725	-44.27	-39.79
3.781	-44.53	-39.86
3.789	-43.28	-39.94
3.7975	-43.75	-40.01
3.806	-44.66	-40.07
3.814	-45.32	-40.11
3.822	-43.9	-40.15
3.83	-44.3	-40.19
3.8375	-45.31	-40.23
3.845	-45.2	-40.27
3.8525	-44.85	-40.31
3.86	-43.6	-40.35
3.868	-44.38	-40.39
3.876	-43.57	-40.43
3.8845	-44.63	-40.47
3.8935	-44.27	-40.51
3.9025	-42.86	-40.55
3.911	-43.18	-40.61
3.9195	-43.55	-40.67
3.9285	-44.42	-40.72
3.9375	-44.49	-40.78
3.9465	-43.91	-40.84
3.955	-44.63	-40.9
3.9635	-44.05	-40.96
3.972	-44.07	-41.02
3.9805	-45.38	-41.08
3.989	-45.12	-41.13
3.9975	-44.86	-41.19
4.006	-44.57	-41.25
4.014	-45.19	-41.3
4.022	-44.8	-41.36
4.03	-43.79	-41.41
4.038	-44.08	-41.47
4.046	-44.82	-41.52
4.054	-44.43	-41.58
4.062	-44.45	-41.63
4.07	-45.05	-41.69
4.078	-44.46	-41.74
4.086	-44.38	-41.79
4.094	-43.18	-41.85
4.102	-44.12	-41.9
4.11	-44.45	-41.95
4.118	-44.06	-42
4.126	-43.35	-42.05
4.134	-43.94	-42.1
4.142	-44.65	-42.15
4.15	-44.38	-42.2
4.158	-44.58	-42.25
4.166	-44.87	-42.3
4.1745	-43.65	-42.35
4.1825	-45.71	-42.4
4.19	-44.68	-42.45
4.198	-43.9	-42.5
4.206	-44.86	-42.55
4.214	-43.52	-42.59
4.222	-43.97	-42.64
4.23	-43.34	-42.68
4.238	-45.2	-42.73
4.2455	-44.03	-42.77
4.253	-43.8	-42.82
4.261	-43.85	-42.86
4.269	-43.98	-42.91
4.2765	-43.29	-42.95
4.284	-44.59	-42.99
4.292	-45.55	-43.04
4.2995	-43.68	-43.08
4.307	-44.7	-43.14
4.315	-45.65	-43.2
4.323	-43.63	-43.26
4.3315	-44.09	-43.33
4.34	-44.19	-43.39
4.3485	-43.48	-43.46
4.357	-44.31	-43.52
4.365	-44.28	-43.59
4.373	-46.28	-43.65
4.381	-44.19	-43.71
4.389	-43.15	-43.78
4.3975	-44.9	-43.84
4.406	-45.1	-43.91
4.414	-45.24	-44
4.422	-45.44	-44.09
4.43	-44.47	-44.17
4.438	-44.78	-44.26
4.4465	-44.28	-44.35
4.455	-44.94	-44.43
4.463	-44.18	-44.52
4.471	-44.23	-44.61
4.479	-44.29	-44.7
4.487	-44.65	-44.78
4.495	-43.82	-44.87
4.503	-44.69	-44.96
4.5105	-44.32	-45.06
4.5185	-45.28	-45.15
4.527	-45.34	-45.25
4.5355	-44.75	-45.35
4.5445	-42.82	-45.44
4.5535	-44.05	-45.54
4.562	-44.2	-45.64
4.5705	-43.37	-45.74
4.5795	-43.48	-45.83
4.588	-44.95	-45.93
4.5965	-44.29	-46.03
4.605	-45.08	-46.13
4.6135	-44.18	-46.23
4.6225	-44.42	-46.34
4.631	-45.4	-46.44
4.6395	-44.58	-46.54
4.648	-44.78	-46.65
4.656	-44.5	-46.75
4.6645	-45.26	-46.85
4.673	-44.91	-46.96
4.6815	-44.81	-47.06
4.69	-43.88	-47.16
4.698	-44.1	-47.27
4.7065	-43.39	-47.36
4.715	-44.79	-47.44
4.723	-45.5	-47.52
4.731	-44.44	-47.61
4.739	-44.79	-47.69
4.747	-44.85	-47.77
4.755	-44.15	-47.85
4.763	-45.58	-47.93
4.7715	-44.88	-48.02
4.78	-43.19	-48.1
4.7885	-43.41	-48.18
4.797	-44.31	-48.26
4.805	-44.83	-48.33
4.8135	-44.43	-48.39
4.822	-44.15	-48.45
4.8305	-44.4	-48.5
4.8395	-44.18	-48.56
4.848	-44.04	-48.62
4.8565	-44.69	-48.67
4.865	-44.6	-48.73
4.8735	-44.11	-48.79
4.882	-44.42	-48.85
4.89	-44.18	-48.9
4.898	-42.8	-48.96
4.906	-42.02	-49.02
4.9145	-43.81	-49.09
4.923	-45.4	-49.16
4.931	-43.38	-49.23
4.939	-44.13	-49.3
4.947	-45.01	-49.37
4.9555	-44.33	-49.44
4.964	-43.62	-49.51
4.9725	-43.68	-49.58
4.981	-44.53	-49.65
4.9895	-44.84	-49.72
4.9985	-44.94	-49.79
5.0075	-44.52	-49.87
5.016	-45.53	-49.96
5.0245	-44.59	-50.05
5.0335	-44.59	-50.13
5.042	-42.93	-50.22
5.0505	-44.71	-50.31
5.0595	-45.05	-50.4
5.0685	-45.04	-50.48
5.0775	-44.39	-50.57
5.0865	-44.45	-50.66
5.0955	-44.58	-50.74
5.1045	-46.16	-50.82
5.113	-44.55	-50.87
5.1215	-43.57	-50.92
5.13	-45	-50.97
5.1385	-43.92	-51.02
5.147	-44.38	-51.08
5.1555	-44.73	-51.13
5.164	-45.36	-51.18
5.1725	-46.39	-51.23
5.181	-44.21	-51.28
5.189	-43.57	-51.33
5.197	-43.42	-51.39
5.2055	-44.01	-51.42
5.214	-44.39	-51.45
5.2225	-44.59	-51.48
5.2315	-44.41	-51.51
5.2405	-44.11	-51.54
5.2495	-43.07	-51.56
5.2585	-44.81	-51.59
5.2675	-43.96	-51.62
5.2765	-44.19	-51.65
5.285	-43.23	-51.68
5.2935	-43.95	-51.71
5.302	-44.04	-51.73
5.3105	-44.19	-51.76
5.3195	-44.14	-51.79
5.328	-44.81	-51.81
5.3365	-45.44	-51.84
5.345	-44.94	-51.86
5.353	-43.68	-51.89
5.3615	-45.89	-51.92
5.3705	-45.65	-51.94
5.379	-44.97	-51.97
5.3875	-44.94	-51.99
5.396	-44.27	-52.02
5.4045	-45.33	-52.04
5.4135	-43.7	-52.05
5.423	-44.27	-52.06
5.433	-44.55	-52.07
5.443	-43.44	-52.08
5.453	-44.29	-52.09
5.4625	-44.74	-52.1
5.4715	-44.07	-52.11
5.481	-44.37	-52.12
5.4905	-43.2	-52.13
5.4995	-45.51	-52.14
5.5085	-44.26	-52.12
5.518	-44.54	-52.1
5.528	-44.99	-52.07
5.538	-46.12	-52.05
5.548	-44.38	-52.02
5.5575	-44.02	-52
5.5665	-44.78	-51.97
5.575	-45.22	-51.95
5.583	-44.23	-51.92
5.5915	-44.7	-51.89
5.6	-43.99	-51.87
5.6085	-45.33	-51.81
5.617	-44.39	-51.73
5.6255	-44.11	-51.64
5.6345	-44.68	-51.56
5.6435	-43.99	-51.48
5.6525	-44.73	-51.4
5.6615	-45.84	-51.32
5.6705	-44.47	-51.23
5.6795	-45.49	-51.15
5.6885	-44.69	-51.07
5.6975	-44.51	-50.99
5.7065	-44.4	-50.88
5.715	-44.78	-50.73
5.7235	-44.13	-50.58
5.7325	-44.2	-50.43
5.7415	-42.9	-50.28
5.7505	-43.41	-50.13
5.759	-44.35	-49.98
5.7675	-44.68	-49.83
5.776	-43.93	-49.68
5.784	-44.01	-49.53
5.7925	-42.64	-49.38
5.801	-44.12	-49.23
5.809	-44.75	-49.14
5.8175	-44.56	-49.06
5.8265	-44.06	-48.97
5.835	-45.43	-48.89
5.8435	-44.73	-48.81
5.8525	-44.41	-48.73
5.861	-44.02	-48.65
5.869	-45.14	-48.57
5.8775	-44.64	-48.49
5.886	-44.92	-48.4
5.8945	-44.59	-48.32
5.9035	-44.92	-48.26
5.9125	-44.77	-48.24
5.9215	-45.07	-48.23
5.931	-43.82	-48.21
5.9405	-43.04	-48.19
5.95	-44.49	-48.18
5.9595	-43.46	-48.16
5.969	-45.1	-48.15
5.979	-45.23	-48.13
5.989	-43.62	-48.12
5.9985	-44.44	-48.1
6.0075	-44.16	-48.07
6.0165	-45.37	-48.04
6.0255	-45.74	-48
6.0345	-44.59	-47.97
6.0435	-42.78	-47.93
6.0525	-43.55	-47.9
6.0615	-44.32	-47.86
6.071	-44.54	-47.83
6.0805	-44.27	-47.79
6.0895	-42.74	-47.76
6.099	-43.76	-47.73
6.1085	-44.95	-47.72
6.1175	-45.14	-47.7
6.127	-44.31	-47.69
6.1365	-44.41	-47.68
6.1455	-44.26	-47.66
6.155	-45.23	-47.65
6.1645	-44.51	-47.64
6.1735	-44.67	-47.63
6.1825	-43.38	-47.62
6.192	-45.09	-47.6
6.2015	-44.49	-47.6
6.2105	-46.18	-47.61
6.22	-44.36	-47.61
6.2295	-44.27	-47.62
6.239	-44.15	-47.62
6.249	-44.03	-47.62
6.2585	-45.25	-47.63
6.268	-44.6	-47.63
6.278	-45.27	-47.64
6.2885	-45.01	-47.64
6.299	-44.52	-47.65
6.309	-43.72	-47.65
6.3185	-45.35	-47.66
6.328	-45.12	-47.66
6.338	-44.28	-47.67
6.348	-44.59	-47.68
6.358	-45.87	-47.68
6.3685	-44.77	-47.69
6.379	-45.04	-47.7
6.389	-44.4	-47.69
6.399	-46	-47.67
6.409	-45.35	-47.65
6.419	-43.85	-47.63
6.429	-43.74	-47.61
6.4385	-43.87	-47.59
6.4475	-44.52	-47.58
6.4565	-44.06	-47.56
6.4655	-44.8	-47.54
6.475	-43.06	-47.52
6.4845	-44.87	-47.49
6.494	-44.27	-47.43
6.5045	-44.01	-47.37
6.515	-43.99	-47.31
6.5255	-45.12	-47.25
6.5355	-44.13	-47.19
6.545	-44.22	-47.13
6.5545	-44.65	-47.07
6.564	-44.36	-47.01
6.574	-45.19	-46.95
6.584	-45.4	-46.88
6.5945	-44.36	-46.8
6.6055	-44.53	-46.71
6.616	-43.67	-46.63
6.6265	-44.1	-46.54
6.637	-42.72	-46.46
6.647	-44.42	-46.37
6.6575	-44.35	-46.29
6.668	-44.72	-46.2
6.678	-44.08	-46.12
6.6875	-43.57	-46.05
6.697	-44.18	-45.98
6.707	-44.22	-45.9
6.717	-45.54	-45.83
6.7265	-44.71	-45.76
6.736	-45.21	-45.69
6.746	-44.78	-45.62
6.756	-45.09	-45.55
6.7655	-43.81	-45.48
6.7755	-45.34	-45.41
6.786	-43.51	-45.35
6.7965	-44.37	-45.28
6.807	-44.46	-45.22
6.817	-43.8	-45.15
6.827	-44.72	-45.09
6.8365	-44.73	-45.02
6.846	-44.68	-44.95
6.8555	-44.95	-44.89
6.865	-44.46	-44.82
6.8745	-43.95	-44.76
6.8835	-44.15	-44.69
6.892	-45.27	-44.61
6.9005	-43.87	-44.54
6.91	-44.67	-44.47
6.9195	-44.83	-44.4
6.929	-44.33	-44.33
6.939	-44.5	-44.25
6.9485	-44.58	-44.18
6.958	-46.58	-44.11
6.968	-44.87	-44.04
6.978	-43.5	-43.97
6.9875	-43.89	-43.89
6.997	-44.24	-43.82
7.007	-43.68	-43.75
7.017	-44.53	-43.68
7.027	-45.39	-43.6
7.037	-44.73	-43.53
7.047	-44.14	-43.46
7.0575	-45.19	-43.38
7.068	-43.89	-43.31
7.078	-44.59	-43.23
7.088	-45.14	-43.14
7.0975	-45.1	-43.05
7.1075	-44.43	-42.97
7.118	-44.61	-42.88
7.128	-45.66	-42.79
7.138	-45.27	-42.7
7.1485	-44.7	-42.62
7.159	-44.02	-42.53
7.17	-44.79	-42.45
7.1815	-44.29	-42.4
7.1925	-44.95	-42.34
7.2035	-44.77	-42.29
7.2145	-44.27	-42.23
7.225	-45.26	-42.18
7.2355	-44.78	-42.12
7.246	-44.55	-42.06
7.2565	-44.53	-42.01
7.267	-45.79	-41.95
7.2775	-44.59	-41.88
7.288	-44.14	-41.82
7.2975	-44.19	-41.75
7.307	-44.79	-41.68
7.3165	-44.52	-41.61
7.3255	-45.2	-41.55
7.335	-44.11	-41.48
7.3445	-44.34	-41.41
7.3545	-43.11	-41.34
7.3655	-45.04	-41.26
7.376	-45.25	-41.09
7.3865	-46.18	-40.92
7.397	-44.53	-40.76
7.4075	-45.36	-40.59
7.4185	-44.34	-40.42
7.4295	-44.57	-40.26
7.44	-44.65	-40.09
7.4505	-46.28	-39.92
7.461	-43.73	-39.76
7.471	-44.65	-39.62
7.481	-44.92	-39.48
7.491	-44.66	-39.35
7.501	-44.64	-39.21
7.511	-45.81	-39.08
7.521	-44.3	-38.94
7.531	-44.72	-38.81
7.5405	-44.91	-38.67
7.5495	-43.94	-38.54
7.559	-44.68	-38.41
7.5685	-44.69	-38.36
7.5775	-44.35	-38.32
7.587	-44.52	-38.27
7.5965	-44.59	-38.22
7.606	-45.01	-38.17
7.6155	-44.56	-38.12
7.6245	-44.65	-38.07
7.6345	-43.58	-38.02
7.645	-45.27	-37.97
7.655	-45.17	-37.92
7.6655	-45.65	-37.86
7.676	-45.59	-37.79
7.6855	-45.59	-37.72
7.695	-45.03	-37.66
7.7045	-45.31	-37.59
7.714	-44.97	-37.53
7.7235	-43.85	-37.46
7.733	-43.13	-37.39
7.743	-44.89	-37.33
7.753	-45.44	-37.27
7.763	-44.78	-37.24
7.773	-44.74	-37.2
7.7825	-45.21	-37.16
7.792	-43.86	-37.12
7.802	-45.14	-37.09
7.812	-45.22	-37.05
7.8225	-43.82	-37.01
7.8335	-45.06	-36.98
7.844	-45.24	-36.94
7.8545	-44.66	-36.94
7.865	-45.14	-36.95
7.875	-45.08	-36.96
7.885	-45.13	-36.97
7.895	-44.89	-36.98
7.9055	-44.84	-36.99
7.916	-45.3	-37
7.926	-44.08	-37.01
7.936	-44.06	-37.02
7.946	-45.96	-37.04
7.9565	-44.9	-37.09
7.967	-45.13	-37.14
7.977	-46.61	-37.2
7.9875	-44.94	-37.25
7.998	-45.29	-37.3
8.0085	-45.13	-37.35
8.019	-45.51	-37.4
8.0295	-45.54	-37.46
8.04	-44.89	-37.51
8.0505	-44.59	-37.49
8.0615	-45.36	-37.46
8.0725	-45.54	-37.44
8.083	-44.92	-37.42
8.0935	-44.72	-37.39
8.104	-45.41	-37.37
8.1135	-45.57	-37.35
8.123	-44.53	-37.32
8.133	-44.63	-37.3
8.1435	-44.36	-37.28
8.1545	-44.28	-37.26
8.1655	-45.89	-37.25
8.1765	-45.3	-37.23
8.1875	-45.01	-37.22
8.1985	-46.02	-37.2
8.2095	-46.08	-37.18
8.22	-44.66	-37.17
8.2305	-44.13	-37.15
8.241	-46.11	-37.16
8.251	-44.74	-37.17
8.261	-44.15	-37.18
8.271	-44.19	-37.19
8.2815	-43.97	-37.2
8.292	-45.73	-37.21
8.302	-45.01	-37.22
8.312	-45.31	-37.22
8.3225	-45.53	-37.23
8.333	-46	-37.23
8.3435	-45.53	-37.21
8.354	-45.47	-37.2
8.3645	-45.13	-37.18
8.3755	-45.7	-37.16
8.386	-45.08	-37.14
8.3965	-44.98	-37.13
8.4075	-44.96	-37.11
8.418	-44.38	-37.09
8.4285	-44.77	-37.07
8.439	-44.46	-37.03
8.449	-45.98	-37
8.459	-43.93	-36.96
8.469	-45.73	-36.93
8.479	-44.82	-36.89
8.489	-44.5	-36.85
8.499	-45.37	-36.82
8.509	-45.23	-36.78
8.5195	-44.04	-36.75
8.53	-46	-36.72
8.54	-44.41	-36.69
8.5505	-45.52	-36.66
8.561	-45.22	-36.64
8.571	-44.68	-36.61
8.581	-45.29	-36.58
8.591	-44.81	-36.55
8.601	-44.9	-36.52
8.611	-46.51	-36.49
8.621	-46.48	-36.45
8.6315	-45.38	-36.39
8.642	-44.44	-36.34
8.652	-45.01	-36.28
8.6625	-44.84	-36.22
8.673	-45	-36.16
8.6835	-44.39	-36.11
8.6945	-45.04	-36.05
8.7055	-44.62	-35.99
8.7165	-44.59	-35.91
8.7275	-45.14	-35.81
8.7385	-45.02	-35.71
8.749	-44.51	-35.6
8.7595	-46.02	-35.5
8.77	-43.15	-35.39
8.7805	-43.96	-35.29
8.7915	-44.84	-35.18
8.803	-44.67	-35.08
8.8145	-46.03	-34.9
8.826	-45.98	-34.68
8.8375	-45.62	-34.46
8.848	-44.42	-34.23
8.8585	-43.14	-34.01
8.869	-44.57	-33.79
8.8795	-44.61	-33.57
8.89	-44.95	-33.34
8.9005	-45.58	-33.12
8.911	-44.81	-32.98
8.9215	-44.58	-32.9
8.9325	-45.46	-32.82
8.943	-45.1	-32.74
8.953	-44.84	-32.66
8.9635	-44.22	-32.57
8.974	-44.34	-32.49
8.9845	-44.71	-32.41
8.995	-43.61	-32.33
9.0055	-45.23	-32.24
9.016	-45.51	-32.12
9.0265	-45.35	-32
9.0375	-45.47	-31.89
9.048	-44.85	-31.77
9.0585	-44.94	-31.66
9.069	-44.16	-31.54
9.079	-41.68	-31.43
9.089	-44.25	-31.31
9.0995	-45.99	-31.19
9.1105	-44.72	-31.07
9.1215	-44.34	-30.94
9.1325	-44.01	-30.81
9.1435	-45.72	-30.68
9.1545	-44.56	-30.56
9.1655	-44.76	-30.43
9.176	-43.32	-30.3
9.1865	-44.01	-30.17
9.197	-44.56	-30.05
9.207	-43.92	-29.95
9.217	-43.86	-29.85
9.227	-44.73	-29.74
9.2375	-45.39	-29.64
9.2485	-45	-29.54
9.26	-43.1	-29.44
9.271	-44.19	-29.34
9.283	-45.25	-29.24
9.295	-43.97	-29.14
9.307	-44.82	-29.02
9.3195	-44.58	-28.9
9.332	-44.74	-28.78
9.3435	-45	-28.65
9.3545	-45.78	-28.53
9.3655	-43.91	-28.41
9.3765	-44.51	-28.29
9.387	-45.35	-28.16
9.3975	-44.57	-28.01
9.408	-44.77	-27.85
9.418	-44.4	-27.7
9.4285	-44.4	-27.54
9.439	-44.47	-27.38
9.449	-44.76	-27.23
9.4595	-44.06	-27.07
9.4705	-43.37	-26.91
9.482	-45.34	-26.76
9.4935	-45.08	-26.52
9.505	-44.13	-26.28
9.517	-44.3	-26.04
9.5285	-43.32	-25.8
9.5395	-43.99	-25.56
9.551	-44.24	-25.32
9.562	-44.39	-25.08
9.573	-43.83	-24.84
9.5835	-44.95	-24.62
9.5945	-44.49	-24.42
9.6055	-43.69	-24.22
9.6165	-42.83	-24.03
9.6275	-44.41	-23.83
9.6385	-43.51	-23.63
9.6495	-44.4	-23.44
9.66	-44.05	-23.24
9.6705	-44.53	-23.04
9.681	-44.45	-22.86
9.691	-43.98	-22.69
9.701	-44.83	-22.51
9.7115	-45.84	-22.34
9.722	-43.58	-22.16
9.732	-43.51	-21.99
9.742	-43.75	-21.82
9.7515	-44.4	-21.64
9.761	-44.15	-21.47
9.7705	-44.16	-21.28
9.78	-44.21	-21.07
9.7905	-43.51	-20.86
9.8015	-45.3	-20.65
9.813	-45.03	-20.43
9.8245	-43.74	-20.22
9.836	-43.89	-20.01
9.8475	-43.64	-19.8
9.859	-43.9	-19.59
9.8705	-44.51	-19.38
9.882	-44.21	-19.16
9.893	-43.45	-18.95
9.9035	-44.09	-18.74
9.915	-44.26	-18.52
9.9265	-43.47	-18.31
9.938	-43.74	-18.1
9.9495	-44.08	-17.88
9.9605	-44.7	-17.67
9.972	-43.85	-17.47
9.983	-44.13	-17.28
9.9935	-43.79	-17.08
10.004	-44.57	-16.89
10.0145	-44.93	-16.69
10.025	-44.2	-16.5
10.035	-45.1	-16.3
10.045	-44.26	-16.11
10.0555	-44.4	-15.91
10.0665	-43.15	-15.68
10.0775	-44.98	-15.44
10.0885	-43.84	-15.2
10.099	-44.11	-14.96
10.1095	-44.53	-14.73
10.12	-44.33	-14.49
10.13	-42.48	-14.25
10.1405	-43.27	-14.01
10.1515	-43.55	-13.77
10.162	-44.31	-13.5
10.1725	-44.82	-13.23
10.1835	-44.71	-12.95
10.1945	-42.87	-12.68
10.2055	-43.54	-12.41
10.217	-44.37	-12.13
10.2285	-44.08	-11.86
10.2395	-44.01	-11.58
10.251	-43.56	-11.31
10.263	-44.37	-11.04
10.2745	-43.1	-10.77
10.2855	-44.11	-10.49
10.296	-43.76	-10.22
10.3065	-44.34	-9.95
10.317	-43.75	-9.68
10.327	-43.34	-9.4
10.3375	-44.15	-9.13
10.3485	-43.68	-8.84
10.36	-43.47	-8.54
10.3715	-44.65	-8.24
10.3825	-43.8	-7.94
10.394	-44.03	-7.64
10.4055	-43.09	-7.34
10.4165	-43.94	-7.03
10.428	-44.32	-6.73
10.4395	-45.02	-6.43
10.4505	-42.4	-6.16
10.461	-43.08	-5.88
10.4705	-43.57	-5.61
10.48	-44.19	-5.34
10.49	-43.6	-5.06
10.4995	-44.46	-4.79
10.509	-43.69	-4.52
10.5185	-42.99	-4.24
10.528	-44.1	-3.97
10.538	-43.09	-3.69
10.548	-44.25	-3.38
10.559	-44.15	-3.07
10.5705	-43.63	-2.76
10.5815	-44.18	-2.45
10.5925	-43.27	-2.14
10.6035	-43.2	-1.83
10.615	-43.7	-1.52
10.6265	-43.61	-1.21
10.6375	-44.54	-0.9
10.648	-43.25	-0.58
10.6585	-43.47	-0.27
10.6695	-44.39	0.05
10.68	-43.12	0.36
10.6905	-43.94	0.68
10.7015	-44.95	1
10.7125	-44.4	1.31
10.7235	-42.92	1.63
10.7345	-42.93	1.95
10.746	-43.76	2.28
10.7575	-44.05	2.61
10.769	-43.23	2.93
10.7805	-44.17	3.26
10.7915	-44.54	3.59
10.8025	-43.03	3.91
10.8135	-44.35	4.24
10.824	-43.1	4.57
10.8345	-43.24	4.9
10.845	-44.11	5.23
10.8555	-44.37	5.56
10.867	-43.51	5.89
10.879	-44.22	6.22
10.8905	-43.18	6.55
10.9015	-43.72	6.88
10.9125	-43.71	7.21
10.9235	-44.64	7.53
10.9345	-43.84	7.84
10.9455	-43.46	8.15
10.9575	-43.34	8.46
10.97	-44.38	8.77
10.982	-44.75	9.08
10.9935	-45.18	9.39
11.0045	-44.35	9.7
11.0155	-44.3	10.01
11.0265	-44.21	10.39
11.0375	-43.99	10.76
11.049	-43.9	11.13
11.0605	-44.18	11.51
11.072	-44.86	11.88
11.0835	-43.79	12.25
11.095	-43.01	12.63
11.107	-43.93	13
11.119	-42.77	13.37
11.131	-43.23	13.73
11.143	-43.23	14.1
11.155	-42.51	14.46
11.1665	-43.34	14.82
11.1775	-43.96	15.19
11.1885	-44.01	15.55
11.199	-44.35	15.91
11.2095	-43.05	16.28
11.2205	-43.5	16.64
11.232	-44.4	17.02
11.2435	-43.53	17.4
11.255	-43.98	17.77
11.267	-44.4	18.15
11.279	-43.4	18.52
11.291	-43.28	18.9
11.3025	-43.76	19.27
11.3135	-43.59	19.6
11.3245	-44.57	19.9
11.3355	-43.45	20.2
11.3465	-44.7	20.5
11.3575	-44.04	20.8
11.369	-45.37	21.11
11.3805	-44.55	21.41
11.3915	-44.11	21.71
11.403	-44.69	22.02
11.4145	-45.08	22.38
11.4255	-44.85	22.73
11.436	-44.92	23.09
11.4465	-44.38	23.45
11.4565	-43.02	23.81
11.466	-42.25	24.16
11.476	-42.98	24.52
11.486	-43.71	24.88
11.4955	-43.19	25.24
11.5045	-43.37	25.6
11.514	-43.34	25.96
11.524	-43.06	26.32
11.5345	-44.51	26.69
11.545	-43.35	27.05
11.5555	-43.71	27.41
11.5665	-45.12	27.78
11.5775	-43.49	28.14
11.588	-43.97	28.5
11.5985	-42.96	28.86
11.6095	-43.35	29.17
11.6195	-44.46	29.48
11.629	-43.62	29.78
11.639	-42.87	30.09
11.649	-43.82	30.4
11.659	-44.49	30.7
11.6685	-44.35	31.01
11.678	-44.06	31.31
11.688	-44.86	31.62
11.698	-43.86	31.93
11.708	-43.58	32.23
11.718	-44.13	32.52
11.728	-44.57	32.82
11.738	-43.68	33.12
11.748	-44.11	33.41
11.7575	-43.48	33.71
11.767	-45.41	34
11.777	-43.04	34.3
11.787	-42.9	34.6
11.7975	-44.45	34.89
11.8085	-44.35	35.2
11.8195	-44.81	35.51
11.831	-44.72	35.83
11.8425	-43.32	36.14
11.8535	-44.17	36.45
11.8645	-43.71	36.76
11.8755	-44.79	37.07
11.8865	-44.06	37.38
11.8975	-44.95	37.7
11.909	-44.23	37.98
11.9205	-44.08	38.26
11.932	-44.39	38.53
11.9435	-44.33	38.81
11.955	-44.32	39.08
11.967	-45.08	39.36
11.9785	-44.99	39.63
11.9895	-44.21	39.91
12.001	-45.13	40.18
12.0125	-44.7	40.42
12.0235	-44.92	40.64
12.035	-44.41	40.85
12.047	-44.47	41.06
12.059	-44.84	41.28
12.071	-45.56	41.49
12.0835	-44.82	41.7
12.096	-43.99	41.91
12.1085	-45.2	42.13
12.1215	-45.35	42.36
12.1345	-45.93	42.61
12.1475	-45.96	42.87
12.1605	-45.06	43.12
12.1735	-44.23	43.37
12.186	-44.62	43.62
12.198	-45.58	43.88
12.21	-45.55	44.13
12.222	-45.63	44.37
12.2335	-45.71	44.59
12.245	-44.25	44.81
12.257	-45.26	45.04
12.2685	-45.14	45.26
12.28	-45.29	45.49
12.2925	-45	45.71
