# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737413. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],G. bulloides δ18O [‰ PDB],G. bulloides δ13C [‰ PDB]
20.66,183.294,1.99,-1.12
20.69,183.762,1.79,-0.16
20.72,184.231,2.5,-0.75
20.75,184.7,1.98,-0.37
20.78,185.169,2.58,-1.64
20.81,185.637,2.52,-0.84
20.87,186.575,2.05,-1.14
20.9,187.043,2.11,-1
20.93,187.429,3.09,-0.66
20.96,187.815,2.88,-0.64
20.98,188.072,3.06,-0.71
21.05,188.971,2.64,-0.78
21.08,189.357,1.97,-0.48
21.14,190.128,1.74,-0.68
21.2,190.9,1.1,-0.07
21.23,191.285,1.43,-0.4
21.26,191.671,1.29,-0.42
21.29,192.056,1.71,-0.22
21.32,192.442,1.3,-0.66
21.35,192.946,1.84,-0.25
21.38,193.45,1.95,-0.35
21.41,193.954,1.18,-0.75
21.44,194.457,1.31,-0.39
21.47,194.961,1.34,-0.53
21.5,195.465,1.51,-0.41
21.53,195.969,1.13,-0.47
21.56,196.473,1.26,-0.54
21.59,196.977,1.47,-0.71
21.62,197.481,1.46,-0.27
21.71,198.992,1.23,-0.5
21.74,199.496,1.2,-0.44
21.77,200,1.28,-0.46
21.8,201,0.95,-0.73
21.83,202,1.2,-0.38
21.86,203,1.12,-0.75
21.89,204,1.3,-0.49
21.92,205,1.15,-0.79
21.95,205.441,0.91,-0.92
21.98,205.882,1.49,-0.65
22.01,206.324,1.03,-1.15
22.04,206.765,0.95,-1.21
22.1,207.647,1.67,-0.7
22.13,208.088,1.35,-0.94
22.16,208.529,1.08,-0.93
22.19,208.971,1.4,-0.79
22.22,209.412,1.23,-0.87
22.28,210.294,1.13,-0.84
22.31,210.735,1.15,-0.87
22.34,211.176,1.14,-0.97
22.37,211.618,0.46,-1.19
22.4,212.059,0.71,-1.42
22.43,212.5,0.68,-1.16
22.46,212.941,0.59,-1.16
22.49,213.382,0.92,-1.09
22.55,214.265,0.78,-1.09
22.58,214.706,0.89,-0.97
22.61,215.147,0.82,-0.88
22.64,215.588,0.62,-1.54
22.67,216.029,0.75,-1.31
22.7,216.471,2,-1.09
22.73,216.912,1.05,-0.99
22.76,217.353,0.97,-1.11
22.79,217.794,1.01,-1.23
22.82,218.235,1.1,-1.44
22.85,218.676,2.37,-0.47
22.88,219.118,2.37,-0.51
22.91,219.559,2.51,-0.68
22.94,220,2.15,-0.57
22.97,220.25,1.9,-0.85
23,220.5,2.52,-0.61
23.03,220.75,2.59,-0.65
23.06,221,3.44,-0.88
23.09,221.25,2.67,-0.8
23.12,221.5,2.74,-0.82
23.15,221.75,2.73,-0.95
23.18,222,2.55,-1.41
23.21,222.25,2.47,-0.88
23.24,222.5,2.78,-1.09
23.27,222.75,2.72,-1
23.3,223,2.33,-1.43
23.33,223.778,1.97,-1.19
23.36,224.556,2.52,-1.4
23.39,225.333,1.76,-1.3
23.42,226.111,1.59,-1.56
23.45,226.889,1.84,-1.78
23.48,227.667,1.98,-1.25
23.51,228.444,2.47,-0.99
23.54,229.222,2.86,-0.95
23.58,230.152,1.77,-0.52
23.6,230.455,2.11,-0.97
23.63,230.909,1.69,-0.86
23.66,231.364,1.9,-0.48
23.69,231.818,2.06,-0.59
23.72,232.273,2.17,-0.71
23.75,232.727,1.95,-0.5
23.78,233.182,1.75,-0.68
23.81,233.636,1.56,-0.79
23.84,234.091,1.47,-0.73
23.87,234.545,1.48,-0.69
23.9,235,1.27,-0.87
23.93,235.455,1.47,-0.68
23.96,235.909,0.55,-1.33
23.98,236.212,1,-1.09
24.02,236.818,1.06,-0.85
24.05,237.273,1.23,-0.71
24.08,237.727,1.37,-0.66
24.11,238.182,0.89,-0.94
24.14,238.636,0.68,-1.01
24.17,239.091,1.02,-1.05
24.2,239.545,0.76,-1.11
24.23,240,0.78,-1.15
24.26,240.308,1.15,-1.09
24.29,240.615,1.24,-1.07
24.32,240.923,1.32,-0.67
24.35,241.231,2.07,-0.95
24.38,241.538,2.59,-0.68
24.41,241.846,2.6,-0.98
24.44,242.154,2.5,-0.78
24.47,242.462,2.27,-0.88
24.5,242.769,2.45,-0.78
24.53,243.077,1.87,-0.91
24.56,243.385,1.78,-1.12
24.65,244.308,2.03,-0.88
24.68,244.615,2.19,-0.87
24.71,244.923,2.46,-1.03
24.74,245.231,2.96,-0.77
24.77,245.538,2.91,-0.79
24.8,245.846,2.45,-1.16
24.83,246.154,2.32,-1.02
24.86,246.462,2.22,-0.74
24.89,246.769,2.22,-0.67
24.92,247.077,2.52,-0.57
24.95,247.385,2.59,-0.86
24.98,247.692,2.06,-0.86
25.01,248,2.72,-1.04
25.04,248.308,2.07,-0.93
25.07,248.615,2.19,-1.03
25.1,248.923,2.35,-0.9
25.13,249.231,2.24,-0.78
25.16,249.538,2.37,-0.97
25.19,249.846,2.25,-0.8
25.25,250.462,1.91,-0.99
25.28,250.769,2.43,-0.87
25.31,251.077,1.97,-1.01
25.34,251.385,2.09,-0.97
25.37,251.692,2.22,-0.78
25.4,252,2.18,-0.8
25.43,252.167,2.03,-0.67
25.49,252.5,2.23,-0.63
25.52,252.667,2.23,-0.56
25.53,252.722,2.11,-0.77
25.58,253,2.21,-0.74
25.61,253.167,1.91,-0.86
25.64,253.333,1.93,-0.85
25.67,253.5,1.74,-1.05
25.7,253.667,2.73,-0.88
25.73,253.833,2.28,-0.98
25.76,254,2.7,-0.68
25.79,254.167,2.59,-0.66
25.82,254.333,2.57,-0.93
25.85,254.5,2.15,-1.2
25.88,254.667,2.36,-1.01
25.91,254.833,2.69,-1.07
25.94,255,2.24,-1.06
25.97,255.667,2.09,-1.16
26,256.333,2.35,-0.97
26.03,257,2.23,-1.01
26.06,257.256,2.24,-1.02
26.09,257.512,2.43,-0.82
26.12,257.767,2.39,-1.01
26.15,258.023,2.43,-1.06
26.24,258.791,2.17,-1.23
26.3,259.302,1.56,-1.5
26.33,259.558,1.55,-1.71
26.36,259.814,2.65,-1.2
26.39,260.07,2.18,-1.54
26.42,260.326,2.24,-1.46
26.45,260.581,2.21,-1.11
26.48,260.837,2.69,-1.27
26.51,261.093,2.44,-1.12
26.54,261.349,2.37,-1.16
26.57,261.605,1.99,-0.98
26.6,261.86,2.86,-1.15
26.63,262.116,2.33,-1.47
26.66,262.372,2.59,-1.64
26.69,262.628,2.4,-1.18
26.72,262.884,2.69,-1.54
26.75,263.14,2.5,-1.39
26.78,263.395,1.87,-2.04
26.81,263.651,2.76,-1.45
26.84,263.907,2.19,-1.48
26.87,264.163,2.51,-1.71
26.9,264.419,2.84,-1.46
26.93,264.674,3,-1.52
26.96,264.93,2.95,-1.57
26.98,265.101,2.84,-1.85
27.05,265.698,2.55,-1.97
27.08,265.953,2.43,-1.43
27.11,266.209,2.21,-1.25
27.17,266.721,3.02,-1.42
27.2,266.977,2.99,-1.32
27.23,267.233,3.2,-1.25
27.26,267.488,3.43,-1.33
27.29,267.744,3.16,-1.22
27.32,268,3.06,-1.32
27.35,268.22,2.98,-1.32
27.38,268.439,3.04,-1.23
27.41,268.659,2.9,-1.38
27.44,268.878,2.94,-1.4
27.47,269.098,2.83,-1.38
27.5,269.317,2.99,-1.23
27.53,269.537,2.86,-1.43
27.56,269.756,2.67,-0.74
27.59,269.976,2.81,-1.32
27.62,270.195,2.42,-0.9
27.65,270.415,2.28,-0.87
27.68,270.634,2.08,-0.82
27.71,270.854,2.78,-0.8
27.74,271.073,2.89,-1.13
27.77,271.293,2.59,-1.03
27.8,271.512,2.48,-1.26
27.83,271.732,2.5,-1.03
27.86,271.951,2.38,-1.38
27.89,272.171,2.32,-1.38
27.95,272.61,2.19,-1.06
27.98,272.829,2.26,-0.99
28.01,273.049,2.05,-1.33
28.04,273.268,2.14,-1.52
28.07,273.488,2.04,-1.3
28.13,273.927,2.67,-0.88
28.16,274.146,2.93,-0.98
28.19,274.366,2.58,-1.03
28.22,274.585,2.37,-1.23
28.25,274.805,2.25,-0.91
28.28,275.024,2.51,-1.13
28.31,275.244,2.31,-0.88
28.34,275.463,2.25,-0.9
28.37,275.683,2.05,-1.07
28.4,275.902,1.62,-1.06
28.43,276.122,1.44,-0.78
28.46,276.341,1.42,-0.86
28.49,276.561,1.74,-1.08
28.52,276.78,1.04,-1.83
28.55,277,1.55,-0.71
28.58,277.421,1.58,-0.6
28.61,277.842,1.56,-0.7
28.64,278.263,1.49,-0.58
28.67,278.684,1.47,-0.45
28.7,279.105,1.45,-0.47
28.73,279.526,1.43,-0.44
28.76,279.947,1.42,-0.41
28.79,280.368,1.66,-0.4
28.82,280.789,1.65,-0.36
28.85,281.211,1.58,-0.55
28.88,281.632,1.48,-0.62
28.91,282.053,1.55,-0.55
28.94,282.474,1.44,-0.7
28.97,282.895,1.2,-0.66
29,283.316,1.23,-0.8
29.03,283.737,1.36,-0.65
29.06,284.158,1.17,-0.55
29.09,284.579,1.23,-0.52
29.12,285,1.23,-0.49
29.15,285.421,1.29,-0.62
29.18,285.842,1.11,-0.65
29.21,286.263,1.29,-0.72
29.24,286.684,1.51,-0.56
29.27,287.105,1.32,-0.6
29.3,287.526,1.31,-0.6
29.33,287.947,1.32,-0.73
29.36,288.368,1.61,-0.58
29.39,288.789,1.81,-0.57
29.42,289.211,1.42,-0.77
29.45,289.632,2.25,-0.39
29.48,290.053,1.98,-0.95
29.51,290.474,2.2,-0.74
29.54,290.895,2.03,-0.73
29.57,291.316,1.77,-0.78
29.6,291.737,1.54,-1
29.63,292.158,2.04,-0.76
29.69,293,1.58,-1
29.72,293.432,1.53,-1.07
29.75,293.865,1.38,-0.89
29.78,294.297,2.21,-0.66
29.81,294.73,2.02,-0.68
29.84,295.162,1.84,-0.83
29.87,295.595,1.8,-0.75
29.9,296.027,1.5,-1.11
29.93,296.459,1.54,-0.76
29.96,296.892,1.49,-0.68
29.98,297.18,1.52,-0.66
30.02,297.757,1.77,-0.75
30.05,298.189,2.05,-0.67
30.08,298.622,2.04,-0.52
30.11,299.054,1.59,-0.68
30.14,299.486,1.51,-0.69
30.17,299.919,1.43,-0.6
30.2,300.351,1.28,-0.82
30.23,300.784,1.29,-0.71
30.26,301.216,1.28,-0.56
30.29,301.649,1.19,-0.74
30.32,302.081,1.27,-0.71
30.35,302.514,1.34,-0.67
30.38,302.946,1.32,-0.76
30.41,303.378,1.39,-0.67
30.44,303.811,1.3,-0.79
30.47,304.243,1.38,-0.64
30.5,304.676,1.78,-0.48
30.53,305.108,1.42,-1.07
30.56,305.541,1.54,-0.52
30.59,305.973,1.3,-0.6
30.62,306.405,1.36,-0.61
30.65,306.838,1.28,-0.57
30.68,307.27,1.18,-0.32
30.71,307.703,1.77,-0.49
30.74,308.135,1.74,-0.46
30.77,308.568,1.47,-0.32
30.8,309,1.4,-0.66
30.83,309.667,1.28,-0.68
30.86,310.333,1.37,-0.76
30.89,311,1.34,-0.68
30.92,311.667,1.36,-0.46
30.95,312.333,1.56,-0.31
30.98,313,1.63,-0.53
31.04,314.333,2.08,-0.14
31.07,315,2.42,-0.03
31.1,315.667,2.09,-0.22
31.13,316.333,2.21,-0.27
31.16,317,1.85,-0.45
31.19,317.556,1.51,-0.62
31.22,318.111,1.41,-0.76
31.25,318.667,1.33,-0.49
31.28,319.222,1.34,-0.33
31.31,319.778,1.29,-0.54
31.34,320.333,1.22,-0.41
31.4,321.444,1.05,-0.37
31.43,322,0.82,-0.76
31.46,322.556,1.03,-0.47
31.49,323.111,0.97,-0.48
31.55,324.222,0.68,-0.56
31.58,324.778,1.06,-0.51
31.61,325.333,0.91,-0.57
31.64,325.889,0.73,-0.78
31.67,326.444,0.85,-0.66
31.7,327,0.84,-0.81
31.73,327.556,0.57,-1.01
31.76,328.111,0.59,-1.19
31.79,328.667,0.79,-0.85
31.82,329.222,0.78,-0.9
31.85,329.778,0.86,-0.83
31.88,330.333,0.93,-0.83
31.91,330.889,0.74,-1.02
31.94,331.444,0.63,-1.01
31.97,332,0.89,-1.16
32,332.9,0.52,-1.5
32.03,333.8,0.7,-1.15
32.21,339.2,2.51,-1.36
32.24,340.1,1.01,-0.89
32.33,341.381,2.81,-1.46
32.36,341.571,2.69,-1.09
32.39,341.762,3.3,-1.21
32.42,341.952,3.32,-1.18
32.44,342.079,3.38,-1.22
32.48,342.333,2.98,-1.38
32.51,342.524,3.03,-1.22
32.54,342.714,3.14,-1.26
32.57,342.905,2.79,-1.39
32.6,343.095,2.8,-1.31
32.63,343.286,2.8,-1.12
32.66,343.476,2.51,-1.35
32.69,343.667,2.61,-1.23
32.72,343.857,2.64,-1.21
32.75,344.048,2.26,-1.53
32.78,344.238,2.3,-1.4
32.81,344.429,2.26,-1.5
32.84,344.619,2.26,-1.49
32.87,344.81,2.38,-1.3
32.9,345,2.58,-1.54
32.93,345.217,2.33,-1.23
32.96,345.435,2.36,-1.28
32.99,345.652,2.28,-1.35
33.02,345.87,2.03,-1.17
33.05,346.087,2.2,-1.21
33.08,346.304,2.1,-1.24
33.11,346.522,2.17,-1.06
33.14,346.739,2.3,-1.09
33.17,346.957,2.2,-1.33
33.2,347.174,2.35,-1.24
33.23,347.391,2.36,-1.15
33.26,347.609,2.44,-1.02
33.29,347.826,2.26,-1.25
33.32,348.043,2.46,-0.95
33.35,348.261,2.34,-1.19
33.38,348.478,2.14,-0.82
33.41,348.696,1.89,-1.03
33.44,348.913,2.02,-0.79
33.47,349.13,1.92,-0.77
33.5,349.348,1.96,-0.95
33.53,349.565,2.19,-1.17
33.56,349.783,2.01,-1.36
33.59,350,2.42,-1.03
33.62,350.313,2.33,-1.13
33.65,350.625,2.25,-1.24
33.68,350.938,1.85,-1.3
33.71,351.25,2.12,-1.03
33.74,351.563,1.89,-0.93
33.77,351.875,1.73,-1.11
33.8,352.188,1.92,-1.07
33.83,352.5,1.52,-1.03
33.86,352.813,1.65,-1.29
33.89,353.125,1.95,-1.07
33.92,353.438,1.93,-1.22
33.95,353.75,1.9,-1.22
33.98,354.063,2.14,-1.21
34.01,354.375,2.12,-1.2
34.04,354.688,2.42,-0.93
34.07,355,2.07,-1.04
34.1,355.136,1.47,-1.29
34.13,355.273,2.27,-0.9
34.16,355.409,2.33,-0.97
34.19,355.545,2.95,-0.68
34.22,355.682,2.89,-0.71
34.25,355.818,2.78,-0.81
34.28,355.955,2.78,-0.73
34.31,356.091,3.02,-0.62
34.34,356.227,2.97,-0.76
34.37,356.364,2.96,-0.83
34.4,356.5,2.98,-0.84
34.43,356.636,2.93,-0.73
34.46,356.773,2.76,-0.96
34.49,356.909,2.84,-0.97
34.52,357.045,2.92,-1.03
34.55,357.182,2.93,-0.89
34.58,357.318,2.92,-1.11
34.61,357.455,2.91,-1.12
34.64,357.591,2.79,-1.23
34.67,357.727,2.92,-1.48
34.7,357.864,2.95,-1.15
34.73,358,3.08,-1.2
34.76,358.136,2.98,-0.98
34.79,358.273,3.11,-0.99
34.82,358.409,3.11,-1.44
34.85,358.545,3.27,-0.93
34.88,358.682,3.12,-1
34.91,358.818,3.15,-1.01
34.94,358.955,3.17,-1.07
34.97,359.091,3.19,-0.88
35,359.227,3.07,-1.05
35.03,359.364,3.33,-0.87
35.06,359.5,3.33,-0.93
35.09,359.636,3.08,-0.84
35.12,359.773,2.52,-1.38
35.15,359.909,3.17,-1.06
35.18,360.045,3.09,-0.99
35.21,360.182,2.66,-1.19
