/* DESCRIPTION:
Reference:	Dokken, T; Jansen, E (1999): Rapid changes in the mechanism of ocean convection during the last glacial period. Nature, 401(6752), 458-461, https://doi.org/10.1038/46753
Data from:	https://doi.org/10.1594/PANGAEA.61471. Accessed 27 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	MAGS [10**-6 SI]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. teretis δ18O [‰ PDB]	C. teretis δ13C [‰ PDB]	Foram/sed [#/g]	Rock fragm [#/g]	IRD [#/g]
4.485	23.17	342.77	4.65	0.2	5.55	-0.34		3.27	
4.495	23.19	288.29	4.89	0.02			157	3.48	1844.86
4.505	23.2	318						3.99	
4.515	23.2	347							
4.525	23.21	367.74	5	0.04				3.37	
4.535	23.21	410.87						2.73	
4.545	23.22	444.92					67	4.98	1091.49
4.555	23.23	476.7	4.81	0.41	5.43	-0.52		3.4	
4.565	23.23	517.56						2.87	
4.575	23.24	576.58						2.41	
4.585	23.25	656.03							
4.595	23.25	753.64	4.8	0.06	5.46	-0.55	128	4.47	851.05
4.605	23.26	805.85	4.52	0.3	5.4	-0.51	345	5.46	807.7
4.615	23.26	783.15							
4.625	23.27	751.37						2.3	
4.635	23.28	744.56	4.51	0.05	5.23	-0.58		2.45	
4.645	23.28	751.37	4.78	0.16				2.08	
4.655	23.29	776.34	4.56	0.21	5.39	-0.57		2.98	
4.665	23.29	824.01							
4.675	23.3	855.79	4.63	0.01	5.28	-0.54	329	11.52	1081.71
4.685	23.33	858.06							
4.695	23.36	835.36	4.89	0.26				8.48	
4.705	23.4	787.69	4.7	0.06	5.33	-0.5	135	14.28	2340.88
4.715	23.43	733.21							
4.725	23.46	683.27					266	6.97	1278.8
4.735	23.49	649.22							
4.745	23.53	621.98	4.7	0.19	5.14	-0.74	279	8.28	1800.18
4.755	23.56	590.2							
4.765	23.59	560.69	4.52	0.16	5.35	-0.47		6.84	
4.775	23.62	535.72							
4.785	23.66	510.75					139	5.73	808.01
4.79	23.67		4.35	0.03					
4.795	23.69	483.51	4.66	-0.11	5.49	-0.43	72	8.34	1368
4.805	23.72	454							
4.815	23.75	431.3						6.19	
4.825	23.79	417.68	4.61	0.12	5.53	-0.74	107	3.69	604.98
4.835	23.82	408.6							
4.845	23.85	392.71	4.61	-0.1			181	1.97	362.69
4.855	23.88	376.82							
4.865	23.92	372.28							
4.875	23.95	383.63	4.12	-0.02	5.17	-0.94	172	2.05	392.06
4.885	23.98	413.14							
4.895	24.01	469.89	4.46	0.04	5.3	-0.72	126	2.22	414.69
4.905	24.05	547.07							
4.915	24.08	610.63							
4.925	24.11	628.79	4.38	0.1	5.16	-0.61	372	13.46	741.18
4.935	24.14	610.63							
4.945	24.18	574.31	4.44	-0.09	5.09	-0.68	391	20.54	2000
4.955	24.21	537.99							
4.965	24.24	526.64							
4.975	24.27	549.34							
4.985	24.3	572.04							
4.995	24.34	576.58	3.99	-0.43	5.11	-0.49	116	21.84	2781.37
5	24.35		4.15	0.09					
5.005	24.37	569.77							
5.015	24.4	567.5					345	9.63	1151.15
5.025	24.43	549.34	4.55	0.18	5.28	-0.4		8.89	
5.035	24.47	517.56					414	8.22	1097.52
5.045	24.5	501.67	4.49	-0.09	5	-0.78	476	6.76	1255.09
5.055	24.53	499.4						7.49	
5.065	24.56	506.21	4.62	-0.01	5.24	-0.65		6.71	
5.075	24.6	513.02						8.02	
5.085	24.63	515.29						6.45	
5.09	24.64		4.25	0.12					
5.095	24.66	519.83	4.43	-0.27	5.05	-0.52	18	7.12	2255.21
5.105	24.69	528.91						10.03	
5.115	24.73	542.53						7.15	
5.125	24.76	562.96	4.58	0.23	5.29	-0.43		4.91	
5.135	24.79	565.23						4.86	
5.145	24.82	556.15	4.58	-0.02	5.08	-0.57	354	8.97	1222.58
5.155	24.86	556.15						6.99	
5.165	24.89	556.15						6.83	
5.175	24.92	549.34					325	14.21	2135
5.185	24.95	542.53						11.5	
5.195	24.99	549.34	4.44	-0.07	5.25	-0.72		12.16	
5.2	25		4.55	0.09					
5.205	25.02	572.04	4.47	0.04				6.61	
5.215	25.05	594.74	4.59	0.1	5.06	-0.49	129	8.4	1097.48
5.225	25.08	597.01							
5.235	25.11	594.74							
5.245	25.15	590.2	4.02	0.01	5.01	-0.57	150	7.24	1320.78
5.255	25.18	581.12							
5.265	25.21	558.42					406	5.57	854.75
5.275	25.24	533.45	4.31	0.18	4.9	-0.78		6.22	
5.285	25.28	510.75							
5.295	25.31	488.05		0.21	4.88	-0.74	494	8.97	1186.75
5.305	25.34	469.89							
5.315	25.37	460.81					299	8.89	1019.53
5.325	25.41	458.54	4.22	0	4.73	-0.62		6.36	
5.335	25.44	449.46							
5.345	25.47	444.92	4.24	0.18	4.51	-0.91	117	3.59	823.57
5.355	25.5	433.57							
5.365	25.54	397.25							
5.375	25.57	342.77	3.91	-0.19	4.53	-0.7		1.39	
5.385	25.6	306.45							
5.395	25.63	288.29	4.45	0.17	5.03	-0.54	73	1.94	533.29
5.405	25.67	276.94							
5.415	25.7	272.4							
5.425	25.73	263.32	4.43	0.18	4.75	-0.59		0.9	
5.435	25.76	251.97							
5.445	25.8	242.89	4.58	0.09	4.82	-0.64	22	1.29	485.5
5.455	25.83	236.08							
5.465	25.86	227							
5.475	25.89	222.46	4.42	0.09	4.87	-0.49		2.79	
5.485	25.93	222.46							
5.495	25.96	222.46		0.27	4.71	-0.71	51	4.5	821.74
5.505	25.99	224.73							
5.515	26.02	229.27							
5.525	26.05	231.54	4.69	0.17	5.24	-0.56		2.87	
5.535	26.09	231.54							
5.545	26.12	233.81	4.67	0.37	5.04	-0.66	72	4.81	598.3
5.555	26.15	240.62							
5.565	26.18	254.24							
5.575	26.22	270.13	4.48	0.31	4.89	-0.64		3.67	
5.585	26.25	288.29							
5.595	26.28	315.53	4.59	0.29	4.93	-0.68	92	3.59	360.96
5.605	26.31	390.44							
5.615	26.35	503.94							
5.625	26.38	535.72	4.52	0.28	4.8	-0.82		2.14	
5.635	26.41	431.3							
5.645	26.44	324.61	4.67	0.05	5.12	-0.73	132	1.64	276.67
5.655	26.48	274.67							
5.665	26.51	251.97							
5.675	26.54	245.16	4.37	0.21	4.87	-0.71		1.42	
5.685	26.57	242.89							
5.695	26.61	247.43	4.4	0.11	5.09	-0.61		1.93	
5.705	26.64	258.78	4.54	0.05	4.85	-0.68	156	2.94	461.05
5.715	26.67	265.59							
5.725	26.7	265.59	4.4	0.18	5.13	-0.62		1.34	
5.735	26.74	270.13							
5.745	26.77	281.48	4.54	-0.01	5.19	-0.56	148	1.98	499.91
5.755	26.8	295.1							
5.765	26.83	306.45							
5.775	26.86	313.26	4.21	0.14	4.8	-0.54		1.15	
5.785	26.9	308.72							
5.795	26.93	304.18	4.65	-0.1	4.99	-0.61	121	1.94	770.15
5.805	26.96	304.18							
5.815	26.99	306.45							
5.825	27.03	310.99	4.34	0.2	5.03	-0.48		1.87	
5.835	27.06	313.26							
5.845	27.09	324.61					1	3.3	33.21
5.855	27.12	335.96							
5.865	27.16	349.58							
5.875	27.19	363.2	4.43	0.26	5.19	-0.48		0.66	
5.885	27.22	381.36							
5.895	27.25	404.06	4.59	0.22	5	-0.64	66	2.06	530.15
5.905	27.29	424.49							
5.915	27.32	440.38							
5.925	27.35	456.27							
5.935	27.38	463.08						2.19	
5.945	27.42	463.08	4.71	0.09	5.21	-0.47	162	1.41	554.13
5.955	27.45	460.81							
5.965	27.48	438.11							
5.975	27.51	394.98	4.36	0.25	5.2	-0.42	306	1.01	498.77
5.985	27.55	354.12							
5.995	27.58	396.68	4.51	-0.06	5.18	-0.56	243	2.2	673.19
6.005	27.61	439.24							
6.015	27.64	481.81	4.6	0.33	5.27	-0.58	59	0.23	205.79
6.025	27.68	524.37							
6.035	27.71	597.01	4.88	0.13	5.33	-0.59	516	0.74	116.22
6.045	27.74	635.6							
6.055	27.8	646.95	4.6	0.09			287	2.9	596.71
6.065	27.87	633.33	4.63	0.04	5.37	-0.48	327	3.52	771.81
6.075	27.93	597.01	4.41	0	5.39	-0.55		1.36	
6.085	27.99	537.99							
6.095	28.06	474.43	4.73	0.25	5.37	-0.67		0.73	
6.105	28.12	426.76	4.37	0.13	4.78	-0.64	199	2.68	401.86
6.115	28.18	399.52							
6.125	28.25	381.36	4.35	-0.01	4.96	-0.6		1.49	
6.135	28.31	372.28							
6.145	28.37	367.74	4.29	0.19	4.86	-0.65	112	1.47	321.72
6.155	28.43	370.01	4.02	0.19	4.85	-0.57		1.31	
6.165	28.5	379.09	4.37	-0.01	4.91	-0.45	95	1.46	210.45
6.175	28.56	401.79	4.33	0.2	5.09	-0.7		1.04	
6.185	28.62	438.11	4.53	0.24	5.14	-0.65		1.06	
6.195	28.69	481.24						0.71	
6.205	28.75	540.26	4.29	-0.09	5.27	-0.44	56	1.6	59.03
6.215	28.81	603.82						1.07	
6.225	28.88	667.38	4.39	-0.06	5.38	-0.65		1.08	
6.235	28.94	726.4						0.73	
6.245	28.98	792.23			5.48	-0.62	359	1.35	99.79
6.255	29.02	821.74						0.8	
6.265	29.06	755.91	4.42	-0.16	5.25	-0.75		0.51	
6.275	29.1	676.46						0.92	
6.285	29.14	612.9	4.37	-0.25	5.33	-0.81	201	1.9	128.77
6.295	29.18	533.45						1.35	
6.305	29.22	454	4.86	0.02				1.8	
6.31	29.24				5.14	-0.95			
6.315	29.26	404.06	4.59	0.03	5.13	-0.73	134	3.94	421.7
6.325	29.3	376.82	4.45	-0.33	4.92	-0.62		5.46	
6.335	29.34	365.47						3.73	
6.345	29.38	383.63	4.23	-0.15	4.93	-0.57	243	7.43	897.05
6.355	29.42	413.14						7.12	
6.365	29.46	422.22	4.11	-0.14	4.55	-0.77	271	6.24	1210.07
6.375	29.5	404.06						3.32	
6.385	29.54	367.74	4.37	-0.09	4.69	-0.68		4.42	
6.395	29.58	335.96	3.83	-0.11	4.28	-0.87		4.25	
6.405	29.62	324.61	4.12	-0.2	4.34	-0.81	131	3.27	481.41
6.415	29.66	322.34	4.12	-0.04	4.51	-0.61		3.58	
6.425	29.7	322.34	4.24	-0.07	4.24	-0.77		3.05	
6.435	29.74	322.34	3.49	-0.19	4.07	-0.79		4.56	
6.445	29.78	322.34	3.85	-0.09	4.56	-0.74	50	5.47	744.51
6.455	29.82	322.34	3.89	-0.03	4.26	-0.65		5.93	
6.46	29.84				4.55	-0.96			
6.465	29.86	322.34	3.8	-0.14	4.56	-0.49	44	18.22	1694.11
6.475	29.9	310.99	3.76	0.01	4.07	-0.84		7.8	
6.48	29.92				4.37	-0.84			
6.485	29.94	292.83	4.07	-0.35	4.65	-0.71	46	4.41	670.59
6.495	29.98	274.67	3.8	0.12	4.59	-0.68		3.58	
6.505	30.02	258.78		0.18		-0.61			
6.515	30.06	251.97	4.12	0.21	4.71	-0.63		1.26	
6.525	30.1	247.43							
6.535	30.12	247.43	4.18	0.25	4.74	-0.55		1.88	
6.545	30.15	251.97	3.79	0.24	4.87	-0.73	18	2.23	495.46
6.555	30.17	263.32							
6.565	30.19	279.21	4.31	-0.02	4.95	-0.73	73	3.26	515.47
6.575	30.21	295.1							
6.585	30.24	310.99	4.34	0.2	5.24	-0.47		3.31	
6.595	30.26	335.96							
6.605	30.28	354.12	4.5	0.26	5.38	-0.46	139	3.24	365.92
6.615	30.31	374.55							
6.625	30.33	399.52	4.15	-0.01	4.91	-0.63		1.57	
6.635	30.35	424.49	4.19	0.12	4.87	-0.77	142	2.44	274.85
6.645	30.37	447.19	4.65	0.21	4.95	-0.82		3.33	
6.655	30.4	469.89							
6.665	30.42	499.4	4.78	0.23	5.23	-0.42	331	2.76	362.34
6.675	30.44	519.83							
6.685	30.47	517.56	4.58	0.14	5.26	-0.53		1.79	
6.695	30.49	497.13							
6.705	30.51	472.16	4.54	0.21	5.19	-0.33	480	2.89	406.58
6.715	30.53	456.27							
6.725	30.56	438.11	4.89	-0.03	5.11	-0.59		2.94	
6.735	30.58	419.95					167	4.39	
6.745	30.6	415.41	4.9	0.34	5.15	-0.51		7.09	
6.755	30.63	419.95						3.91	
6.765	30.65	429.03	4.49	0.4	5.11	-0.35	251	3.13	501.26
6.775	30.67	449.46	4.09	0.27	4.92	-0.53		3.11	
6.785	30.69	433.57	3.96	-0.03	4.96	-0.64		3.14	
6.795	30.72	392.71	4.29	0.36	4.81	-0.51		2.69	
6.805	30.74	365.47	4.39	0.43	4.97	-0.39	79	3.89	657.05
6.815	30.76	351.85							
6.825	30.79	349.58	4.44	0.35	4.89	-0.42		3.46	
6.835	30.81	342.77					163	3.1	616.82
6.845	30.83	340.5	4.39	0.23	4.49	-0.41		4.39	
6.855	30.85	338.23						3.69	
6.865	30.88	338.23	4.57	0.32	4.97	-0.23	22	2.89	426.69
6.875	30.9	333.69						2.8	
6.885	30.94	335.96	4.54	0.08	5.03	-0.31		2.72	
6.895	30.99	331.42					164	2.15	338.05
6.905	31.03	324.61	4.44	0.29	5.16	-0.41		1.87	
6.915	31.07	322.34							
6.925	31.12	320.07	4.46	0.06	4.61	-0.63	68	1.29	272
6.935	31.16	322.34						1.2	
6.945	31.21	331.42	4.51	0.15	4.99	-0.48		3.28	
6.955	31.25	347.31						1.18	
6.965	31.29	358.66	4.88	0.14	4.83	-0.58	182	1.55	376.44
6.975	31.34	360.93							
6.985	31.38	358.66	4.46	0.28	5.02	-0.44		1.13	
6.995	31.42	358.66							
7.005	31.47	356.39	4.34	0.35	4.62	-0.62	195	1.18	431.96
7.015	31.51	349.58							
7.025	31.55	347.31	4.32	0.21	5.09	-0.32		1.78	
7.035	31.6	349.58							
7.045	31.64	356.39	4.71	0.22	4.94	-0.41	48	1.73	524.48
7.055	31.68	374.55							
7.065	31.73	404.06	4.41	0.43	4.64	-0.4		0.66	
7.075	31.77	442.65	4.42	0.35	4.99	-0.36		0.65	
7.085	31.82	490.32							
7.095	31.86	540.26	4.59	0.34	5.2	-0.33	479	0.68	433.8
7.105	31.9	590.2							
7.115	31.95	626.52							
7.125	31.99	649.22	4.41	0.19		-0.64	221	0.68	200.1
7.135	32.03	662.84							
7.145	32.08	674.19		0.24	5.16	-0.56		0.49	
7.155	32.12	685.54							
7.165	32.19	678.73	4.32	0.17			491	0.81	223.03
7.175	32.25	665.11							
7.185	32.32	642.41							
7.195	32.39	603.82	4.53	0.03	5.16	-0.58	315	0.41	240.99
7.205	32.46	549.34							
7.215	32.52	501.67							
7.225	32.59	467.62	4.33	0.12	4.83	-0.53		1.98	
7.235	32.66	438.11							
7.245	32.72	426.76	4.39	0.4	4.93	-0.42	103	0.89	492.55
7.255	32.79	429.03							
7.265	32.86	447.19							
7.275	32.92	472.16	4.17	0.33	4.92	-0.4	186	2.39	1210.01
7.285	32.99	508.48							
7.295	33.06	547.07	4.19	0.12	4.88	-0.71		3.87	
7.305	33.13	576.58	4.44	0.25	4.41	-0.7	56	1.66	821.34
7.315	33.19	601.55							
7.325	33.26	633.33	4.25	0.31				0.64	
7.335	33.33	669.65							
7.345	33.39	699.16	4.57	0.42	5.42	-0.56	470	1.56	388.44
7.355	33.46	715.05	4.14	0.11	5.28	-0.57		1.13	
7.365	33.51	712.78	4.33	0.31	5.35	-0.59	558	1.64	293.53
7.375	33.56	692.35							
7.385	33.61	660.57							
7.395	33.66	612.9	4.13	0.4	5.2	-0.6	294	1.63	746.43
7.405	33.71	553.88							
7.415	33.76	501.67							
7.425	33.82	476.7	4.22	0.42	4.72	-0.58		2.49	
7.435	33.87	467.62							
7.445	33.92	463.08	4.5	0.25	4.86	-0.34	286	3.07	1104.58
7.455	33.97	463.08							
7.465	34.02	465.35	4.1	0.15	5.02	-0.33		2.56	
7.475	34.07	460.81	4.05	0.37				1.51	
7.485	34.12	431.3	4.6	0.7	4.99	-0.46			
7.495	34.23	448.32	4.48	0.52			225	1.9	934.7
7.505	34.35	465.35	4.35	0.51				1.26	
7.515	34.46	482.38					1	1.11	307.29
7.525	34.58	499.4	4.39	0.57	4.93	-0.59	291	0.36	382.86
7.535	34.69	624.25							
7.545	34.81	687.81	4.63	0.38	5.11	-0.64		0.59	
7.555	34.92	724.13							
7.565	35.04	737.75	4.5	0.47	5.08	-0.59		0.19	
7.575	35.15	735.48	4.16	-0.01	5.31	-0.5	388	0.14	224.78
7.585	35.19	728.67							
7.595	35.23	721.86	4.44	0.33	5.16	-0.5		0.33	
7.605	35.27	712.78	4.15	0.3					
7.615	35.31	694.62							
7.625	35.35	667.38	4.24	0.08	4.89	-0.73		0.66	
7.635	35.39	631.06							
7.645	35.43	585.66	4.49	0.13	5.1	-0.35	77	1.19	452.89
7.655	35.47	535.72	3.84	0.26	4.92	-0.61		0.92	
7.665	35.51	485.78						1.56	
7.675	35.55	444.92	4.06	0.21	4.48	-0.54		2.43	
7.685	35.59	413.14	3.93	0.13	4.59	-0.51		3.1	
7.695	35.63	392.71	4.34	0.09	4.15	-0.66	251	3.4	1064.94
7.705	35.67	376.82	4.01	0.31	4.26	-0.52		2.77	
7.715	35.71	365.47			4.45	-0.45		1.8	
7.725	35.84	358.66	4.44	0.6	4.47	-0.46		2.29	
7.735	35.97	358.66	4.51	0.59	4.59	-0.27		1.67	
7.745	36.1	365.47	4.3	0.69	4.68	-0.36	174	3.48	1005.99
7.755	36.23	379.09	4.21	0.45				2.17	
7.765	36.37	392.71	4.25	0.3	4.95	-0.27		1.39	
7.775	36.5	404.06						1.48	
7.785	36.63	413.14	4.03	0.22			12	1.73	1191.16
7.795	36.76	422.22						2.36	
7.805	36.89	424.49	4.49	0.51	4.86	-0.26	527	3.27	1061.14
7.815	37.02	431.3	4.18	0.49	4.83	-0.43		1.71	
7.825	37.15	444.92	4.26	0.38				0.49	
7.835	37.28	478.97	4.15	0.43	4.86	-0.47			
7.845	37.41	522.1	4.37	0.31	5.17	-0.49	448	0.24	276.04
7.855	37.54	565.23							
7.865	37.68	606.09	4.25	0.36	4.93	-0.44			
7.875	37.81	633.33	4.01	0.33	4.83	-0.51		0.03	
7.885	37.94	646.95							
7.895	38.07	649.22	4.56	0.25	5.29	-0.46		0.16	
7.905	38.2	644.68			5.23	-0.44	244	0.36	183.4
7.915	38.26	640.14	4.23	0.35	5.05	-0.47			
7.925	38.31	635.6	3.84	0.28				0.1	
7.935	38.37	635.6	4.29	0.44	5.09	-0.45			
7.945	38.42	633.33	4.46	0.13	5.15	-0.5		0.49	
7.955	38.48	631.06							
7.965	38.53	633.33	4.32	0.45	5.13	-0.45			
7.975	38.59	637.87	3.86	0.2		-0.82		0.64	
7.985	38.64	644.68							
7.995	38.7	640.14	4.3	0.14	4.99	-0.52	320	0.45	215.76
8.005	38.75	617.44	4.22	0.4	5.25	-0.31		0.18	
8.015	38.81	576.58	4.3	0.54	5.26	-0.29		0.66	
8.025	38.86	531.18							
8.035	38.92	488.05	3.87	0.58	5.27	-0.17	492	0.85	439.94
8.045	38.97	442.65	4.48	0.5	5.04	-0.34		0.95	
8.055	39.03	388.17	4.28	0.32	4.78	-0.39		3.21	
8.065	39.08	347.31	4.34	0.38	4.77	-0.51		1.24	
8.075	39.14	322.34	3.81	0.13	4.78	-0.63	123	1.57	658.27
8.085	39.19	308.72	3.77	0.27	4.71	-0.54		1.31	
8.095	39.25	301.91	3.77	0.28	4.44	-0.61		1.28	
8.1	39.28		3.69	0.12	4.56	-0.72			
8.105	39.3	295.1	3.47	0.22	4.18	-0.75		1.13	
8.115	39.36	290.56	3.68	0.31	4.27	-0.77	64	0.84	681.87
8.125	39.41	283.75	3.22	0.25	3.84	-1.11		1.04	
8.135	39.47	279.21	3.94	0.15	5.22	-0.42	97	1.32	823.87
8.145	39.52	272.4	3.77	0.32	4.47	-0.56		2.01	
8.155	39.58	270.13	4.12	0.36	4.96	-0.31	93	2.18	962.28
8.165	39.63	267.86	3.93	0.32	4.8	-0.52	51	2.1	981.69
8.175	39.69	270.13	4.04	0.28	4.77	-0.63	143	2.12	917.32
8.185	39.74	281.48	4.26	0.38	4.98	-0.41		1.51	
8.195	39.8	299.64	4.05	0.19	4.95	-0.42		1.01	
8.205	39.85	324.61						0.58	
8.215	39.91	363.2	4.32	0.59	5.16	-0.32	108	0.81	489.51
8.225	39.96	410.87	4.22	0.59	4.88	-0.4		0.72	
8.235	40.02	449.46	4.49	0.32	5.02	-0.37	31	1.11	496.83
8.245	40.07	483.51		0.33		-0.53		0.87	
8.255	40.13	526.64	4.37	0.61	5.35	-0.38	392	2.19	744.29
8.265	40.18	553.88						1.81	
8.27	40.2				5.18	-0.38			
8.275	40.23	544.8	4.29	0.48	5.19	-0.39	609	2.35	907.41
8.285	40.27	503.94						0.99	
8.295	40.32	440.38	4.22	0.3	5.1	-0.29	316	3.57	700.78
8.305	40.37	383.63	4.32	0.4	4.76	-0.45	345	2.65	1018.59
8.315	40.42	351.85	3.82	-0.03				1.9	
8.325	40.46	342.77	4.53	0.51		-0.35		1.89	
8.335	40.51	347.31						1.26	
8.345	40.56	351.85	4.16	0.43	4.83	-0.54	266	2.07	1208.2
8.355	40.58	358.66	3.88	0.3	4.28	-0.67		3.49	
8.365	40.61	360.93	4.14	0.22				4.83	
8.375	40.63	358.66	4.09	0.42	4.8	-0.29		4.69	
8.385	40.66	358.66	4.31	0.56				3.37	
8.395	40.68	360.93	4.47	0.62	5.05	-0.25		1.01	
8.405	40.71	367.74	4.37	0.51	5.08	-0.21	312	1.1	555.15
8.415	40.73	383.63	4.08	0.47	4.94	-0.41			
8.42	40.74		4.35	0.55					
8.425	40.76	408.6	4.32	0.68	4.87	-0.26		0.56	
8.435	40.78	449.46	4.22	0.46					
8.445	40.81	497.13	4.34	0.25	4.97	-0.32	418	0.2	138.69
8.455	40.83	547.07							
8.465	40.85	583.39	4.39	0.55	5.27	-0.42		0.31	
8.475	40.88	601.55	4.74	0.59	4.96	-0.54			
8.485	40.9	606.09	4.31	0.46	5.2	-0.62	413	0.62	191.8
8.495	40.93	599.28							
8.505	40.95	590.2	4.41	0.44	5.21	-0.4		0.24	
8.515	40.98	592.47							
8.525	41	601.55	4.2	0.42	4.74	-0.91			
8.535	41.03	610.63	4.31	0.38	4.79	-0.68		0.21	
8.545	41.05	615.17	4.02	0.43				0.22	
8.555	41.08	608.36	4.05	0.35	5.23	-0.42		0.1	
8.565	41.1	603.82			5.35	-0.5	383	0.2	144.28
8.575	41.14	597.01			5.3	-0.51		0.22	
8.585	41.18	597.01	4.38	0.24	5.39	-0.32		0.42	
8.595	41.22	592.47	4.12	0.21				0.63	
8.605	41.26	581.12	4.46	0.58	5.11	-0.59		1.12	
8.615	41.3	556.15	4.28	0.18	5.06	-0.55	509	1.28	412.77
8.625	41.34	519.83							
8.635	41.38	474.43	3.78	0.14	4.65	-0.38		2.42	
8.645	41.42	426.76	4.29	0.16			485	4.09	1464.76
8.655	41.46	385.9	4.04	0.38	4.84	-0.31	395	3.26	1064.62
8.665	41.5	360.93	4.73	0.6	4.92	-0.28		2.46	
8.675	41.57	349.58	4.24	0.45	4.89	-0.29			
8.685	41.64	354.12	4.18	0.42	4.73	-0.41		1.02	
8.695	41.71	374.55	4.37	0.45	5.21	-0.23	210	0.97	348.93
8.705	41.79	410.87	4.36	0.47				0.59	
8.715	41.86	454	4.24	0.44	4.85	-0.37			
8.725	41.93	492.59	4.22	0.46	4.93	-0.44	294	0.69	195.16
8.735	42	517.56							
8.745	42.07	533.45	4.42	0.39				0.89	
8.755	42.14	544.8	4.5	0.48	5.33	-0.51	564	1.27	256.24
8.765	42.21	569.77							
8.775	42.29	606.09	4.36	0.38				0.91	
8.785	42.36	640.14							
8.795	42.43	665.11	4.1	0.31				0.98	
8.805	42.5	683.27			5.03	-0.49	274	0.39	219.04
8.815	42.52	694.62							
8.825	42.53	696.89	4.26	0.25	4.86	-0.3		0.99	
8.835	42.55	685.54							
8.845	42.57	660.57	4.18	0.33				1.07	
8.855	42.58	631.06	4.24	0.47	5.06	-0.57			
8.865	42.6	599.28							
8.875	42.62	565.23	4.17	0.52	5.01	-0.48	201	1.54	371.95
8.885	42.63	526.64							
8.895	42.65	485.78	4.19	0.29				2.65	
8.905	42.67	449.46	4.06	0.33	4.81	-0.32	635	2.1	1074.98
8.915	42.68	417.68						3.16	
8.925	42.7	394.98	4.31	0.51	4.98	-0.31		1.22	
8.935	42.78	388.17						1.84	
8.945	42.85	399.52	4.44	0.54	4.8	-0.57	444	2.53	1602.76
8.955	42.93	431.3						1.98	
8.965	43	472.16	4.15	0.4	4.51	-0.42		1.59	
8.975	43.08	506.21	4.05	0.38	4.75	-0.39	239	2.41	947.08
8.985	43.16	526.64	4.45	0.59	4.83	-0.5		2.58	
8.995	43.23	522.1	4.07	0.56				1.85	
9.005	43.31		4.32	0.35	4.85	-0.35	117	1.16	659.59
9.025	43.46	528.91	4.35	0.45	4.84	-0.48		0.85	
9.035	43.53	553.88	4.2	0.45	4.78	-0.45	799	0.19	319.69
9.045	43.61	565.23	4.33	0.29				0.79	
9.055	43.69	558.42	4.09	0.43	4.85	-0.41			
9.065	43.76	542.53							
9.075	43.84	526.64	4.33	0.61	5.07	-0.37	349	0.41	192.95
9.085	43.91	515.29						0.53	
9.095	43.99	519.83	4.05	0.47				1.2	
9.105	44.07	537.99	4.03	0.51	4.93	-0.44		0.86	
9.115	44.14	576.58						0.71	
9.125	44.22	626.52	4.26	0.4	4.93	-0.44	203	0.17	239.37
9.135	44.29	660.57							
9.145	44.37	681	4.23	0.52				0.2	
9.155	44.45	699.16	4.31	0.59		-0.55			
9.165	44.52	710.51							
9.175	44.6	712.78	4.31	0.38	5.1	-0.4		0.25	
9.185	44.67	710.51							
9.195	44.75	705.97	4.16	0.46			348	0.07	174.09
9.205	44.82	699.16	4.17	0.48	4.89	-0.51			
9.215	44.9	694.62							
9.225	44.98	694.62	4.1	0.46	5.05	-0.5		0.18	
9.235	45.05	703.7						0.22	
9.245	45.13	719.59	3.91	0.35	5.04	-0.59		0.21	
9.255	45.2	740.02	4.37	0.47	5.16	-0.5	365	0.24	118.82
9.265	45.28	749.1			5.27	-0.41		0.07	
9.275	45.35	744.56						0.5	
9.285	45.42	730.94	4.21	0.48	5.04	-0.38		0.23	
9.295	45.49	712.78	3.9	0.2			116	0.11	97.14
9.305	45.56	687.81	4.12	0.27	5.44	-0.41		0.35	
9.315	45.63	653.76						0.14	
9.325	45.71	615.17	4.19	0.45	5.22	-0.52		1.3	
9.335	45.78	574.31	4.18	0.62	5.05	-0.55	408	1.59	497.16
9.345	45.85	535.72	3.82	-0.24				3.42	
9.355	45.92	492.59	3.93	0.45	4.41	-0.56	464	5.22	1079.82
9.365	45.99	460.81	4.12	-0.17	4.86	-0.78	570	4.23	1129.74
9.375	46.06	435.84	3.77	0.2			523	4.52	1237.4
9.385	46.13	422.22	4.02	0.2	4.05	-0.64		3.3	
9.395	46.2	426.76	4.28	0.33	4.9	-0.21	1797	3.01	1648.23
9.405	46.27	440.38	4.09	0.38	4.8	-0.31		1.19	
9.415	46.34	449.46						1.02	
9.425	46.41	463.08	4.38	0.5	4.8	-0.69	252	1.98	576.34
9.435	46.48	488.05	4.13	0.51	4.67	-0.85		0.53	
9.44	46.52		4.16	0.42					
9.445	46.56	526.64	3.75	0.08	4.53	-0.72		1.08	
9.455	46.63	562.96	4.21	0.36	4.7	-0.52	144	0.9	516.67
9.465	46.7	597.01						0.68	
9.475	46.77	637.87	4.33	0.4	5.03	-0.29	177	0.56	248.48
9.485	46.84	665.11							
9.495	46.91	665.11	4.11	0.17			170	1.5	259.51
9.505	46.95	644.68			5.05	-0.19		0.49	
9.515	46.99	617.44	3.84	0.26	5.1	-0.2		0.91	
9.525	47.02	585.66	4.19	0.41	4.89	-0.28		1.2	
9.535	47.06	562.96						1.31	
