# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737135. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],Foram benth δ18O [‰ PDB],C. wuellerstorfi δ13C [‰ PDB]
5.96,26.005,4.89,0.32
6.02,26.093,4.8,0.16
6.05,26.136,5.11,0.18
6.08,26.18,5.09,0.09
6.11,26.397,5.04,0.06
6.15,26.686,4.98,0.28
6.17,26.831,5.1,0.1
6.2,27.048,4.95,0.33
6.26,27.482,5.2,0.16
6.27,27.554,3.34,0.23
6.29,27.698,4.84,0.09
6.35,28.132,5,0.22
6.38,28.349,4.77,0.46
6.41,28.566,4.75,0.53
6.47,29,4.98,0.05
6.5,29.045,4.76,0.47
6.56,29.136,2.66,0.85
6.59,29.181,4.43,0.18
6.65,29.271,3.59,1.05
6.71,29.361,3.91,0.67
6.74,29.407,4.47,0.28
6.77,29.452,4.17,0.72
6.83,29.542,4.32,0.33
6.86,29.587,4.29,0.65
6.89,29.633,3.64,0.97
6.95,29.723,3.59,0.59
7.01,29.813,4.41,-0.06
7.07,29.904,2.99,0.81
7.13,29.994,4.72,0.54
7.16,30.039,4.66,0.59
7.19,30.084,4.39,0.16
7.25,30.175,4.2,0.52
7.31,30.39,4.74,0.53
7.34,30.559,4.66,0.5
7.4,30.898,4.62,0.56
7.46,31.237,4.7,0.48
7.48,31.35,4.52,0.32
7.58,32.547,4.51,0.55
7.6,32.84,4.77,0.81
7.7,33.973,4.8,0.4
7.75,34.29,4.74,0.36
7.78,34.48,4.75,0.49
7.82,34.582,4.38,0.83
7.85,34.658,4.87,0.06
7.88,34.734,4.88,0.27
7.91,34.81,4.79,0.32
7.94,34.887,4.71,0.42
8,35.039,4.85,0.2
8.03,35.115,4.61,0.56
8.06,35.191,4.65,0.6
8.18,35.73,3.32,0.04
8.21,35.96,4.47,0.66
8.3,36.65,4.55,0.61
8.34,36.929,4.62,0.63
8.36,37.026,4.76,0.76
8.38,37.124,4.61,0.67
8.42,37.319,4.39,0.52
8.44,37.416,4.51,0.49
8.48,37.612,4.31,0.6
8.5,37.709,4.37,0.74
8.51,37.758,4.28,0.61
8.52,37.807,4.17,0.35
8.54,37.904,4.7,-0.39
8.57,38.051,4.27,0.33
8.58,38.1,4.27,0.33
8.6,38.197,4.14,0.31
8.62,38.295,4.34,0.49
8.64,38.392,3.49,0.88
8.66,38.49,4.36,0.33
8.67,38.549,4.36,0.33
8.68,38.609,4.35,0.55
8.69,38.668,4.15,0.16
8.7,38.727,4.15,0.16
8.75,39.024,3.08,0.91
8.76,39.083,4.23,0.06
8.8,39.32,4.5,0.19
8.82,39.424,4.09,0.02
8.84,39.513,4.59,0.59
8.86,39.603,4.67,0.51
8.9,39.782,4.38,0.69
8.93,39.916,4.57,0.61
8.94,39.961,4.57,0.61
8.96,40.05,4.34,0.31
8.98,40.14,4.75,0.57
9,40.234,4.64,0.65
9.02,40.327,4.59,0.5
9.05,40.467,4.72,0.52
9.06,40.514,4.79,0.55
9.1,40.7,4.62,0.41
9.11,40.747,3.65,0.48
9.12,40.794,4.65,0.49
9.17,41.027,4.43,0.66
9.2,41.167,4.61,0.48
9.24,41.353,4.79,
9.25,41.4,4.63,0.07
9.26,41.447,4.58,
9.28,41.54,4.8,0.58
9.32,41.733,4.43,0.54
9.38,42.022,4.89,
9.41,42.166,4.47,0.25
9.5,42.6,4.84,
9.62,43.032,4.79,0.55
9.65,43.14,4.71,0.18
9.75,43.927,4.52,0.63
9.8,44.32,4.15,0.86
9.86,44.792,4.61,0.75
9.95,45.5,3.96,0.43
9.98,45.83,4.08,0.26
10.31,47.282,4.69,0.15
10.58,50.369,4.35,0.83
10.7,51.573,4.53,0.7
10.73,51.856,3.64,0.77
10.83,53.096,4.33,0.24
10.88,53.94,4.44,0.3
10.94,54.953,4.63,0.28
11.03,55.883,4.41,0.58
11.06,56.094,4.48,0.6
11.15,56.729,4.41,0.48
11.18,56.94,4.25,0.44
11.21,57.4,4.5,0.4
11.24,57.86,4.28,0.22
11.27,58.32,4.14,0.27
11.36,58.992,4.02,-0.54
11.45,59.61,4.68,
11.6,60.458,5.16,0.1
11.75,61.236,3.74,1.23
11.78,61.388,4.76,0.14
11.81,61.54,4.79,0.22
11.9,61.996,4.59,0.31
12.02,62.725,4.72,-0.05
12.08,63.15,4.55,0.17
12.11,63.363,4.8,
12.14,63.575,4.74,0.28
12.17,63.788,4.78,0.24
12.21,64.098,4.95,0.15
12.23,64.295,4.66,0.22
12.26,64.591,4.76,0.29
12.29,64.886,4.61,0.12
12.32,65.182,4.66,0.29
12.35,65.477,4.35,0.41
12.38,65.773,4.59,0.42
12.41,66.068,4.83,0.4
12.44,66.364,4.64,0.47
12.47,66.659,4.46,0.35
12.5,66.955,4.52,0.47
12.53,67.25,4.52,0.69
12.56,68.1,4.51,0.7
12.62,69.8,4.44,0.87
12.65,70.442,4.38,0.78
12.68,71.084,4.32,0.66
12.71,71.725,4.23,0.8
12.74,72.367,4.36,0.85
12.8,73.65,4.05,0.8
12.83,74.243,4.18,0.7
12.86,74.835,4.25,0.88
12.89,75.428,4.05,0.84
12.98,77.205,4.1,0.95
13.19,81.353,3.77,1.02
13.34,83.78,3.84,0.59
13.55,87.508,4.37,0.82
13.7,90.486,4.02,1.04
13.85,93.463,3.1,0.88
13.97,95.846,3.85,
14.09,98.228,3.83,
14.21,100.61,3.89,0.91
14.33,102.992,4.01,0.47
14.45,104.967,3.98,0.71
14.66,108.352,4.18,0.63
14.81,111.487,4.18,0.96
14.96,114.621,3.67,0.98
15.02,116.237,3.67,
15.05,117.226,3.33,0.86
15.11,119.204,4.08,0.3
15.14,120.193,3.91,0.76
15.17,121.182,3.93,0.64
15.2,122.171,3.46,
15.23,123.16,4.4,0.33
15.26,124.148,3.03,0.79
15.29,125.137,3.22,
15.32,126.126,3.17,0.63
15.35,127.115,3.1,
15.41,129.093,2.98,0.55
15.5,131.613,,0.86
15.53,132.156,4.9,-0.32
15.56,132.698,4.33,0.14
15.71,135.35,5.19,-0.13
15.74,135.833,5.37,-0.16
15.8,136.798,5.34,-0.24
15.83,137.217,5.32,-0.11
15.86,137.636,5.08,
15.89,138.055,5.05,-0.35
15.92,138.474,5.25,-0.17
15.95,138.893,5.29,-0.06
15.98,139.312,5.37,-0.16
16.1,140.988,5.25,-0.09
16.25,142.313,4.73,0.16
16.28,142.579,4.11,0.35
16.31,142.844,4.26,
16.4,143.639,5.04,-0.11
16.46,144.176,5.32,-0.21
16.49,144.447,5.13,
16.52,144.719,5.24,
16.55,144.991,4.98,0.16
16.58,145.262,5.06,-0.07
16.61,145.534,4.46,-0.09
16.64,145.806,4.84,-0.2
16.67,146.078,5.06,-0.06
16.7,146.349,5,-0.05
16.73,146.621,5.09,
16.76,146.893,4.78,
16.82,147.436,5,
16.85,147.708,4.77,0
16.94,148.523,4.98,0
16.97,148.794,5,
17,149.066,3.79,0.84
17.03,149.338,4.74,0.09
17.15,150.425,4.47,0.24
17.3,151.783,4.75,0.31
17.33,152.318,5.01,-0.06
17.36,152.853,4.58,
17.42,153.923,4.62,0.01
17.57,156.599,4.74,0.35
17.72,158.9,4.49,-0.14
17.87,159.704,4.61,-0.17
18.08,160.829,4.74,-0.41
18.23,161.633,4.12,0.39
18.29,162.076,4.58,
18.35,162.518,4.44,
18.38,162.74,4.23,0.56
18.44,163.182,4.79,
18.53,163.846,4.94,-0.26
18.59,164.289,5.11,
18.62,164.51,4.8,
18.68,164.953,5.01,-0.19
18.71,165.174,5.1,
18.74,165.396,5.09,
18.77,165.617,5.04,
18.8,165.838,4.94,
18.83,166.06,4.85,-0.16
18.86,166.281,4.99,
18.89,166.502,5.06,
18.92,166.724,5.05,
18.95,166.945,5.09,
18.98,167.166,4.57,0.28
19.01,167.388,5.03,
19.16,168.652,4.42,0.17
19.19,169.031,4.64,
19.22,169.41,4.68,
19.28,170.167,4.93,
19.31,170.546,5.55,-0.91
19.37,171.304,5.03,
19.43,172.062,4.38,
19.46,172.441,4.79,-0.12
19.48,172.542,4.57,
