# DESCRIPTION:
# Reference: Gkinis, Vasileios; Vinther, Bo Møllesøe; Popp, Trevor J; et al. (2021): A 120,000-year long climate record from a NW-Greenland deep ice core at ultra-high resolution. Scientific Data, 8, 141, https://doi.org/10.1038/s41597-021-00916-9.
# Data from: https://doi.org/10.1594/PANGAEA.925552. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Ages for 60.20567 ka b2k and earlier have been added using the age model from Rasmussen et al., 2013: https://doi.org/10.5194/cp-9-2713-2013, data accessed from https://www.iceandclimate.nbi.ku.dk/data/.

Depth ice/snow [m],Age [ka b2k] (GICC05),δ18O H2O [‰ SMOW],δD H2O [‰ SMOW]
1217.65,8.08188,-31.93,-245.17
1217.7,8.08248,-31.528,-243.46
1217.75,8.08314,-31.709,-244.57
1217.8,8.08381,-33.122,-257.42
1217.85,8.08447,-33.566,-260.56
1217.9,8.08513,-33.279,-256.28
1217.95,8.08579,-33.97,-262.03
1218,8.08668,-34.232,-263.43
1218.05,8.08758,-34.268,-264.2
1218.1,8.0885,-33.175,-254.37
1218.15,8.08927,-33.505,-257.82
1218.2,8.08981,-34.236,-264.74
1218.25,8.09048,-33.483,-258.63
1218.3,8.09123,-32.841,-252.97
1218.35,8.09197,-33.396,-256.46
1218.4,8.09241,-34.219,-262.74
1218.45,8.09284,-34.575,-265.66
1218.5,8.09324,-34.677,-267.21
1218.55,8.09364,-34.333,-265.28
1218.6,8.09407,-33.816,-261.22
1218.65,8.09482,-33.569,-258.75
1218.7,8.09541,-32.682,-252.59
1218.75,8.09595,-34.047,-264.17
1218.8,8.09641,-34.947,-270.67
1218.85,8.09687,-34.643,-266.2
1218.9,8.09731,-35.179,-272.76
1218.95,8.09773,-34.439,-265.42
1219,8.0982,-33.489,-256.9
1219.05,8.09874,-34.03,-262.88
1219.1,8.09921,-34.501,-266.27
1219.15,8.09961,-34.433,-264.94
1219.2,8.1,-32.599,-249.4
1219.25,8.1006,-32.222,-248.93
1219.3,8.10112,-33.375,-257.16
1219.35,8.1015,-33.541,-258.74
1219.4,8.10187,-31.531,-240.46
1219.45,8.10227,-32.147,-248.25
1219.5,8.1027,-33.001,-255.35
1219.55,8.10319,-33.14,-255.34
1219.6,8.10386,-32.518,-250.94
1219.65,8.10442,-31.645,-242.82
1219.7,8.10497,-32.802,-253.34
1219.75,8.10593,-33.279,-255.71
1219.8,8.10643,-32.5,-249.46
1219.85,8.10688,-33.5,-259.88
1219.9,8.10756,-33.426,-256.94
1219.95,8.1084,-33.779,-259.46
1220,8.10926,-33.917,-260.94
1220.05,8.10992,-33.01,-256.26
1220.1,8.11035,-30.474,-233.22
1220.15,8.11075,-30.935,-237.36
1220.2,8.11127,-34.011,-263.82
1220.25,8.11201,-33.539,-258.59
1220.3,8.11261,-32.57,-250.43
1220.35,8.11316,-32.489,-250.31
1220.4,8.11362,-32.297,-248.45
1220.45,8.11411,-31.77,-245.29
1220.5,8.11477,-30.004,-228.69
1220.55,8.11539,-30.883,-237.36
1220.6,8.11598,-33.139,-256.5
1220.65,8.11641,-34.304,-266.81
1220.7,8.11684,-34.867,-270.29
1220.75,8.11736,-34.299,-264.85
1220.8,8.11796,-32.991,-254.36
1220.85,8.11861,-32.861,-253.14
1220.9,8.11927,-33.281,-256.36
1220.95,8.11992,-35.328,-273.22
1221,8.12052,-36.978,-287.22
1221.05,8.12113,-36.897,-285.6
1221.1,8.12179,-35.862,-277.14
1221.15,8.12244,-34.888,-268.78
