/* DESCRIPTION:
Reference:	Wang, X., Edwards, R. L., Auler, A. S., Cheng, H., Kong, X., Wang, Y., ... & Chiang, H. W. (2017). Hydroclimate changes across the Amazon lowlands over the past 45,000 years. Nature, 541(7636), 204-207, https://doi.org/10.1038/nature20787
Data from:	https://doi.org/10.1038/nature20787. Accessed 22 Nov 2022.
Comment:	Years were converted to kyr.
	Only PAR07 is included here.
*/
Age (kyr BP)	d18O	d13C
32.238	-3.24	-9.14
32.266	-3.32	-9.04
32.293	-3.34	-8.77
32.32	-3.16	-8.82
32.348	-3.42	-8.83
32.375	-3.18	-8.26
32.403	-3.4	-8.91
32.43	-3.42	-9.16
32.457	-3.85	-9.38
32.485	-3.82	-9.16
32.512	-4.24	-9.32
32.539	-4.26	-9.62
32.553	-3.65	-8.48
32.567	-3.78	-8.86
32.58	-3.74	-8.72
32.594	-3.72	-8.54
32.608	-3.58	-8.62
32.622	-4.38	-8.63
32.635	-4.11	-8.74
32.649	-4.36	-8.63
32.663	-4.57	-8.44
32.676	-4.33	-8.69
32.69	-4.77	-8.92
32.704	-4.33	-8.67
32.717	-4.92	-8.49
32.731	-4.61	-7.87
32.745	-4.41	-8.08
32.759	-4.64	-8.56
32.774	-4.71	-8.84
32.788	-4.63	-8.52
32.802	-4.45	-8.24
32.817	-4.07	-8.09
32.831	-4.2	-8.09
32.846	-4.34	-8.01
32.86	-4.54	-8.23
32.875	-4.3	-8.15
32.889	-4.43	-8.28
32.904	-4.25	-8.11
32.918	-4.08	-8
32.933	-4.07	-7.88
32.947	-4.21	-8.22
32.962	-4.3	-8.74
32.976	-4.53	-8.8
32.991	-4.13	-8.25
33.005	-4.21	-8.43
33.019	-4.18	-8.42
33.034	-4.5	-8.6
33.048	-4.24	-8.69
33.063	-3.89	-8.41
33.077	-3.94	-8.07
33.092	-4.25	-8.2
33.106	-4.31	-8.19
33.121	-4.19	-8.29
33.135	-3.88	-8.35
33.15	-3.93	-7.8
33.164	-3.98	-7.64
33.179	-4.05	-7.72
33.193	-4.08	-8
33.208	-4.08	-7.96
33.222	-4.17	-8.31
33.237	-4.2	-7.89
33.251	-4.13	-8.51
33.283	-3.65	-8.18
33.316	-3.75	-7.95
33.348	-4.1	-8
33.38	-4.08	-8.04
33.413	-3.61	-8.49
33.445	-3.18	-7.81
