# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),log(K/Ti),3pt smooth log(K/Ti),Zr/Sr,3 pt smooth (Zr/Sr)
647.75,13.184,0.26888,0.26414,0.30437,0.29246
648,13.196,0.27656,0.26348,0.29493,0.29786
648.25,13.208,0.29092,0.26896,0.29188,0.30504
648.5,13.22,0.2535,0.2723,0.32897,0.30968
648.75,13.232,0.25495,0.27384,0.30506,0.31106
649,13.244,0.28559,0.27447,0.32755,0.31209
649.25,13.256,0.28424,0.28338,0.30186,0.3066
649.5,13.268,0.29408,0.28215,0.297,0.31411
649.75,13.28,0.29803,0.28147,0.30154,0.30794
650,13.292,0.24879,0.28612,0.34263,0.32458
650.25,13.304,0.28219,0.28447,0.29667,0.32255
650.5,13.316,0.30753,0.2785,0.38507,0.32736
650.75,13.328,0.28581,0.27658,0.28686,0.31432
651,13.34,0.26819,0.265,0.32556,0.3159
651.25,13.352,0.23917,0.2552,0.27745,0.30345
651.5,13.364,0.22428,0.24087,0.30455,0.30921
651.75,13.376,0.25856,0.22639,0.32281,0.30643
652,13.388,0.21416,0.23043,0.3157,0.30689
652.25,13.399,0.19575,0.23635,0.31163,0.30297
652.5,13.411,0.25939,0.22692,0.27974,0.29926
652.75,13.423,0.25389,0.23001,0.28499,0.29861
653,13.435,0.21141,0.23973,0.30422,0.29468
653.25,13.447,0.22959,0.23391,0.31247,0.30244
653.5,13.459,0.24436,0.22664,0.29197,0.31158
653.75,13.471,0.23031,0.23484,0.31857,0.31659
654,13.483,0.21751,0.23658,0.33066,0.31669
654.25,13.495,0.25243,0.23727,0.32928,0.32191
654.5,13.507,0.23827,0.2445,0.31298,0.32308
654.75,13.519,0.24783,0.26085,0.31808,0.32632
655,13.531,0.26646,0.2677,0.32437,0.32368
655.25,13.543,0.29927,0.26494,0.34687,0.32886
655.5,13.555,0.28665,0.26291,0.31611,0.33308
655.75,13.567,0.2245,0.25535,0.33887,0.33829
656,13.579,0.23766,0.25342,0.33917,0.33435
656.25,13.591,0.22866,0.25064,0.35043,0.3404
656.5,13.603,0.28964,0.26423,0.32719,0.33251
656.75,13.615,0.27275,0.27766,0.34634,0.33073
657,13.627,0.29244,0.29069,0.29942,0.33253
657.25,13.645,0.30479,0.29382,0.33024,0.33087
657.5,13.662,0.29385,0.29566,0.35947,0.33015
657.75,13.68,0.30527,0.2853,0.31888,0.33942
658,13.698,0.28197,0.27609,0.34275,0.34508
658.25,13.715,0.24064,0.27408,0.34578,0.33625
658.5,13.733,0.25872,0.2712,0.35852,0.33898
658.75,13.751,0.2838,0.27882,0.31532,0.32828
659,13.768,0.29087,0.28117,0.33254,0.32502
659.25,13.786,0.32009,0.28378,0.28923,0.31449
659.5,13.804,0.25236,0.27692,0.32951,0.31688
659.75,13.821,0.27179,0.25642,0.30586,0.31521
660,13.839,0.24949,0.24633,0.32726,0.31888
660.25,13.857,0.18839,0.24722,0.32418,0.31975
660.5,13.874,0.26966,0.23986,0.30758,0.32136
660.75,13.892,0.2568,0.23982,0.33388,0.32039
661,13.91,0.23497,0.2413,0.31388,0.32184
661.25,13.927,0.2493,0.22919,0.3224,0.32992
661.5,13.945,0.19575,0.21303,0.33145,0.32211
661.75,13.963,0.20914,0.21567,0.34796,0.32615
662,13.98,0.17597,0.20735,0.29485,0.32892
662.25,13.998,0.24821,0.22358,0.3341,0.32689
662.5,14.016,0.2077,0.23838,0.33622,0.31686
662.75,14.033,0.27687,0.25992,0.32132,0.31739
663,14.051,0.28313,0.25783,0.29781,0.32076
663.25,14.069,0.2837,0.26663,0.29747,0.33977
663.5,14.086,0.23776,0.26778,0.35097,0.34817
663.75,14.104,0.25169,0.26829,0.43125,0.3629
664,14.122,0.28264,0.27211,0.36332,0.37376
664.25,14.139,0.28565,0.28239,0.37149,0.38153
664.5,14.157,0.30279,0.29178,0.35176,0.3726
664.75,14.175,0.28919,0.29327,0.38984,0.37912
665,14.192,0.29864,0.29499,0.3866,0.39504
665.25,14.21,0.29009,0.28116,0.39593,0.39331
665.5,14.228,0.29422,0.27737,0.45107,0.39263
665.75,14.246,0.23364,0.27097,0.34312,0.43321
666,14.263,0.27027,0.26241,0.38642,0.43866
666.25,14.281,0.26661,0.25279,0.58949,0.43133
666.5,14.299,0.24728,0.25603,0.42319,0.44366
666.75,14.316,0.24617,0.26082,0.41444,0.44539
667,14.334,0.24982,0.26098,0.40474,0.41762
667.25,14.352,0.29423,0.27042,0.39508,0.42502
667.5,14.369,0.2674,0.27983,0.45065,0.4235
667.75,14.387,0.29446,0.28948,0.46017,0.42419
668,14.405,0.29325,0.29057,0.40687,0.43186
668.25,14.422,0.29805,0.28843,0.40816,0.42795
668.5,14.44,0.2997,0.28589,0.43345,0.4299
668.75,14.458,0.25671,0.28339,0.4311,0.44829
669,14.475,0.28176,0.27756,0.46993,0.44419
669.25,14.493,0.28072,0.27822,0.49882,0.43718
669.5,14.511,0.2689,0.28119,0.38765,0.42586
669.75,14.528,0.303,0.28355,0.39839,0.40758
670,14.546,0.27159,0.28184,0.37451,0.39009
670.25,14.564,0.29353,0.28184,0.37855,0.39692
670.5,14.581,0.27217,0.27809,0.41132,0.40234
670.75,14.599,0.26891,0.27874,0.42181,0.39751
671,14.617,0.28428,0.27304,0.42553,0.39499
671.25,14.634,0.2748,0.27268,0.35036,0.3989
671.5,14.652,0.26505,0.26549,0.36593,0.39025
671.75,14.67,0.27034,0.25617,0.4309,0.38552
672,14.687,0.23299,0.25576,0.37856,0.40056
672.25,14.705,0.23764,0.26593,0.40187,0.42626
672.5,14.723,0.27279,0.27021,0.42552,0.43722
680.6,16.159,0.31587,0.2823,0.49446,0.44561
680.75,16.191,0.29178,0.29463,0.4857,0.45075
681,16.244,0.29342,0.30472,0.42048,0.43827
681.25,16.297,0.29927,0.30395,0.4276,0.41196
681.5,16.35,0.32327,0.30947,0.36311,0.38793
681.75,16.403,0.31199,0.31482,0.36289,0.38078
682,16.456,0.31941,0.31285,0.36555,0.40995
682.25,16.509,0.32017,0.31407,0.38474,0.47235
682.5,16.562,0.2894,0.3174,0.57348,0.50195
682.75,16.616,0.32938,0.3163,0.67507,0.52882
683,16.669,0.32862,0.31735,0.5109,0.55143
683.25,16.722,0.31396,0.32606,0.49992,0.54062
683.5,16.775,0.32541,0.32338,0.49776,0.5088
683.75,16.828,0.33295,0.3118,0.51946,0.49582
684,16.881,0.31598,0.31133,0.51595,0.49903
684.25,16.934,0.27069,0.30938,0.446,0.48857
684.5,16.987,0.31162,0.30777,0.51596,0.48807
684.75,17.04,0.31564,0.30929,0.44546,0.4992
685,17.093,0.32493,0.31706,0.51698,0.50396
685.25,17.146,0.32356,0.31879,0.57162,0.49524
685.5,17.199,0.30956,0.31706,0.46976,0.50321
685.75,17.252,0.32024,0.31831,0.47237,0.50701
686,17.306,0.307,0.31831,0.48534,0.52754
686.25,17.359,0.33117,0.32133,0.53598,0.54068
686.5,17.412,0.32358,0.32057,0.67425,0.54535
686.75,17.465,0.32466,0.3216,0.53544,0.53527
687,17.518,0.31644,0.30665,0.49574,0.53056
687.25,17.571,0.31217,0.29573,0.43494,0.46746
687.5,17.624,0.2564,0.2914,0.51245,0.45668
687.75,17.646,0.26899,0.28852,0.35873,0.44705
688,17.668,0.303,0.28945,0.48156,0.44197
688.25,17.69,0.30203,0.29623,0.44758,0.41892
688.5,17.712,0.31684,0.30151,0.40954,0.45433
688.75,17.734,0.29027,0.29909,0.39721,0.44388
689,17.756,0.2954,0.28586,0.53578,0.43369
689.25,17.778,0.29091,0.26548,0.42926,0.43889
689.5,17.8,0.23587,0.25569,0.39665,0.4399
689.75,17.822,0.21494,0.25358,0.43553,0.41545
690,17.844,0.24132,0.25244,0.40229,0.4017
690.25,17.866,0.28485,0.26764,0.41354,0.41759
690.5,17.888,0.28521,0.28968,0.36048,0.41773
690.75,17.91,0.31187,0.29803,0.4761,0.42318
691,17.932,0.32514,0.29625,0.43626,0.4048
691.25,17.954,0.28309,0.28813,0.4295,0.40404
691.5,17.976,0.27595,0.27694,0.32168,0.38079
691.75,17.998,0.24461,0.2683,0.35665,0.38717
692,18.02,0.2559,0.26351,0.35986,0.38377
692.25,18.042,0.28193,0.26344,0.46817,0.40114
692.5,18.064,0.25919,0.26714,0.41247,0.40348
692.75,18.086,0.27558,0.26612,0.40855,0.40565
693,18.108,0.26308,0.25671,0.36833,0.39595
693.25,18.13,0.25082,0.25406,0.37074,0.38849
693.5,18.152,0.23489,0.24819,0.41966,0.37414
693.75,18.173,0.24592,0.25135,0.37514,0.36825
694,18.195,0.24621,0.25608,0.33684,0.37031
694.25,18.217,0.27893,0.26226,0.33884,0.36718
694.5,18.239,0.27446,0.26913,0.38105,0.3795
694.75,18.261,0.26579,0.27632,0.40403,0.39205
695,18.283,0.28024,0.27733,0.43672,0.40561
695.25,18.305,0.28216,0.27342,0.39963,0.41858
695.5,18.327,0.284,0.26904,0.4066,0.4285
695.75,18.349,0.25491,0.26575,0.44595,0.41606
696,18.371,0.24387,0.26574,0.4536,0.4212
696.25,18.393,0.2638,0.2608,0.37451,0.41984
696.5,18.415,0.2821,0.26292,0.42532,0.41656
696.75,18.437,0.25933,0.26918,0.39984,0.41361
697,18.459,0.26552,0.27668,0.42953,0.41176
697.25,18.481,0.27514,0.27673,0.43886,0.40933
697.5,18.503,0.30133,0.2829,0.36524,0.41739
697.75,18.525,0.28233,0.28091,0.41317,0.41172
698,18.547,0.29016,0.27881,0.44015,0.40416
698.25,18.569,0.25558,0.26797,0.40119,0.41211
698.5,18.591,0.26462,0.26035,0.40106,0.4188
698.75,18.613,0.24715,0.25302,0.40498,0.40257
699,18.635,0.24421,0.25373,0.4466,0.39177
699.25,18.657,0.25355,0.25077,0.35902,0.40084
699.5,18.679,0.25914,0.24949,0.34722,0.40169
699.75,18.701,0.24982,0.25402,0.44641,0.38753
700,18.723,0.24073,0.25009,0.40922,0.39485
700.25,18.745,0.26687,0.25305,0.37579,0.40278
700.5,18.767,0.23389,0.25645,0.39564,0.38595
700.75,18.789,0.27393,0.25787,0.38686,0.37779
701,18.811,0.26684,0.25582,0.36221,0.38221
701.25,18.833,0.24783,0.25773,0.36843,0.38827
701.5,18.855,0.2566,0.25593,0.39788,0.39157
701.75,18.877,0.24346,0.25614,0.42596,0.39915
702,18.899,0.26493,0.25957,0.40336,0.39517
702.25,18.921,0.26788,0.25989,0.4001,0.38764
702.5,18.943,0.26497,0.25989,0.34857,0.37731
702.75,18.965,0.25819,0.25666,0.36022,0.37283
703,18.987,0.24347,0.25345,0.37429,0.35975
703.25,19.009,0.2488,0.24622,0.38095,0.35805
703.5,19.031,0.25183,0.24074,0.33472,0.3464
703.75,19.053,0.2288,0.23393,0.34006,0.33928
704,19.075,0.23079,0.22745,0.30199,0.32528
704.25,19.097,0.20945,0.2237,0.33867,0.33546
704.5,19.119,0.2164,0.22978,0.31096,0.34949
704.75,19.141,0.23307,0.22913,0.38563,0.37977
705,19.163,0.25921,0.23633,0.41018,0.40004
705.25,19.185,0.22752,0.24119,0.45341,0.42908
705.5,19.207,0.24544,0.24463,0.44001,0.44119
705.75,19.228,0.24073,0.24111,0.45617,0.43755
706,19.25,0.25027,0.24782,0.44617,0.42888
706.25,19.272,0.24157,0.24762,0.39198,0.42899
706.5,19.294,0.26106,0.24867,0.41008,0.43124
706.75,19.316,0.24448,0.25154,0.44055,0.43271
707,19.338,0.24599,0.25755,0.46742,0.44158
707.25,19.36,0.26459,0.26363,0.4535,0.43433
707.5,19.382,0.27163,0.27471,0.43637,0.42454
707.75,19.404,0.29145,0.28643,0.3738,0.39973
708,19.426,0.29989,0.29008,0.39163,0.39706
708.25,19.448,0.30461,0.29043,0.34334,0.38749
708.5,19.47,0.28283,0.28772,0.44015,0.38424
708.75,19.492,0.27338,0.2786,0.38855,0.38115
709,19.514,0.27789,0.2733,0.35755,0.39393
709.25,19.536,0.2543,0.26843,0.37616,0.38674
709.5,19.558,0.27811,0.26833,0.40725,0.39212
709.75,19.58,0.25849,0.26832,0.40421,0.39662
710,19.602,0.27286,0.26933,0.41541,0.39507
710.25,19.624,0.27782,0.27009,0.38008,0.40056
710.5,19.646,0.25938,0.27661,0.3684,0.4088
710.75,19.668,0.28191,0.2791,0.43468,0.42587
711,19.69,0.29106,0.28104,0.44543,0.46398
711.25,19.712,0.28535,0.27843,0.50078,0.47448
711.5,19.734,0.28749,0.25897,0.57061,0.45999
711.75,19.756,0.24634,0.24429,0.42089,0.47147
712,19.778,0.18463,0.22558,0.36223,0.47199
712.25,19.8,0.21764,0.22409,0.50282,0.44642
712.5,19.822,0.19181,0.23437,0.50342,0.44818
712.75,19.844,0.28003,0.25396,0.44273,0.46681
713,19.866,0.29775,0.26636,0.4297,0.45589
713.25,19.888,0.28256,0.28484,0.45538,0.45326
713.5,19.91,0.27964,0.2765,0.44823,0.4569
713.75,19.932,0.28423,0.26833,0.49022,0.45466
714,19.954,0.23832,0.25209,0.46095,0.4419
714.25,19.976,0.25691,0.25048,0.41849,0.42933
714.5,19.998,0.20135,0.23675,0.39158,0.42032
714.75,20.02,0.27158,0.23475,0.38538,0.39575
715,20.042,0.21559,0.23225,0.44521,0.39045
715.25,20.064,0.22831,0.23941,0.33806,0.40917
715.5,20.086,0.24444,0.2339,0.392,0.41874
715.75,20.108,0.23711,0.23492,0.48521,0.41633
716,20.13,0.24405,0.23617,0.4332,0.43577
716.25,20.152,0.22067,0.23872,0.43316,0.44614
716.5,20.174,0.23458,0.24735,0.43529,0.43823
716.75,20.196,0.25718,0.25195,0.44384,0.43867
717,20.218,0.28029,0.26298,0.44565,0.45661
717.25,20.24,0.26706,0.27079,0.43542,0.46069
717.5,20.262,0.27579,0.27545,0.52284,0.45916
717.75,20.283,0.27366,0.27945,0.4557,0.46275
718,20.305,0.28045,0.28249,0.4362,0.47985
718.25,20.327,0.30031,0.28421,0.46357,0.46843
718.5,20.349,0.28223,0.28097,0.52091,0.45483
718.75,20.371,0.28442,0.2769,0.46575,0.45421
719,20.393,0.25746,0.27444,0.38772,0.47437
719.25,20.415,0.26007,0.26609,0.4331,0.45322
719.5,20.437,0.28801,0.26582,0.56438,0.43992
719.75,20.459,0.2405,0.2708,0.41518,0.45838
720,20.481,0.28306,0.26875,0.3992,0.47546
720.25,20.503,0.28237,0.25908,0.48002,0.45424
720.5,20.525,0.24978,0.26309,0.51852,0.46502
720.75,20.547,0.2397,0.26132,0.45828,0.48166
721,20.569,0.26052,0.25738,0.46909,0.50588
721.25,20.591,0.27424,0.25868,0.48239,0.49287
721.5,20.613,0.26263,0.26194,0.60113,0.49644
721.75,20.635,0.2563,0.26414,0.45345,0.48918
722,20.657,0.256,0.26674,0.47614,0.4812
722.25,20.679,0.27152,0.27193,0.43281,0.4578
722.5,20.701,0.28723,0.27784,0.44248,0.45557
722.75,20.723,0.28861,0.27928,0.48413,0.4442
723,20.745,0.28583,0.28264,0.44231,0.4587
723.25,20.767,0.2632,0.27649,0.41925,0.45843
723.5,20.789,0.28835,0.26871,0.50531,0.45848
723.75,20.811,0.25647,0.26186,0.44113,0.45469
724,20.833,0.24969,0.26073,0.4844,0.45695
724.25,20.855,0.25158,0.25468,0.42337,0.4378
724.5,20.877,0.25755,0.25298,0.43056,0.41734
724.75,20.899,0.25814,0.25658,0.40955,0.39531
725,20.921,0.24797,0.25904,0.33883,0.39558
725.25,20.943,0.26766,0.26114,0.37425,0.39102
725.5,20.965,0.26389,0.2671,0.42471,0.39788
725.75,20.987,0.26802,0.27333,0.40777,0.42497
726,21.009,0.28795,0.27651,0.44385,0.43644
726.25,21.031,0.27914,0.27728,0.47425,0.43518
726.5,21.053,0.28355,0.2788,0.4316,0.44032
726.75,21.075,0.26774,0.2776,0.41844,0.44067
727,21.097,0.27561,0.27659,0.43344,0.44289
727.25,21.119,0.28197,0.27329,0.44559,0.44742
727.5,21.141,0.27405,0.27353,0.4854,0.44256
727.75,21.163,0.26709,0.27619,0.45423,0.43387
728,21.185,0.26894,0.27336,0.39412,0.44026
728.25,21.207,0.28891,0.27278,0.39002,0.44897
728.5,21.229,0.26782,0.2717,0.47752,0.42813
728.75,21.251,0.27112,0.26768,0.52895,0.43199
729,21.273,0.26169,0.26579,0.35007,0.43855
729.25,21.295,0.24886,0.2637,0.41338,0.44199
729.5,21.317,0.27944,0.26193,0.42283,0.44465
729.75,21.339,0.25737,0.26359,0.49473,0.472
730,21.36,0.26228,0.26903,0.54226,0.48335
730.25,21.382,0.27002,0.27243,0.48679,0.4916
730.5,21.404,0.27604,0.27599,0.47016,0.48599
730.75,21.426,0.29643,0.27145,0.46407,0.43829
731,21.448,0.27518,0.26974,0.46666,0.40779
731.25,21.47,0.23956,0.26367,0.30377,0.37988
731.5,21.492,0.26148,0.26207,0.33428,0.38267
731.75,21.514,0.24572,0.25698,0.33064,0.38003
732,21.536,0.28842,0.26038,0.47801,0.41434
732.25,21.558,0.2497,0.25202,0.45347,0.43767
732.5,21.58,0.25657,0.25417,0.47532,0.46038
732.75,21.602,0.21968,0.24742,0.45088,0.45332
733,21.624,0.25645,0.24442,0.44423,0.45222
733.25,21.646,0.25471,0.24579,0.44271,0.42864
733.5,21.668,0.23468,0.25738,0.44796,0.40146
733.75,21.69,0.26341,0.2514,0.3574,0.36566
734,21.712,0.27765,0.25614,0.315,0.35808
734.25,21.734,0.22655,0.26793,0.26525,0.37233
734.5,21.756,0.2784,0.27435,0.40477,0.38691
734.75,21.778,0.29361,0.27652,0.51923,0.39465
735,21.8,0.29554,0.29155,0.43031,0.41051
735.25,21.822,0.2885,0.29396,0.35368,0.42274
735.5,21.844,0.3017,0.29515,0.34458,0.41214
735.75,21.866,0.29044,0.29538,0.46589,0.41275
736,21.888,0.29955,0.29915,0.46627,0.43363
736.25,21.91,0.29669,0.2945,0.43332,0.45388
736.5,21.932,0.30739,0.29052,0.45812,0.44296
736.75,21.954,0.27841,0.28463,0.44582,0.42317
737,21.976,0.27053,0.28208,0.41126,0.41475
737.25,21.998,0.27012,0.27795,0.36734,0.41503
737.5,22.02,0.28393,0.28007,0.39123,0.4044
737.75,22.042,0.28676,0.28397,0.4595,0.39083
738,22.064,0.289,0.28857,0.39268,0.39568
738.25,22.086,0.29005,0.2892,0.3434,0.39742
738.5,22.108,0.29309,0.29188,0.39157,0.38686
738.75,22.13,0.2871,0.29363,0.39995,0.38656
739,22.152,0.30013,0.29659,0.40671,0.39385
739.25,22.174,0.29777,0.2959,0.39118,0.38533
739.5,22.196,0.30483,0.29109,0.37985,0.38506
739.75,22.218,0.28965,0.29198,0.34893,0.38019
740,22.24,0.26306,0.29358,0.39862,0.39372
740.25,22.262,0.3046,0.2948,0.38236,0.41056
740.5,22.284,0.30576,0.30199,0.45885,0.43683
740.75,22.306,0.31093,0.31221,0.46405,0.4344
741,22.328,0.32561,0.31289,0.48027,0.42824
741.25,22.35,0.31413,0.30802,0.38649,0.42038
741.5,22.372,0.30803,0.30695,0.35156,0.41202
741.75,22.394,0.28139,0.30221,0.41954,0.38548
742,22.415,0.30558,0.30104,0.42225,0.38674
742.25,22.437,0.3019,0.29842,0.34756,0.38889
742.5,22.459,0.3083,0.30303,0.39277,0.40767
742.75,22.481,0.29494,0.3031,0.36233,0.42742
743,22.503,0.30444,0.30446,0.51341,0.45619
743.25,22.525,0.30594,0.30585,0.52101,0.465
743.5,22.547,0.3087,0.30937,0.49143,0.46967
743.75,22.569,0.31524,0.30518,0.43682,0.44327
744,22.591,0.31252,0.3026,0.38568,0.42001
744.25,22.613,0.28347,0.30396,0.38145,0.41104
744.5,22.635,0.29304,0.30377,0.40468,0.41281
744.75,22.657,0.31552,0.30083,0.4466,0.41393
745,22.679,0.31433,0.29691,0.44563,0.42123
745.25,22.701,0.29778,0.2997,0.3913,0.41855
745.5,22.723,0.2639,0.29738,0.41793,0.41395
745.75,22.745,0.30696,0.28925,0.39125,0.41548
746,22.767,0.30393,0.28889,0.42362,0.43027
746.25,22.789,0.27366,0.2923,0.45326,0.44003
746.5,22.811,0.29598,0.28448,0.46527,0.4511
746.75,22.833,0.28099,0.28146,0.46677,0.45519
747,22.855,0.26786,0.28774,0.44658,0.45218
747.25,22.877,0.28882,0.29052,0.44408,0.45789
747.5,22.899,0.30504,0.29688,0.43821,0.45396
747.75,22.921,0.30989,0.30854,0.49383,0.44606
748,22.943,0.3128,0.30715,0.44708,0.41211
748.2,22.961,0.32614,0.29942,0.40708,0.37961
754.2,23.488,0.28191,0.28728,0.27432,0.3441
754.25,23.492,0.26636,0.29553,0.27575,0.34196
754.5,23.514,0.24921,0.2645,0.31628,0.33694
754.75,23.536,0.35406,0.25522,0.43639,0.37952
755,23.558,0.17098,0.25356,0.38195,0.43729
755.25,23.58,0.23551,0.25595,0.48725,0.46764
755.5,23.602,0.25806,0.2472,0.56457,0.47607
755.75,23.624,0.26113,0.27538,0.46801,0.4957
756,23.646,0.31034,0.29393,0.47855,0.51691
756.25,23.668,0.31188,0.30643,0.4801,0.5202
756.5,23.69,0.32823,0.32486,0.59329,0.54737
756.75,23.712,0.32059,0.33185,0.58106,0.56953
757,23.734,0.35328,0.34273,0.60384,0.5962
757.25,23.756,0.34525,0.34883,0.58933,0.58829
757.5,23.778,0.36628,0.35846,0.61347,0.60226
757.75,23.8,0.35876,0.36495,0.55376,0.6027
758,23.822,0.36873,0.37371,0.6509,0.60873
758.25,23.844,0.38575,0.37789,0.60602,0.60514
758.5,23.866,0.38905,0.38391,0.6195,0.63711
758.75,23.888,0.38716,0.38854,0.59551,0.65309
759,23.91,0.38885,0.38647,0.71361,0.68697
759.25,23.932,0.39189,0.3827,0.73081,0.69059
759.5,23.954,0.37542,0.38274,0.77543,0.69566
759.75,23.976,0.37018,0.38151,0.63759,0.69294
760,23.998,0.38734,0.37861,0.62089,0.6762
760.25,24.034,0.38271,0.37835,0.69998,0.65404
760.5,24.069,0.37739,0.38179,0.64715,0.66823
760.75,24.105,0.3741,0.38041,0.66461,0.68942
761,24.141,0.38743,0.38212,0.70853,0.68378
761.25,24.177,0.3804,0.38361,0.72682,0.70348
761.5,24.212,0.39129,0.38681,0.67178,0.71818
761.75,24.248,0.38484,0.38595,0.74565,0.71433
762,24.284,0.39011,0.38997,0.73814,0.71879
762.25,24.32,0.38313,0.39067,0.68929,0.72919
762.5,24.355,0.40046,0.39549,0.74908,0.70888
762.75,24.391,0.39479,0.3943,0.72381,0.69713
763,24.427,0.40899,0.39438,0.64406,0.68386
763.25,24.463,0.38413,0.39092,0.67942,0.64932
763.5,24.498,0.38352,0.38261,0.62294,0.6428
763.75,24.534,0.38316,0.37978,0.57636,0.65575
764,24.57,0.35324,0.38171,0.69122,0.64722
764.25,24.606,0.39485,0.38238,0.70883,0.65515
764.5,24.641,0.39379,0.38188,0.63676,0.6767
764.75,24.677,0.38685,0.38418,0.66261,0.69797
765,24.713,0.38068,0.37844,0.6841,0.69519
765.25,24.748,0.36471,0.37087,0.79756,0.72637
765.5,24.784,0.36616,0.36361,0.69494,0.75853
765.75,24.82,0.35596,0.35936,0.79266,0.75985
766,24.856,0.35052,0.35918,0.82338,0.72727
766.25,24.891,0.35945,0.35747,0.69074,0.72742
766.5,24.927,0.36382,0.36132,0.63466,0.72707
766.75,24.963,0.3576,0.36546,0.69566,0.71053
767,24.999,0.37522,0.36734,0.79094,0.72083
767.25,25.034,0.37124,0.3684,0.74067,0.73816
767.5,25.07,0.36884,0.36845,0.74222,0.74412
767.75,25.106,0.36911,0.36192,0.72131,0.72303
768,25.142,0.35782,0.35902,0.72548,0.71466
768.25,25.177,0.34257,0.3562,0.68545,0.70759
768.5,25.213,0.35677,0.3542,0.69882,0.68903
768.75,25.249,0.35471,0.34899,0.7069,0.6612
769,25.285,0.3591,0.34393,0.62848,0.63701
769.25,25.32,0.33182,0.33717,0.58637,0.62505
769.5,25.356,0.31727,0.32957,0.56447,0.60768
769.75,25.392,0.32294,0.32334,0.63905,0.60561
770,25.428,0.31673,0.3239,0.62004,0.61592
770.25,25.463,0.32794,0.33214,0.61812,0.63484
770.5,25.499,0.33464,0.3357,0.63791,0.6553
770.75,25.535,0.35848,0.33956,0.65909,0.67884
771,25.57,0.3407,0.34343,0.74136,0.70522
771.25,25.606,0.33606,0.35074,0.73772,0.72242
771.5,25.642,0.34728,0.34928,0.75,0.72713
771.75,25.678,0.37118,0.35212,0.72393,0.71398
772,25.713,0.35117,0.35605,0.68263,0.70218
772.25,25.749,0.35494,0.35155,0.67562,0.68412
772.5,25.785,0.35569,0.34347,0.67872,0.67623
772.75,25.821,0.32475,0.34203,0.65969,0.671
773,25.856,0.3308,0.34133,0.68446,0.66298
773.25,25.892,0.34396,0.33958,0.65647,0.65898
773.5,25.928,0.35147,0.34486,0.63553,0.64313
773.75,25.964,0.34691,0.35114,0.65872,0.61687
774,25.999,0.35115,0.35294,0.58049,0.59254
774.25,26.035,0.36223,0.35511,0.55314,0.60038
774.5,26.071,0.35293,0.35682,0.5348,0.59061
774.75,26.107,0.36233,0.35817,0.67475,0.60239
775,26.142,0.35547,0.35342,0.60985,0.61543
775.25,26.178,0.35789,0.35021,0.63941,0.63729
775.5,26.214,0.3385,0.34783,0.61831,0.63147
775.75,26.249,0.33686,0.34739,0.64412,0.63125
776,26.285,0.35045,0.34701,0.64565,0.61646
776.25,26.321,0.35325,0.34563,0.60876,0.60019
776.5,26.357,0.35598,0.34474,0.56547,0.5822
776.75,26.392,0.33159,0.34312,0.53694,0.55938
777,26.428,0.33245,0.34101,0.55417,0.54493
777.25,26.464,0.34233,0.33986,0.53157,0.55358
777.5,26.5,0.3427,0.34538,0.5365,0.56226
777.75,26.535,0.35021,0.34981,0.60871,0.58648
778,26.571,0.3592,0.35446,0.58037,0.59153
778.25,26.607,0.35461,0.35621,0.67523,0.60759
778.5,26.643,0.36557,0.35371,0.55682,0.60243
778.75,26.678,0.35147,0.3519,0.61679,0.59414
779,26.714,0.33768,0.34767,0.58293,0.57933
779.25,26.75,0.35018,0.33861,0.53894,0.58299
779.5,26.786,0.33345,0.33179,0.60115,0.5699
779.75,26.821,0.32027,0.32772,0.57515,0.57127
780,26.857,0.31738,0.31663,0.55136,0.56463
780.25,26.893,0.31731,0.30327,0.58974,0.52544
780.5,26.929,0.29471,0.29076,0.50575,0.49754
780.75,26.964,0.26667,0.27565,0.40523,0.47944
781,27,0.25771,0.26429,0.43561,0.46327
781.25,27.036,0.24187,0.26498,0.46086,0.46344
781.5,27.071,0.26052,0.27576,0.50893,0.51897
781.75,27.107,0.29815,0.28673,0.50658,0.56803
782,27.143,0.32058,0.30532,0.68288,0.5945
782.25,27.179,0.31253,0.31853,0.68088,0.61237
782.5,27.214,0.33482,0.31883,0.5932,0.63705
782.75,27.25,0.32657,0.30239,0.5983,0.61083
783,27.286,0.29967,0.28828,0.63,0.57978
783.25,27.322,0.23836,0.27101,0.55177,0.58117
783.5,27.357,0.24199,0.2605,0.52564,0.57241
783.75,27.393,0.24847,0.25058,0.60016,0.5581
784,27.429,0.27399,0.24226,0.55446,0.54613
784.25,27.465,0.25008,0.24401,0.55846,0.54502
784.5,27.5,0.19677,0.24197,0.49194,0.50935
784.75,27.536,0.25075,0.23311,0.52006,0.47291
785,27.572,0.23827,0.23311,0.42181,0.4481
785.25,27.608,0.22966,0.24753,0.37228,0.4478
785.5,27.643,0.25009,0.2474,0.43441,0.44595
