# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),log(K/Ti),3pt smooth log(K/Ti),Zr/Sr,3 pt smooth (Zr/Sr)
398.45,1.2438,0.07051,0.08034,0.11811,0.12629
398.7,1.2558,0.08238,0.08283,0.1245,0.12236
398.95,1.2678,0.08458,0.07787,0.11986,0.11859
399.2,1.2797,0.0893,0.08164,0.11364,0.11672
399.45,1.2917,0.06258,0.07971,0.11687,0.11694
399.7,1.3037,0.08936,0.08133,0.10876,0.11927
399.95,1.3157,0.07276,0.08092,0.12558,0.12112
400.2,1.3276,0.09263,0.08565,0.13149,0.12009
400.45,1.3396,0.08726,0.08226,0.12291,0.12114
400.7,1.3516,0.08624,0.08338,0.11173,0.11946
400.95,1.3636,0.07242,0.07953,0.11399,0.11723
401.2,1.3755,0.07832,0.07782,0.11717,0.11787
401.45,1.3875,0.07341,0.07454,0.12033,0.12118
401.7,1.3995,0.07873,0.08012,0.1261,0.12334
401.95,1.4114,0.06985,0.07597,0.12828,0.12564
402.2,1.4234,0.10031,0.07569,0.1248,0.12502
402.45,1.4354,0.05758,0.07735,0.12868,0.12406
402.7,1.4474,0.07201,0.07913,0.11726,0.12192
402.95,1.4593,0.087,0.07309,0.1213,0.12048
403.2,1.4713,0.07875,0.07568,0.11754,0.1222
403.45,1.4833,0.07012,0.07496,0.11762,0.12429
403.7,1.4953,0.07055,0.07467,0.13728,0.12359
403.95,1.5072,0.06838,0.07543,0.12772,0.12484
404.2,1.5192,0.08555,0.07488,0.11777,0.12415
404.45,1.5312,0.08256,0.07776,0.12382,0.12431
404.7,1.5432,0.06737,0.0795,0.11417,0.12444
404.95,1.5551,0.08493,0.07267,0.13804,0.12407
405.2,1.5671,0.0771,0.0711,0.12839,0.12435
405.45,1.5791,0.05136,0.0727,0.11593,0.12622
405.7,1.5911,0.07471,0.07243,0.12521,0.12419
405.95,1.603,0.07542,0.07201,0.1235,0.12542
406.2,1.615,0.08355,0.0742,0.12793,0.12468
406.45,1.627,0.07501,0.07425,0.13454,0.12531
406.7,1.6389,0.06229,0.07043,0.1122,0.12588
406.95,1.6509,0.07498,0.07023,0.12836,0.12383
407.2,1.6629,0.0563,0.07065,0.12639,0.12044
407.45,1.6749,0.08259,0.07174,0.11767,0.12322
407.7,1.6868,0.07708,0.06929,0.1176,0.12267
407.95,1.6988,0.06776,0.07424,0.12606,0.12215
408.2,1.7108,0.06274,0.07463,0.12562,0.12178
408.45,1.7228,0.08106,0.07434,0.12378,0.12279
408.7,1.7347,0.08449,0.07628,0.11585,0.1247
408.95,1.7467,0.07563,0.07575,0.12264,0.12591
409.2,1.7587,0.0775,0.06875,0.13562,0.12701
409.45,1.7707,0.06009,0.06437,0.13166,0.13076
409.7,1.7826,0.04602,0.06209,0.1293,0.13263
409.95,1.7946,0.06261,0.05753,0.13457,0.13032
410.2,1.8066,0.06423,0.05877,0.13199,0.12955
410.45,1.8186,0.05472,0.05814,0.12407,0.1295
410.7,1.8305,0.06628,0.05257,0.1278,0.13116
410.95,1.8425,0.04283,0.04181,0.12907,0.13056
411.2,1.8545,0.03479,0.04188,0.1429,0.12722
411.45,1.8664,0.01042,0.04109,0.12895,0.12825
411.7,1.8784,0.05509,0.04078,0.10741,0.12576
411.95,1.8904,0.0623,0.04963,0.13293,0.12103
412.2,1.9024,0.0413,0.06223,0.1166,0.1203
412.45,1.9143,0.07906,0.05939,0.11928,0.12757
412.7,1.9263,0.0734,0.05425,0.12527,0.1247
412.95,1.9383,0.04089,0.05865,0.14378,0.12662
413.2,1.9503,0.03659,0.055,0.11855,0.12891
413.45,1.9622,0.0633,0.05352,0.12623,0.12893
413.7,1.9742,0.06085,0.05519,0.1307,0.1253
413.95,1.9862,0.06597,0.0628,0.12541,0.128
414.2,1.9982,0.04925,0.06384,0.1256,0.12885
414.45,2.0101,0.07461,0.06197,0.13206,0.12848
414.7,2.0221,0.06851,0.0622,0.13049,0.12898
414.95,2.0341,0.05149,0.06937,0.12883,0.13024
415.2,2.0461,0.06715,0.06723,0.12794,0.13043
415.45,2.058,0.08509,0.06951,0.13187,0.13213
415.7,2.07,0.06393,0.06614,0.133,0.13397
415.95,2.082,0.0799,0.05879,0.13903,0.13622
416.2,2.0939,0.03464,0.05058,0.13804,0.13598
416.45,2.1059,0.03041,0.04758,0.13916,0.13708
416.7,2.1179,0.04403,0.03712,0.13066,0.13361
416.95,2.1299,0.04892,0.04479,0.13854,0.13132
417.2,2.1418,0.02762,0.0469,0.12166,0.13019
417.45,2.1538,0.07296,0.04516,0.12656,0.1257
417.7,2.1658,0.04099,0.04877,0.13353,0.12175
417.95,2.1778,0.03533,0.0607,0.10821,0.11874
418.2,2.1897,0.06694,0.06016,0.11877,0.11547
418.45,2.2017,0.08728,0.06229,0.10662,0.11215
418.7,2.2137,0.07025,0.06896,0.1102,0.11461
418.95,2.2257,0.05163,0.07145,0.11696,0.11592
419.2,2.2376,0.06868,0.07005,0.1205,0.11983
419.45,2.2496,0.0794,0.07189,0.1253,0.12213
419.7,2.2616,0.0803,0.07505,0.12621,0.12559
