# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
164,8.066,1,NaN,NaN,NaN,1.552,NaN
165,8.132,NaN,-1.105,2.956,27.25,1.051,NaN
166,8.1978,-1,NaN,NaN,NaN,1.286,NaN
167,8.2636,NaN,NaN,NaN,NaN,1.447,NaN
168,8.329,-1,NaN,NaN,NaN,1.319,NaN
169,8.3952,NaN,NaN,NaN,NaN,1.166,NaN
170,8.461,0,-0.911,3.005,27.15,1.63,29.579
171,8.5266,NaN,NaN,NaN,NaN,1.474,NaN
172,8.592,1,NaN,NaN,NaN,1.184,NaN
173,8.6578,NaN,NaN,NaN,NaN,1.399,NaN
174,8.7234,0,NaN,NaN,NaN,1.495,NaN
175,8.789,NaN,-1.326,2.92,27.78,0.951,26.126
176,8.8548,0,NaN,NaN,NaN,1.648,NaN
177,8.9206,NaN,NaN,NaN,NaN,1.211,NaN
178,8.9864,1,NaN,NaN,NaN,1.36,NaN
179,9.0522,NaN,NaN,NaN,NaN,1.547,NaN
180,9.118,0,-0.72,3.06,26.46,1.149,30.253
181,9.1838,NaN,NaN,NaN,NaN,1.357,NaN
182,9.2496,0,NaN,NaN,NaN,1.193,NaN
183,9.3154,NaN,NaN,NaN,NaN,1.366,NaN
184,9.381,0,NaN,NaN,NaN,NaN,NaN
185,9.447,NaN,-1.112,2.988,27.04,1.221,38.353
186,9.515,1,NaN,NaN,NaN,NaN,NaN
187,9.583,NaN,NaN,NaN,NaN,1.283,NaN
188,9.651,0,NaN,NaN,NaN,1.617,NaN
189,9.719,NaN,NaN,NaN,NaN,1.631,NaN
190,9.787,2,-0.884,3.552,26.36,1.311,35.204
192,9.923,2,NaN,NaN,NaN,NaN,NaN
194,10.059,3,NaN,NaN,NaN,NaN,NaN
195,10.126,NaN,-0.804,3.198,27.01,NaN,35.78
196,10.194,3,NaN,NaN,NaN,NaN,NaN
198,10.33,3,NaN,NaN,NaN,NaN,NaN
200,10.466,4,-0.984,3.282,26.4,1.283,23.609
202,10.602,4,NaN,NaN,NaN,NaN,NaN
204,10.738,3,NaN,NaN,NaN,NaN,NaN
205,10.806,NaN,-0.539,3.58,25.99,2.147,20.1
206,10.874,5,NaN,NaN,NaN,NaN,NaN
208,11.01,4,NaN,NaN,NaN,NaN,NaN
210,11.146,3,-0.859,3.806,26.06,1.745,21.884
212,11.282,3,NaN,NaN,NaN,NaN,NaN
214,11.418,3,NaN,NaN,NaN,NaN,NaN
215,11.485,NaN,-0.519,3.698,25.78,1.881,19.434
216,11.553,2,NaN,NaN,NaN,NaN,NaN
218,11.689,5,NaN,NaN,NaN,NaN,NaN
220,11.825,-1,-1.182,3.64,25.69,1.909,NaN
222,11.961,4,NaN,NaN,NaN,NaN,NaN
224,12.097,8,NaN,NaN,NaN,NaN,NaN
225,12.165,NaN,-0.833,3.761,25.39,1.726,17.758
226,12.233,7,NaN,NaN,NaN,NaN,NaN
228,12.369,5,NaN,NaN,NaN,NaN,NaN
230,12.505,3,-0.749,3.807,26.02,1.829,21.721
232,12.641,3,NaN,NaN,NaN,NaN,NaN
234,12.776,2,NaN,NaN,NaN,NaN,NaN
235,12.844,NaN,-0.43,3.513,25.28,1.554,16.423
236,12.912,3,NaN,NaN,NaN,NaN,NaN
238,13.048,9,NaN,NaN,NaN,NaN,NaN
240,13.184,8,-0.636,3.385,25.99,1.946,25.919
242,13.32,6,NaN,NaN,NaN,NaN,NaN
244,13.456,7,NaN,NaN,NaN,NaN,NaN
245,13.524,NaN,-1.162,3.803,24.55,1.948,17.062
246,13.592,8,NaN,NaN,NaN,2.509,NaN
247,13.66,NaN,NaN,NaN,NaN,1.995,NaN
248,13.728,9,NaN,NaN,NaN,1.958,NaN
250,13.864,8,0.043,3.618,25.07,1.964,11.09
252,13.9996,9,NaN,NaN,NaN,2.131,NaN
253,14.0674,NaN,NaN,NaN,NaN,2.032,NaN
254,14.135,9,NaN,NaN,NaN,NaN,NaN
255,14.203,NaN,-0.443,3.276,25.38,1.876,13.908
256,14.271,7,NaN,NaN,NaN,NaN,NaN
257,14.339,NaN,NaN,NaN,NaN,2.285,NaN
258,14.407,4,NaN,NaN,NaN,2.655,NaN
260,14.543,8,-0.012,3.908,25,2.318,16.196
262,14.679,9,NaN,NaN,NaN,2.392,NaN
263,14.747,NaN,NaN,NaN,NaN,2.377,NaN
264,14.815,9,NaN,NaN,NaN,NaN,NaN
265,14.883,NaN,-0.413,3.864,24.76,2.161,10.783
266,14.951,9,NaN,NaN,NaN,NaN,NaN
267,15.019,NaN,NaN,NaN,NaN,2.729,NaN
268,15.087,4,NaN,NaN,NaN,2.423,NaN
270,15.223,2,0.23,3.914,24.02,2.316,10.87
272,15.3586,9,NaN,NaN,NaN,2.75,NaN
273,15.4264,NaN,NaN,NaN,NaN,2.474,NaN
274,15.494,10,NaN,NaN,NaN,NaN,NaN
275,15.562,NaN,0.191,4.033,24.61,2.307,12.654
276,15.63,9,NaN,NaN,NaN,NaN,NaN
277,15.698,NaN,NaN,NaN,NaN,2.612,NaN
278,15.766,7,NaN,NaN,NaN,1.96,NaN
280,15.902,11,-0.066,4.326,24.04,2.712,10.431
282,16.038,10,NaN,NaN,NaN,2.708,NaN
283,16.106,NaN,NaN,NaN,NaN,2.602,NaN
284,16.174,11,NaN,NaN,NaN,NaN,NaN
285,16.242,NaN,-0.513,4.44,24.2,2.869,10.137
286,16.31,9,NaN,NaN,NaN,NaN,NaN
287,16.378,NaN,NaN,NaN,NaN,2.449,NaN
288,16.446,10,NaN,NaN,NaN,2.456,NaN
290,16.582,9,0.522,4.407,24.68,2.416,6.706
292,16.717,10,NaN,NaN,NaN,2.833,NaN
293,16.7854,NaN,NaN,NaN,NaN,2.869,NaN
294,16.853,11,NaN,NaN,NaN,NaN,NaN
295,16.921,NaN,0.292,4.209,24.08,2.714,11.742
296,16.989,12,NaN,NaN,NaN,NaN,NaN
298,17.125,0,NaN,NaN,NaN,NaN,NaN
300,17.261,11,NaN,NaN,NaN,NaN,NaN
302,17.397,11,0.242,4.297,23.22,2.478,11.931
304,17.533,12,NaN,NaN,NaN,NaN,NaN
305,17.601,NaN,0.229,NaN,23.89,2.793,7.732
306,17.669,13,NaN,NaN,NaN,NaN,NaN
308,17.805,13,NaN,NaN,NaN,NaN,NaN
310,17.941,11,0.595,NaN,24.26,2.631,10.688
