# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
710,30.774,32,0.173,4.3,23.68,NaN,5.248
712,30.829,31,NaN,NaN,NaN,NaN,NaN
714,30.883,32,NaN,NaN,NaN,NaN,NaN
715,30.911,NaN,0.162,4.109,22.5,NaN,3.114
716,30.938,26,NaN,NaN,NaN,NaN,NaN
718,30.993,29,NaN,NaN,NaN,NaN,NaN
720,31.047,25,0.136,3.799,23.25,NaN,3.688
722,31.102,28,NaN,NaN,NaN,NaN,NaN
724,31.156,34,NaN,NaN,NaN,NaN,NaN
725,31.184,NaN,0.196,3.944,23.29,NaN,2.495
726,31.211,38,NaN,NaN,NaN,NaN,NaN
728,31.266,33,NaN,NaN,NaN,NaN,NaN
730,31.32,25,0.935,4.007,23.05,NaN,3.608
732,31.375,28,NaN,NaN,NaN,NaN,NaN
734,31.429,30,NaN,NaN,NaN,NaN,NaN
735,31.457,NaN,0.317,4.086,23.35,NaN,3.33
736,31.484,30,NaN,NaN,NaN,NaN,NaN
738,31.539,32,NaN,NaN,NaN,NaN,NaN
740,31.593,32,0.159,4.063,22.7,NaN,2.167
742,31.648,31,NaN,NaN,NaN,NaN,NaN
744,31.702,29,NaN,NaN,NaN,NaN,NaN
745,31.73,NaN,0.64,4.332,22.49,NaN,2.087
746,31.757,24,NaN,NaN,NaN,NaN,NaN
748,31.812,NaN,0.679,4.512,22.34,NaN,3.697
750,31.866,22,NaN,NaN,NaN,NaN,NaN
752,31.921,16,-0.108,4.415,22.62,NaN,3.497
754,31.975,12,NaN,NaN,NaN,NaN,NaN
755,32.003,NaN,0.051,4.33,23.69,NaN,2.921
756,32.03,10,NaN,NaN,NaN,NaN,NaN
758,32.085,10,NaN,NaN,NaN,NaN,NaN
760,32.139,15,0.118,4.118,23.59,NaN,NaN
762,32.194,15,NaN,NaN,NaN,NaN,NaN
764,32.248,18,NaN,NaN,NaN,NaN,NaN
765,32.276,NaN,0.193,3.951,24.55,NaN,1.951
766,32.303,21,NaN,NaN,NaN,NaN,NaN
768,32.358,25,NaN,NaN,NaN,NaN,NaN
770,32.412,23,0.129,3.888,23.24,NaN,1.474
772,32.467,19,NaN,NaN,NaN,NaN,NaN
774,32.521,25,NaN,NaN,NaN,NaN,NaN
775,32.549,NaN,-0.271,3.741,25.56,NaN,0.774
776,32.576,21,NaN,NaN,NaN,NaN,NaN
778,32.631,26,NaN,NaN,NaN,NaN,NaN
780,32.685,31,0.033,NaN,23.6,NaN,1.004
782,32.74,32,NaN,NaN,NaN,NaN,NaN
784,32.794,25,NaN,NaN,NaN,NaN,NaN
785,32.822,NaN,-0.028,3.778,23.72,NaN,0.965
786,32.849,31,NaN,NaN,NaN,NaN,NaN
788,32.904,30,NaN,NaN,NaN,NaN,NaN
790,32.958,31,-0.001,3.805,24.54,NaN,1.543
792,33.013,40,NaN,NaN,NaN,NaN,NaN
794,33.067,34,NaN,NaN,NaN,NaN,NaN
795,33.095,NaN,NaN,4.128,NaN,NaN,0.186
796,33.122,34,NaN,NaN,NaN,NaN,NaN
798,33.177,31,NaN,NaN,NaN,NaN,NaN
800,33.231,40,0.571,3.862,23.45,NaN,0.98
802,33.286,33,NaN,NaN,NaN,NaN,NaN
804,33.34,33,NaN,NaN,NaN,NaN,NaN
805,33.368,NaN,0.489,3.727,24.04,NaN,0.364
806,33.395,33,NaN,NaN,NaN,NaN,NaN
808,33.45,32,NaN,NaN,NaN,NaN,NaN
810,33.504,34,0.478,3.758,23.46,NaN,4.4
812,33.559,34,NaN,NaN,NaN,NaN,NaN
814,33.613,36,NaN,NaN,NaN,NaN,NaN
815,33.641,NaN,0.575,3.764,24.52,NaN,NaN
816,33.668,41,NaN,NaN,NaN,NaN,NaN
818,33.723,37,NaN,NaN,NaN,NaN,NaN
820,33.777,30,-0.295,3.895,24.65,NaN,1.409
822,33.832,36,NaN,NaN,NaN,NaN,NaN
824,33.886,28,NaN,NaN,NaN,NaN,NaN
825,33.914,NaN,0.688,3.637,24.76,NaN,2.96
826,33.941,35,NaN,NaN,NaN,NaN,NaN
828,33.995,32,NaN,NaN,NaN,NaN,NaN
830,34.05,32,0.438,3.844,24.54,NaN,2.506
832,34.105,33,NaN,NaN,NaN,NaN,NaN
834,34.159,33,NaN,NaN,NaN,NaN,NaN
835,34.187,NaN,0.429,3.677,22.68,NaN,NaN
836,34.214,26,NaN,NaN,NaN,NaN,NaN
838,34.268,24,NaN,NaN,NaN,NaN,NaN
840,34.323,23,0.103,4,24.34,NaN,5.035
842,34.378,21,NaN,NaN,NaN,NaN,NaN
844,34.432,21,NaN,NaN,NaN,NaN,NaN
845,34.46,NaN,0.095,4.049,23.95,NaN,13.144
846,34.487,21,NaN,NaN,NaN,NaN,NaN
848,34.541,22,NaN,NaN,NaN,NaN,NaN
850,34.596,21,-0.59,4.117,24.6,NaN,11.304
852,34.651,24,NaN,NaN,NaN,NaN,NaN
854,34.705,20,NaN,NaN,NaN,NaN,NaN
855,34.733,NaN,-0.634,4.003,24.47,NaN,10.682
856,34.76,17,NaN,NaN,NaN,NaN,NaN
858,34.814,16,NaN,NaN,NaN,NaN,NaN
860,34.869,15,-0.289,3.685,24.52,NaN,16.925
862,34.924,14,NaN,NaN,NaN,NaN,NaN
864,34.978,14,NaN,NaN,NaN,NaN,NaN
865,35.006,NaN,-0.181,4.136,24.26,NaN,15.947
866,35.033,13,NaN,NaN,NaN,NaN,NaN
868,35.087,10,NaN,NaN,NaN,NaN,NaN
870,35.142,14,-0.158,4.17,24.44,NaN,13.308
872,35.197,16,NaN,NaN,NaN,NaN,NaN
874,35.251,16,NaN,NaN,NaN,NaN,NaN
875,35.279,NaN,-0.102,4.21,24.93,NaN,18.568
876,35.306,14,NaN,NaN,NaN,NaN,NaN
878,35.36,14,NaN,NaN,NaN,NaN,NaN
880,35.415,17,-0.19,3.936,25.49,NaN,24.969
882,35.56,22,NaN,NaN,NaN,NaN,NaN
884,35.705,22,NaN,NaN,NaN,NaN,NaN
885,35.777,NaN,-0.414,4.132,24.47,NaN,16.874
886,35.849,24,NaN,NaN,NaN,NaN,NaN
888,35.994,26,NaN,NaN,NaN,NaN,NaN
890,36.139,24,0.128,4.043,25.56,NaN,16.999
892,36.284,27,NaN,NaN,NaN,NaN,NaN
894,36.429,15,NaN,NaN,NaN,NaN,NaN
895,36.501,NaN,-0.086,3.942,24.77,NaN,NaN
896,36.574,12,NaN,NaN,NaN,NaN,NaN
898,36.718,0,-0.936,3.893,24.36,NaN,12.685
900,36.863,2,NaN,NaN,NaN,NaN,NaN
902,37.008,2,0.178,3.58,25.43,NaN,13.078
904,37.153,3,NaN,NaN,NaN,NaN,NaN
905,37.225,NaN,-0.379,4.038,24.15,NaN,14.263
906,37.298,3,NaN,NaN,NaN,NaN,NaN
908,37.442,4,NaN,NaN,NaN,NaN,NaN
910,37.587,3,0.009,3.69,26.67,NaN,12.593
912,37.732,4,NaN,NaN,NaN,NaN,NaN
914,37.877,4,NaN,NaN,NaN,NaN,NaN
915,37.949,NaN,-0.035,3.701,24.75,NaN,11.195
916,38.022,3,NaN,NaN,NaN,NaN,NaN
918,38.166,4,NaN,NaN,NaN,NaN,NaN
920,38.311,5,0.006,NaN,24.15,NaN,10.513
922,38.456,4,NaN,NaN,NaN,NaN,NaN
924,38.601,4,NaN,NaN,NaN,NaN,NaN
925,38.673,NaN,0.21,4.011,25.73,NaN,16.488
926,38.746,4,NaN,NaN,NaN,NaN,NaN
928,38.891,4,NaN,NaN,NaN,NaN,NaN
930,39.035,4,0.144,3.899,24.69,NaN,12.922
932,39.18,5,NaN,NaN,NaN,NaN,NaN
934,39.325,4,NaN,NaN,NaN,NaN,NaN
935,39.397,NaN,-0.588,4.044,24.85,NaN,22.198
936,39.47,5,NaN,NaN,NaN,NaN,NaN
938,39.615,4,NaN,NaN,NaN,NaN,NaN
940,39.759,5,-0.149,9.309,23.59,NaN,18.619
942,39.904,5,NaN,NaN,NaN,NaN,NaN
944,40.049,7,NaN,NaN,NaN,NaN,NaN
945,40.121,NaN,-0.229,4.142,23.8,NaN,16.948
946,40.194,9,NaN,NaN,NaN,NaN,NaN
948,40.339,7,NaN,NaN,NaN,NaN,NaN
950,40.483,5,-0.157,3.903,24.73,NaN,14.235
952,40.628,5,NaN,NaN,NaN,NaN,NaN
954,40.773,5,NaN,NaN,NaN,NaN,NaN
955,40.845,NaN,-0.865,4.01,24.44,NaN,NaN
956,40.918,4,NaN,NaN,NaN,NaN,NaN
958,41.063,6,NaN,NaN,NaN,NaN,NaN
960,41.208,5,0.032,4.018,24.09,NaN,20.59
962,41.352,4,NaN,NaN,NaN,NaN,NaN
964,41.497,5,NaN,NaN,NaN,NaN,NaN
965,41.57,NaN,-0.027,4.125,25.04,NaN,14.076
966,41.642,13,NaN,NaN,NaN,NaN,NaN
968,41.787,17,NaN,NaN,NaN,NaN,NaN
970,41.932,17,-0.119,4.076,23.1,NaN,21.556
972,42.076,18,NaN,NaN,NaN,NaN,NaN
974,42.221,15,NaN,NaN,NaN,NaN,NaN
975,42.294,NaN,-0.593,4.033,23.84,NaN,14.024
976,42.366,17,NaN,NaN,NaN,NaN,NaN
978,42.511,20,NaN,NaN,NaN,NaN,NaN
980,42.656,20,-0.041,3.385,22.55,NaN,9.168
982,42.8,23,NaN,NaN,NaN,NaN,NaN
984,42.945,18,NaN,NaN,NaN,NaN,NaN
985,43.018,NaN,-0.153,3.45,25.31,NaN,6.873
986,43.09,23,NaN,NaN,NaN,NaN,NaN
988,43.235,27,NaN,NaN,NaN,NaN,NaN
990,43.38,24,-0.04,3.868,22.65,NaN,5.711
992,43.525,22,NaN,NaN,NaN,NaN,NaN
994,43.669,22,NaN,NaN,NaN,NaN,NaN
995,43.742,NaN,-0.089,3.947,22.67,NaN,8.504
996,43.814,22,NaN,NaN,NaN,NaN,NaN
998,43.959,21,NaN,NaN,NaN,NaN,NaN
1000,44.104,20,0.399,4.034,22.11,NaN,13.942
1002,44.249,25,NaN,NaN,NaN,NaN,NaN
1004,44.393,21,NaN,NaN,NaN,NaN,NaN
1005,44.466,NaN,-0.093,4.082,22.42,NaN,9.903
1006,44.538,18,NaN,NaN,NaN,NaN,NaN
1008,44.683,17,NaN,NaN,NaN,NaN,NaN
1010,44.828,12,-0.028,4.157,22.96,NaN,23.402
1012,44.973,12,NaN,NaN,NaN,NaN,NaN
1014,45.117,12,NaN,NaN,NaN,NaN,NaN
1015,45.19,NaN,-0.023,3.893,23.51,NaN,23.296
1016,45.262,12,NaN,NaN,NaN,NaN,NaN
1018,45.407,12,NaN,NaN,NaN,NaN,NaN
1020,45.552,12,-0.557,NaN,24.43,NaN,29.667
1022,45.697,13,NaN,NaN,NaN,NaN,NaN
1024,45.842,12,NaN,NaN,NaN,NaN,NaN
1025,45.914,NaN,-0.918,4.087,26.63,NaN,30.133
1026,45.986,13,NaN,NaN,NaN,NaN,NaN
1028,46.131,13,NaN,NaN,NaN,NaN,NaN
1030,46.276,14,-1.237,3.847,24.56,NaN,23.693
1032,46.421,14,NaN,NaN,NaN,NaN,NaN
1034,46.566,15,NaN,NaN,NaN,NaN,NaN
1035,46.638,NaN,-0.889,4.048,25.35,NaN,28.716
1036,46.71,15,NaN,NaN,NaN,NaN,NaN
1038,46.855,15,NaN,NaN,NaN,NaN,NaN
1040,47,12,-0.338,4.009,25.57,NaN,24.48
1042,47.222,14,NaN,NaN,NaN,NaN,NaN
1044,47.444,13,NaN,NaN,NaN,NaN,NaN
1045,47.556,NaN,0.166,3.999,24.82,NaN,30.365
1046,47.667,12,NaN,NaN,NaN,NaN,NaN
1048,47.889,NaN,-0.267,4.001,23.33,NaN,31.301
1050,48.111,7,NaN,NaN,NaN,NaN,NaN
1052,48.333,9,-0.57,4.083,24.42,NaN,NaN
1054,48.556,17,NaN,NaN,NaN,NaN,NaN
1055,48.667,NaN,-0.06,3.951,25.2,NaN,24.308
1056,48.778,18,NaN,NaN,NaN,NaN,NaN
1058,49,15,NaN,NaN,NaN,NaN,NaN
1060,49.222,19,-0.174,3.769,24.53,NaN,28.915
1062,49.444,20,NaN,NaN,NaN,NaN,NaN
1064,49.667,19,NaN,NaN,NaN,NaN,NaN
1065,49.778,NaN,0.019,3.943,24.08,NaN,22.423
1066,49.889,25,NaN,NaN,NaN,NaN,NaN
1068,50.111,21,NaN,NaN,NaN,NaN,NaN
1070,50.333,16,-0.052,2.57,24.9,NaN,6.373
1072,50.556,16,NaN,NaN,NaN,NaN,NaN
1074,50.778,14,NaN,NaN,NaN,NaN,NaN
1075,50.889,NaN,-0.7,3.73,24.82,NaN,17.715
1076,51,16,NaN,NaN,NaN,NaN,NaN
1078,51.222,15,NaN,NaN,NaN,NaN,NaN
1080,51.444,15,-0.486,3.315,25.58,NaN,21.749
1082,51.667,14,NaN,NaN,NaN,NaN,NaN
1084,51.889,14,NaN,NaN,NaN,NaN,NaN
1085,52,NaN,-0.316,3.274,25.84,NaN,14.597
1086,52.111,15,NaN,NaN,NaN,NaN,NaN
1088,52.333,16,NaN,NaN,NaN,NaN,NaN
1090,52.556,16,-0.712,3.405,25.59,NaN,11.688
1092,52.778,17,NaN,NaN,NaN,NaN,NaN
1094,53,15,NaN,NaN,NaN,NaN,NaN
1095,53.111,NaN,0.267,3.437,24.62,NaN,NaN
1096,53.222,15,NaN,NaN,NaN,NaN,NaN
1098,53.444,17,NaN,NaN,NaN,NaN,NaN
1100,53.667,16,0.529,3.613,24.7,NaN,15.488
1102,53.889,16,NaN,NaN,NaN,NaN,NaN
1104,54.111,17,NaN,NaN,NaN,NaN,NaN
1105,54.222,NaN,-0.037,3.626,24.87,NaN,NaN
1106,54.333,16,NaN,NaN,NaN,NaN,NaN
1108,54.556,14,NaN,NaN,NaN,NaN,NaN
1110,54.778,13,0.586,3.597,26.93,NaN,22.367
1112,55,15,NaN,NaN,NaN,NaN,NaN
1114,55.222,14,NaN,NaN,NaN,NaN,NaN
1115,55.333,NaN,0.766,3.773,25.22,NaN,16.466
1116,55.444,15,NaN,NaN,NaN,NaN,NaN
1118,55.667,11,NaN,NaN,NaN,NaN,NaN
1120,55.889,15,-0.129,3.764,24.29,NaN,15.198
1122,56.111,15,NaN,NaN,NaN,NaN,NaN
1124,56.333,15,NaN,NaN,NaN,NaN,NaN
1125,56.444,NaN,0.091,3.83,24.54,NaN,22.129
1126,56.556,19,NaN,NaN,NaN,NaN,NaN
1128,56.778,19,NaN,NaN,NaN,NaN,NaN
1130,57,20,0.531,4.027,24.4,NaN,14.322
1132,57.222,25,NaN,NaN,NaN,NaN,NaN
1134,57.444,40,NaN,NaN,NaN,NaN,NaN
1135,57.556,NaN,-0.131,4.19,24.07,NaN,10.278
1138,57.889,18,NaN,NaN,NaN,NaN,NaN
1140,58.111,23,0.068,3.803,26.11,NaN,11.284
1142,58.333,30,NaN,NaN,NaN,NaN,NaN
1144,58.556,37,NaN,NaN,NaN,NaN,NaN
1145,58.667,NaN,0.251,4.071,24.61,NaN,5.701
1146,58.778,32,NaN,NaN,NaN,NaN,NaN
1148,59,20,NaN,NaN,NaN,NaN,NaN
1150,59.222,15,0.548,4.001,25.04,NaN,8.895
1152,59.444,26,NaN,NaN,NaN,NaN,NaN
1154,59.667,26,NaN,NaN,NaN,NaN,NaN
1155,59.778,NaN,0.683,3.943,24.57,NaN,7.388
1156,59.889,24,NaN,NaN,NaN,NaN,NaN
1158,60.111,22,NaN,NaN,NaN,NaN,NaN
1160,60.333,21,0.224,3.776,24.06,NaN,12.103
1162,60.556,25,NaN,NaN,NaN,NaN,NaN
1164,60.778,22,NaN,NaN,NaN,NaN,NaN
1165,60.889,NaN,-0.114,3.973,25.58,NaN,11.537
1166,61,22,NaN,NaN,NaN,NaN,NaN
1168,61.222,13,NaN,NaN,NaN,NaN,NaN
1170,61.444,10,0.576,3.945,25.08,NaN,13.938
1172,61.667,13,NaN,NaN,NaN,NaN,NaN
1174,61.889,11,NaN,NaN,NaN,NaN,NaN
1175,62,NaN,0.533,3.958,24.44,NaN,13.416
1176,62.111,10,NaN,NaN,NaN,NaN,NaN
1178,62.333,10,NaN,NaN,NaN,NaN,NaN
1180,62.556,10,0.533,3.957,24.26,NaN,16.503
1182,62.778,11,NaN,NaN,NaN,NaN,NaN
1184,63,10,NaN,NaN,NaN,NaN,NaN
1185,63.111,NaN,0.391,3.734,24.99,NaN,16.843
1186,63.222,9,NaN,NaN,NaN,NaN,NaN
1188,63.444,9,NaN,NaN,NaN,NaN,NaN
1190,63.667,10,0.301,4.083,23.94,NaN,17.492
1192,63.889,11,NaN,NaN,NaN,NaN,NaN
1194,64.111,11,NaN,NaN,NaN,NaN,NaN
1195,64.222,NaN,0.311,4.192,23.78,NaN,18.118
1196,64.333,10,NaN,NaN,NaN,NaN,NaN
1198,64.556,11,0.195,4.055,24.2,NaN,18.365
1200,64.778,10,NaN,NaN,NaN,NaN,NaN
1202,65,10,-0.171,4.294,21.72,NaN,17.994
1204,65.53,12,NaN,NaN,NaN,NaN,NaN
1205,65.795,NaN,0.064,4.225,22.95,NaN,22.673
1206,66.06,11,NaN,NaN,NaN,NaN,NaN
1208,66.59,11,NaN,NaN,NaN,NaN,NaN
1210,67.12,13,-0.17,4.2,23.11,NaN,17.323
1212,67.651,13,NaN,NaN,NaN,NaN,NaN
1214,68.181,11,NaN,NaN,NaN,NaN,NaN
1215,68.446,NaN,-0.015,4.149,23.85,NaN,18.948
1216,68.711,11,NaN,NaN,NaN,NaN,NaN
1218,69.241,11,NaN,NaN,NaN,NaN,NaN
1220,69.771,8,0.133,3.252,23.87,NaN,13.691
1222,70.301,9,NaN,NaN,NaN,NaN,NaN
1224,70.831,8,NaN,NaN,NaN,NaN,NaN
1225,71.096,NaN,-0.001,3.988,24.58,NaN,23.531
1226,71.361,6,NaN,NaN,NaN,NaN,NaN
1228,71.892,7,NaN,NaN,NaN,NaN,NaN
1230,72.422,6,-0.313,3.907,24.28,NaN,22.13
1232,72.952,6,NaN,NaN,NaN,NaN,NaN
1234,73.482,6,NaN,NaN,NaN,NaN,NaN
1235,73.747,NaN,-0.017,3.927,24.63,NaN,22.638
1236,74.012,6,NaN,NaN,NaN,NaN,NaN
1238,74.542,6,NaN,NaN,NaN,NaN,NaN
1240,75.072,5,0.204,3.609,25.11,NaN,18.259
1242,75.602,5,NaN,NaN,NaN,NaN,NaN
1244,76.133,4,NaN,NaN,NaN,NaN,NaN
1245,76.398,NaN,0.359,3.853,25.32,NaN,19.628
1246,76.663,5,NaN,NaN,NaN,NaN,NaN
1248,77.193,3,NaN,NaN,NaN,NaN,NaN
1250,77.723,2,-0.3,3.778,25.51,NaN,27.154
1252,78.253,3,NaN,NaN,NaN,NaN,NaN
1254,78.783,3,NaN,NaN,NaN,NaN,NaN
1255,79.048,NaN,-0.075,3.416,24.39,NaN,21.998
1256,79.313,3,NaN,NaN,NaN,NaN,NaN
1258,79.843,2,NaN,NaN,NaN,NaN,NaN
1260,80.373,2,-0.85,3.349,24.82,NaN,24.595
1262,80.904,3,NaN,NaN,NaN,NaN,NaN
1264,81.434,4,NaN,NaN,NaN,NaN,NaN
1265,81.699,NaN,-1.268,3.414,25.26,NaN,29.723
1266,81.964,4,NaN,NaN,NaN,NaN,NaN
1268,82.494,3,NaN,NaN,NaN,NaN,NaN
1270,83.024,6,-0.775,3.426,25.86,NaN,30.809
1272,83.554,8,NaN,NaN,NaN,NaN,NaN
1274,84.084,4,NaN,NaN,NaN,NaN,NaN
1275,84.349,NaN,-1.071,3.286,25.39,NaN,21.433
1276,84.614,5,NaN,NaN,NaN,NaN,NaN
1278,85.145,6,NaN,NaN,NaN,NaN,NaN
1280,85.675,6,-1.484,3.595,26.02,NaN,18.038
1282,86.205,7,NaN,NaN,NaN,NaN,NaN
1284,86.735,7,NaN,NaN,NaN,NaN,NaN
1285,87,NaN,-0.756,3.636,25.53,NaN,16.004
1286,87.21,5,NaN,NaN,NaN,NaN,NaN
1288,87.629,4,NaN,NaN,NaN,NaN,NaN
1290,88.048,6,-0.498,3.952,24.63,NaN,21.788
1292,88.467,4,NaN,NaN,NaN,NaN,NaN
1294,88.886,4,NaN,NaN,NaN,NaN,NaN
1295,89.095,NaN,-0.003,3.849,24.03,NaN,25.059
1296,89.305,3,NaN,NaN,NaN,NaN,NaN
1298,89.724,3,NaN,NaN,NaN,NaN,NaN
1300,90.143,3,-0.786,3.919,25.41,NaN,28.287
1302,90.562,3,NaN,NaN,NaN,NaN,NaN
1304,90.981,3,NaN,NaN,NaN,NaN,NaN
1305,91.19,NaN,-0.361,3.725,24.94,NaN,24.17
1306,91.4,3,NaN,NaN,NaN,NaN,NaN
1308,91.819,3,NaN,NaN,NaN,NaN,NaN
1310,92.238,4,-0.438,3.546,25.35,NaN,26.276
1312,92.657,2,NaN,NaN,NaN,NaN,NaN
1314,93.076,2,NaN,NaN,NaN,NaN,NaN
1315,93.286,NaN,-0.818,3.729,25.43,NaN,25.498
1316,93.495,1,NaN,NaN,NaN,NaN,NaN
1318,93.914,4,NaN,NaN,NaN,NaN,NaN
1320,94.333,1,-0.774,3.603,24.17,NaN,22.97
1322,94.752,2,NaN,NaN,NaN,NaN,NaN
1324,95.171,2,NaN,NaN,NaN,NaN,NaN
1325,95.381,NaN,-0.29,3.541,25.53,NaN,22.144
1326,95.59,3,NaN,NaN,NaN,NaN,NaN
1328,96.01,1,NaN,NaN,NaN,NaN,NaN
1330,96.429,2,-0.532,3.462,26.84,NaN,22.52
1332,96.848,1,NaN,NaN,NaN,NaN,NaN
1334,97.267,0,NaN,NaN,NaN,NaN,NaN
1335,97.476,NaN,-0.703,3.536,26.81,NaN,26.226
1336,97.686,2,NaN,NaN,NaN,NaN,NaN
1338,98.105,1,NaN,NaN,NaN,NaN,NaN
1340,98.524,2,-1.158,3.219,27.34,NaN,21.239
1342,98.943,2,NaN,NaN,NaN,NaN,NaN
1344,99.362,2,NaN,NaN,NaN,NaN,NaN
1345,99.571,NaN,-0.998,3.333,26.88,NaN,25.412
1346,99.781,3,NaN,NaN,NaN,NaN,NaN
1348,100.2,0,-0.747,3.177,27.04,NaN,23.772
1350,100.619,2,NaN,NaN,NaN,NaN,NaN
1352,101.038,4,-0.602,3.223,27.73,NaN,24.785
1354,101.457,3,NaN,NaN,NaN,NaN,NaN
1355,101.667,NaN,-0.57,3.502,27.34,NaN,24.569
1356,101.876,3,NaN,NaN,NaN,NaN,NaN
1358,102.295,3,NaN,NaN,NaN,NaN,NaN
1360,102.714,4,-0.429,3.562,27.23,NaN,26.058
1362,103.133,3,NaN,NaN,NaN,NaN,NaN
1364,103.552,4,NaN,NaN,NaN,NaN,NaN
1365,103.762,NaN,-0.474,3.4,28,NaN,32.156
1366,103.971,2,NaN,NaN,NaN,NaN,NaN
1368,104.39,2,NaN,NaN,NaN,NaN,NaN
1370,104.81,4,-0.367,3.53,26.51,NaN,34.691
1372,105.229,4,NaN,NaN,NaN,NaN,NaN
1374,105.648,4,NaN,NaN,NaN,NaN,NaN
1375,105.857,NaN,-0.733,3.543,25.53,NaN,18.469
1376,106.067,5,NaN,NaN,NaN,NaN,NaN
1378,106.486,5,NaN,NaN,NaN,NaN,NaN
1380,106.905,5,-0.492,3.403,26.3,NaN,26.707
1382,107.324,4,NaN,NaN,NaN,NaN,NaN
1384,107.743,3,NaN,NaN,NaN,NaN,NaN
1385,107.952,NaN,-0.666,3.667,25.34,NaN,38.913
1386,108.162,2,NaN,NaN,NaN,NaN,NaN
1388,108.581,1,NaN,NaN,NaN,NaN,NaN
1390,109,1,-0.727,3.844,25.64,NaN,39.532
1392,109.667,2,NaN,NaN,NaN,NaN,NaN
1394,110.333,2,NaN,NaN,NaN,NaN,NaN
1395,110.667,NaN,-0.696,3.368,26.06,NaN,30.532
1396,111,3,NaN,NaN,NaN,NaN,NaN
1398,111.667,3,NaN,NaN,NaN,NaN,NaN
1400,112.333,4,-0.167,2.955,25.28,NaN,39.915
1402,113,4,NaN,NaN,NaN,NaN,NaN
1404,113.667,4,NaN,NaN,NaN,NaN,NaN
1405,114,NaN,-0.747,3.533,26.87,NaN,32.977
1406,114.333,4,NaN,NaN,NaN,NaN,NaN
1408,115,5,NaN,NaN,NaN,NaN,NaN
1410,115.667,6,-0.469,3.421,26.45,NaN,39.265
1412,116.333,8,NaN,NaN,NaN,NaN,NaN
1414,117,8,NaN,NaN,NaN,NaN,NaN
1415,117.333,NaN,-1.614,2.985,27.21,NaN,29.791
1416,117.667,8,NaN,NaN,NaN,NaN,NaN
1420,119,7,-1.32,2.737,26.47,NaN,35.711
1422,119.291,9,NaN,NaN,NaN,NaN,NaN
1424,119.582,9,NaN,NaN,NaN,NaN,NaN
1425,119.727,NaN,-1.474,2.989,27.89,NaN,26.983
1426,119.873,10,NaN,NaN,NaN,NaN,NaN
1428,120.164,9,NaN,NaN,NaN,NaN,NaN
1430,120.455,11,-1.369,2.668,29.05,NaN,15.828
1432,120.745,9,NaN,NaN,NaN,NaN,NaN
1434,121.036,10,NaN,NaN,NaN,NaN,NaN
1435,121.182,NaN,-1.926,2.689,29.89,NaN,24.127
1436,121.327,9,NaN,NaN,NaN,NaN,NaN
1438,121.618,10,NaN,NaN,NaN,NaN,NaN
1440,121.909,10,-1.652,2.641,28.68,NaN,27.302
1442,122.2,10,NaN,NaN,NaN,NaN,NaN
1444,122.491,9,NaN,NaN,NaN,NaN,NaN
1445,122.636,NaN,-1.684,2.602,28.83,NaN,26.832
1446,122.782,8,NaN,NaN,NaN,NaN,NaN
1448,123.073,10,NaN,NaN,NaN,NaN,NaN
1450,123.364,10,-1.638,2.519,28.56,NaN,25.972
1452,123.655,9,NaN,NaN,NaN,NaN,NaN
1454,123.945,11,NaN,NaN,NaN,NaN,NaN
1455,124.091,NaN,-1.539,2.677,28.21,NaN,24.651
1456,124.236,10,NaN,NaN,NaN,NaN,NaN
1458,124.527,8,NaN,NaN,NaN,NaN,NaN
1460,124.818,11,-1.807,2.594,28.49,NaN,24.035
1462,125.109,11,NaN,NaN,NaN,NaN,NaN
1464,125.4,7,NaN,NaN,NaN,NaN,NaN
1465,125.545,NaN,-1.942,2.653,28.49,NaN,25.589
1466,125.691,10,NaN,NaN,NaN,NaN,NaN
1468,125.982,10,NaN,NaN,NaN,NaN,NaN
1470,126.273,11,-1.756,2.707,27.69,NaN,20.376
1472,126.564,12,NaN,NaN,NaN,NaN,NaN
1474,126.855,12,NaN,NaN,NaN,NaN,NaN
1475,127,NaN,-1.838,2.68,26.96,NaN,13.564
1476,127.145,12,NaN,NaN,NaN,NaN,NaN
1478,127.436,11,NaN,NaN,NaN,NaN,NaN
1480,127.727,11,-1.877,2.692,27.68,NaN,16.119
1482,128.018,11,NaN,NaN,NaN,NaN,NaN
1484,128.309,11,NaN,NaN,NaN,NaN,NaN
1485,128.455,NaN,-0.864,2.81,25.75,NaN,17.11
1486,128.6,12,NaN,NaN,NaN,NaN,NaN
1488,128.891,10,NaN,NaN,NaN,NaN,NaN
1490,129.182,12,-0.888,3.082,26.22,NaN,18.12
1492,129.473,11,NaN,NaN,NaN,NaN,NaN
1494,129.764,11,NaN,NaN,NaN,NaN,NaN
1495,129.909,NaN,-0.459,3.475,26.74,NaN,26.739
1496,130.055,13,NaN,NaN,NaN,NaN,NaN
