# DESCRIPTION:
# Reference: Tierney, J.E., J.M. Russell, Y. Huang, J.S. Sinninghe Damsté, E.C. Hopmans, and A.S. Cohen. 2008. Northern Hemisphere Controls on Tropical Southeast African Climate During the Past 60,000 Years. Science, Vol. 322, No. 5899, pp. 252-255, 10 October 2008. doi: 10.1126/science.1160485.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6206. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.

Year (ka BP),T (ºC, Tierney 2010),dD (IV) [permil VSMOW],d13C (wax) [permil VPDB]
33686,22.7,-28.6,-27.3
34034,22.8,-28.2,-28.4
34382,22.4,-29.1,-28.5
34904,22.8,-27.6,-28.5
35427,23,-24.2,-30.6
35775,NaN,-26.8,-31.4
35819,22.9,NaN,NaN
36254,23.1,-31,-33.8
36471,NaN,-34.6,0
36776,23.1,NaN,NaN
36820,NaN,-0.2,0
37212,22.9,5.8,-26.9
37560,22.6,-3.1,-29.1
37908,22.7,-14.9,-31.6
38256,22.8,-6.8,-31
38605,22.9,-11.6,-30.1
38953,23,-25.7,-32
39301,22.8,-6.6,-29.1
39649,22.3,-9.5,-29.1
39997,22,-14.4,-30.3
40346,22.2,-11.8,-31.3
40694,22,-14.2,-31.8
41042,22.2,-10.4,-33.2
41390,22.4,-20,-34.2
41739,22.5,-25.7,-30.7
42087,22.6,-29.2,-29.3
42435,22.7,-26.9,-30.3
42783,22.7,-30.3,-28.8
43131,22.9,NaN,NaN
43480,22.5,-24.8,-28.4
43828,22.2,-30.1,-28.7
44176,22.2,-35.6,-28.9
44524,22.4,-36.2,-27.2
44872,23,-20.7,-27.1
45221,22.6,-15.8,-27.3
45569,23.2,-15.3,-28.2
45917,24,-14.9,-29.7
46265,23.4,-10.3,-28.4
46614,22.9,-10.1,-28
46962,22.8,-8.2,-27.9
47310,22.8,-6.8,-28.6
47658,22.5,-2.4,-30.4
48006,22.6,-5.2,-30.1
48355,22.9,-18.2,-29.3
48703,23.3,-8.8,-30.8
49007,23,-10.8,-30.8
49355,23,-17.4,-31.4
49704,23,-16.9,-31.3
50052,23.2,NaN,NaN
50400,23.7,-9.7,-31.5
50748,23.8,-18.3,-31.8
51096,24.2,-11.9,-31.6
51445,24.3,-18.6,-32.1
51793,23.7,-18.7,-31.9
52141,23.5,-19.3,-32
52489,22.5,-16.9,-32.2
52837,23.6,-15.4,-31.6
53186,23.6,-14.7,-31.6
53534,25.7,-16.6,-31.6
53882,23.7,-21.1,-32.2
54230,23.8,NaN,NaN
54579,24.2,-27.7,-33.1
54927,24.7,-23.7,-33.2
55275,24.7,-31.3,-33.4
55623,24.8,-25.1,-33.6
55971,24.5,-26.8,-33.1
56320,25,-17.9,-33.8
56668,23.9,-12.1,-32
57016,26.2,-6.1,-31.5
57364,25.8,-22.3,-29.8
57712,25,-11.5,-30
58061,23.7,-25.8,-30
58409,25.2,-26.9,-30.1
58757,24.8,-37.9,-30
59105,25.1,-20.6,-29.7
59454,25,-40.1,-31.6
