# DESCRIPTION:
# Reference: Pickarski, N; Litt, T (2016): A new high-resolution pollen sequence at Lake Van, Turkey: Insights into penultimate interglacial-glacial climate change on vegetation history. Climate of the Past Discussions, 29 pp, https://doi.org/10.5194/cp-2016-133.
# Data from: https://doi.org/10.1594/PANGAEA.871228. Accessed 07 Jan 2023.
# Comment: Multiple variables from the original dataset are not included here.

Depth [m],Age [ka BP],AP [%],δ13C bulk carb [‰ PDB],δ18O bulk carb [‰ PDB]
4.52,191.286,10.5,5.94,2.16
4.53,192.02,11.2,5.27,1.38
4.54,192.292,11,4.93,1.36
4.55,192.968,17.5,4.53,-0.05
4.56,193.744,38.9,5.42,-1.38
4.57,194.482,40.5,5.71,-1.6
4.58,195.259,27.7,6.46,-1.11
4.59,196.035,15.4,5.54,0.11
4.6,196.28,22.2,5.02,-1.14
4.61,196.862,27.3,4.92,-2.3
4.62,197.639,40.1,5.79,-2.73
4.65,199.802,34.8,5.12,-3.28
4.66,200.439,37.8,0.7,-4.55
4.67,201.298,44.2,0.29,-4.66
4.68,201.712,36.8,5.78,-1.29
4.7,202.857,24.4,3.93,-1.71
4.71,203.367,16.9,5.89,1.52
4.72,204.111,18.7,5.28,1.46
4.73,204.748,17.9,5.3,1.09
4.74,205.298,24.9,6.02,1.07
4.75,205.976,18.8,6.04,2.21
4.77,207.233,23,5.58,2.4
4.78,207.882,33,6.24,2.43
4.79,208.407,50.9,6.14,2.71
4.81,209.68,54.5,6.68,3
4.82,210.317,52.7,5.71,2.19
4.84,211.484,66.6,5.83,2.63
4.85,212.009,62.4,6.09,2.64
4.86,212.614,68.9,6.08,1.46
4.87,213.219,64.5,6.01,-0.14
4.89,215.494,9.8,4.59,5.94
4.9,216.092,9.6,4.8,-3.63
4.91,216.454,4.7,3.99,-1.77
4.92,216.822,4.7,4.27,-1.39
4.93,217.158,6.1,3.79,-1.87
4.95,217.717,5.9,4.31,-1.36
4.96,217.985,5.3,3.81,-2.22
4.97,218.387,3,3.75,-2.39
4.98,218.678,4.1,5.76,1.24
4.99,219.069,4.1,4.56,-1.62
5,219.27,4.4,3.64,-3.86
5.01,219.672,3.5,4.92,-1.55
5.02,220.074,3.1,3.76,-2.36
5.03,220.656,3.2,4.06,-2.13
5.04,220.935,1.4,3.56,-1.62
5.09,222.122,3.6,5.56,0.06
5.1,222.735,4.1,4.85,0.11
5.11,223.4775,6.6,5.18,0.77
5.12,224.22,8.6,4.65,0.03
5.13,224.962,7.7,4.91,0.13
5.14,225.556,7.6,5.52,0.73
5.15,226.306,12.4,5.37,0.7
5.18,228.534,13.6,5.2,2.09
5.19,229.165,15.5,4.31,1.96
5.2,229.277,13.7,4.53,2.07
5.21,229.908,14,4.38,2.03
5.22,230.019,18.8,4.16,1.52
5.24,231.397,33.7,5.02,0.43
5.25,232.139,18,4.12,1.42
5.26,232.882,28.6,6.02,2.23
5.27,233.235,37.3,5.03,1.23
5.3,235.47,41.1,5.89,1.92
