/* DESCRIPTION:
Reference:	van Kreveld, SA et al. (2000): Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger cycles in the Irminger Sea, 60-18 kyr. Paleoceanography, 15(4), 425-442, https://doi.org/10.1029/1999PA000464
	Waelbroeck, Claire; Lougheed, Bryan C; Vázquez Riveiros, Natalia; Missiaen, Lise; Pedro, Joel B; Dokken, Trond; Hajdas, Irka; Wacker, Lukas; Abbott, Peter M; Dumoulin, Jean-Pascal; Thil, François; Eynaud, Frédérique; Rossignol, Linda; Fersi, Wiem; Albuquerque, Ana Luiza Spadano; Arz, Helge Wolfgang; Austin, William EN; Came, Rosemarie E; Carlson, Anders Eskil; Collins, James A; Dennielou, Bernard; Desprat, Stéphanie; Dickson, Alex; Elliot, Mary; Farmer, Christa; Giraudeau, Jacques; Gottschalk, Julia; Henderiks, Jorijntje; Hughen, Konrad A; Jung, Simon; Knutz, Paul Cornils; Lebreiro, Susana Martin; Lund, David C; Lynch-Stieglitz, Jean; Malaizé, Bruno; Marchitto, Thomas M; Martínez Méndez, Gema; Mollenhauer, Gesine; Naughton, Filipa; Nave, Silvia Osorio; Nürnberg, Dirk; Oppo, Delia W; Peck, Victoria L; Peeters, Frank J C; Penaud, Aurélie; Portilho-Ramos, Rodrigo Costa; Repschläger, Janne; Roberts, Jenny; Rühlemann, Carsten; Salgueiro, Emilia; Sanchez Goñi, Maria Fernanda; Schönfeld, Joachim; Scussolini, Paolo; Skinner, Luke C; Skonieczny, Charlotte; Thornalley, David JR; Toucanne, Samuel; Van Rooij, David; Vidal, Laurence; Voelker, Antje H L; Wary, Mélanie; Weldeab, Syee; Ziegler, Martin (2019): Consistently dated Atlantic sediment cores over the last 40 thousand years. Scientific Data, 165, https://doi.org/10.1038/s41597-019-0173-8
Data from:	https://doi.org/10.1594/PANGAEA.261313. Accessed 29 Oct 2022.
	https://doi.org/10.1594/PANGAEA.905274. Accessed 29 Oct 2022.
Comment:	The second Age column uses age model from Waelbroeck et al., 2019. All other data from van Kreveld et al., 2000
*/
Depth [m]	Age [ka BP]	Age [ka BP] (Waelbroeck et al., 2019)	SST sum [°C]	SSS	IRD [#/g]	Volcanic glass mafi [#/g]	Qz [#/g]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	N. pachyderma s [%]	T. quinqueloba [%]	G. bulloides [%]
2.44	31.338	31.464	3.8	35	437	25	28	4.13	0.13			97.9	0.8	0.8
2.45	31.345	31.509	3.7	34.9	572.5	37	72	4.14	0.04	4.03	1.69	98.3	0.9	0.9
2.46	31.352	31.555	4.3	35.4	572	47	55	4.24	0.21			97.6	0.3	0.9
2.47	31.359	31.604	4.3	35.5	529.1	80	28	4.27	0.11			94.7	0.7	2.6
2.48	31.367	31.652	3.5	35	616.6	96	32	4.22	0.11			97.3	1.1	1.3
2.49	31.374	31.697	4.4	35.5	528.4	71	30	4.29	0.36			96.1	0	2.7
2.5	31.381	31.746	3.9	35.2	438	31	43	4.23	0.24			97.3	0.3	1.5
2.51	31.388	31.794	4.4	35.2	727	62	48	4.13	0.26			95.5	0.5	2.8
2.52	31.395	31.844	3.9	35.1	990.2	132	85	4.17	0.29			97.2	1.4	0.6
2.52	31.427	31.844								3.99	1.52			
2.53	31.459	31.895	3.9	35	130.7	61	4	4.15	0.13			91.4	3.3	4.3
2.54	31.542	31.946	4.5	35.4	179	59	13	4.22	0.25			90.7	4.3	3.5
2.55	31.625	31.999	4.3	35.1	160.8	82	9	4.11	0.27			90.3	4.6	4.2
2.56	31.708	32.052	4.4	34.9	162.2	97	7	3.96	0.3			80	10.2	7.8
2.57	31.768	32.109	7.6	36.1	72.9	19	4	3.76	0.25			62.7	17.7	17
2.58	31.798	32.168								3.43	1.27			
2.58	31.828	32.168	7.6	36.1	86.4	18	3	3.77	0.26			63.4	18.8	14.6
2.59	31.888	32.229	7.7	36	93.7	20	5	3.7	0.23			58.1	19.7	19.9
2.6	31.947	32.29	7.8	35.8	183.3	19	10	3.55	0.09	3.76	1.38	58.7	17	21
2.61	32.006	32.347	7.8	36	134.8	19	11	3.69	0.15			57.4	17.5	21.8
2.62	32.064	32.41	7.8	36.1	251.7	39	19	3.74	0.22			59.1	17.8	20.3
2.62	32.094	32.41								3.88	1.46			
2.63	32.123	32.471	7.1	36.1	486	43	19	3.89	0.1	3.62	1.37	71.1	12.2	15.9
2.64	32.183	32.536	7.6	36.3	640.4	41	37	3.9	0.06	3.81	1.51	66.7	12.5	18
2.65	32.246	32.596	7.2	36.3	863.5	73	36	4	0.04			74.6	7	15.8
2.66	32.309	32.657	6.9	36.4	1143.8	133	100	4.1	0.02	3.14	1.05	78.7	7	13.3
2.67	32.372	32.717	4	34.8	1695.7	294	95	3.98	0.08			94.6	2	2.8
2.68	32.389	32.776								3.72	1.36			
2.68	32.405	32.776	4.1	34.5	1363.8	172	97	3.79	0.1	3.69	1.41	92.4	2.8	4.2
2.69	32.438	32.832	7.3	36	691.9	91	71	3.76	0.17			67	21	11.6
2.7	32.472	32.89	4.4	34.7	1591.8	82	133	3.83	0.11	3.83	1.43	87.4	7.7	4.4
2.71	32.506	32.945	4.3	35	1366.1	119	151	4.02	0.27			91.7	4	3.4
2.72	32.596	33.001	4.6	35.1	957.2	215	91	3.98	0.29			84.4	7.3	6.7
2.72	32.642	33.001								3.81	1.46			
2.73	32.687	33.059	4.2	35	521.4	187	43	4.06	0.31			84.7	10.3	4.3
2.74	32.777	33.118	4	35	436	263	19	4.1	0.38			90	2	6.6
2.75	32.913	33.179	3.9	34.7	265.6	173	10	3.96	0.28	4.05	1.62	92.3	1.5	5.4
2.76	33.048	33.237	6	35.7	547	430	12	3.96	0.36			78.9	9.1	10.3
2.77	33.184	33.297	6.6	35.8	448.6	323	10	3.86	0.35			79.5	7.5	11
2.78	33.251	33.36								3.69	1.37			
2.78	33.319	33.36	6.9	36	257.3	167	11	3.86	0.3			80.5	6.1	12.1
2.79	33.369	33.424	6.9	36.2	791.5	702	12	4	0.29	3.78	1.49	82.7	4.2	12.3
2.8	33.42	33.487	6.9	35.6	242.9	147	8	3.64	0.3			77.4	5.1	14.9
2.81	33.47	33.554	7.8	36.2	307.1	60	28	3.77	0.3			64	6	28.4
2.82	33.52	33.618	7.9	36.3	470	109	33	3.78	0.31			66.4	8	24.2
2.82	33.554	33.618								3.56	1.3			
2.83	33.587	33.681	7.9	36.5	928.5	89	89	3.91	0.19			69.8	6.5	22.2
2.84	33.6	33.744	6.8	36.2	1069.7	126	92	4.02	0.23			78.3	3.6	16.8
2.85	33.613	33.807	6.8	35.9	1346.2	134	201	3.83	0.19	3.56	1.41	83.7	3.8	10.6
2.86	33.627	33.873	6	35.8	1265.5	101	186	4.02	0.18	3.72	1.45	86.1	3.1	9.5
2.87	33.64	33.94	5.4	35.5	1438	73	160	3.98	0.2			88.6	2.3	7.1
2.88	33.646	34.009								3.89	1.61			
2.88	33.653	34.009	3.5	34.8	1375.1	58	168	4.11	0.27			92.2	1.3	5.6
2.89	33.72	34.076	4	35.2	869.3	43	113	4.23	0.31			94.3	2	3
2.9	33.787	34.142	5.7	35.9	464.1	61	52	4.14	0.38	3.59	1.48	84.4	5.5	7.5
2.91	33.854	34.207	4.1	34.9	223.9	20	26	4	0.3			90.3	3	6.1
2.92	33.921	34.271	5.5	35.1	139.9	18	13	3.77	0.31			86.8	3.7	9.5
2.93	33.988	34.334	7	36.1	163.9	20	16	3.91	0.32			77	7.2	11.9
2.94	34.024	34.398	6.9	35.8	128.5	13	18	3.8	0.3			80.5	5.7	11.4
2.95	34.059	34.457	6.8	35.9	80.2	11	7	3.88	0.33			81.5	4.1	10.5
2.96	34.095	34.518	6	35.5	111.8	9	9	3.85	0.28			84.2	3.8	9.6
2.97	34.13	34.573	6.5	35.9	131.2	10	18	3.95	0.35			83.9	4.4	9.8
2.98	34.191	34.633	4.1	34.8	136.9	16	22	3.95	0.4			90.1	1.9	5.9
2.99	34.252	34.693	4.1	34.6	188.6	32	22	3.87	0.47			91.4	2.3	5
3	34.314	34.753	4.1	34.8	434.3	46	53	3.95	0.29			90.1	1.9	7
3.01	34.375	34.812	4.6	35.2	211.2	34	21	4.05	0.42	3.8	1.5	87.4	4.8	6.7
3.02	34.436	34.877	4.7	35.2	152.2	29	18	4.01	0.49			88.8	4.2	6.1
3.02	34.513	34.877								3.72	1.43			
3.03	34.59	34.943	6.2	35.7	142.2	24	14	3.87	0.36	3.73	1.41	83.9	4.9	9.5
3.04	34.744	35.008	5.7	35.3	151.2	25	17	3.77	0.33			86.9	3.8	7.7
3.05	34.792	35.069	5.8	35.6	171.5	31	19	3.93	0.28			84.4	5.3	9.3
3.06	34.882	35.135	6.9	35.7	189.3	39	21	3.64	0.25			79.8	6	11.7
3.07	34.972	35.201	7.9	36.1	305.5	68	31	3.63	0.22	3.74	1.33	70.3	7.8	20.2
3.08	35.024	35.266								3.57	1.33			
3.08	35.075	35.266	7.5	36.3	805.2	114	103	3.82	0.18			71.7	9.2	17.2
3.09	35.179	35.331	6.9	36	799.5	152	94	3.83	0.11	3.68	1.42	80.2	4.2	14.5
3.1	35.282	35.393	5.5	35.4	1867.3	226	247	3.83	0.13	3.6	1.26	87.7	2.3	8.4
3.11	35.385	35.455	3.7	34.6	1979.3	179	201	3.85	0.15	3.67	1.35	94.4	1.2	3.7
3.12	35.432	35.517	3.5	34.3	1673	281	203	3.75	0.03	3.71	1.37	94.7	0.8	4
3.13	35.478	35.583	4.1	34.6	1032	183	113	3.78	0.12	3.54	1.24	94.2	1.2	3.2
3.14	35.525	35.642	3.3	34.2	2358.6	234	210	3.75	0.1			97.5	0.5	1.3
3.15	35.571	35.703	3.7	34.7	1798.1	138	228	3.95	0.4	3.52	0.64	98.1	1	0.6
3.16	35.583	35.769	4.1	34.9	1383.5	120	196	3.96	0.3			97.1	0.2	1.4
3.17	35.596	35.83	3.8	34.6	860.3	137	102	3.87	0.25			97.3	0	1.3
3.18	35.608	35.891	3.9	34.7	583.3	120	58	3.9	0.32			98.3	0.5	0.2
3.19	35.621	35.951	3.9	34.9	549.8	142	59	4.04	0.41			95.3	0.7	3
3.2	35.633	36.01	3.9	34.5	461.1	137	37	3.78	0.33	3.59	0.98	93.7	1.8	3.6
3.21	35.67	36.067	3.7	34.5	431.3	142	42	3.88	0.48			98.2	0.3	1.3
3.22	35.706	36.123	2.4	34.1	567	168	48	4.03	0.48			98.8	0.4	0.8
3.22	35.745	36.123								3.98	1.19			
3.23	35.784	36.179	3.4	34.5	419.7	172	27	3.97	0.3			98.4	0	0.8
3.24	35.861	36.232	3.1	34.3	474.7	179	47	3.92	0.49			98.6	0	0.7
3.25	35.939	36.285	3.1	34.2	464.2	179	23	3.91	0.41			98.6	0	0.7
3.26	36.016	36.34	4.4	34.7	539.3	131	35	3.84	0.48	3.79	1.26	96.7	0.4	2
3.27	36.094	36.396	3.5	34.3	498.9	76	35	3.83	0.42			95.2	0.7	3.6
3.28	36.171	36.452	4.7	34.9	316	57	25	3.86	0.38			90	4.6	4.8
3.29	36.249	36.509	7	35.5	197	39	11	3.62	0.3			73.9	9.7	13.4
3.3	36.326	36.57	6.8	35.4	222	52	15	3.58	0.35	3.64	1.27	70.9	11.8	14.6
3.31	36.404	36.631	7.9	35.7	524.9	103	52	3.47	0.32			64.2	12.3	18.3
3.32	36.481	36.691	6.4	34.9	1366.2	256	155	3.39	0.2			78.1	8.1	10.9
3.32	36.498	36.691								3.72	1.35			
3.33	36.515	36.752	7.5	35.5	561.3	102	39	3.49	0.28			71.5	9.4	16.3
3.34	36.549	36.814	7	35.6	944.2	131	83	3.66	0.27	3.58	1.3	75.8	8.3	13.7
3.35	36.584	36.873	6.1	34.8	1247.8	197	162	3.45	0.2	3.65	1.28	80.5	7.3	9.7
3.36	36.618	36.94	6.2	34.8	1310.1	192	118	3.43	0.08	3.49	1.03	83.7	4.9	9.1
3.37	36.652	37.027	6.2	34.8	1171.4	239	102	3.41	0.05			82.3	5.1	9.5
3.38	36.824	37.155								3.12	1.23			
3.38	36.997	37.155	7.9	35.6	563.6	135	54	3.42	0.17			62.1	10	24.3
3.39	37.341	37.325	8	35.6	288.6	68	21	3.37	0.23	3.54	1.29	51.4	13.3	32
3.4	37.686	37.538	7.9	35.5	463.3	111	38	3.36	0.16			54.3	15.7	25.6
3.41	38.03	37.782	7.8	36	416.7	81	35	3.63	0.3			65.7	10.6	21
3.42	38.375	38.018	7.8	35.9	279.5	48	25	3.59	0.3			59.3	8.1	28.2
3.42	38.394	38.018								3.65	1.39			
3.43	38.413	38.212	4.1	34.7	1576.9	207	145	3.91	0.43			92.4	2.1	4.1
3.44	38.451	38.371	3.4	34.6	1022	170	63	3.99	0.38	4.04	1.58	96.7	0.6	1.7
3.45	38.489	38.518	3.4	34.5	1815.1	201	98	3.96	0.36	3.32	1.22	97.9	0.2	1.5
3.46	38.527	38.665	3.3	34.7	1990.2	203	186	4.11	0.34			98.6	0	0.9
3.47	38.565	38.817	4.7	35.3	2035.4	132	164	4.06	0.25			97.8	0	0.6
3.48	38.668	38.959								4.06	1.65			
3.48	38.772	38.959	4	34.9	1378.1	151	103	3.98	0.32			97.2	0	0.6
3.49	38.978	39.098	3.1	34.4	1089.6	113	125	3.99	0.28			98.5	0	0.7
3.5	39.185	39.229	2.6	34.4	921.1	154	74	4.11	0.39			98.7	0.2	0.6
3.51	39.392	39.359	3.7	34.7	742.6	114	51	3.98	0.35			98.4	0	0.3
3.52	39.599	39.489	3.2	34.6	868.7	157	57	4.05	0.35			98.3	0	0.4
3.52	39.702	39.489								4.01	1.42			
3.53	39.805	39.616	2.9	34.2	1585.6	230	123	3.94	0.31			98.7	0	0.8
3.54	40.012	39.75	3.2	34.3	1297.1	849	23	3.93	0.43			98.1	0.4	0.7
3.55	40.181	39.878	4.1	34.7	388	57	31	3.89	0.38	3.71	1.38	97.4	0.3	1.3
3.56	40.35	40.011	1.8	33.6	267.5	25	26	3.91	0.37			99.3	0	0.2
3.57	40.519	40.144	3.3	34.5	237.9	30	20	3.99	0.42			98	0.5	0.7
3.58	40.604	40.273								3.75	1.42			
3.58	40.688	40.273	3.5	34.7	244.8	35	18	4.04	0.39			96.7	1.1	0.9
3.59	40.745	40.403	4.5	34.8	192.8	14	18	3.85	0.31			89.6	2.9	6.7
3.6	40.802	40.531	4.8	34.7	321.7	20	30	3.72	0.32	3.67	1.31	87.8	3.7	7.4
3.61	40.859	40.654	4.5	34.7	777.1	44	67	3.8	0.16	3.7	1.38	89.6	2.8	6.5
3.62	40.916	40.772	4.6	35	989.9	57	117	3.94	0.17			90.7	3.7	4.7
3.62	40.97	40.772								3.74	1.42			
3.63	41.024	40.884	4.4	35.1	887.6	50	78	4.04	0.22			89.5	2.2	7.3
3.64	41.132	40.988	4.1	34.8	914.2	20	103	3.97	0.09	3.7	1.4	89.8	2.1	7.2
3.65	41.274	41.087	4.1	34.9	1762.6	110	174	4	0.19	3.71	1.33	92	2.3	4
3.66	41.314	41.185	4.7	35.1	646.4	37	64	3.95	0.22	3.8	1.32	94	0.3	3.7
3.67	41.355	41.28	3.9	35.1	493.3	27	51	4.14	0.39			97.5	0.5	0.7
3.68	41.375	41.375								3.68	1.3			
3.68	41.395	41.375	4.1	35	263.5	22	21	4.03	0.28			97.6	0	1.5
3.69	41.435	41.47	3.6	34.9	295.8	29	25	4.14	0.42			98.4	0	0.7
3.7	41.475	41.571	3.7	34.8	342.6	43	23	4.06	0.35			96.2	0.5	2.8
3.71	41.516	41.674	3.1	34.7	404.5	46	43	4.12	0.38			98.3	0.3	0.8
3.72	41.556	41.776	3.8	34.8	391	72	30	4	0.36			97.9	0.2	1.1
3.72	41.576	41.776								3.75	1.52			
3.73	41.596	41.878	2.7	34.3	385.9	77	33	4.01	0.35			98.8	0.6	0.3
3.74	41.752	41.983	3.9	34.7	403.7	76	29	3.91	0.39			93.6	1.8	3.7
3.75	41.908	42.098	4.9	35.1	384.7	71	28	3.86	0.34			89.5	4.4	5.2
3.76	42.115	42.231	5.9	35.1	497.7	122	36	3.63	0.41	3.76	1.56	83.2	6.5	8.4
3.77	42.208	42.384	4.4	34.5	733	168	62	3.67	0.4			80.4	11	7.8
3.78	42.254	42.557								3.59	1.49			
3.78	42.3	42.557	6.2	35.4	916.4	193	63	3.7	0.24			71.1	14.6	12.7
3.79	42.393	42.757	6.5	35.5	1338.9	329	103	3.65	0.29			78.4	9.3	11.1
3.8	42.521	42.937	6.3	35.2	1453.9	356	101	3.54	0.28	3.66	1.51	74.5	11.3	12.8
3.81	42.648	43.087	3.9	34.5	2508.2	602	201	3.82	0.28			81.7	8.7	7.7
3.82	42.851	43.23	4.6	34.8	2179.4	524	195	3.8	0.3			85.1	5.6	7.8
3.82	42.953	43.23								3.88	1.57			
3.83	43.054	43.365	4.4	34.6	1462.6	270	137	3.72	0.25			87	7.5	4.4
3.84	43.257	43.496	5.9	35.7	1231.9	126	94	3.93	0.33			85.4	4.9	7
3.85	43.39	43.629	4.4	35.1	1318.8	155	148	4	0.42			92.3	1.3	4.5
3.86	43.523	43.756	4.1	35	1100	176	102	4.05	0.42	3.97	1.28	90.7	3.2	5.1
3.87	43.656	43.877	3.9	34.7	1222.2	241	95	3.92	0.37			92.8	1.6	4.4
3.88	43.723	44.003								3.32	1.05			
3.88	43.789	44.003	4.1	34.8	1323.1	311	123	3.91	0.36			89.8	3.2	5.8
3.89	43.922	44.134	4.1	34.8	1583	377	130	3.94	0.39	4.14	1.53	92.2	1.1	5.5
3.9	44.055	44.284	3.5	34.3	970.5	257	94	3.8	0.46			95	0.9	3.1
3.91	44.21	44.46	5.7	35.1	710.4	160	57	3.62	0.3			87.7	3	7
3.92	44.344	44.668	6.9	36	663.8	195	39	3.83	0.41			80.4	6.1	11.6
3.93	44.479	44.9	7.2	36.2	726.5	196	29	3.86	0.33	3.28	1.27	71.6	8.9	15
3.94	44.613	45.152	7	36.1	908.5	295	56	3.85	0.33			77.4	7.4	12.4
3.95	44.748	45.414	7.8	35.9	416.8	98	33	3.52	0.25	3.59	1.46	59.6	19	15.6
3.96	44.882	45.661	7.8	35.9	439.1	90	37	3.46	0.29			50.1	20.3	23.2
3.97	45.017	45.905	7.9	36.1	548	127	41	3.59	0.23			53.9	17	24.5
3.98	45.084	46.13								3.38	1.24			
3.98	45.151	46.13	7.8	36.3	830.4	109	60	3.7	0.27			65.2	12.9	16.5
3.99	45.256	46.337	6.2	35.6	923.8	84	87	3.72	0.19	3.56	1.37	69.3	13.6	13.5
4	45.36	46.526	5.6	35.3	1505.9	185	110	3.69	0.34	3.46	1.37	79.8	8.7	10.1
4.01	45.402	46.692	5.8	35.6	1450.6	252	97	3.81	0.25	3.54	1.3	81.4	7.8	8.9
4.02	45.462	46.839	4.7	34.9	2202.3	114	235	3.68	0.17			89.3	3.4	4.8
4.02	45.486	46.839								3.56	1.46			
4.03	45.51	46.967	3.6	34.1	741.3	40	51	3.55	0.06			94.3	2.4	1.2
4.04	45.559	47.08	4.5	35.1	1342.2	33	103	3.84	0.19			95.9	0.8	2.1
4.05	45.607	47.181	4.4	35.2	1267	91	74	3.93	0.23	3.67	1.32	96.7	0.3	0.5
4.06	45.655	47.28	3.6	34.9	975.5	45	85	4.01	0.18			98.4	0.3	1.1
4.07	45.688	47.381	4.4	35.4	758.2	59	74	4.1	0.26			96.7	0.2	1.2
4.08	45.705	47.477								4.01	1.46			
4.08	45.721	47.477	4.3	35.2	727	54	67	4.01	0.38			95.9	0	0.9
4.09	45.738	47.574	3.8	35.1	392.1	31	31	4.07	0.37			97.7	0.2	0.8
4.1	45.754	47.667	3.5	35	318	27	25	4.15	0.35	4.08	1.33	98.5	0.6	0.6
4.11	45.771	47.756	4.1	35.2	317.6	36	28	4.09	0.39	3.48	1.05	96.4	0.4	1.3
4.12	45.787	47.849	4.1	34.9	328.2	52	19	3.97	0.34			96.3	1.1	1.3
4.13	45.828	47.946	3.8	35	284.7	44	29	4.06	0.36			98.3	0.3	0
4.14	45.869	48.039	3.1	34.6	240.8	28	16	4.08	0.38			98.7	0	0.7
4.15	45.91	48.131	3.5	34.9	301.8	47	26	4.1	0.36	4.01	1.18	97.7	0.2	1.5
4.16	45.952	48.229	4.4	34.9	258	43	15	3.87	0.45			94.9	0.9	2.8
4.17	45.993	48.328	4.2	34.9	204.7	26	11	3.9	0.37			95	1.8	2.6
4.18	46.034	48.422	4.4	34.9	198.8	24	12	3.85	0.34			94.1	2.1	2.9
4.19	46.075	48.517	3.8	34.9	347.4	26	10	4.01	0.4			95.2	2.3	1.7
4.2	46.116	48.612	3.4	34.7	425.4	52	25	4.05	0.39			97	1.5	0.4
4.21	46.157	48.707	4	34.7	307.8	29	18	3.85	0.34			97.1	0.5	0.8
4.22	46.198	48.799	3.5	34.4	276.2	30	13	3.84	0.33			97.7	0.7	1.3
4.22	46.219	48.799								3.72	1.64			
4.23	46.24	48.892	4.1	34.8	510.2	44	34	3.89	0.33			93	4.8	1
4.24	46.281	48.98	3.8	35	587.6	69	43	4.1	0.26			87.7	8.6	1.8
4.25	46.322	49.065	4.1	34.9	618.9	58	44	3.97	0.15	3.72	1.66	91.3	5.9	1.4
4.26	46.363	49.15	4.1	35.1	843.2	77	38	4.05	0.09			92.8	5.2	1.3
4.27	46.529	49.238	3.6	34.9	501.9	32	29	4.1	0.24			93.9	2	2.2
4.28	46.695	49.326	3.5	34.8	277.4	29	15	4.05	0.28			96.1	2	0.6
4.29	46.86	49.41	4.2	35	94.4	12	6	4.01	0.35			97.9	0.7	0.2
4.3	47.026	49.494	3	34.3	79.8	4	6	3.95	0.29			99.3	0	0
4.31	47.066	49.578	3.1	34.6	67.9	6	4	4.07	0.35			98.8	0	0
4.32	47.106	49.663	3	34.4	88.7	12	4	4	0.46			99	0	0.3
4.33	47.146	49.747	4.5	35.2	76.6	9	4	4.05	0.45			97.8	0	0.4
4.34	47.245	49.835	1.8	33.8	58.6	7	2	3.97	0.35			99.5	0	0.2
4.35	47.282	49.918	2	33.9	187.9	40	9	4.01	0.41			99.7	0	0
4.36	47.318	50.001	2	34.1	268.2	62	11	4.07	0.41			99.8	0	0
4.37	47.355	50.073	3.1	34.5	256.2	77	9	3.99	0.44			99.3	0	0.2
4.38	47.391	50.155	3.1	34.6	304.9	57	24	4.1	0.44			99	0	0
4.39	47.443	50.231	4.2	35	266.9	90	8	4.02	0.46			98.5	0	0
4.4	47.494	50.313	3.3	34.6	299.7	180	10	4.01	0.43			98.7	0	0
4.41	47.546	50.391	4.1	34.8	186	57	11	3.94	0.38			98.3	0	0
4.42	47.597	50.467	4.2	34.9	170.1	32	9	3.95	0.26			98.3	0	0.2
4.43	47.649	50.549	3.7	34.6	203.5	60	14	3.92	0.27			98.4	0	0.2
4.44	47.736	50.629	3.1	34.4	247.1	92	14	3.97	0.33			99	0	0
4.45	47.823	50.708	3.6	34.7	266.8	105	9	4.02	0.26			98.4	0	0.7
4.46	47.91	50.787	3.6	34.6	196.8	89	4	3.92	0.27			98.9	0	0
4.47	47.997	50.863	2.9	34.3	227.4	26	13	3.94	0.28	3.84	0.82	99.2	0	0
4.48	48.084	50.937	3.4	34.6	264.1	23	15	4.02	0.3			98.4	0.2	0
4.49	48.171	51.009	3.4	34.6	176.4	42	8	3.97	0.31			98.3	0.2	0.2
4.5	48.258	51.083	3.1	34.5	169.6	34	6	4.03	0.25			99	0	0
4.51	48.345	51.156	3.8	34.8	252.9	50	15	4.02	0.23			97.5	0.6	0.8
4.52	48.433	51.231	3.8	34.7	344.7	72	22	3.95	0.23			97.1	0	0.6
4.53	48.52	51.301	3.3	34.5	291.1	85	10	3.94	0.23			98.1	0	0.9
4.54	48.607	51.373	4.1	34.8	286.4	108	10	3.93	0.26			97.7	0.3	0.6
4.55	48.694	51.448	3.3	34.3	242.3	105	9	3.88	0.18			98.8	0.2	0.5
4.56	48.781	51.521	3.8	34.6	388.3	206	10	3.88	0.16			97.4	0.7	0.5
4.57	48.868	51.593	3.9	34.6	407.2	245	12	3.88	0.23			96.5	1.1	1
4.58	48.955	51.666	3.8	34.4	444	288	7	3.75	0.16			94	1.5	2.5
4.58	48.998	51.666								3.68	1.5			
4.59	49.042	51.738	3.8	34.4	612.5	440	9	3.76	0.06			94.9	1.9	1.8
4.6	49.129	51.82	4.2	34	762.1	625	2	3.46	-0.02	3.61	1.46	92.4	3.1	2.8
4.61	49.193	51.894	4.7	34.4	492.6	357	4	3.55	0.09			88.6	4.9	4.5
4.62	49.256	51.97	4.4	34	151.2	38	2	3.41	0.03			85.7	6.7	5.6
4.62	49.288	51.97								3.6	1.65			
4.63	49.32	52.047	4.6	33.8	139.2	29	2	3.24	-0.02			86.4	6	5.7
4.64	49.496	52.123	3.9	33.3	206.5	54	1	3.16	-0.06			82.4	9.5	5.3
4.65	49.672	52.199	4.6	33.8	226.6	60	4	3.22	0.02			82.5	7.2	8
4.66	49.848	52.278	7.2	34.9	191.2	28	1	3.16	-0.08			74.8	8.8	13.7
4.67	50.023	52.357	7.8	35.2	245.3	25	2	3.16	-0.04			68	10.6	17.9
4.68	50.111	52.436								3.45	1.41			
4.68	50.199	52.436	7.6	35.1	167.6	14	1	3.18	-0.05			64.9	13.1	17.3
4.69	50.375	52.516	7.8	35.1	201.3	24	0	3.13	-0.05			59	11.8	24.4
4.7	50.551	52.594	8	35.3	268.6	36	2	3.16	-0.1	3.33	1.39	48.3	17	27.3
4.71	50.632	52.674	7.9	35.2	473.3	86	4	3.17	-0.1			55.4	16.4	21.7
4.72	50.714	52.755	7.9	35.6	427.9	107	4	3.34	-0.13			60.6	15.2	19.7
4.72	50.755	52.755								3.41	1.5			
4.73	50.795	52.841	7.8	36	433.6	134	11	3.64	-0.07			62.4	12	21.4
4.74	50.877	52.924	7.9	35.9	506	160	4	3.53	-0.06			59.6	15	20.5
4.75	50.958	53.003	7.8	35.4	351.9	28	14	3.26	-0.07	3.46	1.4	57.8	12.5	23.9
4.76	51.08	53.081	8	36	414.1	41	4	3.55	-0.03			53.8	13.4	29
4.77	51.202	53.156	7.9	35.7	628.8	76	11	3.4	-0.07			62.6	9	22.6
4.78	51.263	53.238								3.3	1.14			
4.78	51.324	53.238	7.8	35.9	665.2	64	10	3.55	-0.13			61.1	7.8	27.1
4.79	51.445	53.322	7.9	36.2	806.8	73	17	3.68	-0.04			65.9	9.3	21.5
4.8	51.567	53.404	7.8	36	762.6	60	5	3.59	-0.07			62.1	8.8	25.4
4.81	51.689	53.484	7.9	36	1106.4	104	18	3.54	-0.08			66.5	6.6	23.8
4.82	51.757	53.568	7.7	35.8	1606.8	149	30	3.45	-0.12			72.6	6.3	18.1
4.83	51.826	53.647	6.8	35.5	2537.9	258	103	3.53	-0.02			83.2	4.5	10.2
4.84	51.894	53.734	6.3	35.3	2109.2	210	80	3.53	-0.01			83.5	4.4	8.2
4.85	51.963	53.817	6.3	35.4	1956.8	187	48	3.61	0.04	3.19	1.21	84.3	4.1	8.1
4.86	52.031	53.896	7.1	35.6	2775	250	45	3.5	0.02			80.8	5.1	9.8
4.87	52.099	53.978	7	35.9	3856.1	185	71	3.65	0.06	3.52	1.27	81.7	3.9	10.5
4.88	52.133	54.06								3.36	1.37			
4.88	52.168	54.06	5.9	35.4	5046.2	310	112	3.64	-0.1			85.4	4.8	8
4.89	52.236	54.137	4.1	34.8	5616.2	210	105	3.8	-0.02			91.8	1.8	4.5
4.9	52.438	54.216	4.4	35.2	6008.7	408	66	3.89	-0.01	3.38	1.36	89.1	2.5	6.1
4.91	52.639	54.291	6.2	36	5471.6	561	43	3.85	-0.04			83.8	4.1	8.5
