# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871934. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth cr mean [rmcd],Age [ka BP],δ18O bulk carb [‰ PDB]
22.52,353.3,-1.75
22.56,354,-1.59
22.6,354.7,-1.42
22.64,355.4,-0.58
22.68,356.09,-1.78
22.72,356.79,-2.21
22.76,357.49,-3.22
22.8,358.18,-0.66
22.84,358.88,0.83
22.88,359.58,1.08
22.92,360.28,1.93
22.96,360.97,2.24
23,361.67,2.28
23.04,362.37,2.33
23.08,363.07,2.42
23.12,363.76,2.14
23.16,364.46,2.07
23.2,365.16,2.46
23.24,365.85,2.3
23.28,366.55,2.48
23.32,367.25,2.63
23.36,367.95,2.39
23.4,368.64,2.55
23.44,369.34,2.41
23.48,370.04,2.49
23.52,370.73,2.38
23.56,371.43,2.21
23.6,372.13,2.33
23.64,372.83,2.12
23.68,373.52,2.26
23.72,374.22,2.05
23.76,374.92,2.58
23.8,375.62,2.64
23.84,376.31,2.68
23.88,377.01,2.61
23.92,377.71,2.47
23.96,378.4,2.37
24,379.1,2.41
24.04,379.8,2.41
24.08,380.5,2.48
24.12,381.19,2.33
24.16,381.89,2.24
24.2,382.59,2.17
24.24,383.28,2.16
24.28,383.98,2.02
24.32,384.68,2.05
24.36,385.38,2.22
24.4,386.07,2.23
24.44,386.77,2.14
24.48,387.47,2.14
24.52,388.17,2.06
24.56,388.86,1.98
24.6,389.56,1.83
24.64,390.26,1.73
24.68,390.95,1.87
24.72,391.65,2.28
24.76,392.29,2.31
24.8,392.87,2.49
24.84,393.46,2.42
24.88,394.04,2.42
24.92,394.62,2.26
24.96,395.2,2.13
25,395.78,2.14
25.04,396.37,2.09
25.08,396.95,1.95
25.12,397.53,1.92
25.16,398.11,1.8
25.2,398.69,1.77
25.24,399.28,1.52
25.28,399.86,1.66
25.32,400.44,1.57
25.36,401.02,1.79
25.4,401.6,1.82
25.44,402.19,1.91
25.48,402.77,1.91
25.52,403.35,1.78
25.56,403.93,1.86
25.6,404.51,1.84
25.64,405.1,1.77
25.68,405.68,1.88
25.72,406.26,1.9
25.76,406.84,1.88
25.8,407.43,1.91
25.84,408.01,1.97
25.88,408.59,1.99
25.92,409.17,1.89
25.96,409.75,1.95
26,410.34,2.01
26.04,410.92,1.88
26.08,411.5,1.93
26.12,412.08,2
26.16,412.66,1.99
26.2,413.25,2.06
26.24,413.83,2.04
26.28,414.41,2.06
26.32,414.99,2.1
26.36,415.57,2.11
26.4,416.16,2.21
26.44,416.74,2.21
26.48,417.32,2.26
26.52,417.9,2.24
26.56,418.49,2.27
26.6,419.07,2.2
26.64,419.65,2.32
26.76,421.4,2.37
26.8,421.98,2.51
26.84,422.56,2.27
26.88,423.14,2.69
26.92,423.72,2.72
26.96,424.31,2.79
27,424.89,2.75
27.04,425.47,2.47
27.08,426.05,0.44
27.12,426.63,-3.95
27.16,427.22,-4.69
27.21,427.94,-5.41
27.24,428.38,-2.14
27.32,429.54,-1.12
27.37,430.27,-1.31
27.4,430.71,0.03
27.44,431.53,1.5
27.48,432.59,1.34
27.52,433.65,1.89
27.56,434.71,-0.99
27.6,435.77,-0.46
27.64,436.83,0.71
27.68,437.89,1.7
27.72,438.95,2.15
27.76,440.01,2.41
27.8,441.07,2.5
27.84,442.13,2.33
27.88,443.19,2.35
27.92,444.25,1.96
27.96,445.31,1.65
28,446.37,1.11
28.04,447.43,-0.29
28.08,448.49,0.37
28.12,449.55,1.83
28.16,450.61,2.02
28.2,451.67,1.52
28.24,452.73,-2.22
28.28,453.8,-2.14
28.36,455.92,-1.3
28.4,456.98,2.17
28.44,458.04,1.64
28.48,459.1,2.76
28.52,460.16,2.86
28.56,461.22,2.79
28.6,462.28,2.81
28.64,463.34,2.27
28.68,464.4,-0.68
28.72,465.46,-2.41
28.76,466.52,-0.4
28.8,467.58,2.62
28.84,468.64,3.25
28.88,469.7,3.16
28.92,470.76,2.95
28.96,471.82,2.78
29,472.88,-0.44
29.04,473.94,0.69
29.08,475,0.96
29.12,475.42,2.09
29.16,475.84,2.96
29.2,476.26,3.15
29.24,476.68,3.08
29.28,477.1,2.79
29.32,477.52,2.04
29.36,477.94,2.86
29.4,478.36,2.92
29.44,478.78,2.93
29.48,479.2,2.73
29.52,479.62,2.75
29.56,480.04,2.74
29.6,480.46,2.03
29.64,480.88,0.46
29.68,481.3,2.43
29.76,482.14,2.83
29.8,482.56,2.66
29.84,482.98,2.6
29.88,483.4,2.63
29.92,483.82,2.51
29.96,484.24,2.52
30,484.66,2.54
30.04,485.08,2.44
30.08,485.5,2.52
30.12,485.92,2.53
30.16,486.34,2.7
30.2,486.76,2.62
30.24,487.18,2.52
30.28,487.6,2.58
30.32,488.02,2.42
30.36,488.44,2.27
30.4,488.86,2.31
30.44,489.28,2.34
30.48,489.7,2.25
30.52,490.12,2.29
30.56,490.54,2.25
30.6,490.96,2.27
30.64,491.38,2.2
30.68,491.8,2.12
30.72,492.22,2.16
30.76,492.64,2.15
30.8,493.06,2.54
30.84,493.48,2.54
30.88,493.9,2.61
30.92,494.31,2.56
30.96,494.73,2.61
31,495.15,2.54
31.04,495.57,2.59
31.08,495.99,2.5
31.12,496.41,2.47
31.16,496.83,2.54
31.2,497.25,2.41
31.24,497.67,2.55
31.28,498.09,2.6
31.32,498.51,2.55
31.36,498.93,2.45
31.4,499.35,2.44
31.44,499.77,2.44
31.48,500.19,2.48
31.52,500.61,2.37
31.56,501.03,2.41
31.6,501.45,2.36
31.64,501.87,2.21
31.68,502.29,2.19
31.72,502.71,2.23
31.76,503.13,2.19
31.8,503.55,2.26
31.84,503.97,2.14
31.88,504.39,2.06
31.92,504.81,2.01
31.96,505.23,2.16
32,505.65,2.11
32.04,506.07,2.14
32.08,506.49,2.06
32.12,506.91,2
32.16,507.33,1.91
32.2,507.75,1.87
32.24,508.17,1.99
32.28,508.59,2
32.32,509.01,2.25
32.36,509.43,2.44
32.4,509.85,2.5
32.44,510.27,2.64
32.48,510.69,2.9
32.52,511.11,2.81
32.56,511.53,2.88
32.6,511.95,2.63
32.64,512.37,2.87
32.68,512.79,2.82
32.72,513.19,2.85
32.76,513.56,2.76
32.8,513.94,2.88
32.84,514.31,2.77
32.88,514.69,2.76
32.92,515.06,2.76
32.96,515.44,2.81
33,515.81,2.85
33.04,516.19,2.71
33.08,516.56,2.74
33.12,516.94,2.79
33.16,517.31,2.6
33.2,517.69,2.6
33.24,518.06,2.64
33.28,518.44,2.59
33.32,518.81,2.61
33.36,519.19,2.6
33.4,519.56,2.62
33.44,519.94,2.71
33.48,520.31,2.61
33.52,520.69,2.5
33.56,521.06,2.5
33.6,521.44,2.5
33.64,521.81,2.43
33.68,522.19,2.42
33.72,522.56,2.49
33.76,522.94,2.39
33.8,523.31,2.43
33.84,523.69,2.45
33.88,524.06,2.39
33.92,524.44,2.46
33.96,524.81,2.39
34,525.19,2.35
34.04,525.56,2.44
34.08,525.94,2.36
34.12,526.31,2.42
34.16,526.69,2.45
34.2,527.06,2.52
34.24,527.44,2.54
34.28,527.81,2.52
34.32,528.19,2.49
34.36,528.56,2.58
34.4,528.94,2.59
34.44,529.31,2.63
34.48,529.69,2.65
34.52,530.06,2.62
34.56,530.44,2.58
34.6,530.81,2.58
34.64,531.19,2.51
34.68,531.56,2.56
34.7,531.75,2.53
34.74,532.13,2.46
34.78,532.5,2.33
34.82,532.88,2.31
34.86,533.25,1.93
34.9,533.63,1.79
34.94,534,2.35
34.98,534.7,2.72
35.02,535.39,2.92
35.06,536.09,2.97
35.1,536.79,2.72
35.14,537.48,3.09
35.18,538.18,2.97
35.22,538.88,3.11
35.26,539.58,3.05
35.3,540.27,2.44
35.34,540.97,2.83
35.38,541.67,2.83
35.42,542.36,2.74
35.46,543.06,2.58
35.5,543.76,2.61
35.54,544.45,2.46
35.58,545.15,1.86
35.62,545.85,2.51
35.66,546.55,2.89
35.7,547.24,2.78
35.74,547.94,2.82
35.78,548.64,2.72
35.82,549.33,2.77
35.86,550.03,2.88
35.9,550.73,2.68
35.94,551.42,2.78
35.98,552.12,2.88
36.02,552.82,3.09
36.06,553.52,2.99
36.1,554.21,2.88
36.14,554.91,2.42
36.18,555.61,1.96
36.22,556.3,2.2
36.26,557,1.98
36.3,557.7,1.71
36.34,558.39,1.84
36.38,559.09,1.91
36.42,559.79,2.24
36.46,560.48,1.56
36.5,561.18,1.36
36.54,561.88,1.06
36.58,562.58,1.16
36.62,563.27,0.45
36.66,563.97,1.02
36.7,564.67,2.21
36.74,565.36,2.26
36.78,566.06,2.39
36.82,566.76,2.32
36.86,567.45,2.47
36.94,568.85,2.09
36.98,569.55,2.12
37.02,570.24,1.92
37.06,570.94,1.81
37.1,571.64,1.57
37.14,572.33,1.51
37.18,573.03,1.38
37.22,573.73,1.4
37.26,574.42,1.52
37.3,575.12,1.6
37.34,575.82,1.59
37.38,576.52,1.64
37.42,577.21,1.64
37.46,577.91,1.6
37.5,578.61,1.63
37.54,579.3,1.66
37.58,580,1.57
37.62,580.63,1.3
37.66,581.25,1.28
37.7,581.88,0.77
37.74,582.51,1.64
37.78,583.14,1.75
37.82,583.76,1.65
37.86,584.39,1.84
37.9,585.02,2.2
37.94,585.65,2.26
37.98,586.27,2.37
38.02,586.9,2.34
38.06,587.53,2.32
38.1,588.16,2.22
38.14,588.78,2.24
38.18,589.41,2.2
38.22,590.04,2.2
38.26,590.67,2.19
38.3,591.29,1.55
38.34,591.92,1.48
38.38,592.55,1.71
38.42,593.18,1.78
38.46,593.8,1.89
38.5,594.43,1.88
38.54,595.06,1.7
38.58,595.69,1.46
38.62,596.4,1.27
38.66,597.2,1.43
38.7,598,1.08
38.74,598.8,0.89
38.78,599.6,1.51
38.82,600.4,1.53
38.86,601.2,1.54
38.9,602,1.56
38.94,602.8,1.49
38.98,603.6,1.54
39.02,604.4,1.61
39.06,605.2,1.48
39.1,606,1.49
39.14,606.8,1.48
39.18,607.6,1.56
39.22,608.4,1.54
39.26,609.2,1.43
39.3,610,1.4
39.34,610.8,1.32
39.38,611.6,1.46
39.42,612.4,1.45
39.46,613.2,1.42
39.5,614,1.45
39.54,614.8,1.37
39.58,615.6,1.37
39.62,616.4,1.26
39.66,617.2,1.12
39.7,618,1.14
39.74,618.8,1.27
39.78,619.6,1.03
39.82,620.4,0.92
39.86,621.2,0.34
39.9,622,-0.05
39.94,622.71,-2.39
39.98,623.42,-2.15
40.02,624.13,-3.62
40.06,624.83,-4.95
40.1,625.54,-5.12
40.14,626.25,-5.25
40.18,626.96,-4.75
40.22,627.67,-5.01
40.26,628.38,-3.09
40.3,629.08,0.84
40.34,629.79,0.84
40.38,630.5,-0.3
40.42,631.21,2.97
40.46,631.92,2.54
40.5,632.63,2.96
40.54,633.33,2.9
40.58,634.04,2.75
40.62,634.75,2.47
40.66,635.46,2.16
40.7,636.17,2.21
40.74,636.88,1.53
40.78,637.58,1.17
40.82,638.29,-0.45
40.9,639.71,-4.44
40.94,640.42,-5.33
40.98,641.13,1.03
41.02,641.83,2.4
41.06,642.54,2.2
41.1,643.25,2.67
41.14,643.96,2.34
41.18,644.67,2.03
41.22,645.38,2.3
41.26,646.08,2.25
41.3,646.79,2.17
41.34,647.5,1.66
41.38,648.21,1.56
41.42,648.92,1.88
41.46,649.63,2.38
41.5,650.33,2.08
41.54,651.04,2.5
41.58,651.75,2.02
41.62,652.46,1.51
41.66,653.17,1.94
41.7,653.88,2
41.74,654.58,2.23
41.78,655.29,2.36
41.82,656,2.64
41.86,656.71,2.79
41.9,657.42,2.75
41.94,658.13,1.59
41.98,658.83,1.29
42.02,659.54,1.68
42.06,660.25,0.92
42.1,660.96,1.4
42.14,661.67,0.93
42.18,662.38,-0.66
42.22,663.08,2.01
42.26,663.79,1.94
42.3,664.5,1.72
42.34,665.21,1.56
42.38,665.92,1.51
42.42,666.63,0.71
42.46,667.33,-0.56
42.5,668.04,0.12
42.54,668.75,1.18
42.58,669.46,2.05
42.62,670.17,1.35
42.66,670.88,1.47
42.7,671.58,1.09
42.74,672.29,-0.08
42.78,673,1.3
42.82,673.71,1.76
42.86,674.42,1.11
42.9,675.13,0.44
42.94,675.83,-1.56
42.98,676.54,1.65
43.02,677.25,1.82
43.06,677.96,2
43.1,678.67,2.21
43.14,679.38,2.22
43.18,680.08,2.11
43.22,680.79,2.08
43.26,681.5,1.7
43.3,682.21,0.99
43.34,682.92,1.7
43.38,683.63,1.81
43.42,684.33,1.86
43.46,685.04,1.39
43.56,686.81,0.51
43.58,687.17,0.79
43.62,687.88,1.69
43.66,688.58,2.09
43.7,689.29,2.2
43.74,690,2.25
43.78,690.41,2.28
43.82,690.82,2.3
43.86,691.23,2.21
43.9,691.64,2.22
43.94,692.05,2.19
43.98,692.45,2.22
44.02,692.86,2.33
44.06,693.27,2.3
44.1,693.68,2.25
44.14,694.09,2.39
44.18,694.5,2.47
44.22,694.91,2.47
44.26,695.32,2.36
44.3,695.73,2.4
44.34,696.14,2.41
44.38,696.55,2.35
44.42,696.95,2.33
44.46,697.36,2.4
44.5,697.77,2.36
44.54,698.18,2.31
44.58,698.59,2.29
44.62,699,2.26
44.66,699.41,2.18
44.7,699.82,2.32
44.74,700.23,2.21
44.78,700.64,2.22
44.82,701.05,2.22
44.86,701.45,2.05
44.9,701.86,2.12
44.94,702.27,2.13
44.98,702.68,2.1
45,702.89,2.18
45.04,703.3,2.15
45.08,703.7,2.22
45.12,704.11,2.04
45.16,704.52,2.05
45.2,704.93,2.15
45.24,705.34,2.11
45.28,705.75,2.02
45.32,706.16,2.01
45.36,706.57,2.07
45.4,706.98,2
45.44,707.39,2
45.48,707.8,2.1
45.52,708.2,1.99
45.56,708.61,1.91
45.6,709.02,1.69
45.64,709.43,1.61
45.68,709.84,1.48
45.72,710.25,1.64
45.76,710.66,1.53
45.8,711.07,1.68
45.84,711.48,1.97
45.88,711.89,2.03
45.92,712.3,2.07
45.96,712.7,2.15
46,713.11,1.51
46.04,713.52,1.46
46.08,713.93,-0.81
46.12,714.34,-0.36
46.16,714.75,-1.67
46.2,715.16,-1.41
46.24,715.57,-0.74
46.28,715.98,-1.22
46.32,716.39,-0.77
46.36,716.8,-1.21
46.4,717.2,-1.53
46.44,717.61,-0.72
46.48,718.02,-2.22
46.52,718.43,-1.99
46.56,718.84,-1.85
46.68,720.07,1.51
46.76,720.89,2.1
46.8,721.3,2.28
46.84,721.7,2.17
46.88,722.11,2.45
46.92,722.52,2.43
46.96,722.93,2.34
47,723.34,2.34
47.04,723.75,2.22
47.08,724.16,2.37
47.12,724.57,2.3
47.16,724.98,2.27
47.2,725.39,2.17
47.24,725.8,2.08
47.28,726.27,1.98
47.32,726.81,2.04
47.36,727.35,2.04
47.4,727.89,1.98
47.44,728.43,1.89
47.48,728.97,1.91
47.52,729.51,1.86
47.56,730.05,1.83
47.6,730.59,1.82
47.64,731.14,1.77
47.68,731.68,1.78
47.72,732.22,1.67
47.76,732.76,1.55
47.8,733.3,1.69
47.84,733.84,1.88
47.88,734.38,2
47.92,734.92,1.83
47.96,735.46,2.05
48,736,1.96
48.04,736.54,1.87
48.08,737.08,1.87
48.12,737.62,1.85
48.16,738.16,1.78
48.2,738.7,1.8
48.24,739.24,1.76
48.28,739.78,1.72
48.32,740.32,1.69
48.36,740.86,1.61
48.4,741.41,1.62
48.44,741.95,1.45
48.48,742.49,1.41
48.52,743.03,1.34
48.56,743.57,1.24
48.6,744.11,1.02
48.64,744.65,0.52
48.76,746.35,2.2
48.88,748.43,1.8
48.92,749.12,1.67
48.96,749.82,1.39
49,750.51,1.11
49.04,751.21,1.13
49.08,751.9,-0.16
49.12,752.6,-1.78
49.16,753.29,-0.84
49.2,753.98,0.26
49.24,754.68,1.63
49.28,755.37,1.82
49.32,756.07,1.74
49.36,756.76,1.42
49.4,757.45,1.58
49.44,758.15,1.52
49.48,758.84,1.35
49.52,759.54,0.95
49.56,760.23,0.04
49.64,761.62,0.62
49.68,762.31,1.3
49.72,763.01,1.22
49.76,763.7,1.19
49.8,764.4,1.01
49.84,765.09,0.88
49.88,765.79,-0.22
49.92,766.48,1.14
49.96,767.17,1.59
50,767.87,1.86
50.04,768.56,1.86
50.08,769.26,1.85
50.12,769.95,1.7
50.16,770.64,1.93
50.2,771.34,2.04
50.24,772.03,1.98
50.28,772.73,2
50.32,773.42,2.03
50.36,774.12,1.98
50.4,774.81,1.94
50.44,775.5,1.96
50.48,776.2,1.88
50.52,776.89,1.72
50.56,777.59,1.65
50.6,778.28,1.87
50.64,778.98,1.7
50.68,779.67,1.84
50.72,780.36,1.98
50.76,781.06,1.89
50.8,781.75,1.85
50.84,782.45,1.82
50.88,783.14,1.67
50.94,784.18,1.84
50.98,784.88,1.88
51.02,785.57,1.91
51.06,786.26,1.91
51.1,786.96,1.9
51.14,787.65,1.98
51.18,788.36,2.21
51.26,789.81,1.1
51.42,792.69,-2.62
51.46,793.42,-2.06
51.5,794.14,-2.12
51.54,794.86,-1.8
51.58,795.58,0.16
51.62,796.31,1.72
51.66,797.03,2.52
51.7,797.75,2.6
51.74,798.47,2.93
51.78,799.19,3
51.82,799.92,3.23
51.86,800.64,3.03
51.9,801.36,2.95
51.94,802.08,3.07
51.98,802.81,2.97
52.02,803.53,2.83
52.06,804.25,2.92
52.1,804.97,3
52.14,805.69,2.74
52.18,806.42,2.9
52.22,807.14,2.72
52.26,807.86,2.82
52.3,808.58,2.77
52.34,809.31,2.67
52.38,810.03,2.67
52.42,810.75,2.38
52.46,811.47,2.37
52.5,812.19,2.04
52.54,812.92,2.48
52.58,813.64,2.62
52.62,814.27,2.66
52.66,814.81,2.58
52.7,815.36,2.89
52.74,815.9,2.74
52.78,816.44,2.62
52.82,816.99,2.53
52.86,817.53,2.46
52.9,818.07,2.39
52.94,818.62,2.5
52.98,819.16,2.16
53.02,819.7,2.04
53.06,820.25,2.14
53.1,820.79,1.92
53.14,821.33,2.47
53.18,821.87,1.58
53.22,822.42,2.21
53.26,822.96,2.18
53.3,823.5,2.13
53.34,824.05,2.2
53.38,824.59,2.08
53.42,825.13,2.06
53.46,825.68,1.91
53.5,826.22,1.87
53.54,826.76,1.9
53.58,827.31,2.65
53.62,827.85,1.79
53.66,828.39,1.82
53.7,828.93,1.75
53.74,829.48,1.78
53.78,830.02,1.75
53.82,830.56,2.03
53.86,831.11,1.51
53.94,832.19,-0.51
53.98,832.74,-1.93
54.02,833.28,0.89
54.06,833.82,1.77
54.1,834.37,1.77
54.14,834.91,1.77
54.18,835.45,1.81
54.22,835.99,1.72
54.26,836.54,1.52
54.31,837.22,1.76
54.35,837.76,1.65
54.39,838.3,1.66
54.43,838.85,1.73
54.45,839.12,1.57
54.47,839.39,1.79
54.51,839.93,1.79
54.55,840.48,1.95
54.59,841.02,2.33
54.63,841.56,1.95
54.67,842.1,2.47
54.71,842.65,2.39
54.75,843.19,2.49
54.79,843.73,2
54.83,844.28,2.01
54.87,844.82,1.86
54.91,845.36,1.93
54.95,845.91,0.88
54.99,846.45,1.06
55.03,846.99,1.33
55.07,847.54,1.76
55.11,848.08,1.97
55.15,848.62,1.84
55.19,849.16,1.93
55.23,849.71,1.92
55.31,850.79,1.59
55.35,851.34,1.93
55.39,851.88,1.72
55.43,852.42,1.63
55.47,852.97,1.91
55.51,853.51,1.92
55.55,854.05,1.75
55.59,854.6,1.52
55.63,855.14,1.58
55.67,855.68,1.74
55.71,856.22,1.77
55.75,856.77,1.99
55.83,857.85,1.54
55.87,858.4,1.64
55.91,858.94,1.67
55.99,860.03,1.71
56.03,860.57,1.68
56.07,861.11,1.22
56.11,861.66,1.51
56.15,862.2,1.17
56.19,862.74,1.18
56.23,863.28,0.84
56.25,863.56,0.69
56.31,864.37,1.09
56.35,864.91,1.12
56.39,865.46,1.16
56.43,866,0.22
56.47,866.69,-1.07
56.51,867.37,-0.01
56.55,868.06,-1.42
56.59,868.74,-0.39
56.63,869.43,-1.01
56.67,870.11,-0.52
56.71,870.8,1.26
56.75,871.49,1.3
56.79,872.17,0.97
56.83,872.86,0.91
56.87,873.54,2.19
56.91,874.23,0.74
56.95,874.91,1.01
56.99,875.6,1.13
57.03,876.29,0.44
57.07,876.97,1.3
57.11,877.66,1.54
57.15,878.34,1.44
57.19,879.03,1.1
57.23,879.71,-0.67
57.27,880.4,-0.21
57.31,881.09,-1.7
57.35,881.77,-1.71
57.39,882.46,-1.65
57.43,883.14,-2.39
57.47,883.83,-2.55
57.51,884.51,-2.53
57.55,885.2,-2.13
57.59,885.89,-2.03
57.63,886.57,-1.99
57.67,887.26,-1.91
57.71,887.94,-2.09
57.75,888.63,-1.96
57.79,889.31,-1.82
57.83,890,-1.76
57.87,890.69,-1.46
57.91,891.37,-1.52
57.95,892.06,-1.33
57.99,892.74,-1.28
58.03,893.43,-0.48
58.07,894.11,2.12
58.11,894.8,2.23
58.15,895.49,2.2
58.19,896.17,2.13
58.23,896.86,1.94
58.25,897.2,2.03
58.31,898.23,1.82
58.35,898.91,2.04
58.39,899.6,1.93
58.43,900.29,1.74
58.47,900.97,1.64
58.51,901.66,1.64
58.55,902.24,1.75
58.59,902.71,1.68
58.63,903.19,1.62
58.67,903.67,1.58
58.71,904.14,1.58
58.75,904.62,1.75
58.79,905.1,1.67
58.83,905.57,1.52
58.87,906.05,1.71
58.91,906.52,1.76
58.95,907,1.72
58.99,907.48,1.68
59.03,907.95,1.66
59.07,908.43,1.65
59.11,908.9,1.74
59.15,909.38,1.52
59.19,909.86,1.43
59.23,910.33,1.73
59.27,910.81,2
59.31,911.29,1.82
59.35,911.76,1.78
59.39,912.24,1.64
59.43,912.71,1.72
59.47,913.19,1.56
59.51,913.67,1.62
59.55,914.14,1.65
59.59,914.62,1.65
59.63,915.1,1.56
59.67,915.57,1.65
59.71,916.05,1.48
59.75,916.52,1.45
59.79,917,1.69
59.83,917.48,1.36
59.87,917.95,1.68
59.91,918.43,0.88
59.95,918.9,0.29
59.99,919.38,0.18
60.03,919.86,-1.09
60.07,920.33,-0.69
60.11,920.81,-1.05
60.15,921.29,-0.65
60.19,921.76,1.05
60.23,922.2,2.66
60.27,922.6,3.17
60.31,923,2.26
60.35,923.41,2.26
60.39,923.81,1.1
60.43,924.21,3.29
60.47,924.61,3.17
60.51,925.01,2.72
60.55,925.42,1.52
60.59,925.82,1.4
60.67,926.62,2.14
60.71,927.02,2
60.75,927.43,2.05
60.91,929.03,-2
60.95,929.44,0.03
60.99,929.84,0.03
61.03,930.24,0.51
61.07,930.64,-0.33
61.11,931.04,-2.47
61.14,931.34,-2.6
61.19,931.85,-0.13
61.23,932.25,1.07
61.27,932.65,1.3
61.31,933.05,1.22
61.59,935.87,0.83
61.63,936.27,1.27
61.67,936.67,1.11
61.71,937.07,1.04
61.75,937.47,1.1
61.79,937.88,1.13
61.83,938.28,1.22
61.87,938.68,1.16
61.91,939.08,1.21
61.95,939.48,1.43
61.99,939.89,1.53
62.03,940.29,1.67
62.07,940.69,1.88
62.11,941.09,1.5
62.15,941.49,1.58
62.23,942.3,1.22
62.27,942.7,1.19
62.31,943.1,1.39
63.01,950.13,1.53
63.05,950.54,1.54
63.09,950.94,1.43
63.13,951.34,1.55
63.17,951.74,1.48
63.21,952.14,1.5
63.25,952.55,1.68
63.29,952.95,1.41
63.33,953.35,1.46
63.37,953.75,1.36
63.41,954.15,1.35
63.45,954.56,1.28
63.49,954.96,1.21
63.53,955.36,1.24
63.57,955.76,1.23
63.61,956.16,1.04
63.65,956.56,0.81
63.69,956.97,0.71
63.73,957.37,0.52
63.77,957.77,0.13
63.81,958.17,0.12
63.85,958.57,-0.71
63.89,958.98,-0.11
63.93,959.38,-0.62
63.97,959.78,-2.6
64.01,960.18,-1.22
64.05,960.58,-0.57
64.09,960.99,0.72
64.15,961.59,1.54
64.21,962.19,1.65
64.25,962.59,1.69
64.27,962.79,1.64
64.31,963.2,1.64
64.35,963.6,1.64
64.39,964,1.96
64.43,964.42,1.79
64.47,964.84,1.94
64.52,965.36,1.94
64.56,965.78,1.94
64.6,966.19,1.97
64.64,966.61,1.99
64.66,966.82,1.86
64.71,967.34,1.92
64.75,967.76,1.84
64.8,968.28,1.77
64.83,968.6,1.63
64.95,969.85,1.74
64.99,970.27,1.81
65.03,970.69,1.76
65.07,971.1,1.68
65.11,971.52,1.54
65.15,971.94,1.67
65.19,972.36,1.7
65.23,972.78,1.63
65.26,973.09,1.62
65.31,973.61,1.49
65.35,974.03,1.3
65.39,974.45,0.75
65.43,974.87,1.61
65.47,975.28,1.71
65.51,975.7,1.86
65.55,976.12,1.78
65.59,976.54,1.82
65.63,976.96,1.67
65.67,977.37,1.56
65.71,977.79,1.5
65.75,978.46,1.55
65.79,979.38,1.17
65.83,980.31,0.71
65.87,981.23,0.05
65.91,982.15,-1.58
65.95,983.08,0.25
65.99,984,1.43
66.03,984.32,1.5
66.07,984.64,1.74
66.11,984.95,1.58
66.15,985.27,1.82
66.19,985.59,1.69
66.23,985.91,1.17
66.27,986.23,0.63
66.31,986.55,1.22
66.35,986.86,1.85
66.39,987.18,1.92
66.43,987.5,1.81
66.47,987.82,1.88
66.51,988.14,1.93
66.54,988.38,1.93
66.59,988.77,1.98
66.63,989.09,2.08
66.67,989.41,2.03
66.71,989.73,2.03
66.75,990.05,2.04
66.78,990.28,2.06
66.82,990.6,2.01
66.87,991,2.09
66.91,991.32,2.05
66.95,991.64,2.02
66.99,991.95,1.89
67.03,992.27,2.15
67.07,992.59,2.02
67.11,992.91,1.84
67.15,993.23,1.8
67.19,993.55,1.71
67.23,993.86,1.85
67.27,994.18,1.81
67.31,994.5,1.89
67.35,994.82,1.73
67.39,995.14,1.98
67.43,995.45,1.89
67.47,995.77,2.02
67.51,996.09,1.77
67.55,996.41,1.79
67.59,996.73,1.78
67.63,997.05,1.8
67.67,997.36,1.88
67.71,997.68,1.84
67.75,998,1.83
67.79,998.75,1.8
67.83,999.5,1.87
67.87,1000.25,1.83
67.91,1001,1.79
67.95,1001.75,1.77
67.99,1002.5,1.76
68.03,1003.25,1.97
68.07,1004,1.83
68.11,1004.47,2.03
68.15,1004.95,1.97
68.19,1005.42,1.78
68.23,1005.9,1.74
68.27,1006.37,1.81
68.31,1006.85,1.78
68.35,1007.32,1.72
68.39,1007.8,1.52
68.43,1008.27,0.78
68.47,1008.75,1.54
68.51,1009.22,1.65
68.55,1009.69,1.25
68.79,1012.54,1.8
68.83,1013.02,1.91
68.87,1013.49,2
68.91,1013.97,1.91
68.95,1014.44,1.82
68.99,1014.92,1.8
69.03,1015.39,1.71
69.07,1015.86,1.02
69.11,1016.34,-0.36
69.15,1016.81,-1.59
69.19,1017.29,-0.38
69.23,1017.76,1.7
69.27,1018.24,1.88
69.31,1018.71,1.86
69.35,1019.19,1.79
69.39,1019.66,1.77
69.41,1019.9,1.77
69.45,1020.37,1.64
69.49,1020.85,1.71
69.53,1021.32,1.54
69.57,1021.8,1.54
69.61,1022.27,1.57
69.65,1022.75,1.7
69.71,1023.46,1.48
69.75,1023.93,1.43
69.79,1024.41,1.51
69.83,1024.88,1.35
69.87,1025.36,1.25
69.91,1025.83,1.27
69.95,1026.31,1.61
69.99,1026.78,1.77
70.03,1027.25,1.74
70.07,1027.73,1.65
70.11,1028.2,1.64
70.15,1028.68,1.62
70.19,1029.15,1.7
70.23,1029.63,1.45
70.27,1030.1,1.64
70.31,1030.58,1.67
70.35,1031.05,1.6
70.39,1031.53,1.7
70.43,1032,1.66
70.47,1032.63,1.71
70.51,1033.25,1.71
70.55,1033.88,1.76
