# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871934. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth cr mean [rmcd],Age [ka BP],δ18O bulk carb [‰ PDB]
4.91,72.63,1.68
4.93,72.94,1.87
4.95,73.24,1.77
4.97,73.55,1.31
4.99,73.86,1.71
5.01,74.16,2.03
5.03,74.47,2.28
5.05,74.77,2.16
5.07,75.08,1.4
5.09,75.38,2.11
5.11,75.69,1.9
5.13,76,2.05
5.15,76.3,1.98
5.17,76.6,1.96
5.19,76.88,2.05
5.21,77.16,2.21
5.23,77.44,2.36
5.25,77.72,2.57
5.27,78.01,2.71
5.29,78.29,2.92
5.31,78.57,2.56
5.33,78.85,2.33
5.35,79.13,2.19
5.37,79.41,2.54
5.39,79.69,2.75
5.41,79.98,2.68
5.43,80.26,2.4
5.45,80.54,2.35
5.47,80.82,2.56
5.49,81.1,2.54
5.51,81.38,2.33
5.53,81.66,2.33
5.55,81.95,2.7
5.57,82.23,2.73
5.59,82.51,2.46
5.61,82.79,2.46
5.63,83.07,2.54
5.65,83.35,1.88
5.67,83.63,2.52
5.69,83.92,2.16
5.71,84.2,2.31
5.73,84.48,2
5.75,84.76,1.31
5.77,85.04,1.44
5.79,85.32,1.21
5.81,85.61,1.13
5.85,86.17,1.32
5.87,86.45,-0.03
5.89,86.73,0.47
5.91,87.01,0.7
5.93,87.29,1.61
5.95,87.58,1.65
5.97,87.94,1.71
5.99,88.29,2.35
6.01,88.65,2.25
6.03,89,2.26
6.05,89.36,1.7
6.07,89.71,2.43
6.09,90.07,1.9
6.11,90.41,2.4
6.13,90.74,2.38
6.15,91.07,2.07
6.17,91.41,2.28
6.19,91.74,1.73
6.21,92.07,1.8
6.23,92.41,1.96
6.25,92.74,2.23
6.27,93.07,2.35
6.29,93.41,1.59
6.31,93.74,2.15
6.33,94.07,2.25
6.35,94.41,2.06
6.37,94.74,1.92
6.39,95.07,2.2
6.41,95.41,2.3
6.43,95.74,2.26
6.45,96.07,2.22
6.47,96.41,2.39
6.49,96.74,2.27
6.51,97.07,2.36
6.53,97.41,2.29
6.55,97.74,2.3
6.57,98.07,2.32
6.59,98.41,2.35
6.61,98.74,2.17
6.63,99.07,2.26
6.65,99.41,2.41
6.67,99.74,2.28
6.69,100.07,2.53
6.71,100.4,2.45
6.73,100.74,2.36
6.75,101.07,2.5
6.77,101.4,2.28
6.79,101.74,2.41
6.81,102.07,2.37
6.83,102.4,2.45
6.85,102.74,2.14
6.87,103.07,2.1
6.89,103.4,2.3
6.91,103.74,2.22
6.93,104.07,2.23
6.95,104.4,2.21
6.97,104.74,2.04
6.99,105.07,2.06
7.01,105.39,2.01
7.03,105.69,2.14
7.05,105.99,2.06
7.07,106.29,2.1
7.09,106.59,2.02
7.11,106.88,1.94
7.13,107.18,1.74
7.15,107.48,1.66
7.17,107.78,1.79
7.19,108.07,1.69
7.21,108.37,1.65
7.23,108.67,1.5
7.25,108.97,1.51
7.27,109.27,1.53
7.29,109.56,1.54
7.31,109.86,1.44
7.325,110.08,1.8
7.345,110.38,0.97
7.365,110.63,1.74
7.385,110.86,1.77
7.405,111.1,2.09
7.425,111.33,2.22
7.445,111.57,2.05
7.465,111.8,2.02
7.485,112.04,2.01
7.505,112.28,2.03
7.525,112.51,2.1
7.545,112.75,2.18
7.565,112.98,1.98
7.585,113.22,2.27
7.605,113.45,2.01
7.63,113.75,2.35
7.645,113.92,2.22
7.665,114.16,2.34
7.685,114.4,2.36
