/* DESCRIPTION:
Reference:	Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth (cm)	Age (kyrs, SFCP04)	wgt.%>63um
1173.5	56.572	8.2388
1176	56.665	10.33
1178.5	56.759	8.8282
1181	56.853	9.1281
1183.5	56.947	6.9562
1186	57.04	6.1053
1188.5	57.134	7.5416
1191	57.228	3.1551
1193.5	57.321	3.3857
1196	57.415	7.398
1198.5	57.509	8.2883
1201	57.602	10.177
1203.5	57.696	10.514
1206	57.79	9.5756
1208.5	57.883	5.2632
1211	57.977	6.126
1213.5	58.071	2.7888
1216	58.164	3.4161
1218.5	58.258	2.9334
1221	58.352	3.015
1223.5	58.446	2.0801
1226	58.539	2.6576
1228.5	58.633	7.6311
1231	58.727	6.1257
1233.5	58.82	9.8266
1236	58.914	6.428
1238.5	59.347	7.8319
1241	59.779	18.721
1243.5	60.212	14.83
1246	60.645	17.235
1248.5	61.078	13.249
1251	61.51	17.356
1253.5	61.943	14.873
1256	62.296	16.105
1258.5	62.649	13.449
1261	63.001	16.019
1263.5	63.354	12.017
1266	63.707	13.441
1268.5	64.06	13.68
1271	64.412	11.21
1273.5	64.765	11.316
1276	65.118	13.129
1278.5	65.471	13.522
1281	65.823	11.669
1283.5	66.176	14.141
1286	66.529	16.068
1288.5	66.882	10.572
1295	67.799	11.158
1297.5	68.151	2.5018
1300	68.504	2.4238
1302.5	68.857	3.0462
1305	68.998	3.281
1307.5	69.139	3.1767
1310	69.281	2.6446
1312.5	69.422	2.1379
1315	69.563	2.6217
1317.5	69.704	3.8402
1320	69.845	2.9968
1322.5	69.986	2.175
1325	70.128	2.8235
1327.5	70.269	3.4822
1330	70.41	3.3916
1332.5	70.551	2.7431
1335	70.692	1.5391
1337.5	70.833	2.2561
1340	70.975	3.4801
1342.5	71.116	3.4146
1345	71.257	1.469
1347.5	71.398	2.0311
1350	71.539	2.1898
1352.5	71.68	4.4844
1355	71.822	3.9065
1357.5	71.963	3.4622
1360	72.104	4.4807
1362.5	72.245	4.8907
1365	72.386	3.0135
1367.5	72.527	5.4739
1370	72.669	14.691
1372.5	72.81	12.613
1375	72.951	10.341
1377.5	73.03	7.4362
1380	73.108	4.1968
1382.5	73.187	5.0847
1385	73.265	3.6758
1387.5	73.344	3.0485
1390	73.423	3.3411
1392.5	73.501	4.039
1395	73.58	3.3702
1397.5	73.658	4.3538
1400	73.737	4.3701
1402.5	73.815	4.0069
