# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.
# Comment: This file combines "WDC CH4 OSU" (11.306 to 26.363 ka BP) and "WDC CH4 PSU" (26.484 to 67.145 ka BP) datasets from the original data. 

Depth (average) [m],WD2014 Gas age [ka BP],CH4 (replicate ave.) [ppb]
3084.99,41.206,483.48
3085.49,41.231,480.41
3085.99,41.2556,494.91
3086.49,41.28,478.32
3086.98,41.3037,470.92
3087.46,41.3265,458.52
3087.98,41.3506,463.45
3088.48,41.3733,458.74
3088.98,41.3958,473.82
3089.48,41.4188,484.76
3089.98,41.442,482.94
3090.98,41.489,470.26
3091.48,41.513,487.37
3091.98,41.5374,487.54
3092.48,41.5619,491.55
3092.98,41.586,489.49
3093.48,41.6101,483.61
3093.91,41.6309,471.39
3094.41,41.6548,426.56
3094.97,41.6817,409.5
3095.47,41.7055,401.28
3095.97,41.7289,414.55
3096.47,41.752,399.6
3097.01,41.7766,404.18
3097.51,41.7993,397.56
3097.97,41.82,399.44
3098.37,41.8382,417.28
3098.97,41.8654,405.17
3099.47,41.888,412.54
3100.16,41.9196,409.96
3100.47,41.9339,391.17
3100.96,41.9569,402.4
3101.46,41.9805,401.9
3101.96,42.0043,405.3
3102.98,42.0552,412.2
3103.46,42.0798,406.6
3103.96,42.1058,409.43
3104.46,42.1324,406.36
3104.96,42.1593,405.16
3105.46,42.1863,420.4
3105.96,42.2132,406.24
3106.46,42.2405,409.05
3106.95,42.268,403.03
3107.45,42.296,400.89
3107.95,42.3239,400.61
3108.45,42.3516,409.94
3108.95,42.3789,432.42
3109.45,42.4064,416.24
3110.05,42.4393,418.15
3110.45,42.4614,430.28
3110.95,42.489,437.26
3111.45,42.517,427.85
3111.95,42.5451,439.28
3112.4,42.5707,449.46
3112.95,42.6014,447.83
3113.45,42.6297,458.94
3114.45,42.6859,441.76
3114.94,42.7138,442.66
3115.44,42.7422,454.58
3115.94,42.7708,462.19
3116.44,42.799,456.45
3116.94,42.8271,468.24
3117.94,42.8826,465.52
3118.44,42.91,467.91
3118.87,42.9337,468.35
3119.37,42.9615,477.42
3119.94,42.9936,507.6
3120.44,43.0219,495.17
3120.93,43.0499,490.13
3121.43,43.078,485.16
3122.03,43.1115,480.42
3122.53,43.139,475.3
3122.95,43.1616,485.86
3123.54,43.1927,478.22
3123.93,43.2129,475.06
3124.43,43.239,468.86
3124.93,43.265,476.12
3125.43,43.291,482.26
3125.93,43.3164,480.5
3126.93,43.3674,483.98
3127.43,43.3931,487.9
3127.93,43.4186,490.04
3128.43,43.4441,498.11
3128.93,43.4692,509.3
3129.43,43.4943,499.96
3129.93,43.5192,484.66
3130.43,43.5438,446.05
3130.92,43.5682,416.67
3131.42,43.5925,411.4
3131.92,43.6168,411.94
3132.42,43.6415,405.19
3132.92,43.6664,412.42
3133.42,43.6918,405.38
3133.92,43.717,404.31
3134.42,43.7424,406.99
3134.92,43.7678,397.82
3135.42,43.7934,404.03
3135.92,43.8188,403.25
3136.42,43.844,409.9
3136.92,43.869,418.56
3137.51,43.8985,412.08
3137.92,43.9187,409.96
3138.92,43.9681,412.74
3139.42,43.9927,406.88
3139.92,44.0174,400.39
3140.35,44.0389,402.57
3140.91,44.0673,409.32
3141.41,44.0924,412.4
3141.91,44.1181,404.59
3142.93,44.1723,409.01
3143.41,44.1987,406.16
3143.91,44.2265,418.01
3144.41,44.2549,413.56
3145.41,44.3122,401.8
3145.91,44.3408,412.03
3146.41,44.3694,403.75
3146.84,44.3938,411.9
3147.34,44.4221,411.18
3147.91,44.4542,411.91
3148.41,44.482,412.23
3149.65,44.5503,438.12
3149.88,44.563,435.87
3150.91,44.6189,458.25
3151.41,44.6459,476.53
3152.4,44.7001,480.93
3152.85,44.7242,459.99
3153.35,44.7508,443.13
3153.9,44.7802,428.91
3154.4,44.8075,430.49
3154.9,44.835,437.83
3155.4,44.8628,453.14
3155.9,44.8908,450.87
3156.4,44.9192,451.36
3156.9,44.9478,446.53
3157.4,44.9765,453.15
3157.9,45.005,462.98
3158.4,45.0338,460.06
3158.89,45.0629,459.86
3159.39,45.0925,449.25
3159.89,45.122,450.59
3160.39,45.1515,461.92
3160.89,45.1808,459.64
3161.39,45.2103,448.52
3161.89,45.2396,447.06
3163.03,45.3057,461.12
3163.39,45.3263,461.43
3163.89,45.3546,471.53
3164.39,45.3831,464.9
3164.89,45.4111,464
3165.39,45.4394,463.94
3165.89,45.4679,467.72
3166.39,45.4962,469.54
3166.88,45.5244,463.34
3167.38,45.5532,455.86
3167.88,45.5823,473.22
3168.38,45.6117,487.94
3168.88,45.6407,481.29
3169.38,45.6695,483.85
3169.88,45.6983,495.87
3170.38,45.7274,489.86
3171.14,45.7708,477.24
3171.45,45.7885,474.69
3171.88,45.8129,486.4
3172.38,45.8414,487.88
3172.88,45.8699,494.26
3173.38,45.8985,492.92
3173.87,45.9268,501.79
3174.38,45.9557,494.91
3175.87,46.039,502.04
3176.37,46.0663,504.18
3176.87,46.0933,507.75
3177.43,46.1236,506.06
3177.87,46.1473,507.48
3178.37,46.1744,499.73
3178.87,46.2013,494.43
3179.87,46.256,506.72
3180.87,46.3114,499.9
3181.86,46.3672,500.23
3182.88,46.4238,491.94
3183.86,46.4784,505.15
3184.86,46.5338,496.6
3185.86,46.5894,511.7
3186.86,46.645,509.93
3187.86,46.6987,505.04
3188.85,46.7505,507.33
3189.8,46.7981,517.45
3190.85,46.85,524.14
3192.12,46.9124,504.07
3192.77,46.9444,534.45
3193.85,46.9966,531.03
3194.85,47.0446,512.92
3195.84,47.0912,449.89
3196.85,47.1384,441.33
3197.84,47.1856,444.12
3198.87,47.2352,446.37
3199.84,47.2824,439.84
3200.84,47.3313,442.09
3201.85,47.3807,439.39
3202.86,47.4299,442.18
3203.84,47.4774,451.91
3204.95,47.531,438.01
3205.84,47.5745,449.41
3206.84,47.6238,442.85
3208,47.6816,435.22
3208.83,47.7218,439.35
3209.83,47.7696,439.39
3210.88,47.8188,435.84
3211.83,47.8629,440.07
3212.83,47.9096,445.11
3213.9,47.9601,436.13
3214.83,48.0046,444.79
3216.01,48.0628,434.54
3216.95,48.1096,435.12
3217.82,48.1534,447.17
3218.82,48.2051,447.99
3219.78,48.2568,456.05
3220.81,48.3152,450.52
3221.81,48.3753,451.45
3222.74,48.4344,401.26
3223.81,48.5046,401.17
3224.81,48.5724,404.5
3225.86,48.6468,399
3226.8,48.7163,419.35
3227.8,48.7926,432.46
3228.85,48.875,420.6
3229.8,48.9493,435.34
3230.8,49.0272,428.33
3231.86,49.1084,457.01
3232.8,49.179,466.5
3233.8,49.252,449.7
3234.79,49.3215,428.66
3235.79,49.3875,467.02
3237.1,49.4713,472.18
3237.79,49.515,434.54
3238.79,49.5772,426.78
3239.79,49.6399,423.91
3240.79,49.7022,417.65
3241.78,49.7639,424.1
3242.8,49.8253,433.26
3243.78,49.8818,445.17
3244.78,49.9374,462.53
3245.78,49.9937,453.47
3246.78,50.051,466.55
3247.78,50.1106,447.11
3248.77,50.172,450.28
3249.77,50.2345,474.15
3250.77,50.296,468.4
3251.77,50.3566,465.7
3252.77,50.4169,466.68
3253.77,50.4774,462.47
3254.77,50.5397,468.15
3255.77,50.6028,464.75
3256.76,50.6673,467.66
3257.76,50.7328,485.2
3259.03,50.8177,476.07
3259.76,50.8664,473.25
3260.76,50.9322,486.75
3261.76,50.9967,482.95
3262.78,51.0625,492.34
3263.76,51.1259,494.41
3264.75,51.1922,510.8
3265.75,51.2588,504.55
3266.92,51.3368,534.72
3267.75,51.3931,500.97
3268.75,51.4607,490.27
3269.72,51.5279,511.08
3270.75,51.5993,530.23
3271.75,51.6686,503.71
3272.74,51.7379,518.06
3273.74,51.8074,524.57
3274.74,51.8776,527.65
3275.74,51.95,527.55
3276.74,52.0236,522.07
3277.74,52.0976,524.17
3278.74,52.1703,529.95
3279.73,52.2414,541.92
3280.73,52.3106,529.57
3281.73,52.3809,523.97
3282.75,52.4536,526.56
3283.73,52.5244,531.03
3284.73,52.5976,526.38
3285.73,52.671,530.08
3286.72,52.7454,533.27
3287.72,52.82,533.89
3288.72,52.893,536
3289.83,52.9719,547.11
3290.72,53.0357,548.98
3291.72,53.1076,535.86
3292.69,53.1786,541.19
3293.72,53.2544,535.17
3294.72,53.3271,534.98
3295.71,53.4001,540.26
3296.71,53.4735,541.36
3297.71,53.5476,528.47
3298.71,53.6237,545.27
3299.71,53.7004,543.61
3300.71,53.7742,537.9
3301.71,53.847,529.01
3302.73,53.9215,532.97
3303.7,53.9915,538.7
3304.7,54.061,538.37
3305.7,54.1278,551.25
3306.7,54.1926,479.2
3307.7,54.2573,498.28
3308.7,54.3226,555.16
3309.7,54.3886,554.5
3310.69,54.4546,547.48
3311.69,54.5192,449.81
3312.69,54.5831,433.29
3313.69,54.6474,425.9
3314.69,54.7123,428.25
3315.81,54.7872,429.58
3316.69,54.8463,429.55
3317.68,54.9155,429.96
3318.75,54.9912,433.79
3319.68,55.059,436.65
3320.68,55.1332,443.74
3321.68,55.2129,534.46
3322.7,55.302,447.9
3323.68,55.3962,440.77
3324.68,55.5037,453.76
3325.68,55.6159,461.37
3326.67,55.73,518.08
3327.67,55.8407,539.77
3328.67,55.949,558.16
3329.8,56.0719,477.51
3330.67,56.1651,452.28
3331.667,56.2696,450.4
3332.167,56.3207,449.3
3332.541,56.3583,455.5
3332.998,56.404,452.5
3333.498,56.4541,452.8
3334,56.5039,452.8
3334.5,56.5528,468.7
3335.001,56.6022,474.3
3335.501,56.6516,456.5
3336.003,56.7018,460.8
3336.503,56.7518,465.4
3337.005,56.8025,482.3
3337.505,56.8533,482
3338.005,56.9039,500.3
3339.005,57.0033,532.3
3339.505,57.0532,554.5
3340.006,57.105,547.7
3340.474,57.1543,546.4
3341.007,57.2123,518.3
3341.507,57.2672,534.8
3342.027,57.3246,553
3342.507,57.378,553.4
3343.006,57.4333,549.3
3343.506,57.4902,535.9
3344.007,57.5489,552
3344.507,57.6091,554.7
3345.006,57.6702,552.1
3345.506,57.7316,547.9
3346.005,57.793,556.6
3346.508,57.8545,541.1
3347.004,57.9149,557.6
3347.504,57.9751,582
3348.003,58.0353,552.1
3349,58.1566,580.1
3349.51,58.2189,552.2
3350.004,58.278,499.3
3351.003,58.3895,485.1
3351.503,58.4414,506.8
3352.003,58.4922,586.4
3352.503,58.5428,531.9
3353.003,58.5952,461.9
3353.503,58.6507,458.6
3354.004,58.7081,467.5
3354.504,58.7669,470.7
3355.004,58.8254,501.5
3355.745,58.9109,555.3
3356.003,58.9406,553.3
3356.503,58.9971,595.2
3357.003,59.0523,584.1
3357.503,59.1051,568.5
3358.004,59.1556,579
3359.003,59.2547,607.5
3359.503,59.3071,605.8
3360.16,59.3797,503.4
3360.503,59.418,469.9
3361.002,59.4733,473.5
3361.502,59.5276,479.6
3362.023,59.5823,528.1
3362.613,59.6451,607.9
3363.002,59.6874,600.7
3363.502,59.744,501.2
3364.003,59.8034,437.1
3364.503,59.8646,441.7
3365.003,59.9268,437.8
3365.503,59.991,424.7
3366.005,60.0577,423.6
3366.505,60.128,425.4
3367.003,60.2014,430.6
3367.503,60.277,422.6
3368.001,60.3538,421.9
3369.002,60.5182,428.6
3369.502,60.6072,412.9
3370.032,60.7054,447.2
3372.003,61.0862,424.4
3373.502,61.4052,432.3
3374.503,61.632,416.3
3375.002,61.7453,424.5
3375.52,61.8613,419.2
3376.002,61.9697,422.8
3376.502,62.0826,426.1
3377.003,62.194,431.1
3377.503,62.3038,433.6
3378.002,62.4116,423.3
3379.002,62.6229,411.7
3379.502,62.7281,420.5
3380.002,62.8345,421.2
3380.502,62.9379,422.3
3381.503,63.1288,415.9
3382.022,63.2241,431.9
3382.502,63.3131,442.3
3383.002,63.4042,433
3383.502,63.4935,430.9
3384.002,63.5817,435.5
3384.502,63.6694,433.2
3385.003,63.757,437.1
3385.503,63.8457,455
3386.003,63.936,449
3386.503,64.0295,453.6
3387.003,64.1244,469
3387.503,64.218,511.8
3388.002,64.306,516.9
3389.003,64.4718,438.3
3389.503,64.5522,432.4
3390.003,64.6312,429.3
3390.503,64.7091,429.2
3391.004,64.7869,423.5
3391.504,64.8661,432.8
3392.538,65.0384,437.7
3393.004,65.1214,439.6
3394.003,65.3076,456
3394.503,65.4012,461.7
3396.003,65.6871,450.9
3396.503,65.7855,437.2
3396.954,65.8731,447.6
3397.454,65.9691,442.6
3398.003,66.0766,441.6
3399.002,66.2839,448.7
3400.004,66.4857,460.3
3400.504,66.5846,453.6
3401.003,66.6859,454.2
3402.023,66.9161,445.1
3403.002,67.1451,442.3
