/* DESCRIPTION:
Reference:	Elderfield, H et al. (2012): Evolution of ocean temperature and ice volume through the Mid-Pleistocene Climate Transition. Science, 337(6095), 704-709, https://doi.org/10.1126/science.1221294
Data from:	https://doi.org/10.1594/PANGAEA.786178. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	Uvigerina spp. δ18O [‰ PDB]	Uvigerina spp. δ13C [‰ PDB]	Mg/Ca [mmol/mol]
51.7	4.33	-0.56	1.203
52.1	4.57	-0.81	0.95
52.4	4.97	-0.6	0.972
52.8	4.54	-0.83	1.181
53	4.6	-0.69	1.043
53.3	4.44	-0.8	1.108
53.9	4.55	-0.77	0.976
54.2	4.53	-0.89	1.295
54.6	4.52	-0.81	1.188
55	4.73	-0.85	1.054
55.1	4.43	-0.84	1.035
55.3	4.32	-0.6	
55.9			1.176
56.2	4.53	-0.8	1.085
56.8			1.15
57.1	4.5	-0.87	
60.9	4.75	-1.2	0.925
61.3	4.67	-1	1.091
61.8			1.024
62.4	4.46	-1.24	
62.7	4.51	-1.17	1.086
63.1			0.966
63.5	4.69	-1.03	0.951
64.2	4.63	-1.06	0.835
64.4	4.51	-1.03	
64.9			0.944
65.3	4.7	-1.07	1.09
65.6	4.68	-0.98	0.911
66	4.78	-0.84	1.099
68.7			0.931
69.3	4.36	-0.59	1.004
71.9	4.22	-0.39	0.939
74.6	4.15	-0.59	0.985
75.2	3.93	-0.44	
76.9			1.005
77.8	4.09	-0.57	
79.9			1.06
80.2	3.93	-0.42	1.36
81.1	3.9	-0.45	1.201
83.7	3.76	-0.62	1.011
84	3.63	-0.58	1.107
86.1	4.11	-0.76	0.895
86.4			0.914
87	4.19	-0.71	
89.2			0.956
90.2	4.12	-0.6	0.92
92.5	4.02	-0.68	1.009
93.4	4.19	-0.61	1.045
96.3			1.047
96.6	3.79	-0.49	1.09
98.9	3.86	-0.45	1.039
99.2	3.88	-0.44	1.16
99.8	3.45	-0.62	1.101
103.7	4.08	-0.6	1.173
104	3.95	-0.46	1.061
104.6	4.04	-0.64	1.03
105.3	4.04	-0.58	1.116
105.9	3.95	-0.6	1.101
106.6	4.08	-0.82	1.073
108.5	4.07	-0.59	1.018
109.5	3.73	-0.71	1.215
110.1			1.141
112	4.31	-0.63	1.113
112.3	3.86	-0.66	
115.2	3.95	-0.6	1.111
115.9	3.93	-0.65	1.113
117.2			1.134
118.4	3.63	-0.6	1.074
118.8	3.68	-0.81	1.252
119.7	3.42	-0.57	1.186
121.3	3.36	-0.35	1.261
122.3	3.69	-0.71	1.252
122.9	3.29	-0.56	1.323
123.6	3.34	-0.61	1.193
124.2	3.22	-0.46	1.267
124.8			1.28
125.5	3.19	-0.65	1.294
126.1			1.246
127.4	3.31	-0.44	1.253
128.1	3.34	-0.68	1.376
128.7		-1.19	1.082
129.3	3.63	-0.6	1.279
130	4.05	-0.65	1.194
130.6	4.18	-0.58	1.259
131.6	3.95	-0.49	1.32
132.5	4.59	-0.78	1.086
133.2	4.72	-0.9	1.083
133.8	4.7	-1.02	0.986
134.5	4.9	-0.97	1.037
135.1	4.92	-1.11	1.091
135.8	4.76	-1.01	1.028
136.4	5	-1.04	0.992
137	4.77	-1.13	0.958
137.7	4.9	-1.13	0.918
138	5.12	-0.94	0.95
138.2	4.94	-1.08	1.149
138.6	4.86	-1.18	0.921
139.1	4.89	-1.13	1.016
139.5	4.86	-1.25	0.931
139.9	4.95	-1.17	0.937
140.3	4.77	-0.94	1.111
140.8	4.93	-1.06	0.956
141.2	4.74	-1.11	0.989
141.6	4.84	-1.24	0.879
142	4.95	-1.21	1.011
142.5	4.9	-1.13	1.064
142.9	4.75	-1.31	0.95
143.3	4.67	-1.27	1.076
143.7	4.76	-1.16	1.003
144.2	4.77	-1.18	0.954
144.6	4.57	-1.24	0.993
147.4	4.81	-1.11	0.975
147.8	4.59	-1.4	1.023
148.6	4.65	-1.15	1.081
150.8			0.855
151	4.67	-1.27	1.004
151.4	4.55	-1.21	0.944
151.8	4.56	-1.22	0.9
152.2	4.66	-1.2	0.948
152.9	4.53	-1.18	0.978
153.5	4.63	-1.27	0.987
154	4.53	-1.32	1.036
154.4	4.56	-1.36	0.918
154.8	4.74	-1.3	0.902
155.2	4.49	-1.2	1.029
155.7	4.82	-1.5	0.919
156.1	4.67	-1.27	1.105
156.9	4.75	-1.36	0.959
157.1	4.91	-1.35	0.928
157.8	4.72	-1.41	0.882
158.2	4.72	-1.47	0.814
158.6	4.52	-1.46	0.999
158.8	4.89	-1.37	0.843
159.1	4.64	-1.42	0.834
159.5	4.78	-1.26	0.973
159.9	4.8	-1.39	0.889
160.3	4.74	-1.3	0.851
160.8	4.69	-1.38	0.818
161.2	4.62	-1.41	0.858
161.6	4.71	-1.52	0.997
162.5	4.59	-1.33	0.758
162.9	4.54	-1.51	0.871
163.3	4.6	-1.44	0.849
163.7	4.61	-1.22	1.011
164.2	4.57	-1.32	0.895
164.6	4.53	-1.32	0.888
165	4.61	-1.25	0.972
165.4	4.48	-1.12	0.987
165.9	4.6	-1.36	0.948
166.3	4.53	-1.31	0.946
166.7	4.51	-1.43	0.921
167.1	4.51	-1.23	0.884
167.6	4.61	-1.32	0.98
168	4.28	-0.94	0.939
168.4	4.61	-1.13	1.048
168.8	4.69	-1.04	0.952
169.3	4.55	-1.3	0.821
169.7	4.42	-1.37	0.844
170.1	4.59	-1.23	0.895
170.5	4.48	-1.21	0.9
172.2	4.64	-1.23	1.03
173.5	4.34	-1.07	1.035
173.9	4.27	-1.12	1.018
174.2	4.4	-1.13	0.991
174.4	4.41	-1.16	1.003
174.8	4.33	-1.15	1.049
175.2	4.33	-1.18	0.969
176.1	4.36	-1.19	0.956
176.5	4.26	-0.95	1.011
176.9	4.36	-1.06	0.93
178.6	4.45	-1.26	1.039
179	4.48	-1.32	0.923
179.5	4.33	-1.32	0.975
179.9	4.42	-1.32	1.025
181.2	4.51	-1.38	0.985
182.4	4.52	-1.12	0.899
182.9	4.32	-1.18	0.935
183.3	4.4	-1.18	0.92
184.6	4.38	-1.3	0.859
185	4.77	-1.27	1.024
185.5	4.69	-1.39	0.846
186	4.56	-1.23	0.857
186.5	4.53	-1.34	0.807
187	4.56	-1.21	0.912
188.8	4.69	-1.41	0.842
189.6	4.37	-1.39	0.787
190.1	4.59	-1.12	1.07
190.6	4.44	-1.42	0.907
191.1	4.54	-1.21	0.889
191.6	4.47	-1.32	0.838
192.1	4.61	-1.15	0.921
192.3	4.5	-1.32	0.828
192.6	4.41	-1.36	0.86
193.1	4.58	-1.19	0.914
194.1	4.4	-1.31	0.975
195.1	4.14	-1.11	1.063
196.7	4.15	-0.94	1.031
197.4	4.62	-1.01	0.909
197.7	4.1	-1.01	1.004
198.2	4.14	-0.91	0.974
198.7	4.1	-0.82	0.967
199.9	3.7	-0.9	1.033
200.2	3.97	-0.76	1.022
200.7	3.91	-0.98	1.009
201.2	3.83	-0.64	0.945
202	3.79	-0.77	1.159
202.7	3.81	-0.67	1.055
203.2	3.77	-0.76	1.314
203.7	3.95	-0.76	1.113
205.3	3.57	-0.64	1.17
205.8	3.53	-0.72	1.027
207.3	3.61	-0.67	1.238
207.8	3.62	-0.75	1.221
208.3	3.65	-0.7	1.115
208.8	3.71	-0.71	1.152
209.3	4.62	-1.1	1.071
210.3	3.66	-0.62	1.162
210.8	3.71	-0.71	1.149
211.3	4.06	-0.69	1.1
211.9	3.93	-0.57	1.02
212.4	3.9	-0.54	1.083
212.9	3.72	-0.42	1.092
213.4	3.78	-0.53	1.103
213.9	3.71	-0.58	1.232
214.4	3.78	-0.43	1.117
214.9	3.76	-0.47	1.089
215.4	3.54	-0.43	1.15
215.9	3.66	-0.59	1.102
216.4			1.212
216.9	3.86	-0.75	1.204
217.4	3.98	-0.67	1.181
217.9	3.56	-0.27	
218.4	3.91	-0.66	1.164
218.9	4.07	-0.94	1.143
219.7			1.129
220.5	4.25	-1.1	
221	4.42	-0.83	1.025
221.5	4.5	-0.89	1.067
222.2			1.219
223	4.59	-0.85	1.144
223.5	4.55	-1.11	0.994
224.1	4.45	-1.19	1.073
225.1	4.55	-1.03	1.144
225.4	4.54	-0.99	1.101
225.9	4.65	-1.11	0.95
226.4	4.3	-0.89	0.941
227	4.54	-1.21	1.061
228.3	4.32	-0.95	1.108
228.8	4.99	-0.93	0.982
229.3	4.41	-1.13	1.01
229.9	4.58	-1.14	1.093
230.4	4.45	-1	0.968
230.9	4.35	-0.89	1.138
231.4	4.01	-0.99	1.126
232	4.4	-0.88	0.943
232.5	3.96	-0.79	1.002
233	4.13	-0.9	0.98
233.5	3.87	-0.9	1.127
234.1	4.24	-0.9	1.031
234.6	4.01	-0.92	1.073
235.4			1.135
236.2	3.82	-0.6	
236.7	3.72	-0.8	1.043
237.2	3.76	-0.89	1.199
237.8	3.87	-0.71	1.159
238.3	3.63	-0.78	1.089
238.8			1.224
239.1	3.56	-0.78	1.275
239.6			1.216
240.1	3.6	-0.94	1.206
241.5	3.42	-0.28	
242	3.75	-0.07	1.384
242.5	4	-0.85	1.269
244.1	3.6	-0.35	
246.7	4.63	-1.09	0.846
247.3	4.61	-1.27	0.893
248.3	4.65	-0.95	0.933
248.8	4.62	-0.96	0.784
249.4	4.82	-0.97	0.868
249.9	4.66	-1.18	0.926
250.4	4.77	-0.99	0.834
250.9	4.81	-1.14	0.805
251.7	4.6	-0.91	
252	4.86	-1.14	
252.4	4.59	-0.93	0.863
252.8	4.72	-0.9	0.782
253.1	4.44	-0.93	0.929
253.5	4.7	-1.08	0.812
253.9	4.68	-1.12	0.854
254.3	4.46	-0.91	0.901
254.7	4.26	-1.03	
255	3.87	-0.57	
255.6	3.79	-0.51	
255.8	4.76	-1.2	
256.2	4.38	-0.95	
256.5	4.66	-1.16	
257.7	4.69	-1.19	
258.1	4.51	-1.02	1.112
258.4	4.57	-1.03	
259.6	4.84	-1.21	
260	4.8	-1.18	
260.3	4.34	-1.18	
260.7	4.5	-1.12	0.909
261.1	4.72	-1.2	0.965
261.5	4.89	-1.33	
261.9	4.36	-0.87	
262.6	4.89	-1.2	
263.4	4.78	-1.31	
264.7	4.92	-1.3	
265.1	4.82	-1.38	
265.6			1.009
266.4	4.3	-0.99	0.896
268.1	4.76	-1.28	
268.5	4.1	-1.03	
268.9			1.186
269.2			1.141
270	4.5	-0.87	
270.2	4.8	-1.1	
270.8			1.044
271.5	4.06	-1.19	1.131
271.9			0.872
272.1	4.45	-1.16	
272.6			0.961
278	4.19	-0.77	
278.1	4.31	-0.76	
278.7			0.884
279.1	4.23	-1	0.912
279.5	4.31	-0.81	0.851
