# DESCRIPTION:
# Reference: Dickson, AJ et al. (2008): Centennial-scale evolution of Dansgaard-Oeschger events in the northeast Atlantic Ocean between 39.5 and 56.5 ka B.P. Paleoceanography, 23(3), PA3206, https://doi.org/10.1029/2008PA001595
# Data from: https://doi.org/10.1594/PANGAEA.832404. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],N. pachyderma s [%] (Counting >150 µm fraction),IRD [#/g] (Counting >150 µm fraction),SST sum [°C] (Artificial Neural Network (ANN)),SST sum [°C] (Modern analog technique (MAT)...),C. wuellerstorfi δ13C [‰ PDB],C. wuellerstorfi δ18O [‰ PDB],N. pachyderma s δ18O [‰ PDB],G. bulloides δ18O [‰ PDB]
26.75,46.17826,0.99,52.7,,,0.65,3.44,2.83,2.51
26.78,46.35565,7.08,45.28,10.95,10.82,0.64,3.32,2.76,2.58
26.8,46.47391,5.31,112.17,,,0.56,3.56,,2.21
26.82,46.59217,14.91,54.87,11.07,11.19,,,3.15,2.56
26.84,46.71043,8.82,242.19,,,0.73,3.25,3.45,2.6
26.86,46.8287,27,801.65,9.92,10.28,,,3.78,2.5
26.89,47.00609,50,1117.14,,,0.68,3.1,3.79,2.57
26.9,47.06522,50.45,1063.51,8.44,7.34,,,3.62,2.79
26.92,47.18348,18.66,1236.08,9.48,10,0.59,3.09,3.71,2.74
26.94,47.30174,27.78,713.36,,,,,3.81,2.57
26.96,47.42,79.21,844.24,7,7.55,,,3.73,
27.02,47.777,85.71,523.36,3.35,3.53,,,3.66,
27.04,47.896,93,814.06,,,,,3.51,
27.06,48.015,99.01,768.66,4.09,3.95,,,3.13,
27.08,48.134,96.26,1118.7,,,,,3.17,
27.1,48.253,91.26,1509.45,3.23,4.01,,,3.04,
27.12,48.372,94.34,935.79,,,,,3,
27.14,48.491,87.61,681.54,4.91,4.67,,,3.51,
27.16,48.61,92.92,898.8,,,,,3.17,
27.18,48.729,93.58,1157.72,4.01,3.37,,,3.28,
27.2,48.848,91.26,1943.75,,,,,3.81,
27.22,48.967,85,1590.4,4.89,3.9,,,3.78,
27.24,49.086,92.11,1857.17,,,1.18,3.65,3.77,3.16
27.26,49.205,31.37,494.28,8.64,8.23,1.08,3.93,3.53,3.06
27.28,49.324,15.25,921.6,8.35,8.7,0.87,4.04,3.48,3.13
27.3,49.443,31.13,566.46,8.84,8.81,0.91,3.94,3.57,2.88
27.32,49.562,32.67,293.75,,,,,3.57,2.89
27.34,49.681,46.55,798.38,9.03,8.18,0.82,3.75,3.7,3.17
27.36,49.8,68.22,1193.44,,,1.06,3.5,3.78,
27.37,49.89138,88.35,1450.14,5.41,5.33,1.1,3.68,3.66,
27.4,50.16552,54.05,1268.69,,,1.11,3.66,3.79,
27.42,50.34828,37.38,320.31,8.69,8.37,1.08,3.69,2.82,3.13
27.45,50.62241,31.3,162.6,,,1.2,3.7,3.11,2.92
27.46,50.71379,12.28,102.81,8.65,8.72,0.97,3.64,2.98,3.09
27.49,50.98793,22.73,95.71,,,1.16,3.62,3.13,3.21
27.5,51.07931,15.04,43.96,9.38,9.11,0.97,3.84,3.17,2.88
27.52,51.26207,5.04,40.25,,,1,3.68,2.84,2.96
27.54,51.44483,6.5,61.9,9.13,9.54,1.05,3.67,2.92,2.56
27.56,51.62759,13.27,62.14,,,0.98,3.6,2.77,2.79
