# DESCRIPTION:
# Reference: Gayatri Kathayat, Hai Cheng, Ashish Sinha, Christoph Spötl, R. Lawrence Edwards, Haiwei Zhang, Xianglei Li, Liang Yi, Youfeng Ning, Yanjun Cai, Weiguo Lui Lui, Sebastian F.M. Breitenbach. 2016. Indian monsoon variability on millennial-orbital timescales. Scientific Reports, 6, 24374. doi: 10.1038/srep24374.
# Data from: hhttps://www.ncei.noaa.gov/access/paleo-search/study/20449. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],d18O [per mil VPDB],d13C [per mil VPDB]
12.289,-4.743,-5.855
12.298,-4.585,-6.751
12.307,-4.433,-7.876
12.316,-4.349,-7.891
12.325,-4.415,-8.4
12.334,-4.446,-6.786
12.343,-4.287,-7.583
12.352,-5.248,-8.44
12.361,-5.754,-8.567
12.37,-5.288,-8.378
12.378,-5.004,-8.048
12.387,-4.672,-7.719
12.396,-5.468,-8.773
12.405,-4.649,-7.272
12.414,-5.302,-8.274
12.423,-5.547,-8.612
12.432,-4.964,-7.858
12.441,-5.83,-8.382
12.45,-4.744,-8.014
12.459,-5.109,-8.479
12.468,-4.804,-7.71
12.476,-4.981,-8.814
12.485,-4.732,-7.966
12.494,-4.775,-8.477
12.503,-4.585,-8.076
12.512,-4.786,-8.718
12.521,-4.931,-9.155
12.53,-5.199,-8.19
12.539,-4.823,-7.479
12.548,-4.311,-7.059
12.557,-5.24,-8.524
12.566,-4.562,-8.318
12.575,-4.001,-7.547
12.583,-4.264,-8.007
12.592,-4.643,-8.627
12.601,-4.479,-8.207
12.61,-4.877,-8.475
12.619,-4.661,-9.149
12.628,-4.619,-8.945
12.637,-4.629,-8.917
12.646,-4.545,-8.983
12.655,-4.812,-9.171
12.664,-4.685,-8.883
12.673,-4.432,-8.274
12.681,-4.7,-7.85
12.69,-4.694,-8.804
12.699,-4.205,-8.303
12.708,-4.344,-8.714
12.717,-4.007,-7.729
12.726,-3.963,-6.692
12.735,-4.371,-8.374
12.744,-5.31,-7.527
12.753,-6.574,-8.008
12.762,-6.43,-8.072
12.771,-7.096,-9.009
12.779,-7.047,-8.928
12.788,-6.907,-8.637
12.797,-6.385,-8.531
12.806,-6.731,-8.884
12.815,-6.826,-8.744
12.824,-6.877,-7.836
12.833,-7.636,-8.321
12.842,-7.099,-8.166
12.851,-7.002,-8.37
12.86,-7.72,-9.312
12.869,-7.952,-9.055
12.877,-8.401,-9.213
12.886,-8.676,-9.432
12.895,-8.981,-9.375
12.904,-8.858,-8.958
12.913,-9.037,-9.772
12.922,-8.422,-9.009
12.931,-8.336,-9.592
12.94,-8.546,-9.769
12.949,-8.315,-9.348
12.958,-8.365,-10.139
12.967,-8.374,-9.462
12.975,-8.618,-10.48
12.984,-8.254,-10.363
12.989,-8.389,-10.412
12.993,-8.318,-9.81
12.998,-7.848,-9.751
13.002,-8.017,-9.99
13.007,-8,-10.053
13.011,-7.503,-9.384
13.015,-8.501,-9.696
13.02,-7.723,-9.455
13.024,-8.707,-10.224
13.028,-7.717,-9.686
13.033,-8.185,-10.209
13.037,-8.086,-10.2
13.042,-8.067,-10.144
13.046,-7.967,-9.872
13.05,-8.12,-9.746
13.055,-7.083,-9.49
13.059,-8.025,-9.49
13.063,-6.971,-8.976
13.068,-7.892,-9.643
13.072,-7.699,-9.15
13.077,-7.546,-9.209
13.081,-6.967,-9.28
13.085,-7.164,-9.69
13.09,-7.09,-9.542
13.094,-6.411,-9.454
13.098,-6.789,-9.977
13.103,-7.198,-10.05
13.108,-7.127,-10.028
13.114,-7.301,-10.123
13.12,-7.375,-10.25
13.126,-7.679,-10.301
13.132,-7.024,-9.99
13.138,-7.175,-9.672
13.144,-7.421,-9.969
13.15,-8.188,-10.471
13.156,-7.962,-10.208
13.162,-7.134,-10.144
13.168,-6.859,-9.939
13.174,-6.434,-9.668
13.18,-7.03,-10.05
13.186,-6.728,-9.66
13.192,-6.67,-10.086
13.198,-6.661,-10.083
13.204,-6.974,-10.129
13.21,-6.912,-9.588
13.216,-6.563,-9.137
13.222,-7.315,-9.811
13.228,-7.628,-10.019
13.234,-6.575,-9.395
13.24,-6.799,-9.744
13.246,-6.874,-9.721
13.252,-7.063,-9.748
13.258,-6.965,-9.722
13.264,-6.598,-9.675
13.27,-6.705,-9.634
13.276,-7.606,-9.972
13.282,-7.23,-9.903
13.288,-7.076,-9.549
13.294,-6.297,-9.109
13.3,-6.233,-9.313
13.306,-5.901,-9.134
13.312,-5.659,-8.695
13.318,-5.897,-9.132
13.319,-6.177,-9.243
13.319,-5.995,-8.722
13.32,-5.238,-8.279
13.32,-6.381,-8.718
13.321,-6.969,-9.242
13.321,-6.86,-8.721
13.322,-6.781,-8.599
13.322,-7.15,-8.755
13.322,-7.498,-9.383
13.323,-7.222,-8.468
13.323,-7.698,-9.033
13.324,-7.557,-9.191
13.324,-7.024,-8.94
