# DESCRIPTION:
# Reference: Gayatri Kathayat, Hai Cheng, Ashish Sinha, Christoph Spötl, R. Lawrence Edwards, Haiwei Zhang, Xianglei Li, Liang Yi, Youfeng Ning, Yanjun Cai, Weiguo Lui Lui, Sebastian F.M. Breitenbach. 2016. Indian monsoon variability on millennial-orbital timescales. Scientific Reports, 6, 24374. doi: 10.1038/srep24374.
# Data from: hhttps://www.ncei.noaa.gov/access/paleo-search/study/20449. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],d18O [per mil VPDB],d13C [per mil VPDB]
27.083,-6,-9.13
27.084,-5.66,-9.14
27.086,-5.72,-9.27
27.087,-5.48,-9.05
27.088,-5.12,-8.85
27.089,-5.09,-8.84
27.09,-5.14,-8.72
27.091,-5.15,-8.71
27.092,-5.17,-8.74
27.093,-5.61,-8.97
27.094,-5.63,-9.12
27.095,-5.71,-9.02
27.097,-5.62,-8.7
27.098,-5.55,-8.83
27.099,-5.89,-8.74
27.103,-5.89,-8.6
27.107,-5.84,-9
27.111,-5.67,-8.69
27.116,-5.58,-8.98
27.12,-5.43,-9.06
27.124,-5.41,-8.91
27.128,-5.3,-8.6
27.132,-5.28,-9
27.136,-5.31,-8.89
27.141,-5.13,-8.9
27.145,-5.33,-8.84
27.149,-5.44,-8.76
27.153,-5.75,-8.63
27.157,-5.64,-8.48
27.161,-5.7,-8.7
27.166,-5.82,-8.72
27.17,-5.29,-8.67
27.174,-5.35,-8.7
27.178,-5.12,-8.5
27.182,-5.38,-8.52
27.186,-5.42,-8.68
27.191,-5.79,-8.6
27.195,-5.84,-8.5
27.199,-5.86,-8.58
27.203,-5.64,-8.54
27.207,-5.77,-8.71
27.211,-5.44,-8.76
27.216,-5.3,-8.8
27.22,-5.52,-8.85
27.224,-5.47,-8.82
27.228,-5.29,-8.68
27.232,-5.16,-8.81
27.236,-5.05,-8.75
27.241,-5.17,-8.79
27.245,-5.06,-8.67
27.249,-5.15,-8.7
27.253,-5.05,-8.66
27.257,-5.01,-8.54
27.261,-5.01,-8.64
27.266,-5.1,-8.59
27.27,-4.91,-8.62
27.274,-4.98,-8.66
27.278,-4.94,-8.7
27.282,-5.08,-8.66
27.286,-5.09,-8.71
27.291,-5.17,-8.66
27.295,-5.17,-8.55
27.299,-5.4,-8.7
27.303,-5.32,-8.63
27.307,-5.23,-8.59
27.311,-5.51,-8.67
27.316,-5.32,-8.57
27.32,-5.98,-8.56
27.324,-5.74,-8.59
27.328,-6.06,-8.42
27.332,-6.15,-8.39
27.336,-5.87,-8.37
27.341,-6.08,-8.48
27.345,-6.28,-8.71
27.349,-6.06,-8.75
27.353,-5.96,-8.74
27.357,-5.35,-8.58
27.361,-5.27,-8.78
27.366,-5.42,-8.67
27.37,-5.21,-8.78
27.374,-5.01,-8.59
27.378,-4.91,-8.53
27.382,-4.69,-8.33
27.386,-4.83,-8.47
27.391,-4.77,-8.42
27.395,-4.95,-8.54
27.399,-4.86,-8.56
27.403,-4.84,-8.66
27.407,-4.78,-8.4
27.411,-4.79,-8.51
27.416,-4.81,-8.48
27.42,-4.65,-8.5
27.424,-4.58,-8.48
27.428,-4.62,-8.47
27.432,-4.29,-8.25
27.436,-4.79,-8.49
27.441,-4.62,-8.28
27.445,-4.78,-8.53
27.449,-4.62,-8.29
27.453,-4.89,-8.38
27.457,-4.94,-8.44
27.461,-4.88,-8.35
27.466,-4.9,-8.35
27.47,-5,-8.41
27.474,-5.18,-8.45
27.478,-5.18,-8.49
27.482,-5.48,-8.59
27.486,-5.5,-8.53
27.491,-5.45,-8.53
27.495,-5.62,-8.64
27.499,-6.01,-8.58
27.503,-6.27,-8.69
27.507,-6.19,-8.66
27.511,-6.5,-8.74
27.516,-6.22,-8.5
27.52,-6.48,-8.58
27.524,-6.59,-8.96
27.528,-6.65,-8.97
27.532,-6.75,-9.01
27.536,-6.75,-8.99
27.541,-6.63,-8.9
27.545,-6.57,-9.03
27.549,-6.31,-8.87
27.553,-5.9,-8.87
27.557,-5.8,-8.81
27.561,-5.51,-8.67
27.566,-5.56,-8.47
27.57,-5.23,-8.55
27.574,-5.34,-8.62
27.578,-5.2,-8.66
27.582,-5.09,-8.48
27.586,-4.94,-8.54
27.591,-4.79,-8.48
27.595,-4.57,-8.51
27.599,-4.57,-8.26
27.603,-4.59,-8.33
27.607,-4.43,-8.17
27.612,-4.13,-8.19
27.616,-4.13,-8.13
27.62,-4.34,-8.42
27.624,-4.3,-8.25
27.628,-4.76,-8.48
27.632,-4.65,-8.39
27.637,-4.65,-8.41
27.641,-4.47,-8.33
27.645,-4.45,-8.21
27.649,-4.4,-8.23
27.653,-4.56,-8.49
27.672,-4.51,-8.34
27.69,-5.41,-8.43
27.709,-6.38,-9.22
27.727,-6.52,-9.22
27.746,-6.66,-9.11
27.765,-7.6,-9.57
27.783,-7.4,-9.58
27.802,-6.88,-9.35
27.821,-7.06,-9.39
27.839,-7.07,-9.45
27.858,-7,-9.54
27.877,-7.53,-9.48
27.895,-7.38,-9.59
27.914,-6.57,-9.62
27.933,-6.44,-9.54
27.951,-6.59,-9.43
27.97,-7.06,-9.61
27.988,-7.32,-9.5
28.007,-7.54,-9.45
28.026,-7.1,-9.2
28.044,-6.59,-9.03
28.063,-6.88,-9.2
28.082,-6.55,-9.15
28.1,-6.44,-9.16
28.119,-5.96,-8.97
28.138,-5.45,-8.49
28.156,-5.4,-8.66
28.175,-5.54,-8.82
28.194,-5.46,-8.78
28.212,-5.04,-8.66
28.231,-4.92,-8.74
28.249,-4.81,-8.57
28.268,-4.54,-8.44
28.287,-4.21,-8.36
28.305,-5.05,-8.55
28.324,-5.07,-8.61
28.343,-5.37,-8.61
28.361,-5.64,-8.79
28.38,-5.45,-8.76
28.381,-5.15,-8.51
28.383,-5.31,-8.71
28.384,-5.51,-8.66
28.386,-4.97,-8.39
28.387,-5.21,-8.57
28.388,-5.12,-8.6
28.39,-5.13,-8.6
28.391,-5.15,-8.85
28.392,-5.11,-8.8
28.394,-5.3,-8.63
28.395,-5.5,-8.83
28.396,-5.44,-8.76
28.398,-5.4,-8.76
28.399,-5.49,-8.65
28.4,-5.66,-8.9
28.402,-5.57,-8.75
28.403,-5.28,-8.84
28.404,-5.3,-8.79
28.406,-5.35,-8.63
28.407,-5.65,-8.88
28.408,-5.62,-8.86
28.41,-5.57,-8.85
28.411,-5.47,-8.57
28.412,-5.03,-8.74
28.414,-4.98,-8.88
28.415,-5,-8.85
28.416,-5.01,-8.78
28.418,-4.87,-8.71
28.419,-4.66,-8.59
28.421,-4.64,-8.77
28.422,-4.74,-8.65
28.423,-5.1,-8.68
28.425,-4.91,-8.6
28.426,-4.75,-8.68
28.427,-4.56,-8.6
28.429,-4.45,-8.66
28.43,-4.38,-8.7
28.431,-4.12,-8.62
28.433,-3.97,-8.71
28.434,-4.67,-8.54
28.435,-4.73,-8.67
28.437,-4.65,-8.6
28.438,-4.74,-8.67
28.441,-4.81,-8.75
28.443,-4.73,-8.78
28.446,-4.57,-8.78
28.449,-4.72,-8.76
28.452,-4.75,-8.61
28.455,-4.85,-8.66
28.458,-5.13,-8.67
28.461,-4.82,-8.78
28.464,-4.5,-8.79
28.466,-4.54,-8.86
28.469,-4.85,-8.88
28.472,-5.13,-9.01
28.475,-5.02,-9.05
28.478,-4.86,-9.04
28.481,-4.71,-8.98
28.484,-4.81,-8.97
28.487,-4.9,-8.85
28.489,-5.09,-8.96
28.492,-4.92,-9.02
28.495,-5.12,-9.16
28.498,-5.36,-9.26
28.501,-5.51,-9.34
28.504,-5.63,-9.37
28.507,-5.66,-9.48
28.51,-5.81,-9.5
28.512,-5.74,-9.59
28.543,-6.07,-9.22
28.574,-6.34,-9.27
28.605,-6.76,-9.36
28.636,-6.79,-9.39
28.667,-6.31,-9.24
28.698,-6.26,-9.3
28.729,-6.14,-9.29
28.76,-6.11,-9.21
28.791,-7.06,-9.24
28.822,-6.81,-9.12
28.853,-6.63,-9.23
28.884,-6.98,-9.15
28.915,-7.1,-9.16
28.946,-7.27,-9.09
28.976,-7.12,-9.1
29.007,-7.35,-9.05
29.038,-6.73,-9.01
29.069,-6.4,-8.93
29.1,-6.41,-8.87
29.131,-6.95,-8.95
29.162,-7.38,-8.94
29.171,-7.55,-8.84
29.179,-7.64,-9.1
29.188,-7.26,-9.09
29.196,-5.99,-8.78
29.205,-5.7,-8.89
29.213,-6.34,-8.77
29.222,-5.84,-8.68
29.23,-6.1,-8.66
29.239,-6.91,-8.7
29.247,-6.7,-8.62
29.256,-6.01,-8.73
29.264,-5.97,-8.6
29.273,-5.61,-8.61
29.281,-4.99,-8.47
29.29,-4.94,-8.23
29.298,-4.2,-8.12
29.307,-3.65,-8.08
29.315,-3.79,-7.82
29.324,-3.84,-7.71
29.332,-4.3,-8.08
29.341,-4.38,-8.16
29.349,-4.01,-8.18
29.358,-4.2,-8.14
29.367,-4.53,-8.2
29.375,-4.52,-8.18
29.384,-4.43,-8.23
29.392,-4.37,-8.14
29.401,-4.46,-8.42
29.409,-4.72,-8.35
29.418,-4.88,-8.4
29.426,-4.99,-8.47
29.435,-4.92,-8.34
29.443,-4.77,-8.46
29.49,-5.08,-8.37
29.536,-5.05,-8.43
29.582,-4.6,-8.54
29.628,-5.15,-8.7
29.674,-5.07,-8.78
29.72,-4.8,-8.63
29.766,-4.64,-8.54
29.812,-4.74,-8.6
29.858,-4.9,-8.61
29.904,-4.78,-8.73
29.95,-5.28,-8.61
29.996,-5.5,-8.58
30.042,-5.72,-8.6
30.088,-5.52,-8.63
30.134,-5.53,-8.55
30.18,-6.28,-8.65
30.226,-5.69,-8.56
30.272,-4.9,-8.53
30.318,-4.7,-8.69
30.364,-4.68,-8.46
30.41,-4.86,-8.8
30.456,-4.951,-9.107
30.502,-5.182,-9.124
30.548,-5.697,-9.122
30.594,-5.359,-9.25
30.64,-5.421,-9.217
30.686,-5.797,-9.257
30.732,-6.218,-9.13
30.778,-6.84,-9.016
30.824,-6.153,-8.798
30.87,-5.648,-8.818
30.916,-5.239,-8.845
30.962,-4.948,-8.767
31.008,-4.967,-8.5
31.054,-5.418,-8.774
31.1,-7.238,-8.907
31.146,-7.922,-9.063
31.192,-4.94,-8.597
31.238,-5.752,-8.58
31.284,-5.246,-8.516
31.33,-7.325,-10.094
31.382,-8.071,-9.77
31.544,-6.348,-9.56
31.707,-5.849,-9.46
31.87,-6.208,-9.52
32.033,-6.913,-9.33
32.196,-6.507,-8.99
32.358,-6.367,-9.11
32.521,-6.025,-8.76
32.684,-5.636,-8.71
32.847,-4.513,-8.44
33.009,-3.959,-8.16
33.172,-3.945,-8.03
33.335,-4.185,-8.16
33.498,-4.533,-8.37
33.661,-4.689,-8.31
33.823,-4.735,-8.29
33.986,-4.785,-8.18
34.149,-5.26,-8.21
34.312,-5.181,-8.42
34.475,-5.215,-8.42
34.637,-5.61,-8.44
34.8,-6.019,-8.44
34.963,-5.834,-8.4
35.126,-5.586,-8.39
35.289,-5.195,-8.41
35.451,-5.001,-8.37
35.614,-5.638,-8.4
35.777,-5.82,-8.47
35.94,-5.952,-8.54
36.102,-6.847,-8.79
36.265,-7.473,-9.42
36.428,-7.261,-9.79
36.591,-7.1,-10.1
36.754,-6.994,-10.22
36.916,-6.936,-10.43
37.079,-6.798,-10.61
37.242,-6.469,-10.65
37.405,-6.86,-10.54
37.568,-7.088,-10.57
37.73,-6.582,-10.39
37.893,-6.498,-10.23
38.056,-6.695,-10.12
38.086,-6.686,-9.95
38.089,-6.855,-10
38.092,-6.335,-9.428
38.094,-6.328,-9.193
38.097,-6.454,-9.234
38.1,-6.394,-9.23
38.103,-6.239,-9.1
38.106,-6.477,-9.234
38.109,-6.539,-9.336
38.112,-6.734,-9.144
38.115,-6.369,-8.901
38.118,-6.69,-8.873
38.121,-6.737,-8.906
38.124,-7.254,-9.263
38.127,-7.012,-9.257
38.13,-6.571,-9.012
38.133,-6.541,-9.034
38.136,-6.505,-9.292
38.139,-6.376,-9.278
38.142,-6.376,-9.195
38.145,-6.53,-9.12
38.148,-6.94,-9.31
38.151,-6.98,-9.35
38.154,-6.9,-8.98
38.157,-6.79,-9.01
38.16,-6.78,-9.08
38.162,-6.61,-8.9
38.165,-6.62,-8.86
38.168,-6.6,-8.88
38.171,-6.7,-8.84
38.174,-7.08,-9.02
38.177,-7.11,-8.99
38.18,-6.65,-9.02
38.183,-6.44,-8.91
38.186,-5.8,-8.68
38.189,-5.87,-8.8
38.192,-5.36,-8.73
38.193,-5.28,-8.73
38.195,-4.81,-8.58
38.196,-4.69,-8.56
38.198,-4.42,-8.45
38.199,-4.4,-8.4
38.201,-4.42,-8.29
38.202,-4.63,-8.52
38.203,-4.72,-8.28
38.205,-4.94,-8.41
38.206,-4.98,-8.12
38.208,-5.38,-8.33
38.209,-5.2,-8.42
38.211,-5.2,-8.45
38.212,-4.99,-8.34
38.214,-4.83,-8.3
38.215,-4.29,-8.26
38.217,-3.93,-8.05
38.218,-4.1,-8.24
38.219,-4.12,-8.17
38.221,-4.08,-8.24
38.222,-3.91,-8.23
38.224,-4.21,-8.21
38.225,-4.14,-8
38.227,-4.22,-8.09
38.228,-4.31,-8.14
38.23,-4.41,-8.15
38.231,-4.08,-8.01
38.232,-3.93,-8.02
38.234,-4.07,-8.12
38.235,-4.2,-8.17
38.237,-4.22,-8.16
38.238,-4.34,-8.31
38.24,-4.12,-8.35
38.268,-4.45,-8.33
38.296,-4.71,-8.49
38.323,-4.57,-8.41
38.351,-4.65,-8.32
38.378,-4.82,-8.34
38.406,-4.75,-8.33
38.433,-4.74,-8.38
38.461,-4.96,-8.34
38.488,-4.59,-8.04
38.516,-4.57,-8.09
38.543,-4.71,-8.23
38.571,-4.24,-7.97
38.598,-4.2,-8.15
38.626,-4.27,-8.05
38.653,-4.4,-8.23
38.67,-4.21,-8.12
38.687,-4.31,-8.08
38.704,-4.19,-8.19
38.72,-4.39,-8.12
38.737,-4.22,-8.04
38.754,-4.08,-7.98
38.77,-4.31,-8.27
38.787,-4.09,-8.13
38.804,-4.13,-8.14
38.821,-4.17,-8.38
38.837,-4.25,-8.46
38.854,-4.17,-8.44
38.871,-4.08,-8.29
38.887,-4.23,-8.17
38.904,-4.34,-8.19
38.921,-4.08,-8.17
38.937,-4.19,-8.22
38.954,-4.19,-8.21
38.971,-4.23,-8.29
38.987,-4.46,-8.45
39.004,-4.34,-8.29
39.021,-4.24,-8.34
39.038,-4.29,-8.34
39.054,-4.34,-8.39
39.071,-3.96,-8.37
39.088,-4.33,-8.52
39.104,-4.55,-8.56
39.121,-4.89,-8.46
39.138,-4.83,-8.38
39.154,-4.3,-8.35
39.171,-4.34,-8.24
39.188,-4.13,-8.26
39.205,-4.53,-8.77
39.221,-4.74,-9
39.238,-5.11,-8.99
39.255,-4.88,-8.91
39.271,-4.61,-8.8
39.288,-4.85,-8.76
39.305,-4.83,-8.72
39.452,-3.865,-8.34
39.532,-4.081,-8.56
39.611,-4.054,-8.42
39.691,-4.213,-8.45
39.771,-4.978,-8.47
39.851,-5.283,-8.69
39.93,-4.15,-8.48
40.01,-3.828,-8.3
40.09,-3.83,-8.41
40.17,-3.756,-8.49
40.249,-3.823,-8.35
40.329,-3.937,-8.16
40.409,-5.043,-8.4
40.488,-4.753,-8.49
40.568,-4.348,-8.55
40.648,-4.198,-8.53
40.728,-5.189,-9.23
40.807,-5.572,-9.28
40.887,-5.779,-9.24
40.967,-6.346,-9.48
41.047,-6.993,-9.66
41.126,-7.534,-9.85
41.206,-7.561,-9.59
41.286,-7.253,-9.52
41.365,-7.272,-9.54
41.445,-6.985,-9.53
41.525,-6.002,-9.39
41.605,-5.131,-9.23
41.684,-5.24,-9.09
41.764,-5.535,-9.09
41.844,-5.501,-9.26
41.923,-5.235,-9
42.003,-5.328,-8.95
42.083,-5.063,-8.9
43.675,-4.97,-9.13
43.675,-5.2,-8.81
43.676,-5.17,-9.17
43.676,-5.15,-8.89
43.677,-5.35,-8.97
43.677,-4.87,-9.05
43.678,-4.99,-9.17
43.678,-4.75,-9.04
43.679,-4.89,-9.16
43.679,-5.36,-9.05
43.68,-5.18,-9.15
43.68,-5.31,-9.2
43.68,-5.45,-9.28
43.681,-5.6,-9.17
43.681,-5.8,-9.17
43.682,-5.48,-9.18
43.682,-5.89,-9.16
43.683,-5.87,-9.17
43.683,-5.63,-9.15
43.684,-5.9,-9.22
43.684,-5.36,-8.91
43.685,-5.47,-9.21
43.685,-5.25,-9.1
43.685,-5.33,-9.14
43.686,-5.14,-9
43.686,-5.31,-9.17
43.687,-5.34,-9.09
43.687,-5.61,-9.27
43.734,-5.24,-9.06
43.78,-5.4,-9.13
43.826,-5.49,-9.11
43.872,-5.68,-9.19
43.918,-5.57,-8.75
43.964,-5.77,-9.15
44.029,-5.13,-8.84
44.094,-5.07,-8.92
44.158,-5.07,-8.92
44.223,-4.92,-9
44.287,-4.82,-8.97
44.352,-4.89,-9.04
44.416,-4.99,-8.97
44.481,-4.91,-9
44.545,-5.58,-8.92
44.61,-5.34,-8.83
44.674,-4.89,-8.86
44.739,-5.7,-9.1
44.803,-6.8,-9.84
44.868,-7.32,-10.01
44.932,-6.9,-10.2
44.997,-6.75,-10.19
45.062,-7.08,-9.92
45.126,-7.49,-10.03
45.191,-7.55,-10
45.255,-7.31,-10.26
45.32,-7.61,-10.16
45.384,-7.39,-10.15
45.449,-7.04,-10.01
45.513,-7.21,-10.05
45.578,-7.21,-9.96
45.642,-7.62,-9.97
45.707,-7.61,-10.03
45.771,-7.43,-10.04
45.836,-7.98,-10.05
45.9,-7.88,-10.03
45.965,-6.87,-10.05
45.99,-6.99,-10.2
46.015,-7.91,-10.26
46.04,-8.32,-10.42
46.066,-7.95,-10.39
46.091,-7.48,-10.33
46.116,-7.4,-10.28
46.141,-7.53,-10.34
46.167,-7.31,-10.19
46.192,-7.73,-10.36
46.217,-7.35,-10.15
46.242,-7.57,-9.97
46.267,-7.79,-9.91
46.293,-7.25,-9.37
46.318,-6.98,-9.39
46.343,-6.8,-9.65
46.368,-6.5,-9.71
46.393,-7.31,-9.72
46.419,-7.3,-9.76
46.444,-6.4,-9.85
46.469,-6.35,-9.82
46.494,-6.79,-9.67
46.52,-6.77,-9.78
46.545,-6.33,-10.04
46.57,-6.28,-10.01
46.595,-6.79,-10.21
46.62,-6.77,-10.19
46.646,-6.66,-10.13
46.671,-6.39,-9.94
46.696,-6.25,-10.12
46.721,-6.21,-10
46.746,-6.31,-9.96
46.772,-7.01,-9.91
46.78,-6.67,-9.84
46.788,-7.3,-10.06
46.795,-7.26,-10.12
46.803,-6.63,-10.09
46.811,-6.77,-10.09
46.819,-6.25,-10.03
46.826,-6.37,-10.22
46.834,-6.86,-9.87
46.842,-6.72,-10.03
46.85,-7.5,-10.03
46.857,-7.2,-9.31
46.865,-7.26,-10.01
46.873,-7.72,-10.25
46.881,-6.74,-10.08
46.888,-6.85,-10.32
46.896,-7.17,-10.09
46.904,-6.87,-10.06
46.912,-7.07,-9.94
46.919,-7.15,-10.13
46.927,-6.78,-9.99
46.935,-6.71,-9.92
46.943,-6.14,-9.32
46.95,-6.27,-9.17
46.958,-7.26,-9.47
46.966,-7.28,-9.18
46.974,-6.39,-9.21
46.981,-6.49,-9.2
46.989,-6.75,-9.52
46.997,-6.44,-9.38
47.005,-6.17,-9.45
47.012,-6.28,-9.4
47.02,-6,-9.19
47.028,-6.09,-9.26
47.036,-6.13,-9.14
47.043,-6.05,-9.07
47.051,-6.21,-9.2
47.059,-6.08,-9.07
47.067,-6.38,-9.02
47.074,-6.31,-8.93
47.082,-6.56,-9.02
47.09,-6.64,-8.95
47.098,-6.97,-9.2
47.105,-6.9,-9.04
47.113,-6.72,-9.22
47.121,-6.6,-9.19
47.129,-6.45,-9.36
47.136,-6.38,-9.27
47.144,-6.21,-9.13
47.152,-6.22,-9.09
47.16,-6.62,-9.23
47.167,-6.64,-9.16
47.175,-6.58,-8.99
47.183,-6.47,-8.9
47.191,-5.98,-8.78
47.198,-5.98,-8.81
47.206,-5.65,-8.82
47.214,-5.39,-8.66
47.221,-4.95,-8.79
47.229,-4.51,-8.47
47.237,-4.47,-8.46
47.245,-4.45,-8.45
47.252,-4.07,-8.24
47.26,-4.16,-8.23
47.268,-3.99,-8.28
47.275,-4.02,-8.17
47.283,-4.31,-8.29
47.291,-4.3,-8.31
47.298,-4.67,-8.5
47.306,-4.53,-8.49
47.314,-4.2,-8.33
47.322,-4.37,-8.44
47.329,-4,-8.22
47.337,-4.06,-8.28
47.345,-3.91,-8.28
47.352,-3.8,-8.19
47.36,-3.63,-8.44
47.368,-3.5,-8.45
47.375,-4.32,-8.39
47.383,-4.34,-8.43
47.391,-4.08,-8.26
47.399,-4.07,-8.32
47.407,-3.89,-8.25
47.415,-3.98,-8.31
47.424,-3.76,-8.17
47.432,-3.66,-8.21
47.441,-3.85,-8.13
47.449,-3.73,-8.14
47.457,-3.96,-8.12
47.466,-3.88,-8.1
47.474,-3.76,-8.11
47.483,-3.79,-8.11
47.491,-3.83,-8.16
47.5,-3.7,-8.12
47.508,-3.94,-8.26
47.517,-3.84,-8.13
47.525,-3.96,-8.31
47.534,-3.88,-8.04
47.542,-3.71,-8.26
47.551,-3.86,-8.32
47.559,-3.59,-8.1
47.568,-3.67,-8.34
47.576,-3.83,-8.1
47.584,-3.72,-8.07
47.593,-3.88,-8.13
47.601,-3.93,-8.05
47.61,-3.93,-8.25
47.618,-3.99,-8.28
47.682,-3.83,-8.06
47.745,-3.81,-8.11
47.808,-3.58,-8.07
47.872,-3.27,-8.01
47.935,-3.99,-8.33
47.998,-3.5,-7.94
48.062,-3.96,-8.51
48.125,-4.15,-8.26
48.189,-3.66,-8.47
48.252,-4.04,-8.48
48.383,-4.13,-8.74
48.513,-4.16,-8.31
48.643,-3.82,-8.6
48.773,-3.44,-8.43
48.904,-3.96,-8.54
49.034,-3.98,-8.6
49.164,-4.14,-8.78
49.294,-4.12,-8.77
49.425,-4.74,-8.67
49.555,-4.02,-8.62
49.685,-5.3,-8.93
49.815,-5.14,-8.94
49.946,-7.1,-9.36
50.076,-7.23,-9.5
50.206,-6.48,-9.36
50.336,-6.56,-9.36
50.467,-6.72,-9.5
50.597,-6.54,-9.53
50.727,-6.61,-9.36
50.857,-7.15,-9.51
50.988,-6.66,-9.49
51.118,-6.55,-9.49
51.248,-6.81,-9.4
51.378,-6.96,-9.53
51.509,-6.72,-9.41
51.639,-6.87,-9.4
51.769,-6.61,-9.45
51.899,-6.65,-9.49
52.03,-6.35,-9.15
52.16,-6.41,-9.46
52.29,-7.3,-9.27
52.42,-7.34,-9.54
52.551,-8.3,-10.23
52.681,-7.58,-9.61
52.811,-8.84,-10.28
52.941,-8.58,-10.32
53.072,-8.72,-9.88
53.202,-8.8,-10.03
53.332,-8.21,-9.71
53.462,-8.39,-9.63
53.593,-7.84,-9.41
53.723,-7.66,-9.4
53.853,-8.23,-9.49
53.983,-7.84,-9.28
54.114,-6.28,-9.06
54.244,-4.89,-9.11
54.374,-4.6,-9.13
54.41,-4.31,-8.99
54.446,-4.8,-8.9
54.482,-4.22,-8.79
54.506,-4.37,-8.76
54.528,-4.67,-8.84
54.55,-4.71,-8.76
54.573,-6.99,-8.75
54.596,-8.28,-9.06
54.619,-8.58,-9.07
54.642,-8.15,-9.11
54.665,-6.57,-9.16
54.688,-6.4,-9.18
54.711,-6.09,-9.06
54.734,-5.92,-9.2
54.757,-5.89,-9.04
54.78,-5.33,-9.1
54.803,-5.05,-9.12
54.826,-5.01,-9.01
54.849,-5.18,-9.04
54.872,-5.27,-9.1
54.895,-5.5,-9.29
54.918,-5.56,-9.32
54.941,-5.75,-9.34
54.964,-6.07,-9.3
54.987,-5.92,-9.16
55.01,-5.84,-9.34
55.033,-5.94,-9.41
55.056,-5.76,-9.17
55.079,-5.87,-9.28
55.102,-5.48,-9.39
55.125,-5.45,-9.38
55.148,-5.34,-8.99
55.171,-4.88,-9.19
55.194,-4.6,-9.23
55.218,-4.67,-9.2
55.241,-5.13,-9.06
55.264,-5.04,-9.02
55.287,-4.99,-9.13
55.31,-4.92,-9.01
55.333,-5.28,-9.08
55.356,-5.55,-9.03
55.379,-5.55,-9.4
55.402,-4.63,-9.12
55.425,-4.55,-9.06
55.448,-4.7,-9.19
55.471,-5.48,-9.04
55.494,-5.02,-9.08
55.517,-5.47,-9.3
55.54,-5.58,-9.27
55.563,-5.64,-8.94
55.586,-5.52,-9.24
55.597,-6.51,-9.38
55.609,-5.13,-9.11
55.62,-5.63,-9.06
55.631,-5.6,-9.04
55.642,-6.71,-9.53
55.654,-6.79,-9.53
55.665,-8.7,-9.38
55.676,-8.03,-9.42
55.688,-7.69,-9.32
55.699,-7.64,-9.62
55.71,-8.65,-9.66
55.722,-7.52,-9.59
55.733,-7.53,-9.7
55.744,-8.19,-9.78
55.756,-8.56,-9.77
55.767,-7.72,-9.64
55.778,-7.47,-9.6
55.789,-7,-9.3
55.801,-7.28,-9.38
55.812,-8.09,-9.69
55.823,-7.73,-9.62
55.835,-6.7,-9.39
55.846,-6.26,-9.21
55.857,-5.96,-9.08
55.869,-5.82,-9.08
55.88,-5.57,-9.07
55.891,-5.45,-8.91
55.903,-5.33,-8.89
55.914,-5.52,-8.79
55.925,-5.46,-8.83
55.937,-5.55,-8.87
55.948,-5.57,-8.94
55.959,-5.46,-8.75
55.97,-5.4,-8.65
55.986,-5.5,-8.81
56.002,-5.36,-8.65
56.018,-5.35,-8.56
56.033,-5.56,-8.77
56.049,-5.75,-8.77
56.065,-5.85,-8.61
56.08,-5.8,-8.59
56.096,-5.8,-8.94
56.112,-5.78,-8.84
56.127,-5.87,-8.61
56.143,-5.79,-8.54
56.159,-5.99,-8.85
56.174,-5.83,-8.87
56.19,-5.87,-8.83
56.206,-5.88,-8.51
56.243,-5.95,-8.77
56.28,-5.62,-8.54
56.318,-5.55,-8.54
56.355,-5.36,-8.5
56.393,-5.18,-8.38
56.431,-4.97,-8.61
56.468,-4.59,-8.63
56.506,-4.52,-8.58
56.507,-4.37,-8.43
56.507,-4.46,-8.42
56.508,-4.63,-8.38
56.508,-4.58,-8.34
56.508,-4.7,-8.33
56.509,-4.67,-8.22
56.509,-4.86,-8.28
56.509,-4.89,-8.33
56.51,-4.83,-8.08
56.51,-4.9,-8.14
56.511,-4.83,-8.03
56.511,-4.83,-8.01
56.511,-4.78,-8.15
56.512,-4.69,-7.96
56.512,-4.83,-7.84
56.525,-5.03,-8.02
56.539,-4.8,-7.99
56.552,-4.8,-7.97
56.565,-5.2,-8.03
56.579,-5.82,-8.07
56.592,-5.7,-8.11
56.605,-5.61,-8.04
56.619,-5.35,-7.65
56.632,-6.42,-7.56
56.646,-6.68,-7.43
56.659,-7.74,-9.33
56.672,-7.99,-10.33
56.686,-7.78,-10.46
56.699,-9,-10.25
56.713,-9.37,-10.15
56.726,-9.35,-10.29
56.739,-9.27,-10.15
56.753,-8.57,-10.01
56.766,-8.08,-9.88
56.78,-7.78,-9.71
56.793,-8.05,-9.73
56.806,-8.26,-9.68
56.82,-8.42,-9.51
56.833,-8.29,-9.52
56.847,-8.56,-9.54
56.86,-8.25,-9.47
56.873,-8.62,-9.26
56.887,-8.71,-9
56.9,-8.18,-9.6
56.913,-8.03,-9.37
56.927,-8.3,-9.49
56.94,-8.63,-9.39
56.954,-8.23,-9.29
56.967,-8.25,-9.42
56.98,-8.22,-9.42
56.994,-8.14,-9.4
57.007,-8.87,-9.54
57.021,-8.62,-9.45
57.034,-8.72,-9.43
57.047,-8.39,-9.58
57.061,-9.08,-9.69
57.074,-8.56,-9.76
57.088,-8.72,-9.65
57.101,-8.31,-9.53
57.114,-8.37,-9.36
57.128,-8.8,-9.48
57.141,-8.33,-9.66
