# DESCRIPTION:
# Reference: Mohtadi, M et al. (2014): North Atlantic forcing of tropical Indian Ocean climate. Nature, 509(7498), 76-80, https://doi.org/10.1038/nature13196
# Data from: https://doi.org/10.1594/PANGAEA.833322. Accessed 22 Nov 2022.
# Comment: Data was not modified in any way.

Age [ka BP],G. ruber ss δ18O [‰ PDB],SST (1-12) [°C],δ18O H2O [‰ SMOW]
10.5,-2.83,29.81,0.23
10.54,-2.82,28.93,0.04
10.58,-2.8,29.54,0.18
10.62,-2.67,28.84,0.17
10.66,-2.99,29.22,-0.08
10.7,-2.48,28.86,0.35
10.74,-2.55,29.11,0.33
10.78,-2.72,29.48,0.23
10.82,-2.44,29.5,0.51
10.86,-2.78,28.96,0.05
10.9,-2.72,28.99,0.12
10.94,-2.69,29.29,0.21
10.98,-2.66,28.63,0.1
11.03,-2.9,28.75,-0.13
11.07,-2.67,28.16,-0.02
11.12,-2.72,29.46,0.19
11.16,-2.3,29,0.51
11.21,-2.59,28.29,0.06
11.26,-2.57,29.29,0.29
11.3,-2.35,28.69,0.37
11.35,-2.65,28.21,-0.03
11.4,-2.72,27.78,-0.2
11.45,-2.59,28.39,0.05
11.5,-1.94,28.98,0.82
11.55,-2.4,28.45,0.24
11.6,-2.48,28.48,0.16
11.65,-2.75,28.88,-0.03
11.7,-2.29,29.38,0.53
11.75,-2.04,28.33,0.56
11.8,-1.83,28.64,0.82
11.85,-2.16,28.04,0.36
11.9,-2.02,28.39,0.57
11.94,-2.26,28.03,0.25
11.99,-2.13,27.81,0.33
12.05,-1.95,27.92,0.52
12.11,-1.92,27.57,0.47
12.16,-1.62,27.98,0.84
12.22,-1.96,27.23,0.34
12.27,-2.02,27.55,0.35
12.33,-1.7,28.1,0.76
12.39,-1.89,28.07,0.57
12.44,-1.53,28.17,0.94
12.5,-1.8,28.41,0.71
12.55,-1.68,27.72,0.68
12.6,-2.03,27.78,0.34
12.65,-1.87,27.76,0.49
12.71,-1.7,27.2,0.54
12.76,-1.94,27.99,0.46
12.81,-1.62,27.62,0.69
12.86,-1.97,27.61,0.34
12.91,-2.18,27.67,0.14
12.97,-2.3,27.77,0.03
13.02,-2.35,27.72,-0.04
13.07,-2.05,27.67,0.24
13.12,-2.23,27.19,-0.04
13.17,-2.28,27.29,-0.08
13.23,-1.91,26.66,0.15
13.28,-1.95,27.88,0.35
13.34,-2.18,27.86,0.12
13.39,-1.82,27.71,0.44
13.45,-2.36,27.91,-0.06
13.5,-2.1,27.56,0.12
13.56,-2.04,27.77,0.22
13.61,-2.46,27.45,-0.28
13.67,-2.05,27.32,0.1
13.72,-1.89,27.6,0.31
13.78,-1.9,27.76,0.32
13.83,-2.17,27.5,-0.01
13.89,-1.8,28.6,0.59
13.94,-2.18,27.36,-0.06
13.99,-2.22,27.36,-0.1
14.04,-1.98,27.86,0.23
14.09,-1.73,28.24,0.56
14.15,-1.97,27.94,0.25
14.2,-2.05,26.98,-0.03
14.25,-2.12,27.27,-0.05
14.3,-1.7,28.18,0.56
14.35,-1.96,28.5,0.36
14.43,-1.99,27.6,0.13
14.5,-2.01,28.02,0.19
14.57,-2.11,28.08,0.1
14.64,-2.08,27.77,0.06
14.71,-1.85,27.25,0.18
14.78,-1.91,27.94,0.25
14.85,-1.82,27.45,0.24
14.93,-1.64,27.38,0.39
15,-1.56,26.99,0.38
15.07,-1.51,27.94,0.63
15.14,-2.01,27.42,0.01
15.21,-1.38,27.42,0.63
15.3,-1.55,27.47,0.46
15.39,-1.26,27.1,0.67
15.48,-1.42,26.61,0.4
15.57,-1.37,26.85,0.5
15.66,-1.37,26.59,0.43
15.75,-1.54,27.41,0.43
15.84,-1.24,26.88,0.61
15.93,-1.32,27.55,0.68
15.99,-1.09,27.51,0.89
16.05,-1.51,27.84,0.53
16.11,-1.12,28.24,1.01
16.17,-1.39,27.6,0.6
16.23,-1.44,27.15,0.46
16.29,-1.46,27.41,0.48
16.36,-1.31,27.28,0.6
16.42,-1.45,27.35,0.47
16.48,-1.12,27.37,0.81
16.54,-1.17,26.83,0.64
16.6,-1.19,26.43,0.53
16.66,-1.37,25.62,0.18
16.74,-1.04,27.11,0.82
16.82,-1.29,27.35,0.61
16.91,-1.11,26.45,0.6
16.99,-1.18,27.01,0.65
17.08,-1.27,27.24,0.6
17.16,-1.31,26.87,0.48
17.24,-1.25,26.89,0.54
17.33,-1.3,26.66,0.44
17.4,-1.31,26.26,0.34
17.46,-1.12,26.64,0.61
17.53,-1.19,26.36,0.48
17.6,-1.14,26.2,0.49
17.67,-1.07,26.69,0.66
17.73,-1.18,26.79,0.57
17.8,-1.05,26.48,0.64
17.87,-1.09,26.2,0.54
17.93,-1.14,25.99,0.44
18,-1.22,26.86,0.54
18.07,-1.13,27.09,0.68
18.14,-1.19,26.6,0.51
18.19,-1.16,26.13,0.44
18.24,-1.43,25.97,0.13
18.29,-1.16,25.84,0.38
18.34,-1.19,25.8,0.34
18.39,-1.24,26.28,0.39
18.44,-1.26,25.94,0.29
18.5,-1.31,27.25,0.51
18.55,-1.28,26.51,0.39
18.6,-1.25,27.33,0.59
18.65,-1.41,26.61,0.28
18.7,-1.24,26.59,0.44
18.75,-1.29,26.23,0.32
18.84,-1.31,26.87,0.43
18.92,-1.29,26.9,0.45
19,-1.5,26.72,0.2
19.08,-1.24,26.91,0.51
19.16,-1.33,26.97,0.42
19.24,-1.14,25.87,0.39
19.32,-1.35,25.99,0.2
19.4,-1.18,25.93,0.36
19.48,-1.35,26.31,0.26
19.55,-1.2,25.6,0.27
19.63,-1.31,26.1,0.26
19.71,-1.32,25.8,0.19
19.79,-1.28,25.65,0.19
19.87,-1.22,25.8,0.28
19.95,-1.55,26.33,0.07
20.02,-1.45,25.47,-0.02
20.1,-1.27,25.75,0.22
20.18,-1.44,26.09,0.12
20.26,-1.44,25.69,0.05
20.34,-1.38,26.34,0.24
20.42,-1.41,26.01,0.14
20.49,-1.49,25.91,0.04
20.57,-1.26,26.77,0.45
20.65,-1.43,26.27,0.18
20.73,-1.51,26.01,0.04
20.81,-1.45,26.61,0.23
20.88,-1.53,25.61,-0.06
20.95,-1.52,25.88,0.01
21.02,-1.43,26.54,0.24
21.09,-1.49,26.39,0.14
21.16,-1.34,26.06,0.23
21.23,-1.41,27.05,0.37
21.31,-1.32,26.65,0.38
21.38,-1.37,26.62,0.32
21.45,-1.31,26.67,0.39
21.52,-1.51,27.2,0.3
21.57,-1.34,26.11,0.25
21.63,-1.47,26.54,0.2
21.68,-1.47,26.62,0.22
21.73,-1.43,26,0.14
21.79,-1.32,25.91,0.23
21.84,-1.25,26.09,0.33
21.89,-1.43,25.7,0.07
21.95,-1.36,26.27,0.26
22,-1.55,25.69,-0.04
22.06,-1.22,25.54,0.25
22.16,-1.36,25.47,0.1
22.26,-1.43,25.54,0.05
22.36,-1.37,25.94,0.19
22.46,-1.5,26.04,0.08
22.56,-1.38,26.1,0.22
22.66,-1.29,26.44,0.38
22.77,-1.29,25.43,0.17
22.87,-1.37,26.56,0.33
22.97,-1.44,25.02,-0.06
23.04,-1.44,25.83,0.1
23.11,-1.44,25.78,0.1
23.18,-1.24,26.26,0.41
23.24,-1.41,26.29,0.24
23.31,-1.31,26.18,0.32
23.38,-1.41,26.23,0.23
23.45,-1.26,27.07,0.56
23.52,-1.43,26.26,0.22
23.59,-1.27,25.98,0.32
23.64,-1.53,26.26,0.13
23.7,-1.27,26.78,0.49
23.75,-1.39,26.02,0.22
23.81,-1.25,26.51,0.46
23.86,-1.32,26.64,0.41
23.92,-1.19,26.58,0.54
23.97,-1,26.24,0.66
24.02,-1.49,26.47,0.22
24.08,-1.51,26.37,0.18
24.13,-1.22,26.2,0.43
24.19,-1.36,26.78,0.42
24.24,-1.39,26.31,0.29
24.3,-1.37,26.34,0.32
24.35,-1.26,26.84,0.54
24.41,-1.32,26.76,0.46
24.46,-1.31,27.03,0.53
24.51,-1.48,26.05,0.15
24.56,-1.4,27.14,0.46
24.62,-1.26,26.42,0.46
24.68,-1.28,25.89,0.32
24.74,-1.48,26.63,0.28
24.8,-1.37,26.61,0.4
24.86,-1.38,26.3,0.32
24.92,-1.86,27.69,0.13
24.98,-1.48,25.93,0.14
25.03,-1.4,26.38,0.33
25.09,-1.53,26.72,0.27
25.16,-1.52,25.71,0.07
25.23,-1.37,26.28,0.34
25.3,-1.45,26.15,0.24
25.37,-1.24,26.09,0.43
25.43,-1.67,25.83,-0.05
25.5,-1.75,25.85,-0.12
25.57,-1.52,25.98,0.14
25.64,-1.5,25.62,0.09
25.7,-1.5,25.83,0.14
25.77,-1.34,25.52,0.23
25.83,-1.25,25.93,0.41
25.89,-1.47,26.55,0.32
25.94,-1.29,25.62,0.31
26,-1.6,25.75,0.03
26.06,-1.28,26.49,0.5
26.12,-1.53,26.46,0.25
26.17,-1.56,26.15,0.16
26.23,-1.43,26.38,0.34
26.29,-1.46,26.31,0.3
26.34,-1.54,25.9,0.14
26.42,-1.53,25.68,0.1
26.5,-1.3,25.61,0.32
26.57,-1.53,26.26,0.22
26.65,-1.41,26.03,0.31
26.73,-1.62,26.83,0.27
26.81,-1.42,26,0.3
26.88,-1.47,25.89,0.23
26.96,-1.59,25.66,0.06
26.99,-1.37,26.38,0.43
27.02,-1.65,26.72,0.22
27.05,-1.54,27.15,0.42
27.08,-1.79,26.48,0.04
27.1,-1.8,26.53,0.04
27.13,-1.62,25.94,0.1
27.16,-1.78,25.74,-0.11
27.19,-1.73,25.72,-0.06
27.29,-1.77,26.46,0.06
27.38,-1.57,25.75,0.12
27.47,-1.56,25.68,0.12
27.57,-1.45,27.28,0.56
27.66,-1.8,27.6,0.28
27.75,-1.67,27.1,0.32
27.85,-1.61,27.11,0.38
27.94,-1.6,27.2,0.42
28.03,,26.7,
28.13,-1.8,26.79,0.15
28.22,-1.72,26.54,0.17
28.34,-1.66,26.31,0.2
28.46,-1.4,26.87,0.59
28.58,-1.7,26.86,0.28
28.71,-1.66,26.02,0.15
28.83,-1.53,25.82,0.26
28.95,-1.53,25.98,0.3
29.07,-1.66,26.39,0.25
29.19,-1.61,26.84,0.41
29.31,-1.58,26.38,0.35
29.35,-1.41,28.15,0.88
29.38,-2.3,26.35,-0.38
29.42,-2.04,25.58,-0.28
29.46,-1.73,26.33,0.19
29.5,-1.74,26.38,0.19
29.54,-1.88,26.9,0.17
29.57,-1.75,26.51,0.21
29.61,-1.64,26.11,0.24
29.65,-1.49,26,0.36
29.69,-1.34,25.38,0.39
29.73,-1.61,26.23,0.3
29.76,-1.44,25.66,0.35
29.84,-1.43,26.16,0.47
29.93,-1.34,26.44,0.62
30.01,-1.65,27.03,0.44
30.09,-1.51,25.91,0.35
30.17,-1.51,26.67,0.51
30.25,-1.55,28.38,0.82
30.34,-1.68,25.79,0.17
30.42,-1.53,25.84,0.32
30.49,-1.84,26.52,0.16
30.55,,25.85,
30.62,-1.86,26.79,0.2
30.69,-1.72,25.95,0.17
30.76,-1.62,26.4,0.36
30.83,-1.34,26.89,0.74
30.9,-1.7,25.8,0.15
30.97,-1.6,26.83,0.47
31.04,-1.48,25.94,0.41
31.1,-1.19,26.22,0.75
31.17,-1.56,26.18,0.38
31.24,-1.54,26.46,0.46
31.3,-1.41,26.02,0.49
31.36,-1.53,25.92,0.36
31.42,-1.35,25.37,0.42
31.49,-1.79,26.25,0.17
31.55,-1.48,26.07,0.44
31.61,-1.52,26.76,0.55
31.67,-1.75,26.48,0.26
31.74,-1.82,27.67,0.43
31.8,-1.65,26.43,0.35
31.86,-1.78,27.24,0.39
31.92,-1.62,26.06,0.31
32,-1.7,25.93,0.2
32.08,-1.8,26.81,0.28
32.16,-1.77,26.36,0.22
32.24,-1.57,26.48,0.45
32.32,-1.62,26.18,0.33
32.39,-1.58,26.05,0.35
32.47,-1.6,26.5,0.41
32.55,-1.76,25.87,0.13
32.63,-1.46,26.51,0.56
32.71,-1.55,25.88,0.34
32.79,-1.85,26.65,0.2
32.87,-1.91,26.68,0.14
32.95,-1.64,25.02,0.07
33.03,-1.85,25.85,0.03
33.11,-1.63,26.72,0.43
33.2,-1.83,26.25,0.13
33.28,-1.96,26.31,0.02
33.36,-2.07,26.38,-0.08
33.45,-2.17,26.43,-0.17
33.53,-1.56,25.56,0.26
33.61,-1.63,26.19,0.32
33.69,-1.62,25.67,0.22
33.73,-1.63,26.51,0.39
33.76,-1.61,26.22,0.35
33.8,,26.02,
33.83,-1.72,25.22,0.03
33.86,-1.44,25.34,0.33
33.9,-1.7,26.18,0.25
33.93,-1.96,25.89,-0.08
33.97,-1.59,25.99,0.31
34,,26.1,
34.03,,26.07,
34.07,-1.8,26.01,0.11
34.1,,26.17,
34.14,-1.87,26.84,0.21
34.17,,26.27,
34.2,-1.66,25.84,0.22
34.24,-1.85,26.64,0.19
34.29,-2.03,26.86,0.05
34.34,-1.73,27.45,0.48
34.4,-1.93,26.46,0.07
34.45,-1.82,26.16,0.12
34.5,-1.86,26.8,0.21
34.55,-2.17,26.14,-0.23
34.6,-2.01,27.36,0.18
34.66,-1.62,26.43,0.38
34.71,-1.81,26.16,0.13
34.77,-1.6,25.82,0.27
34.83,-1.65,26.68,0.4
35.04,-1.63,26.14,0.3
35.11,-1.81,25.83,0.06
35.17,-1.61,25.95,0.29
35.24,-1.98,26.12,-0.05
35.31,-1.81,25.82,0.06
35.37,-1.73,27.01,0.39
35.44,,27.24,
35.5,,26.64,
35.57,-1.95,,
35.63,-1.88,25.76,-0.02
35.7,-2.05,26.15,-0.1
35.77,-1.89,26.58,0.15
35.83,-1.73,26.8,0.35
35.9,-2.18,25.26,-0.42
35.96,-2.05,26.18,-0.1
36.03,-1.98,26.07,-0.05
36.09,-2.19,26.71,-0.12
36.16,-2.3,26.61,-0.26
36.22,-1.98,26.17,-0.03
36.29,-1.98,26.11,-0.04
36.33,-2.06,26.83,0.04
36.37,-1.73,26.77,0.36
36.41,-2.11,,
36.44,-1.81,26.29,0.17
36.48,-2.25,25.92,-0.35
36.52,-1.68,26.23,0.29
36.56,-1.4,25.88,0.5
36.6,-1.75,26.59,0.31
36.64,-1.82,26.22,0.16
36.68,-1.6,25.52,0.23
36.77,-1.71,26.79,0.39
36.86,-1.45,25.99,0.49
36.96,-1.61,26.22,0.39
37.05,-1.49,26.23,0.51
37.15,-1.64,25.88,0.3
37.24,-1.6,26.72,0.52
37.34,-1.53,25.98,0.44
37.43,-1.56,26.7,0.56
37.53,-1.7,26.29,0.35
37.62,-1.63,26.1,0.38
37.72,-1.75,26.69,0.39
37.79,-1.43,26.28,0.63
37.86,-1.51,25.83,0.46
37.93,-1.64,27.31,0.64
38,-1.84,25.9,0.16
38.07,-1.69,25.89,0.3
38.14,-1.41,,
38.21,-1.71,26.67,0.44
38.27,-1.69,25.66,0.26
38.34,-1.82,25.46,0.09
38.41,-1.51,26.05,0.52
38.55,-1.76,26.76,0.42
38.68,-1.81,25.66,0.15
38.81,-1.88,25.9,0.13
38.95,-1.49,25.37,0.42
39.08,-1.7,26.42,0.43
39.21,-1.85,26.01,0.2
39.35,-1.79,26.53,0.37
39.48,-1.83,25.82,0.19
39.61,-1.96,25.89,0.06
39.66,-2.09,26.87,0.14
39.71,-1.74,26.1,0.33
39.76,-1.98,25.96,0.06
39.81,-1.91,27.38,0.42
39.86,-1.79,25.93,0.24
39.91,-2.03,25.63,-0.06
39.96,-1.96,27.1,0.31
40.01,-1.68,26.55,0.47
40.06,-1.65,27.08,0.61
40.22,-1.74,26.31,0.36
40.39,-1.21,26.58,0.94
40.55,,26.38,
40.71,-1.62,27.49,0.71
40.88,-1.65,25.47,0.26
41.1,-1.74,26.64,0.41
41.33,,26.32,
41.56,,26.26,
41.78,-1.85,26.66,0.27
42.01,,26.61,
42.23,-1.92,26.77,0.2
42.46,-1.66,25.96,0.29
42.57,,26.1,
42.68,-1.98,26.06,-0.01
42.79,,26.63,
42.89,-1.8,27.29,0.42
43,,25.82,
43.11,-1.83,25.75,0.07
43.22,-1.84,26.73,0.26
43.33,-1.67,26,0.27
43.44,-1.88,25.83,0.03
43.54,-2.03,26.31,-0.02
43.64,-2.04,26.79,0.07
43.75,,26.84,
43.85,-1.94,26.03,0.01
43.95,-1.87,26.1,0.09
44.06,-1.83,26.51,0.22
44.16,,26.54,
44.26,-1.63,25.53,0.22
44.36,-1.81,25.98,0.14
44.47,-1.87,25.66,0
44.57,-1.75,25.9,0.18
44.65,,26.5,
44.74,-1.45,26.2,0.55
44.82,-1.61,26.25,0.4
44.91,-1.76,26.07,0.21
44.99,-1.71,26.4,0.33
45.07,-1.69,26.63,0.39
45.16,-1.96,26.39,0.08
45.24,-2.12,27.35,0.12
45.33,-1.87,26.23,0.13
