# DESCRIPTION:
# Reference: Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton. 2006. Paleoclimate history of Galápagos surface waters over the last 135,000 yr., Quaternary Science Reviews, Vol. 25, Issues 11-12, June 2006, pp. 1152-1167, doi:10.1016/j.quascirev.2005.11.010.
# Data from: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/lea2006/
# Comment: Mg/Ca and d18Ow from the original dataset are not included here.

Depth [cm],Age [ky],SST [C],G. ruber d18O,Uvigerina d18O
343,38.1,22.6,-0.52,4.39
345,38.4,22,-0.44,4.29
347,38.6,21.8,-0.51,4.18
349,38.9,21.9,-0.49,4.35
351,39.1,21.6,-0.54,4.51
353,39.4,22.4,-0.54,4.26
355,39.7,22.4,-0.7,4.48
357,39.9,22.9,-0.67,4.41
359,40.2,21.4,-0.45,4.34
361,40.5,21.9,-0.43,4.6
363,40.7,21.7,-0.59,4.46
365,41,22.2,-0.67,4.44
367,41.3,22.4,-0.65,4.41
369,41.6,22.2,-0.59,4.46
371,41.9,21.9,-0.6,4.18
373,42.2,22.4,-0.61,4.36
375,42.4,22.9,-0.69,4.45
377,42.7,22.7,-0.59,4.27
379,43,22.6,-0.85,4.34
381,43.3,22.9,-0.62,4.52
383,43.6,22.1,-0.61,4.52
385,43.9,22.8,-0.85,4.22
387,44.2,23.4,-0.73,4.21
389,44.5,22.6,-0.58,4.14
391,44.8,22.6,-0.71,4.31
393,45.1,23.6,-0.64,4.26
395,45.4,23.1,-0.99,4.4
397,45.7,23.9,-0.73,4.17
399,46.1,23.1,-0.94,4.18
401,46.5,23.2,-0.57,4.23
403,46.7,23.4,-0.48,4.32
405,46.9,22.6,-0.78,4.35
407,47.2,23.4,-0.4,4.43
409,47.4,23.6,-0.88,4.18
411,47.6,23.4,-0.89,4.35
413,47.9,23.4,-0.61,4.33
415,48.1,23,-1.01,4.27
417,48.3,22.5,-0.97,4.2
419,48.5,22.6,-0.73,4.14
421,48.8,23.2,-0.89,4.16
423,49,22.8,-0.85,4.17
425,49.2,22.6,-0.77,4.06
427,49.5,23,-0.81,4.28
429,49.7,22.8,-0.6,4.19
431,49.9,22.5,-0.45,#N/A
433,50.2,22.6,-0.6,4.23
435,50.4,22.7,-0.64,4.47
437,50.6,22.4,-0.81,4.3
439,50.9,23.6,-0.76,4.19
441,51.1,23.2,-0.54,4.39
443,51.3,23.1,-0.74,4.44
445,51.6,23.3,-0.78,4.23
447,51.8,23.5,-0.9,4.31
449,52,23.2,-0.83,4.21
451,52.2,22.9,-0.94,#N/A
453,52.5,23.3,-0.75,#N/A
455,52.7,21.9,-0.73,4.34
457,52.9,21.9,-0.76,4.32
459,53.2,22.5,-0.85,4.2
461,53.4,22.8,-0.8,4.28
463,53.6,23,-0.77,4.25
465,53.9,22.7,-0.67,4.21
467,54.1,24,-0.88,4.29
469,54.3,23.8,-0.71,4.28
471,54.6,22.7,-0.7,4.23
473,54.8,23,-0.7,4.26
475,55,22.2,-0.56,4.29
477,55.2,23,-0.59,4.27
479,55.5,22.6,-0.55,4.39
481,55.7,22.3,-0.71,4.28
483,55.9,22.8,-0.59,4.28
485,56.2,22.8,-0.83,4.38
487,56.4,22.5,-0.4,4.53
489,56.6,21.8,-0.45,4.42
491,56.9,22.3,-0.59,4.37
493,57.1,22.5,-0.4,4.38
495,57.3,22.6,-0.59,4.29
497,57.6,22.3,-0.72,4.31
499,57.8,22.3,-0.74,4.38
501,58,22.1,-0.64,4.33
503,58.3,22.5,-0.63,4.26
505,58.5,22.6,-0.76,4.28
507,58.7,22.2,-0.62,4.32
509,58.9,23,-0.52,4.27
511,59.2,23,-0.96,4.28
513,59.4,22.4,-0.63,4.24
515,59.6,22.8,-0.74,4.27
517,59.9,23.4,-0.51,4.27
519,60.1,23.9,-0.73,4.26
521,60.3,22.7,-0.66,4.35
523,60.6,23,-0.7,4.2
525,60.8,22.7,-0.58,4.28
527,61,23.5,-0.38,4.3
529,61.3,23.4,-0.38,4.37
531,61.5,22.3,-0.38,4.25
533,61.7,22.5,-0.53,4.25
535,61.9,23.3,-0.32,4.4
537,62.2,21.7,-0.1,4.34
539,62.4,22.7,-0.42,4.31
541,62.6,22.9,-0.53,#N/A
543,62.9,22.1,-0.35,4.38
545,63.1,22.3,-0.31,4.31
547,63.3,22.9,-0.32,4.3
549,63.6,23,-0.44,4.51
551,63.8,23.2,-0.51,4.48
553,64,22.2,-0.52,4.42
555,64.3,23.1,-0.45,4.48
557,64.5,22.5,-0.41,4.49
559,64.7,23,-0.44,4.35
561,65,#N/A,-0.48,4.38
563,65.2,21.6,-0.55,4.51
565,65.4,22.7,-0.44,4.53
567,65.6,21.7,-0.75,4.4
569,65.9,22.4,-0.46,4.45
571,66.1,22.2,-0.75,4.54
573,66.3,21.5,-0.91,4.28
575,66.6,#N/A,-0.8,4.09
577,66.8,22.9,-0.66,4.37
579,67,#N/A,-0.8,4.42
581,67.3,22.3,-0.51,4.51
583,67.5,22,-0.77,4.4
585,67.7,23.1,-0.87,4.19
587,68,21.8,-0.68,4.17
589,68.2,22.5,-0.68,4.52
591,68.4,22.7,-0.72,4.24
593,68.7,22.4,-0.71,4.25
595,68.9,22.6,-0.62,4.32
597,69.1,#N/A,-0.77,4.43
599,69.3,21.7,-0.82,4.39
601,69.6,22.3,-0.73,4.3
603,69.8,22,-0.79,4.34
605,70,23.5,-0.8,4.34
607,70.3,22.4,-0.65,4.38
609,70.5,22.7,-0.73,4.32
611,70.8,22.6,-0.97,4.11
613,71.2,21.8,-0.86,4.19
615,71.5,22.8,-1.08,4.08
617,71.9,23.3,-1.2,4.13
619,72.2,22.9,-0.86,4.19
621,72.6,23,-0.64,3.97
623,72.9,#N/A,-0.65,4.02
625,73.3,#N/A,-1.01,4.11
627,73.6,23.3,#N/A,4.18
629,74,22.8,-0.9,4.11
631,74.3,22.9,-0.82,4.15
633,74.7,22.5,-1.3,3.98
635,75,23.4,-1.12,4.1
637,75.3,23.8,-1.03,4.03
639,75.7,23.3,-1.09,4.1
641,76,23.3,-0.74,4.1
643,76.4,23,-1.11,4.18
645,76.7,22.6,-0.79,4.04
647,77.1,23.3,-0.98,4.14
649,77.4,22.7,-0.99,4.08
651,77.8,23.3,-1.08,4.1
653,78.1,22.4,-1.32,3.88
655,78.5,23.2,-1.2,3.96
657,78.8,22.6,-1.01,3.86
659,79.2,23.4,-1.24,3.87
661,79.5,23.2,-1.14,4.01
663,79.8,23.8,-1.17,3.84
665,80.2,23.1,-1.32,3.73
667,80.5,23.3,-1.16,3.83
669,80.9,23.6,-1.34,3.92
671,81.2,23.9,-1.42,3.8
673,81.6,24.3,-1.13,3.91
675,81.9,24,-1.45,3.89
677,82.3,23.9,-1.05,3.79
679,82.6,24.4,-1.26,3.76
681,83,23.7,-1.14,3.73
683,83.3,24.8,-1.37,3.83
685,83.6,23.7,-1.5,3.74
687,84,24,-1.23,3.78
689,84.3,23.4,-1.16,3.89
691,84.7,23.6,-0.94,3.58
693,85,#N/A,-1.11,3.89
695,85.4,23.4,-1.39,3.9
697,85.7,22.8,#N/A,4.07
699,86.1,22.1,-1.02,4.09
701,86.4,22.8,-1.1,4.07
703,86.8,22.5,-0.81,4.03
705,87.1,#N/A,-0.96,4.14
707,87.5,23.4,-0.92,4.23
709,87.8,22.8,-1.18,4.12
711,88.3,#N/A,-1.08,3.99
713,88.9,23,#N/A,3.94
715,89.4,#N/A,-1.22,3.9
717,89.9,23.6,-1.11,3.95
719,90.5,23.5,-0.96,3.87
721,91,24.4,-0.94,3.98
723,91.5,22.6,-0.84,3.77
725,92.1,23,-1.15,3.87
727,92.6,#N/A,-0.93,3.92
729,93.1,22.4,-1.24,3.84
731,93.7,23.5,-1.21,3.89
733,94.2,24,-1.31,3.78
735,94.8,23.8,#N/A,3.86
737,95.3,23.7,-1.35,3.76
739,95.8,23.2,-1.47,3.77
741,96.4,24,-1.18,3.83
743,96.9,23.8,-1.5,3.95
745,97.4,23.9,-1.52,3.82
747,98,23.9,-1.44,3.81
749,98.5,24.1,-1.55,3.83
751,99,23.5,-1.48,3.81
753,99.6,24.1,-1.46,3.84
755,100.1,23.5,-1.48,3.92
757,100.6,24.1,-1.59,3.92
759,101.2,24.5,-1.46,3.89
761,101.7,24.2,-1.45,3.81
763,102.2,23.5,-1.56,3.99
765,102.8,23.8,-1.44,3.81
767,103.3,25,-1.53,3.93
769,103.8,23.8,-1.34,3.69
771,104.4,23.8,-1.18,4.01
773,104.9,24.5,-1.13,3.97
775,105.4,23.4,-1.54,3.83
777,106,24.2,-1.5,3.67
779,106.5,23.6,-1.42,3.74
781,107.1,24.9,-1.45,3.97
783,107.6,24.3,-1.62,3.87
785,108.1,24.2,-1.44,3.78
787,108.7,22.8,-1.45,3.87
789,109.2,24.7,-1.65,3.87
791,109.7,23.8,-1.24,3.82
793,110.3,24.4,-1.3,#N/A
795,110.8,#N/A,-1.51,3.89
