# DESCRIPTION:
# Reference: Cruz, F.W., Jr., S.J. Burns, I. Karmann, W.D. Sharp, M. Vuille, A.O. Cardoso, J.A. Ferrari, P.L. Silva Dias, and O. Viana, Jr. 2005. Insolation-driven changes in atmospheric circulation over the past 116,000 years in subtropical Brazil. Nature, 434, No. 7029, 63-66, https://doi.org/10.1038/nature03365.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5431. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Depth,Age,d13C [per mil VPDB],d18O [per mil VPDB]
183,28.056,-5.03,-2.38
184,28.23,-4.96,-2.69
185,28.379,-5.4,-2.91
186,28.528,-4.78,-2.77
187,28.678,-4.79,-2.86
188,28.827,-4.91,-2.24
189,28.977,-5.13,-1.75
190,29.126,-4.84,-1.83
191,29.275,-4.39,-2.18
192,29.425,-5.15,-2.78
193,29.574,-5.11,-3.46
194,29.724,-4.46,-2.97
195,29.873,-5.1,-3.18
196,30.022,-5.01,-3.28
197,30.172,-4.86,-3.31
198,30.321,-4.56,-3.45
199,30.471,-4.63,-3.55
200,30.62,-5.3,-3.42
201,30.919,-4.45,-2.22
202,31.068,-3.69,-1.38
203,31.217,-5.14,-3.17
204,31.367,-4.9,-2.56
205,31.516,-5.42,-3.18
206,31.666,-5.38,-2.71
207,31.815,-4.93,-2.97
208,32.055,-4.96,-2.99
209,32.305,-4.61,-2.54
210,32.556,-4.47,-2.4
211,32.806,-5.01,-2.54
212,33.056,-5.31,-2.92
213,33.306,-5.55,-3.14
214,33.556,-5.72,-3.06
215,33.807,-5.69,-3.5
216,34.057,-5.53,-3.38
217,34.307,-5.54,-2.71
218,34.557,-5.67,-2.42
219,34.807,-5.06,-2.66
220,35.058,-4.78,-2.77
221,35.308,-4.93,-2.98
222,35.558,-4.47,-2.39
223,35.808,-5,-2.76
224,36.058,-5.27,-3.2
225,36.309,-5.67,-2.42
226,36.559,-5.71,-2.96
227,36.809,-6.23,-3.62
228,37.059,-6.04,-3.17
229,37.309,-5.5,-2.85
230,37.56,-5.36,-3.05
231,37.81,-5.66,-4.01
232,38.06,-5.26,-3.63
233,38.249,-5.47,-3.59
234,38.44,-5.2,-3.06
235,38.63,-5.46,-3.22
236,38.82,-5.18,-3.15
237,39.01,-5.7,-3.56
238,39.2,-5.61,-3.59
239,39.39,-5.54,-3.41
240,39.58,-5.58,-3.31
241,39.77,-5.52,-2.81
242,39.96,-6.13,-4.28
243,40.15,-6.24,-3.88
244,40.34,-6.1,-3.96
245,40.53,-5.9,-4.36
246,40.72,-5.99,-4.73
247,40.91,-5.39,-4
248,41.1,-5.47,-4.31
249,41.29,-5.18,-4.52
250,41.48,-6.02,-5.41
251,41.67,-5.35,-5.23
252,41.86,-5.97,-4.84
253,42.05,-5.13,-4.27
254,42.24,-5.28,-3.88
255,42.43,-5.16,-3.68
256,42.621,-5.3,-3.94
257,42.811,-5.88,-4.5
258,43.001,-5.15,-4.31
259,43.191,-5.21,-3.93
260,43.381,-5.4,-3.6
261,43.571,-5.53,-4.46
262,43.761,-4.98,-2.86
263,43.951,-5.48,-3.73
264,44.141,-5.41,-3.15
265,44.331,-5.44,-3.58
266,44.521,-5.54,-4.78
267,44.711,-5.51,-4.95
268,44.901,-4.84,-3.66
269,45.091,-5.48,-4.5
270,45.281,-5.53,-4.28
271,45.471,-5.88,-4.74
272,45.661,-5.67,-3.8
273,45.851,-5.87,-4.29
274,46.041,-4.91,-2.94
275,46.231,-5.27,-3.47
276,46.421,-4.83,-3.29
277,46.611,-4.88,-4.16
278,46.984,-4.98,-3.95
279,47.404,-4.89,-3.94
280,47.823,-5.02,-3.86
281,48.242,-5.31,-3.81
282,48.661,-4.88,-3.54
283,49.08,-5.44,-3.2
284,49.499,-5.3,-3.54
285,49.918,-5.39,-3.12
286,50.337,-5.58,-3.59
287,50.757,-4.45,-2.84
288,51.176,-4.83,-2.95
289,51.595,-4.36,-2.56
290,52.014,-3.49,-2.32
291,52.433,-4.95,-2.79
292,52.852,-5.6,-2.32
293,53.271,-5.15,-1.97
294,53.69,-4.29,-1.81
295,54.11,-5.04,-1.78
296,54.529,-5.15,-1.76
297,54.948,-5,-1.4
298,55.367,-4.61,-1.94
299,55.786,-5.83,-2.91
300,56.205,-5.41,-2.84
301,56.624,-5.61,-2.19
302,57.043,-5.43,-1.71
303,57.463,-5.11,-1.57
304,57.882,-5.44,-1.92
305,58.301,-5.58,-1.88
306,58.72,-5.52,-2.94
307,59.139,-2.85,-1.9
308,59.558,-4.78,-3.16
309,59.977,-4.82,-3
310,60.397,-5.51,-3.39
311,60.816,-5.18,-3.12
312,61.235,-5.48,-3.15
313,61.654,-5.04,-3.13
314,62.073,-4.91,-3.21
315,62.292,-5.2,-3.18
316,62.424,-5.33,-3.84
317,62.556,-4.75,-3.83
318,62.688,-4.69,-3.53
319,62.82,-4.67,-3.17
320,62.953,-4.84,-3.49
321,63.085,-5.11,-2.87
322,63.217,-5.41,-3.39
323,63.349,-4.72,-3.3
324,63.481,-4.84,-3.16
325,63.614,-4.37,-2.57
326,63.746,-5.85,-3.73
327,63.878,-4.87,-3.22
328,64.01,-5.03,-3.49
329,64.142,-5.12,-3.79
330,64.274,-4.67,-2.99
331,64.407,-5.08,-3.08
332,64.539,-4.56,-2.56
333,64.671,-4.57,-3.46
334,64.803,-4.75,-2.92
335,64.935,-5.7,-3.91
336,65.068,-4.37,-3.16
337,65.2,-4.11,-3.14
338,65.332,-5,-3.25
339,65.464,-3.61,-2.07
340,65.596,-4.78,-3.35
341,65.729,-3.47,-0.36
342,65.861,-3.33,-0.23
343,65.993,-4.3,-2.01
344,66.125,-4.32,-2.33
345,66.257,-4.49,-2.77
346,66.522,-5.45,-3.33
347,66.654,-5.35,-3.02
348,66.786,-5.05,-3.16
349,66.918,-4.85,-2.88
350,67.183,-5.58,-3.72
351,67.42,-5.39,-3
352,67.682,-5.91,-3.89
353,67.944,-5.63,-3.69
354,68.206,-5.03,-3.9
355,68.468,-5.6,-3.91
356,68.73,-5.29,-3.28
357,68.992,-5.73,-3.17
358,69.254,-5.72,-3.16
359,69.516,-4.83,-2.89
360,69.778,-4.38,-2.79
361,70.04,-6.09,-3.16
362,70.302,-4.49,-3.32
363,70.564,-6.18,-3.06
364,70.827,-6.02,-3.11
365,71.089,-4.82,-2.67
366,71.351,-6.9,-3.53
367,71.613,-4.18,-3.31
368,71.875,-4.74,-3.95
369,72.137,-5.77,-3.93
370,72.399,-5.4,-4.14
371,72.661,-5.93,-4.16
372,72.923,-5.29,-4.14
373,73.185,-6.02,-4.61
374,73.447,-5.4,-3.17
375,73.709,-6,-3.08
376,73.971,-6.29,-3.12
377,74.233,-5.59,-2.79
378,74.495,-5.72,-2.71
379,74.757,-5.74,-3.04
380,75.019,-5.85,-2.54
381,75.222,-5.83,-2.57
382,75.364,-5.22,-2.6
383,75.506,-6.32,-2.7
384,75.649,-5.82,-2.62
385,75.791,-6.34,-3.2
386,75.934,-6.22,-2.97
387,76.076,-6.71,-2.8
388,76.218,-5.69,-2.42
389,76.361,-5.94,-2.92
390,76.503,-5.46,-3.23
391,76.645,-5.8,-3.73
392,76.788,-5.62,-3.46
393,76.93,-5.8,-3.09
394,77.072,-5.6,-3.37
395,77.215,-6.2,-3.34
396,77.357,-6.24,-3.63
397,77.5,-6.13,-3.57
398,77.642,-6.23,-3.42
399,77.784,-5.2,-3.19
400,77.927,-5.32,-2.87
401,78.069,-5.72,-1.8
402,78.211,-5.16,-1.91
403,78.354,-5.65,-2.2
404,78.496,-5.62,-1.81
405,78.638,-5.36,-2.06
406,78.781,-6.19,-1.89
407,78.923,-6.54,-2.3
408,79.066,-6.3,-2.08
409,79.208,-6.25,-2.02
410,79.35,-6.43,-2.02
411,79.493,-6.34,-2.01
412,79.635,-5.95,-1.86
413,79.777,-6.36,-2.02
414,79.92,-5.81,-2
415,80.062,-6.17,-1.65
416,80.147,-5.26,-1.6
417,80.218,-6.32,-2.24
418,80.289,-6.21,-2.01
419,80.36,-6.02,-1.78
420,80.432,-5.9,-1.52
421,80.503,-5.34,-1.75
422,80.574,-5.79,-1.43
423,80.645,-6.01,-1.96
424,80.717,-5.64,-1.55
425,80.788,-5.98,-1.5
426,80.859,-5.95,-1.83
427,80.93,-6.27,-1.62
428,81.001,-5.89,-1.5
429,81.073,-5.46,-1.22
430,81.144,-6,-1.42
431,81.215,-5.68,-1.02
432,81.286,-6.32,-1.65
433,81.358,-6.85,-2.63
434,81.429,-6.88,-2.08
435,81.5,-6.56,-1.74
436,81.571,-6.32,-1.69
437,81.642,-5.92,-1.14
438,81.714,-5.5,-1.47
439,81.785,-5.86,-1.45
440,81.856,-5.69,-1.6
441,81.927,-6.15,-1.32
442,81.999,-5.57,-1.16
443,82.07,-6.17,-1.34
444,82.141,-5.97,-1.54
445,82.212,-5.7,-1.18
446,82.283,-6.17,-1.45
447,82.355,-6.26,-1.53
448,82.426,-6.11,-1.46
449,82.497,-5.95,-1.36
450,82.568,-5.8,-1.3
451,82.665,-6.2,-1.51
452,82.773,-6.39,-1.82
453,82.88,-6.05,-1.41
454,82.988,-6.19,-1.93
455,83.095,-6.48,-2.07
456,83.203,-6,-1.78
457,83.31,-6.44,-1.82
458,83.418,-5.82,-1.65
459,83.525,-5.67,-1.73
460,83.633,-5.85,-1.78
461,83.74,-6.14,-1.75
462,83.848,-6.04,-1.85
463,83.955,-5.15,-1.51
464,84.063,-5.13,-2.19
465,84.17,-5.21,-2.15
466,84.278,-5.64,-3.25
467,84.385,-6.29,-3.02
468,84.493,-6.26,-2.75
469,84.6,-6.12,-3.67
470,84.707,-6.01,-3.91
471,84.815,-6.05,-3.76
472,84.922,-6.16,-4.21
473,85.03,-6.3,-4.32
474,85.137,-6.24,-4.28
475,85.245,-6.08,-3.91
476,85.352,-5.78,-4.08
477,85.46,-5.81,-4.33
478,85.567,-5.85,-4.22
479,85.675,-6.36,-4.46
480,85.782,-6.08,-4.49
481,85.89,-6.17,-3.89
482,85.997,-6.45,-4.68
483,86.105,-5.97,-3.79
484,86.212,-6.53,-4.17
485,86.32,-5.7,-3.9
486,86.427,-5.36,-3.84
487,86.535,-6.32,-4.27
488,86.642,-6.21,-4.34
489,86.75,-6.2,-4.02
490,86.857,-6.51,-4.35
491,86.965,-6.47,-4.64
492,87.072,-6.48,-4.74
493,87.18,-6.21,-4.64
494,87.287,-6.57,-4.44
495,87.395,-6.66,-4.42
496,87.502,-6.07,-3.94
497,87.61,-6.5,-3.33
498,87.717,-5.99,-3.07
499,87.824,-6.41,-3.38
500,87.932,-6.22,-3.22
501,88.039,-6.41,-3.52
502,88.147,-6.38,-3.22
503,88.254,-6.75,-3.75
504,88.362,-6.47,-3.75
505,88.469,-6.45,-3.26
506,88.577,-6.65,-3.62
507,88.684,-6.6,-3.8
508,88.792,-6.64,-3.73
509,88.899,-6.55,-3.73
510,89.007,-6.87,-4.12
511,89.114,-6.36,-3.72
512,89.222,-6.46,-3.62
513,89.329,-6.22,-3.61
514,89.437,-5.72,-3.83
515,89.544,-6.15,-3.84
516,89.652,-6.34,-3.92
517,89.759,-6.29,-4.2
518,89.867,-6.38,-4.07
519,89.974,-6.52,-4.61
520,90.082,-6.39,-4.13
521,90.189,-6.59,-4.4
522,90.297,-6.35,-4.28
523,90.404,-6.22,-4.43
524,90.512,-6.46,-4.36
525,90.619,-6.22,-3.94
526,90.726,-6.45,-4.2
527,90.834,-6.27,-4.22
528,90.941,-6.14,-3.97
529,91.049,-6.4,-4.57
530,91.156,-6.56,-4.23
531,91.264,-6.48,-4.36
532,91.371,-6.45,-4.51
533,91.479,-6.42,-4.33
534,91.586,-6.45,-4.26
535,91.801,-6.49,-4.45
536,91.909,-6.69,-4.5
537,92.016,-6.72,-4.55
538,92.124,-6.78,-4.33
539,92.231,-6.55,-4.23
540,92.339,-6.93,-4.32
541,92.446,-7.16,-4.57
542,92.554,-7.21,-3.75
543,92.661,-5.81,-4.28
544,92.769,-6.29,-4.47
545,92.942,-6.06,-4.13
546,93.134,-5.73,-3.67
547,93.325,-5.75,-3.84
548,93.517,-5.64,-3.61
549,93.708,-6.02,-4.13
550,93.899,-6.27,-3.89
551,94.091,-5.59,-3.82
552,94.282,-5.51,-3.49
553,94.474,-5.85,-3.46
554,94.665,-6.26,-3.61
555,94.856,-5.96,-3.53
556,95.048,-4.59,-2.7
557,95.239,-6.22,-3.41
558,95.431,-5.74,-3.15
559,95.622,-6.43,-3.36
560,95.813,-6.13,-3.06
561,96.005,-6.29,-3.16
562,96.196,-6.01,-3.02
563,96.388,-5.85,-2.73
564,96.579,-5.77,-2.56
565,96.77,-5.72,-2.66
566,96.962,-6.12,-3.24
567,97.153,-5.48,-2.64
568,97.345,-5.52,-2.46
569,97.536,-5.28,-2.06
570,97.727,-5.73,-2.18
571,97.919,-5.6,-1.79
572,98.11,-5.95,-2.83
573,98.302,-5.43,-2.19
574,98.493,-5.12,-2.06
575,98.684,-5.23,-1.96
576,98.876,-4.75,-1.5
577,99.067,-5.3,-1.81
578,99.259,-6.38,-1.88
579,99.45,-6.23,-2.29
580,99.642,-5.77,-1.49
581,99.833,-5.58,-1.54
582,100.024,-5.48,-2.03
583,100.216,-5.49,-1.78
584,100.407,-5.94,-1.49
585,100.599,-5.26,-1.57
586,100.79,-5.76,-1.66
587,100.981,-5.68,-1.06
588,101.173,-5.45,-1.6
589,101.364,-5.23,-0.94
590,101.556,-5.68,-0.96
591,101.747,-5.32,-1.23
592,101.938,-5.49,-1.09
593,102.13,-5.55,-1.09
594,102.321,-5.61,-0.67
595,102.513,-4.25,-0.27
596,102.704,-5.16,-1.17
597,102.895,-5.45,-0.5
598,103.087,-5.46,-1.01
599,103.278,-5.39,-0.98
600,103.47,-4.95,-0.73
601,103.661,-5.26,-1.03
602,103.825,-5.01,-0.48
603,103.981,-5.24,-1.3
604,104.136,-4.65,-0.35
605,104.292,-5.75,-1.11
606,104.448,-4.84,-0.39
607,104.603,-5.42,-0.77
608,104.759,-5.79,-1.02
609,104.914,-5.78,-1.06
610,105.07,-4.98,-1.08
611,105.226,-5.44,-1.27
612,105.381,-4.86,-1.42
613,105.537,-5.4,-2.24
614,105.692,-5.36,-1.74
615,105.848,-5.14,-1.95
616,106.003,-4.77,-2.25
617,106.159,-5.7,-2.89
618,106.315,-5.65,-2.75
619,106.47,-5.61,-1.76
620,106.626,-5.15,-2.08
621,106.781,-4.66,-1.43
622,106.937,-5.09,-1.01
623,107.092,-5.16,-1.01
