# DESCRIPTION:
# Reference: Barker, Stephen (2021): Planktic foraminiferal and Ice Rafted Debris (IRD) counts from ODP Site 983. PANGAEA, https://doi.org/10.1594/PANGAEA.929721
# Data from: https://doi.org/10.1594/PANGAEA.929721. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m] (MCD_TOP),Age [ka BP] (U1385 age),N. pachyderma s [%],IRD [#/g]
3.88,25.736,91.26984,423.84106
3.9,26.14,87.9845,353.33088
3.92,26.544,88.99676,261.62494
3.94,26.948,86.90096,322.23083
3.96,27.352,69.26952,120.13348
3.98,27.756,27.45763,30.53435
4,28.16,48.14815,75.88076
4.02,28.315,67.29167,258.69433
4.04,28.47,69.85294,170.71219
4.06,28.625,81.86813,189.28689
4.08,28.78,81.3036,170.94017
4.1,28.935,71.73448,47.96163
4.12,29.09,28.52761,15.12287
4.14,29.245,35.44554,28.24716
4.16,29.4,61.04294,53.43228
4.18,29.60857,87.2093,409.38166
4.2,29.81714,86.77686,762.61682
4.22,30.02571,90.75829,594.49071
4.24,30.23429,88.2904,355.39438
4.26,30.44286,92.51012,550.18963
4.28,30.65143,92.21968,812.88014
4.3,30.86,,
4.32,31.06857,93.77163,475.78863
4.34,31.27714,90.48544,93.8613
4.36,31.48571,73.81818,75.29412
4.38,31.69429,34.48276,66.33843
4.4,31.90286,39.54155,140.15877
4.42,32.11143,19.93865,42.41782
4.44,32.32,25.66372,95.14371
4.46,32.52857,,
4.48,32.73714,,
4.5,32.94571,84.61538,506.29642
4.52,33.15429,78.20225,235.17883
4.54,33.36286,65.74307,247.15447
4.56,33.57143,55.78035,281.75027
4.58,33.78,42.08754,362.6943
4.6,33.98886,73.10345,1293.35072
4.62,34.19771,85.09719,868.38535
4.64,34.40657,86.09272,1157.57204
4.66,34.61543,82.03704,356.32539
4.68,34.82429,66.45963,97.0499
4.7,35.03314,81.37755,109.68921
4.72,35.242,82.5,55.81395
4.74,35.45086,83.65019,196.50937
4.76,35.65971,79.96289,270
4.78,35.86857,75.33512,704.18108
4.8,36.07743,82.84519,608.1548
4.82,36.28629,82.22997,329.76092
4.84,36.49514,80.13699,286.31077
4.86,36.704,68.38235,105.34016
4.88,36.91286,65.75758,129.1364
4.9,37.12171,47.32824,89.06561
4.92,37.33057,64.1196,124.6522
4.94,37.53943,52.60274,231.72414
4.96,37.74829,50.65359,323.97126
4.98,37.95714,72.24771,487.70895
5,38.166,57.34266,550.70682
5.02,38.37486,53.7931,661.49871
5.04,38.58371,72.02073,620.81129
5.06,38.79257,66.78201,267.94258
5.08,39.00143,77.01149,558.62671
5.1,39.21029,84.69945,627.12739
5.12,39.41914,74.85876,544.01943
5.14,39.628,81.13208,775.5202
5.16,39.83686,77.27273,398.70421
5.18,40.04571,76.98113,102.14742
5.2,40.25457,69.18367,157.59234
5.22,40.46343,44.31138,252.03938
5.24,40.67229,67.87709,233.94256
5.26,40.88114,67.22408,272.09232
5.28,41.09,77.24138,491.84909
5.3,41.38333,87.14286,471.06599
5.32,41.67667,89.98035,201.62772
5.34,41.97,87.12871,108.10811
5.36,42.26333,89.82684,891.26942
5.38,42.55667,82.42894,83.00908
5.4,42.85,82.86853,126.64908
5.42,43.14333,70.02967,192.22615
5.44,43.43667,67.34104,222.6439
5.46,43.73,67.94872,226.65808
5.48,44.02333,60.68182,126.12613
5.5,44.31667,66.20553,263.49497
5.52,44.61,61.43667,592.24442
5.54,44.90333,80,582.17904
5.56,45.19667,82.21071,555.87244
5.58,45.49,82.99712,213.80846
5.6,45.78333,79.21635,211.5573
5.62,46.07667,74.79675,158.59031
5.64,46.37,69.63087,59.16535
5.66,46.66333,64.70588,49.11742
5.68,46.95667,63.26194,65.68915
5.7,47.25,64.37309,109.7915
5.72,47.54333,57.91855,205.51855
5.74,47.83667,36.87943,100.54988
5.76,48.13,47.74011,100.13038
5.78,48.42333,34.39364,62.65296
5.8,48.71667,45.65657,238.09524
5.82,49.01,63.57309,507.41688
5.84,49.30333,60.55437,505.83658
5.86,49.52716,78.42227,639.38521
5.88,49.68148,88.73874,391.16126
5.9,49.8358,82.01439,236.18726
5.92,49.99012,79.28437,269.36027
5.94,50.14444,85.36252,192.73105
5.96,50.29877,87.76596,427.25599
5.98,50.45309,86.64688,645.31435
6,50.60741,95.10703,432.88241
6.02,50.76173,90.98143,174.03916
6.04,50.91605,91.75739,93.02326
6.06,51.07037,95.86667,186.01163
6.08,51.22469,94.65649,41.04318
6.1,51.37901,96.90049,42.88586
6.12,51.53333,96.78457,95.34724
6.14,51.68765,96.33803,416.97692
6.16,51.84198,93.11475,105.46139
6.18,51.9963,95.10204,31.92338
6.2,52.15062,94.67849,83.17861
6.22,52.30494,92.69588,14.27934
6.24,52.45926,89.9115,11.93584
6.26,52.61358,92.82137,25.60512
6.28,52.7679,88.30508,12.51222
6.3,52.92222,87.13911,0
6.32,53.07654,65.92357,0
6.34,53.23086,52.35294,21.63137
6.36,53.38519,50,0
6.38,53.53951,45.99156,0
6.4,53.69383,36.91932,8.60909
6.42,53.84815,31.64129,7.45921
6.44,54.00247,28.79819,16.5332
6.46,54.15679,24.14861,8.40336
6.48,54.31111,21.7033,39.92016
6.5,54.46543,18.62745,7.12536
6.52,54.61975,24.58101,59.89705
6.54,54.77407,18.33648,26.3972
6.56,54.9284,26.85338,27.88064
6.58,55.08272,37.11507,34.4679
6.6,55.23704,39.14989,47.51803
6.62,55.39136,40.56122,101.63339
6.64,55.54568,42.45473,155.65796
6.66,55.7,64.21846,264.07767
6.68,55.92161,84.33269,399.46879
6.7,56.14323,83.73591,371.91651
6.72,56.36484,67.59777,234.07917
6.74,56.58645,38.57678,54.11935
6.76,56.80806,57.08583,250.29628
6.78,57.02968,60.64356,125.28789
6.8,57.25129,67.77164,253.73134
6.82,57.4729,90.21226,426.38241
6.84,57.69452,88.05461,100.7874
6.86,57.91613,86.05664,29.55438
6.88,58.13774,83.24515,65.08876
6.9,58.35935,88.50267,17.39446
6.92,58.58097,91.68357,6.03888
6.94,58.80258,87.61905,29.85632
6.96,59.02419,93.35394,28.50598
6.98,59.24581,86.69656,32.19316
7,59.46742,82.76481,53.26232
7.02,59.68903,72.49191,22.32688
7.04,59.91065,59.59596,25.78981
7.06,60.13226,61.59794,116.91962
7.08,60.35387,64.72303,135.21127
7.1,60.57548,75.12563,357.88465
7.12,60.7971,77.6699,219.57197
7.14,61.01871,79.70588,293.86684
7.16,61.24032,78.31325,155.51402
7.18,61.46194,55.64516,16.43836
7.2,61.68355,61.90476,13.57946
7.22,61.90516,58.40456,122.97182
7.24,62.12677,47.70642,81.70213
7.26,62.34839,54.60751,90.60878
7.28,62.57,73.22835,200.74495
7.3,62.9871,80.64516,515.36342
7.32,63.40419,91.87192,200.48412
7.34,63.82129,89.87342,182.26845
7.36,64.23839,75,232.33301
7.38,64.65548,63.21429,212.68882
7.4,65.07258,67.05882,165.64706
7.42,65.48968,87.10938,347.39454
7.44,65.90677,88.43373,698.8807
7.46,66.32387,94.56522,456.49073
7.48,66.74097,95.2381,381.56173
7.5,67.15806,94.40789,580.93797
7.51,67.36661,93.27485,504.73186
7.53,67.78371,94.42815,484.35263
7.55,68.20081,85.44699,132.50518
7.57,68.6179,88.72017,315.95187
7.59,69.035,87.07224,156.55577
7.61,69.4521,91.84549,222.03866
7.63,69.86919,71.45631,202.01223
7.65,70.28629,88.76404,239.93686
7.67,70.70339,90.30471,165.37468
7.69,71.12048,58.33333,27.61597
7.71,71.53758,53.94737,48.88695
7.73,71.95468,44.13965,22.85388
7.75,72.37177,48.50498,20.43858
7.77,72.78887,59.90566,49.36095
7.79,73.20597,32.32323,13.82588
7.81,73.62306,70.02967,70.45872
7.83,74.04016,20.94862,67.94055
7.85,74.45726,21.91011,31.00775
7.87,74.87435,21.80233,49.33196
7.89,75.29145,34.09091,132.68832
7.91,75.53529,43.42508,172.3974
7.93,75.60588,50.29586,102.35906
7.95,75.67647,45.95376,198.65494
